dataset	contrast	gene_set	human_symbol	assayed_symbol	log2FC	pvalue	FDR	n	note
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFIT1	IFIT1	-1.0908987879882557	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFIT2	IFIT2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFIT3	IFIT3	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFITM1	IFITM1	-0.4261505241783654	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFITM2	IFITM2	-1.0668962984500445	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFITM3	IFITM3	-1.1730830784352684	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	IRF7	IRF7	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	IRF9	IRF9	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	ISG15	ISG15	0.10503758976610425	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	ISG20	ISG20	0.9672845645384758	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	LY6E	LY6E	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	MX1	MX1	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	MX2	MX2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	OAS1	OAS1	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	OAS2	OAS2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	OAS3	OAS3	-0.40984696403300697	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	OASL	OASL	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	RSAD2	RSAD2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	STAT1	STAT1	-0.05316476058283793	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	STAT2	STAT2	-0.28109098084385636	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	TRIM21	TRIM21	0.6464299390502606	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	TRIM22	TRIM22	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	USP18	USP18	-0.39274365865308436	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
