tf	n_r10	n_top	mean_r_top	n_high_specific	det_high
TFPT	35	35	0.1122016967939378	0	0.21646646646646647
CDCA7L	34	34	0.11208264469246786	0	0.20188938938938938
HMG20B	24	24	0.11207662213207137	0	0.4249874874874875
SKI	32	32	0.11198507174100844	0	0.22065815815815815
TBL1X	12	12	0.11190241234955685	0	0.19894894894894896
OSR2	18	18	0.1118733197225299	0	0.06731731731731731
DAXX	44	44	0.1118488815469758	0	0.25425425425425424
NCOA2	13	13	0.11182752396161384	0	0.24562062062062062
SPEN	11	11	0.11178333769501196	0	0.2486236236236236
MEF2D	15	15	0.11173723517947518	0	0.24036536536536537
MAX	20	20	0.11171543535524872	0	0.3815065065065065
CTCF	14	14	0.11170245659078559	0	0.234984984984985
RXRA	36	36	0.11161488185538454	0	0.3088088088088088
CREBBP	25	25	0.11159195510834112	0	0.30205205205205204
HMGXB4	48	48	0.11158888992446159	0	0.32957957957957956
STAT6	22	22	0.11157947473438608	0	0.3452202202202202
RCOR1	25	25	0.11157857810628884	0	0.20914664664664664
ZNF331	18	18	0.11143986867591218	0	0.15696946946946946
TEAD1	16	16	0.11143731085075897	0	0.21665415415415415
LYAR	39	39	0.11126844154834024	0	0.245995995995996
BMI1	22	22	0.11118027465251618	0	0.22240990990990991
ZNF451	45	45	0.11116152926564808	0	0.25212712712712715
RERE	33	33	0.1111440668826371	0	0.33252002002002
KLF13	22	22	0.11104384846654679	0	0.24630880880880882
TP53BP1	24	24	0.11093441860854181	0	0.1799924924924925
MED26	20	20	0.1109165391495063	0	0.11073573573573574
PHF5A	39	39	0.110854344194363	0	0.3121871871871872
PLAG1	24	24	0.11079005969059359	0	0.07225975975975976
THAP11	51	50	0.11078305169752513	0	0.2510635635635636
CREBL2	39	39	0.11068556454671168	0	0.2468093093093093
SMAD2	39	39	0.11054118653321869	0	0.3397147147147147
ZBED6	14	14	0.11046767703107625	0	0.12312312312312312
ETS1	12	12	0.11045707730046282	0	0.07688938938938938
PATZ1	37	37	0.11033567726607045	0	0.1702952952952953
KLF8	15	15	0.11014441587468181	0	0.05887137137137137
SREBF2	11	11	0.11012768317977772	0	0.2078953953953954
TRIM14	42	42	0.10998078494887978	0	0.1793043043043043
ING2	13	13	0.10985534537036762	0	0.29366866866866864
HIRA	22	22	0.1098070069919914	0	0.10673173173173173
PURA	33	33	0.10964301621949546	0	0.39007757757757755
HBP1	11	11	0.10963604221235976	0	0.361986986986987
SAP30	50	50	0.10942418055527099	0	0.1412037037037037
NFATC2	19	19	0.10938599974405988	0	0.10385385385385386
SND1	34	34	0.10921445675054557	0	0.4603353353353353
E2F4	10	10	0.10910743437155064	0	0.29792292292292294
NACC1	23	23	0.10901694632111392	0	0.24906156156156156
APC	17	17	0.10898469643171212	0	0.15327827827827828
GTF2B	19	19	0.10879439855281775	0	0.22022022022022023
TRIM16	13	13	0.1086301280597776	0	0.15115115115115116
AIP	14	14	0.10835239433828965	0	0.3980855855855856
VEZF1	21	21	0.10818459099428694	0	0.3877002002002002
PRDM2	16	16	0.10815608973835698	0	0.2326076076076076
AATF	22	22	0.10810008227130848	0	0.32263513513513514
ZNF274	18	18	0.10806508797469884	0	0.16116116116116116
DMRTA1	10	10	0.10795390478829428	0	0.06306306306306306
NFYC	19	19	0.1078267658312695	0	0.28616116116116114
ELF1	28	28	0.10779391548766715	0	0.35992242242242245
NR6A1	10	10	0.10743054105605462	0	0.10272772772772773
KLF16	12	12	0.10733134157730508	0	0.14564564564564564
ZNF32	31	31	0.10730614280082036	0	0.32926676676676675
IRF3	16	16	0.10696614752940412	0	0.355543043043043
RFXANK	29	29	0.10691825743792845	0	0.44926176176176175
BACH1	11	11	0.10618614262757217	0	0.1761136136136136
TAF12	15	15	0.10575842814664058	0	0.3977102102102102
FOXK2	12	12	0.10539462355705186	0	0.25594344344344344
KMT2B	9	50	0.09551252142704207	0	0.1858108108108108
ASXL1	9	50	0.09524640791881599	0	0.23667417417417416
FOXK1	8	50	0.09510497602748189	0	0.267017017017017
ADNP	8	50	0.09458794700095817	0	0.3328328328328328
PBRM1	8	50	0.09390819913567844	0	0.2737112112112112
DR1	6	50	0.09331853247235862	0	0.2633883883883884
KDM5C	8	50	0.09212443014665869	0	0.23648648648648649
HLTF	9	50	0.0918922317907562	0	0.16985735735735735
FUBP1	6	50	0.09161596211544715	0	0.27702702702702703
TFAM	9	50	0.09152113286356693	0	0.29485735735735735
HCFC1	6	50	0.09116945296740461	0	0.256006006006006
RELA	5	50	0.09096009840789986	0	0.3200075075075075
MED15	8	50	0.09063528641562851	0	0.2966716716716717
ADNP2	7	50	0.09040908086446384	0	0.17698948948948948
TCF3	4	50	0.09035137916027049	0	0.20945945945945946
DMAP1	5	50	0.09008212591809164	0	0.2376126126126126
SP1	6	50	0.08955812563206843	0	0.2053928928928929
ZNF335	6	50	0.08941578973941885	0	0.14057807807807807
PREB	2	50	0.08883619259527427	0	0.28716216216216217
ATF6	3	50	0.08877246855545123	0	0.32457457457457456
IKZF3	7	50	0.08841672806744082	0	0.05543043043043043
CGGBP1	6	50	0.08814761308960066	0	0.3738738738738739
ZNF444	7	50	0.0877360386094568	0	0.28634884884884887
GATAD2B	6	50	0.08759351640958198	0	0.24017767767767767
APBB1	4	50	0.08737614607501469	0	0.07945445445445445
ZBTB22	5	50	0.08734505603344483	0	0.09740990990990991
TLE3	7	50	0.08720243528329728	0	0.2652652652652653
TCF12	5	50	0.0871350800481756	0	0.17223473473473475
SMARCE1	5	50	0.08675588862289843	0	0.3998998998998999
DOT1L	5	50	0.08675047744294834	0	0.11893143143143144
SUZ12	5	50	0.08666312464516285	0	0.305492992992993
TCF7	9	50	0.086549859549323	0	0.11498998998999
MIER1	3	50	0.0864410495541029	0	0.30005005005005003
NCOA3	3	50	0.08637460691310238	0	0.28622372372372373
KDM5D	7	50	0.08634233381801032	0	0.05442942942942943
TRIM25	4	50	0.0863147249944833	0	0.19475725725725726
MNT	4	50	0.08631119484905997	0	0.18368368368368368
HDAC3	1	50	0.08595221367475638	0	0.3148148148148148
ZNF277	8	50	0.0857577901744469	0	0.31706706706706705
KLF11	3	50	0.08574563335926952	0	0.12906656656656657
AEBP2	6	50	0.08571367731127914	0	0.19112862862862862
MBD3	4	50	0.08565844369061316	0	0.23073073073073072
NACC2	3	50	0.08539387854349056	0	0.1636011011011011
RREB1	3	50	0.0852948535749104	0	0.2453078078078078
E2F5	9	50	0.08514675342145943	0	0.08952702702702703
EP300	5	50	0.08509138242379849	0	0.19913663663663664
MTA3	2	50	0.08507769191477271	0	0.27871621621621623
ZNF76	6	50	0.08460712611407624	0	0.13676176176176177
ZBTB16	5	50	0.08438573369753335	0	0.05693193193193193
E2F3	3	50	0.08417043701016472	0	0.15233983983983984
MED1	0	50	0.08408875209203436	0	0.23592342342342343
SP3	1	50	0.08392903512946275	0	0.3059934934934935
SOX13	4	50	0.08380639930962804	0	0.057432432432432436
ZBTB4	5	50	0.0837908720319928	0	0.21402652652652654
THRA	1	50	0.08376829309855971	0	0.18043043043043044
PHF1	3	50	0.08368215517287819	0	0.26876876876876876
FOXJ3	1	50	0.08359062247181544	0	0.22547547547547547
GTF2F1	2	50	0.0835532270806805	0	0.32150900900900903
ZBTB7B	5	50	0.08310501596966041	0	0.2708333333333333
KAT6B	2	50	0.08275507017455543	0	0.16697947947947947
MITF	3	50	0.08268708860513804	0	0.08965215215215215
HNF4G	2	50	0.0826307976398828	0	0.05098848848848849
ING4	5	50	0.08258812204677414	0	0.1940065065065065
TAF1	5	50	0.08252731343539389	0	0.14796046046046046
PARP10	3	50	0.0823943086015351	0	0.16522772772772773
CNOT8	2	50	0.08236537305860628	0	0.3061186186186186
NR3C2	2	50	0.08200205537228836	0	0.0711961961961962
KDM4B	4	50	0.08199888057537924	0	0.2017017017017017
CNOT4	1	50	0.08161259292678441	0	0.32326076076076077
NFRKB	1	50	0.08156895166624874	0	0.16854354354354353
UPF1	1	50	0.08153289191658622	0	0.19507007007007007
NR1H3	2	50	0.08129842025061274	0	0.11498998998999
SCD5	3	50	0.08091821394330521	0	0.12130880880880882
HNF1B	3	50	0.08084070129942761	0	0.1255005005005005
RFX2	3	50	0.08018936235405288	0	0.10491741741741742
ZNF652	2	50	0.080110531759468	0	0.28847597597597596
TBPL1	0	50	0.08006207370006421	0	0.18299549549549549
ELF2	1	50	0.08002210514017002	0	0.2602602602602603
ZNF316	8	50	0.0797581479430432	0	0.18343343343343343
CBFB	2	50	0.07971181294461605	0	0.2972972972972973
ARID1B	1	50	0.07969972318874553	0	0.2078953953953954
CIC	1	50	0.07966615637126125	0	0.1918168168168168
ZNF165	0	50	0.07931738429390262	0	0.08671171171171171
NR1D2	1	50	0.07904632343734677	0	0.19119119119119118
KAT5	1	50	0.0788347672347503	0	0.21934434434434436
AKNA	0	50	0.07873932430382474	0	0.11705455455455456
KMT2D	3	50	0.07869540595432788	0	0.13282032032032032
TCF20	2	50	0.07857564503542709	0	0.15284034034034033
DENND4A	2	50	0.0784535500697225	0	0.1102977977977978
ZBTB10	2	50	0.0783121631513927	0	0.21446446446446446
ARNT	0	50	0.07822418810598412	0	0.16660410410410412
SMARCA5	0	50	0.078147536796098	0	0.367992992992993
PCGF2	0	50	0.07811692773458616	0	0.2705830830830831
NPAS2	1	50	0.07798866103920755	0	0.11667917917917918
IKZF2	1	50	0.07788213959665129	0	0.11636636636636637
NR1D1	1	50	0.07768292744099298	0	0.1253128128128128
PLAGL2	1	50	0.07739597092092826	0	0.14827327327327328
IRF6	1	50	0.07732833226776234	0	0.19594594594594594
TIAL1	1	50	0.07678697608614833	0	0.43543543543543545
SRSF1	0	50	0.07670842693429564	0	0.4444444444444444
ZMIZ1	0	50	0.07663110896579663	0	0.1042917917917918
LCOR	2	50	0.07630056667797583	0	0.23948948948948948
UBP1	0	50	0.07621779059474855	0	0.1789914914914915
BARX2	4	50	0.07621583366574518	0	0.12037037037037036
GRHL2	0	50	0.07620940043516984	0	0.13444694694694695
TRRAP	0	50	0.07616590276216012	0	0.15947197197197197
HINFP	1	50	0.07582460397112793	0	0.1128003003003003
ZSCAN9	0	50	0.07557504130610564	0	0.07194694694694695
TRIM5	1	50	0.07531116190201863	0	0.14301801801801803
ZNF91	1	50	0.07525658124758243	0	0.21634134134134134
PPARA	0	50	0.07525131911821052	0	0.14783533533533533
HDAC5	2	50	0.07518137097364413	0	0.22997997997998
KDM3B	1	50	0.07517114965762628	0	0.21577827827827828
ZNF134	2	50	0.07515993791182135	0	0.07695195195195195
TRERF1	0	50	0.07483317720544998	0	0.0681931931931932
RFWD2	0	50	0.07476838101954028	0	0.21452702702702703
KAT2B	2	50	0.07473871502722712	0	0.07807807807807808
ERCC2	0	50	0.07460246830291734	0	0.09084084084084085
TTF1	1	50	0.0746012183468158	0	0.24136636636636635
NFX1	1	50	0.07459681510997986	0	0.20013763763763764
PDCD11	0	50	0.07455098890229095	0	0.13307057057057056
MECP2	0	50	0.07453955103518416	0	0.3033658658658659
NCOA4	0	50	0.07444006535474458	0	0.32513763763763764
GTF2IRD1	0	50	0.07434875421670459	0	0.17048298298298298
POU2F1	0	50	0.07410023498441275	0	0.17686436436436437
MEF2A	0	50	0.07405194374091713	0	0.18518518518518517
HIVEP2	0	50	0.07401237609787889	0	0.12018268268268269
CEBPZ	0	50	0.07395608634144821	0	0.32895395395395394
TFAP2C	1	50	0.07332590689023558	0	0.18956456456456455
GATA2	0	50	0.07332584444929585	0	0.064502002002002
NCOA6	1	50	0.07329132451703069	0	0.1908158158158158
RNF14	0	50	0.0731042411143997	0	0.21265015015015015
TFE3	0	50	0.07309116534610166	0	0.19025275275275275
UBTF	0	50	0.07255310469244819	0	0.30349099099099097
SIX4	0	50	0.07234298220440077	0	0.10103853853853854
SIN3A	0	50	0.07223021121648827	0	0.19544544544544545
GTF2A1	1	50	0.07216581278808333	0	0.13976476476476477
ZXDC	0	50	0.07199428240844541	0	0.0954079079079079
SMAD4	0	50	0.07196624186266327	0	0.19575825825825827
ZNF160	0	50	0.07172838220823807	0	0.11861861861861862
ELK1	0	50	0.07159707857092827	0	0.14145395395395396
RBL2	1	50	0.07138439518511053	0	0.2544419419419419
MLX	0	50	0.071351784257495	0	0.3751876876876877
NFIL3	1	50	0.07132147147605489	0	0.12981731731731733
TEF	0	50	0.0704668222369174	0	0.06312562562562563
GMEB1	0	50	0.06998285822796381	0	0.1128003003003003
ZNF692	1	50	0.06997017543066232	0	0.20426676676676678
CBX7	0	50	0.06939376735525221	0	0.08370870870870871
RFX1	0	50	0.06918701204206174	0	0.16635385385385384
KAT2A	0	50	0.06883758675248237	0	0.20495495495495494
HIVEP3	0	50	0.06877380060808423	0	0.07007007007007007
ELL	0	50	0.06868589590320566	0	0.11273773773773774
ABL1	0	50	0.06861591849329611	0	0.15903403403403404
CC2D1A	0	50	0.06859208924370094	0	0.24987487487487486
NFYB	0	50	0.06851521341925225	0	0.20833333333333334
STAT5A	0	50	0.06829656834979043	0	0.05061311311311311
ARID5A	0	50	0.068284852406904	0	0.10422922922922923
TFAP4	0	50	0.06828033958379626	0	0.052615115115115116
ZNF362	0	50	0.0682485418607461	0	0.11423923923923925
SP4	1	50	0.06818370485783039	0	0.07407407407407407
NAB1	0	50	0.06814386227144724	0	0.1397022022022022
MBD1	0	50	0.06812782466996299	0	0.1699824824824825
KAT7	0	50	0.06806093520298126	0	0.1729229229229229
PHF10	0	50	0.06783043790974265	0	0.16441441441441443
THAP1	0	50	0.06777628447111425	0	0.13563563563563563
SMAD7	0	50	0.06758576433543942	0	0.09678428428428429
KDM2B	1	50	0.06734672223557518	0	0.0889014014014014
CREBZF	1	50	0.06703325344641697	0	0.2192817817817818
MAML1	0	50	0.06682414590320353	0	0.19106606606606608
NFATC1	0	50	0.0668035260632778	0	0.08377127127127128
WDR5	0	50	0.06668908408336921	0	0.2045795795795796
NFATC4	1	50	0.06666451391177146	0	0.12230980980980981
CBX8	0	50	0.06625696734208959	0	0.10316566566566567
RLF	0	50	0.06589317708707206	0	0.14051551551551553
ELF4	0	50	0.06584426234573636	0	0.07576326326326327
TAF4	0	50	0.06577294867932118	0	0.12775275275275275
DEDD	0	50	0.06557959827020779	0	0.18262012012012013
IRF2	0	50	0.06556427445196354	0	0.2149024024024024
JAZF1	0	50	0.06555462626351914	0	0.07132132132132132
ATF2	0	50	0.06527279475515574	0	0.20495495495495494
ZNF16	0	50	0.06516881021602935	0	0.06706706706706707
EAF1	0	50	0.06470690980074738	0	0.14814814814814814
E2F6	0	50	0.06434224926863832	0	0.17148398398398398
NR2C2	0	50	0.06415986356221613	0	0.11248748748748749
ZNF205	0	50	0.06411887646805609	0	0.17229729729729729
ZFX	0	50	0.06407322194934706	0	0.1651026026026026
ZNF263	0	50	0.06389317917388959	0	0.16328828828828829
PRDM4	0	50	0.06373691877109072	0	0.11805555555555555
ZC3H8	0	50	0.06371163556059815	0	0.1704204204204204
HDAC11	0	50	0.06368920076899658	0	0.1363863863863864
ZNF513	0	50	0.06344787875220562	0	0.11843093093093093
RB1	0	50	0.06342858748897838	0	0.12456206206206206
DMTF1	1	50	0.06332945084689277	0	0.1656031031031031
E4F1	0	50	0.06295152068381589	0	0.18468468468468469
XPC	0	50	0.062393271729896824	0	0.17924174174174173
THRB	0	50	0.06235545102158691	0	0.07432432432432433
ZNF250	0	50	0.062146912324240626	0	0.05411661661661662
ZNF219	0	50	0.061989116141469014	0	0.1258133133133133
SEC14L2	0	50	0.061884059903903686	0	0.05274024024024024
ZBTB8A	0	50	0.06182282140241806	0	0.09059059059059059
SOX6	0	50	0.061714378113975545	0	0.05198948948948949
PHF8	0	50	0.06164220099451698	0	0.125
TET2	0	50	0.06158020926255288	0	0.10178928928928929
TRIM21	1	50	0.06147554484155369	0	0.05793293293293293
SUPT20H	0	50	0.060657937692298554	0	0.20839589589589588
ETV3	0	50	0.060475397791401174	0	0.1174924924924925
KDM4C	0	50	0.06018724234402185	0	0.07782782782782782
MTF1	0	50	0.05997095452293071	0	0.16216216216216217
MZF1	0	50	0.05994641135528934	0	0.12437437437437437
ZHX3	0	50	0.05989538217975204	0	0.08164414414414414
VHL	0	50	0.05987367905106106	0	0.15334084084084085
TFEB	0	50	0.059734515275061704	0	0.09740990990990991
CREB1	0	50	0.059688403921678096	0	0.24593343343343343
TFCP2	0	50	0.05960811696873291	0	0.15703203203203203
SIRT6	0	50	0.05943287209023555	0	0.1841841841841842
IKZF5	0	50	0.059364605207912785	0	0.09365615615615616
FOXJ2	0	50	0.05912539668662016	0	0.09522022022022023
SNIP1	0	50	0.059091383714123265	0	0.10372872872872872
BTAF1	0	50	0.05904987031439474	0	0.08314564564564565
RUNX2	0	50	0.058448932699610615	0	0.09384384384384384
NR2C1	0	50	0.058373650672850906	0	0.11086086086086086
ZNF266	0	50	0.05825891021122115	0	0.08164414414414414
DBP	0	50	0.057997560571831655	0	0.15427927927927929
ZNF267	0	50	0.05794404129308876	0	0.11286286286286286
HDAC4	0	50	0.05790852837073036	0	0.07182182182182183
ZBTB33	0	50	0.05786012072248063	0	0.11905655655655656
ZNF398	0	50	0.057691840073734804	0	0.10504254254254254
ZNF746	0	50	0.05753189411247149	0	0.10579329329329329
MEN1	0	50	0.0574594437148977	0	0.15384134134134134
GABPB2	0	50	0.05736833752897295	0	0.10297797797797797
TBP	0	50	0.05719625487583281	0	0.0757007007007007
ZNF143	0	50	0.056613725806718494	0	0.10798298298298298
TBC1D22A	0	50	0.05655470514283569	0	0.1619119119119119
STAT5B	0	50	0.056342155704802555	0	0.09903653653653653
PIAS4	0	50	0.05627262987222123	0	0.15284034034034033
SIN3B	0	50	0.05624758232135489	0	0.12725225225225226
ZFP90	0	50	0.05608175547665776	0	0.11811811811811812
IKZF4	0	50	0.056058384479038006	0	0.08558558558558559
ZNF189	0	50	0.055546867501988305	0	0.08514764764764765
HIVEP1	0	50	0.05545516707276832	0	0.08858858858858859
NOTCH1	0	50	0.05525625400195758	0	0.07882882882882883
TERF2	0	50	0.05512404699051013	0	0.140015015015015
RBAK	0	50	0.05494685654065885	0	0.10954704704704704
HDAC10	0	50	0.05486069642411298	0	0.14533283283283283
POLR1A	0	50	0.054568140094136755	0	0.10304054054054054
HSF2	0	50	0.054117196047798063	0	0.06537787787787788
FLYWCH1	0	50	0.05401997834907478	0	0.12362362362362363
ARNTL	0	50	0.05397370198088221	0	0.0843968968968969
ZBTB17	0	50	0.05396117064081456	0	0.13676176176176177
ZBTB5	0	50	0.05358808946696313	0	0.07063313313313313
ZHX2	0	50	0.05313366758768848	0	0.0650025025025025
MYBBP1A	0	50	0.053068127361798084	0	0.10892142142142142
MKL1	0	50	0.05305758357680856	0	0.06900650650650651
ZNF268	0	50	0.05292054392867067	0	0.12074574574574574
MED23	0	50	0.05288707972885906	0	0.0995995995995996
CXXC1	0	50	0.05286678442720153	0	0.16091091091091092
BRPF1	0	50	0.05238632325195343	0	0.0852102102102102
CC2D1B	0	50	0.05199340000662848	0	0.10760760760760761
ECD	0	50	0.05168127958348807	0	0.11511511511511512
CARF	0	50	0.05162752292222148	0	0.06174924924924925
FUBP3	0	50	0.0513188449951918	0	0.22522522522522523
EED	0	50	0.0512958872558227	0	0.1256881881881882
ZNF236	0	50	0.05103820109557314	0	0.08602352352352352
TCFL5	0	50	0.05070385196160647	0	0.06224974974974975
ZNF184	0	50	0.050374348950159444	0	0.0543043043043043
NKRF	0	50	0.050165712652337595	0	0.08308308308308308
CRTC1	0	50	0.049739391836593615	0	0.10404154154154154
SIRT3	0	50	0.04967198913391667	0	0.14189189189189189
ZNF140	0	50	0.04940300729496547	0	0.11636636636636637
ZNF174	0	50	0.04842083753144499	0	0.07138388388388388
ZNF384	0	50	0.0480491008701046	0	0.07976726726726727
FIZ1	0	50	0.04722008978483222	0	0.07351101101101101
ZBTB2	0	50	0.04570182599054977	0	0.07607607607607608
ZNF419	0	50	0.045432193180478704	0	0.053553553553553554
PKNOX1	0	50	0.04528271664254812	0	0.13713713713713713
NRF1	0	50	0.044995837930173914	0	0.06731731731731731
ZNF740	0	50	0.04487668430406869	0	0.06650400400400401
ZBTB14	0	50	0.044003734189208915	0	0.05855855855855856
SP2	0	50	0.04399829178291114	0	0.11136136136136136
ZNF350	0	50	0.0439080892796469	0	0.06612862862862863
TADA2A	0	50	0.04339854206945774	0	0.06387637637637637
MTA2	0	50	0.04246293145159215	0	0.05055055055055055
ZBTB48	0	50	0.041542780551160424	0	0.11330080080080081
GABPA	0	50	0.04149365019587223	0	0.10291541541541542
GZF1	0	50	0.04113236235946762	0	0.058683683683683686
SUGP1	0	50	0.03869935532180386	0	0.10585585585585586
TRAF6	0	50	0.03864937722550606	0	0.052615115115115116
