gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
RNF180	1.1761853982955455	2.4447496003948577	1.3660066849239634	0.23017055211316212	0.8610392696292083	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ARMC1	0.41561627608173857	4.428940860595162	1.3652663890045886	0.23038770449658819	0.30442137844231487	5	0.7214197265802975	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
TNNT1	-1.301530953905901	3.6207155469103074	-1.3644851021264162	0.2306170890085489	0.9538623410967204	5	0.7216449101453303	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
CCDC122	0.6656718784631026	2.577667290252809	1.3643296683158226	0.23066274962211267	0.4879113119960455	5	0.7216449101453303	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
RYBP	0.7333257849689823	5.077647451443084	1.3642226510290105	0.23069419220232357	0.537541129679856	5	0.7216449101453303	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
GSPT1	0.7016588201080772	6.823799855221403	1.3641936336208869	0.2307027184530633	0.5143396089935647	5	0.7216449101453303	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ST3GAL5	1.3850562031161588	4.474039889994757	1.3639779101173988	0.23076611423288346	1.0154535442564065	5	0.7216531051886379	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	IFN
PEX16	-0.7273352597134466	4.426873014250527	-1.3637094307495303	0.2308450364407627	0.533350612170867	5	0.7217098374664603	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
POLR2A	0.4287178781205472	5.213055029800897	1.3633154607308855	0.23096089365069844	0.314467113789429	5	0.7217768841414014	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
KCNK6	-1.102694973727062	3.777772080030545	-1.3630202453454319	0.2310477451589742	0.8090085070215554	5	0.7217768841414014	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
HIST2H2AA3	-1.4924249945486185	2.0177003034290846	-1.3629081589826606	0.2310807286504622	1.0950297602317058	5	0.7217768841414014	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
EVA1B	-0.8610621819932345	4.161021470927234	-1.362620362945644	0.23116543816755128	0.631916420309347	5	0.7217768841414014	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
MRPS10	-0.5634432356647852	5.4005420950239715	-1.362603462450656	0.23117041354132978	0.4135049199503918	5	0.7217768841414014	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
RAVER2	1.1469353156845052	1.9347958433603587	1.3620101816696721	0.2313451343187464	0.8420901187966824	5	0.7219795991881075	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PINK1	-0.4215080686130969	4.974260016241359	-1.3619700896787688	0.23135694584055494	0.309484086183209	5	0.7219795991881075	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
NPNT	1.59786877183828	3.0775248933482224	1.361709119485103	0.23143384419991692	1.1734288542052762	5	0.7219915905615385	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
MYO15B	1.1260126086945548	2.2119327832242393	1.3615069681749197	0.2314934272321096	0.8270340402326095	5	0.7219915905615385	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
TGFB2	1.2331856717505787	2.391500680625126	1.3613381324011737	0.2315432016892655	0.9058628730067559	5	0.7219915905615385	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
SNX30	1.6532870480776727	3.9045208445877164	1.3604614125179157	0.23180182847967476	1.2152399420265811	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
DTX3L	0.33426563187127845	4.452547658255939	1.3604378803030834	0.2318087740575265	0.24570444318766654	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
GCH1	0.9655285639042543	3.5453079918771198	1.360109908920853	0.23190559570602567	0.709890103418429	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	IFN
HADH	0.9701791959005114	4.61840838350131	1.3601074440224552	0.23190632352107116	0.7133107021539792	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PLD2	1.3578130364954584	2.208571490079791	1.3595250071062774	0.2320783606605507	0.9987407582781703	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
