dataset	gene	source
GSE131907	PDE4B	official
GSE131907	PELI1	official
GSE131907	PFKP	official
GSE131907	PIM1	official
GSE131907	PLA2G4A	official
GSE131907	PLSCR1	official
GSE131907	PML	official
GSE131907	PNP	official
GSE131907	PNPT1	official
GSE131907	PROCR	official
GSE131907	PSMA2	official
GSE131907	PSMA3	official
GSE131907	PSMB10	official
GSE131907	PSMB2	official
GSE131907	PSMB8	official
GSE131907	PSMB9	official
GSE131907	PSME1	official
GSE131907	PSME2	official
GSE131907	PTGS2	official
GSE131907	PTPN1	official
GSE131907	PTPN2	official
GSE131907	PTPN6	official
GSE131907	RAPGEF6	official
GSE131907	RBCK1	official
GSE131907	RIPK1	official
GSE131907	RIPK2	official
GSE131907	RNF213	official
GSE131907	RNF31	official
GSE131907	RSAD2	official
GSE131907	RTP4	official
GSE131907	SAMD9	official
GSE131907	SAMD9L	official
GSE131907	SAMHD1	official
GSE131907	SECTM1	official
GSE131907	SELL	official
GSE131907	SELP	official
GSE131907	SERPING1	official
GSE131907	SLAMF7	official
GSE131907	SLC25A28	official
GSE131907	SOCS1	official
GSE131907	SOCS3	official
GSE131907	SOD2	official
GSE131907	SP110	official
GSE131907	SPPL2A	official
GSE131907	SRI	official
GSE131907	SSPN	official
GSE131907	ST3GAL5	official
GSE131907	ST8SIA4	official
GSE131907	STAT1	official
GSE131907	STAT2	official
GSE131907	STAT3	official
GSE131907	STAT4	official
GSE131907	TAP1	official
GSE131907	TAPBP	official
GSE131907	TDRD7	official
GSE131907	TENT5A	alias:FAM46A
GSE131907	TMEM140	official
GSE131907	TNFAIP2	official
GSE131907	TNFAIP3	official
GSE131907	TNFAIP6	official
GSE131907	TNFSF10	official
GSE131907	TOR1B	official
GSE131907	TRAFD1	official
GSE131907	TRIM14	official
GSE131907	TRIM21	official
GSE131907	TRIM25	official
GSE131907	TRIM26	official
GSE131907	TRIM5	official
GSE131907	TXNIP	official
GSE131907	UBA7	official
GSE131907	UBE2L6	official
GSE131907	UPP1	official
GSE131907	USP18	official
GSE131907	VAMP5	official
GSE131907	VAMP8	official
GSE131907	VCAM1	official
GSE131907	WARS1	alias:WARS
GSE131907	XAF1	official
GSE131907	XCL1	official
GSE131907	ZBP1	official
GSE131907	ZNFX1	official
GSE131907	ACTR2	official
GSE131907	APLF	official
GSE131907	ASTE1	official
GSE131907	ATM	official
GSE131907	ATP23	absent
GSE131907	AUNIP	official
GSE131907	CYREN	alias:C7orf49
GSE131907	DCLRE1A	official
GSE131907	DCLRE1B	official
GSE131907	DCLRE1C	official
GSE131907	DEK	official
GSE131907	DNTT	official
GSE131907	ERCC1	official
GSE131907	ERCC4	official
GSE131907	ERCC6	official
GSE131907	ERCC6L2	official
GSE131907	ERCC8	official
GSE131907	FH	official
GSE131907	HELQ	official
GSE131907	HMCES	official
GSE131907	HMGA2	official
GSE131907	HMGB1	official
GSE131907	HMGB2	official
GSE131907	HSF1	official
GSE131907	IFFO1	official
GSE131907	KDM2A	official
GSE131907	KDM4D	official
GSE131907	KMT5B	official
GSE131907	KMT5C	official
GSE131907	LIG3	official
GSE131907	LIG4	official
GSE131907	LMNA	official
GSE131907	MAD2L2	official
GSE131907	MLH1	official
GSE131907	MRE11	alias:MRE11A
GSE131907	MRNIP	alias:C5orf45
GSE131907	NBN	official
GSE131907	NHEJ1	official
GSE131907	NSD2	alias:WHSC1
GSE131907	NSMCE2	official
GSE131907	NUDT16L1	official
GSE131907	PARP3	official
GSE131907	PAXX	alias:C9orf142
GSE131907	PLK1	official
GSE131907	PNKP	official
GSE131907	POLA1	official
GSE131907	POLB	official
GSE131907	POLL	official
GSE131907	POLM	official
GSE131907	POLQ	official
GSE131907	POT1	official
GSE131907	PRKDC	official
GSE131907	PRPF19	official
GSE131907	PSMD14	official
GSE131907	RHNO1	official
GSE131907	RIF1	official
GSE131907	RNF168	official
GSE131907	RNF8	official
GSE131907	SETMAR	official
GSE131907	SHLD1	alias:C20orf196
GSE131907	SHLD2	alias:FAM35A
GSE131907	SHLD3	absent
GSE131907	SMARCAL1	official
GSE131907	SMC5	official
GSE131907	SMCHD1	official
GSE131907	TFIP11	official
GSE131907	TOP2B	official
GSE131907	TOPBP1	official
GSE131907	TP53BP1	official
GSE131907	USP51	official
GSE131907	UVRAG	official
GSE131907	WAS	official
GSE131907	WRAP53	official
GSE131907	XRCC1	official
GSE131907	XRCC4	official
GSE131907	XRCC5	official
GSE131907	XRCC6	official
GSE131907	ZBTB7A	official
GSE131907	CGAS	alias:MB21D1
GSE131907	DDX41	official
GSE131907	DTX4	official
GSE131907	IFI16	official
GSE131907	IRF3	official
GSE131907	NLRC3	official
GSE131907	NLRP4	official
GSE131907	STAT6	official
GSE131907	STING1	alias:TMEM173
GSE131907	TBK1	official
GSE131907	TREX1	official
GSE131907	AARS2	official
GSE131907	AKT1	official
GSE131907	AURKB	official
GSE131907	BANF1	official
GSE131907	BTK	official
GSE131907	ENPP3	official
GSE131907	IRGM	official
GSE131907	LYPLAL1	official
GSE131907	MAP3K7	official
GSE131907	MARCHF5	alias:MARCH5
GSE131907	MIR4691	absent
GSE131907	PARP1	official
GSE131907	PCBP2	official
GSE131907	PPP6C	official
GSE131907	RELA	official
GSE131907	RNF39	official
GSE131907	SLC19A1	official
GSE131907	SMPDL3A	official
GSE131907	SPSB3	official
GSE131907	TAB1	official
GSE131907	ZDHHC18	official
GSE131907	ZDHHC9	official
GSE205335	ADAR	official
GSE205335	APOL6	official
GSE205335	ARID5B	official
GSE205335	ARL4A	official
GSE205335	AUTS2	official
GSE205335	B2M	official
GSE205335	BANK1	official
GSE205335	BATF2	official
GSE205335	BPGM	official
GSE205335	BST2	official
GSE205335	BTG1	official
GSE205335	C1R	official
GSE205335	C1S	official
GSE205335	CASP1	official
GSE205335	CASP3	official
GSE205335	CASP4	official
GSE205335	CASP7	official
GSE205335	CASP8	official
GSE205335	CCL2	official
GSE205335	CCL5	official
GSE205335	CCL7	official
GSE205335	CCRL2	official
GSE205335	CD274	official
GSE205335	CD38	official
GSE205335	CD40	official
GSE205335	CD47	official
GSE205335	CD69	official
GSE205335	CD74	official
GSE205335	CD86	official
GSE205335	CDKN1A	official
GSE205335	CFB	official
GSE205335	CFH	official
GSE205335	CIITA	official
GSE205335	CMKLR1	official
GSE205335	CMPK2	official
GSE205335	CMTR1	official
GSE205335	CNP	official
GSE205335	CSF1	official
GSE205335	CSF2RB	official
GSE205335	CXCL10	official
GSE205335	CXCL11	official
GSE205335	CXCL9	official
GSE205335	DDX58	official
GSE205335	DDX60	official
GSE205335	DHX58	official
GSE205335	EIF2AK2	official
GSE205335	EIF4E3	official
GSE205335	ELF1	official
GSE205335	EPSTI1	official
GSE205335	FAS	official
GSE205335	FCGR1A	official
GSE205335	FGL2	official
GSE205335	FPR1	official
GSE205335	GBP2	official
GSE205335	GBP4	official
GSE205335	GBP6	official
GSE205335	GCH1	official
GSE205335	GMPR	official
GSE205335	GPR18	official
GSE205335	GZMA	official
GSE205335	HELZ2	official
GSE205335	HERC6	official
GSE205335	HIF1A	official
GSE205335	HLA-A	official
GSE205335	HLA-B	official
GSE205335	HLA-C	official
GSE205335	HLA-DMA	official
GSE205335	HLA-DQA1	official
GSE205335	HLA-DRB1	official
GSE205335	HLA-G	official
GSE205335	ICAM1	official
GSE205335	IDO1	official
GSE205335	IFI27	official
GSE205335	IFI30	official
GSE205335	IFI35	official
GSE205335	IFI44	official
GSE205335	IFI44L	official
GSE205335	IFIH1	official
GSE205335	IFIT1	official
GSE205335	IFIT2	official
GSE205335	IFIT3	official
GSE205335	IFITM1	official
GSE205335	IFITM2	official
GSE205335	IFITM3	official
GSE205335	IFNAR2	official
GSE205335	IL10RA	official
GSE205335	IL15	official
GSE205335	IL15RA	official
GSE205335	IL18BP	official
GSE205335	IL2RB	official
GSE205335	IL4R	official
GSE205335	IL6	official
GSE205335	IL7	official
GSE205335	IRF1	official
GSE205335	IRF2	official
GSE205335	IRF4	official
GSE205335	IRF5	official
GSE205335	IRF7	official
GSE205335	IRF8	official
GSE205335	IRF9	official
GSE205335	ISG15	official
GSE205335	ISG20	official
GSE205335	ISOC1	official
GSE205335	ITGB7	official
GSE205335	JAK2	official
GSE205335	KLRK1	official
GSE205335	LAMP3	official
GSE205335	LAP3	official
GSE205335	LATS2	official
GSE205335	LCP2	official
GSE205335	LGALS3BP	official
GSE205335	LPAR6	official
GSE205335	LY6E	official
GSE205335	LYSMD2	official
GSE205335	MARCHF1	alias:MARCH1
GSE205335	METTL7B	official
GSE205335	MOV10	official
GSE205335	MT2A	official
GSE205335	MTHFD2	official
GSE205335	MVB12A	official
GSE205335	MVP	official
GSE205335	MX1	official
GSE205335	MX2	official
GSE205335	MYD88	official
GSE205335	NAMPT	official
GSE205335	NCOA3	official
GSE205335	NCOA7	official
GSE205335	NFKB1	official
GSE205335	NFKBIA	official
GSE205335	NLRC5	official
GSE205335	NMI	official
GSE205335	NOD1	official
GSE205335	NUB1	official
GSE205335	NUP93	official
GSE205335	OAS1	official
GSE205335	OAS2	official
GSE205335	OAS3	official
GSE205335	OASL	official
GSE205335	OGFR	official
GSE205335	P2RY14	official
GSE205335	PARP12	official
GSE205335	PARP14	official
GSE205335	PARP9	official
GSE205335	PDE4B	official
GSE205335	PELI1	official
GSE205335	PFKP	official
GSE205335	PIM1	official
GSE205335	PLA2G4A	official
GSE205335	PLSCR1	official
GSE205335	PML	official
GSE205335	PNP	official
GSE205335	PNPT1	official
GSE205335	PROCR	official
GSE205335	PSMA2	official
GSE205335	PSMA3	official
GSE205335	PSMB10	official
GSE205335	PSMB2	official
GSE205335	PSMB8	official
GSE205335	PSMB9	official
GSE205335	PSME1	official
GSE205335	PSME2	official
GSE205335	PTGS2	official
GSE205335	PTPN1	official
GSE205335	PTPN2	official
GSE205335	PTPN6	official
GSE205335	RAPGEF6	official
GSE205335	RBCK1	official
GSE205335	RIPK1	official
GSE205335	RIPK2	official
GSE205335	RNF213	official
GSE205335	RNF31	official
GSE205335	RSAD2	official
GSE205335	RTP4	official
GSE205335	SAMD9	official
GSE205335	SAMD9L	official
GSE205335	SAMHD1	official
GSE205335	SECTM1	official
GSE205335	SELL	official
GSE205335	SELP	official
GSE205335	SERPING1	official
GSE205335	SLAMF7	official
GSE205335	SLC25A28	official
GSE205335	SOCS1	official
GSE205335	SOCS3	official
GSE205335	SOD2	official
GSE205335	SP110	official
GSE205335	SPPL2A	official
GSE205335	SRI	official
GSE205335	SSPN	official
GSE205335	ST3GAL5	official
GSE205335	ST8SIA4	official
GSE205335	STAT1	official
GSE205335	STAT2	official
GSE205335	STAT3	official
GSE205335	STAT4	official
GSE205335	TAP1	official
GSE205335	TAPBP	official
GSE205335	TDRD7	official
GSE205335	TENT5A	official
GSE205335	TMEM140	official
GSE205335	TNFAIP2	official
GSE205335	TNFAIP3	official
GSE205335	TNFAIP6	official
GSE205335	TNFSF10	official
GSE205335	TOR1B	official
GSE205335	TRAFD1	official
GSE205335	TRIM14	official
GSE205335	TRIM21	official
GSE205335	TRIM25	official
GSE205335	TRIM26	official
GSE205335	TRIM5	official
GSE205335	TXNIP	official
GSE205335	UBA7	official
GSE205335	UBE2L6	official
GSE205335	UPP1	official
GSE205335	USP18	official
GSE205335	VAMP5	official
GSE205335	VAMP8	official
GSE205335	VCAM1	official
GSE205335	WARS1	alias:WARS
GSE205335	XAF1	official
GSE205335	XCL1	official
GSE205335	ZBP1	official
GSE205335	ZNFX1	official
GSE205335	ACTR2	official
GSE205335	APLF	official
GSE205335	ASTE1	official
GSE205335	ATM	official
GSE205335	ATP23	official
GSE205335	AUNIP	official
GSE205335	CYREN	official
GSE205335	DCLRE1A	official
GSE205335	DCLRE1B	official
GSE205335	DCLRE1C	official
GSE205335	DEK	official
GSE205335	DNTT	official
GSE205335	ERCC1	official
GSE205335	ERCC4	official
GSE205335	ERCC6	official
GSE205335	ERCC6L2	official
GSE205335	ERCC8	official
GSE205335	FH	official
GSE205335	HELQ	official
GSE205335	HMCES	official
GSE205335	HMGA2	official
GSE205335	HMGB1	official
GSE205335	HMGB2	official
GSE205335	HSF1	official
GSE205335	IFFO1	official
GSE205335	KDM2A	official
GSE205335	KDM4D	official
GSE205335	KMT5B	official
GSE205335	KMT5C	official
GSE205335	LIG3	official
GSE205335	LIG4	official
GSE205335	LMNA	official
GSE205335	MAD2L2	official
GSE205335	MLH1	official
GSE205335	MRE11	official
GSE205335	MRNIP	official
GSE205335	NBN	official
GSE205335	NHEJ1	official
GSE205335	NSD2	official
GSE205335	NSMCE2	official
GSE205335	NUDT16L1	official
GSE205335	PARP3	official
GSE205335	PAXX	official
GSE205335	PLK1	official
GSE205335	PNKP	official
GSE205335	POLA1	official
GSE205335	POLB	official
GSE205335	POLL	official
GSE205335	POLM	official
GSE205335	POLQ	official
GSE205335	POT1	official
GSE205335	PRKDC	official
GSE205335	PRPF19	official
GSE205335	PSMD14	official
GSE205335	RHNO1	official
GSE205335	RIF1	official
GSE205335	RNF168	official
GSE205335	RNF8	official
GSE205335	SETMAR	official
GSE205335	SHLD1	official
GSE205335	SHLD2	official
GSE205335	SHLD3	official
GSE205335	SMARCAL1	official
GSE205335	SMC5	official
GSE205335	SMCHD1	official
GSE205335	TFIP11	official
GSE205335	TOP2B	official
GSE205335	TOPBP1	official
GSE205335	TP53BP1	official
GSE205335	USP51	official
GSE205335	UVRAG	official
GSE205335	WAS	official
GSE205335	WRAP53	official
GSE205335	XRCC1	official
GSE205335	XRCC4	official
GSE205335	XRCC5	official
GSE205335	XRCC6	official
GSE205335	ZBTB7A	official
GSE205335	CGAS	official
GSE205335	DDX41	official
GSE205335	DTX4	official
GSE205335	IFI16	official
GSE205335	IRF3	official
GSE205335	NLRC3	official
GSE205335	NLRP4	official
GSE205335	STAT6	official
GSE205335	STING1	alias:TMEM173
GSE205335	TBK1	official
GSE205335	TREX1	official
GSE205335	AARS2	official
GSE205335	AKT1	official
GSE205335	AURKB	official
GSE205335	BANF1	official
GSE205335	BTK	official
GSE205335	ENPP3	official
GSE205335	IRGM	official
GSE205335	LYPLAL1	official
GSE205335	MAP3K7	official
GSE205335	MARCHF5	alias:MARCH5
GSE205335	MIR4691	absent
GSE205335	PARP1	official
GSE205335	PCBP2	official
GSE205335	PPP6C	official
GSE205335	RELA	official
GSE205335	RNF39	official
GSE205335	SLC19A1	official
GSE205335	SMPDL3A	official
GSE205335	SPSB3	official
GSE205335	TAB1	official
GSE205335	ZDHHC18	official
GSE205335	ZDHHC9	official
