set	set_class	left_out	left_out_logFC	left_out_FDR	mean_without	delta_vs_full
HALLMARK_DNA_REPAIR	repair	Polr2j	0.167654197	1.0	0.0486930931642857	-0.0008436957718845062
HALLMARK_DNA_REPAIR	repair	Polr2k	0.639824436	0.617767138	0.04532044859999999	-0.004216340336170216
HALLMARK_DNA_REPAIR	repair	Polr3c	-0.144880188	1.0	0.05092548162857142	0.0013886926924012097
HALLMARK_DNA_REPAIR	repair	Polr3gl	-0.091349643	1.0	0.050543120592857135	0.0010063316566869263
HALLMARK_DNA_REPAIR	repair	Pom121	0.122037288	1.0	0.04901892822857142	-0.000517860707598787
HALLMARK_DNA_REPAIR	repair	Prim1	0.11783649	1.0	0.049048933928571424	-0.00048785500759878503
HALLMARK_DNA_REPAIR	repair	Rad51	0.814857253	0.406765223	0.044070214192857136	-0.005466574743313073
HALLMARK_DNA_REPAIR	repair	Rad52	-0.05466887	1.0	0.05028111507142857	0.0007443261352583636
HALLMARK_DNA_REPAIR	repair	Rae1	0.148585865	1.0	0.04882929553571428	-0.0007074934004559288
HALLMARK_DNA_REPAIR	repair	Rala	-0.007240643	1.0	0.04994234202142856	0.00040555308525835193
HALLMARK_DNA_REPAIR	repair	Rbx1	0.099959809	1.0	0.04917662450714286	-0.00036016442902735146
HALLMARK_DNA_REPAIR	repair	Rev3l	-0.300429812	0.429385369	0.05203655037142856	0.0024997614352583533
HALLMARK_DNA_REPAIR	repair	Rfc2	0.03357425	1.0	0.04965080707142857	0.00011401813525836052
HALLMARK_DNA_REPAIR	repair	Rfc3	-0.108320655	1.0	0.05066434210714285	0.0011275531709726422
HALLMARK_DNA_REPAIR	repair	Rfc4	0.507861532	0.673313295	0.04626304077142857	-0.003273748164741637
HALLMARK_DNA_REPAIR	repair	Rfc5	-0.357777068	0.713799124	0.05244617362857143	0.0029093846924012207
HALLMARK_DNA_REPAIR	repair	Rnmt	-0.347696803	0.414766529	0.05237417173571428	0.0028373827995440692
