accession,uid,title,summary,pdat,taxon,n_samples,gdsType,gpl
GSE214585,200214585,Targeting advanced prostate cancer with STEAP1 chimeric antigen receptor T cell and tumor-localized IL-12 immunotherapy,This SuperSeries is composed of the SubSeries listed below.,2023/03/22,Homo sapiens; Mus musculus,40,Expression profiling by high throughput sequencing,21103;24247;24676
GSE216297,200216297,Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer,We report RNA-sequencing data of 286 platelet RNA samples isolated from non-small cell lung cancer patients (NSCLC) that were at baseline for nivolumab immunotherapy. This dataset was employed to test the hypothesis that platelet RNA at baseline of nivolumab treatment predicts immune responses.,2023/07/10,Homo sapiens,286,Expression profiling by high throughput sequencing,20301
GSE217451,200217451,Tumoral and stromal hMENA isoforms influence tertiary lymphoid structure localization and predict response to immunocheckpoint blockade in lung cancer patients,"The advent of immunotherapy in the clinical practice of non-small cell lung cancer (NSCLC) have highlighted the impact of the tumor immune microenvironment in the control of the tumor progression, as well as in the response to immune checkpoint blockade (ICB) therapy. Tertiary Lymphoid Structures (TLS), determinants of antitumor immunity, are associated with a favorable clinical outcome in NSCLC patients and with the effectiveness of ICB in several tumors. The actin regulatory protein hMENA undergoes tissue-specific splicing, with tumors expressing hMENA11ahigh/ stromal fibronectin (FN1)low related to early N0 NSCLC patients with a favorable prognosis. hMENA/hMENA∆v6 is overexpressed in pro-tumoral CAFs related to the subtype of immunosuppressive ECM-my-CAF Herein, by analyzing the pattern of hMENA isoform expression in tumor cells and CAFs, we highlighted the role of hMENA as a crucial factor in the communication among tumor cells CAFs, T and B cells. Mechanistically, we demonstrated that in NSCLC cell lines hMENA11a increases the expression of the TLS regulator LTβR, reduces the FN1 expression and favors CXCL13 production by tissue resident T cells. Conversely in CAFs, hMENA/hMENAΔv6 inhibits the NF-kB pathway downstream to LTβR and the secretion of CXCL13, crucial in TLS formation. Of clinical relevance, our experimental data support our finding in primary tumors that TLS localized within the tumor area (TLS-IT) are predictive of a longer disease-free survival in N0 NSCLC patients and are accompanied by the maturation of B cells in the tumor tissue. TLS-IT associate with paucity of hMENA positive CAFs, low stromal FN1 and high hMENA11a tumor cell expression. To translate these results in a clinical setting of ICB treated patients, we identified a signature based on the pattern of hMENA isoforms, FN1 and LTβR expression that may discriminate NSCLC patients responding or not-responding to ICB.",2023/08/30,Homo sapiens,9,Expression profiling by high throughput sequencing,18573
GSE218402,200218402,"Norepinephrine inhibits CD8+ T cell infiltration and function, inducing anti-PD-1 mAb resistance in lung adenocarcinoma","BACKGROUND:Mental stress-induced neurotransmitters can affect the immune system in various ways, leading to tumor immune escape. Therefore, a better understanding of the potential functions of neurotransmitters in the tumor immune microenvironment is expected to promote the development of novel anti-tumor therapies, while facilitating synergistic immune therapy. METHODS: In this study, we analyzed the plasma levels of neurotransmitters in anti-programmed cell death protein 1 (PD-1) monoclonal antibody (mAb)-resistance patients and sensitive patients, to identify significantly different neurotransmitters. Subsequently, animal experiments, transcriptome analysis, metabolomic analysis, and experiments in vitro were used to reveal the specific mechanism of norepinephrine’s (NE) effect on immunotherapy. RESULTS: The plasma NE levels were higher in anti-PD-1 mAb-resistance patients, which may be the main cause of anti-PD-1 mAb resistance. An animal model was established for verification, which further demonstrated that NE could cause anti-PD-1 mAb resistance. Then, from the perspective of the immunosuppressive microenvironment to explore the specific mechanism of NE-induced anti-PD-1 mAb resistance, we found that NE can affect the secretion of the C-X-C Motif Chemokine Ligand 9 (CXCL9) and the immunosuppressive metabolite adenosine (ADO) in tumor cells, thereby inhibiting chemotaxis and function of CD8+ T cells. Notably, the WNT7A/β-catenin signaling pathway plays a crucial role in the NE-induced decrease in the secretion of CXCL9 and disturbance of ADO metabolism. CONCLUSION: NE can affect the secretion of CXCL9 and ADO in tumor cells, thereby inhibiting chemotaxis and the function of CD8+ T cells and inducing anti-PD-1 mAb resistance in lung adenocarcinoma (LUAD).",2023/04/04,Homo sapiens,8,Expression profiling by high throughput sequencing,23227
GSE221322,200221322,Multi-omic and spatial dissection of immunotherapy response groups in NSCLC,Nanostring protein DSP was performed on 42 TMA cores of immunotherapy treated NSCLC patients,2023/12/19,Homo sapiens,96,Other,29263
GSE221733,200221733,Multi-omic and spatial dissection of immunotherapy response groups in non-small cell lung cancer (NSCLC),DSP RNA profiling was performed on a cohort of immunotherapy treated NSCLC patients,2023/12/20,Homo sapiens,93,Expression profiling by high throughput sequencing; Other,18573
GSE222859,200222859,Gene expression profile at single cell level of lymphocytes cells for Pan-T cell analysis,"Tumour infiltrating T lymphocytes (TILs) have provided an attractive avenue for cancer treatment. Yet, the various states of TILs in tumour immune microenvironment (TIME) have not been fully characterized. Here, we present a single-cell atlas of T cells, encompassing 308,048 transcriptomes, spanning 16 different cancer types and 9 types of healthy/cancer-adjacent tissues. This allowed elucidation of 32 transcriptionally distinct T cell subsets, including cell states not reliably observable in individual datasets and those overlooked by previous studies. Our analysis revealed heterogenous subpopulations of follicular helper, regulatory, and proliferative T cells and a high degree of intertumoural heterogeneity in cell states and compositions, providing rich biological insights into the spectrum of TIL phenotypes. We identified a stress response state (TSTR) characterized by unique expression of heat-shock genes. Notably, by applying multiple spatial profiling approaches, we demonstrate TSTR cells are detectable in situ in the TIME across different cancer types, primarily in lymphocyte aggregates that are within tumor beds or surrounding tumor edges. We correlated TIL states and phenotypes with genomic, pathological, and clinical features in large cohorts of treatment-naïve patients as well as in patients treated with immune checkpoint blockade (ICB). We observed significant enrichment of intratumoural CD4/CD8 TSTR cells following ICB therapy, particularly, in non-responsive tumors, suggesting their potential role in immunotherapy resistance. Lastly, this study provides a T cell reference map via a dedicated web portal and an automatic alignment and annotation tool as a resource, supporting T cell therapy optimization and biomarker discovery.",2023/01/14,Homo sapiens,51,Expression profiling by high throughput sequencing,24676
GSE223779,200223779,Single-cell transcriptomic analysis uncovers intratumoral heterogeneity and drug-tolerant persister in ALK-rearranged lung adenocarcinoma,"Acquired drug resistance is the major therapeutic obstacle to maintenance treatment of advanced-stage non-small cell lung cancer. Lung adenocarcinoma (ADC) harboring driver mutations also showed poor response to immune checkpoint inhibitors (ICIs). Underlying mechanisms of how drug insensitivity evolves remain unclear. Here we explored the intratumoral heterogeneity of tyrosine kinase inhibitor (TKI)-resistant anaplastic lymphoma kinase (ALK)-rearranged lung ADC organoids using single-cell RNA-sequencing (scRNA-seq) transcriptomic analysis. IL-17 signaling pathway was found highly induced in a subpopulation of pre-existing ALK-TKI-resistant cells. These drug-tolerant persister (DTP) cells, also found to have high surface intracellular adhesion molecule 1 (ICAM-1) expression level, were more resistant towards ALK-TKI and expressed a higher level of cancer-stem cell transcriptional factors. Moreover, tumor cells with high ICAM-1 expression were found spatially correlated with RORɣt+ Th17 infiltration in ALK-rearranged NSCLC resected tumor tissues. In conclusion, our data revealed marked intratumoral heterogeneity in ALK-rearranged tumor, and pre-existing DTP cells may contribute to the development of drug insensitivity in ALK-rearranged lung ADC.",2023/08/09,Homo sapiens,6,Expression profiling by high throughput sequencing,29480
GSE223987,200223987,The effector program of human CD8 T cells can promote both target cell killing and tissue remodeling (MRC5),"CD8 T lymphocytes are classically viewed as cytotoxic T cells. Whether human CD8 T cells can, in parallel, induce a regenerative program is not completely understood. Here, we have studied antigen-specific assay systems, which revealed that human CD8 T cells not only mediated cytotoxicity, but also promoted bystander fibroblast and epithelial cell activation, leading to the production of tissue regenerative factors such as Amphiregulin (Areg). Tissue remodeling could be inhibited by blocking the epidermal growth factor receptor or the effector cytokines IFN- and TNF. Using single-cell chromatin accessibility and gene expression analysis, we identified a tissue-resident CD8 T cell population in healthy donor skin and adipose tissue with an effector program promoting Areg, TNF and IFNg expression, and a TCR-linkage analysis demonstrated a strong clonal relation between tissue and blood PD1+TIGIT+TOX+ CD8 T cells with tissue remodeling abilities. This regenerative program was also present in anti-cancer associated CD8 populations including chimeric antigen receptor (CAR) CD8 T cells. Once activated, the tissue regenerative program of human CD8 T cells enhanced tumor spheroid, as well as primary liver/bile duct organoid growth. Our findings may help to understand the conflicting CD8 biology in the tumor micromilieu and become relevant for the design of CD8 T-cell therapies for solid tumors.",2023/11/20,Homo sapiens,18,Expression profiling by high throughput sequencing,21697
GSE223989,200223989,The effector program of human CD8 T cells can support tissue remodeling abilities.,"This SuperSeries is composed of the SubSeries listed below. Abstract Paper: CD8 T lymphocytes are classically viewed as cytotoxic T cells. Whether human CD8 T cells can, in parallel, induce a tissue regeneration program is poorly understood. Here, antigen-specific assay systems revealed that human CD8 T cells not only mediated cytotoxicity, but also promoted tissue remodeling. Activated CD8 T cells could produce the epidermal growth factor receptor (EGFR)-ligand amphiregulin (AREG) and sensitize epithelial cells for enhanced regeneration potential. Blocking the EGFR or the effector cytokines IFN-γ and TNF could inhibit tissue remodeling. This regenerative program enhanced tumor spheroid and stem-cell-mediated organoid growth. Using single-cell gene expression analysis, we identified an AREG+, tissue-resident CD8 T-cell population in healthy donor skin and adipose tissue with a strong TCR clonal relation to blood PD1+TIGIT+ CD8 T cells with tissue remodeling abilities. These findings may help to understand the complex CD8 biology in tumors and could become relevant for the design of therapeutic T-cell products.",2023/11/20,Homo sapiens,38,Expression profiling by high throughput sequencing,21697
GSE224099,200224099,A Population of Tumor-Infiltrating CD4+ T-cells Co-expressing CD38 and CD39  is Associated with Checkpoint Inhibitor Resistance,"We previously showed that elevated peripheral blood frequencies of a population of T-cells defined by the marker set CD3+CD4+CD127-GARP-CD38+CD39+ were associated with checkpoint immunotherapy resistance in metastatic melanoma patients. In this study we sought to further understand the role(s) of this population of ectoenzyme expressing T-cells (Teee). Using RNA-sequencing and flow cytometry to evaluate Teee from the peripheral blood of metastatic melanoma patients, we found that Teee were proliferative, apoptotic, had exhaustion associated phenotypes, and had high expression of inhibitory molecules. Co-culture of patient Teee with autologous T-cells in vitro resulted in suppression of proliferation of the target T-cells. Using single-cell RNA-sequencing datasets, we identified distinct clusters of cells with a Teee gene signature present in melanoma, non-small cell lung cancer and bladder cancer patients’ tumors. Teee were not present in healthy bladder tissue. Using multispectral immunofluorescence of melanoma patient FFPE tumor samples, we were able to identify CD4+ T-cells co-expressing CD38 and CD39 in the tumor microenvironment, which preferentially associated with Ki67- CD8+ T-cells. Finally, we found that high baseline intra-tumor frequencies of cells with a Teee gene signature were associated with checkpoint immunotherapy resistance and poor overall survival in metastatic melanoma patients. These results build upon our previous findings, demonstrating that a novel population of CD4+ T-cells co-expressing CD38 and CD39 are found in the periphery and tumor of patients and are associated with checkpoint immunotherapy resistance.",2023/07/17,Homo sapiens,12,Expression profiling by high throughput sequencing,24676
GSE224216,200224216,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [RNA-seq],"Understanding how cancer signaling pathways promote an immunosuppressive program which sustains acquired or primary resistance to immune checkpoint blockade (ICB) is a crucial step in improving immunotherapy efficacy. Among the pathways that can affect ICB response is the IFN pathway that may be detrimental rather than beneficial. Effects of hMENA11a down-regulation were tested by RNA-Seq, ATAC-Seq, flow cytometry and biochemical assays. ICB treated patient tumor tissues were profiled by Nanostring IO 360 Panel enriched with hMENA custom probes.",2023/08/30,Homo sapiens,9,Expression profiling by high throughput sequencing,24676
GSE224246,200224246,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [ATAC-seq],"Understanding how cancer signaling pathways promote an immunosuppressive program which sustains acquired or primary resistance to immune checkpoint blockade (ICB) is a crucial step in improving immunotherapy efficacy. Among the pathways that can affect ICB response is the IFN pathway that may be detrimental rather than beneficial. Effects of hMENA11a down-regulation were tested by RNA-Seq, ATAC-Seq, flow cytometry and biochemical assays. ICB treated patient tumor tissues were profiled by Nanostring IO 360 Panel enriched with hMENA custom probes.",2023/08/30,Homo sapiens,8,Genome binding/occupancy profiling by high throughput sequencing,18573
GSE224941,200224941,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [scRNA-seq],"Decreased antigen presentation contributes to the ability of cancer cells to evade the immune system. We used the minimal gene regulatory network of type 1 conventional dendritic cells (cDC1) to reprogram cancer cells into professional antigen- presenting cells (tumor-APCs). Enforced expression of the transcription factors PU.1, IRF8, and BATF3 (PIB) was sufficient to induce cDC1 phenotype in 36 cell lines derived from human and mouse hematological and solid tumors. Within 9 days of reprogramming, tumor-APCs acquired transcriptional and epigenetic programs associated with cDC1 cells. Reprogramming restored the expression of antigen presentation complexes and costimulatory molecules on the surface of tumor cells, allowing the presentation of endogenous tumor antigens on MHC-I, and facilitating targeted killing by CD8+ T cells. Functionally, tumor-APCs engulfed and processed proteins and dead cells, secreted inflammatory cytokines, and cross- presented antigens to naïve CD8+ T cells. Human primary tumor cells could also be reprogrammed to increase their capability to present antigen and to activate patient-specific tumor-infiltrating lymphocytes. In addition to acquiring improved antigen presentation, tumor-APCs had impaired tumorigenicity in vitro and in vivo. Injection of in vitro generated melanoma-derived tumor-APCs into subcutaneous melanoma tumors delayed tumor growth and increased survival in mice. Antitumor immunity elicited by tumor-APCs was synergistic with immune checkpoint inhibitors. Our approach serves as a platform for the development of immunotherapies that endow cancer cells with the capability to process and present endogenous tumor antigens.",2023/07/07,Homo sapiens,59,Expression profiling by high throughput sequencing,24676
GSE225689,200225689,Netrin-1 blockade induces tumor growth inhibition and EMT reversion in endometrial cancer [scRNA-seq],"Netrin-1 is up-regulated in a large fraction of human cancers as a pro-tumoralmechanism. Therefore, a phase I trial assessing netrin-1 blockade using an anti- netrin-1 monoclonal antibody (NP137) in patients with advanced solid cancer is ongoing. We analyzed here the potential implication of netrin-1 in endometrial carcinoma. We show that netrin-1 is up-regulated in the vast majority of human endometrial carcinomas, and demonstrate that NP137 treatment is effective in reducing tumor progression in preclinical mouse models of endometrial carcinoma. We report here a confirmed objective response in a patient with endometrial carcinoma (EC) treated in monotherapy with NP137. A 51.16% reduction of target lesions at 6 weeks and up to 54.65% reduction during the next 6 months of NP137 treatment was observed for a 74 years old woman. To evaluate the mechanism of action of the anti-netrin-1 mAb, we performed gene profiling of mouse PTENf/f endometrial tumors treated with NP137 and observed that, in addition to cell death induction, NP137 induced a reversion of the Epithelial-to-Mesenchymal Transition (EMT). Of interest, by analyzing 13 pre/post paired biopsies of the patients with endometrial carcinoma treated in the NP137 trial, we confirmed a significant reduction of EMT in tumors. We thus performed pre/post NP137 treatment biopsy- based single cell RNA sequencing in a patient with endometrial carcinoma, and showed a net decrease of neoplastic cells and a reversion of EMT markers in the remaining tumor cells, with associated change in the tumor microenvironment. Given the importance of EMT in resistance to the current standard of care including chemotherapy or immune-checkpoint inhibitors, we showed in a PTENf/f endometrial cancer mouse model that combining NP137 with carboplatin paclitaxel outperformed carboplatin paclitaxel alone. Our results thus identify for the first time, in preclinical models and in patients, netrin-1 blockade as a clinical strategy triggering both tumor debulking and reversion of EMT, thus potentially alleviating resistance to standard treatments.",2023/06/02,Homo sapiens,2,Expression profiling by high throughput sequencing,24676
GSE228419,200228419,Characteristics and anatomic location of PD-1+TCF1+ stem-like CD8 T cells in chronic viral infection and cancer,CD8 T cells play an essential role in anti-tumor immunity and chronic viral infections. Recent findings have delineated the differentiation pathway of CD8 T cells in accordance with the progenitor-progeny relationship of TCF1+ stem-like and Tim-3+TCF1- more differentiated T cells. Here we investigated the characteristics of stem-like and differentiated CD8 T cells isolated from several murine tumor models and human lung cancer samples in terms of phenotypic and transcriptional features as well as their location compared to virus-specific CD8 T cells in the chronically LCMV-infected mice. We found that CD8 tumor-infiltrating lymphocytes (TILs) in both murine and human tumors exhibited overall similar phenotypic and transcriptional characteristics compared to corresponding subsets in the spleen of chronically infected mice.,2023/04/02,Homo sapiens,14,Expression profiling by high throughput sequencing,21290
GSE229353,200229353,PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells,"The combination of PD-1 blockade with neoadjuvant chemotherapy (NAC) has achieved unprecedented clinical success in non-small-cell lung cancer (NSCLC) compared to NAC alone, but the underlying mechanisms by which PD-1 blockade augments the effects of chemotherapy remain incompletely elucidated. Single-cell RNA sequencing was performed on CD45+ immune cells isolated from surgically resected fresh tumor tissues of seven NSCLC patients receiving NAC or neoadjuvant pembrolizumab and chemotherapy (NAPC). Multiplex fluorescent immunohistochemistry was performed on paired FFPE tissues before and after NAC or NAPC from 65 resectable NSCLC patients, and results were validated with GEO dataset. NAC resulted in an increase only of CD20+ B cells, whereas NAPC increased the infiltration of CD20+ B cells, CD4+ T cells, CD4+CD127+ T cells, CD8+ T cells, CD8+CD127+ and CD8+KLRG1+ T cells. Synergistic increase in B and T cells promotes favorable therapeutic response after NAPC. Spatial distribution analysis discovered that CD8+ T cells and their CD127+ and KLRG1+ subsets were in closer proximity to CD4+ T/CD20+ B cells in NAPC versus NAC. GEO dataset validated that B-cell, CD4, memory and effector CD8 signatures correlated with therapeutic responses and clinical outcomes. The adding of PD-1 blockade to NAC promoted anti-tumor immunity through T and B cells recruitment in the tumor microenvironment and induced tumor-infiltrating CD8+ T cells skewed toward CD127+ and KLRG1+ phenotypes，which may be assisted by CD4+ T cells and B cells. Our comprehensive study identified key immune cell subsets exerting anti-tumor responses during PD-1 blockade therapy and that may be therapeutically targeted to improve upon existing immunotherapies for NSCLC.",2023/05/16,Homo sapiens,7,Expression profiling by high throughput sequencing,20795
GSE229503,200229503,AVA-ADR-001- a small molecular inhibitor of ADAR1 (Immuno-oncology target),"To inhibitors for ADAR1 and a strong rationale for the development of ADAR1 p150 inhibitors for cancer immunotherapy Here, we describe AVA-ADR-001, a potential first-in-class small molecule inhibitor of ADAR1 p150 targeting the Z alpha domain. AVA-ADR-001 binds specifically to the Z alpha domain of ADAR1 p150 as confirmed by fluorescence spectroscopy and showed significant interferon induction in THP1 macrophages, which have high ADAR1 p150 expression compared with monocytes. Proteomics and transcriptomics analysis revealed significant upregulation of interferon signaling upon treatment with AVA-ADR -001. Interestingly, activation of interferon signaling resulted in AVA-ADR-001 induced cell killing in ADAR1-independent cell lines. In addition, treatment with AVA-ADR -001 resulted in significant activation of PKR, which may explain the decreased cell proliferation. Finally, AVA-ADR-001 showed superior anti-tumor efficacy compared to anti-PD1 in an in vivo tumor efficacy study and has a moderately synergistic effect when combined. Overall, this study reveals that ADAR1 p150 inhibition by AVA-ADR-001 exerts a multipronged impact on anti-tumor efficacy mediated by immune cells, accumulation of interferons and activation of PKR, resulting in protein translation inhibition and cell proliferation arrest.",2023/04/17,Homo sapiens,12,Expression profiling by high throughput sequencing,24676
GSE233470,200233470,EZH2 inhibtion and IFNy treatment of patient derived organoids,This SuperSeries is composed of the SubSeries listed below.,2023/05/31,Mus musculus; Homo sapiens,54,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,24676;24247;21273;28038;28457
GSE235048,200235048,Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients,"To investigate a non-invasive strategy for immune monitoring the peripheral blood by flow cytometry, to address the critical need to itdentify predictive immunological biomarkers that correlate with treatment response Peripheral blood mononuclear cells (PBMCs) from 19 non–small-cell lung cancer (NSCLC) patients before and after ICI treatment and four healthy human donors were evaluated, utilizing spectral flow to monitor 24 immune cell markers simultaneously over the course of treatment. We performed immune cell profiling analysis using data obtained from RNA-seq of 19 different patients before and after immunotherapy, to validate the multi-color flow based immune profiling",2023/08/03,Homo sapiens,15,Expression profiling by high throughput sequencing,11154
GSE235500,200235500,Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response [human],"Regulatory T cells (Treg) are conventionally viewed to suppress endogenous and therapy-induced anti-tumor immunity; however, their role in modulating responses to immune checkpoint blockade (ICB) is unclear. In this study, we integrated single-cell RNAseq/TCRseq of >73,000 tumor-infiltrating Treg (TIL-Treg) from anti-PD-1-treated and treatment naive non-small cell lung cancers (NSCLC) with single cell analysis of tumor-associated antigen (TAA)-specific Treg derived from a murine tumor model. We identified 10 subsets of human TIL-Treg, most of which have high concordance with murine TIL-Treg subsets. Notably, only one subset selectively expresses high levels of OX40 and GITR, whose engangement by cognate ligand mediated proliferative programs and NF-kB activation, as well as multiple genes involved in Treg suppression, including LAG3. Functionally, the OX40hiGITRhi subset is the most highly suppressive ex vivo and its higher representation among total TIL-Treg correlated with resistance to PD-1 blockade. Surprisingly, in the murine tumor model, we found that virtually all TIL-Treg expressing T cell receptors that are specific for TAA fully develop a distinct Th1-like signature over a two-week period after entry into the tumor, down-regulating FoxP3 and up-regulating expression of TBX21 (Tbet), IFN and certain pro-inflammatory granzymes. Transfer learning of a gene score from the murine TAA-specific Th1-like Treg subset to the human single-cell dataset revealed a highly analogous subcluster that was enriched in anti-PD-1 responding tumors. These findings demonstrate that TIL-Treg partition into multiple distinct transcriptionally-defined subsets with potentially opposing effects on ICB-induced anti-tumor immunity and suggest that TAA-specific TIL-Treg may positively contribute to anti-tumor responses.",2023/09/11,Homo sapiens,34,Expression profiling by high throughput sequencing,24676
GSE235603,200235603,Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response,This SuperSeries is composed of the SubSeries listed below.,2023/09/11,Homo sapiens; Mus musculus,86,Expression profiling by high throughput sequencing,24676;24247
GSE235800,200235800,"Activated CD4 T cells in tuberculosis express OX40, a target for host-directed immunotherapy",This SuperSeries is composed of the SubSeries listed below.,2023/11/06,Homo sapiens; Mus musculus,24,Expression profiling by high throughput sequencing,24676;24247
GSE238003,200238003,Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [CUT&Tag],"Small cell lung cancers (SCLC) rapidly resist cytotoxic chemotherapy and immune-checkpoint inhibitor (ICI) treatments. New, non-cross-resistant therapies are thus needed. SCLC cells are committed into neuroendocrine-lineage then maturation-arrested. The corepressor DNA methyltransferase 1 (DNMT1) mediates the maturation-arrests: (i) the repression mark methylated-CpG, written by DNMT1, is retained at suppressed neuroendocrine-lineage genes, even as other repression marks are erased; (ii) DNMT1 is recurrently amplified, while Ten-Eleven-Translocation 2 (TET2) that functionally opposes DNMT1 is deleted; (iii) DNMT1 is recruited into neuroendocrine-lineage master transcription factor (ASCL1, NEUROD1) hubs in SCLC cells; and (iv) DNMT1 knock-down activated ASCL1-target genes and released SCLC cell cycling exits by terminal lineage-maturation, cycling exits that do not require the p53/apoptosis-pathway used by cytotoxic chemotherapy. Inhibiting DNMT1/corepressors with clinical compounds accordingly extended survival of mice with chemo- and ICI-refractory disseminated SCLC. Neuroendocrine-lineage commitment of SCLC cells can thus be leveraged into p53/apoptosis-independent therapy, active against chemo- and ICI-refractory SCLC.",2023/07/25,Homo sapiens; Mus musculus,6,Genome binding/occupancy profiling by high throughput sequencing,21697;21626
GSE238006,200238006,Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [RNA-seq],"Small cell lung cancers (SCLC) rapidly resist cytotoxic chemotherapy and immune-checkpoint inhibitor (ICI) treatments. New, non-cross-resistant therapies are thus needed. SCLC cells are committed into neuroendocrine-lineage then maturation-arrested. The corepressor DNA methyltransferase 1 (DNMT1) mediates the maturation-arrests: (i) the repression mark methylated-CpG, written by DNMT1, is retained at suppressed neuroendocrine-lineage genes, even as other repression marks are erased; (ii) DNMT1 is recurrently amplified, while Ten-Eleven-Translocation 2 (TET2) that functionally opposes DNMT1 is deleted; (iii) DNMT1 is recruited into neuroendocrine-lineage master transcription factor (ASCL1, NEUROD1) hubs in SCLC cells; and (iv) DNMT1 knock-down activated ASCL1-target genes and released SCLC cell cycling exits by terminal lineage-maturation, cycling exits that do not require the p53/apoptosis-pathway used by cytotoxic chemotherapy. Inhibiting DNMT1/corepressors with clinical compounds accordingly extended survival of mice with chemo- and ICI-refractory disseminated SCLC. Neuroendocrine-lineage commitment of SCLC cells can thus be leveraged into p53/apoptosis-independent therapy, active against chemo- and ICI-refractory SCLC.",2023/07/25,Homo sapiens; Mus musculus,8,Expression profiling by high throughput sequencing,18460;18480
GSE241212,200241212,"Nonfucosylation of an anti-TIGIT antibody enhances FcyR engagement, driving innate immune activation and antitumor activity","TIGIT is an immune checkpoint receptor expressed on activated and memory T cells, immunosuppressive T regulatory cells, and natural killer (NK) cells. TIGIT has emerged as an attractive target for antitumor therapies, due to its proposed immunosuppressive effects on lymphocyte function and T cell activation. We generated an anti-TIGIT monoclonal antibody (mAb) that binds with high affinity to human, non-human primate, and murine TIGIT and through multiple experimental methodologies demonstrated that checkpoint blockade alone is insufficient for antitumor activity. Generating anti-TIGIT mAbs with various Fc backbones we show that muting the Fc-Fcγ receptor (FcγR) interaction failed to drive antitumor activity, while mAbs with Fc functional backbones demonstrate substantial antitumor activity, mediated through activation of antigen-presenting cells (APCs), T cell priming, and NK-mediated depletion of suppressive Tregs and exhausted T cells. Further, nonfucosylation of the Fc backbone resulted in enhanced immune responses and antitumor activity relative to the intact IgG1 backbone. The improved activity correlated with the biased FcγR interaction profile of the nonfucosylated anti-TIGIT mAb, which supports that FcγRIIIa binding with decreased FcγRIIb binding favorably activates APCs and enhances tumor-specific CD8+ T cell responses. The anti-TIGIT mAbs with intact FcγR interacting backbones also demonstrated synergistic enhancement of other standard antitumor treatments, including anti-PD-1 treatment and a model monomethyl auristatin E antibody–drug conjugate. These findings highlight the importance of the anti-TIGIT mAb’s Fc backbone to its antitumor activity and the extent to which this activity can be enhanced through nonfucosylation of the backbone",2023/10/18,Homo sapiens; Mus musculus,47,Expression profiling by high throughput sequencing,24676;24247
GSE241876,200241876,"Distinct Transcriptional Landscapes Identified by Radiographic Response in Metastatic Triple-Negative Breast Cancer Treated with Carboplatin, Nab-Paclitaxel, and Pembrolizumab in a Single-Arm Phase II Trial","A single arm, Phase II trial of carboplatin, nab-paclitaxel, and pembrolizumab (CNP) in metastatic triple negative breast cancer (mTNBC) was designed to evaluate overall response rate (ORR), progression-free survival (PFS), duration of response (DOR), safety/tolerability, and identify pathologic and transcriptomic correlates of response to therapy.",2023/10/19,Homo sapiens,19,Expression profiling by high throughput sequencing,20301
