term	es	nes	nom_p	n_set_in_rank	mean_t	lead_genes	n_lead	cohort	split	n_high	n_low	n_rank_genes	bucket	expected	primary	source	enrichr_name	n	fdr_all	fdr_primary
HALLMARK_MYOGENESIS	0.17546133910498263	0.889018200779899	0.18581418581418582	198	-0.4864287418129129	KLF5,ITGB4,CDKN1A,BDKRB2,PRNP,AGRN,CRYAB,ERBB3,BHLHE40,TPD52L1,HSPB8,FST,RYR1,PLXNB2,TGFB1,HBEGF,ANKRD2,PC,IGFBP3,SYNGR2,ABLIM1,SPDEF,SLC6A8,CRAT,MB	44	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Myogenesis	200	0.21035568205379526	
HALLMARK_PROTEIN_SECRETION	0.21670293052609305	0.9693079435135683	0.17082917082917082	95	-0.22496625267167863	AP2M1,RAB22A,SGMS1,VPS4B,VAMP3,ATP1A1,RER1,STAM,CAV2,STX12,AP2S1,TMX1,AP3S1,CTSC,EGFR,NAPG,RAB9A,DST,LAMP2,TMED10	20	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Protein Secretion	96	0.19711058172596635	
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3371146435770236	1.508872406525142	0.001998001998001998	92	0.41401743234616406	SAMD9,IL4R,SLC25A28,LPAR6,OAS1,IFI27,CASP1,PLSCR1,PARP9,RTP4,CASP8,LY6E,GBP2,PSMA3,IFI44,OASL,NMI,ISG15,IRF9,PROCR,NCOA7,MX1,LGALS3BP,MOV10	24	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Interferon Alpha Response	97	0.0038671006412941892	
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.2626909649407892	1.335807401914397	0.001998001998001998	196	0.1051827492781513	GBP6,TNFSF10,IL4R,SLC25A28,CDKN1A,VAMP8,UPP1,MVP,BPGM,CASP7,IFI27,GCH1,CASP1,IRF5,CASP4,PLSCR1,OAS2,RTP4,PIM1,CASP8,NFKB1,LY6E,HIF1A,PSMB2,PML	58	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Interferon Gamma Response	200	0.0038671006412941892	
HALLMARK_APICAL_JUNCTION	0.31192483503163493	1.600103288784218	0.000999000999000999	194	0.005726007154060639	MPZL2,JUP,CLDN7,CTNND1,ADAM15,CLDN4,DSC3,ITGB4,BAIAP2,ARPC2,LDLRAP1,CDH3,MYL12B,LAMB3,ITGA2,KRT31,GRB7,CLDN8,STX4,MAPK13,LAMC2,LIMA1,CAP1,CRB3,GNAI1	47	TCGA-LUSC	quartile	126	126	20224	TJ	UP	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apical Junction	200	0.002140716426430712	0.001332001332001332
HALLMARK_APICAL_SURFACE	0.3050497652986946	1.1814838537910244	0.06893106893106893	43	0.2140152787787158	LYPD3,HSPB1,RHCG,ATP8B1,LYN,APP,PLAUR,SHROOM2,EFNA5,CX3CL1,MAL	11	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apical Surface	44	0.08799710927370502	
HALLMARK_HEDGEHOG_SIGNALING	-0.48349637170974985	-1.6282739865690856	0.008991008991008992	35	-2.103711561946861	NRP2,TLE3,HEY1,CNTFR,THY1,ACHE,GLI1,L1CAM,NKX6-1,AMOT,UNC5C,SLIT1,NF1,SCG2,RTN1,CRMP1,PTCH1,NRCAM,DPYSL2	19	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Hedgehog Signaling	36	0.014580014580014582	
HALLMARK_COMPLEMENT	0.28563846823705075	1.4299433901368697	0.002997002997002997	195	-0.0731210510183205	S100A9,SERPINB2,S100A12,CXCL1,F3,LGALS3,GPD2,CALM1,MAFF,STX4,PDP1,KYNU,PPP4C,ADAM9,GNAI3,CASP10,S100A13,CASP7,DUSP5,CP,PSEN1,CASP1,CD46,MMP15,PLAT	55	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Complement	200	0.005449096358187267	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.22994991740254747	-0.9645985854922211	0.3826173826173826	106	-0.76633811772467	SLC30A5,EXOSC2,ATF3,DNAJC3,PAIP1,DKC1,STC2,FUS,EDC4,PSAT1,CNOT6,TUBB2A,KIF5B,NOP56,NPM1,EXOSC9,SEC31A,WFS1,CXXC1,ERN1,CNOT2,KHSRP,EEF2,EXOC2,CCL2	41	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Unfolded Protein Response	113	0.4027551395972448	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.2828095250557414	1.3103352034694937	0.014985014985014986	104	0.12394801025948855	SFN,DAPP1,RAC1,MKNK1,TNFRSF1A,CDKN1A,ARPC3,VAV3,AP2M1,MKNK2,SLC2A1,NCK1,AKT1,MAP2K3,CAB39,MAPK10,HRAS,CFL1,PPP1CA,EGFR,EIF4E,NFKBIB,AKT1S1,MYD88,RALB	30	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	PI3K/AKT/mTOR Signaling	105	0.021929290221973152	
HALLMARK_MTORC1_SIGNALING	0.24184182726235542	1.2193714671911438	0.015984015984015984	192	-0.0025440512155891306	DAPP1,TUBA4A,CD9,FDXR,CDKN1A,DHCR24,SLC9A3R1,ATP2A2,SLC2A1,ARPC5L,ALDOA,SRD5A1,BHLHE40,ATP6V1D,RAB1A,SLC1A5,MAP2K3,PRDX1,PSMC6,PSMG1,PITPNB,EGLN3,FKBP2,LDLR,PPP1R15A	51	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	mTORC1 Signaling	200	0.022303278117231606	
HALLMARK_E2F_TARGETS	-0.49184561933996357	-2.2225099111693085	0.000999000999000999	187	-2.5186712986616766	ATAD2,HMMR,TCF19,GINS4,PLK4,CDCA3,STMN1,RACGAP1,XPO1,AURKA,BARD1,PSMC3IP,MELK,MAD2L1,DEK,ILF3,BUB1B,MKI67,UBE2T,SPC25,MCM2,PRKDC,KPNA2,CDK4,PAICS	85	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	E2F Targets	200	0.002140716426430712	
HALLMARK_MYC_TARGETS_V1	-0.22732578321550695	-1.0290144794769485	0.3076923076923077	188	-0.8529481905707303	BUB3,ABCE1,C1QBP,NME1,HSPD1,IFRD1,VBP1,STARD7,MCM4,TXNL4A,TCP1,SNRPD1,FBL,HNRNPC,APEX1,SF3B3,DHX15,NOP56,EIF4G2,NPM1,SSB,SNRPA,GLO1,CBX3,RRM1	68	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Myc Targets V1	200	0.3296703296703297	
