Sample	Sample_Origin	n_high	n_low	AT2_high	AT2_low	barrier_high	barrier_low	IFN_high	IFN_low	malignant_high	malignant_low	sling_high	sling_low	dpt_high	dpt_low
LUNG_T06	tLung	55	23	0.9503323170271787	1.4032678962617682	1.3996922865058432	0.8497425887895667	0.4039937404671102	0.19007131596502286	0.49831457192247564	0.25361023519350134	0.41179103722074645	0.26935582533329994	0.03957367315888405	0.020665425807237625
LUNG_T09	tLung	13	62	2.352513725940998	3.5033291643986133	1.4632484488762343	0.7829058878524331	0.21870502706436692	0.1200063377707805	0.3063395695808606	0.14340422318507268	0.2887789234322423	0.12685676112820915	0.011450355872511864	0.010484774596989155
LUNG_T18	tLung	223	42	0.14382733500413653	0.10512416786144649	1.6402693993797575	1.4018413488354	0.4220445016094308	0.37461796760348837	1.2448995749400693	0.8420164452658758	0.9200074768519432	0.4488043859400709	0.04184196889400482	0.04237765073776245
LUNG_T19	tLung	76	99	1.6312836362865935	3.014580179796075	0.9113896566916977	0.5712327945111978	0.23708085468144208	0.13768429405850682	0.6300013635242194	0.31175281182684084	0.2667199678979616	0.16784538045905353	0.03355833888053894	0.016435259953141212
LUNG_T20	tLung	226	61	1.0663760193681293	1.3367845091989132	2.1229530048823113	1.510364012721458	0.41267511402557455	0.2517856424894923	0.6900779722274932	0.3704352144335137	0.6004816078924163	0.24317325890050945	0.03938496112823486	0.031582798808813095
LUNG_T25	tLung	83	62	1.9872609719813585	2.0415297325259893	1.2307541060399818	1.1057797922722754	0.1502581719693091	0.1400708149731373	0.68328845381258	0.4708964741358193	0.20980736774728856	0.17035538898350677	0.027097316458821297	0.02505294233560562
LUNG_T28	tLung	231	43	0.6441538782486582	2.0440651801551963	1.6335801599334931	1.012466329359269	0.538618146133228	0.38437673239026166	0.5293765035155532	0.4253792051197022	0.6205222335217395	0.271229630385271	0.03438562899827957	0.021202847361564636
LUNG_T30	tLung	91	179	1.929703714373784	2.498017619192267	1.093237353877707	0.8291885385522185	0.23421506339280063	0.18366322208087243	0.06600295296518795	0.06068148210061995	0.28148557067282726	0.1743140512078145	0.024624643847346306	0.014733629301190376
LUNG_T31	tLung	62	100	1.1623458908770676	1.9695929189026355	1.741162779190207	1.2980734392752251	0.21313945819115268	0.16165467809195871	0.47342456172230424	0.2538413673142592	0.5445670045165363	0.283620818952662	0.03757331892848015	0.03036273643374443
LUNG_T34	tLung	169	76	1.6018164979047793	1.6131411383680085	1.3340239421973332	1.0692107733012293	0.4018202969870127	0.3478185691041091	0.7176310616955014	0.6324503859668448	0.2631855347728618	0.23281448950715689	0.024569962173700333	0.02366284281015396
NS_02	mBrain	19	99	0.22722253673955015	0.09967753747697632	0.870900234240189	0.6456880609595816	0.16648592083890998	0.10511511704179619	0.15049080812094506	0.08426963339751016	0.48374136177271837	0.2947474175724791	0.08479809761047363	0.05515928566455841
NS_03	mBrain	286	28	0.27114226079452564	0.16360357545671006	2.003921950552916	1.764029845417965	0.24273454044588302	0.15803909163784097	0.4552145331299111	0.26533039872135433	0.9707451032702579	0.7211614162474473	0.40248045325279236	0.33287376165390015
NS_04	mBrain	92	94	0.6236688134165993	0.4764086437140796	1.3860155299737833	1.189552072950817	0.41764082443778927	0.2758298280397159	1.2259445717909199	0.7562125220049356	0.7313739231362704	0.599921462254852	0.327629953622818	0.2826877534389496
NS_06	mBrain	32	36	0.7389049997630839	0.43958161591931627	1.8135787043720484	1.5276018579800923	0.21881931688188128	0.10949888635319448	0.02758209158976873	0.021601341388843676	0.10083171358785226	0.09060418976616086	0.04331972450017929	0.04459380358457565
NS_07	mBrain	213	56	0.29616393490529774	0.20338886727889377	1.083872876128587	0.8339966689901692	0.07682244418248199	0.05617144952217738	0.530020514051306	0.31340239587284274	0.5162799550692914	0.4237814058905696	0.13845114409923553	0.1258896440267563
NS_12	mBrain	218	72	0.7286309159221269	0.7012899426950349	1.5629437924092153	1.361842806416529	0.11299561982581374	0.08062817622359399	0.5136725879772722	0.34360385975903934	0.43901897389538797	0.302654358651006	0.18302206695079803	0.15875571966171265
NS_13	mBrain	128	139	2.914554958852629	2.9444654932339414	0.9771797815337777	0.7269383732506411	0.2500860152628135	0.26422842043480993	0.5765286157839	0.34700642286730615	0.16679780758604895	0.12082709492397045	0.012751104310154915	0.012338106520473957
NS_17	mBrain	290	59	0.05045883726200153	0.022391040783143985	1.5486640994961576	1.4450789006416407	0.16862836010078514	0.0921019418989422	0.5080702353654236	0.1788350788213439	0.9392857480370955	0.7926727421320531	0.8506295680999756	0.7606722116470337
NS_19	mBrain	81	160	0.3311733788362256	0.27870151614770294	1.4096264413906714	1.2249074110140403	0.5940218641638593	0.48646793672470034	0.28229879075852926	0.2649030081927776	0.6184076127880267	0.5635621966708177	0.052656885236501694	0.05148317664861679
