subset	eligible	method	alpha	size	purity	endpoint	meta_rho	meta_p	meta_i2	meta_model	meta_n	meta_k	meta_ci_low	meta_ci_high	geo_rho	geo_p	geo_i2	geo_model	geo_n	abs_meta	abs_geo
all	True	z-mean	0.25	27	none	ImmuneScore	-0.4191027973287599	3.7939720382054512e-06	0.6803596368238691	DL random	420	4	-0.5621499466591334	-0.2517078974593088	-0.3348825292069231	7.096850486144386e-06	0.19701037182950115	DL random	251	0.4191027973287599	0.3348825292069231
all	True	z-mean	0.25	28	none	CD8A	-0.3836466565618061	9.945163659997558e-10	0.3518147567947945	DL random	420	4	-0.4884503014171524	-0.2679318281552793	-0.31813025269489414	2.9465339668575527e-07	0.0	fixed	251	0.3836466565618061	0.31813025269489414
all	True	z-mean	0.25	28	none	ImmuneScore	-0.4211073611841762	1.9720806999255717e-06	0.66531077043569	DL random	420	4	-0.5608530620270122	-0.25803097806426345	-0.34222388552445643	8.819434221709827e-06	0.23353198345642778	DL random	251	0.4211073611841762	0.34222388552445643
all	True	z-mean	0.25	29	none	CD8A	-0.3854097406652202	9.475117729223017e-10	0.35601516306440123	DL random	420	4	-0.4904032728173885	-0.26938840050028584	-0.319885492463357	2.5062481951648333e-07	0.0	fixed	251	0.3854097406652202	0.319885492463357
all	True	z-mean	0.25	29	none	ImmuneScore	-0.4237247707192027	1.8209024585021663e-06	0.6677564435398065	DL random	420	4	-0.5635004376446221	-0.26036403740667174	-0.34100670470551026	3.571608270765218e-06	0.18416072564060157	DL random	251	0.4237247707192027	0.34100670470551026
all	True	z-mean	0.25	30	none	CD8A	-0.39151493452394087	2.0247790639165505e-09	0.39639412599739005	DL random	420	4	-0.49960932801629304	-0.27141485451207903	-0.3261053087684431	1.399895043165325e-07	0.0	fixed	251	0.39151493452394087	0.3261053087684431
all	True	z-mean	0.25	30	none	ImmuneScore	-0.43043027268006057	1.663023403837006e-06	0.6769859194771809	DL random	420	4	-0.5708600730629197	-0.2655328108865238	-0.3558669147197575	1.3619191641660136e-05	0.30185136691654046	DL random	251	0.43043027268006057	0.3558669147197575
all	True	z-mean	0.25	31	none	CD8A	-0.3948292854904778	4.3229390917803984e-10	0.3635475014020431	DL random	420	4	-0.4994751049942558	-0.2788274168908136	-0.33217353426218776	7.824430492576098e-08	0.0	fixed	251	0.3948292854904778	0.33217353426218776
all	True	z-mean	0.25	31	none	ImmuneScore	-0.4298111487992453	5.248805417679626e-07	0.6448732641033649	DL random	420	4	-0.5643820532603094	-0.27298813180598097	-0.35128348577591145	1.5152442708550988e-06	0.1792237861296962	DL random	251	0.4298111487992453	0.35128348577591145
all	True	z-mean	0.25	32	none	CD8A	-0.39682232414191126	3.3055439886178452e-09	0.42586722712369546	DL random	420	4	-0.5072222935577804	-0.27360888661640675	-0.3296364872925405	9.995213815116686e-08	0.0	fixed	251	0.39682232414191126	0.3296364872925405
all	True	z-mean	0.25	32	none	ImmuneScore	-0.431078891619547	1.7743049971039734e-06	0.6798374388007976	DL random	420	4	-0.571961995980585	-0.2654925042568979	-0.3403217786105809	3.1552494839798284e-07	0.0770278056549004	DL random	251	0.431078891619547	0.3403217786105809
all	True	z-mean	0.25	33	none	CD8A	-0.40177252224850424	3.91405880273694e-09	0.44460943953375237	DL random	420	4	-0.5135141961909756	-0.27663158561336776	-0.3338993129518362	6.614969982015835e-08	0.0	fixed	251	0.40177252224850424	0.3338993129518362
all	True	z-mean	0.25	33	none	ImmuneScore	-0.4355187490834028	9.013506039425122e-07	0.6694900855419924	DL random	420	4	-0.5736197989406905	-0.27334296850336726	-0.345514889594734	1.0875367162418429e-07	0.05473229601040942	DL random	251	0.4355187490834028	0.345514889594734
all	True	z-mean	0.25	34	none	CD8A	-0.39242901405143876	9.160765695903026e-10	0.37684234580337866	DL random	420	4	-0.4985647388052279	-0.27470120099000067	-0.3282716959704532	1.1391274516198872e-07	0.0	fixed	251	0.39242901405143876	0.3282716959704532
all	True	z-mean	0.25	34	none	ImmuneScore	-0.42698574946179757	4.686836327304928e-07	0.6364799787914937	DL random	420	4	-0.5605669906679333	-0.27174726431687546	-0.338565304082401	4.177829847631463e-08	0.0	fixed	251	0.42698574946179757	0.338565304082401
all	True	z-mean	0.25	35	none	CD8A	-0.38786546109312114	1.086793216782243e-09	0.36759416582447707	DL random	420	4	-0.4936496443540786	-0.27077098076634054	-0.32321921868263076	1.8374286677621922e-07	0.0	fixed	251	0.38786546109312114	0.32321921868263076
all	True	z-mean	0.25	35	none	ImmuneScore	-0.418469775577514	7.23830215362835e-07	0.6320239100386318	DL random	420	4	-0.5526523895064911	-0.2631399666706079	-0.33080131454355177	8.935040224030619e-08	0.0	fixed	251	0.418469775577514	0.33080131454355177
all	True	z-mean	0.25	36	none	CD8A	-0.3903442685645541	4.285579765998906e-10	0.3493662724741258	DL random	420	4	-0.4942066520953811	-0.2754954831261747	-0.32464379827173456	1.607208390907101e-07	0.0	fixed	251	0.3903442685645541	0.32464379827173456
all	True	z-mean	0.25	36	none	ImmuneScore	-0.4213558217665156	3.9560749822723465e-07	0.6208064108337663	DL random	420	4	-0.5532196002485387	-0.26889261539691645	-0.33434307439622035	6.334301242915449e-08	0.0	fixed	251	0.4213558217665156	0.33434307439622035
all	True	z-mean	0.25	37	none	CD8A	-0.4015437421978211	3.19345661943759e-11	0.31652061106428653	DL random	420	4	-0.501367803802478	-0.29117038994418826	-0.3381735953549166	4.343514375328808e-08	0.0	fixed	251	0.4015437421978211	0.3381735953549166
all	True	z-mean	0.25	37	none	ImmuneScore	-0.42644981824969364	8.77422486361141e-08	0.590296631805015	DL random	420	4	-0.5528144828324622	-0.2809131203287948	-0.3433964787831155	2.5737168099081095e-08	0.0	fixed	251	0.42644981824969364	0.3433964787831155
all	True	z-mean	0.25	38	none	CD8A	-0.3967566021255413	3.3057792708713995e-11	0.30210249453202076	DL random	420	4	-0.4958974523420377	-0.28740601358115336	-0.33421281755108523	6.415476403770317e-08	0.0	fixed	251	0.3967566021255413	0.33421281755108523
all	True	z-mean	0.25	38	none	ImmuneScore	-0.4211118197390018	1.215700135462035e-07	0.5877345800908007	DL random	420	4	-0.5479027738264356	-0.2754076815745967	-0.33824373719123274	4.313388555054232e-08	0.0	fixed	251	0.4211118197390018	0.33824373719123274
all	True	z-mean	0.25	39	none	CD8A	-0.4033461291014982	4.534823345705087e-11	0.3309863196531145	DL random	420	4	-0.5041930690477365	-0.2916465631846005	-0.33914521880964527	3.9436535318229754e-08	0.0	fixed	251	0.4033461291014982	0.33914521880964527
all	True	z-mean	0.25	39	none	ImmuneScore	-0.43066428788110184	9.016063864729033e-08	0.5998258997924293	DL random	420	4	-0.557800600783324	-0.2837807838414243	-0.34788345595322856	1.6281671005129745e-08	0.0	fixed	251	0.43066428788110184	0.34788345595322856
all	True	z-mean	0.25	40	none	CD8A	-0.4088205756482571	9.535689022496112e-12	0.3098302434642351	DL random	420	4	-0.5073071723048986	-0.2997924550113005	-0.346137544912554	1.9474952583684632e-08	0.0	fixed	251	0.4088205756482571	0.346137544912554
all	True	z-mean	0.25	40	none	ImmuneScore	-0.4348560526128146	3.153383396781504e-08	0.5814611654536435	DL random	420	4	-0.5586746632233943	-0.29207649327618723	-0.35447541847589437	8.192281671505853e-09	0.0	fixed	251	0.4348560526128146	0.35447541847589437
all	True	z-mean	0.25	41	none	CD8A	-0.4025069458044507	1.7575444277456972e-11	0.3047292549670049	DL random	420	4	-0.5012546609533838	-0.29341007700964744	-0.3405803991194598	3.4171418422506145e-08	0.0	fixed	251	0.4025069458044507	0.3405803991194598
all	True	z-mean	0.25	41	none	ImmuneScore	-0.4297271703008422	4.278973783771569e-08	0.5783460661550445	DL random	420	4	-0.5538791089672015	-0.28688092839286816	-0.34913806604338665	1.4305153173103546e-08	0.0	fixed	251	0.4297271703008422	0.34913806604338665
all	True	z-mean	0.25	42	none	CD8A	-0.40953674151580793	1.3037598585885098e-10	0.3764591098521912	DL random	420	4	-0.5136926416486574	-0.29348518432888093	-0.34390449520930205	2.444633628837431e-08	0.0	fixed	251	0.40953674151580793	0.34390449520930205
all	True	z-mean	0.25	42	none	ImmuneScore	-0.4361884989147456	1.6701318410845452e-07	0.626880918807209	DL random	420	4	-0.5666842229732816	-0.2843450743099065	-0.3503211414384453	1.2654586987314246e-08	0.0	fixed	251	0.4361884989147456	0.3503211414384453
all	True	z-mean	0.25	43	none	CD8A	-0.4120568242055427	3.387768775984726e-10	0.4081275134803149	DL random	420	4	-0.5188853687878797	-0.29255590065219494	-0.34888076021123604	1.4690662289075089e-08	0.0	fixed	251	0.4120568242055427	0.34888076021123604
all	True	z-mean	0.25	43	none	ImmuneScore	-0.43981145774653463	1.537290253481988e-07	0.6316899721127811	DL random	420	4	-0.570505497181456	-0.28739289060970546	-0.35531194947858785	7.499326858250538e-09	0.0	fixed	251	0.43981145774653463	0.35531194947858785
all	True	z-mean	0.25	44	none	CD8A	-0.40790989173413716	4.1237396738665205e-10	0.4013105655659472	DL random	420	4	-0.514576923091659	-0.2888099333380241	-0.3453754911956725	2.1050623254631858e-08	0.0	fixed	251	0.40790989173413716	0.3453754911956725
all	True	z-mean	0.25	44	none	ImmuneScore	-0.4350150680973862	2.253531557523318e-07	0.6323836504090643	DL random	420	4	-0.5666063676650904	-0.2817861836192717	-0.3504569703964356	1.2477277817857578e-08	0.0	fixed	251	0.4350150680973862	0.3504569703964356
all	True	z-mean	0.25	45	none	CD8A	-0.40869635431616197	2.896041440574826e-10	0.39441461918764054	DL random	420	4	-0.5146157064161179	-0.290490852012968	-0.345777787142482	2.0204109096075065e-08	0.0	fixed	251	0.40869635431616197	0.345777787142482
all	True	z-mean	0.25	45	none	ImmuneScore	-0.43417913524384666	1.3770714507742908e-07	0.6179708203376783	DL random	420	4	-0.563565389385393	-0.2840000191311242	-0.3514537527384268	1.1247421670111443e-08	0.0	fixed	251	0.43417913524384666	0.3514537527384268
all	True	z-mean	0.25	46	none	CD8A	-0.40721752041235487	1.0436785232394397e-09	0.42382673987515934	DL random	420	4	-0.5161691411614387	-0.2852967583703497	-0.3437161277348589	2.4917519686329606e-08	0.0	fixed	251	0.40721752041235487	0.3437161277348589
all	True	z-mean	0.25	46	none	ImmuneScore	-0.43518027274030896	4.0083426889819844e-07	0.6476887989793297	DL random	420	4	-0.5693574235289071	-0.2784191811165236	-0.34871137375400285	1.494989012561256e-08	0.0	fixed	251	0.43518027274030896	0.34871137375400285
all	True	z-mean	0.25	47	none	CD8A	-0.4130052977655734	7.350685377220649e-11	0.37234662727356843	DL random	420	4	-0.5163869515650418	-0.2977582875187837	-0.3518830613180614	1.0754520527145242e-08	0.0	fixed	251	0.4130052977655734	0.3518830613180614
all	True	z-mean	0.25	47	none	ImmuneScore	-0.43940514704316685	2.223742544268435e-07	0.6403084103864183	DL random	420	4	-0.5716074409016682	-0.28496683532276057	-0.35425240687254045	8.387202000045625e-09	0.0	fixed	251	0.43940514704316685	0.35425240687254045
