gene	logFC	t	se	p	df	stat_low_vs_high
FXR2	0.2915961346392751	1.3410604647975022	0.2174369778944349	0.1903106177611428	29	-1.3410604647975022
C21ORF58	0.47455785537513934	1.341117646872075	0.35385251732535433	0.19029227439303023	29	-1.341117646872075
AMIGO2	0.7593392331965457	1.341186177783887	0.5661698918275777	0.1902702922503081	29	-1.341186177783887
ELMO3	0.6117944665560421	1.3413731820296986	0.45609564493477156	0.19021031832305643	29	-1.3413731820296986
IFI27L1	0.4134249285425776	1.341525277354571	0.30817528042247067	0.1901615508021776	29	-1.341525277354571
MPC2	0.3551623365283917	1.342036018727971	0.26464441458510707	0.1899978586835481	29	-1.342036018727971
TRPM8	0.35646249904510896	1.3421208052418814	0.2655964333857906	0.18997069526146693	29	-1.3421208052418814
CPB2	0.32649169338471784	1.34245780715561	0.24320443565856725	0.18986275826239277	29	-1.34245780715561
PPP4R1	0.317950549942842	1.3427865856106667	0.23678412738852753	0.1897575009455412	29	-1.3427865856106667
ZER1	0.3438862852623995	1.3428375878055756	0.2560892608199686	0.18974117681856134	29	-1.3428375878055756
ANO4	0.19520493736575636	1.343158990425283	0.14533271098751224	0.18963833144792092	29	-1.343158990425283
SF1	0.18133200722499623	1.3434003311840985	0.13497987384383534	0.18956113342759578	29	-1.3434003311840985
DDX6	0.17369245647136788	1.3440058795664895	0.12923489332308022	0.18936754306593964	29	-1.3440058795664895
TMEM50B	0.2592276944182643	1.3444102419343642	0.19281889287401022	0.18923835613070322	29	-1.3444102419343642
TIPRL	0.27871879799075394	1.3445873010975502	0.20728947667677905	0.18918181024809833	29	-1.3445873010975502
NAPSA	1.4688122081497528	1.3448029785591036	1.0922136785594567	0.18911294887453395	29	-1.3448029785591036
RAB3C	0.7573028462311963	1.344937109368944	0.5630767721076038	0.18907013347558543	29	-1.344937109368944
B4GALT5	0.3074865480448552	1.3449654738902652	0.2286204025412349	0.18906108030514013	29	-1.3449654738902652
ACSF3	0.2934093787339139	1.345035660624712	0.21814245326227089	0.18903868008698585	29	-1.345035660624712
PITHD1	0.2776595057284826	1.3452732523194895	0.2063963624116873	0.18896286756697295	29	-1.3452732523194895
TBC1D8B	0.46041151046450557	1.3454771775124494	0.3421919882102537	0.18889781641785747	29	-1.3454771775124494
CCDC183	0.41424555770756116	1.3456519628669135	0.3078400426994588	0.18884207456582452	29	-1.3456519628669135
SMARCA5	0.32908309093447646	1.3456711511619155	0.24454941361441143	0.18883595588845906	29	-1.3456711511619155
WSB2	0.34034726598694554	1.3456741789872677	0.2529195189307157	0.18883499040315607	29	-1.3456741789872677
INTS3	0.28513546864867245	1.3462787039497435	0.21179527523694422	0.1886423017181628	29	-1.3462787039497435
RIBC1	0.39597158591945336	1.3463793354805509	0.29410105717206575	0.18861024084439765	29	-1.3463793354805509
BCAT2	0.32393726117329996	1.3467532896884264	0.2405319991817086	0.18849113732243836	29	-1.3467532896884264
ZNF507	0.31833560170522435	1.3467606643755943	0.23637132426407476	0.18848878908929184	29	-1.3467606643755943
TDRD12	0.41612467916090917	1.3469414043052184	0.3089404467268235	0.18843124533947722	29	-1.3469414043052184
ZNF644	0.28356448388155836	1.347128523851956	0.21049549383063984	0.1883716848227559	29	-1.347128523851956
RTKN	0.4277011351214936	1.3474411297438116	0.31741730727991974	0.18827221435961153	29	-1.3474411297438116
FAM227A	0.501307065945086	1.347760745562313	0.3719555326089651	0.18817055551759368	29	-1.347760745562313
CCDC171	0.4390990733495867	1.347802411692216	0.32578890610403455	0.18815730608965914	29	-1.347802411692216
FNDC3A	0.4320621861403488	1.3479435224845548	0.3205343391123418	0.18811243959734222	29	-1.3479435224845548
CYP4B1	1.1683933811284717	1.3482235380081202	0.8666169579376046	0.18802343263144256	29	-1.3482235380081202
RCAN1	0.5680042884620109	1.3482999243283935	0.4212744347255983	0.18799915781764198	29	-1.3482999243283935
SH2D4A	0.6270383743488166	1.3485765027188237	0.4649631467585738	0.1879112843100076	29	-1.3485765027188237
SEPSECS	0.23730034937522218	1.3489540999334946	0.1759143245770345	0.18779136696135645	29	-1.3489540999334946
FASTK	0.3051988920771492	1.3490567613799767	0.22623132014471745	0.1877587740104719	29	-1.3490567613799767
MIEF2	0.34988177800534526	1.3490739022894374	0.2593496007976884	0.1877533325434349	29	-1.3490739022894374
MAPK8IP3	0.5389406144780609	1.3491963167343914	0.39945307276150754	0.18771447502923969	29	-1.3491963167343914
NUP58	0.31200758084488056	1.3499553819791386	0.23112436530120975	0.18747366750151093	29	-1.3499553819791386
B3GLCT	0.3414609228657245	1.349971318378068	0.2529393907982986	0.18746861437651882	29	-1.349971318378068
MARK1	0.7001436804601687	1.3505423227166953	0.518416689861143	0.18728762971083796	29	-1.3505423227166953
SCUBE3	0.6913530601530454	1.3506617875761577	0.5118624562509607	0.1872497814891136	29	-1.3506617875761577
CENPO	0.31481941930061713	1.3511179240195474	0.23300661896634156	0.18710532542970723	29	-1.3511179240195474
SLC16A11	0.5211233694604399	1.351179995625755	0.38568019889836996	0.18708567436818058	29	-1.351179995625755
CLPS	0.24673581537630396	1.3515785125231252	0.18255381621575045	0.1869595473152128	29	-1.3515785125231252
HESX1	0.2769541480721717	1.3517142352556875	0.204891049342085	0.18691660736689236	29	-1.3517142352556875
EPG5	0.28070609205415775	1.3519233303540121	0.20763462376276368	0.18685046887646764	29	-1.3519233303540121
ARHGEF9	0.4294337076461673	1.3525584174112923	0.3174973458581368	0.18664969717130303	29	-1.3525584174112923
FOXA3	0.8372979216544647	1.3527195331305297	0.6189737792258746	0.1865987899239688	29	-1.3527195331305297
ACBD7	0.33197885265889004	1.3528380214037066	0.2453943838113216	0.1865613584308972	29	-1.3528380214037066
HMOX2	0.2953539545573284	1.353110458696281	0.2182777855711065	0.18647531522442565	29	-1.353110458696281
GDAP2	0.28742290626884953	1.3532089762753532	0.21240097524328294	0.18644420825475652	29	-1.3532089762753532
CNFN	0.6618322607730831	1.3535361074510763	0.48896535314408307	0.18634094538196888	29	-1.3535361074510763
SRSF4	0.2523571730400207	1.3542368844399078	0.18634640360160615	0.18611988642157165	29	-1.3542368844399078
ZNF23	0.16447093717889322	1.3543108122050784	0.12144253423710241	0.18609657792679357	29	-1.3543108122050784
PNPO	0.3948858680052095	1.3544296491919119	0.29155140559777964	0.18605911487726876	29	-1.3544296491919119
SCGB2A1	0.7970597304055749	1.354507390466098	0.5884498940469417	0.18603461031784788	29	-1.354507390466098
TERF1	0.31660887323016135	1.354662455787301	0.23371790653647	0.185985740209109	29	-1.354662455787301
OSBPL7	0.3482691091607187	1.355050784126001	0.2570155401115464	0.18586339916376832	29	-1.355050784126001
AKR7A2	0.24806509112365072	1.3553870844824443	0.1830215839915389	0.18575749988706075	29	-1.3553870844824443
EAF1	0.29984935615308206	1.3557905280776914	0.2211620083953704	0.18563051949029694	29	-1.3557905280776914
WDR25	0.31772353302940703	1.3559745912543772	0.2343137807143489	0.1855726096313712	29	-1.3559745912543772
BCKDHB	0.2856350878981451	1.3561404463324294	0.2106235299379366	0.18552044043617702	29	-1.3561404463324294
ACAP3	0.3304248559185491	1.3562910423545647	0.24362385771192663	0.1854730808159638	29	-1.3562910423545647
MAP3K9	0.43566282889503105	1.3565934152009564	0.32114473210125005	0.18537801864631478	29	-1.3565934152009564
GRIN2C	0.2852875175850038	1.3566196751614548	0.21029292351303325	0.18536976463928756	29	-1.3566196751614548
DPY30	0.18395960949363988	1.3566929951576854	0.1355941323130799	0.18534672027859928	29	-1.3566929951576854
DUSP6	0.703230232930603	1.3570947522831593	0.5181880128469271	0.18522048821860562	29	-1.3570947522831593
LRRC40	0.4059101318614354	1.357356479699391	0.2990446046651878	0.18513828948694455	29	-1.357356479699391
HSD17B4	0.3348168950362586	1.3581179145826616	0.2465300629946738	0.1848993129211301	29	-1.3581179145826616
RBM14	0.20111269913602478	1.3581974457325936	0.1480732420517455	0.18487436590511902	29	-1.3581974457325936
KDM4B	0.32975188183587695	1.3582918240917878	0.24276954037941237	0.18484476507570294	29	-1.3582918240917878
MIEF1	0.19992702719597905	1.3583214448824388	0.14718682970751634	0.18483547557155772	29	-1.3583214448824388
DUSP3	0.27520071071196	1.3584268651174742	0.20258780047622302	0.18480241722515858	29	-1.3584268651174742
