gene	programs	n_patients	median_beta_cldn4	mean_beta_cldn4
TGFB3	TJ_broad	55	8.600143569721903e-05	-0.00013817249948941691
TGFBR1	TJ_broad	60	0.00034699110570030446	0.0009732776522156645
TIAM1	TJ_broad	58	-0.0002499490748610586	-0.0008671211777836811
TJAP1	TJ_broad	61	0.0021140332539675475	0.001870799865258977
TJP1	barrier_ligands,TJ_broad	61	0.007163813797814134	0.008900790081953911
TJP2	barrier_ligands,TJ_broad	60	0.0052301190620309915	0.006324584426508642
TJP3	barrier_ligands,TJ_broad	61	0.004380831343311116	0.005723764281309408
TMEM140	IFN	60	6.111918750433588e-05	-0.00022558781599941224
TNF	TJ_broad	59	-0.0001253927628869394	-0.0020600270265375164
TNFAIP2	IFN	61	0.004151655435953004	0.005685368373867641
TNFAIP3	IFN	61	-0.0006149384409925287	-0.0062148077075521325
TNFAIP6	IFN	35	-0.0007250063393751283	-0.0017072228621333061
TNFSF10	IFN	61	0.007729577716553448	0.011631323934151228
TOR1B	IFN	60	0.0015376705091769494	0.0021951103401269883
TRAFD1	IFN	61	0.0022364540067760477	0.003016843120067504
TRIM14	IFN	61	0.0010414321170586066	0.001039454016973282
TRIM21	IFN	61	0.000639600124139168	2.9343015170889247e-05
TRIM25	IFN	61	0.0016037870261267698	0.0017072579303051545
TRIM26	IFN	61	0.001296328504177074	0.0018942779207495905
TRIM5	IFN	60	0.0004152378027975632	0.0014918629599842983
TUBA1A	TJ_broad	61	0.0045494555308661245	0.005962444165027954
TUBA1B	TJ_broad	61	-0.0016657164884089082	-0.006942313251595801
TUBA1C	TJ_broad	61	0.0076736826797639945	0.008794131987010014
TUBA3C	TJ_broad	1	-9.729048425005237e-06	-9.729048425005237e-06
TUBA3D	TJ_broad	3	6.172421628460812e-05	0.00026723696353816295
TUBA3E	TJ_broad	4	0.0005791238252501091	0.0007544284631590259
TUBA4A	TJ_broad	61	0.0033465794741257965	0.0038804591016236476
TUBA8	TJ_broad	26	5.1961819928255716e-05	-0.00017430387567580395
TUBAL3	TJ_broad	25	6.501493429147938e-05	7.819069980650739e-05
TXNIP	IFN	61	0.007765502786621794	0.010032261961399584
UBA7	IFN	61	0.0005085977723827937	-0.00033658558036286956
UBE2L6	IFN	61	0.00038410926618713396	0.0013060861675966572
UPP1	IFN	61	0.0029699181714139974	0.004783914776607332
USP18	IFN	61	0.00036913514860998644	0.0006388682233303718
VAMP5	IFN	61	0.0006417377175609501	-0.0011012166075700684
VAMP8	IFN	61	0.016258213683858547	0.019208135702228055
VASP	TJ_broad	61	0.0007021923363630469	0.0018690922119229765
VCAM1	IFN	43	-0.0009022903793973207	-0.0023785767507540356
VIM	TJ_broad	61	-0.009923242497513756	-0.024472935052453876
WAS	TJ_broad	58	-0.001102002961522782	-0.004495263114895997
WHAMM	TJ_broad	61	0.001275246173557354	0.0006521895695907326
WNT11	TJ_broad	35	-0.00011291440975118869	-0.00040038513535041914
XAF1	IFN	60	0.00023139947483178224	0.0003449018825481121
XCL1	IFN,chemokine,chemokine_ligands	48	-0.0005289916007357209	-0.0026597828836854294
XCL2	chemokine,chemokine_ligands	49	-0.0007318375846624166	-0.0032663804637345114
YBX3	TJ_broad	61	0.009907811637781854	0.012943451436014476
ZBP1	IFN	52	-7.115763376077243e-05	-0.000493245827668081
ZEB1	TJ_broad	55	-0.0009428006059974024	-0.002922752494188402
ZNFX1	IFN	61	0.0028041096603940796	0.0035476581886158907
