rank,accession,protein,av_n_psm_opn
441,345795148,pyruvate kinase isozymes M1/M2 isoform 3,1.3122191286862845
442,359323766,alpha-2-HS-glycoprotein isoform 1,1.3113132554569225
443,73981333,alpha-endosulfine isoform 3,1.3101667273403259
444,114158646,cytochrome P450 4A37,1.306152554515114
445,74003058,exocyst complex component 3 isoform 3,1.3055690885464368
446,356460875,nucleophosmin,1.3044225435575114
447,359318974,FCH domain only protein 2,1.3026871938227964
448,73996826,plakophilin-2 isoform 1,1.3016197638902711
449,345783668,uncharacterized protein LOC100688321,1.3003029253366667
450,345785876,NEDD8-conjugating enzyme Ubc12,1.2962683688705843
451,74001606,disco-interacting protein 2 homolog A,1.2954636417077472
452,73968285,partner of Y14 and mago,1.2904697758896062
453,74009090,myotubularin,1.286753322890418
454,345806232,uncharacterized protein LOC608493,1.2846681113601828
455,74008194,ADP/ATP translocase 2 isoform 2,1.2780300412444583
456,359323661,CDGSH iron-sulfur domain-containing protein 2-like,1.2761887932571834
457,57043260,stathmin isoform 1,1.2744274058450262
458,345778212,ubiquitin-conjugating enzyme E2 J1 isoform 1,1.2713319648505703
459,73998802,"ornithine aminotransferase, mitochondrial isoform 2",1.269270246835003
460,345795163,CD276 antigen,1.2666337385872677
461,158819069,prohibitin,1.2624891514494436
462,73988219,rho-related GTP-binding protein RhoG,1.255576447034479
463,73992732,ADP-ribosylation factor GTPase-activating protein 1,1.25451723939657
464,356461040,L-lactate dehydrogenase B chain,1.2481527350577508
465,359323097,uncharacterized protein LOC100684687,1.2476737756138432
466,259490360,serpin H1 precursor,1.2446179832038899
467,73993916,coiled-coil domain-containing protein 25,1.2403692109684521
468,73970611,E3 ubiquitin-protein ligase MARCH3 isoform 1,1.2352934618257692
469,359323204,centrosomal protein of 55 kDa,1.2328925150039081
470,50978670,serine/threonine-protein phosphatase PP1-gamma catalytic subunit,1.2297816334479055
471,345797866,pleckstrin homology domain-containing family A member 6,1.222683936934609
472,359321834,epidermal growth factor receptor kinase substrate 8-like protein 2-like,1.2177379228121969
473,345804402,kinectin,1.2143896041253714
474,73962325,golgin subfamily A member 5,1.2113319165735938
475,345787872,L-lactate dehydrogenase A chain isoform 1,1.2050181742556931
476,345784805,rho GTPase-activating protein 18,1.2005573005190426
477,345778448,uncharacterized protein LOC100684170,1.1961615652722937
478,345791055,SEC14-like protein 2 isoform 1,1.195656645842059
479,345807059,ras-related protein Rab-2A-like,1.1931802993989067
480,345804770,lethal(2) giant larvae protein homolog 2,1.1927956049541109
481,73989867,N-acylneuraminate-9-phosphatase,1.1759820674867776
482,73956458,pleckstrin homology domain-containing family N member 1,1.1747793969530775
483,73955689,syntaxin-8 isoform 1,1.1735454046003211
484,73982159,N-acetyltransferase 10 isoform 1,1.1688651881587639
485,74009724,peptidyl-prolyl cis-trans isomerase A,1.1666363381724834
486,50978812,transferrin receptor protein 1,1.1623279666829831
487,345791226,uncharacterized protein C5orf52-like,1.1587378857131985
488,345782391,docking protein 1,1.1578105210743685
489,345804976,serine/threonine-protein kinase TAO1 isoform 3,1.155291487733672
490,73998572,leucine-rich repeat protein SHOC-2 isoform 1,1.140527398051008
491,345795711,tyrosine-protein phosphatase non-receptor type 13 isoform 2,1.1360858525062194
492,57096847,arfaptin-1 isoform 1,1.1324943422563261
493,73956108,"A-kinase anchor protein 10, mitochondrial",1.1157057051311823
494,73948986,signal transducing adapter molecule 1,1.1051531817897258
495,359318495,protein-L-isoaspartate(D-aspartate) O-methyltransferase,1.1019526226364862
496,345780228,metastasis-associated in colon cancer protein 1,1.1014830929137804
497,212276034,26S proteasome non-ATPase regulatory subunit 4,1.0996698849112823
498,345802027,"elongation factor Tu, mitochondrial",1.0968762824736213
499,345785027,numb homolog (Drosophila)-like,1.0951129810391804
500,345796060,"RAB, member of RAS oncogene family-like 3",1.0949919371256138
501,308044530,ras-related protein Rab-9A,1.0893926592479226
502,359320831,talin-1-like,1.0820636289557755
503,73949796,"mimitin, mitochondrial",1.0799255359395437
504,73976082,heterogeneous nuclear ribonucleoproteins A2/B1 isoform 3,1.0796863135552648
505,73972761,TBC1 domain family member 22B,1.0790869548066899
506,50979317,protein transport protein Sec61 subunit beta,1.0767615703114251
507,73990727,ras-related protein Rap-2a,1.0739002429901352
508,345791621,prohibitin-2,1.0703300248891845
509,345793135,junctophilin-1 isoform 1,1.0660939849688531
510,345780758,nuclease-sensitive element-binding protein 1-like,1.0651400017204551
511,345785221,transmembrane protein 2 isoform 1,1.0638849497333711
512,73958861,pyridoxal-dependent decarboxylase domain-containing protein 1 isoform 1,1.0609641787769761
513,345802842,specifically androgen-regulated gene protein,1.0603349024095292
514,73974609,protein FAM84B-like,1.0549529831895652
515,73975874,GRIP and coiled-coil domain-containing protein 1,1.0521897704358747
516,359319033,protein LAP2-like isoform 2,1.046823211222647
517,73962317,thyroid receptor-interacting protein 11,1.0353151780651151
518,359323342,protein LYRIC,1.033896087820307
519,73960920,prelamin-A/C isoform 4,1.0336075039149439
520,345798781,uncharacterized protein C1orf198,1.0269290222393843
521,345794050,ephrin type-B receptor 2 isoform 2,1.0196722954570503
522,73969750,EH domain-binding protein 1 isoform 4,1.0148932289313333
523,345784772,golgi-associated PDZ and coiled-coil motif-containing protein,1.0127830205095232
524,73959885,"ATP synthase subunit b, mitochondrial",1.0054729544510164
525,73958713,DCN1-like protein 3 isoform 2,1.0044509784862479
526,345801654,calponin-3,0.99780909698104292
527,359320183,proteasome subunit beta type-5-like,0.99534437211860549
528,73986648,PDZ domain-containing protein GIPC1,0.99458176363368977
529,74001475,C2 domain-containing protein 2,0.98506899873789877
530,226693371,"solute carrier family 2 (facilitated glucose transporter), member 1",0.98313012941477951
531,359320981,heat shock protein HSP 90-beta isoform 1,0.98287147765851968
532,345793331,partitioning defective 3 homolog isoform 1,0.98287147765851968
533,73976072,oxysterol-binding protein-related protein 3 isoform 10,0.98132572479381885
534,57085091,GTP-binding protein SAR1a isoform 2,0.9810782901683035
535,73954811,radixin isoform 1,0.97485450061750389
536,345789453,ADP-ribosylation factor-related protein 1,0.96750257149990315
537,212549677,catenin beta-1,0.96719987418268882
538,345799913,cell adhesion molecule 1 isoform 1,0.96405691950414807
539,345797440,partitioning defective 3 homolog B isoform 2,0.9626232449055302
540,359322978,14-3-3 protein eta,0.96142567080814945
541,73955410,proteasome subunit beta type-6,0.95543632295239145
542,345806042,arrestin domain-containing protein 1,0.95248499074151594
543,345781474,zyxin,0.94976799231697728
544,345781882,rho-associated protein kinase 2,0.94280763942679768
545,345800183,UPF0587 protein C1orf123 homolog,0.93871457393980962
546,345793444,sickle tail protein homolog isoform 1,0.9343075379547553
547,359322181,"membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",0.92735455056294813
548,73983713,protein fat-free homolog,0.92533995410594394
549,57100553,annexin A5,0.92353333432206519
550,73946839,epsin-1 isoform 1,0.9234644261804219
551,345789341,eukaryotic translation initiation factor 2A,0.92097409166868416
552,354623039,eukaryotic initiation factor 4A-I,0.91833223533189445
553,73999690,solute carrier family 12 member 6 isoform 9,0.91768259583521972
554,345796073,golgin subfamily B member 1,0.91717886453522168
555,345782730,immunoglobulin superfamily member 3,0.916822984745154
556,345800677,alpha-enolase isoform 1,0.91356551198256863
557,73961057,uncharacterized protein C1orf43 homolog isoform 6,0.91021623502951421
558,345801663,formin binding protein 1-like isoform 1,0.9088604240726682
559,73963539,protein numb homolog isoform 8,0.90483040015152871
560,73983414,elongation factor 1-gamma isoform 1,0.90466884285193561
561,345802876,torsin-1A-interacting protein 1,0.90236063943172762
562,345803467,rho-associated protein kinase 1,0.90032875640310417
563,73957772,huntingtin-interacting protein 1,0.89682675279451729
564,359321669,d-3-phosphoglycerate dehydrogenase-like,0.8965107347526845
565,345780679,gap junction beta-3 protein,0.89257867012657621
566,345778691,serine/threonine-protein kinase 38,0.8913062535480083
567,74001080,T-complex protein 1 subunit theta isoform 1,0.88613398877431315
568,345777938,sorting nexin-2 isoform 1,0.8837313342703782
569,345800374,plasminogen activator inhibitor 1 RNA-binding protein isoform 1,0.88091562188997397
570,50978986,syntaxin-binding protein 2,0.88085088142014067
571,345786992,CUB domain-containing protein 1,0.87898076986269957
572,345782310,transmembrane protein 87B,0.87783951060983012
573,50978638,thiopurine S-methyltransferase,0.87710555196510498
574,74000809,"electron transfer flavoprotein subunit alpha, mitochondrial isoform 1",0.87629943953867795
575,345792633,phosphoglycerate mutase 1 isoform 4,0.87480661790920766
576,345791799,eukaryotic translation initiation factor 4B isoform 14,0.87251025224614376
577,74002653,rho GTPase-activating protein 31 isoform 2,0.8705083028417312
578,73961899,myosin regulatory light polypeptide 9-like isoform 3,0.86969203755922808
579,345781604,PH and SEC7 domain-containing protein 3,0.86846781126219952
580,57089749,small nuclear ribonucleoprotein Sm D1,0.8677014430397304
581,345807224,ras-related protein Rap-2c,0.86468282205066105
582,345800543,phospholipid scramblase 3,0.85793182702625426
583,345782628,protein prune homolog,0.85353217663124781
584,345781064,"FYVE, RhoGEF and PH domain-containing protein 6",0.85287319615699186
585,345800929,NAD(P)H dehydrogenase [quinone] 1,0.85096197848988475
586,345795838,protein transport protein Sec24B isoform 1,0.85049368020255478
587,356991173,AP-3 complex subunit sigma-2,0.84798095569791831
588,73997169,probable ATP-dependent RNA helicase DDX47 isoform 2,0.84766736429439482
589,73982861,beta-adrenergic receptor kinase 1 isoform 2,0.84636957924906153
590,73999414,protein FAM110B-like,0.8398337423925627
591,359320163,heat shock protein HSP 90-alpha isoform 1,0.82475165061031952
592,345791334,density-regulated protein,0.82298384856973894
593,73956140,fatty aldehyde dehydrogenase,0.82124928929094954
594,335334928,liprin-beta-1,0.82124481724684284
595,73973000,tight junction-associated protein 1 isoform 2,0.81991243604520014
596,166796110,ephrin-B2,0.81837135795414717
597,345796343,solute carrier family 12 member 7,0.81783063376769294
598,73964083,MAP/microtubule affinity-regulating kinase 3 isoform 4,0.81782672507863075
599,345777399,AP-3 complex subunit sigma-1-like isoform 3,0.81751607086557077
600,73948926,MAGUK p55 subfamily member 7,0.81497469462595762
601,345791623,tyrosine-protein phosphatase non-receptor type 6,0.81173582294953972
602,73955238,yorkie homolog,0.80833049703562054
603,345780684,gap junction beta-4 protein,0.8054251822426014
604,73992699,solute carrier organic anion transporter family member 4A1,0.80522480232254701
605,345798374,alpha-adducin,0.80115089153007835
606,359318893,ras-related protein Rab-18 isoform 2,0.79807034034846802
607,345788952,protein CDV3 homolog,0.79056499160626625
608,73995354,coronin-1C isoform 2,0.78958351612389954
609,57109920,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",0.78534694969672825
610,345802928,TIP41-like protein,0.78069509421014571
611,359320572,extended synaptotagmin-1,0.77756125395404108
612,359319819,protein ITFG3,0.77344073419308945
613,73982024,blocked early in transport 1 homolog (S. cerevisiae)-like isoform 1,0.77086339692749761
614,345805692,ubiquitin carboxyl-terminal hydrolase 32 isoform 1,0.75711619582194412
615,50979066,signal recognition particle 72 kDa protein,0.75647630554213219
616,359319255,F-box only protein 4-like,0.75479075722623978
617,345787832,ras-related protein R-Ras2,0.75251403888359825
618,345783052,"spectrin beta chain, brain 2 isoform 1",0.75092695872434767
619,73950940,"6-phosphogluconate dehydrogenase, decarboxylating isoform 1",0.74732115018943956
620,73961312,desmocollin-2 isoform 3,0.74674873967374611
621,359323905,integrin alpha-6-like,0.74290694703453797
622,359318694,tubulin-folding cofactor B,0.74250892112377986
623,345796149,disks large homolog 1 isoform 2,0.73879984784531116
624,73988716,protein kinase C delta-binding protein,0.73690950240355479
625,345804052,stonin-2,0.72239937742306759
626,345787655,epidermal growth factor receptor pathway substrate 15-like 1 isoform 2,0.72213930520001257
627,345803047,desmoglein-2,0.71643802840335369
628,74002468,TBC1 domain family member 23 isoform 2,0.71377541729602256
629,345798476,protocadherin-7,0.71089828203428118
630,73959826,E3 ubiquitin-protein ligase CHIP,0.70113230509392588
631,356460939,transcription factor BTF3,0.69933998896515248
632,345781806,sorbin and SH3 domain-containing protein 2 isoform 4,0.69824698696596732
633,77404203,dystroglycan precursor,0.69455176904329385
634,73953207,annexin A8 isoform 1,0.68719083525779701
635,74007567,disks large homolog 3 isoform 4,0.67927724140267565
636,345805450,coiled-coil domain-containing protein 43,0.6786944725217976
637,73981486,monocarboxylate transporter 1 isoform 1,0.67827634875833331
638,57100657,protein sprouty homolog 1,0.67727627040469052
639,345805550,leucine-rich repeat-containing protein 59,0.6710170754238205
640,345777942,casein kinase I isoform gamma-3 isoform 2,0.66760911788746491
641,73981543,vacuolar protein sorting-associated protein 45,0.66665758276236364
642,51339016,guanine nucleotide-binding protein G(t) subunit alpha-1,0.66612420589046506
643,223278420,DNA-(apurinic or apyrimidinic site) lyase,0.66495523996996497
644,73973141,dystonin isoform 15,0.65733017380366265
645,345803210,ras GTPase-activating protein nGAP,0.64992560284210932
646,345800827,probable palmitoyltransferase ZDHHC1,0.64873681948289275
647,345793416,abl interactor 1,0.64782911910842833
648,73964067,eukaryotic translation initiation factor 5 isoform 4,0.64776384923665276
649,74005199,neuropilin-2 isoform 1,0.64763477336263031
650,73957738,eukaryotic translation initiation factor 4H,0.64450169680962033
651,345803242,peroxiredoxin-6,0.64434014579408105
652,345796436,lipoma-preferred partner isoform 1,0.64365852781124633
653,73957083,IST1 homolog isoform 1,0.64338320196620735
654,326693963,ubiquitin-conjugating enzyme E2 variant 2,0.64233405568009139
655,345801243,14-3-3 protein gamma,0.63973191023355958
656,345788986,phospholipid scramblase 4,0.63809439662859169
657,57092489,lysozyme,0.63664968350593121
658,167860154,ketosamine-3-kinase,0.6360302510865935
659,345796179,poliovirus receptor-related protein 3,0.63418781725805506
660,73987813,synaptotagmin-like 2 isoform 3,0.63114266270786179
661,345788793,integral membrane protein 2B,0.62660640500603737
662,345795005,myosin-Ie,0.62558657727486588
663,57089975,tandem C2 domains nuclear protein isoform 1,0.62557751509713244
664,359321201,basic leucine zipper and W2 domain-containing protein 2-like,0.61792931361111625
665,308081835,cytochrome c,0.61669071754199811
666,345800040,signal recognition particle receptor subunit alpha-like,0.61578612490724893
667,73986266,"trans-2,3-enoyl-CoA reductase isoform 2",0.61365728170864864
668,345786886,transketolase,0.60782437879114426
669,73960795,serine/threonine-protein kinase MRCK alpha isoform 5,0.60633141845132399
670,73946150,VIP peptides,0.60567838330017665
671,359320098,serine/threonine-protein kinase MRCK beta isoform 2,0.6025090679811298
672,73957980,arf-GAP domain and FG repeats-containing protein 2,0.59725113581918188
673,345784000,oxysterol-binding protein-related protein 5,0.59712602145336591
674,50979014,calnexin precursor,0.59618514622881857
675,345796185,"pleckstrin homology-like domain, family B, member 2 isoform 1",0.59522438437871006
676,57110216,p21-activated protein kinase-interacting protein 1,0.59350834116900275
677,345780013,staphylococcal nuclease domain-containing protein 1,0.58858884855093552
678,74006748,peripheral plasma membrane protein CASK isoform 4,0.58390474172266393
679,74007339,protein XRP2,0.58390474172266382
680,73980329,charged multivesicular body protein 3 isoform 1,0.58160213626026602
681,345796017,"discoidin, CUB and LCCL domain-containing protein 2",0.57591271433596303
682,73988792,liprin-beta-2,0.56881997423185615
683,74002664,glycogen synthase kinase-3 beta isoform 2,0.55803397645976849
684,73983551,7-dehydrocholesterol reductase,0.55172260143849672
685,345788478,arfaptin-2 isoform 1,0.54830194059189086
686,345796282,tubulin polymerization-promoting protein,0.54783263874548527
687,74001695,heterogeneous nuclear ribonucleoprotein D0 isoform 2,0.54728826334976544
688,73994175,SH3 domain-binding protein 4,0.54516409934898236
689,73950483,nucleolar protein of 40 kDa,0.54396420048935645
690,345802726,"ATP synthase subunit alpha, mitochondrial isoform 2",0.54182389719826951
691,74005918,SLIT-ROBO Rho GTPase-activating protein 2 isoform 3,0.53746469681740849
692,73970888,"stress-70 protein, mitochondrial isoform 6",0.53625422578222981
693,73964226,vesicle transport through interaction with t-SNAREs homolog 1B,0.53416799651322788
694,336455146,transforming protein RhoA precursor,0.53289936471237209
695,345794865,protein disulfide-isomerase A3,0.52988661457417618
696,345784160,GRB2-associated-binding protein 1,0.52605653127181051
697,345793299,uncharacterized protein C8orf37 homolog,0.5251198119428484
698,57088975,calcyclin-binding protein,0.51992436711305157
699,345788015,nuclear mitotic apparatus protein 1,0.51806744254980386
700,345805248,E3 ubiquitin/ISG15 ligase TRIM25,0.51418665001023922
701,307938283,guanine nucleotide-binding protein G(q) subunit alpha,0.51231384419288972
702,73972878,inactive tyrosine-protein kinase 7 isoform 1,0.50955868671884197
703,50978714,Treacher Collins-Franceschetti syndrome 1,0.50913076312155525
704,359318637,basal cell adhesion molecule,0.50699236164935235
705,57098957,protein FAM63A,0.50623864872850588
706,57031775,sorting nexin-9,0.50223729072067513
707,345788600,"RAP2A, member of RAS oncogene family",0.50173866894452046
708,73993641,kinesin family member 13B isoform 1,0.501213930992785
709,50979020,guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,0.49879396271779264
710,57110955,uncharacterized protein LOC478881 isoform 1,0.49515313087313712
711,74007169,cyclin-dependent kinase-like 5,0.49377229791334826
712,345782746,neurogenic locus notch homolog protein 2 isoform 1,0.49228070417912506
713,73967018,ras-related protein Rab-34 isoform 2,0.4898220168868605
714,167736402,zinc finger CCCH domain-containing protein 15,0.48943993587903295
715,73950139,nuclear migration protein nudC isoform 1,0.48839401938168459
716,345801474,MICAL-like 2,0.48670834393701551
717,50978814,uveal autoantigen with coiled-coil domains and ankyrin repeats,0.48629843743879247
718,345804198,protein jagged-2,0.48604197786334385
719,345777025,probable ATP-dependent RNA helicase DDX17 isoform 11,0.48454270664014132
720,73996743,twinfilin-1 isoform 1,0.48358298619991774
721,345782253,mitogen-activated protein kinase kinase kinase kinase 3 isoform 1,0.4823972068289118
722,73977245,receptor-type tyrosine-protein phosphatase F isoform 3,0.47786228499132194
723,73951060,lysM and putative peptidoglycan-binding domain-containing protein 4 isoform 1,0.47771816147619572
724,73959035,heme oxygenase 2 isoform 2,0.47728899688450449
725,74005159,STE20-related kinase adapter protein beta isoform 1,0.46826597375474044
726,345790530,E3 ubiquitin-protein ligase SH3RF1 isoform 3,0.4648773771379926
727,345779600,ubiquitin carboxyl-terminal hydrolase 46 isoform 2,0.46247322463874707
728,345794202,"aspartate aminotransferase, mitochondrial",0.4568079389199986
729,345790427,cathepsin B,0.45527502637328715
730,345803051,desmocollin-3,0.45428722815320138
731,73975685,neural Wiskott-Aldrich syndrome protein isoform 1,0.45404886527424959
732,57098795,golgi phosphoprotein 3-like,0.45028481373007351
733,359323305,tumor protein D52,0.45019398832774221
734,74008079,long-chain-fatty-acid--CoA ligase 4 isoform 4,0.4501052228468771
735,345798207,stromal interaction molecule 2,0.44630289854562505
736,57088217,rho GTPase-activating protein 29 isoform 1,0.44488933640629807
737,345804978,serine/threonine-protein kinase TAO1,0.44349969101664749
738,73978695,ATP-binding cassette sub-family F member 2 isoform 2,0.44341687452495904
739,50979162,signal peptidase complex subunit 2,0.44115168161976714
740,73975675,exocyst complex component 4,0.43991372885369207
741,345788602,"FERM, RhoGEF and pleckstrin domain-containing protein 1",0.43761979791625183
742,73987276,casein kinase I isoform gamma-2 isoform 1,0.43319559607163843
743,57043483,transcription initiation factor TFIID subunit 7,0.43316984591198726
744,359323572,splicing factor U2AF 35 kDa subunit isoform 1,0.43207629891477572
745,345788679,protein sprouty homolog 2,0.43135741977846431
746,345801761,tubulin polyglutamylase TTLL7 isoform 3,0.43122694812364604
747,73991183,protein jagged-1 isoform 1,0.42919380335351637
748,359320043,sorting nexin-6,0.42741268104155328
749,73977664,"phosphate carrier protein, mitochondrial isoform 1",0.42550195788672762
750,160425231,myosin-9,0.42012579656321675
751,73962756,proteasome subunit alpha type-6 isoform 2,0.41874061067666535
752,169790794,cation-independent mannose-6-phosphate receptor precursor,0.41685493538127627
753,73960378,tyrosine-protein phosphatase non-receptor type 14 isoform 1,0.41669642641866667
754,345778076,catenin alpha-1 isoform 4,0.41454485638791005
755,73948571,pleckstrin homology domain-containing family F member 1,0.41227803370948513
756,73965482,glycylpeptide N-tetradecanoyltransferase 1 isoform 1,0.41040383246225354
757,74000130,dnaJ homolog subfamily C member 17,0.40622370051151047
758,50950181,hepatocyte growth factor receptor precursor,0.40568536551412882
759,73955966,cytospin-B isoform 2,0.40560308504435233
760,57109456,syntaxin-19,0.40375685492448227
761,345784702,probable palmitoyltransferase ZDHHC14,0.40190734210150969
762,345799182,rapamycin-insensitive companion of mTOR,0.40181304862403167
763,345779000,myosin-VI isoform 8,0.40042297660236792
764,73976815,microtubule-actin cross-linking factor 1 isoform 2,0.39812456553457398
765,50979166,endoplasmin precursor,0.39745028841926933
766,345793425,rho GTPase-activating protein 21,0.39182798361653659
767,74007037,melanoma-associated antigen D2 isoform 2,0.39114508525554414
768,73999483,transient receptor potential cation channel subfamily A member 1,0.3854645430395639
769,73987830,teneurin-4 isoform 4,0.38494326865858974
770,73970013,cytoplasmic protein NCK2,0.38426084106013542
771,73969383,eukaryotic translation initiation factor 5B isoform 2,0.38239893336505254
772,50979054,vasodilator-stimulated phosphoprotein,0.38072614337457555
773,345802949,heterogeneous nuclear ribonucleoprotein U isoform 1,0.3783421014760352
774,359318871,kinesin-1 heavy chain-like,0.37677878494212913
775,345776566,phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,0.37273971510877341
776,345778214,ras-related GTP-binding protein D,0.37272515895395492
777,345779559,"protein scribble homolog, partial",0.37074187302285311
778,73989720,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1 isoform 3",0.37039951348138622
779,359322593,TBC1 domain family member 5 isoform 1,0.37036610310420748
780,345781415,5'-AMP-activated protein kinase subunit gamma-2,0.36953230000146481
781,73987385,UBX domain-containing protein 6,0.36916732890369997
782,345789233,cytoplasmic protein NCK1 isoform 3,0.36893032941625759
783,73954361,myotubularin-related protein 12,0.36255132015540609
784,73965213,probable ATP-dependent RNA helicase DDX5 isoform 2,0.36229449130455055
785,73969119,casein kinase I isoform epsilon isoform 3,0.36183518952242832
786,73987266,AP-3 complex subunit delta-1 isoform 3,0.36051970118523469
787,73986746,ATP-dependent RNA helicase DDX39A,0.35672810839810715
788,73951749,SH3 domain and tetratricopeptide repeats-containing protein 1,0.35142093289717469
789,345804687,casein kinase I isoform delta,0.34896128175615965
790,74008829,filamin-A isoform 1,0.34670151062968391
791,73974722,plectin isoform 7,0.34633333012184181
792,345787803,switch-associated protein 70 isoform 1,0.34616271672547189
793,73954674,probable ATP-dependent RNA helicase DDX6 isoform 2,0.34505491030625951
794,73983543,nucleosome assembly protein 1-like 4,0.34434507070872988
795,345792128,protein MICAL-3,0.339005784813661
796,73970756,protein transport protein Sec24A isoform 2,0.33472215365926289
797,73965247,importin subunit alpha-2 isoform 2,0.33416738388975264
798,59958375,utrophin,0.33209977387097994
799,73996670,disco-interacting protein 2 homolog B,0.3303587233093207
800,73969934,beta-adducin isoform 1,0.33010208724875811
801,282848164,mothers against decapentaplegic homolog 3,0.32771004313825985
802,73977882,"LPS-responsive vesicle trafficking, beach and anchor containing isoform 1",0.32681779777437675
803,345790743,ectonucleoside triphosphate diphosphohydrolase 4,0.32553615935173214
804,345800748,rho guanine nucleotide exchange factor 16,0.32513346579377117
805,359321356,UMP-CMP kinase isoform 2,0.31998103268688582
806,345783183,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-3",0.3182184280619918
807,345804252,sec1 family domain-containing protein 1 isoform 1,0.31776428310698224
808,345777166,LIM and senescent cell antigen-like domains 3-like,0.3169225296747587
809,73945631,G-protein coupled receptor 126 isoform 3,0.31530325046718222
810,345799195,ankycorbin,0.31438449355669157
811,73948384,NAD-dependent deacetylase sirtuin-2,0.31009230274211302
812,345803465,receptor-type tyrosine-protein phosphatase mu isoform 1,0.30690675624418307
813,73950627,elongation factor 1-alpha-like,0.30157147806087869
814,345790435,uncharacterized protein C8orf42,0.29727857122384393
815,345786850,twinfilin-2,0.29654179428382688
816,73975023,exocyst complex component 1 isoform 1,0.29008533170935547
817,345782950,epidermal growth factor receptor,0.28947250891982218
818,345805223,canalicular multispecific organic anion transporter 2,0.28645083482037997
819,73958652,uncharacterized protein LOC479802 isoform 1,0.28285466623301353
820,345777687,tyrosine-protein phosphatase non-receptor type 3 isoform 2,0.28206228245164155
821,345801612,chloride channel CLIC-like 1 isoform 1,0.28167875225970757
822,359320591,T-complex protein 1 subunit delta-like,0.28091123522357758
823,73963357,alpha-actinin-1 isoform 10,0.27994923858806353
824,345783274,guanine nucleotide exchange factor for Rab-3A,0.27243365031975819
825,345805946,protein GPR107 isoform 2,0.27134391571847916
826,345798972,vacuolar protein sorting-associated protein 26A isoform 1,0.27134391571847916
827,356991236,hsc70-interacting protein,0.27026286426143342
828,73948884,phosphatidylinositol-5-phosphate 4-kinase type-2 alpha,0.26867132489624912
829,345794106,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D isoform 2",0.26848533011178183
830,345780137,calcium-binding mitochondrial carrier protein Aralar2,0.26708399825661394
831,307938295,guanine nucleotide-binding protein subunit alpha-11,0.26707078318747951
832,345790868,BRCA1-associated protein,0.26705721665374044
833,345787549,SURP and G-patch domain-containing protein 1 isoform 3,0.26705029717669276
834,345791169,rasGAP-activating-like protein 1,0.26602344678282269
835,74004771,integrin alpha-V isoform 2,0.26498429269382728
836,345787491,microtubule-associated protein 4 isoform 1,0.26195848884929107
837,345804993,carboxypeptidase D isoform 1,0.25891595011305268
838,74009203,H/ACA ribonucleoprotein complex subunit 4,0.25773605831763241
839,74002388,2-hydroxyacylsphingosine 1-beta-galactosyltransferase,0.23636229592202018
840,359323807,phospholipase D1 isoform 1,0.23408744486680169
841,345806577,"tensin-3, partial",0.23311332965505083
842,73965766,signal transducer and activator of transcription 3 isoform 1,0.2327187885486523
843,359321663,SH3 domain-containing YSC84-like protein 1-like,0.23128340589774196
844,359322142,elongation factor 2,0.23112769652340645
845,73949024,pre-mRNA-splicing factor 18 isoform 1,0.229796052805152
846,73979871,"trifunctional enzyme subunit beta, mitochondrial isoform 1",0.2284039694599993
847,345786285,plexin-A1,0.22314011611453094
848,359321459,protein disulfide-isomerase A4 isoform 3,0.22075893646049888
849,57089883,ralA-binding protein 1,0.22028722933130979
850,50978988,receptor tyrosine-protein kinase erbB-2 precursor,0.22020194087945891
851,345797242,integrin beta-6 isoform 3,0.2194774238276965
852,345785726,mitochondrial import inner membrane translocase subunit TIM50,0.21467081939753097
853,359319190,"iduronidase, alpha-L-",0.21319217295500295
854,73957545,cytoplasmic dynein 1 light intermediate chain 2,0.21199523892447958
855,345777328,reticulon-4 isoform 1,0.21082704156861548
856,345787199,AP-1 complex subunit mu-2,0.20937030533833267
857,359321496,zinc finger CCCH-type antiviral protein 1-like,0.20912286447219025
858,345785258,uncharacterized protein LOC484161,0.20613901685474256
859,73949411,protocadherin gamma-C5 isoform 4,0.20613585741022988
860,345788719,dedicator of cytokinesis protein 9,0.20571439958134194
861,345790248,thrombospondin type-1 domain-containing protein 1 isoform 1,0.20512354648097422
862,345802120,calcium-binding mitochondrial carrier protein SCaMC-1,0.20069816251366801
863,50978730,frizzled-6 precursor,0.20039391152136554
864,345788378,stromal interaction molecule 1,0.20010613253575157
865,73960652,protein-associating with the carboxyl-terminal domain of ezrin isoform 1,0.19893248952967679
866,73967054,myosin-XVIIIa isoform 3,0.19693103342066004
867,73949721,ATP-dependent RNA helicase DHX29,0.19502570576610848
868,74006567,SH3 domain-containing kinase-binding protein 1 isoform 2,0.183340483593567
869,345792597,delta-1-pyrroline-5-carboxylate synthase isoform 1,0.18137962280647002
870,345792829,actin-binding LIM protein 1,0.17958582262604267
871,73997538,ELKS/Rab6-interacting/CAST family member 1 isoform 8,0.17731369528700497
872,73995870,protein HIRA isoform 3,0.17044215811462257
