sample	patient	pair_id	n_tumor_hi_interface	n_tumor_lo_interface	n_cd8_interface	mean_hi	mean_lo	delta_mean	p_hi	p_lo
Lung9_Rep1	Lung9	HLA-B|CD8A	3664	4532	1289	0.7831408139470777	0.6972426609020271	0.08589815304505055	0.0	0.0
Lung9_Rep1	Lung9	HLA-C|CD8A	3664	4532	1289	0.7319022855288327	0.6628351804038349	0.06906710512499781	0.0	0.0
Lung9_Rep1	Lung9	HLA-A|CD8B	3664	4532	1289	0.6343034125749448	0.5384829720582246	0.09582044051672023	0.0	0.0
Lung9_Rep1	Lung9	HLA-B|CD8B	3664	4532	1289	0.5997255808697017	0.5138274278246512	0.08589815304505055	0.0	0.0
Lung9_Rep1	Lung9	HLA-C|CD8B	3664	4532	1289	0.5484870524514568	0.47941994732645904	0.06906710512499775	0.0	0.0
Lung9_Rep1	Lung9	APP|CD74	3664	4532	1289	0.4658352037090908	0.3998212701202385	0.06601393358885232	0.0	1.0
Lung9_Rep1	Lung9	FASLG|FAS	3664	4532	1289	0.05862347636454549	0.06295652936469917	-0.004333053000153679	0.398	0.098
Lung9_Rep1	Lung9	SPP1|CD44	3664	4532	1289	0.1727563412876332	0.18392292138064859	-0.011166580093015382	0.0	0.0
Lung9_Rep1	Lung9	IFNG|IFNGR1_IFNGR2	3664	4532	1289	0.020949568247923975	0.017767308095538004	0.003182260152385971	0.066	0.449
Lung9_Rep2	Lung9	CDH1|CDH1	4499	5396	1087	0.049651602626107	0.050094890613310294	-0.0004432879872032919	1.0	1.0
Lung9_Rep2	Lung9	CDH1|ITGA2_ITGB1	4499	5396	1087	0.04308000981334732	0.043523297800550614	-0.0004432879872032919	0.014	0.0
Lung9_Rep2	Lung9	ICAM1|ITGAL_ITGB2	4499	5396	1087	0.037264110963653244	0.03806655156405862	-0.0008024406004053797	0.114	0.028
Lung9_Rep2	Lung9	ICAM1|ITGAL	4499	5396	1087	0.05921558138148486	0.06001802198189024	-0.0008024406004053797	0.004	0.0
Lung9_Rep2	Lung9	CD274|PDCD1	4499	5396	1087	0.04141994338773984	0.04295010890635775	-0.0015301655186179125	0.072	0.04
Lung9_Rep2	Lung9	PDCD1LG2|PDCD1	4499	5396	1087	0.03668926060491931	0.03776437594457424	-0.0010751153396549307	0.038	0.028
Lung9_Rep2	Lung9	LGALS9|HAVCR2	4499	5396	1087	0.05442991789485166	0.05371568671379201	0.0007142311810596491	0.054	0.054
Lung9_Rep2	Lung9	LGALS9|PTPRC	4499	5396	1087	0.07951104810044958	0.07879681691938993	0.0007142311810596491	0.0	0.0
Lung9_Rep2	Lung9	LGALS9|CD44	4499	5396	1087	0.11351779798770545	0.1128035668066458	0.0007142311810596491	0.0	0.0
Lung9_Rep2	Lung9	MIF|CD74_CD44	4499	5396	1087	0.4894840055093045	0.4010091017687639	0.08847490374054057	0.0	1.0
Lung9_Rep2	Lung9	MIF|CD74_CXCR4	4499	5396	1087	0.478986837700001	0.39051193395946043	0.08847490374054057	0.0	1.0
Lung9_Rep2	Lung9	TGFB1|TGFBR1_TGFBR2	4499	5396	1087	0.02446972222721263	0.02472369114231536	-0.00025396891510272995	0.768	0.768
Lung9_Rep2	Lung9	CXCL12|CXCR4	4499	5396	1087	0.07205761867607459	0.07229004569452038	-0.00023242701844579383	0.0	0.0
Lung9_Rep2	Lung9	CXCL16|CXCR6	4499	5396	1087	0.05538640872198239	0.05004966306238521	0.005336745659597179	0.1	0.6013333333333334
Lung9_Rep2	Lung9	CXCL9|CXCR3	4499	5396	1087	0.03579267712853783	0.03557045010800882	0.0002222270205290075	0.338	0.338
Lung9_Rep2	Lung9	CXCL10|CXCR3	4499	5396	1087	0.08987589888553113	0.07117858029415329	0.01869731859137784	0.0	0.992
Lung9_Rep2	Lung9	CCL5|CCR5	4499	5396	1087	0.037736813554758435	0.03719360131889575	0.0005432122358626848	0.723	0.723
Lung9_Rep2	Lung9	HLA-A|CD8A	4499	5396	1087	0.6814480430249932	0.6028893426304087	0.07855870039458446	0.0	0.0
Lung9_Rep2	Lung9	HLA-B|CD8A	4499	5396	1087	0.6776542544533662	0.5991318279578077	0.07852242649555852	0.0	0.0
Lung9_Rep2	Lung9	HLA-C|CD8A	4499	5396	1087	0.5910164240953684	0.5339435805814852	0.0570728435138832	0.0	0.0
Lung9_Rep2	Lung9	HLA-A|CD8B	4499	5396	1087	0.5302553805946297	0.4516966802000453	0.07855870039458446	0.0	0.0
Lung9_Rep2	Lung9	HLA-B|CD8B	4499	5396	1087	0.5264615920230028	0.4479391655274443	0.07852242649555852	0.0	0.0
Lung9_Rep2	Lung9	HLA-C|CD8B	4499	5396	1087	0.43982376166500503	0.3827509181511218	0.057072843513883253	0.0	0.0
Lung9_Rep2	Lung9	APP|CD74	4499	5396	1087	0.26214815400183533	0.2297678339635914	0.032380320038243926	0.0	1.0
Lung9_Rep2	Lung9	FASLG|FAS	4499	5396	1087	0.045240972876750635	0.04542828169001969	-0.0001873088132690534	0.27599999999999997	0.27599999999999997
Lung9_Rep2	Lung9	SPP1|CD44	4499	5396	1087	0.09725500335094087	0.10228774061503348	-0.005032737264092618	0.0	0.0
Lung9_Rep2	Lung9	IFNG|IFNGR1_IFNGR2	4499	5396	1087	0.019379075961550685	0.01797814628910511	0.001400929672445577	0.236	0.326
Lung12	Lung12	CDH1|CDH1	2491	3225	2008	0.12460431010796805	0.09969454798850658	0.02490976211946147	1.0	1.0
Lung12	Lung12	CDH1|ITGA2_ITGB1	2491	3225	2008	0.10494776619491186	0.0800380040754504	0.024909762119461457	0.0	0.68
Lung12	Lung12	ICAM1|ITGAL_ITGB2	2491	3225	2008	0.05810656985162642	0.05123443973791118	0.006872130113715236	0.0	0.5
Lung12	Lung12	ICAM1|ITGAL	2491	3225	2008	0.08285262797449355	0.07598049786077832	0.006872130113715236	0.0	0.28
Lung12	Lung12	CD274|PDCD1	2491	3225	2008	0.06496680407299421	0.06527981784664008	-0.00031301377364587046	0.45	0.45
Lung12	Lung12	PDCD1LG2|PDCD1	2491	3225	2008	0.05848518414808915	0.06069658518277946	-0.002211401034690315	0.802	0.472
Lung12	Lung12	LGALS9|HAVCR2	2491	3225	2008	0.068047287287588	0.06302038414807114	0.0050269031395168695	0.228	0.916
Lung12	Lung12	LGALS9|PTPRC	2491	3225	2008	0.07763633057392391	0.07260942743440703	0.005026903139516883	0.0	0.048
Lung12	Lung12	LGALS9|CD44	2491	3225	2008	0.1401557864590749	0.13512888331955802	0.0050269031395168695	1.0	1.0
Lung12	Lung12	MIF|CD74_CD44	2491	3225	2008	0.29026013844040854	0.20732850572997658	0.08293163271043197	0.0	1.0
Lung12	Lung12	MIF|CD74_CXCR4	2491	3225	2008	0.26113479131542444	0.17820315860499253	0.08293163271043191	0.0	1.0
Lung12	Lung12	TGFB1|TGFBR1_TGFBR2	2491	3225	2008	0.05369784662858858	0.05295368498008016	0.0007441616485084207	1.0	1.0
Lung12	Lung12	CXCL12|CXCR4	2491	3225	2008	0.06998373743390036	0.0684332527948498	0.0015504846390505672	0.648	0.7586666666666666
Lung12	Lung12	CXCL16|CXCR6	2491	3225	2008	0.10489876209834911	0.0940973571654445	0.010801404932904615	0.0	0.068
Lung12	Lung12	CXCL9|CXCR3	2491	3225	2008	0.06811373214531638	0.06689590661387121	0.0012178255314451714	0.36933333333333335	0.411
Lung12	Lung12	CXCL10|CXCR3	2491	3225	2008	0.07000312597658723	0.07209689736190703	-0.002093771385319798	0.552	0.258
Lung12	Lung12	CCL5|CCR5	2491	3225	2008	0.06180118929063358	0.0624052406066649	-0.0006040513160313205	0.993	0.993
Lung12	Lung12	HLA-A|CD8A	2491	3225	2008	0.4686556303497156	0.4332343509915709	0.03542127935814465	0.0	0.0
Lung12	Lung12	HLA-B|CD8A	2491	3225	2008	0.44413980713797485	0.44229390749704767	0.0018458996409271844	0.0	0.0
Lung12	Lung12	HLA-C|CD8A	2491	3225	2008	0.449391054525927	0.44332266222899114	0.006068392296935843	0.0	0.0
Lung12	Lung12	HLA-A|CD8B	2491	3225	2008	0.35738554776209447	0.32196426840394976	0.03542127935814471	0.0	0.0
Lung12	Lung12	HLA-B|CD8B	2491	3225	2008	0.3328697245503537	0.33102382490942656	0.0018458996409271289	0.0	0.0
Lung12	Lung12	HLA-C|CD8B	2491	3225	2008	0.33812097193830587	0.33205257964137	0.006068392296935843	0.0	0.0
Lung12	Lung12	APP|CD74	2491	3225	2008	0.30520390321750257	0.28825551542755684	0.01694838778994573	0.0	0.0
Lung12	Lung12	FASLG|FAS	2491	3225	2008	0.06945674351927847	0.0733798338238619	-0.003923090304583432	0.492	0.196
Lung12	Lung12	SPP1|CD44	2491	3225	2008	0.15857885007903674	0.1796106037841942	-0.021031753705157447	1.0	1.0
Lung12	Lung12	IFNG|IFNGR1_IFNGR2	2491	3225	2008	0.03586683191451198	0.03301770431489726	0.002849127599614719	0.584	0.836
Lung13	Lung13	CDH1|CDH1	3394	3792	2381	0.1523985859908387	0.11067567736481258	0.04172290862602611	1.0	1.0
Lung13	Lung13	CDH1|ITGA2_ITGB1	3394	3792	2381	0.14124871595701177	0.09952580733098568	0.041722908626026095	0.0	1.0
Lung13	Lung13	ICAM1|ITGAL_ITGB2	3394	3792	2381	0.2754993775032502	0.18047581303401286	0.09502356446923735	0.0	0.162
Lung13	Lung13	ICAM1|ITGAL	3394	3792	2381	0.3137592187921787	0.21873565432294134	0.09502356446923738	0.0	0.0
Lung13	Lung13	CD274|PDCD1	3394	3792	2381	0.08302932446641469	0.07777969382090086	0.005249630645513828	0.0	0.0
