config	split	radius_um	sdm_l_um	pair_id	ligand	family	endpoint	n_fov	n_slides	median_hi	median_lo	median_delta	fold	n_pos	n_neg	p	n_patients	n_patients_pos	n_patients_neg
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8B	HLA-A	mhc_control	expr	207.0	8	0.9222999687643603	0.8008847026138912	0.11077375320765015	1.1516014299613906	7	1	0.1953125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8B	HLA-A	mhc_control	sdm_prox	207.0	8	0.27341146959087614	0.3030289169495184	-0.03144409472522025	0.9022619766562535	3	5	0.546875	5	2	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8B	HLA-A	mhc_control	sdm_geom	207.0	8	0.3340028937720362	0.32143934809497277	0.13118408308758012	1.0390852761229201	5	3	0.3828125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8B	HLA-A	mhc_control	commot	207.0	8	0.011833326675665709	0.01745965691720503	-0.007644030170577135	0.677752531552035	1	7	0.078125	5	1	4
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8B	HLA-A	mhc_control	commot_supply	207.0	8	0.014107729650906137	0.024064898052803547	-0.01199074276813325	0.5862368342450798	1	7	0.0546875	5	1	4
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8B	HLA-A	mhc_control	commot_frac_pos	207.0	8	0.2868286429044101	0.23229784904115955	0.05216565416482115	1.2347451519173929	7	1	0.0390625	5	5	0
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8A	HLA-B	mhc_control	expr	207.0	8	1.0701809398782431	1.0441597207506876	0.08557253390319297	1.024920726791537	7	1	0.1953125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8A	HLA-B	mhc_control	sdm_prox	207.0	8	0.4836446277091664	0.45131740778286245	0.06383730942222549	1.071628568649976	6	2	0.1953125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8A	HLA-B	mhc_control	sdm_geom	207.0	8	0.8443669626919417	0.5990463524155732	0.13718883940992385	1.4095185777981059	6	2	0.25	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8A	HLA-B	mhc_control	commot	207.0	8	0.027565535286442712	0.027019618253130116	0.00037051919665644084	1.020204468775178	5	3	0.9453125	5	2	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8A	HLA-B	mhc_control	commot_supply	207.0	8	0.027144359726027866	0.02291054446218599	-0.0031634925054949744	1.1847976712569979	3	5	0.4609375	5	2	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8A	HLA-B	mhc_control	commot_frac_pos	207.0	8	0.5822316120152973	0.553449702104015	0.06434225963274437	1.0520045630196635	7	1	0.1953125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8B	HLA-B	mhc_control	expr	207.0	8	1.0701809398782431	1.0441597207506876	0.08557253390319297	1.024920726791537	7	1	0.1953125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8B	HLA-B	mhc_control	sdm_prox	207.0	8	0.3180515497395902	0.2583986885847923	0.048785668547956434	1.2308558974563955	5	3	0.3125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8B	HLA-B	mhc_control	sdm_geom	207.0	8	0.44867232954641834	0.3911748838577356	-0.0018469535401307718	1.146986547606655	4	4	0.9453125	5	3	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-B|CD8B	HLA-B	mhc_control	commot	207.0	8	0.008751831137200787	0.013547921688972436	-0.003037256064081101	0.645990679465212	3	5	0.3828125	5	2	3
