sample_id	TACSTD2	CD8A	CD8B	CCL5	GZMK	LCK	TRAC	NKG7	KLRD1	GNLY	PRF1	CTSW	NCR1	PTPRC	CD3D	CD3E	LST1	CD74	HLA-DRA	EPCAM	KRT7	KRT8	KRT18	KRT19	MUC1
A271	-0.2662	0.4422	0.0169		-0.176	0.2565		0.5996	0.6332	-0.445	-0.0805	-0.8863	0.9702	0.8127	0.1568	0.1796	-0.5037	-0.7889	-0.0156	-0.4866	0.2045	0.9572	0.8472	0.3971	-1.0813
A272	1.8516	-1.3239	-1.5079		-1.8215	-1.4512		-1.4919	-2.9586	-1.1593	0.096	-0.4255	-1.3466	-2.442	-1.314	-1.3391	-0.8327	-0.3784	-0.5027	0.4478	1.5381	0.3573	0.7144	1.5314	1.5978
A273	-0.2499	-0.6016	-0.6955		-0.1217	-0.207		-0.1593	-0.132	-0.5316	-0.2495	-0.1643	-0.076	0.3428	-0.5633	-0.2967	-0.6515	0.1364	-0.1148	0.1998	-0.2494	0.0037	-0.5356	-1.3597	0.4908
A274	-0.3584	-0.3129	-0.6777		-0.1015	-0.1144		0.273	0.1188	0.4328	0.2719	0.604	0.3356	0.2429	-0.5115	-0.1892	-0.7873	-0.0846	0.2595	0.1738	0.0837	0.2292	0.0838	-0.177	-0.2063
A275	0.8406	-0.1811	-0.2475		-0.3339	-0.5717		-0.2398	-0.1135	-0.1812	0.0631	-0.2876	0.0973	0.4642	-0.7871	-0.4391	-0.6218	-0.5616	-0.2536	-0.2814	-0.2185	0.8231	0.3122	0.2732	-0.1342
A276	-1.3065	0.1212	-0.1474		0.6803	0.4364		-0.1092	-0.0644	-0.9053	-0.5451	-1.8116	-0.0265	1.0637	0.2728	0.4619	0.3755	0.3495	0.8583	-0.5075	0.5706	-0.2619	-0.3178	-0.9861	0.0082
A277	0.3195	-0.9503	-0.721		-0.7656	-0.4609		-1.1962	-0.9189	-1.0392	0.454	0.4957	-1.3466	-0.6807	-0.5604	-0.3574	-1.8929	0.2993	-0.2867	0.2116	-0.6878	-0.6808	-0.6445	-1.5807	0.8047
A278	-0.8766	0.3467	0.6274		0.3161	0.243		0.0924	0.1991	-0.3975	0.5547	0.3297	0.6353	0.7701	0.1826	0.3369	0.457	-0.237	0.1905	-0.4766	-1.0977	-0.7646	-1.0959	-0.9788	-0.4841
A279	0.4834	-0.0558	-0.1599		-0.4247	-0.2093		-0.3147	-0.1796	0.0782	-0.0893	0.5626	0.4152	0.2862	-0.1949	-0.1136	-0.2313	-0.1132	0.2718	0.0168	0.1857	0.2476	0.2159	-0.5674	0.871
A280	0.4268	-0.0521	-0.0001		-0.0007	-0.0709		-0.5736	-0.6629	-0.4329	0.7248	0.981	-1.3466	0.3105	-0.3116	0.1074	-0.1336	1.1257	1.2747	0.3451	-0.422	0.2183	0.112	-0.6772	0.8022
A281	-0.9784	0.2722	0.3776		0.7402	0.599		0.4384	0.3417	0.3099	-0.0133	0.7158	0.6075	1.0321	0.3195	0.69	0.7572	0.5809	0.3708	-1.1447	-0.4281	-0.87	-1.284	-0.2948	-0.5745
A282	-1.5391	-0.6171	-0.5009		-0.4533	-0.1077		-0.9073	-1.26	-0.5647	0.5085	-0.3996	-0.4118	0.064	-0.1161	-0.0841	-0.5487	0.0718	0.4063	0.1194	-0.0932	-0.3718	-0.34	-0.265	1.0989
A283	-0.541	0.5916	0.6221		0.1757	0.623		1.1789	1.6831	0.8209	1.3738	1.432	1.8154	1.3364	0.3336	0.547	0.8868	0.0498	0.8176	-1.0416	-0.5143	-0.5521	-0.2556	-1.0241	-1.024
A284	-1.1705	-1.7978	-1.4721		-0.8153	-0.7514		-0.8165	-0.5878	-0.7843	1.4439	0.2987	0.7722	0.2833	-0.9724	-0.4983	-0.248	-0.7754	0.1365	0.5543	-2.2719	0.0195	-0.5005	-0.5397	-0.2039
A285	-1.3054	0.7841	0.7399		0.4011	0.8902		0.5353	0.5186	0.3327	0.3451	0.4325	0.7962	0.9821	0.7909	0.9249	-0.5632	0.3184	0.8308	0.1221	-1.306	0.4607	-0.4372	-0.6622	0.807
A306	-0.2166	0.7071	0.7268		0.4266	0.3436		0.149	-0.0418	-0.064	-0.386	0.5335	-1.3466	-0.1407	0.0315	0.1305	-1.0862	-1.3488	-1.2416	0.5556	-0.3242	0.4624	0.1413	0.8787	0.2306
A307	0.883	0.5699	0.3464		-0.2616	0.2556		0.3855	-0.1341	0.5977	0.9607	0.6803	0.1514	-0.2149	0.1027	0.174	0.0529	0.7672	0.3963	1.0374	0.7301	1.1768	1.4206	0.0177	0.5715
A310	1.573	-0.9798	-1.1841		-0.5461	-1.2397		-0.9837	-1.1609	-0.5768	1.4547	-1.6869	-1.3466	-1.3199	-0.9333	-1.2084	0.2257	0.414	0.6314	0.9072	0.3747	0.9064	0.8633	0.4188	0.0441
A315	-0.723	0.0195	0.069		0.3339	-0.0109		0.0972	0.6021	-0.2881	0.3996	0.4982	0.1769	0.2151	-0.3063	-0.1493	-0.3893	-0.8949	-0.0574	-0.5011	-0.8096	-0.8204	-1.6132	-0.4112	-0.8814
A316	-0.2282	-0.2762	0.0134		-0.0613	0.1285		-0.0807	0.2026	0.5686	-0.5176	-0.9593	0.5598	0.32	0.1498	-0.0087	0.927	-0.0669	0.4951	0.1511	-0.0328	-0.0669	-0.163	-0.3064	-0.2872
A320	-0.6355	-0.1552	-0.2453		-0.2976	-1.1426		0.2404	0.6169	0.0699	0.0017	-0.6254	0.1972	0.0684	-0.4268	-0.5733	1.3088	0.2231	1.4192	0.2657	0.3348	0.2671	-0.0708	-0.2845	0.7497
A322	-0.1168	-1.8442	-1.8763		-2.0636	-2.0933		-1.5869	-1.2509	-1.0769	0.1594	-3.0401	-1.3466	-0.623	-1.6837	-1.8367	0.3998	-0.8229	-0.0863	0.9924	0.2418	0.1459	0.2125	0.1514	0.2222
A323	0.9144	-0.0522	0.2361		0.1363	-0.1144		0.5806	0.2235	0.9109	0.2605	-0.3217	0.8969	-0.8884	-0.3373	-0.7905	0.4732	-0.2841	-0.9551	-0.0344	0.9401	-0.0806	0.7718	0.4329	0.5314
A375	-0.59	-0.6611	-0.7383		-0.6099	-1.014		-0.8174	-0.6855	-0.7742	0.0873	-1.8239	-0.1684	0.0607	-1.3087	-0.9196	-0.3329	1.0517	0.9665	0.7373	-0.3315	-0.5531	-0.7752	-0.5908	0.2173
A377	-0.5134	-0.3419	-0.1274		-0.3889	-0.1927		0.0279	0.0735	-0.2695	-0.0108	0.893	0.401	0.2865	-0.2452	-0.2547	0.8603	0.7323	1.3126	0.6656	-0.1818	-0.142	-0.1174	-0.0526	0.7793
A379	1.7788	-0.1041	0.4667		0.8166	1.1985		0.1157	-0.781	0.122	-0.8461	0.1946	-0.2004	0.5483	0.3924	0.3737	-0.0235	1.1095	0.5261	0.2452	-0.3103	-0.1418	-0.1955	-0.2867	0.9207
A380	0.0421	-0.0532	-0.0289		-0.1982	-0.3045		0.4658	0.705	1.1121	0.4771	0.6714	0.7851	-0.0652	-0.5986	-0.3194	0.1594	-0.6376	-0.1931	-0.9384	-0.0557	-0.9067	-0.9742	-0.2028	-0.0179
A381	0.6702	-1.0335	-1.2152		-0.7153	-0.7431		-0.9752	-1.8898	-0.9966	-1.0179	-0.1974	-1.3466	-1.1708	-0.5084	-0.5385	0.5354	1.1174	0.6167	1.1656	0.8518	-0.1278	0.247	0.1348	1.329
A425	0.0809	0.2306	0.263		0.3014	0.2872		0.7469	1.3928	1.2033	0.3354	-0.1879	1.3625	0.3246	0.0091	0.0478	0.3622	-0.3214	0.1648	-0.5504	0.5671	-0.6273	-0.5638	0.1743	0.417
A426	1.2207	-0.3268	-0.0565		0.4874	0.0003		-0.4099	-1.2007	-0.9276	-0.6471	-1.3116	-1.3466	0.4745	0.1751	0.2074	0.7114	1.921	1.51	0.3232	1.1258	-1.0716	0.0529	-0.8618	1.2101
A428	1.179	-2.1618	-0.1606		-0.7584	-1.5464		-1.3457	-1.3548	-1.5548	-0.5804	0.2133	-1.3466	-0.9984	-1.5395	-1.3395	-0.26	-0.716	-0.0488	0.9195	-0.1169	-0.4205	-0.312	-0.2339	0.2731
A430	0.4475	-0.892	-1.0463		0.1548	-0.1289		-1.1606	-1.0538	-1.7627	-1.1324	-2.7191	-0.1833	0.1356	0.103	-0.0082	0.1266	0.4385	0.2609	0.3598	0.6517	0.1664	-0.1136	-0.1085	0.1568
A432	0.8715	0.299	0.4229		0.9147	0.4712		0.7164	0.5687	0.544	0.147	0.3601	0.9453	0.3374	0.9476	0.5216	0.9628	0.2069	0.6019	0.663	-0.3065	-1.1922	-0.7566	-1.4269	0.6077
A433	0.0874	1.2113	0.8226		-0.0536	0.8409		1.04	0.9359	0.9706	0.5935	-0.838	1.2104	-0.3597	0.7462	0.2852	-0.0131	-0.3932	-0.0583	0.0904	0.3851	-0.1398	0.334	0.9167	0.2834
A434	1.177	0.8386	0.9907		0.9025	0.7332		0.5914	0.2001	0.4488	0.7605	1.4962	0.4787	0.2396	1.1194	0.6224	0.8349	0.8716	0.9912	0.8631	0.7124	0.7318	0.3714	0.6143	1.0843
A483	0.7944	1.1253	0.9834		0.212	0.2103		1.0939	0.1869	1.5619	1.3967	0.8086	-0.5744	-0.9721	1.045	1.0522	1.3042	0.9063	-0.0456	0.1871	1.1638	1.2968	1.6421	1.185	2.777
A486	0.598	0.8455	1.934		1.0501	1.2095		1.5845	0.8385	1.9516	1.2649	1.927	-0.5654	-0.8505	2.0015	1.7727	1.8876	1.7432	0.2198	-0.416	2.9003	2.1765	2.4003	2.8043	1.9089
A488	0.1906	0.8408	1.2915		1.2595	1.5257		1.0918	-0.7358	0.2708	0.4822	1.0813	-0.839	-0.6491	1.7493	1.5309	1.6376	1.1774	0.4782	0.4743	1.2464	1.0417	1.1306	1.3112	0.5789
A490	-0.2071	-1.1138	-0.0563		-0.6302	0.3748		0.1469	-1.4882	0.802	-0.1779	0.7543	-1.3466	-2.4718	0.56	0.2769	1.6713	0.9395	-0.9166	1.1646	1.6544	2.5535	2.9313	2.3939	1.4346
A492	-0.5312	-0.3687	-0.6342		0.0965	-0.1847		-0.3686	-0.1205	-0.2673	-0.8468	0.4253	-0.1096	0.6308	-0.0943	-0.0953	0.4454	0.4122	0.6437	0.0043	-0.065	0.6405	-0.3935	0.4957	0.047
A493	0.2993	0.9778	1.4706		1.0272	1.254		1.7596	0.6729	1.9061	1.2431	0.2047	-0.2561	-0.526	1.7029	1.3818	1.6916	1.3607	-0.0982	-0.166	1.2963	0.8048	1.3009	0.7039	0.1407
A496	-2.0022	1.6239	1.9073		1.5677	1.5437		1.8112	1.0463	1.6886	1.6082	1.9145	0.8156	-0.0164	1.6196	1.8413	1.5229	1.5217	0.4628	-2.3938	0.072	-1.0797	-0.5547	0.2778	-1.0425
A499	-1.4784	2.2886	2.3993		2.1507	2.1161		2.2853	1.3243	2.2825	1.9009	2.2885	0.5785	-0.057	2.5588	2.4855	1.4508	1.7967	0.5112	-1.6742	0.8498	0.7657	0.9615	1.7714	0.6106
A500	-2.2112	2.1237	2.4388		2.4795	3.3743		1.9101	1.0087	0.9621	1.3955	1.7091	0.2068	1.6231	3.4713	3.2659	1.5197	1.2336	0.5944	-2.6548	-0.9133	-2.0693	-1.5488	-1.8295	-1.8611
A503	0.5179	-0.5494	-0.9125		0.0801	0.019		-0.4346	-0.7177	-0.2098	1.1831	0.0707	-0.7049	0.0917	0.4639	0.3864	2.4234	1.6422	1.4916	0.2006	-0.5723	0.7336	1.0607	-0.2907	0.3189
A504	0.0863	-0.2414	-0.1242		0.298	0.0931		0.2017	0.091	0.4602	-0.2298	0.5452	0.3401	0.0811	0.1217	0.2483	-0.3701	0.0082	-0.0072	0.8919	-1.5636	-0.1267	-0.6492	-0.4975	-0.6187
A508	-1.2102	2.3362	2.6604		1.674	1.9297		2.9801	2.009	2.7996	2.3709	2.6424	-0.499	-1.0724	2.5263	2.2411	2.807	2.7041	0.9521	-1.656	0.8956	0.2898	1.1896	0.9155	1.326
A509	-0.3729	0.8828	0.2895		0.9068	0.7115		0.7799	0.4037	0.5781	1.0053	0.9387	0.347	0.6463	0.9537	0.8658	0.3628	0.2135	0.7633	0.6686	-0.6417	-0.0027	0.5358	0.9803	0.6437
A510	0.2992	-0.4022	-0.555		0.1669	0.2348		-0.0185	-0.4636	-0.2601	-0.501	0.6836	-1.3466	0.2081	0.4086	0.0822	0.8093	0.4647	0.1084	-0.0346	0.5987	0.712	0.6959	1.1765	-0.8843
A511	-0.4224	0.6569	0.3888		0.4919	0.8241		0.2875	-0.15	-0.0346	0.569	0.8459	-1.3466	0.3793	0.8006	0.7941	0.4952	0.3003	-0.165	-0.1691	0.1925	0.0958	0.5669	0.099	0.2277
A512	1.4787	-0.7317	-0.8002		-1.1297	-1.2386		-1.2711	-1.4827	-0.5515	-1.3571	-0.4745	-1.3466	-0.7369	-1.0899	-0.8535	0.0839	0.5274	-0.2823	0.4988	0.0282	-1.1953	-0.0375	-0.3773	1.0398
A514	0.0146	0.9557	1.0772		0.9411	0.7626		0.8169	0.3729	0.2772	0.2102	0.5909	-0.2748	0.5718	0.6257	0.7729	0.5201	0.2289	0.3401	-1.4557	0.1348	0.4588	0.2401	0.5469	-0.6615
A517	-0.0685	1.0581	1.0265		1.1942	1.8		0.4037	0.0642	0.2613	0.6814	0.9954	0.7351	0.9388	1.4994	1.7101	-0.1591	0.4438	0.1101	-0.9684	-0.8176	-1.4061	-0.7604	-1.0776	-0.0594
A519	-0.5253	-0.2119	0.0374		-0.168	0.1456		0.127	-0.0949	0.0076	-0.5344	-1.577	-0.772	-0.144	-0.067	0.0407	0.3027	-0.1603	-0.6576	-0.4731	0.0184	-0.5411	-0.0842	0.498	0.7189
A521	-0.7924	0.7516	0.8275		1.152	0.8913		0.4415	0.2171	-0.0439	0.0563	0.2105	0.4726	1.0696	0.8091	1.1714	-0.2113	0.3066	0.351	0.391	0.1446	1.0715	1.1022	0.1019	-0.2824
A522	-0.8058	0.23	0.1331		0.234	0.1787		1.0044	1.1664	0.8637	0.85	0.9317	1.2962	0.5047	0.0112	0.3181	0.9914	0.3859	0.5758	-1.0153	-0.0794	-0.6307	-0.7437	-0.2522	-1.1722
A524	-0.9425	1.557	1.5318		1.8454	1.376		1.2176	0.8767	0.5489	0.6016	1.3467	1.2463	1.1869	1.1575	1.1765	-0.0044	0.3935	0.4533	-0.5025	-0.4025	-1.0972	-0.9082	-1.4963	-2.199
A530	-0.5868	0.0874	0.1501		0.0793	0.2647		0.525	0.5481	0.2186	0.0445	-0.3617	1.198	0.6588	-0.1635	0.1959	0.1619	-0.3099	0.1313	0.4813	-0.8501	0.8008	0.8799	0.8388	0.3762
A532	-1.297	1.3831	1.0528		1.1966	1.4195		1.2312	0.8496	0.5311	0.7251	0.7532	0.6766	1.2133	1.1354	1.4119	0.209	0.3495	0.0789	-0.9324	-0.5484	-1.991	-1.221	-1.0043	-0.4643
A534	-0.4249	0.0037	0.2988		0.2635	-0.6937		-0.5578	-0.5455	-1.1054	-0.7777	-2.2421	-1.3466	-0.9234	-0.2835	-0.0066	-1.2911	-0.2829	-0.45	1.0122	-0.9772	-1.0066	-0.6494	-0.7841	0.6624
A537	0.4336	0.7417	0.4471		0.2644	-0.084		-0.1548	0.036	0.1931	-0.268	0.3771	-0.3933	0.185	0.3442	0.2146	0.657	0.5486	0.1494	0.3023	0.2956	0.8784	1.1857	0.1839	1.2953
A538	-0.0054	1.0853	1.041		1.2827	1.4499		0.8424	0.9465	0.7314	0.3225	0.8282	0.5735	1.2929	1.063	1.3341	0.3696	0.0774	0.2488	-0.9141	0.2137	-0.2983	-0.1591	0.1125	-0.2693
