patient	cell_index_0based	gene	count
P06	6140	TACSTD2	3
P06	6174	TACSTD2	34
P06	6183	TACSTD2	1
P06	6203	TACSTD2	18
P06	6205	TACSTD2	4
P06	6232	TACSTD2	39
P06	6257	TACSTD2	1
P06	6275	TACSTD2	14
P06	6278	TACSTD2	6
P06	6280	TACSTD2	1
P06	6328	TACSTD2	1
P06	6342	TACSTD2	6
P06	6361	TACSTD2	1
P06	6375	TACSTD2	1
P06	6407	TACSTD2	5
P06	6428	TACSTD2	1
P06	6496	TACSTD2	1
P06	6499	TACSTD2	6
P06	6506	TACSTD2	7
P06	6509	TACSTD2	1
P06	6529	TACSTD2	5
P06	6595	TACSTD2	7
P06	6650	TACSTD2	2
P06	6850	TACSTD2	22
P06	6905	TACSTD2	4
P06	7014	TACSTD2	3
P06	7017	TACSTD2	29
P06	7028	TACSTD2	55
P06	7037	TACSTD2	7
P06	7139	TACSTD2	1
P06	7155	TACSTD2	1
P06	7189	TACSTD2	1
P06	7300	TACSTD2	3
P06	7320	TACSTD2	1
P06	7329	TACSTD2	1
P06	7331	TACSTD2	6
P06	7371	TACSTD2	1
P06	7424	TACSTD2	8
P06	7430	TACSTD2	7
P06	7445	TACSTD2	2
P06	7541	TACSTD2	3
P06	7570	TACSTD2	8
P06	7583	TACSTD2	48
P06	7669	TACSTD2	4
P06	7713	TACSTD2	49
P06	7715	TACSTD2	2
P06	7727	TACSTD2	5
P06	7772	TACSTD2	1
P06	8039	TACSTD2	3
P06	8085	TACSTD2	25
P06	8110	TACSTD2	4
P06	8113	TACSTD2	21
P06	8138	TACSTD2	39
P06	8153	TACSTD2	1
P06	8304	TACSTD2	1
P06	8319	TACSTD2	7
P06	8436	TACSTD2	1
P06	25	CLDN4	2
P06	78	CLDN4	2
P06	116	CLDN4	4
P06	138	CLDN4	14
P06	284	CLDN4	3
P06	301	CLDN4	5
P06	321	CLDN4	5
P06	324	CLDN4	15
P06	373	CLDN4	3
P06	557	CLDN4	1
P06	569	CLDN4	4
P06	592	CLDN4	7
P06	615	CLDN4	2
P06	630	CLDN4	1
P06	777	CLDN4	1
P06	903	CLDN4	1
P06	943	CLDN4	4
P06	1001	CLDN4	3
P06	1057	CLDN4	1
P06	1166	CLDN4	4
P06	1174	CLDN4	1
P06	1199	CLDN4	2
P06	1247	CLDN4	2
P06	1337	CLDN4	11
P06	1352	CLDN4	1
P06	1420	CLDN4	28
P06	1540	CLDN4	1
P06	1557	CLDN4	34
P06	1702	CLDN4	1
P06	1742	CLDN4	18
P06	1892	CLDN4	2
P06	1898	CLDN4	1
P06	1900	CLDN4	2
P06	2015	CLDN4	10
P06	2195	CLDN4	1
P06	2326	CLDN4	8
P06	2437	CLDN4	4
P06	2481	CLDN4	6
P06	2661	CLDN4	15
P06	2709	CLDN4	4
P06	2768	CLDN4	1
P06	2791	CLDN4	1
P06	2862	CLDN4	13
P06	2883	CLDN4	1
P06	2925	CLDN4	7
P06	2945	CLDN4	6
P06	3079	CLDN4	4
P06	3106	CLDN4	70
P06	3137	CLDN4	2
P06	3142	CLDN4	16
P06	3154	CLDN4	2
P06	3168	CLDN4	1
P06	3225	CLDN4	8
P06	3342	CLDN4	7
P06	3357	CLDN4	4
P06	3366	CLDN4	20
P06	3379	CLDN4	1
P06	3417	CLDN4	30
P06	3636	CLDN4	8
P06	3748	CLDN4	9
P06	3770	CLDN4	16
P06	3878	CLDN4	13
P06	3888	CLDN4	1
P06	3890	CLDN4	10
P06	3998	CLDN4	8
P06	4020	CLDN4	1
P06	4118	CLDN4	22
P06	4332	CLDN4	1
P06	4333	CLDN4	30
P06	4758	CLDN4	1
P06	4790	CLDN4	2
P06	4913	CLDN4	1
P06	4970	CLDN4	16
P06	5000	CLDN4	9
P06	5054	CLDN4	2
P06	5131	CLDN4	2
P06	5156	CLDN4	5
P06	5205	CLDN4	20
P06	5249	CLDN4	1
P06	5286	CLDN4	2
P06	5314	CLDN4	3
P06	5339	CLDN4	15
P06	5385	CLDN4	23
P06	5418	CLDN4	5
P06	5479	CLDN4	3
P06	5576	CLDN4	10
P06	5673	CLDN4	1
P06	5720	CLDN4	3
P06	5854	CLDN4	8
P06	5932	CLDN4	3
P06	5935	CLDN4	23
P06	6085	CLDN4	2
P06	6140	CLDN4	3
P06	6174	CLDN4	32
P06	6203	CLDN4	4
P06	6205	CLDN4	5
P06	6232	CLDN4	20
P06	6275	CLDN4	13
P06	6316	CLDN4	1
P06	6342	CLDN4	1
P06	6407	CLDN4	12
P06	6499	CLDN4	3
P06	6506	CLDN4	1
P06	6529	CLDN4	5
P06	6595	CLDN4	1
P06	6610	CLDN4	1
P06	6850	CLDN4	6
P06	6905	CLDN4	6
P06	7014	CLDN4	4
P06	7017	CLDN4	10
P06	7028	CLDN4	40
P06	7155	CLDN4	3
P06	7213	CLDN4	1
P06	7300	CLDN4	1
P06	7331	CLDN4	8
P06	7424	CLDN4	3
P06	7430	CLDN4	2
P06	7541	CLDN4	1
P06	7570	CLDN4	2
P06	7583	CLDN4	6
P06	7713	CLDN4	9
P06	7715	CLDN4	2
P06	7727	CLDN4	7
P06	7772	CLDN4	1
P06	7976	CLDN4	4
P06	8039	CLDN4	11
P06	8085	CLDN4	4
P06	8110	CLDN4	1
P06	8113	CLDN4	11
P06	8138	CLDN4	28
P06	8319	CLDN4	14
P07	6	TACSTD2	4
P07	36	TACSTD2	5
P07	47	TACSTD2	1
P07	82	TACSTD2	20
P07	153	TACSTD2	1
P07	164	TACSTD2	1
P07	283	TACSTD2	1
P07	304	TACSTD2	2
P07	311	TACSTD2	2
P07	344	TACSTD2	1
P07	345	TACSTD2	4
P07	379	TACSTD2	1
P07	393	TACSTD2	1
P07	416	TACSTD2	4
P07	437	TACSTD2	1
P07	449	TACSTD2	4
P07	450	TACSTD2	13
P07	462	TACSTD2	4
P07	465	TACSTD2	1
P07	476	TACSTD2	11
P07	491	TACSTD2	19
P07	494	TACSTD2	1
P07	516	TACSTD2	1
P07	520	TACSTD2	1
P07	525	TACSTD2	1
P07	544	TACSTD2	1
P07	546	TACSTD2	5
P07	553	TACSTD2	7
P07	615	TACSTD2	1
P07	621	TACSTD2	5
P07	644	TACSTD2	5
P07	679	TACSTD2	1
P07	683	TACSTD2	2
P07	685	TACSTD2	1
P07	721	TACSTD2	2
P07	752	TACSTD2	13
P07	758	TACSTD2	4
P07	777	TACSTD2	1
P07	788	TACSTD2	1
P07	811	TACSTD2	4
P07	819	TACSTD2	1
P07	850	TACSTD2	1
P07	890	TACSTD2	8
P07	916	TACSTD2	4
P07	925	TACSTD2	7
P07	996	TACSTD2	1
P07	1008	TACSTD2	8
P07	1051	TACSTD2	1
P07	1055	TACSTD2	2
P07	1074	TACSTD2	8
P07	1152	TACSTD2	4
P07	1154	TACSTD2	5
P07	1168	TACSTD2	4
P07	1171	TACSTD2	1
P07	1181	TACSTD2	1
P07	1247	TACSTD2	5
P07	1267	TACSTD2	1
P07	1272	TACSTD2	6
P07	1315	TACSTD2	1
P07	1328	TACSTD2	2
P07	1330	TACSTD2	1
P07	1383	TACSTD2	6
P07	1391	TACSTD2	5
P07	1409	TACSTD2	27
P07	1455	TACSTD2	1
P07	1564	TACSTD2	2
P07	1569	TACSTD2	1
P07	1578	TACSTD2	2
P07	1650	TACSTD2	14
P07	1660	TACSTD2	5
P07	1686	TACSTD2	1
P07	1755	TACSTD2	13
P07	1782	TACSTD2	1
P07	1797	TACSTD2	3
P07	1822	TACSTD2	1
P07	1825	TACSTD2	2
P07	1908	TACSTD2	3
P07	1948	TACSTD2	1
P07	1990	TACSTD2	3
P07	2034	TACSTD2	3
P07	2053	TACSTD2	3
P07	2156	TACSTD2	2
P07	2171	TACSTD2	6
P07	2179	TACSTD2	1
P07	2186	TACSTD2	1
P07	2191	TACSTD2	27
P07	2225	TACSTD2	2
P07	2254	TACSTD2	7
P07	2282	TACSTD2	6
P07	2346	TACSTD2	8
P07	2352	TACSTD2	1
P07	2379	TACSTD2	3
P07	2523	TACSTD2	7
P07	2527	TACSTD2	1
P07	2533	TACSTD2	1
P07	2596	TACSTD2	2
P07	2669	TACSTD2	1
P07	2678	TACSTD2	5
P07	2695	TACSTD2	5
P07	2699	TACSTD2	2
P07	2709	TACSTD2	3
P07	36	CLDN4	4
P07	47	CLDN4	12
P07	82	CLDN4	36
P07	83	CLDN4	1
P07	91	CLDN4	4
P07	130	CLDN4	1
P07	304	CLDN4	34
P07	311	CLDN4	13
P07	344	CLDN4	7
P07	345	CLDN4	23
P07	362	CLDN4	1
P07	379	CLDN4	3
P07	393	CLDN4	7
P07	395	CLDN4	1
P07	416	CLDN4	6
P07	437	CLDN4	3
P07	450	CLDN4	2
P07	462	CLDN4	8
P07	465	CLDN4	9
P07	476	CLDN4	18
P07	491	CLDN4	13
P07	523	CLDN4	3
P07	525	CLDN4	4
P07	542	CLDN4	5
P07	544	CLDN4	10
P07	546	CLDN4	21
P07	553	CLDN4	6
P07	626	CLDN4	5
P07	644	CLDN4	14
P07	677	CLDN4	1
P07	683	CLDN4	13
P07	685	CLDN4	2
P07	721	CLDN4	9
P07	758	CLDN4	7
P07	777	CLDN4	16
P07	788	CLDN4	1
P07	811	CLDN4	12
P07	819	CLDN4	2
P07	850	CLDN4	7
P07	890	CLDN4	9
P07	916	CLDN4	4
P07	925	CLDN4	36
P07	1008	CLDN4	11
P07	1055	CLDN4	9
P07	1074	CLDN4	11
P07	1110	CLDN4	1
P07	1134	CLDN4	8
P07	1152	CLDN4	7
P07	1154	CLDN4	12
P07	1168	CLDN4	5
P07	1209	CLDN4	1
P07	1259	CLDN4	2
P07	1315	CLDN4	5
P07	1324	CLDN4	1
P07	1330	CLDN4	1
P07	1383	CLDN4	11
P07	1391	CLDN4	25
P07	1409	CLDN4	3
P07	1425	CLDN4	2
P07	1531	CLDN4	1
P07	1564	CLDN4	5
P07	1570	CLDN4	1
P07	1650	CLDN4	43
P07	1660	CLDN4	2
P07	1695	CLDN4	1
P07	1718	CLDN4	1
P07	1755	CLDN4	30
P07	1797	CLDN4	4
P07	1825	CLDN4	6
P07	1908	CLDN4	7
P07	1990	CLDN4	6
P07	2034	CLDN4	4
P07	2053	CLDN4	3
P07	2171	CLDN4	2
P07	2179	CLDN4	1
P07	2186	CLDN4	1
P07	2191	CLDN4	11
P07	2225	CLDN4	3
P07	2254	CLDN4	13
P07	2264	CLDN4	1
P07	2282	CLDN4	12
P07	2313	CLDN4	2
P07	2346	CLDN4	14
P07	2379	CLDN4	6
P07	2380	CLDN4	1
P07	2399	CLDN4	1
P07	2437	CLDN4	4
P07	2447	CLDN4	5
P07	2490	CLDN4	11
P07	2523	CLDN4	48
P07	2596	CLDN4	4
P07	2621	CLDN4	1
P07	2630	CLDN4	10
P07	2637	CLDN4	2
P07	2678	CLDN4	17
P07	2694	CLDN4	1
P07	2695	CLDN4	15
P07	2699	CLDN4	5
P07	2709	CLDN4	16
