gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
ABCC8	0.8070082452392202	0.5258790947498542	2.4774923004203644	0.019301527034869193	0.3257359246292279	29	0.17085977486734635	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
ARHGEF2	0.6461695365546252	4.710144445070225	2.459528528892801	0.02011469217498036	0.26272089506744184	29	0.17383639154363045	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CCR5	-0.4645801850691853	0.5255902218827323	-2.44454854769426	0.02081671015807551	0.19004743657367137	29	0.1760474704015375	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
OASL	-1.1355570609922765	2.3438287381759797	-2.43446051407286	0.021302057131800264	0.466451213493903	29	0.17869492795463923	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
IRF9	-0.7591955678572875	4.048917007865771	-2.4079619623380717	0.022626713120009627	0.3152855318030553	29	0.18330203450395313	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
GBP6	-1.0601108991276595	0.8124995594946055	-2.403062413248352	0.022879739407177697	0.44114996484616864	29	0.18401135250044176	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
LLGL2	0.8064977737275976	5.5535972103071956	2.399942481700976	0.023042206051604158	0.33604879278439487	29	0.1847030073289349	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
KLRK1	-0.665983033153482	0.5288583271717557	-2.3986589998413392	0.023109347260431488	0.2776480663560489	29	0.1847030073289349	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
IL6	-1.399432173679407	2.6909215280598064	-2.388913989264871	0.023624983783543604	0.5858026617819119	29	0.18579727370163782	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
SP110	-0.49409901499030134	4.187516664611841	-2.3756122724542634	0.024345769001681117	0.20798807142036013	29	0.18789201424200325	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
SELP	-0.7092874075043009	0.5285623788787864	-2.372688860685	0.02450684480418037	0.2989382296419296	29	0.18818950480267	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
SAMD9	-0.9909524245949407	3.6011205957003334	-2.3695676558370793	0.02467989041732565	0.41819967543609743	29	0.18866757456117186	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
HLA-F	-1.4881340918104289	5.455808233255706	-2.34960242405832	0.02581338895068214	0.6333557016169863	29	0.19303766078332393	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	MHC-I/APM
RAP1A	-0.385115532659024	5.839455160231159	-2.3170253351950776	0.027764924197940008	0.16621118759868886	29	0.19993523712868497	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
BST2	-1.6041982349834798	6.612097163521611	-2.3024331394516726	0.028681722324615366	0.6967404210336904	29	0.20349320888493966	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
FCGR1A	-0.6894210376087048	1.0300720071355638	-2.302175895521101	0.028698127658834758	0.2994649709216303	29	0.20351809273202412	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
ELF1	-0.644193462067823	5.573489953752782	-2.299313863767423	0.02888122351077551	0.2801676935972163	29	0.20371912380070112	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
F11R	0.5692123838319897	6.2377306954909235	2.2888614647844263	0.02955892677333374	0.24868800169415248	29	0.20528622603716243	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
TJP2	0.4141238777898932	4.492956863169876	2.2795002584502666	0.030178058860632725	0.18167309973083226	29	0.20721814170167877	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CXCL11	-1.0529081193538679	0.866046397380955	-2.2791673634641088	0.03020029021446355	0.4619705144222282	29	0.20721814170167877	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|chemokine
PLEC	-1.1671676036712244	5.947915357975548	-2.2652227722143126	0.031144936427733454	0.5152551077924616	29	0.21037497940633826	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CXCL10	-1.6790341104716466	2.0891686493888186	-2.2558924997767695	0.0317918072581115	0.7442881744754214	29	0.21276143428947303	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|chemokine
IRF4	-0.9221043812574861	1.6823321923782117	-2.253959858151821	0.03192730366655281	0.40910417189664755	29	0.21284889683125516	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
TUBA1C	-0.5142630622870713	7.566301643894693	-2.248701187388062	0.032298626267900206	0.22869337427815575	29	0.21386488622794686	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CCL7	-0.5106643740487815	0.34104914480541726	-2.2414162140897873	0.032819460457109755	0.22783112339363365	29	0.2160443331467396	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
SSPN	-1.3245400769788134	2.7408953297900354	-2.2380151430600046	0.03306519833602444	0.5918369592297706	29	0.21699013411590037	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
PSME1	-0.4464909711039915	7.710575740698643	-2.225756542108781	0.03396472495074759	0.2006018909332132	29	0.21853539164051874	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
HLA-C	-0.9580773101434096	9.715841936567962	-2.2119174109934647	0.03500662832941361	0.43314334675502053	29	0.22156822639784093	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|MHC-I/APM
CDH1	1.0244860239832745	6.336236914947676	2.1732050689244824	0.03807522379764516	0.47141709663427755	29	0.230977878001034	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
