accession	contrast	gene	log2fc
GSE241852	MCF10A NEO Poly(I:C) vs untreated	OAS2	1.6595032935037746
GSE241852	MCF10A NEO Poly(I:C) vs untreated	OAS3	0.4241550746345273
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IFI6	0.7587218399482272
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IFI27	0.8494849036992395
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IFI44	1.6109845109546965
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IFI44L	0.32497748577837116
GSE241852	MCF10A NEO Poly(I:C) vs untreated	STAT1	0.18797484361919592
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IRF1	0.7747759299014896
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IRF7	0.7863216336960965
GSE241852	MCF10A NEO Poly(I:C) vs untreated	B2M	0.03801916827737095
GSE241852	MCF10A NEO Poly(I:C) vs untreated	HLA-B	0.06319417308150044
GSE241852	MCF10A NEO Poly(I:C) vs untreated	HLA-C	0.046632943367113544
GSE241852	MCF10A NEO Poly(I:C) vs untreated	TAP1	0.36166552756390313
GSE241852	MCF10A NEO Poly(I:C) vs untreated	PSMB8	0.03330028942498808
GSE241852	MCF10A NEO Poly(I:C) vs untreated	PSMB9	0.11106202381605801
GSE241852	MCF10A NEO Poly(I:C) vs untreated	CD274	0.3655782189796599
GSE241852	MCF10A NEO Poly(I:C) vs untreated	CXCL10	2.654591024142003
GSE241852	MCF10A NEO Poly(I:C) vs untreated	CXCL9	0.6907808189551572
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	ISG15	1.0848575869734978
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IFIT1	1.70320897235157
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IFIT2	1.9323707465460007
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IFIT3	1.1386252831843386
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	MX1	-0.05589135446737148
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	MX2	0.0898438005239633
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	OAS1	-0.07974391049464913
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	OAS2	0.2810086993200485
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	OAS3	-0.08915607768151479
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IFI6	0.20711313961839362
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IFI27	0.2875325834191771
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IFI44	1.042599096963553
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IFI44L	-0.014320990363391628
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	STAT1	0.0401350067709112
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IRF1	0.4332593978433197
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	IRF7	0.24252855477976776
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	B2M	0.02083927895183013
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	HLA-B	0.22408158617584295
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	HLA-C	0.05919319797800959
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	TAP1	0.25514714243181347
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	PSMB8	0.0083928369961761
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	PSMB9	-0.0014080884266778337
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	CD274	1.105904492783737
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	CXCL10	1.7551358029173119
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	CXCL9	-0.0463463258255995
GSE215771	A549 WT IFN-γ vs control	ISG15	5.459711339114943
GSE215771	A549 WT IFN-γ vs control	IFIT1	2.485038171685747
GSE215771	A549 WT IFN-γ vs control	IFIT2	2.6864301735465186
GSE215771	A549 WT IFN-γ vs control	IFIT3	5.864041105812081
GSE215771	A549 WT IFN-γ vs control	MX1	2.1541018323498347
GSE215771	A549 WT IFN-γ vs control	MX2	0.531698429022627
GSE215771	A549 WT IFN-γ vs control	OAS1	1.5876413309019268
GSE215771	A549 WT IFN-γ vs control	OAS2	5.273712201872374
GSE215771	A549 WT IFN-γ vs control	OAS3	2.5891375589905303
GSE215771	A549 WT IFN-γ vs control	IFI6	4.453447073676028
GSE215771	A549 WT IFN-γ vs control	IFI27	2.721098147581771
GSE215771	A549 WT IFN-γ vs control	IFI44	4.443293512360445
GSE215771	A549 WT IFN-γ vs control	IFI44L	1.9523735548366457
GSE215771	A549 WT IFN-γ vs control	STAT1	3.020292228457266
GSE215771	A549 WT IFN-γ vs control	IRF1	5.726960687241201
GSE215771	A549 WT IFN-γ vs control	IRF7	2.3625418625849823
GSE215771	A549 WT IFN-γ vs control	B2M	3.8801653944372294
GSE215771	A549 WT IFN-γ vs control	HLA-A	2.5004358042890313
GSE215771	A549 WT IFN-γ vs control	HLA-B	4.457761867081691
GSE215771	A549 WT IFN-γ vs control	HLA-C	2.587146478771621
GSE215771	A549 WT IFN-γ vs control	TAP1	4.933953599714239
GSE215771	A549 WT IFN-γ vs control	PSMB8	4.950998987001259
GSE215771	A549 WT IFN-γ vs control	PSMB9	5.936948622810274
GSE215771	A549 WT IFN-γ vs control	CD274	3.081596540449655
GSE215771	A549 WT IFN-γ vs control	CXCL10	1.240455078418057
GSE215771	A549 WT IFN-γ vs control	CXCL9	0.08940495705157603
GSE306855	HSC-2 IFN-γ vs PBS	ISG15	1.0755033077538272
GSE306855	HSC-2 IFN-γ vs PBS	IFIT1	-0.13122769681689128
GSE306855	HSC-2 IFN-γ vs PBS	IFIT2	1.719038467461261
GSE306855	HSC-2 IFN-γ vs PBS	IFIT3	1.8561293444658018
GSE306855	HSC-2 IFN-γ vs PBS	MX1	0.604765427666468
GSE306855	HSC-2 IFN-γ vs PBS	MX2	0.247357053932733
GSE306855	HSC-2 IFN-γ vs PBS	OAS1	0.9690335529838192
GSE306855	HSC-2 IFN-γ vs PBS	OAS2	0.7249485796244075
GSE306855	HSC-2 IFN-γ vs PBS	OAS3	0.7949890179217611
GSE306855	HSC-2 IFN-γ vs PBS	IFI6	0.4325371491025187
GSE306855	HSC-2 IFN-γ vs PBS	IFI27	0.4036954701999349
GSE306855	HSC-2 IFN-γ vs PBS	IFI44	0.12193142917100097
GSE306855	HSC-2 IFN-γ vs PBS	IFI44L	0.42045619906837217
GSE306855	HSC-2 IFN-γ vs PBS	STAT1	1.2154957885194815
GSE306855	HSC-2 IFN-γ vs PBS	IRF1	4.771265522439228
GSE306855	HSC-2 IFN-γ vs PBS	IRF7	0.36039255142284254
GSE306855	HSC-2 IFN-γ vs PBS	B2M	1.4755523882308363
GSE306855	HSC-2 IFN-γ vs PBS	HLA-A	1.1472029099074827
GSE306855	HSC-2 IFN-γ vs PBS	HLA-B	2.8549969990262216
GSE306855	HSC-2 IFN-γ vs PBS	HLA-C	1.464751866782155
GSE306855	HSC-2 IFN-γ vs PBS	TAP1	3.5200431683978133
GSE306855	HSC-2 IFN-γ vs PBS	PSMB8	2.2285827459840126
GSE306855	HSC-2 IFN-γ vs PBS	PSMB9	3.701631720518848
GSE306855	HSC-2 IFN-γ vs PBS	CD274	2.774764380549267
GSE306855	HSC-2 IFN-γ vs PBS	CXCL10	7.266789347866637
GSE306855	HSC-2 IFN-γ vs PBS	CXCL9	8.998385266647428
GSE190899	IEC organoids IFN-β vs untreated	ISG15	5.5222093963066285
GSE190899	IEC organoids IFN-β vs untreated	IFIT1	8.637276074093636
GSE190899	IEC organoids IFN-β vs untreated	IFIT2	6.607230557302734
GSE190899	IEC organoids IFN-β vs untreated	IFIT3	7.5654681961446855
GSE190899	IEC organoids IFN-β vs untreated	MX1	6.620703992919689
GSE190899	IEC organoids IFN-β vs untreated	MX2	7.256547244725741
GSE190899	IEC organoids IFN-β vs untreated	OAS1	3.0813507677926064
GSE190899	IEC organoids IFN-β vs untreated	OAS2	8.257791469681836
GSE190899	IEC organoids IFN-β vs untreated	OAS3	3.828557253829638
GSE190899	IEC organoids IFN-β vs untreated	IFI6	5.715565797518252
GSE190899	IEC organoids IFN-β vs untreated	IFI27	2.4075101664807215
GSE190899	IEC organoids IFN-β vs untreated	IFI44	5.359295661010975
GSE190899	IEC organoids IFN-β vs untreated	IFI44L	5.698596830502545
GSE190899	IEC organoids IFN-β vs untreated	STAT1	2.618451967448943
GSE190899	IEC organoids IFN-β vs untreated	IRF1	2.460680580730084
GSE190899	IEC organoids IFN-β vs untreated	IRF7	3.7596222916326254
GSE190899	IEC organoids IFN-β vs untreated	B2M	0.46453581998317794
GSE190899	IEC organoids IFN-β vs untreated	HLA-A	0.11972889937875546
GSE190899	IEC organoids IFN-β vs untreated	HLA-B	0.38574091277353456
GSE190899	IEC organoids IFN-β vs untreated	HLA-C	0.3301788336122602
GSE190899	IEC organoids IFN-β vs untreated	TAP1	2.1139924173965214
GSE190899	IEC organoids IFN-β vs untreated	PSMB8	0.941392359245483
GSE190899	IEC organoids IFN-β vs untreated	PSMB9	2.0126418500472165
GSE190899	IEC organoids IFN-β vs untreated	CD274	3.0799459132440283
GSE190899	IEC organoids IFN-β vs untreated	CXCL10	6.024305630451567
GSE190899	IEC organoids IFN-β vs untreated	CXCL9	2.5809938956135583
GSE190899	IEC organoids IFN-γ vs untreated	ISG15	1.3820303723164038
GSE190899	IEC organoids IFN-γ vs untreated	IFIT1	1.2576847595420493
GSE190899	IEC organoids IFN-γ vs untreated	IFIT2	3.343801864009711
GSE190899	IEC organoids IFN-γ vs untreated	IFIT3	5.1201756901447215
GSE190899	IEC organoids IFN-γ vs untreated	MX1	2.8227818802750537
GSE190899	IEC organoids IFN-γ vs untreated	MX2	1.2040481757684507
GSE190899	IEC organoids IFN-γ vs untreated	OAS1	0.8407427144890791
GSE190899	IEC organoids IFN-γ vs untreated	OAS2	3.9634778544484126
GSE190899	IEC organoids IFN-γ vs untreated	OAS3	1.5768457642008635
GSE190899	IEC organoids IFN-γ vs untreated	IFI6	1.3157762674460285
GSE190899	IEC organoids IFN-γ vs untreated	IFI27	0.6782941615970519
GSE190899	IEC organoids IFN-γ vs untreated	IFI44	0.9062317902971959
GSE190899	IEC organoids IFN-γ vs untreated	IFI44L	0.841257079764975
GSE190899	IEC organoids IFN-γ vs untreated	STAT1	2.7395542583206045
GSE190899	IEC organoids IFN-γ vs untreated	IRF1	4.765503103869671
GSE190899	IEC organoids IFN-γ vs untreated	IRF7	0.8305496163705202
GSE190899	IEC organoids IFN-γ vs untreated	B2M	0.6105528807545131
GSE190899	IEC organoids IFN-γ vs untreated	HLA-A	0.1992329488967215
GSE190899	IEC organoids IFN-γ vs untreated	HLA-B	0.36439357393767047
GSE190899	IEC organoids IFN-γ vs untreated	HLA-C	0.2341930690029299
GSE190899	IEC organoids IFN-γ vs untreated	TAP1	3.1778390703453594
GSE190899	IEC organoids IFN-γ vs untreated	PSMB8	1.1951950263612066
GSE190899	IEC organoids IFN-γ vs untreated	PSMB9	3.134668018789186
GSE190899	IEC organoids IFN-γ vs untreated	CD274	4.584749993157086
GSE190899	IEC organoids IFN-γ vs untreated	CXCL10	7.174137887748863
GSE190899	IEC organoids IFN-γ vs untreated	CXCL9	7.837753759982484
GSE190899	IEC organoids IFN-λ vs untreated	ISG15	4.148688313368225
GSE190899	IEC organoids IFN-λ vs untreated	IFIT1	6.558912151215147
GSE190899	IEC organoids IFN-λ vs untreated	IFIT2	3.7078684935695954
GSE190899	IEC organoids IFN-λ vs untreated	IFIT3	5.154755890146487
GSE190899	IEC organoids IFN-λ vs untreated	MX1	5.232111032056857
GSE190899	IEC organoids IFN-λ vs untreated	MX2	5.794169285209986
GSE190899	IEC organoids IFN-λ vs untreated	OAS1	2.1877725878937855
GSE190899	IEC organoids IFN-λ vs untreated	OAS2	6.524334619631986
GSE190899	IEC organoids IFN-λ vs untreated	OAS3	2.603907187109972
GSE190899	IEC organoids IFN-λ vs untreated	IFI6	4.341722664066439
GSE190899	IEC organoids IFN-λ vs untreated	IFI27	1.904708957318639
GSE190899	IEC organoids IFN-λ vs untreated	IFI44	3.799792695577238
GSE190899	IEC organoids IFN-λ vs untreated	IFI44L	4.339540597366798
GSE190899	IEC organoids IFN-λ vs untreated	STAT1	1.7237136576090097
GSE190899	IEC organoids IFN-λ vs untreated	IRF1	0.7823261480221803
GSE190899	IEC organoids IFN-λ vs untreated	IRF7	2.653837676542621
GSE190899	IEC organoids IFN-λ vs untreated	B2M	0.17676771527323196
GSE190899	IEC organoids IFN-λ vs untreated	HLA-A	0.031624702784948035
GSE190899	IEC organoids IFN-λ vs untreated	HLA-B	0.13533176555433415
GSE190899	IEC organoids IFN-λ vs untreated	HLA-C	0.13092925796401822
GSE190899	IEC organoids IFN-λ vs untreated	TAP1	1.0361466970573112
GSE190899	IEC organoids IFN-λ vs untreated	PSMB8	0.3823477686464827
GSE190899	IEC organoids IFN-λ vs untreated	PSMB9	0.9995268551826261
GSE190899	IEC organoids IFN-λ vs untreated	CD274	0.8802661021488264
GSE190899	IEC organoids IFN-λ vs untreated	CXCL10	2.9140228336904372
GSE190899	IEC organoids IFN-λ vs untreated	CXCL9	0.48655832199066706
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Isg15	2.1159436299469077
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Ifit1	1.2666227021102578
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Ifit2	1.0520350013784796
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Ifit3	1.8699468722081196
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Mx1	0.8092830458612665
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Mx2	1.434197329296885
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Oas1a	1.4059643874882815
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Oas2	0.9926064902125589
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Oas3	1.8525686467949214
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Ifi27l2a	1.1592688381913376
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Ifi44	1.2343868075386153
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Stat1	0.43054005138896567
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Irf1	-0.09185423717224328
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Irf7	2.0560238907583273
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	B2m	0.6136395222928499
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	H2-K1	0.5653551896087201
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	H2-D1	0.37080121025184987
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Tap1	0.5948950411880194
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Psmb8	0.2682863153821158
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Psmb9	0.12914892770252262
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Cd274	1.941880855392145
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Cxcl10	1.4230157167438557
GSE239485	Poly(I:C)+anti-PD-1 vs vehicle	Cxcl9	0.5023154850602589
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Isg15	2.0532072883414383
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Ifit1	1.2884106385890561
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Ifit2	1.3720148652634556
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Ifit3	2.054614629757885
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Mx1	1.5170199641965398
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Mx2	1.4097250720068373
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Oas1a	1.5749508170916373
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Oas2	1.2894862424335738
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Oas3	2.3237114502889344
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Ifi27l2a	1.3996887594974297
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Ifi44	1.3518626481112301
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Stat1	1.3192180321374831
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Irf1	0.31859519571858286
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Irf7	2.285430094907518
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	B2m	1.003023471800189
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	H2-K1	1.2526928834524114
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	H2-D1	0.6538176007120633
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Tap1	1.3459801333281973
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Psmb8	0.9424174220177859
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Psmb9	0.7807917941461548
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Cd274	2.53136957265271
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Cxcl10	1.2892237806401772
GSE239485	Poly(I:C)+anti-PD-1+anti-C5aR1 vs vehicle	Cxcl9	1.0789480030912602
