symbol	n_probes	n_arrays	tokens	GSM558700	GSM558701	GSM558702	median_log2	mean_log2	direction_median
ASB12	1	3	ASB12	-2.2515	0.5361	-0.5778	-0.5778	-0.7644	DOWN
ASB13	1	3	ASB13	-1.152	-0.4941	-1.4739	-1.152	-1.04	DOWN
ASB14	1	2	ASB14	-2.3959		-0.5146	-1.45525	-1.45525	DOWN
ASB15	1	3	ASB15	-0.811	-2.1203	2.0144	-0.811	-0.305633	DOWN
ASB16	1	3	ASB16	-1.4739	-0.0145	1.7991	-0.0145	0.103567	DOWN
ASB16-AS1	2	3	DKFZP762C2414	1.00615	-0.99365	-2.1467	-0.99365	-0.7114	DOWN
ASB17	1	2	ASB17		-0.454	-3.6439	-2.04895	-2.04895	DOWN
ASB2	2	3	ASB2	-0.6577	0.2828	-0.06755	-0.06755	-0.147483	DOWN
ASB3	3	3	ASB3	-0.3959	0.84	2.3785	0.84	0.940867	UP
ASB4	3	3	ASB4	-1.76145	0.3584	0.0286	0.0286	-0.45815	UP
ASB5	2	2	ASB5	0.07235	1.2889		0.680625	0.680625	UP
ASB6	2	3	ASB6	1.6654	-0.10795	0.7527	0.7527	0.77005	UP
ASB8	1	3	ASB8	-1.3219	0.6135	-0.4344	-0.4344	-0.380933	DOWN
ASB9	1	3	ASB9	1.111	-1.2863	1.5558	1.111	0.460167	UP
ASCC1	2	3	ASCC1	0.0426	0.251	-0.3268	0.0426	-0.0110667	UP
ASCC2	3	3	ASCC2	0.516	-0.6215	-0.8625	-0.6215	-0.322667	DOWN
ASCC3	4	3	ASCC3	-0.77185	1.09205	-0.3593	-0.3593	-0.0130333	DOWN
ASCL1	1	2	ASCL1	1.0356		-1.2863	-0.12535	-0.12535	DOWN
ASCL3	2	3	ASCL3	2.8657	-1.6897	2.858	2.858	1.34467	UP
ASF1A	1	3	ASF1A	1.9069	0.6508	-0.1361	0.6508	0.8072	UP
ASF1B	1	3	ASF1B	1.2016	-0.2176	1.1506	1.1506	0.711533	UP
ASGR1	1	2	ASGR1		0.5261	-0.811	-0.14245	-0.14245	DOWN
ASGR2	1	3	ASGR2	-2.0589	0.8718	-1.5995	-1.5995	-0.928867	DOWN
ASH1L	2	3	ASH1L	-1.3219	-0.5564	-1.2577	-1.2577	-1.04533	DOWN
ASH2L	3	3	ASH2L	-0.074	0.63605	-0.05705	-0.05705	0.168333	DOWN
ASIC1	1	3	ACCN2	-0.2176	-2.1203	0.7485	-0.2176	-0.5298	DOWN
ASIC2	1	3	ACCN1	-0.737	-6.6439	1.6462	-0.737	-1.91157	DOWN
ASIC3	2	3	ACCN3	-0.1681	-0.2639	-2.60545	-0.2639	-1.01248	DOWN
ASIC4	2	2	ACCN4	-1.1844	0.7049		-0.23975	-0.23975	DOWN
ASIP	1	2	ASIP	-1.5995	2.856		0.62825	0.62825	UP
ASL	1	2	ASL	-2.4739	-2.5564		-2.51515	-2.51515	DOWN
ASMTL	1	3	ASMTL	-0.0291	1.5993	-0.3219	-0.0291	0.4161	DOWN
ASMTL-AS1	1	2	CXYORF2	0.3785	-2.9434		-1.28245	-1.28245	DOWN
ASNS	4	3	ASNS	1.755	-0.1165	0.6871	0.6871	0.7752	UP
ASNSD1	1	3	NS3TP1	-0.8365	0.0976	-0.6215	-0.6215	-0.453467	DOWN
ASPA	1	2	ASPA	0.1635	3.2203		1.6919	1.6919	UP
ASPH	2	3	ASPH	1.99535	-1.4328	1.61125	1.61125	0.7246	UP
ASPM	3	3	ASPM	-0.305	3.6291	-2.54895	-0.305	0.258383	DOWN
ASPN	2	3	ASPN	-0.8625	-0.7993	-0.8625	-0.8625	-0.841433	DOWN
ASPSCR1	3	3	ASPSCR1	0.757	-0.4941	3.9523	0.757	1.40507	UP
ASRGL1	2	3	ASRGL1	0.9632	1.71565	-1.2863	0.9632	0.464183	UP
ASS1	2	3	ASS	-1.4376	-2.2274	-0.745	-1.4376	-1.47	DOWN
ASTE1	2	3	HT001	-1.7402	-0.8625	-0.00855	-0.8625	-0.870417	DOWN
ASTN1	1	3	ASTN	-1.1203	-3.8365	1.9598	-1.1203	-0.999	DOWN
ASTN2	2	2	ASTN2	-1.737	-0.0439		-0.89045	-0.89045	DOWN
ASXL1	2	3	ASXL1	0.6298	0.44765	0.243	0.44765	0.44015	UP
ASXL2	1	3	ASXL2	0.3448	-0.1844	0.2265	0.2265	0.128967	UP
ASXL3	1	2	KIAA1713	2.7181		-0.5564	1.08085	1.08085	UP
ASZ1	1	2	ASZ1		-2.0589	-0.415	-1.23695	-1.23695	DOWN
ATAD1	1	3	ATAD1	-0.2688	0.2016	-0.7612	-0.2688	-0.276133	DOWN
ATAD2	1	3	ATAD2	-0.2863	-2.3219	0.2869	-0.2863	-0.773767	DOWN
ATAD2B	2	3	KIAA1240	-0.415	-2.6439	2.8875	-0.415	-0.0571333	DOWN
ATAD3A	1	3	ATAD3A	-5.6439	-1.737	1.4957	-1.737	-1.96173	DOWN
ATAD3B	5	3	ATAD3B	0.1763	-0.074	0.81815	0.1763	0.306817	UP
ATAD5	1	3	FLJ12735	2.6893	-0.6897	-0.4344	-0.4344	0.521733	DOWN
ATAT1	4	3	C6ORF134	-0.3495	0.3448	-0.5995	-0.3495	-0.2014	DOWN
ATCAY	2	3	ATCAY	-0.67925	0.1243	0.30325	0.1243	-0.0839	UP
ATE1	3	3	ATE1	-0.6897	1.5898	-0.1203	-0.1203	0.259933	DOWN
ATF1	2	3	ATF1	-1.8627	0.3728	-2.23535	-1.8627	-1.24175	DOWN
ATF2	2	3	ATF2	0.13455	1.1315	2.61275	1.1315	1.29293	UP
ATF3	1	3	ATF3	0.7991	-5.6439	4.7109	0.7991	-0.0446333	UP
ATF4	1	3	ATF4	0.433	-0.2176	2.9467	0.433	1.05403	UP
ATF5	1	3	ATF5	1.1043	-0.8365	-0.1361	-0.1361	0.0439	DOWN
ATF6	2	3	ATF6	-0.7573	1.982	0.8593	0.8593	0.694667	UP
ATF6B	1	3	CREBL1	-2.1844	0.903	-5.6439	-2.1844	-2.30843	DOWN
ATF7	2	3	ATF7	-0.1047	-3.6439	0.0841	-0.1047	-1.2215	DOWN
ATF7IP2	3	3	ATF7IP2	1.7049	-1.4344	-0.889	-0.889	-0.206167	DOWN
ATG10	2	3	APG10L	0.4329	-1.8402	-1.50115	-1.50115	-0.969483	DOWN
ATG101	1	3	FLJ11773	-1.8365	0.1243	-0.0439	-0.0439	-0.585367	DOWN
ATG12	2	3	APG12L	-0.89865	-0.63825	0.3549	-0.63825	-0.394	DOWN
ATG13	2	3	KIAA0652	0.96875	1.43985	0.14045	0.96875	0.849683	UP
ATG14	2	3	KIAA0831	0.82165	-0.2136	1.59095	0.82165	0.733	UP
ATG16L1	2	3	APG16L	-0.54585	0.3896	-1.21525	-0.54585	-0.457167	DOWN
ATG16L2	1	3	FLJ00012	2.4276	-1.6897	0.1635	0.1635	0.300467	UP
ATG2A	1	3	KIAA0404	0.9107	-3.8365	0.9561	0.9107	-0.656567	UP
ATG2B	1	3	C14ORF103	0.1635	-1.5995	-1.6439	-1.5995	-1.02663	DOWN
ATG3	1	3	APG3L	0.5261	-1.4739	-1.3959	-1.3959	-0.781233	DOWN
ATG4A	3	3	APG4A	0.2265	1.7655	1.71345	1.71345	1.23515	UP
ATG4B	5	3	APG4B	0.4222	-0.2863	0.4751	0.4222	0.203667	UP
ATG4C	2	3	APG4C	1.14485	-0.68165	0.80655	0.80655	0.42325	UP
ATG4D	2	3	APG4D	-0.6574	-0.25985	2.57975	-0.25985	0.554167	DOWN
ATG5	3	3	APG5L	0.3219	-0.45215	-1.0589	-0.45215	-0.396383	DOWN
ATG7	2	3	APG7L	-0.0582	-0.6287	0.5393	-0.0582	-0.0492	DOWN
ATG9A	3	3	FLJ22169	0	0.5945	1	0.5945	0.5315	UP
ATG9B	1	2	SONE	1.3951	2.6531		2.0241	2.0241	UP
ATIC	1	3	ATIC	0.3103	0.5753	-0.0439	0.3103	0.280567	UP
ATL1	1	3	SPG3A	-2.3219	4.9819	-4.3219	-2.3219	-0.553967	DOWN
ATL2	1	3	ARL6IP2	-3.0589	0.1375	-1.1844	-1.1844	-1.3686	DOWN
ATL3	1	3	DKFZP564J0863	0.2388	-0.415	2.7137	0.2388	0.845833	UP
ATM	3	3	ATM	1.2517	1.00675	-0.4255	1.00675	0.610983	UP
ATMIN	3	3	KIAA0431	-1.1844	0.1763	-1.4344	-1.1844	-0.814167	DOWN
ATN1	4	3	DRPLA	0.8797	-3.0199	0.45535	0.45535	-0.561617	UP
ATOH1	1	2	ATOH1	1.433		-2.3959	-0.48145	-0.48145	DOWN
ATOH7	1	3	ATOH7	0.0286	-0.0291	1.5361	0.0286	0.511867	UP
ATOH8	1	3	ATOH8	2.5311	-0.3401	2.1473	2.1473	1.4461	UP
ATOSA	1	3	FLJ10980	2.0461	-0.5995	-1	-0.5995	0.148867	DOWN
ATOSB	1	3	KIAA1539	-0.2009	-0.0893	1.4222	-0.0893	0.377333	DOWN
ATOX1	1	3	ATOX1	1.0909	-2.1844	-1.4739	-1.4739	-0.8558	DOWN
ATP10A	1	2	ATP10A		3.7666	-4.0589	-0.14615	-0.14615	DOWN
ATP10B	4	3	ATP10B	-1.326	0.65735	-0.0291	-0.0291	-0.232583	DOWN
ATP10D	1	3	ATP10D	0.2016	-1.0893	-1.4344	-1.0893	-0.774033	DOWN
ATP11A	2	2	ATP11A		0.12825	-4.6439	-2.25782	-2.25782	DOWN
ATP11B	3	3	ATP11B	-0.3771	0.111	0.1243	0.111	-0.0472667	UP
ATP13A1	2	3	ATP13A	-0.01425	-0.32645	0.8718	-0.01425	0.177033	DOWN
ATP13A2	1	3	HSA9947	0.7137	-1.5146	1.7312	0.7137	0.3101	UP
ATP13A3	3	3	AFURS1	-1.5564	-1.5564	-1.737	-1.5564	-1.6166	DOWN
ATP1A1	1	3	ATP1A1	-0.3585	0.111	-0.9434	-0.3585	-0.396967	DOWN
ATP1A1-AS1	1	2	MGC16179	-3.8365	-1.737		-2.78675	-2.78675	DOWN
ATP1A3	1	3	ATP1A3	-0.889	1.1309	3.1276	1.1309	1.12317	UP
ATP1A4	2	2	ATP1A4		1.80315	-2.3365	-0.266675	-0.266675	DOWN
ATP1B1	1	3	ATP1B1	-1.3219	1.5898	-2.2515	-1.3219	-0.6612	DOWN
ATP1B2	1	2	ATP1B2		-3.3219	-1.8365	-2.5792	-2.5792	DOWN
ATP1B3	1	3	ATP1B3	-1.5995	-0.1203	0.7824	-0.1203	-0.312467	DOWN
ATP1B3P1	1	2	ATP1B3P1	-3.0589	1.8797		-0.5896	-0.5896	DOWN
ATP1B4	1	2	ATP1B4	1.111		4.4983	2.80465	2.80465	UP
ATP23	1	3	KUB3	0.7908	-1.2863	0.0566	0.0566	-0.1463	UP
ATP2A1	2	3	ATP2A1	2.2265	-4.3219	-1.0589	-1.0589	-1.05143	DOWN
ATP2A2	2	3	ATP2A2	-0.47395	-0.34055	-0.55845	-0.47395	-0.45765	DOWN
ATP2A3	2	3	ATP2A3	-1.21215	1.25355	0.37815	0.37815	0.13985	UP
ATP2B1	2	3	ATP2B1	0.37255	-1.14455	1.2357	0.37255	0.154567	UP
ATP2B2	2	3	ATP2B2	-0.15005	0.9782	0.29245	0.29245	0.373533	UP
ATP2B3	1	2	ATP2B3	4.9184		-3.3219	0.79825	0.79825	UP
ATP2B4	2	3	ATP2B4	0.2793	0.7485	-1.2761	0.2793	-0.0827667	UP
ATP2C1	2	3	ATP2C1	-0.7172	1.0782	-1.3094	-0.7172	-0.316133	DOWN
ATP2C2	2	3	KIAA0703	-0.454	-1.11215	-0.2515	-0.454	-0.605883	DOWN
ATP4A	1	2	ATP4A		1.406	2.5361	1.97105	1.97105	UP
ATP5F1A	1	3	ATP5A1	-0.3219	-0.2345	4.0312	-0.2345	1.15827	DOWN
ATP5F1B	1	3	ATP5B	-0.6439	0.3674	-0.2863	-0.2863	-0.1876	DOWN
ATP5F1C	2	3	ATP5C1	-2.1755	8.7797	-0.67925	-0.67925	1.97498	DOWN
ATP5F1D	1	3	ATP5D	1.4276	-0.454	1.0426	1.0426	0.672067	UP
ATP5F1E	1	3	ATP5E	-0.2009	-0.2688	-0.4739	-0.2688	-0.314533	DOWN
ATP5IF1	1	3	ATPIF1	-0.5564	0.2987	-1.0893	-0.5564	-0.449	DOWN
ATP5MC1	1	3	ATP5G1	1.0909	2.2898	1.3161	1.3161	1.5656	UP
ATP5MC2	1	3	ATP5G2	-0.1361	3.1651	0.3334	0.3334	1.1208	UP
ATP5MC3	1	3	ATP5G3	0.0144	-0.074	0.9928	0.0144	0.311067	UP
ATP5ME	1	3	ATP5I	0.4005	-1.152	0.2987	0.2987	-0.150933	UP
ATP5MF	1	3	ATP5J2	1.0704	0.0976	2	1.0704	1.056	UP
ATP5MG	1	3	ATP5L	-0.6666	0.1635	-0.152	-0.152	-0.218367	DOWN
ATP5MJ	1	3	C14ORF2	1.4542	0.3448	0.1375	0.3448	0.6455	UP
ATP5MK	2	3	USMG5	-0.0922	0.8738	0.7292	0.7292	0.5036	UP
ATP5PB	1	3	ATP5F1	-4.0589	-2.737	-0.5778	-2.737	-2.4579	DOWN
ATP5PD	2	3	ATP5H	0.5157	1.7836	-0.4836	0.5157	0.605233	UP
ATP5PF	2	2	ATP5J	0.13265		-1.1203	-0.493825	-0.493825	DOWN
ATP5PO	1	3	ATP5O	0.2869	1.9523	-0.3959	0.2869	0.614433	UP
ATP6AP1	2	3	ATP6AP1|ORF	-0.6792	0.3563	-0.1834	-0.1834	-0.168767	DOWN
ATP6V0A1	2	3	ATP6V0A1	0.37745	0.29005	-1.3959	0.29005	-0.2428	UP
ATP6V0A4	3	3	ATP6V0A4	-0.5353	1.3391	0.5558	0.5558	0.4532	UP
ATP6V0B	1	3	ATP6V0B	-1.3959	-2.0589	-0.6897	-1.3959	-1.3815	DOWN
ATP6V0C	1	3	ATP6V0C	-0.5778	-0.2688	0.6781	-0.2688	-0.0561667	DOWN
ATP6V0D1	1	3	ATP6V0D1	-0.0439	0.263	2.0704	0.263	0.763167	UP
ATP6V0D2	1	3	ATP6V0D2	-0.7612	0.7137	-0.5564	-0.5564	-0.2013	DOWN
ATP6V0E1	1	3	ATP6V0E	-0.0145	0.8074	-1.2515	-0.0145	-0.152867	DOWN
ATP6V0E2	3	3	C7ORF32	0.83725	1.1296	-0.71915	0.83725	0.4159	UP
ATP6V1A	1	3	ATP6V1A	-0.8365	-0.1361	-0.7612	-0.7612	-0.577933	DOWN
ATP6V1B1	1	3	ATP6V1B1	-1.2863	1.9411	3.121	1.9411	1.2586	UP
ATP6V1B2	1	3	ATP6V1B2	0.926	-0.5353	0.9928	0.926	0.461167	UP
ATP6V1C1	1	3	ATP6V1C1	-0.6666	1.5993	-3.3219	-0.6666	-0.7964	DOWN
ATP6V1C2	1	2	ATP6V1C2	-1.5564		-4.0589	-2.80765	-2.80765	DOWN
ATP6V1D	1	3	ATP6V1D	-0.4344	0.5753	0	0	0.0469667	ZERO
ATP6V1E1	1	3	ATP6V1E1	-0.415	-0.1203	0.6871	-0.1203	0.0506	DOWN
ATP6V1E2	1	2	ATP6V1E2	0.4005		-0.4739	-0.0367	-0.0367	DOWN
ATP6V1F	1	3	ATP6V1F	0.0566	-0.7859	0.1375	0.0566	-0.197267	UP
ATP6V1G1	1	3	ATP6V1G1	-0.737	0.9411	-0.9159	-0.737	-0.237267	DOWN
ATP6V1G2	2	3	ATP6V1G2	1.8992	0.1635	-0.743	0.1635	0.4399	UP
ATP6V1G3	2	3	ATP6V1G3	-0.6439	2.7949	0.7908	0.7908	0.9806	UP
ATP6V1H	2	3	ATP6V1H	-0.8365	-0.22115	0.8469	-0.22115	-0.07025	DOWN
ATP7B	2	3	ATP7B	-1.4477	-0.889	-0.889	-0.889	-1.07523	DOWN
ATP8A1	1	2	ATP8A1	-0.6666		-0.4941	-0.58035	-0.58035	DOWN
ATP8A2	2	3	ATP8A2	-0.0753	-0.2426	0.0426	-0.0753	-0.0917667	DOWN
ATP8B1	1	3	ATP8B1	0.585	-1.0589	2.5705	0.585	0.698867	UP
ATP8B2	2	3	ATP8B2	0.27275	3.8827	-0.81745	0.27275	1.11267	UP
ATP8B4	1	2	ATP8B4		3.6358	-1.2515	1.19215	1.19215	UP
ATP9A	2	3	ATP9A	0.7277	1.1803	0.37935	0.7277	0.76245	UP
ATP9B	3	3	ATP9B	-1.52945	0.2265	-1.5146	-1.5146	-0.939183	DOWN
ATPAF1	1	3	ATPAF1	1.1043	-4.6439	0.111	0.111	-1.14287	UP
ATR	1	3	ATR	1.7949	0	0.8156	0.8156	0.870167	UP
ATRAID	1	3	C2ORF28	-0.2176	1.2079	0.1635	0.1635	0.3846	UP
ATRN	2	3	ATRN	0.35755	-0.3619	0.1042	0.1042	0.0332833	UP
ATRNL1	1	2	ATRNL1	-1.0589	0.0286		-0.51515	-0.51515	DOWN
ATRX	2	3	ATRX	0.0836	0.2869	1.9703	0.2869	0.780267	UP
ATXN1	3	3	ATXN1	-0.1047	0.7757	0.04635	0.04635	0.239117	UP
ATXN10	1	3	ATXN10	-1.2176	2.3391	0	0	0.373833	ZERO
ATXN2	1	3	ATXN2	0.4005	-0.3219	-1.0589	-0.3219	-0.326767	DOWN
ATXN2L	3	3	ATXN2L	1.2869	1.2327	1.3161	1.2869	1.27857	UP
ATXN3	1	3	ATXN3	2.0841	-1.0291	2.6668	2.0841	1.2406	UP
ATXN3L	1	2	ATXN3L	-2	-0.7131		-1.35655	-1.35655	DOWN
ATXN7	2	3	ATXN7	0.3561	-0.65095	-0.9773	-0.65095	-0.42405	DOWN
ATXN7L1	3	3	ATXN7L1|ATXN7L4	-1.5564	-1.8365	-0.2087	-1.5564	-1.20053	DOWN
ATXN7L2	1	3	ATXN7L2	0.546	-1.0893	0.9709	0.546	0.142533	UP
ATXN7L3	2	3	ATXN7L3	-0.3197	-1.1844	1.6135	-0.3197	0.0364667	DOWN
AUH	2	3	AUH	0.4221	-0.25315	-1.1682	-0.25315	-0.333083	DOWN
AUNIP	1	3	MGC2603	1.0072	-0.5778	0.8156	0.8156	0.415	UP
AUP1	1	3	AUP1	-2.1844	3.5084	-0.737	-0.737	0.195667	DOWN
AURKA	2	3	STK6	1.67475	-1.8762	0.0749	0.0749	-0.0421833	UP
AURKAIP1	2	3	AKIP	0.1118	-0.2394	-0.1889	-0.1889	-0.1055	DOWN
AURKB	1	2	AURKB	1.4854	-1.3585		0.06345	0.06345	UP
AURKC	3	3	AURKC	1.3219	-0.5778	0.2141	0.2141	0.3194	UP
AUTS2	1	3	AUTS2	0.8319	-0.889	-2.4739	-0.889	-0.843667	DOWN
AVEN	1	3	AVEN	1.1043	-2.1844	1.0635	1.0635	-0.00553333	UP
AVIL	2	3	AVIL	-4.3821	0.34655	5.8953	0.34655	0.619917	UP
AVL9	2	3	KIAA0241	0.3682	-2.1682	-0.67555	-0.67555	-0.825183	DOWN
AVP	1	2	AVP	0.856		1.157	1.0065	1.0065	UP
AVPI1	2	3	AVPI1	0.86525	-2.0428	0.2265	0.2265	-0.317017	UP
AVPR2	1	3	AVPR2	0.3103	0.111	-0.6215	0.111	-0.0667333	UP
AXIN1	1	3	AXIN1	-1.1844	1.281	0.7655	0.7655	0.287367	UP
AXIN2	2	3	AXIN2	1.28935	-1.11455	-1.152	-1.11455	-0.325733	DOWN
AXL	1	3	AXL	0.5059	-0.3771	-0.5353	-0.3771	-0.1355	DOWN
AZI2	1	3	AZI2	0.5059	0.2388	-0.3585	0.2388	0.128733	UP
AZIN1	1	3	OAZIN	0.251	1.7398	-0.6439	0.251	0.448967	UP
AZIN2	2	3	ODC-P	-0.62575	-0.2009	1.7735	-0.2009	0.315617	DOWN
AZU1	1	3	AZU1	-0.889	3.144	-0.0893	-0.0893	0.7219	DOWN
B2M	1	3	B2M	-2.5564	2.2296	-3.1844	-2.5564	-1.1704	DOWN
B3GALNT1	3	3	B3GALT3	-0.5353	1.8516	-0.77145	-0.5353	0.181617	DOWN
B3GALNT2	2	3	MGC39558	0.11755	-2.11755	-0.7971	-0.7971	-0.932367	DOWN
B3GALT1	1	3	B3GALT1	-3.3219	-1.1844	2.3277	-1.1844	-0.7262	DOWN
B3GALT2	1	2	B3GALT2	-0.1681	1.3391		0.5855	0.5855	UP
B3GALT4	1	2	B3GALT4		3.1177	3.0036	3.06065	3.06065	UP
B3GALT6	2	3	B3GALT6	-1.5589	1.0261	-2.3979	-1.5589	-0.9769	DOWN
B3GAT1	2	3	B3GAT1	0.3785	0.24425	1.278	0.3785	0.633583	UP
B3GAT3	1	3	B3GAT3	-0.1681	-0.2009	-0.7131	-0.2009	-0.3607	DOWN
B3GNT3	1	2	B3GNT3	-1.5146	1.5898		0.0376	0.0376	UP
B3GNT4	2	3	B3GNT4	0.33305	-0.22605	-0.0669	-0.0669	0.0133667	DOWN
B3GNT5	2	3	B3GNT5	7.923	0.46955	2.2418	2.2418	3.54478	UP
B3GNT6	1	3	B3GNT6	-0.8365	-0.2345	-1.5995	-0.8365	-0.890167	DOWN
B3GNT7	1	2	B3GNT7	-0.2009	-0.0145		-0.1077	-0.1077	DOWN
B3GNT9	1	3	MGC4655	-0.9159	0.0841	0.0704	0.0704	-0.2538	UP
B4GALNT1	1	2	GALGT		-3.1844	0.6871	-1.24865	-1.24865	DOWN
B4GALNT3	2	3	B4GALNAC-T3	0.61325	0.0137	1.1763	0.61325	0.601083	UP
B4GALT1	1	3	B4GALT1	1.1309	-4.6439	0.9782	0.9782	-0.844933	UP
B4GALT2	2	3	B4GALT2	-0.50595	-0.1164	1.40495	-0.1164	0.260867	DOWN
B4GALT3	3	3	B4GALT3	-0.454	-0.6897	-0.84485	-0.6897	-0.66285	DOWN
B4GALT4	2	3	B4GALT4	0.10295	0.111	-0.889	0.10295	-0.225017	UP
B4GALT5	1	3	B4GALT5	-1.2515	1.157	0.0144	0.0144	-0.0267	UP
B4GALT6	2	3	B4GALT6	-1.75315	-0.40295	-0.33895	-0.40295	-0.831683	DOWN
B4GALT7	1	3	B4GALT7	1.0496	-0.5778	2.0875	1.0496	0.8531	UP
B9D1	3	3	EPPB9	1.8836	0.189	0.5361	0.5361	0.869567	UP
B9D2	1	3	MGC4093	-0.9434	0.585	0.3103	0.3103	-0.0160333	UP
BAALC	3	3	BAALC	-0.5778	1.1082	-1.05705	-0.5778	-0.17555	DOWN
BAAT	1	2	BAAT		0.84	2.257	1.5485	1.5485	UP
BABAM1	1	3	HSPC142	0.5656	0.8875	0.4647	0.5656	0.639267	UP
BABAM2	2	3	BRE	1.05515	-1.6552	0.4979	0.4979	-0.03405	UP
BACE1	3	3	BACE1	-1.3219	0.4114	-0.4717	-0.4717	-0.460733	DOWN
BACH1	3	3	BACH1	0.10225	0.8156	-0.2037	0.10225	0.23805	UP
BACH2	1	2	BACH2	1.2327		4.9026	3.06765	3.06765	UP
BAD	2	3	BAD	0.0287	0.03725	0.1505	0.03725	0.07215	UP
BAG1	1	3	BAG1	-0.415	7.7049	-0.737	-0.415	2.1843	DOWN
BAG2	1	3	BAG2	1.1506	-1.8365	0.585	0.585	-0.0336333	UP
BAG3	1	3	BAG3	-0.889	0.3334	-1.2515	-0.889	-0.602367	DOWN
BAG4	2	3	BAG4	2.0976	-1.0893	-0.0861	-0.0861	0.3074	DOWN
BAG5	1	3	BAG5	-2.5564	1.903	-0.8365	-0.8365	-0.496633	DOWN
BAG6	1	3	BAT3	-0.6439	1.5361	-2.1203	-0.6439	-0.409367	DOWN
BAHCC1	2	3	KIAA1447	-0.1203	-0.3224	-0.19325	-0.19325	-0.211983	DOWN
BAHD1	1	3	BAHD1	-3.1844	0.3674	2.0036	0.3674	-0.271133	UP
BAIAP2	5	3	BAIAP2	0.7655	1.3334	-1.21795	0.7655	0.29365	UP
BAIAP2L2	1	3	FLJ22582	-0.0291	-0.6897	0.8718	-0.0291	0.051	DOWN
BAIAP3	1	3	BAIAP3	3.3103	-1.152	3.466	3.3103	1.87477	UP
BAK1	1	3	BAK1	0.774	1.189	2.0841	1.189	1.34903	UP
BAMBI	1	3	BAMBI	-1.0291	-0.9434	3.1667	-0.9434	0.398067	DOWN
BANF1	1	3	BANF1	1.4114	-0.6439	1.6462	1.4114	0.804567	UP
BANK1	1	3	BANK1	1.6554	-5.6439	-5.6439	-5.6439	-3.2108	DOWN
BANP	2	3	BANP	0.23795	-0.64845	-0.5539	-0.5539	-0.321467	DOWN
BAP1	1	3	BAP1	0.2265	-0.2688	-0.0145	-0.0145	-0.0189333	DOWN
BARD1	1	2	BARD1		0.7398	-0.454	0.1429	0.1429	UP
BARHL1	1	2	BARHL1		-1.6897	-0.3771	-1.0334	-1.0334	DOWN
BARHL2	1	2	BARHL2	-0.889	-2.737		-1.813	-1.813	DOWN
BARX1	1	3	BARX1	-1.3959	4.464	-1.5146	-1.3959	0.517833	DOWN
BARX2	1	3	BARX2	0.1375	3.1489	-3.6439	0.1375	-0.119167	UP
BASP1	1	3	BASP1	-1.0589	2.4673	-0.8625	-0.8625	0.181967	DOWN
BATF	1	2	BATF		-1.1844	-0.1844	-0.6844	-0.6844	DOWN
BATF3	1	3	SNFT	-0.8625	0.0286	1.8278	0.0286	0.3313	UP
BAX	4	3	BAX	1.62345	-0.5353	1.9908	1.62345	1.02632	UP
BAZ1A	1	3	BAZ1A	0.6599	1.4751	-2.3959	0.6599	-0.0869667	UP
BAZ1B	1	3	BAZ1B	0.0841	-1.5146	0.4854	0.0841	-0.315033	UP
BAZ2A	4	3	BAZ2A	-0.7859	-0.65375	-2.737	-0.7859	-1.39222	DOWN
BAZ2B	1	3	BAZ2B	1.3103	0.1375	0.585	0.585	0.6776	UP
BBC3	2	3	BBC3	0.97055	-0.13355	-1.0818	-0.13355	-0.0816	DOWN
BBLN	1	3	C9ORF16	-1.1844	-1.1203	-2.1844	-1.1844	-1.49637	DOWN
BBOF1	3	3	C14ORF45	-1.45525	-1.20865	-0.35775	-1.20865	-1.00722	DOWN
BBOX1	1	2	BBOX1	0.546		-3.6439	-1.54895	-1.54895	DOWN
BBS1	3	3	BBS1	-0.00945	0.4436	-0.0145	-0.00945	0.139883	DOWN
BBS10	1	3	FLJ23560	1.546	-1.1203	0.6871	0.6871	0.370933	UP
BBS12	1	3	FLJ35630	0.6135	2.5211	0.3448	0.6135	1.1598	UP
BBS2	1	3	BBS2	2.211	3.8846	1.5898	2.211	2.5618	UP
BBS4	1	3	BBS4	0.6415	-2.0589	2.3334	0.6415	0.305333	UP
BBS5	1	3	BBS5	-1.152	2.4725	-0.415	-0.415	0.301833	DOWN
BBS7	1	3	BBS7	1.8115	4.3868	-1.1203	1.8115	1.69267	UP
BBX	3	3	BBX	0.9709	-0.4739	1.4222	0.9709	0.639733	UP
BCAM	1	3	LU	-0.0291	0.9928	1.0356	0.9928	0.666433	UP
BCAN	2	3	BCAN	0.75745	-1.03915	0.50035	0.50035	0.0728833	UP
BCAP29	1	3	BCAP29	-0.8625	0.5753	-1.9434	-0.8625	-0.743533	DOWN
BCAR1	1	3	BCAR1	0.3674	0.9709	-1.3959	0.3674	-0.0192	UP
BCAR3	2	3	BCAR3	-0.65825	1.3448	-1.5995	-0.65825	-0.304317	DOWN
BCAS1	1	3	BCAS1	0.8319	0.1506	-0.4739	0.1506	0.169533	UP
BCAS2	1	3	BCAS2	-0.5353	-1.1203	-0.5564	-0.5564	-0.737333	DOWN
BCAS3	1	3	BCAS3	-0.3771	0.111	-0.6439	-0.3771	-0.303333	DOWN
BCAS4	1	3	BCAS4	0.8319	1.263	1.4114	1.263	1.16877	UP
BCAT1	1	3	BCAT1	-0.4739	-1.737	-0.6897	-0.6897	-0.966867	DOWN
