ModelID,CellLineName,StrippedCellLineName,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,LungGroup,PrimaryOrMetastasis,Sex,Age,HasCRISPR,HasExpression,TACSTD2_geneEffect,TACSTD2_depProb,TACSTD2_log2TPM1,CLDN4_geneEffect,CLDN4_depProb,CLDN4_log2TPM1
ACH-000860,NCI-H358,NCIH358,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,,True,True,0.008350987,0.01766021,7.492414,0.08782611,0.007172789,7.9341035
ACH-000638,NCI-H441,NCIH441,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,33.0,True,True,0.060683493,0.009819943,9.175874,0.06446102,0.009468551,8.106484
ACH-000463,NCI-H460,NCIH460,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,,True,True,0.22419101,0.0022551361,0.22650853,-0.052202962,0.030526774,4.6718593
ACH-000395,NCI-H520,NCIH520,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,,True,True,-0.03584054,0.031633034,1.3448285,-0.24057281,0.18637718,3.063503
ACH-000343,NCI-H522,NCIH522,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,58.0,True,True,0.06531296,0.014408794,0.27500704,0.12827349,0.008391998,1.6461626
ACH-000628,NCI-H596,NCIH596,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NSCLC,Primary,Male,73.0,False,True,,,9.605554,,,7.7695074
ACH-000378,NCI-H647,NCIH647,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NSCLC,Metastatic,Male,56.0,True,True,0.082943715,0.008932532,6.129283,0.20621406,0.0038543057,6.6613507
ACH-000945,NCI-H650,NCIH650,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,,True,True,0.037273437,0.024588646,4.55888,-0.2781924,0.2198392,1.1570437
ACH-000853,NCI-H661,NCIH661,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,43.0,True,True,0.056697853,0.00964588,0.82374936,0.09722704,0.0057296683,2.0976107
ACH-000789,NCI-H810,NCIH810,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Primary,Male,51.0,False,True,,,0.44360664,,,6.78542
ACH-000416,NCI-H838,NCIH838,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,59.0,True,True,0.0059576537,0.029913496,3.165108,-0.061877735,0.058877543,0.54596835
ACH-002497,NCI-H920,NCIH920,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,43.0,False,True,,,4.85599,,,5.42055
ACH-000030,PC-14,PC14,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,45.0,True,True,-0.13313334,0.08542833,8.783784,0.08866192,0.0074445815,9.117279
ACH-002184,PC-3 [JPC-3],PC3JPC3,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,,Female,48.0,False,False,,,,,,
ACH-000779,PC-9,PC9,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,45.0,False,True,,,7.915461,,,7.807355
ACH-000791,RERF-LC-Ad1,RERFLCAD1,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,70.0,True,True,0.036167815,0.019127471,10.143893,0.13814874,0.010220653,9.783653
ACH-000774,RERF-LC-Ad2,RERFLCAD2,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,,True,True,0.15968674,0.012476131,8.409815,0.11604552,0.014296447,8.132319
ACH-000261,RERF-LC-AI,RERFLCAI,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,,True,True,0.32115954,0.002866193,4.621173,-0.047168553,0.047003,3.1259816
ACH-000482,RERF-LC-KJ,RERFLCKJ,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,78.0,False,True,,,9.157448,,,7.835735
ACH-000062,RERF-LC-MS,RERFLCMS,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,,False,True,,,3.5348086,,,5.811471
ACH-000442,RERF-LC-Sq1,RERFLCSQ1,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Female,74.0,True,True,-0.15445831,0.09316554,3.491853,-0.13105336,0.07646497,5.2047668
ACH-000309,SK-LU-1,SKLU1,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,60.0,False,False,,,,,,
ACH-000665,SK-MES-1,SKMES1,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,65.0,True,True,0.009869605,0.024340887,7.5252075,0.043742657,0.018304152,7.1059084
ACH-002526,SNU-1327,SNU1327,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,84.0,True,True,-0.1669097,0.090785764,7.847809,-0.16747333,0.091177195,6.617798
ACH-002522,SNU-2292,SNU2292,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,39.0,True,True,-0.05481806,0.029667426,3.4289463,-0.18350819,0.08434405,1.5459684
ACH-002531,SNU-2535,SNU2535,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,57.0,True,True,-0.097211964,0.04711806,8.845961,0.044132307,0.015973577,8.178267
ACH-000553,Sq-1,SQ1,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,,False,True,,,9.110979,,,8.56807
ACH-000677,SW 1573,SW1573,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,44.0,True,True,-0.036481705,0.02581924,1.6322682,-0.0016944554,0.019391524,3.0565836
ACH-000669,SW 900,SW900,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,53.0,False,True,,,6.7092905,,,8.359794
ACH-000813,T3M-10,T3M10,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,40.0,False,True,,,4.5496693,,,5.0125685
ACH-002034,T3M-11,T3M11,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,NUTCL,NSCLC,Primary,Male,,False,True,,,0.08406427,,,0.6507646
ACH-001233,VMRC-LCD,VMRCLCD,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,,True,False,0.01031516,0.047337692,,0.13890286,0.012940924,
ACH-001234,VMRC-LCP,VMRCLCP,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Unknown,,False,False,,,,,,
ACH-000530,DMS 114,DMS114,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,Other lung,Primary,Male,68.0,False,True,,,0.3448285,,,0.98550045
ACH-000129,NCI-H1341,NCIH1341,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,Other lung,Metastatic,Female,26.0,False,True,,,0.2986583,,,4.5637684
ACH-000752,NCI-H196,NCIH196,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,Other lung,Metastatic,Male,68.0,False,True,,,0.4854268,,,1.7824086
ACH-002174,NCI-H720,NCIH720,Lung Neuroendocrine Tumor,Lung Carcinoid,LUCA,Other lung,Primary,Male,,False,False,,,,,,
ACH-000775,NCI-H727,NCIH727,Lung Neuroendocrine Tumor,Lung Carcinoid,LUCA,Other lung,Primary,Female,65.0,True,True,-0.1569285,0.09695544,1.8237493,0.13254629,0.0043112016,8.956985
ACH-002177,NCI-H835,NCIH835,Lung Neuroendocrine Tumor,Lung Carcinoid,LUCA,Other lung,Primary,Female,48.0,False,False,,,,,,
ACH-000292,NCI-H841,NCIH841,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,Other lung,Metastatic,Male,51.0,True,True,-0.022585314,0.017739404,0.2141248,0.1758611,0.0018059296,1.1890339
ACH-000890,SW 1271,SW1271,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,Other lung,Primary,Male,69.0,True,True,-0.10350672,0.053100564,0.4854268,0.122557364,0.0106028505,2.130931
ACH-001417,UMC-11,UMC11,Lung Neuroendocrine Tumor,Lung Carcinoid,LUCA,Other lung,Primary,Male,,False,False,,,,,,
ACH-000803,COLO 668,COLO668,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,47.0,False,True,,,1.4750849,,,7.3474884
ACH-000382,COR-L24,CORL24,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,71.0,False,True,,,0.65992457,,,7.7176766
ACH-001046,COR-L26,CORL26,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,,Female,,False,True,,,0.07038933,,,0.042644337
ACH-000257,COR-L279,CORL279,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,63.0,True,True,0.23107538,0.0041890843,1.8318772,0.035408597,0.016197542,6.8563633
ACH-002095,COR-L303,CORL303,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Female,,False,False,,,,,,
ACH-000187,COR-L311,CORL311,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,63.0,True,True,0.017535554,0.018589284,0.16349873,0.09497897,0.009942099,6.7272396
ACH-000695,COR-L47,CORL47,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,67.0,True,True,-0.14331573,0.06273977,0.6507646,-0.035553884,0.028583039,4.31034
ACH-001047,COR-L51,CORL51,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,71.0,False,False,,,,,,
ACH-000508,COR-L88,CORL88,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,55.0,False,True,,,1.9221978,,,7.228819
ACH-000743,COR-L95,CORL95,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,64.0,False,True,,,2.9836776,,,8.475855
ACH-001049,CPC-N,CPCN,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,,False,False,,,,,,
ACH-000594,DMS 153,DMS153,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,44.0,False,True,,,1.3950628,,,7.9374623
ACH-000749,DMS 273,DMS273,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,50.0,True,True,0.0710698,0.0071461247,0.5849625,0.13258599,0.003776052,1.4059924
ACH-000844,DMS 454,DMS454,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,,False,True,,,2.5728896,,,8.439249
ACH-000698,DMS 53,DMS53,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,54.0,True,True,0.030391302,0.010427842,6.2783566,-0.012954854,0.016178716,8.729213
ACH-000703,DMS 79,DMS79,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,65.0,False,True,,,1.0703893,,,7.445346
ACH-000515,HCC-33,HCC33,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,52.0,True,True,0.33127788,0.0010721189,0.5945485,-0.28957987,0.16290516,3.114367
ACH-002144,IST-SL1,ISTSL1,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,60.0,False,False,,,,,,
ACH-002145,IST-SL2,ISTSL2,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,,False,False,,,,,,
ACH-002154,LB647-SCLC,LB647SCLC,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,,False,False,,,,,,
ACH-002051,Lu-134-A,LU134A,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,80.0,True,True,0.23911947,0.008153823,2.0840642,0.09604917,0.016078394,6.3025017
ACH-001549,Lu-135,LU135,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,69.0,True,True,-0.040694404,0.038848348,0.15055968,0.014396562,0.023095885,7.0031524
ACH-002075,Lu-138,LU138,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,78.0,False,True,,,0.22650853,,,5.6179447
ACH-002052,Lu-139,LU139,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,63.0,True,True,0.13959292,0.0076262113,0.0,0.044620037,0.016661115,2.8052924
ACH-002074,Lu-143,LU143,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,60.0,False,True,,,0.0,,,6.180108
ACH-002077,Lu-165,LU165,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,50.0,True,True,-0.11668678,0.040403944,0.15055968,0.3355903,0.0022340335,5.0338635
ACH-001958,MS1,MS1,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,54.0,False,False,,,,,,
ACH-000866,NCI-H1048,NCIH1048,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,53.0,True,True,0.08498364,0.0052947216,0.12432814,0.004805004,0.013989606,2.7803102
ACH-000514,NCI-H1092,NCIH1092,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,67.0,True,True,0.074689,0.01363162,0.33342373,-0.015277848,0.028150342,5.560409
ACH-000780,NCI-H1105,NCIH1105,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,73.0,False,True,,,0.25096157,,,5.4508815
ACH-000523,NCI-H1184,NCIH1184,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,42.0,False,True,,,0.23878686,,,0.8953026
ACH-002286,NCI-H128,NCIH128,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,60.0,False,False,,,,,,
ACH-002169,NCI-H1304,NCIH1304,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Unknown,,False,False,,,,,,
ACH-001591,NCI-H1417,NCIH1417,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Female,61.0,False,True,,,0.042644337,,,6.861583
ACH-000830,NCI-H1436,NCIH1436,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,39.0,False,True,,,0.3895668,,,6.2809563
ACH-003119,NCI-H1450,NCIH1450,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,64.0,False,True,,,4.2971916,,,5.628482
ACH-000506,NCI-H146,NCIH146,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,59.0,False,True,,,0.95605665,,,2.1110313
ACH-003120,NCI-H1607,NCIH1607,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,54.0,False,True,,,4.954662,,,6.0507193
ACH-000179,NCI-H1618,NCIH1618,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,55.0,False,True,,,0.32192808,,,7.900263
ACH-002170,NCI-H1688,NCIH1688,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,50.0,False,True,,,1.1505597,,,6.0194798
ACH-000431,NCI-H1694,NCIH1694,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,61.0,True,True,-0.108564965,0.06035844,0.40053794,0.1261378,0.008607589,1.8797058
ACH-000559,NCI-H1836,NCIH1836,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,52.0,True,True,0.013125739,0.023973733,1.2326608,0.10283425,0.011240713,6.854993
ACH-001136,NCI-H187,NCIH187,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,47.0,False,False,,,,,,
ACH-000586,NCI-H1876,NCIH1876,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,59.0,False,True,,,1.1243281,,,6.0441756
ACH-002490,NCI-H1882,NCIH1882,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,59.0,True,True,-0.13071917,0.06863264,4.304511,0.18653558,0.0058204164,5.090853
ACH-000870,NCI-H1930,NCIH1930,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,41.0,False,True,,,0.41142625,,,2.1667154
ACH-000729,NCI-H1963,NCIH1963,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,56.0,False,True,,,0.5160152,,,3.6322682
ACH-000298,NCI-H2029,NCIH2029,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,69.0,False,True,,,1.0071955,,,8.810508
ACH-000727,NCI-H2066,NCIH2066,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Female,70.0,False,False,,,,,,
ACH-000394,NCI-H2081,NCIH2081,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,59.0,False,True,,,0.3895668,,,6.3386025
ACH-000290,NCI-H209,NCIH209,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,55.0,True,True,-0.15048864,0.11084717,0.65992457,0.06772069,0.013596418,7.31379
ACH-000639,NCI-H211,NCIH211,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,50.0,True,True,-0.038814943,0.033840936,0.9634741,0.06564021,0.010889346,1.6690267
ACH-001138,NCI-H2141,NCIH2141,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,58.0,False,False,,,,,,
ACH-000525,NCI-H2171,NCIH2171,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,50.0,True,True,-0.018893003,0.03297292,0.15055968,0.05617796,0.015056405,7.0734987
ACH-000399,NCI-H2196,NCIH2196,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,67.0,False,True,,,5.42055,,,7.5459685
ACH-000610,NCI-H2227,NCIH2227,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,54.0,False,True,,,0.3448285,,,2.114367
ACH-000912,NCI-H2286,NCIH2286,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Female,57.0,True,True,-0.02080067,0.020949753,1.1309309,-0.06693801,0.036065355,0.9411063
ACH-002171,NCI-H250,NCIH250,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,34.0,False,False,,,,,,
ACH-003121,NCI-H2679,NCIH2679,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,,False,True,,,0.7398481,,,5.4141355
ACH-001364,NCI-H345,NCIH345,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,64.0,False,False,,,,,,
ACH-002173,NCI-H378,NCIH378,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,66.0,False,False,,,,,,
ACH-000800,NCI-H446,NCIH446,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,61.0,True,True,-0.07361716,0.0343193,0.3895668,0.008712522,0.01612445,0.70487195
ACH-000871,NCI-H510,NCIH510,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,56.0,True,True,0.025947087,0.011540295,2.49057,-0.23607437,0.16091016,8.014579
ACH-000816,NCI-H524,NCIH524,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,63.0,False,True,,,0.3561438,,,4.6064425
ACH-000767,NCI-H526,NCIH526,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,55.0,True,True,0.068139054,0.015204222,0.3895668,0.38093576,0.0012175275,6.461561
ACH-001599,NCI-H64,NCIH64,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,48.0,False,False,,,,,,
ACH-000358,NCI-H69,NCIH69,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,55.0,False,True,,,0.36737105,,,4.549053
ACH-002175,NCI-H740,NCIH740,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,63.0,False,False,,,,,,
ACH-003071,NCI-H748,NCIH748,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,62.0,False,True,,,0.8797058,,,4.9932213
ACH-003061,NCI-H774,NCIH774,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,43.0,False,True,,,0.6507646,,,5.731455
ACH-000355,NCI-H82,NCIH82,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,41.0,True,True,0.15808286,0.0048894826,0.3895668,-0.29440776,0.13345166,0.72246605
ACH-001365,NCI-H847,NCIH847,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,63.0,False,False,,,,,,
ACH-000297,NCI-H889,NCIH889,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Female,69.0,False,True,,,0.3561438,,,6.157044
ACH-002193,RERF-LC-FM,RERFLCFM,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,,False,False,,,,,,
ACH-002196,SBC-1,SBC1,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,46.0,False,False,,,,,,
ACH-002197,SBC-3,SBC3,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,24.0,False,False,,,,,,
ACH-000670,SBC-5,SBC5,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,65.0,False,True,,,0.32192808,,,1.8073549
ACH-000659,SCLC-21H,SCLC21H,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,46.0,False,True,,,0.44360664,,,6.3212066
ACH-001386,SCLC-22H,SCLC22H,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Metastatic,Male,46.0,True,True,-0.043710236,0.032230362,0.20163386,0.0627138,0.012110457,6.4638515
ACH-000790,SHP-77,SHP77,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,54.0,True,True,-0.111039914,0.044966944,0.3561438,0.15458938,0.0047377953,6.344651
ACH-002036,WA-hT,WAHT,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC,Primary,Male,56.0,False,False,,,,,,
