cohort,measure,cutoff,endpoint,keratin_r2,resid_note,regimen,timing,estimable,n_used,n_R,n_NR,n_high,n_low,a,b,c,d,haldane,log,se,effect,lo,hi,p,kind,n_events,in_primary_pool,endpoint_family
GSE274975,raw,tertile,RECIST_CRPR_vs_SDPD,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,38,8.0,30.0,19.0,19.0,4.0,15.0,4.0,15.0,False,0.0,0.7958224257542215,1.0,0.21017559006346326,4.757926454247358,1.0,OR,,True,response
GSE274975,raw,quartile,RECIST_CRPR_vs_SDPD,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,28,7.0,21.0,14.0,14.0,3.0,11.0,4.0,10.0,False,-0.38299225225610584,0.8799104637645947,0.6818181818181818,0.12152725003383244,3.8252822550368957,1.0,OR,,True,response
GSE274975,keratin_adjusted,per_SD,RECIST_CRPR_vs_SDPD,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,55,14.0,41.0,,,,,,,False,-0.07875080833096884,0.4911930941169875,0.924270216188311,0.3529286832897873,2.420532739276811,0.8726246246140181,OR,,True,response
GSE274975,raw,per_SD,RECIST_CRPR_vs_SDPD,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,55,14.0,41.0,,,,,,,False,0.10722106242431265,0.32654106004285754,1.1131803096194923,0.5869595241615291,2.111168403808937,0.7426440210907768,OR,,True,response
GSE274975,keratin_residual,median,RECIST_CRPR_vs_SDPD,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,55,14.0,41.0,28.0,27.0,8.0,20.0,6.0,21.0,False,0.3364722366212129,0.6239276514834987,1.4,0.41212607865773904,4.755826193730714,0.7584814026999054,OR,,True,response
GSE274975,keratin_residual,tertile,RECIST_CRPR_vs_SDPD,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,37,7.0,30.0,19.0,18.0,4.0,15.0,3.0,15.0,False,0.28768207245178085,0.8465616732800195,1.3333333333333333,0.2537060901922981,7.007233355850068,1.0,OR,,True,response
GSE274975,keratin_residual,quartile,RECIST_CRPR_vs_SDPD,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,28,6.0,22.0,14.0,14.0,3.0,11.0,3.0,11.0,False,0.0,0.9211323729436766,1.0,0.16440548207359065,6.082522233366787,1.0,OR,,True,response
GSE274975,keratin_residual,per_SD,RECIST_CRPR_vs_SDPD,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,55,14.0,41.0,,,,,,,False,-0.06052945796950935,0.31024763986852905,0.9412660408236687,0.5124178712084215,1.7290219748161337,0.8453143006593609,OR,,True,response
GSE274975,raw,median,DCB,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,53,33.0,20.0,27.0,26.0,17.0,10.0,16.0,10.0,False,0.06062462181643484,0.5668540635928834,1.0625,0.3497945339182,3.2273410260435815,1.0,OR,,True,response
GSE274975,keratin_residual,median,DCB,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,53,33.0,20.0,27.0,26.0,17.0,10.0,16.0,10.0,False,0.06062462181643484,0.5668540635928834,1.0625,0.3497945339182,3.2273410260435815,1.0,OR,,True,response
GSE274975,raw,median,PFS,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,59,,,,,,,,,False,0.3097568970394795,0.32457344275990047,1.3630937017357838,0.7215114358643924,2.5751836316853285,0.3399061449487081,HR,40.0,True,survival
GSE274975,raw,per_SD,PFS,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,59,,,,,,,,,False,0.03687591046459103,0.16554430423686728,1.0375642619822827,0.750068363074568,1.4352553057031345,0.823725774475838,HR,40.0,True,survival
GSE274975,keratin_residual,median,PFS,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,59,,,,,,,,,False,-0.0870936723613727,0.32258914211147816,0.9165912323465593,0.4870597902248413,1.7249206443971712,0.7871731222810907,HR,40.0,True,survival
GSE274975,keratin_residual,per_SD,PFS,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,59,,,,,,,,,False,-0.03416951969200352,0.15356127779013096,0.9664076656211033,0.715231062498678,1.3057930858154758,0.8239138493767353,HR,40.0,True,survival
GSE274975,keratin_adjusted,per_SD,PFS,0.5872030747680772,CLDN4 ~ KRT8 + KRT18 + KRT19,mixed PD-1/PD-L1 ± chemo ± CTLA-4 ± PARPi,biosampling (Table S1; GEO does not say pre-treatment),True,59,,,,,,,,,False,-0.02614951653171422,0.25029274218338243,0.9741894212956054,0.5964718137939553,1.5910978634978783,0.9167918288543688,HR,40.0,True,survival
GSE218989,raw,median,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,168.0,187.0,178.0,177.0,82.0,96.0,86.0,91.0,False,-0.10111673394024082,0.2126704177445499,0.903827519379845,0.5957401167585107,1.3712425297681683,0.6712319989584545,OR,,True,response
GSE218989,raw,tertile,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,237,108.0,129.0,119.0,118.0,51.0,68.0,57.0,61.0,False,-0.21985947611301976,0.26124897657650203,0.8026315789473685,0.4809906391929984,1.339355486427777,0.43510431613084644,OR,,True,response
GSE218989,raw,quartile,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,178,84.0,94.0,89.0,89.0,37.0,52.0,47.0,42.0,False,-0.45280378936389315,0.30223155992053663,0.6358428805237316,0.3516293479979886,1.1497793657286794,0.17644049266523304,OR,,True,response
GSE218989,keratin_adjusted,per_SD,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,168.0,187.0,,,,,,,False,-0.2077662269185547,0.13281601928555617,0.8123969310489101,0.6261999031716953,1.0539586004961867,0.11774337134841174,OR,,True,response
GSE218989,raw,per_SD,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,168.0,187.0,,,,,,,False,-0.14840628135571202,0.10832454975127559,0.8620807964282177,0.6971725074835978,1.0659962801068927,0.17068215207752813,OR,,True,response
GSE218989,keratin_residual,median,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,168.0,187.0,178.0,177.0,84.0,94.0,84.0,93.0,False,-0.010695289116747919,0.21260411532683757,0.9893617021276596,0.6522030395653357,1.5008157249455492,1.0,OR,,True,response
GSE218989,keratin_residual,tertile,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,237,118.0,119.0,119.0,118.0,54.0,65.0,64.0,54.0,False,-0.35530226012676025,0.2608575328060365,0.7009615384615384,0.4203855450268903,1.168801078474136,0.19473326148379727,OR,,True,response
GSE218989,keratin_residual,quartile,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,178,88.0,90.0,89.0,89.0,37.0,52.0,51.0,38.0,False,-0.6345652789351429,0.3036139470919203,0.5301659125188537,0.2923953028864685,0.9612873121497618,0.05100432784088233,OR,,True,response
GSE218989,keratin_residual,per_SD,author_R_vs_NR,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,168.0,187.0,,,,,,,False,-0.16988599666467435,0.10913180707217386,0.8437610026820357,0.6812783368278346,1.0449952554808832,0.1195406129728941,OR,,True,response
GSE218989,raw,median,OS,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,,,,,,,,,False,0.07546868056689417,0.12295386060394393,1.078389452642822,0.8474521629504441,1.372258945593474,0.5393496423206889,HR,265.0,True,survival
GSE218989,raw,per_SD,OS,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,,,,,,,,,False,0.17714534169546134,0.06715696605989202,1.1938045901018361,1.0465695164000626,1.361753210862131,0.00834505554065678,HR,265.0,True,survival
GSE218989,keratin_residual,median,OS,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,,,,,,,,,False,-0.022828387446018485,0.12303395580673669,0.9774302086754655,0.7679927846794562,1.2439827976119788,0.8528012558630775,HR,265.0,True,survival
GSE218989,keratin_residual,per_SD,OS,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,,,,,,,,,False,0.15924779483312776,0.06657700718814479,1.1726284819616688,1.0291743313711221,1.3360783637848812,0.0167598643230368,HR,265.0,True,survival
GSE218989,keratin_adjusted,per_SD,OS,0.312678440442523,CLDN4 ~ KRT8 + KRT18 + KRT19,PD-1/PD-L1 inhibitor,not stated on GEO,True,355,,,,,,,,,False,0.19884451074672865,0.0793314750408792,1.2199922554664886,1.0443083702685156,1.4252314218409579,0.01219323248611986,HR,265.0,True,survival
