radius_um,cutoff,immune_def,n_labels,sections_high_lt_low,section_p,patients_high_lt_low,patient_p,mean_high,mean_low,ratio,max_section_ratio,min_section_high,min_section_absent,degree_high,degree_low,degree_ratio,n_high_min,n_low_min,eligible,contact_ratio,contact_8of8,contact_5of5,contact_absent_min
5,ge10,no_neutrophil,13,8/8,0.0078125,5/5,0.0625,0.0,0.0013068205604917459,0.0,0.0,0.0,8.020371744230345e-05,0.010256921983475983,0.04428737647039442,0.23159922309538053,53,5226,False,,False,False,
5,pos_top50,no_neutrophil,13,7/8,0.015625,5/5,0.0625,0.0003222030380753342,0.0013068205604917459,0.24655491948649158,1.4010627530364372,0.0,8.020371744230345e-05,0.02629732980812303,0.04428737647039442,0.5937883863069306,3723,5226,False,0.4157087234098459,False,True,0.0010482180293501049
5,pos_top25,no_neutrophil,13,7/8,0.0234375,5/5,0.0625,0.0002518074679886844,0.0013068205604917459,0.19268710303573072,2.252186292454749,0.0,8.020371744230345e-05,0.01995607570036477,0.04428737647039442,0.4506041515849368,1990,5226,False,,False,False,
5,pos_top10,no_neutrophil,13,7/8,0.0390625,5/5,0.0625,0.00027456743916972373,0.0013068205604917459,0.21010339710786785,5.989183342347215,0.0,8.020371744230345e-05,0.01468391108423524,0.04428737647039442,0.3315597412741587,1131,5226,False,,False,False,
5,ge1,no_granulocyte,12,7/8,0.0390625,5/5,0.0625,0.00036179399362495034,0.0012122158660959237,0.29845673839441506,inf,0.0,0.0,0.030252679399626715,0.04428737647039442,0.68309937979393,7260,5226,False,,False,False,0.0
5,ge2,no_granulocyte,12,6/8,0.0546875,5/5,0.0625,0.00030657419817179895,0.0012122158660959237,0.2529039643402419,inf,0.0,0.0,0.026129093669652572,0.04428737647039442,0.5899896483396246,3723,5226,False,,False,False,
5,ge3,no_granulocyte,12,6/8,0.046875,5/5,0.0625,0.00029508116804572446,0.0012122158660959237,0.243422954853797,2.252186292454749,0.0,0.0,0.02109356151680195,0.04428737647039442,0.47628835117164237,1719,5226,False,,False,False,
5,ge5,no_granulocyte,12,6/8,0.046875,5/5,0.0625,0.000166598299909281,0.0012122158660959237,0.13743286535741311,5.989183342347215,0.0,0.0,0.014579567407663922,0.04428737647039442,0.32920368216912077,386,5226,False,,False,False,
5,ge10,no_granulocyte,12,7/8,0.015625,5/5,0.0625,0.0,0.0012122158660959237,0.0,0.0,0.0,0.0,0.010256921983475983,0.04428737647039442,0.23159922309538053,53,5226,False,,False,False,
5,pos_top50,no_granulocyte,12,6/8,0.0546875,5/5,0.0625,0.00030657419817179895,0.0012122158660959237,0.2529039643402419,inf,0.0,0.0,0.02629732980812303,0.04428737647039442,0.5937883863069306,3723,5226,False,,False,False,0.0
5,pos_top25,no_granulocyte,12,6/8,0.046875,5/5,0.0625,0.0002518074679886844,0.0012122158660959237,0.2077249399479141,2.252186292454749,0.0,0.0,0.01995607570036477,0.04428737647039442,0.4506041515849368,1990,5226,False,,False,False,
5,pos_top10,no_granulocyte,12,6/8,0.046875,5/5,0.0625,0.00027456743916972373,0.0012122158660959237,0.22650045000153213,5.989183342347215,0.0,0.0,0.01468391108423524,0.04428737647039442,0.3315597412741587,1131,5226,False,,False,False,
