experiment	assay	biosample	classification	organ_slims	epithelial_call	stratum	target	n_loop_or_domain_files	description
ENCSR910WPE	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	CTCF	1	CTCF ChIA-PET in HCT116, RAD21 tag and IAA untreated, control
ENCSR741AGK	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	CTCF	2	CTCF ChIA-PET in HCT116, BRD4 tag and IAA treated
ENCSR918GSZ	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	POLR2A	2	RNAPII ChIA-PET in HCT116, BRD4 tag and IAA treated
ENCSR819BBB	ChIA-PET	mammary epithelial cell	primary cell	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline	CTCF	1	CTCF ChIA-PET in HMEC
ENCSR404FPI	ChIA-PET	endothelial cell of umbilical vein	primary cell	extraembryonic component;vasculature;blood vessel;placenta;epithelium;vein		baseline	CTCF	3	CTCF ChIA-PET in HUVEC
ENCSR146FPM	ChIA-PET	HepG2	cell line	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline	RAD21	0	RAD21 ChIA-PET in human HepG2 cells
ENCSR991JXX	ChIA-PET	hTERT-HME1	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline	RAD21	0	RAD21 ChIA-PET in human hTERT-HME1 cells
ENCSR035PVZ	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline	POLR2A	2	RNAPII ChIA-PET in HCT116
ENCSR779BUF	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	POLR2A	2	RNAPII ChIA-PET in HCT116, CDK7 tag and IAA untreated, control
ENCSR145PYF	ChIA-PET	Panc1	cell line	epithelium;pancreas	encode_epithelium_slim	baseline	CTCF	2	CTCF ChIA-PET in Panc1
ENCSR200VHL	ChIA-PET	MCF-7	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline	CTCF	2	CTCF ChIA-PET in MCF7
ENCSR030KAB	ChIA-PET	RWPE1	cell line	epithelium;prostate gland	encode_epithelium_slim	baseline	CTCF	2	CTCF ChIA-PET in RWPE1
ENCSR411IVB	ChIA-PET	HepG2	cell line	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline	CTCF	2	CTCF ChIA-PET with HepG2 cell
ENCSR059HDE	ChIA-PET	MCF-7	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline	POLR2A	2	RNAPII ChIA-PET in MCF7
ENCSR773XVD	ChIA-PET	HEK293T	cell line	epithelium;kidney		baseline	POLR2A	2	RNAPII ChIA-PET in HEK293T
ENCSR934CYB	ChIA-PET	HEK293	cell line	epithelium;kidney		baseline	POLR2A	2	RNAPII ChIA-PET in HEK293
ENCSR676KCF	ChIA-PET	HEK293T	cell line	epithelium;kidney		baseline	CTCF	2	CTCF ChIA-PET in HEK293T
ENCSR617FPZ	ChIA-PET	RWPE1	cell line	epithelium;prostate gland	encode_epithelium_slim	baseline	POLR2A	2	RNAPII ChIA-PET with RWPE1 cell
ENCSR410UHV	ChIA-PET	HEK293	cell line	epithelium;kidney		baseline	CTCF	2	CTCF ChIA-PET in HEK293
ENCSR499JGQ	ChIA-PET	MCF 10A	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline	POLR2A	2	RNAPII ChIA-PET with MCF10A cell
ENCSR789ZIJ	ChIA-PET	HepG2	cell line	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline	POLR2A	1	RNAPII ChIA-PET with HepG2 cell
ENCSR403ZYJ	ChIA-PET	MCF 10A	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline	CTCF	2	CTCF ChIA-PET with MCF10A cell
ENCSR138NSW	ChIA-PET	A549	cell line	lung	lung_carcinoma_line	baseline	POLR2A	2	RNAPII ChIA-PET in A549
ENCSR911ZMB	ChIA-PET	A549	cell line	lung	lung_carcinoma_line	baseline	CTCF	2	CTCF ChIA-PET in A549
