experiment	assay	biosample	epithelial_call	stratum	target	description	file	kind	file_format	file_size	biological_replicates	used	reason	n_records	n_cldn_loops	n_cldn_domains
ENCSR584RBV	intact Hi-C	Panc1	encode_epithelium_slim	baseline		Panc1 intact Hi-C	ENCFF470IXV	domains	bedpe	184870	1	yes	baseline	3491	0	0
ENCSR533VUS	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 Pol2RA auxin untreated degron intact mnase hic	ENCFF954EMJ	loops	bedpe	2483158	1	yes	tagged_untreated	40756	4	0
ENCSR584RBV	intact Hi-C	Panc1	encode_epithelium_slim	baseline		Panc1 intact Hi-C	ENCFF893FPL	domains	bedpe	207421	1	yes	baseline	3930	0	0
ENCSR584RBV	intact Hi-C	Panc1	encode_epithelium_slim	baseline		Panc1 intact Hi-C	ENCFF336MBY	loops	bedpe	1197447	1	yes	baseline	20714	1	0
ENCSR584RBV	intact Hi-C	Panc1	encode_epithelium_slim	baseline		Panc1 intact Hi-C	ENCFF079LXU	loops	bedpe	1146861	1	yes	baseline	19934	1	0
ENCSR233DHQ	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 BRD4 degron untreated intact mnase	ENCFF897VBW	loops	bedpe	2270567	1	yes	tagged_untreated	36469	3	0
ENCSR233DHQ	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 BRD4 degron untreated intact mnase	ENCFF803NWT	loops	bedpe	2152771	1	yes	tagged_untreated	34445	2	0
ENCSR233DHQ	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 BRD4 degron untreated intact mnase	ENCFF711ECY	domains	bedpe	133351	1	yes	tagged_untreated	2552	0	0
ENCSR233DHQ	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 BRD4 degron untreated intact mnase	ENCFF414HUN	domains	bedpe	114725	1	yes	tagged_untreated	2186	0	0
ENCSR481XZF	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 CDK7 degron untreated intact mnase	ENCFF083WIY	domains	bedpe	134129	1	yes	tagged_untreated	2544	0	0
ENCSR481XZF	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 CDK7 degron untreated intact mnase	ENCFF551LVY	loops	bedpe	3376316	1	yes	tagged_untreated	52666	6	0
ENCSR481XZF	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 CDK7 degron untreated intact mnase	ENCFF187OAZ	loops	bedpe	3216884	1	yes	tagged_untreated	49966	3	0
ENCSR481XZF	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 CDK7 degron untreated intact mnase	ENCFF831DUJ	domains	bedpe	119455	1	yes	tagged_untreated	2249	0	0
ENCSR660LPJ	intact Hi-C	MCF-7	encode_epithelium_slim	baseline		MCF-7 intact Hi-C	ENCFF164AGX	domains	bedpe	184737	1	yes	baseline	3509	0	0
ENCSR660LPJ	intact Hi-C	MCF-7	encode_epithelium_slim	baseline		MCF-7 intact Hi-C	ENCFF502ECR	domains	bedpe	205079	1	yes	baseline	3916	0	0
ENCSR660LPJ	intact Hi-C	MCF-7	encode_epithelium_slim	baseline		MCF-7 intact Hi-C	ENCFF797NNQ	loops	bedpe	4568134	1	yes	baseline	68070	7	0
ENCSR660LPJ	intact Hi-C	MCF-7	encode_epithelium_slim	baseline		MCF-7 intact Hi-C	ENCFF429GHB	loops	bedpe	4680669	1	yes	baseline	70230	5	0
ENCSR888DEJ	intact Hi-C	HepG2	encode_epithelium_slim	baseline		HepG2 intact Hi-C	ENCFF514TEX	domains	bedpe	96024	1	yes	baseline	1832	0	0
ENCSR888DEJ	intact Hi-C	HepG2	encode_epithelium_slim	baseline		HepG2 intact Hi-C	ENCFF128OJZ	domains	bedpe	83164	1	yes	baseline	1577	0	0
ENCSR326YHP	intact Hi-C	breast epithelium	encode_epithelium_slim	baseline		entex breast intact dnase hic	ENCFF983VBZ	loops	bedpe	1440326	1	yes	baseline	24688	1	0
ENCSR326YHP	intact Hi-C	breast epithelium	encode_epithelium_slim	baseline		entex breast intact dnase hic	ENCFF130RBO	loops	bedpe	1759249	1	yes	baseline	30038	0	0
ENCSR888DEJ	intact Hi-C	HepG2	encode_epithelium_slim	baseline		HepG2 intact Hi-C	ENCFF889QOM	loops	bedpe	3785658	1	yes	baseline	58187	2	0
ENCSR888DEJ	intact Hi-C	HepG2	encode_epithelium_slim	baseline		HepG2 intact Hi-C	ENCFF264RQT	loops	bedpe	3571174	1	yes	baseline	54596	2	0
ENCSR326YHP	intact Hi-C	breast epithelium	encode_epithelium_slim	baseline		entex breast intact dnase hic	ENCFF319ZVO	domains	bedpe	37044	1	yes	baseline	701	0	0
ENCSR326YHP	intact Hi-C	breast epithelium	encode_epithelium_slim	baseline		entex breast intact dnase hic	ENCFF986GPD	domains	bedpe	29524	1	yes	baseline	549	0	0
ENCSR958BEA	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-RAD21 auxin untreated intact HIC	ENCFF334LVK	domains	bedpe	227816	1,2	yes	tagged_untreated	4379	0	0
ENCSR958BEA	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-RAD21 auxin untreated intact HIC	ENCFF909SMH	domains	bedpe	255364	1,2	yes	tagged_untreated	4922	0	0
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	encode_epithelium_slim	baseline		entex esophagus mucosa intact dnase hic	ENCFF489YEC	domains	bedpe	126530	1	yes	baseline	2379	0	0
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	encode_epithelium_slim	baseline		entex esophagus mucosa intact dnase hic	ENCFF735CNP	domains	bedpe	145640	1	yes	baseline	2751	0	0
ENCSR958BEA	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-RAD21 auxin untreated intact HIC	ENCFF794OIH	loops	bedpe	3074656	1,2	yes	tagged_untreated	49731	3	0
ENCSR958BEA	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-RAD21 auxin untreated intact HIC	ENCFF076ZDY	loops	bedpe	3212017	1,2	yes	tagged_untreated	51797	4	0
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	encode_epithelium_slim	baseline		entex esophagus mucosa intact dnase hic	ENCFF630ZQU	loops	bedpe	565579	1	yes	baseline	10341	1	0
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	encode_epithelium_slim	baseline		entex esophagus mucosa intact dnase hic	ENCFF759VFU	loops	bedpe	507936	1	yes	baseline	9391	1	0
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC intact Hi-C	ENCFF453PPU	domains	bedpe	214848	1	yes	baseline	4189	0	0
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC intact Hi-C	ENCFF286QBA	domains	bedpe	189021	1	yes	baseline	3666	0	0
ENCSR086RCC	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-CTCF-auxin untreated degon-intact	ENCFF893IDK	domains	bedpe	237086	1	yes	tagged_untreated	4520	0	0
ENCSR086RCC	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-CTCF-auxin untreated degon-intact	ENCFF672KYJ	domains	bedpe	265310	1	yes	tagged_untreated	5084	0	0
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC intact Hi-C	ENCFF993HBM	loops	bedpe	5874931	1	yes	baseline	87464	6	0
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC intact Hi-C	ENCFF165BTH	loops	bedpe	5690200	1	yes	baseline	84301	3	0
ENCSR086RCC	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-CTCF-auxin untreated degon-intact	ENCFF910DDA	loops	bedpe	2040176	1	yes	tagged_untreated	34384	2	0
ENCSR086RCC	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-CTCF-auxin untreated degon-intact	ENCFF044KVF	loops	bedpe	2096393	1	yes	tagged_untreated	35219	2	0
ENCSR490HOI	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-MED14-auxin untreated degon-intact	ENCFF270GAS	domains	bedpe	221573	1	yes	tagged_untreated	4220	0	0
ENCSR490HOI	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-MED14-auxin untreated degon-intact	ENCFF065RFL	domains	bedpe	196214	1	yes	tagged_untreated	3726	0	0
ENCSR490HOI	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-MED14-auxin untreated degon-intact	ENCFF743CMP	loops	bedpe	2246663	1	yes	tagged_untreated	36834	5	0
ENCSR490HOI	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-MED14-auxin untreated degon-intact	ENCFF973CSZ	loops	bedpe	2333362	1	yes	tagged_untreated	38200	5	0
ENCSR176ICO	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-SUPT16H-auxin-untreated-intact HiC	ENCFF455FHP	domains	bedpe	228723	1	yes	tagged_untreated	4367	0	0
ENCSR176ICO	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-SUPT16H-auxin-untreated-intact HiC	ENCFF822FOJ	domains	bedpe	256253	1	yes	tagged_untreated	4907	0	0
ENCSR176ICO	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-SUPT16H-auxin-untreated-intact HiC	ENCFF572YLX	loops	bedpe	1756342	1	yes	tagged_untreated	29817	2	0
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	ENCFF800ANL	domains	bedpe	206526	1,2	yes	baseline	4120	0	0
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	ENCFF089AFX	domains	bedpe	185708	1,2	yes	baseline	3703	0	0
ENCSR176ICO	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-SUPT16H-auxin-untreated-intact HiC	ENCFF735CGM	loops	bedpe	1815433	1	yes	tagged_untreated	30763	2	0
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	ENCFF079TSV	domains	bedpe	92458	1,2	yes	baseline	4675	0	0
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	ENCFF690EXC	loops	bedpe	817855	1,2	yes	baseline	12684	1	0
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	ENCFF692QTQ	loops	bedpe	133535	1,2	yes	baseline	5998	0	0
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	ENCFF402WQW	loops	bedpe	752315	1,2	yes	baseline	11722	1	0
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	ENCFF433EXY	loops	bedpe	39443	1,2	yes	baseline	1937	0	0
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF526ACE	domains	bedpe	346622	1,2,3,4	yes	baseline	6563	0	1
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF872LBG	domains	bedpe	235656	1,2,3,4	yes	baseline	12093	0	1
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF112KIG	domains	bedpe	332733	1,2,3,4	yes	baseline	6297	0	1
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF867YSZ	loops	bedpe	2592218	1,2,3,4	yes	baseline	41640	3	0
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF578EZK	loops	bedpe	91787	1,2,3,4	yes	baseline	4606	0	0
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF710YVH	loops	bedpe	228656	1,2,3,4	yes	baseline	10409	0	0
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF176AVV	loops	bedpe	1697227	1,2,3,4	yes	baseline	26305	1	0
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF623ANK	loops	bedpe	25390	1,2,3,4	yes	baseline	436	0	0
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF483YVS	loops	bedpe	20184	1,2,3,4	yes	baseline	353	0	0
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF207YCF	loops	bedpe	20205	1,2,3,4	yes	baseline	353	0	0
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF850PJF	loops	bedpe	25422	1,2,3,4	yes	baseline	436	0	0
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF592UUV	domains	bedpe	5971	1,2,3,4	yes	baseline	100	0	0
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF349PLW	domains	bedpe	4975	1,2,3,4	yes	baseline	83	0	0
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF536RKN	domains	bedpe	5971	1,2,3,4	yes	baseline	100	0	0
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			ENCFF010ZLV	domains	bedpe	4975	1,2,3,4	yes	baseline	83	0	0
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	ENCFF018XKF	domains	bedpe	321528	1,2	yes	baseline	6183	0	1
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	ENCFF947DQD	domains	bedpe	376143	1,2	yes	baseline	7223	0	2
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	ENCFF090UHO	domains	bedpe	240557	1,2	yes	baseline	12330	0	1
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	ENCFF442LSO	loops	bedpe	102294	1,2	yes	baseline	5137	0	0
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	ENCFF319SMP	loops	bedpe	265896	1,2	yes	baseline	12313	0	0
ENCSR869CSI	in situ Hi-C	keratinocyte	encode_epithelium_slim	baseline		NHEK in situ Hi-C	ENCFF336YAP	domains	bedpe	135831	1	yes	baseline	2526	0	0
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	ENCFF463OJZ	loops	bedpe	1359657	1,2	yes	baseline	21905	1	0
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	ENCFF050EKS	loops	bedpe	966559	1,2	yes	baseline	14513	1	0
ENCSR869CSI	in situ Hi-C	keratinocyte	encode_epithelium_slim	baseline		NHEK in situ Hi-C	ENCFF110MHD	domains	bedpe	158542	1	yes	baseline	2975	0	0
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	ENCFF302WDA	domains	bed	45513	1,2	yes	baseline	2986	0	0
ENCSR869CSI	in situ Hi-C	keratinocyte	encode_epithelium_slim	baseline		NHEK in situ Hi-C	ENCFF426ACJ	loops	bedpe	536741	1	yes	baseline	8317	0	0
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	ENCFF510QHA	domains	bedpe	68	1,2	yes	baseline	0	0	0
ENCSR869CSI	in situ Hi-C	keratinocyte	encode_epithelium_slim	baseline		NHEK in situ Hi-C	ENCFF379UCX	loops	bedpe	490155	1	yes	baseline	7696	0	0
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	ENCFF238IZZ	domains	bedpe	3682	1,2	yes	baseline	60	0	0
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	ENCFF393SUD	domains	bedpe	4484	1,2	yes	baseline	74	0	0
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	ENCFF010LQS	loops	bedpe	144	1,2	yes	baseline	2	0	0
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	ENCFF026DLW	loops	bedpe	64211	1,2	yes	baseline	1036	0	0
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	ENCFF466ZIU	loops	bedpe	68	1,2	yes	baseline	0	0	0
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	ENCFF682YHF	loops	bedpe	93540	1,2	yes	baseline	1532	0	0
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF306ZQY	loops	bedpe	637518	1,2	yes	baseline	9744	1	0
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF178EDR	loops	bedpe	558214	1,2	yes	baseline	8562	1	0
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF373VGE	loops	bedpe	637051	1,2	yes	baseline	9744	1	0
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF999UXN	loops	bedpe	558132	1,2	yes	baseline	8562	1	0
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF456VBD	loops	bedpe	84805	1,2	yes	baseline	4219	0	0
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF980OVS	loops	bedpe	219008	1,2	yes	baseline	9955	0	0
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF259RAV	domains	bedpe	349490	1,2	yes	baseline	6601	0	1
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF097OBP	domains	bedpe	330033	1,2	yes	baseline	6218	0	1
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF685BII	domains	bedpe	349490	1,2	yes	baseline	6601	0	1
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF578NLR	domains	bedpe	330033	1,2	yes	baseline	6218	0	1
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF853WIQ	domains	bedpe	6505	1,2	yes	baseline	116	0	0
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	ENCFF233SYF	domains	bedpe	184505	1,2	yes	baseline	9384	0	1
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF645TSS	domains	bedpe	5399	1,2	yes	baseline	95	0	0
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF492LHF	domains	bedpe	7361	1,2	yes	baseline	346	0	0
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF203WSZ	loops	bedpe	5311	1,2	yes	baseline	220	0	0
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF231THL	loops	bedpe	642	1,2	yes	baseline	25	0	0
ENCSR346DCU	in situ Hi-C	LNCaP clone FGC	encode_epithelium_slim	baseline		HiC experiment done on LNCaP clone FGC	ENCFF139JCA	domains	bed	47731	1,2	yes	baseline	3135	0	0
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF522WVV	loops	bedpe	577998	1,2	yes	baseline	9942	0	0
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF699TNO	loops	bedpe	1170142	1,2	yes	baseline	20420	1	0
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF882MNQ	domains	bedpe	41840	1,2	yes	baseline	769	0	1
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF310QAH	domains	bedpe	44675	1,2	yes	baseline	829	0	1
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF774DEP	domains	bedpe	73730	1,2	yes	baseline	3674	0	1
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF178HAX	loops	bedpe	2012880	1,2	yes	baseline	32739	2	0
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF795AKD	loops	bedpe	28171	1,2	yes	baseline	1369	0	0
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF530IMG	loops	bedpe	117798	1,2	yes	baseline	5292	0	0
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF319IGX	loops	bedpe	1394481	1,2	yes	baseline	22219	1	0
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	ENCFF109IEQ	domains	bedpe	68	1,2	yes	baseline	0	0	0
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	ENCFF183RCR	domains	bed	46769	1,2	yes	baseline	3078	0	0
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	ENCFF383TYG	domains	bedpe	4271	1,2	yes	baseline	70	0	0
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	ENCFF804SET	domains	bedpe	3495	1,2	yes	baseline	56	0	0
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	ENCFF080CCT	loops	bedpe	17208	1,2	yes	baseline	276	0	0
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	ENCFF736TAS	loops	bedpe	8200	1,2	yes	baseline	119	0	0
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	ENCFF932BXE	loops	bedpe	144	1,2	yes	baseline	2	0	0
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	ENCFF350HWP	loops	bedpe	68	1,2	yes	baseline	0	0	0
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	ENCFF544LBT	domains	bedpe	6265	1,2	yes	baseline	104	0	0
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	ENCFF177BOD	domains	bedpe	68	1,2	yes	baseline	0	0	0
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	ENCFF796ORT	domains	bed	44787	1,2	yes	baseline	2928	0	0
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	ENCFF353QWH	domains	bedpe	5587	1,2	yes	baseline	93	0	0
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	ENCFF074QYX	loops	bedpe	68	1,2	yes	baseline	0	0	0
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	ENCFF675VPT	loops	bedpe	266	1,2	yes	baseline	7	0	0
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	ENCFF595CKP	loops	bedpe	41732	1,2	yes	baseline	661	0	0
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	ENCFF452VUG	loops	bedpe	71092	1,2	yes	baseline	1169	0	0
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF936OMX	loops	bedpe	13294	1,2	yes	baseline	552	0	0
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF366MAB	loops	bedpe	1739	1,2	yes	baseline	77	0	0
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF396FYP	domains	bedpe	4151	1,2	yes	baseline	72	0	0
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF914FUK	loops	bedpe	1247006	1,2	yes	baseline	21658	3	0
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF162MVG	loops	bedpe	619189	1,2	yes	baseline	10502	1	0
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF298NDN	domains	bedpe	5251	1,2	yes	baseline	92	0	0
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF384UPG	domains	bedpe	11812	1,2	yes	baseline	564	0	0
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF468YHY	domains	bedpe	6607	1,2	yes	baseline	114	0	0
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF087ILR	domains	bedpe	5461	1,2	yes	baseline	93	0	0
ENCSR489OCU	in situ Hi-C	NCI-H460	encode_epithelium_slim	baseline		HiC experiment done on NCI-H460	ENCFF822VBC	domains	bed	45520	1,2	yes	baseline	2986	0	0
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF333WCB	domains	bedpe	15662	1,2	yes	baseline	751	0	0
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF071DOD	loops	bedpe	20877	1,2	yes	baseline	886	0	0
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF856PCT	loops	bedpe	2902	1,2	yes	baseline	131	0	0
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF927YJY	loops	bedpe	1344085	1,2	yes	baseline	23385	3	0
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF281NFD	loops	bedpe	661924	1,2	yes	baseline	11157	0	0
ENCSR637QCS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	ENCFF494MDH	loops	bedpe	185691	1,2,3,4	yes	baseline	3309	0	0
