gene	matched_symbol	log2FoldChange	stat	pvalue	padj	contrast_id	organism	tier	in_primary_meta
MX1	MX1	0.2329384168618581	0.7070768140323525	0.4795187437677108	0.6265865791316194	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
OAS1	OAS1	2.2246717016090707	18.186689823074065	6.579582603513327e-74	6.105198332928527e-72	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
OAS2	OAS2	1.8106532365051684	3.726952164470101	0.0001938092239392	0.0007628371024278	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
RSAD2	RSAD2	2.982543541757422	3.725954849949496	0.0001945772339569	0.0007656805633332	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IFI27	IFI27	2.503706659005876	13.466424036615546	2.4651914707435835e-41	1.0248240284935268e-39	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
STAT1	STAT1	0.9427523135598238	20.62222347709149	1.7340327531310367e-94	2.3113555626060126e-92	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
STAT2	STAT2	0.8765393515666794	13.30725532127703	2.1005755837010238e-40	8.542171169069901e-39	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IRF1	IRF1	0.3322916948255452	2.5049526168178544	0.012246779874226	0.0317708785893768	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IRF3	IRF3	0.129546786432613	1.6322907079149644	0.1026182597902768	0.192158955644743	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IRF7	IRF7	1.1942602594432088	8.720224316464853	2.7765117547591657e-18	4.231534929326696e-17	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IFNB1						GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IFNL1	IFNL1	1.9669903810490437	1.3242626603209928	0.1854158269166905		GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
CGAS						GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
STING1	STING1	0.073638684375903	0.6265383905652998	0.5309618642644363	0.6725434316221226	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
TBK1	TBK1	-0.0154234736015513	-0.1358961882868285	0.8919033488285198	0.9346836608661712	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
DDX58	RIGI	1.9020601020826695	20.511729737171915	1.6917003216110578e-93	2.2196958516763838e-91	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IFIH1	IFIH1	1.3716742166479967	11.471265353039495	1.8394960834322292e-30	5.081305381783599e-29	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
MAVS	MAVS	0.1886047884549283	4.064648707451868	4.8104860431683455e-05	0.0002091434457546	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
B2M	B2M	0.3618604258899242	7.738896136839767	1.0028365991730676e-14	1.2293898308840636e-13	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
TAP1	TAP1	1.1461239390614484	14.506685908808304	1.0990362507941847e-47	5.6447442911585114e-46	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
TAP2	TAP2	0.6569200485710669	8.926005963545677	4.416667051219842e-19	7.111977289092737e-18	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
TAPBP	TAPBP	0.0490662857475318	0.7544917754158413	0.4505539821080087	0.6005598515479369	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
PSMB8	PSMB8	-0.4958485485226711	-0.471130869498283	0.6375472819669246	0.7612134011213658	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
PSMB9	PSMB9	0.0407026575657907	0.1775766043687285	0.8590554995082726	0.9144603240408414	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
NLRC5	NLRC5	0.2174733465109424	1.3822849120984786	0.1668842368267259	0.2831704139730109	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
HLA-A	HLA-A	0.761953177268634	15.25193471907827	1.5982626638065438e-52	9.352899455968957e-51	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
HLA-B	HLA-B	0.8810242440222482	15.516709378800728	2.6741728695961357e-54	1.6213983156991737e-52	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
HLA-C	HLA-C	0.6571615093037131	12.937494844557754	2.764993602325681e-38	1.0228649240321544e-36	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
XRCC5	XRCC5	-0.0390658209058432	-0.5179103840276804	0.6045207966408291	0.8505791490668928	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
XRCC6	XRCC6	-0.2389771040144769	-3.7693238071087904	0.0001636904133524	0.0052451526521145	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
PRKDC	PRKDC	-0.0872001588661665	-1.3796970610921	0.1676799381798809	0.4940230260960506	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
LIG4	LIG4	0.1079784386827186	0.5554930661401494	0.5785574515488159	0.840817968705663	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
ISG15	ISG15	-0.1125288171715752	-0.7210732770643323	0.4708644315525931	0.7759407211390668	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IFIT1	IFIT1	0.7689562501592686	2.627565010884074	0.0085998407306899	0.0932800242759508	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IFIT2	IFIT2	0.2487926461795627	0.6734539250716827	0.5006585518210767		GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
MX1	MX1	0.5354962043300894	0.9231069585247852	0.355951468690713		GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
OAS1	OAS1	0.4668829092505007	0.9949058556986736	0.3197820546249063		GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
OAS2	OAS2	-0.5860871767814791	-0.3697215130694721	0.7115900007628487		GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
RSAD2						GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IFI27	IFI27	-0.2759190413435358	-0.4677497548999508	0.6399635557406502		GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
STAT1	STAT1	0.0586110181149321	0.7092718587800764	0.4781557882257035	0.7814566965118454	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
STAT2	STAT2	0.0557759070839161	0.5894590740556519	0.555553358397747	0.8304669456395994	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IRF1	IRF1	0.3422300117295441	2.153044294931141	0.0313151975127206	0.2059070761114763	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IRF3	IRF3	-0.1484002272270885	-1.4604615591518817	0.1441632649452275	0.4571966852585584	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IRF7	IRF7	-0.1711472248867236	-0.6272724796447834	0.530480639809092	0.8162957896709839	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IFNB1						GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IFNL1						GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
CGAS						GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
STING1	STING1	0.2224745806627785	1.405903212787457	0.1597528671769513	0.4820836340760515	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
TBK1	TBK1	-0.1059065447357714	-0.8294912625521589	0.4068264789180535	0.7335900409410787	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
DDX58	RIGI	0.2472115512145128	1.1776416281719877	0.2389395067585606	0.5854313389006119	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
IFIH1	IFIH1	0.2163505036348751	0.9963894789364092	0.319060942948411	0.6604786868442298	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
MAVS	MAVS	0.3440091121060558	4.926558886128218	8.369039844436676e-07	6.066533272601415e-05	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
B2M	B2M	-0.0850029756018395	-1.2077835489916544	0.2271305309539154	0.5719075432759566	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
TAP1	TAP1	-0.1454690920556629	-1.274254554898136	0.2025732165698839	0.5406803768708532	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
TAP2	TAP2	-0.0841273472607295	-0.8452289660704392	0.3979830126257483	0.7268698287150592	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
TAPBP	TAPBP	-0.0130244531517019	-0.1560572885521617	0.8759878645966449	0.9604586542382388	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
PSMB8	PSMB8	0.0295033886676438	0.0283300662748214	0.9773989007992662		GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
PSMB9	PSMB9	0.1819160126725793	0.6266895876517982	0.530862730480034	0.8166273473015844	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
NLRC5	NLRC5	0.015603297214713	0.0776078075179509	0.938140031614686	0.9788852866776628	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
HLA-A	HLA-A	-0.0973853004680236	-1.0749851837591022	0.2823813618002728	0.6324075518966332	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
HLA-B	HLA-B	-0.056353770136379	-0.6580353726761193	0.5105154018584279	0.8040067797344309	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
HLA-C	HLA-C	-0.103072523422538	-1.1266284894286234	0.2598995885654065	0.6099820228336663	GSE294709_HCT116_Ku80flox_noCre_4OHT	human	negative_control	False
XRCC5	XRCC5	0.1539211283321118	1.086081635660726	0.2774428763710075	0.4445061985063528	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
XRCC6	XRCC6	-2.741369642484585	-22.66931131067064	8.999085648698279e-114	1.365521256333477e-109	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
PRKDC	PRKDC	0.0825144313710926	0.7124007000680875	0.4762166821561725	0.6457094400660295	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
LIG4	LIG4	0.8053135828348535	5.495414782171363	3.897931409056181e-08	7.293120986562083e-07	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
ISG15	ISG15	-0.3363507257847852	-1.2708458703514145	0.2037834864532434	0.3572305772846766	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IFIT1	IFIT1	-0.5237465148732136	-2.0322165542671207	0.0421317377365661	0.1056182039343557	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IFIT2	IFIT2	1.8978202609460784	4.372079091090208	1.230689232553568e-05	0.0001157030880716	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
MX1	MX1	0.2235352734593197	0.9663346594381544	0.3338767481803172	0.507385656173073	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
OAS1	OAS1	-0.0176916472637456	-0.0884950937387551	0.9294831836710048	0.9648925538262032	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
OAS2	OAS2	0.1667895340796845	0.4739487778814394	0.6355364343170344	0.7782769634675717	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
RSAD2	RSAD2	0.4940089072152966	0.5876924523896742	0.5567387425572856		GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IFI27	IFI27	0.0829361188911278	0.127047960040086	0.8989024394495937	0.9475240399780772	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
STAT1	STAT1	0.1980660519256453	1.422179437345146	0.1549741665590668	0.2916163685088627	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
STAT2	STAT2	-0.1678174759609803	-1.030743884042323	0.3026609397062441	0.4737827399119274	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IRF1	IRF1	1.1607032770440278	6.260591618054948	3.8351967131496505e-10	1.1999025757800576e-08	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IRF3	IRF3	0.325930341553505	1.9521397191996024	0.0509216186786975	0.1230781525693782	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IRF7						GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IFNB1						GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IFNL1						GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
CGAS	CGAS	0.811836759971092	1.674842446760536	0.0939651482080048	0.1991100626879298	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
STING1	STING1	-1.2496364203997976	-4.943513875078882	7.672688662814834e-07	1.0194866704864474e-05	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
TBK1	TBK1	0.1126255508926025	0.8756900148670889	0.3811985750644956	0.5556900240150779	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
DDX58	RIGI	0.9698402226431632	4.615637151980784	3.918911293477191e-06	4.2566614149765845e-05	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
IFIH1	IFIH1	-0.0813522558487302	-0.4144254438240923	0.6785625581949983	0.8084569926233437	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
MAVS	MAVS	-0.1522418361987984	-1.2094163314666275	0.2265029374506478	0.3845329573591554	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
B2M	B2M	-0.4318054431865566	-3.5147281581242806	0.0004402043493998	0.0024467621969938	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
TAP1	TAP1	-0.3427331371610291	-1.5212936798118282	0.1281861555878227	0.2522496076889667	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
TAP2	TAP2	0.1899791772899313	0.9206838471809544	0.3572155118465157	0.5316983124198953	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
TAPBP	TAPBP	-0.804816401498802	-3.962393933708533	7.420197507629785e-05	0.0005331158947953	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
PSMB8	PSMB8	3.501021168471838	1.441488265500962	0.149446790116979		GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
PSMB9	PSMB9	3.622165353454837	1.909815866641624	0.0561569256399904		GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
NLRC5	NLRC5	-0.5140639538883971	-1.9380589610924572	0.0526160295498528	0.1263684128505013	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
HLA-A	HLA-A	-0.4410299192794495	-3.4975283401668302	0.0004695908166799	0.0025779924212378	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
HLA-B	HLA-B	-0.3105769845105726	-1.7974326434564862	0.0722669623288926	0.1627095016733339	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
HLA-C	HLA-C	-0.7197390791526556	-5.7040976607131615	1.1696100772978021e-08	2.492649341701804e-07	GSE294709_HEK293_Ku70_dox_withdrawal	human	primary	True
XRCC5	XRCC5	-0.153249323881758	-2.2324408636292152	0.0255858395832371	0.1912427129233988	GSE180581_HEK293T_siKu70	human	primary	True
XRCC6	XRCC6	-2.012703303187685	-15.53835433993688	1.9082081464672063e-54	2.0738406135805602e-50	GSE180581_HEK293T_siKu70	human	primary	True
PRKDC	PRKDC	-0.0552556246561658	-1.0432022476763512	0.296854632709788	0.6643649093888533	GSE180581_HEK293T_siKu70	human	primary	True
LIG4	LIG4	-0.1796803347401456	-0.6008143068436924	0.5479636739651377		GSE180581_HEK293T_siKu70	human	primary	True
ISG15	ISG15	-0.69541794617501	-2.574216320313941	0.0100467436632522	0.1071521198549804	GSE180581_HEK293T_siKu70	human	primary	True
IFIT1	IFIT1	0.1842026859330978	0.4608959463385101	0.6448732602047902		GSE180581_HEK293T_siKu70	human	primary	True
IFIT2	IFIT2	0.5419381390029602	0.5264177389281883	0.5985979933114964		GSE180581_HEK293T_siKu70	human	primary	True
MX1	MX1	-1.422590309782472	-1.210118739367738	0.2262333334540778		GSE180581_HEK293T_siKu70	human	primary	True
OAS1	OAS1	-0.0780812142834817	-0.0203767057137599	0.983742866139878		GSE180581_HEK293T_siKu70	human	primary	True
OAS2						GSE180581_HEK293T_siKu70	human	primary	True
RSAD2						GSE180581_HEK293T_siKu70	human	primary	True
IFI27	IFI27	-0.2511551397272557	-0.5538733897107123	0.579665497682534		GSE180581_HEK293T_siKu70	human	primary	True
STAT1	STAT1	-0.0651011855295901	-0.4323657684996657	0.6654755934722698	0.8873874619371471	GSE180581_HEK293T_siKu70	human	primary	True
STAT2	STAT2	0.1713151786729968	1.3217678601133216	0.1862454637712832	0.5442634311014537	GSE180581_HEK293T_siKu70	human	primary	True
IRF1	IRF1	-0.0902225508413901	-0.2638172923960654	0.7919207090923266		GSE180581_HEK293T_siKu70	human	primary	True
IRF3	IRF3	0.0339814461686075	0.3008922159279197	0.763496686217954	0.9332072958227358	GSE180581_HEK293T_siKu70	human	primary	True
IRF7	IRF7	0.1208681469787144	0.6991967889403649	0.484429057059011	0.7979349791023541	GSE180581_HEK293T_siKu70	human	primary	True
IFNB1						GSE180581_HEK293T_siKu70	human	primary	True
IFNL1						GSE180581_HEK293T_siKu70	human	primary	True
CGAS						GSE180581_HEK293T_siKu70	human	primary	True
STING1	STING1	0.0683403941382631	0.149453279588364	0.8811959727295313		GSE180581_HEK293T_siKu70	human	primary	True
TBK1	TBK1	0.0343892441046017	0.1635718427407556	0.8700682123475147	0.96231552336838	GSE180581_HEK293T_siKu70	human	primary	True
DDX58	RIGI	-0.3923664894241804	-1.2077763111389082	0.2271333157288259		GSE180581_HEK293T_siKu70	human	primary	True
IFIH1	IFIH1	-0.9562898819242176	-1.2177059337891112	0.2233357413462826		GSE180581_HEK293T_siKu70	human	primary	True
MAVS	MAVS	0.2800868610383916	4.072924517347079	4.6426474031644645e-05	0.0020197908234235	GSE180581_HEK293T_siKu70	human	primary	True
B2M	B2M	-0.1961746900863474	-1.51664485805689	0.1293563732949833	0.4628261022193504	GSE180581_HEK293T_siKu70	human	primary	True
TAP1	TAP1	-0.1722662144835837	-0.6462152987607012	0.5181399330705792	0.8145642566416434	GSE180581_HEK293T_siKu70	human	primary	True
TAP2	TAP2	-0.1950751369336295	-1.162578864979191	0.2450004099292674	0.6135813046725124	GSE180581_HEK293T_siKu70	human	primary	True
TAPBP	TAPBP	-0.2421725967919259	-1.7152671818028744	0.0862962525945772	0.3812034831434047	GSE180581_HEK293T_siKu70	human	primary	True
PSMB8						GSE180581_HEK293T_siKu70	human	primary	True
PSMB9						GSE180581_HEK293T_siKu70	human	primary	True
NLRC5	NLRC5	-0.6043232786055899	-1.5126988076874617	0.1303561825917778		GSE180581_HEK293T_siKu70	human	primary	True
HLA-A	HLA-A	0.0225807703545725	0.1875917086813832	0.851196726369673	0.9572440006400668	GSE180581_HEK293T_siKu70	human	primary	True
HLA-B	HLA-B	-0.0035308334996687	-0.0361982072133159	0.9711243154907694	0.9942786370604983	GSE180581_HEK293T_siKu70	human	primary	True
HLA-C	HLA-C	0.0536258432416008	0.6735386973756867	0.5006046384298781	0.8069669549771455	GSE180581_HEK293T_siKu70	human	primary	True
XRCC5	XRCC5	-1.9867430553096035	-15.456518550160265	6.818552033401258e-54	3.173354116344946e-50	GSE180581_HEK293T_siKu80	human	primary	True
XRCC6	XRCC6	-0.1201462485856411	-1.2710706948279749	0.2037034996897863	0.5611226114045046	GSE180581_HEK293T_siKu80	human	primary	True
PRKDC	PRKDC	-0.1513923944307584	-2.123054804754568	0.0337492596405624	0.2195562683438265	GSE180581_HEK293T_siKu80	human	primary	True
LIG4	LIG4	-0.7373875414830268	-1.9760513843959453	0.0481489577604199		GSE180581_HEK293T_siKu80	human	primary	True
ISG15	ISG15	-0.2042758849694099	-0.6957196491615851	0.4866044176900526		GSE180581_HEK293T_siKu80	human	primary	True
IFIT1	IFIT1	-0.4798854386445554	-0.8049201849764721	0.420865739562775		GSE180581_HEK293T_siKu80	human	primary	True
IFIT2	IFIT2	-0.1958609104917283	-0.1811281962498677	0.8562669532179761		GSE180581_HEK293T_siKu80	human	primary	True
MX1						GSE180581_HEK293T_siKu80	human	primary	True
OAS1						GSE180581_HEK293T_siKu80	human	primary	True
OAS2						GSE180581_HEK293T_siKu80	human	primary	True
RSAD2						GSE180581_HEK293T_siKu80	human	primary	True
IFI27	IFI27	0.0134451493129436	0.0317921625343641	0.9746377968702046		GSE180581_HEK293T_siKu80	human	primary	True
STAT1	STAT1	-0.0152299453456639	-0.1046121509411784	0.9166835725572317	0.973658344045822	GSE180581_HEK293T_siKu80	human	primary	True
STAT2	STAT2	0.0463382885205306	0.3380429867083552	0.7353307938705385	0.9096835498866258	GSE180581_HEK293T_siKu80	human	primary	True
IRF1	IRF1	0.2882653249282916	0.8976995535790173	0.3693457475324446		GSE180581_HEK293T_siKu80	human	primary	True
IRF3	IRF3	0.165044677863748	1.1716106837106035	0.2413533967373374	0.6106326221340411	GSE180581_HEK293T_siKu80	human	primary	True
IRF7	IRF7	0.1327564066223917	0.6860709451718624	0.4926683717281077	0.8015656710444374	GSE180581_HEK293T_siKu80	human	primary	True
IFNB1						GSE180581_HEK293T_siKu80	human	primary	True
IFNL1						GSE180581_HEK293T_siKu80	human	primary	True
CGAS						GSE180581_HEK293T_siKu80	human	primary	True
STING1	STING1	0.1492868423687682	0.298738312253324	0.7651397221910119		GSE180581_HEK293T_siKu80	human	primary	True
TBK1	TBK1	0.0233345284209354	0.1001083372612967	0.9202583164082936	0.9749828366131846	GSE180581_HEK293T_siKu80	human	primary	True
DDX58	RIGI	-0.11095559965078	-0.271215152632578	0.7862255594837515		GSE180581_HEK293T_siKu80	human	primary	True
IFIH1	IFIH1	-0.8281525712935466	-1.2180809014885332	0.223193230751085		GSE180581_HEK293T_siKu80	human	primary	True
MAVS	MAVS	0.1329560861583924	1.666792428977551	0.0955556862180463	0.3939027136038865	GSE180581_HEK293T_siKu80	human	primary	True
B2M	B2M	-0.644193682435563	-4.226898161475972	2.3693483455454057e-05	0.0013958161012871	GSE180581_HEK293T_siKu80	human	primary	True
TAP1	TAP1	-0.4560532924114641	-1.6749530375847692	0.0939434462052959		GSE180581_HEK293T_siKu80	human	primary	True
TAP2	TAP2	-0.1939285824289766	-1.1933566951098988	0.2327297072041584	0.6003329924374857	GSE180581_HEK293T_siKu80	human	primary	True
TAPBP	TAPBP	0.3327248608065671	2.647201104754932	0.0081161071480001	0.0938443792963789	GSE180581_HEK293T_siKu80	human	primary	True
PSMB8						GSE180581_HEK293T_siKu80	human	primary	True
PSMB9						GSE180581_HEK293T_siKu80	human	primary	True
NLRC5	NLRC5	0.2656142593432367	0.6382519286122432	0.5233096988482673		GSE180581_HEK293T_siKu80	human	primary	True
HLA-A	HLA-A	-0.0683847594475795	-0.4934291376640664	0.6217093984241364	0.8628106576012914	GSE180581_HEK293T_siKu80	human	primary	True
HLA-B	HLA-B	0.0877759761223184	0.7214089170246316	0.470657961924158	0.7883542036332666	GSE180581_HEK293T_siKu80	human	primary	True
HLA-C	HLA-C	0.1622978845659933	1.728332871437373	0.0839285629694025	0.3665917710554662	GSE180581_HEK293T_siKu80	human	primary	True
XRCC5	XRCC5	-0.0989123773028257	-0.974901004455886	0.3296093678276506	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
XRCC6	XRCC6	0.1296386487149557	1.2543592116972642	0.2097114709662139	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
PRKDC	PRKDC	-1.6966260103529074	-17.472975515772138	2.3017134764270927e-68	2.214248364322864e-64	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
LIG4	LIG4	-0.4013204980985499	-1.128629253880072	0.2590542646643333		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
ISG15	ISG15	-0.3184548333920087	-0.863870099269787	0.3876592541083251		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IFIT1	IFIT1	0.2492229007857677	0.5363479920893786	0.5917180679984559		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IFIT2	IFIT2	0.2579821379574556	0.320476837587158	0.7486068861407043		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
MX1						GSE180581_HEK293T_siDNAPKcs	human	comparator	False
OAS1						GSE180581_HEK293T_siDNAPKcs	human	comparator	False
OAS2						GSE180581_HEK293T_siDNAPKcs	human	comparator	False
RSAD2						GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IFI27	IFI27	0.4160118678084932	0.8498873529420812	0.3953877176028176		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
STAT1	STAT1	-0.3142579738138846	-1.9282233480476283	0.0538273512781116	0.8245527377315828	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
STAT2	STAT2	0.1113775869316827	0.6393709615106675	0.5225816350400375	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IRF1	IRF1	0.266983048585498	0.7142898382010393	0.4750479745261483		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IRF3	IRF3	0.0478436205263946	0.2974289091653927	0.7661390754383254	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IRF7	IRF7	0.3600319892259807	1.5642082009571747	0.1177686819046425	0.9406055009992276	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IFNB1						GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IFNL1						GSE180581_HEK293T_siDNAPKcs	human	comparator	False
CGAS						GSE180581_HEK293T_siDNAPKcs	human	comparator	False
STING1	STING1	-0.6303592297565515	-0.9334309760907498	0.3505974931398765		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
TBK1	TBK1	0.0912666646321151	0.3812789111899574	0.7029963003584699	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
DDX58	RIGI	-0.0404849441976173	-0.106529325730506	0.9151623892189548		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
IFIH1	IFIH1	-0.8132101001748245	-1.7090182423888267	0.0874475704093487		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
MAVS	MAVS	0.268431085534449	2.5708337765002893	0.0101454009482096	0.4805890374877409	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
B2M	B2M	-0.3022827787483937	-1.750330746815063	0.0800612583454645	0.8784347788314423	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
TAP1	TAP1	-0.3229792297625545	-1.2307210481482944	0.2184272130713875	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
TAP2	TAP2	-0.1371200979718849	-0.7950985014231412	0.4265562063134797	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
TAPBP	TAPBP	0.0868733508433565	0.6511248267947336	0.5149659113853369	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
PSMB8						GSE180581_HEK293T_siDNAPKcs	human	comparator	False
PSMB9	PSMB9	-0.7039901725282557	-0.545490271130105	0.5854163699241044		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
NLRC5	NLRC5	-0.3344380786352033	-1.0574593174239717	0.2903020121753172		GSE180581_HEK293T_siDNAPKcs	human	comparator	False
HLA-A	HLA-A	-0.0793150561895669	-0.5325406477086126	0.5943515970292468	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
HLA-B	HLA-B	0.0513742229333829	0.3667441616877992	0.7138098620796496	0.9845185028017476	GSE180581_HEK293T_siDNAPKcs	human	comparator	False
