assay	mouse	dataset	genotype	digest	gate	tac_rule	min_high	min_low	n_epi	n_high	n_low	tacstd2_pct	status
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	30	30	995	363	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	30	30	3916	334	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	30	30	3980	1558	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_gt0	30	30	191	7	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_gt0	30	30	395	120	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_gt0	30	30	393	185	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_gt0	30	30	307	128	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	50	50	2059	716	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	50	50	995	363	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	50	50	3916	334	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	50	50	3980	1558	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_gt0	50	50	191	7	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_gt0	50	50	395	120	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_gt0	50	50	393	185	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_gt0	50	50	307	128	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	20	20	2059	436	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	20	20	995	233	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	20	20	3916	148	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	20	20	3980	937	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_ge2	20	20	191	4	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_ge2	20	20	395	83	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_ge2	20	20	393	152	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_ge2	20	20	307	99	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	30	30	2059	436	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	30	30	995	233	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	30	30	3916	148	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	30	30	3980	937	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_ge2	30	30	191	4	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_ge2	30	30	395	83	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_ge2	30	30	393	152	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_ge2	30	30	307	99	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	50	50	2059	436	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	50	50	995	233	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	50	50	3916	148	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge2	50	50	3980	937	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_ge2	50	50	191	4	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_ge2	50	50	395	83	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_ge2	50	50	393	152	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_ge2	50	50	307	99	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	20	20	2059	186	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	20	20	995	104	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	20	20	3916	50	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	20	20	3980	319	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_ge5	20	20	191	2	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_ge5	20	20	395	33	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_ge5	20	20	393	125	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_ge5	20	20	307	65	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	30	30	2059	186	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	30	30	995	104	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	30	30	3916	50	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	30	30	3980	319	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_ge5	30	30	191	2	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_ge5	30	30	395	33	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_ge5	30	30	393	125	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_ge5	30	30	307	65	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	50	50	2059	186	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	50	50	995	104	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	50	50	3916	50	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_ge5	50	50	3980	319	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_ge5	50	50	191	2	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_ge5	50	50	395	33	275	30.379746835443036	below_floor
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_ge5	50	50	393	125	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_ge5	50	50	307	65	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	20	20	2059	358	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	20	20	995	182	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	20	20	3916	167	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	20	20	3980	779	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	median_split_pos	20	20	191	4	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	median_split_pos	20	20	395	60	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	median_split_pos	20	20	393	93	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	median_split_pos	20	20	307	64	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	30	30	2059	358	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	30	30	995	182	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	30	30	3916	167	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	30	30	3980	779	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	median_split_pos	30	30	191	4	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	median_split_pos	30	30	395	60	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	median_split_pos	30	30	393	93	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	median_split_pos	30	30	307	64	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	50	50	2059	358	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	50	50	995	182	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	50	50	3916	167	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	median_split_pos	50	50	3980	779	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	median_split_pos	50	50	191	4	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	median_split_pos	50	50	395	60	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	median_split_pos	50	50	393	93	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	median_split_pos	50	50	307	64	179	41.693811074918564	ok
