dataset,gene_a,gene_b,n,spearman_rho,p_value,fdr,bg_percentile,ci_low,ci_high
GTEx-lung,SFTPB,TACSTD2,655,0.5313799939536815,5.2460416186767614e-49,3.0870937217597866e-48,97.42839713588543,0.47049242875420644,0.5872314566635299
GTEx-lung,AGER,TACSTD2,655,,,,,,
GTEx-lung,SCGB1A1,TACSTD2,655,0.1502468735474973,0.0001134567331028689,0.0001846689379227547,66.99367974718989,0.06991514778677449,0.2286424873452359
GTEx-lung,SCGB3A2,TACSTD2,655,0.2881338532538121,5.470247420552734e-14,1.307731023975888e-13,83.47133885355414,0.2119062351143349,0.3608767513163616
GTEx-lung,KRT5,TACSTD2,655,0.12820704108078232,0.0010071856742993276,0.0015409940816779712,63.70254810192407,0.04751708799803473,0.20723458599912717
GTEx-lung,TACSTD2,TP63,655,0.16598182077544346,1.9590879850850902e-05,3.223015717398052e-05,69.23126925077003,0.08595555400497404,0.2438800305373214
GTEx-lung,FOXJ1,TACSTD2,655,0.26969115115367187,2.2268597303884673e-12,4.937819402165732e-12,81.66226649065963,0.19272631426789677,0.34335794616199544
GTEx-lung,MUC5B,TACSTD2,655,0.0639969658660572,0.10175138495971552,0.11975355306797288,53.48463938557543,-0.017277330904413368,0.14443109620615674
GTEx-lung,PTPRC,TACSTD2,655,,,,,,
GTEx-lung,COL1A1,TACSTD2,655,-0.3248144538399834,1.4706574388913414e-17,4.0180462169709865e-17,6.290251610064403,-0.3955678956493432,-0.2502284233436665
GTEx-lung,PECAM1,TACSTD2,655,0.11861346928376021,0.0023609735902806405,0.0034078203708767735,62.25449017960718,0.03779286738488914,0.19789238028976044
GTEx-lung,CLDN4,NKX2-1,655,0.7145939506794379,2.0045242456029784e-103,3.0669220957725567e-102,99.7814912596504,0.6724191256987401,0.7521436397015575
GTEx-lung,CLDN4,EPCAM,655,0.7999369746342653,5.799194323462714e-147,1.7745534629795907e-145,99.9619984799392,0.7686719263335443,0.8273888017619958
GTEx-lung,CLDN4,SFTPC,655,0.6831720544016646,3.2274429380853973e-91,4.114989746058881e-90,99.60948437937517,0.6373360969836288,0.7241907897324142
GTEx-lung,CLDN4,SFTPB,655,0.7520057121248203,2.6130182773786438e-120,4.442131071543694e-119,99.89249569982799,0.7144385329308026,0.7852497776413594
GTEx-lung,AGER,CLDN4,655,,,,,,
GTEx-lung,CLDN4,SCGB1A1,655,0.21261640652458363,3.928665578029855e-08,7.513572917982098e-08,75.29901196047842,0.13374038993887885,0.28881564382759556
GTEx-lung,CLDN4,SCGB3A2,655,0.46627781025222714,1.1517531248551801e-36,5.50681962821383e-36,95.2718108724349,0.40024434678298376,0.5274942851425393
GTEx-lung,CLDN4,KRT5,655,0.19050594328686443,9.045247923566136e-07,1.554969586860246e-06,72.55240209608385,0.11103875240361348,0.26755247174549185
