organism,cell_type,disease,n_cells,gene_a,gene_b,spearman_rho,p_value,frac_pos_a,frac_pos_b,fdr
human,epithelial cell of lung,normal,8000,GRHL1,CLDN4,0.16362260871331072,4.019463986496981e-49,0.142625,0.867625,1.6967409451196273e-48
human,epithelial cell of lung,normal,8000,GRHL1,NKX2-1,-0.09541125349604351,1.2094915008517811e-17,0.142625,0.241,2.897154060179848e-17
human,epithelial cell of lung,normal,8000,KLF4,TFAP2A,0.06916689461656199,5.905757663261677e-10,0.411625,0.156,1.134875073350658e-09
human,epithelial cell of lung,normal,8000,KLF4,TACSTD2,0.27804192802473954,5.874022549233649e-142,0.411625,0.65025,5.402002880098802e-141
human,epithelial cell of lung,normal,8000,KLF4,CLDN4,0.16878135122421548,3.373165972948788e-52,0.411625,0.867625,1.484769637665492e-51
human,epithelial cell of lung,normal,8000,KLF4,NKX2-1,-0.17561670068646157,1.983872876888172e-56,0.411625,0.241,9.288132105430987e-56
human,epithelial cell of lung,normal,8000,TFAP2A,TACSTD2,0.030318408832125925,0.006688654906937483,0.156,0.65025,0.009309884532629199
human,epithelial cell of lung,normal,8000,TFAP2A,CLDN4,0.10027648994350018,2.466296069179086e-19,0.156,0.867625,6.106454209746295e-19
human,epithelial cell of lung,normal,8000,TFAP2A,NKX2-1,-0.17569391044113994,1.7730303776978246e-56,0.156,0.241,8.377161876278712e-56
human,epithelial cell of lung,normal,8000,TACSTD2,CLDN4,0.2603240070519265,4.566500181918272e-124,0.65025,0.867625,3.7931412801417904e-123
human,epithelial cell of lung,normal,8000,TACSTD2,NKX2-1,-0.23890170832774155,3.2154547270035464e-104,0.65025,0.241,2.207945579209102e-103
human,epithelial cell of lung,normal,8000,CLDN4,NKX2-1,0.34851992421625116,3.1483335501686368e-227,0.867625,0.241,4.3821399414509404e-226
