gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
CRYAB	11q23.1	9.89	9.54	1.81	1.67	0.35	0.0784	0.269	CLDN4 High
KDM2A	11q13.2	12.13	12.23	0.57	0.46	-0.1	0.0785	0.27	CLDN4 Low
IKZF1	7p12.2	7.32	7.58	1.28	1.31	-0.26	0.0785	0.27	CLDN4 Low
SLFN12L	17q12	2.89	3.13	1.07	1.31	-0.24	0.0785	0.27	CLDN4 Low
RCBTB2	13q14.2	8.17	8.33	0.85	0.73	-0.16	0.0786	0.27	CLDN4 Low
DOCK2	5q35.1	7.24	7.53	1.41	1.48	-0.29	0.0786	0.27	CLDN4 Low
BIN3	8p21.3	8.28	8.16	0.65	0.5	0.12	0.0787	0.27	CLDN4 High
MAP2K2	19p13.3	11.2	11.11	0.51	0.43	0.09	0.0787	0.27	CLDN4 High
FBXO39	17p13.1	2.27	2.52	1.18	1.31	-0.25	0.0787	0.27	CLDN4 Low
MSH5	6p21.33	7.93	8.13	0.93	1.1	-0.21	0.0787	0.27	CLDN4 Low
NRG2	5q31.2	5.13	4.8	1.78	1.45	0.33	0.0787	0.27	CLDN4 High
PJA2	5q21.3	10.59	10.69	0.48	0.56	-0.11	0.0787	0.27	CLDN4 Low
HOXB8	17q21.32	6.66	6.03	3.22	3.04	0.63	0.0788	0.27	CLDN4 High
SLC51B	15q22.31	1.58	1.27	1.73	1.3	0.31	0.0788	0.27	CLDN4 High
SRRM2-AS1	16p13.3	4.28	4.47	0.99	0.86	-0.19	0.0789	0.27	CLDN4 Low
TAFA3	1p13.2	3.34	3.59	1.31	1.24	-0.26	0.0789	0.27	CLDN4 Low
EPHA6	3q11.2	4.16	4.54	1.73	2.06	-0.38	0.079	0.271	CLDN4 Low
CACNA1D	3p21.1	5.35	5.65	1.43	1.5	-0.29	0.079	0.271	CLDN4 Low
LMAN1	18q21.32	11.51	11.63	0.53	0.61	-0.11	0.079	0.271	CLDN4 Low
TMEM50A	1p36.11	11.57	11.46	0.53	0.54	0.11	0.079	0.271	CLDN4 High
ATP8B4	15q21.2	5.03	5.27	1.14	1.22	-0.24	0.079	0.271	CLDN4 Low
CTNNA2	2p12	6.24	5.82	2.07	2.17	0.43	0.0791	0.271	CLDN4 High
LDOC1	Xq27.1	11.17	10.96	0.91	1.18	0.21	0.0791	0.271	CLDN4 High
BEGAIN	14q32.2	4.67	4.95	1.32	1.48	-0.28	0.0792	0.271	CLDN4 Low
POPDC2	3q13.33	4.81	4.94	0.65	0.67	-0.13	0.0792	0.271	CLDN4 Low
WNT7B	22q13.31	7.36	6.98	1.8	1.98	0.38	0.0793	0.271	CLDN4 High
VPS26B	11q25	10.49	10.6	0.56	0.55	-0.11	0.0793	0.271	CLDN4 Low
RAB1A	2p14	11.86	11.79	0.35	0.35	0.07	0.0793	0.271	CLDN4 High
PRSS50	3p21.31	6.42	6	2.12	2.05	0.42	0.0793	0.271	CLDN4 High
CAPRIN1	11p13	12.69	12.77	0.44	0.41	-0.09	0.0793	0.271	CLDN4 Low
TBRG4	7p13	10.46	10.36	0.46	0.53	0.1	0.0793	0.271	CLDN4 High
DNAJB9	7q31.1	9.26	9.14	0.61	0.63	0.12	0.0794	0.271	CLDN4 High
NKAP	Xq24	8.21	8.31	0.44	0.52	-0.1	0.0795	0.272	CLDN4 Low
NSRP1	17q11.2	8.68	8.79	0.53	0.56	-0.11	0.0795	0.272	CLDN4 Low
PRPF38B	1p13.3	10.06	10.16	0.47	0.48	-0.1	0.0796	0.272	CLDN4 Low
TMEM250	9q34.3	10.18	10.07	0.55	0.5	0.11	0.0796	0.272	CLDN4 High
PTPRF	1p34.2	13.84	13.97	0.63	0.67	-0.13	0.0797	0.272	CLDN4 Low
SAMD11	1p36.33	6.29	6.81	2.65	2.52	-0.52	0.0797	0.272	CLDN4 Low
TOPORS	9p21.1	9.15	9.25	0.47	0.57	-0.1	0.0797	0.272	CLDN4 Low
FRAT1	10q24.1	7.1	6.96	0.73	0.67	0.14	0.0797	0.272	CLDN4 High
SERPINF1	17p13.3	10.03	10.37	1.73	1.66	-0.34	0.0798	0.272	CLDN4 Low
MBOAT1	6p22.3	10.15	9.99	0.82	0.77	0.16	0.0798	0.272	CLDN4 High
NECAB2	16q23.3	1.88	2.27	1.76	2.03	-0.38	0.0798	0.272	CLDN4 Low
TEAD3	6p21.31	10.66	10.52	0.68	0.72	0.14	0.0798	0.272	CLDN4 High
EIF3G	19p13.2	11.8	11.65	0.71	0.74	0.15	0.0799	0.272	CLDN4 High
FTO	16q12.2	9.7	9.79	0.48	0.5	-0.1	0.0799	0.272	CLDN4 Low
FN3K	17q25.3	9.24	9.07	0.87	0.85	0.17	0.08	0.273	CLDN4 High
TIMP2	17q25.3	12.59	12.78	0.91	0.94	-0.19	0.08	0.273	CLDN4 Low
FBXO42	1p36.13	9.44	9.53	0.47	0.47	-0.09	0.08	0.273	CLDN4 Low
TBC1D3P1-DHX40P1	17q23.1	0.95	1.29	1.57	1.81	-0.34	0.0801	0.273	CLDN4 Low
TPM1	15q22.2	11.09	11.24	0.69	0.76	-0.15	0.0801	0.273	CLDN4 Low
ILK	11p15.4	11.26	11.16	0.45	0.53	0.1	0.0801	0.273	CLDN4 High
KCNMB4	12q15	6.22	6.55	1.79	1.58	-0.34	0.0801	0.273	CLDN4 Low
USP3	15q22.31	8.98	9.08	0.5	0.53	-0.1	0.0801	0.273	CLDN4 Low
ZNF572	8q24.13	7.11	7.27	0.74	0.87	-0.16	0.0801	0.273	CLDN4 Low
HP1BP3	1p36.12	11.95	12.06	0.58	0.45	-0.1	0.0802	0.273	CLDN4 Low
GSK3B	3q13.33	10.53	10.62	0.48	0.46	-0.09	0.0802	0.273	CLDN4 Low
FXYD6	11q23.3	9.35	9.64	1.52	1.29	-0.28	0.0802	0.273	CLDN4 Low
IL17RA	22q11.1	8.49	8.63	0.66	0.7	-0.14	0.0803	0.273	CLDN4 Low
ZNF664	12q24.31	12.07	12.2	0.65	0.6	-0.12	0.0803	0.273	CLDN4 Low
ADRA1D	20p13	2.78	3.06	1.37	1.43	-0.28	0.0803	0.273	CLDN4 Low
SCARF2	22q11.21	9.18	9.41	1.07	1.2	-0.23	0.0803	0.273	CLDN4 Low
SPSB3	16p13.3	10.16	10.05	0.51	0.57	0.11	0.0804	0.273	CLDN4 High
P4HA2	5q31.1	9.49	9.63	0.67	0.72	-0.14	0.0804	0.273	CLDN4 Low
DHX16	6p21.33	9.89	9.99	0.52	0.47	-0.1	0.0804	0.273	CLDN4 Low
SUGT1P4-STRA6LP-CCDC180	9q22.33	6.37	6.61	1.21	1.25	-0.25	0.0804	0.273	CLDN4 Low
MYOCD	17p12	2.85	3.25	1.88	2.03	-0.39	0.0804	0.273	CLDN4 Low
KMT5B	11q13.2	9.85	9.96	0.54	0.54	-0.11	0.0805	0.273	CLDN4 Low
PRDM6	5q23.2	3.75	4.03	1.33	1.5	-0.28	0.0805	0.273	CLDN4 Low
AZI2	3p24.1	9.34	9.42	0.4	0.4	-0.08	0.0805	0.273	CLDN4 Low
SMG8	17q22	8.73	8.83	0.45	0.54	-0.1	0.0805	0.273	CLDN4 Low
IDI1	10p15.3	9.62	9.77	0.75	0.73	-0.15	0.0806	0.273	CLDN4 Low
CD46	1q32.2	11.81	11.7	0.59	0.54	0.11	0.0806	0.273	CLDN4 High
DNER	2q36.3	3.35	2.91	2.3	2.11	0.44	0.0806	0.273	CLDN4 High
ARHGEF12	11q23.3	11.46	11.59	0.66	0.62	-0.13	0.0806	0.274	CLDN4 Low
LINC00575	4q21.22	0.03	0.01	0.12	0.08	0.02	0.0806	0.274	CLDN4 High
LTC4S	5q35.3	6.68	6.4	1.51	1.27	0.28	0.0807	0.274	CLDN4 High
ZNF706	8q22.3	9.96	9.84	0.59	0.68	0.13	0.0807	0.274	CLDN4 High
SLC48A1	12q13.11	10.94	10.77	0.81	0.82	0.16	0.0807	0.274	CLDN4 High
THRAP3	1p34.3	11.7	11.78	0.4	0.33	-0.07	0.0807	0.274	CLDN4 Low
PUS3	11q24.2	7.68	7.8	0.6	0.59	-0.12	0.0808	0.274	CLDN4 Low
NELL2	12q12	5.93	6.31	1.86	1.99	-0.39	0.0808	0.274	CLDN4 Low
RIN2	20p11.23	10.55	10.43	0.59	0.6	0.12	0.0808	0.274	CLDN4 High
GNG3	11q12.3	2.98	3.2	1.07	1.13	-0.22	0.0809	0.274	CLDN4 Low
CXCL2	4q13.3	5.94	5.55	1.96	1.92	0.39	0.0809	0.274	CLDN4 High
THAP4	2q37.3	10.63	10.53	0.46	0.5	0.1	0.0809	0.274	CLDN4 High
PKD1	16p13.3	10.36	10.53	0.8	0.86	-0.17	0.081	0.274	CLDN4 Low
OR5B2	11q12.1	0.23	0.11	0.71	0.48	0.12	0.081	0.274	CLDN4 High
ZNF256	19q13.43	7.17	7.31	0.71	0.72	-0.14	0.081	0.274	CLDN4 Low
RIMS2	8q22.3	3.51	3.98	2.34	2.35	-0.47	0.081	0.274	CLDN4 Low
DDX11L2	2q14.1	4.76	5.12	1.9	1.66	-0.36	0.0811	0.274	CLDN4 Low
CXORF65	Xq13.1	0.35	0.49	0.62	0.76	-0.14	0.0812	0.275	CLDN4 Low
KRTAP10-9	21q22.3	0.01	0.04	0.09	0.17	-0.03	0.0812	0.275	CLDN4 Low
CP	3q24-q25.1	12.71	12.34	1.65	2.06	0.37	0.0812	0.275	CLDN4 High
GATA2	3q21.3	6.19	5.82	2.03	1.59	0.36	0.0813	0.275	CLDN4 High
MSI2	17q22	8.22	8.35	0.66	0.63	-0.13	0.0813	0.275	CLDN4 Low
DNAJB1	19p13.12	12.21	12.07	0.65	0.7	0.13	0.0813	0.275	CLDN4 High
CPQ	8q22.1	8.86	8.7	0.71	0.89	0.16	0.0813	0.275	CLDN4 High
CXXC4	4q24	1.76	2.07	1.41	1.66	-0.31	0.0813	0.275	CLDN4 Low
NRG1	8p12	3.55	4.01	2.21	2.39	-0.46	0.0813	0.275	CLDN4 Low
SOAT1	1q25.2	8.68	8.82	0.69	0.66	-0.13	0.0813	0.275	CLDN4 Low
AGK	7q34	9.58	9.49	0.41	0.44	0.08	0.0813	0.275	CLDN4 High
GBX2	2q37.2	0.88	1.1	0.85	1.33	-0.22	0.0813	0.275	CLDN4 Low
ERCC6L	Xq13.1	6.99	7.17	0.94	0.88	-0.18	0.0813	0.275	CLDN4 Low
IL12B	5q33.3	0.94	1.1	0.77	0.84	-0.16	0.0813	0.275	CLDN4 Low
STXBP5L	3q13.33	2.23	2.51	1.38	1.45	-0.28	0.0814	0.275	CLDN4 Low
APPBP2	17q23.2	9.89	9.99	0.52	0.5	-0.1	0.0815	0.275	CLDN4 Low
DIO3	14q32.31	2.78	3.11	1.59	1.71	-0.33	0.0815	0.275	CLDN4 Low
MAP7	6q23.3	9.53	9.4	0.59	0.77	0.14	0.0815	0.275	CLDN4 High
EDNRB	13q22.3	6.45	6.72	1.31	1.42	-0.27	0.0815	0.275	CLDN4 Low
GABRQ	Xq28	1.95	2.33	1.86	1.94	-0.38	0.0815	0.275	CLDN4 Low
PLEKHA8P1	12q12	6.03	6.16	0.61	0.62	-0.12	0.0815	0.275	CLDN4 Low
TINAGL1	1p35.2	9.17	8.94	1.16	1.12	0.23	0.0816	0.275	CLDN4 High
CHSY3	5q23.3	4.88	5.14	1.23	1.36	-0.26	0.0817	0.275	CLDN4 Low
RESF1	12p11.21	11.33	11.51	0.84	1.02	-0.19	0.0818	0.276	CLDN4 Low
BACH2	6q15	5.7	5.99	1.41	1.49	-0.29	0.0819	0.276	CLDN4 Low
CASP8	2q33.1	10.12	10.01	0.55	0.57	0.11	0.0819	0.276	CLDN4 High
CDH20	18q21.33	2.69	3.14	1.92	2.5	-0.44	0.0819	0.276	CLDN4 Low
SLC45A1	1p36.23	5.61	5.8	0.96	0.99	-0.19	0.0819	0.276	CLDN4 Low
CRYBA4	22q12.1	0.28	0.42	0.51	0.83	-0.14	0.0819	0.276	CLDN4 Low
SREK1IP1	5q12.3	9.08	9.19	0.59	0.54	-0.11	0.0819	0.276	CLDN4 Low
STK38	6p21.31	10.19	10.3	0.58	0.56	-0.11	0.082	0.276	CLDN4 Low
SNORD67	11p11.2	0.06	0.13	0.35	0.39	-0.07	0.082	0.276	CLDN4 Low
FAM221A	7p15.3	7.58	7.41	0.85	0.85	0.17	0.082	0.276	CLDN4 High
MTREX	5q11.2	9.74	9.84	0.52	0.48	-0.1	0.0821	0.276	CLDN4 Low
CMTM2	16q21	1.45	1.62	0.8	0.92	-0.17	0.0821	0.276	CLDN4 Low
GALNT15	3p25.1	4.73	5.01	1.33	1.54	-0.29	0.0821	0.276	CLDN4 Low
ATP13A2	1p36.13	10.53	10.64	0.59	0.54	-0.11	0.0821	0.276	CLDN4 Low
SEMA5B	3q21.1	7.71	8.11	1.88	2.14	-0.4	0.0821	0.276	CLDN4 Low
PSME2	14q12	10.49	10.32	0.83	0.89	0.17	0.0822	0.276	CLDN4 High
BTBD8	1p22.1	2.25	2.48	1.11	1.15	-0.22	0.0822	0.276	CLDN4 Low
CIDEA	18p11.21	0.8	1.14	1.53	1.82	-0.33	0.0822	0.276	CLDN4 Low
PTPA	9q34.11	11.54	11.45	0.5	0.43	0.09	0.0822	0.276	CLDN4 High
SIGLECL1	19q13.41	0.12	0.03	0.67	0.13	0.1	0.0823	0.276	CLDN4 High
TRIM75P	4q32.3	0.55	0.68	0.57	0.69	-0.13	0.0823	0.276	CLDN4 Low
CUL4A	13q34	10.53	10.42	0.54	0.49	0.1	0.0823	0.276	CLDN4 High
KREMEN1	22q12.1	8.92	9.11	0.97	0.89	-0.19	0.0825	0.277	CLDN4 Low
PALLD	4q32.3	10.64	10.82	0.92	0.97	-0.19	0.0825	0.277	CLDN4 Low
BCKDK	16p11.2	10.81	10.72	0.44	0.48	0.09	0.0825	0.277	CLDN4 High
RDH10	8q21.11	8.07	8.32	1.33	1.22	-0.25	0.0825	0.277	CLDN4 Low
TAF9	5q13.2	9.93	10.03	0.56	0.51	-0.11	0.0826	0.277	CLDN4 Low
TMOD1	9q22.33	10.68	10.41	1.32	1.46	0.28	0.0827	0.277	CLDN4 High
CLTC	17q23.1	12.57	12.66	0.41	0.53	-0.09	0.0827	0.277	CLDN4 Low
PCP4L1	1q23.3	3.08	3.42	1.65	1.77	-0.34	0.0827	0.277	CLDN4 Low
CLCN3	4q33	9.12	9.23	0.58	0.52	-0.11	0.0828	0.277	CLDN4 Low
KMT2D	12q13.12	11.34	11.5	0.81	0.76	-0.16	0.0828	0.277	CLDN4 Low
IRF2	4q35.1	9.77	9.68	0.5	0.43	0.09	0.0828	0.278	CLDN4 High
SYS1	20q13.12	10.27	10.17	0.48	0.48	0.09	0.0828	0.278	CLDN4 High
ZNF229	19q13.31	7.21	7.51	1.5	1.47	-0.29	0.0829	0.278	CLDN4 Low
INSYN2B	5q35.1	2.36	2.64	1.33	1.42	-0.27	0.0829	0.278	CLDN4 Low
C10ORF99	10q23.1	3.89	3.37	2.52	2.65	0.51	0.0829	0.278	CLDN4 High
TMEM101	17q21.31	8.81	8.58	1.15	1.12	0.23	0.0829	0.278	CLDN4 High
LNP1	3q12.2	6.85	6.67	0.9	0.92	0.18	0.0829	0.278	CLDN4 High
GPD1	12q13.12	4.07	4.44	1.71	2.03	-0.37	0.0829	0.278	CLDN4 Low
LCN6	9q34.3	0.34	0.2	0.73	0.68	0.14	0.083	0.278	CLDN4 High
CYP19A1	15q21.2	2.29	2.55	1.21	1.43	-0.26	0.083	0.278	CLDN4 Low
DHTKD1	10p14	9.89	10.03	0.72	0.7	-0.14	0.083	0.278	CLDN4 Low
BOK	2q37.3	9.72	9.53	0.79	1.03	0.18	0.083	0.278	CLDN4 High
DSCAML1	11q23.3	5.55	5.99	2.27	2.22	-0.45	0.083	0.278	CLDN4 Low
DNAH2	17p13.1	6.12	6.53	2.12	2.04	-0.41	0.0831	0.278	CLDN4 Low
WASF2	1p36.11	12.25	12.36	0.63	0.52	-0.12	0.0831	0.278	CLDN4 Low
GPRC5B	16p12.3	11.45	11.63	1.02	0.87	-0.19	0.0831	0.278	CLDN4 Low
HOTAIR	12q13.13	0.46	0.7	1.1	1.27	-0.24	0.0831	0.278	CLDN4 Low
HNRNPU	1q44	12.96	13.03	0.4	0.37	-0.08	0.0832	0.278	CLDN4 Low
VAC14	16q22.1-q22.2	10.67	10.56	0.51	0.54	0.1	0.0833	0.278	CLDN4 High
LINC00475	9q22.31	0.55	0.67	0.59	0.64	-0.12	0.0833	0.278	CLDN4 Low
PLAUR	19q13	9.6	9.39	0.95	1.12	0.21	0.0833	0.278	CLDN4 High
NDUFA12	12q22	9.97	9.85	0.63	0.58	0.12	0.0834	0.279	CLDN4 High
XKR4	8q12.1	4.57	4.18	1.85	2.12	0.39	0.0835	0.279	CLDN4 High
XRCC3	14q32.33	8.95	9.09	0.71	0.71	-0.14	0.0836	0.279	CLDN4 Low
SNHG1	11q12.3	10.08	10.22	0.73	0.73	-0.14	0.0836	0.279	CLDN4 Low
CD93	20p11.21	9.15	9.31	0.79	0.85	-0.16	0.0836	0.279	CLDN4 Low
INSYN2A	10q26.2	2.42	2.6	0.93	0.87	-0.18	0.0836	0.279	CLDN4 Low
LGMN	14q32.12	11.03	11.16	0.68	0.61	-0.13	0.0836	0.279	CLDN4 Low
HTR3B	11q23.2	1.16	0.87	1.59	1.32	0.29	0.0836	0.279	CLDN4 High
FBXW10	17p11.2	1.05	1.23	0.89	0.93	-0.18	0.0836	0.279	CLDN4 Low
CBFA2T3	16q24.3	5.1	5.38	1.4	1.48	-0.29	0.0837	0.279	CLDN4 Low
ACAA2	18q21.1	9.67	9.81	0.78	0.66	-0.14	0.0838	0.279	CLDN4 Low
AACS	12q24.31	9.44	9.56	0.6	0.6	-0.12	0.0839	0.279	CLDN4 Low
SUMO3	21q22.3	11.93	11.82	0.53	0.63	0.12	0.0839	0.279	CLDN4 High
HSD17B8	6p21.32	8.17	7.98	0.92	0.99	0.19	0.0839	0.279	CLDN4 High
SLC25A18	22q11.21	3.38	3.65	1.34	1.42	-0.27	0.0839	0.279	CLDN4 Low
LRATD2	8q24.21	10.89	11.06	0.89	0.85	-0.17	0.0839	0.279	CLDN4 Low
LINC02897	1q44	3.42	3.19	1.13	1.16	0.23	0.0839	0.279	CLDN4 High
IL6	7p15.3	4.88	4.5	1.87	2.01	0.38	0.084	0.28	CLDN4 High
KIRREL3	11q24.2	3.27	3.7	2.16	2.18	-0.43	0.084	0.28	CLDN4 Low
STAG3L1	7q11.23	7.51	7.31	0.97	1.02	0.2	0.084	0.28	CLDN4 High
ANXA6	5q33.1	10.44	10.58	0.72	0.77	-0.15	0.084	0.28	CLDN4 Low
GPX7	1p32.3	9.1	9.27	0.84	0.96	-0.18	0.0841	0.28	CLDN4 Low
EML2	19q13.32	8.7	8.53	0.82	0.9	0.17	0.0841	0.28	CLDN4 High
MYEOV	11q13.3	4.34	3.9	2.23	2.2	0.44	0.0842	0.28	CLDN4 High
LINC02593	1p36.33	0.48	0.64	0.71	0.86	-0.16	0.0842	0.28	CLDN4 Low
PITPNM1	11q13.2	10.97	10.84	0.66	0.64	0.13	0.0843	0.28	CLDN4 High
GAL3ST3	11q13.1	5.81	6.42	3.18	2.94	-0.61	0.0843	0.28	CLDN4 Low
ADI1	2p25.3	11.18	11.07	0.6	0.57	0.12	0.0843	0.28	CLDN4 High
WDFY4	10q11.23	6.39	6.7	1.5	1.58	-0.3	0.0843	0.28	CLDN4 Low
ZNF382	19q13.12	6.31	6.48	0.85	0.87	-0.17	0.0843	0.28	CLDN4 Low
MYEF2	15q21.1	9.54	9.68	0.66	0.72	-0.14	0.0844	0.28	CLDN4 Low
ACP4	19q13.33	0.25	0.34	0.42	0.52	-0.09	0.0844	0.28	CLDN4 Low
SEMA3G	3p21.1	6.24	6.48	1.19	1.19	-0.24	0.0845	0.281	CLDN4 Low
GLIPR1L2	12q21.2	3.89	3.65	1.23	1.29	0.25	0.0845	0.281	CLDN4 High
ZNF654	3p11.1	8.09	8.18	0.48	0.47	-0.09	0.0846	0.281	CLDN4 Low
BBX	3q13.12	10.51	10.61	0.5	0.54	-0.1	0.0846	0.281	CLDN4 Low
LSM6	4q31.22	8.31	8.18	0.61	0.7	0.13	0.0846	0.281	CLDN4 High
TSEN54	17q25.1	9.34	9.22	0.61	0.57	0.12	0.0847	0.281	CLDN4 High
CHAT	10q11.23	0.73	0.99	1.26	1.34	-0.26	0.0847	0.281	CLDN4 Low
NEXMIF	Xq13.3	3.26	3.62	1.84	1.78	-0.36	0.0847	0.281	CLDN4 Low
NCL	2q37.1	13.24	13.34	0.48	0.53	-0.1	0.0847	0.281	CLDN4 Low
FADD	11q13.3	9.59	9.49	0.48	0.47	0.09	0.0847	0.281	CLDN4 High
PDGFRB	5q32	10.08	10.32	1.1	1.24	-0.23	0.0848	0.281	CLDN4 Low
HGSNAT	8p11.21-p11.1	11.11	11.22	0.6	0.51	-0.11	0.0848	0.281	CLDN4 Low
MOG	6p22.1	0.19	0.3	0.44	0.64	-0.11	0.0848	0.281	CLDN4 Low
CAP2	6p22.3	8.44	8.6	0.82	0.76	-0.16	0.0848	0.281	CLDN4 Low
SLC22A20P	11q13.1	4.3	4.03	1.35	1.39	0.27	0.0849	0.281	CLDN4 High
RPL22L1	3q26.2	9.3	9.12	1.05	0.82	0.19	0.0849	0.281	CLDN4 High
HNRNPA1	12q13.13	12.36	12.45	0.45	0.54	-0.1	0.0849	0.281	CLDN4 Low
HBA2	16p13.3	7.92	7.52	2.07	2.06	0.41	0.085	0.281	CLDN4 High
CDKN2A-DT	9p21.3	1.52	1.3	1.13	1.08	0.22	0.085	0.281	CLDN4 High
MICAL2	11p15.3	10.19	10.41	1.12	1.15	-0.22	0.0851	0.281	CLDN4 Low
UBR5	8q22.3	10.96	11.07	0.55	0.62	-0.12	0.0851	0.282	CLDN4 Low
CHRM3	1q43	4.27	4.67	2.12	1.95	-0.4	0.0851	0.282	CLDN4 Low
PRAF2	Xp11.23	10.68	10.52	0.89	0.73	0.16	0.0851	0.282	CLDN4 High
OR8A1	11q24.2	0.62	0.4	1.2	0.98	0.22	0.0852	0.282	CLDN4 High
FOXI2	10q26.2	0.78	1.01	1.1	1.27	-0.23	0.0852	0.282	CLDN4 Low
WNT9B	17q21.32	0.71	0.88	0.82	0.96	-0.18	0.0852	0.282	CLDN4 Low
C19ORF12	19q12	9.75	9.58	0.91	0.81	0.17	0.0852	0.282	CLDN4 High
CYP2E1	10q26.3	4.94	5.24	1.53	1.57	-0.31	0.0852	0.282	CLDN4 Low
GNPNAT1	14q22.1	9.91	10.03	0.56	0.61	-0.12	0.0853	0.282	CLDN4 Low
MYBBP1A	17p13.2	10.42	10.55	0.62	0.66	-0.13	0.0853	0.282	CLDN4 Low
GMIP	19p13.11	9.36	9.23	0.61	0.64	0.12	0.0853	0.282	CLDN4 High
CACNA1I	22q13.1	2.85	3.18	1.63	1.72	-0.33	0.0854	0.282	CLDN4 Low
GIP	17q21.32	0.22	0.34	0.6	0.65	-0.12	0.0854	0.282	CLDN4 Low
ACOX2	3p14.3	6.76	7.02	1.32	1.27	-0.25	0.0854	0.282	CLDN4 Low
CCDC85A	2p16.1	4.98	5.36	1.83	1.98	-0.38	0.0854	0.282	CLDN4 Low
POU5F2	5q15	0.67	0.8	0.68	0.65	-0.13	0.0854	0.282	CLDN4 Low
CNN3	1p21.3	11.76	11.88	0.61	0.61	-0.12	0.0856	0.282	CLDN4 Low
MTURN	7p14.3	9.25	9.09	0.78	0.82	0.16	0.0856	0.282	CLDN4 High
TM4SF19	3q29	3.04	3.26	1.19	0.99	-0.22	0.0856	0.282	CLDN4 Low
ANKRD2	10q24.2	3.89	3.49	2.02	2.02	0.4	0.0857	0.283	CLDN4 High
EIF3CL	16p12.1	13.35	13.48	0.6	0.66	-0.12	0.0857	0.283	CLDN4 Low
APLNR	11q12.1	7.25	7.48	1.13	1.28	-0.24	0.0857	0.283	CLDN4 Low
TMEM40	3p25.2	2.28	1.9	2.01	1.86	0.38	0.0858	0.283	CLDN4 High
FGF17	8p21.3	3.09	3.59	2.28	2.79	-0.5	0.0858	0.283	CLDN4 Low
ATAT1	6p21.33	8.86	9.02	0.84	0.78	-0.16	0.0859	0.283	CLDN4 Low
PRR14	16p11.2	10.06	9.97	0.45	0.42	0.09	0.0859	0.283	CLDN4 High
TSPYL1	6q22.1	10.94	11.06	0.55	0.59	-0.11	0.086	0.283	CLDN4 Low
GJB6	13q12.11	3.51	3.15	1.82	1.88	0.36	0.0861	0.284	CLDN4 High
SLC34A3	9q34.3	3.75	3.41	1.78	1.64	0.34	0.0862	0.284	CLDN4 High
ARHGEF5	7q35	9.17	9.04	0.63	0.76	0.14	0.0862	0.284	CLDN4 High
CCNI	4q21.1	12.21	12.32	0.53	0.5	-0.1	0.0863	0.284	CLDN4 Low
TBC1D3B	17q12	6.81	7.01	1.04	1.06	-0.21	0.0864	0.284	CLDN4 Low
MAGEC1	Xq27.2	2.87	3.44	2.6	3.18	-0.57	0.0864	0.284	CLDN4 Low
FRA10AC1	10q23.33	7.84	7.95	0.58	0.59	-0.11	0.0864	0.284	CLDN4 Low
L1CAM	Xq28	9.9	9.51	1.95	1.94	0.38	0.0865	0.285	CLDN4 High
GPR176	15q14-q15.1	5.51	5.76	1.33	1.28	-0.26	0.0865	0.285	CLDN4 Low
DBIL5P	17p13.3	3.77	3.99	1.09	1.14	-0.22	0.0865	0.285	CLDN4 Low
CSNK1D	17q25.3	11.75	11.84	0.46	0.39	-0.08	0.0866	0.285	CLDN4 Low
ERAP2	5q15	8.46	8.82	1.83	1.81	-0.36	0.0866	0.285	CLDN4 Low
FBXO45	3q29	8.85	8.99	0.71	0.63	-0.13	0.0866	0.285	CLDN4 Low
ZNF773	19q13.43	6.35	6.52	0.87	0.78	-0.16	0.0867	0.285	CLDN4 Low
YAP1	11q22.1	12	12.13	0.67	0.69	-0.13	0.0867	0.285	CLDN4 Low
DPY19L2	12q14.2	4.52	4.81	1.52	1.46	-0.29	0.0867	0.285	CLDN4 Low
PRRG1	Xp21.1	7.92	7.72	0.92	1.11	0.2	0.0868	0.285	CLDN4 High
NT5DC3	12q23.3	7.83	7.96	0.7	0.63	-0.13	0.0868	0.285	CLDN4 Low
ROBO2	3p12.3	5.4	5.05	1.56	1.98	0.35	0.0868	0.285	CLDN4 High
FBXO46	19q13.32	9.55	9.67	0.55	0.67	-0.12	0.0868	0.285	CLDN4 Low
PFDN6	6p21.32	9.14	9.01	0.75	0.66	0.14	0.0868	0.285	CLDN4 High
CBR1	21q22.12	10.09	9.96	0.68	0.69	0.13	0.0868	0.285	CLDN4 High
OMP	11q13.5	1.47	1.28	1	0.99	0.2	0.0868	0.285	CLDN4 High
ATP5MJ	14q32.33	10.7	10.55	0.77	0.75	0.15	0.087	0.285	CLDN4 High
SYCP2	20q13.33	4.72	4.31	2.03	2.16	0.41	0.0871	0.286	CLDN4 High
GAB4	22q11.1	1.14	1.5	1.74	1.9	-0.36	0.0872	0.286	CLDN4 Low
CBLN4	20q13.2	2.41	2.7	1.43	1.56	-0.29	0.0872	0.286	CLDN4 Low
CD5	11q12.2	5.04	5.35	1.48	1.68	-0.31	0.0873	0.286	CLDN4 Low
CISD2	4q24	9.37	9.26	0.58	0.55	0.11	0.0874	0.287	CLDN4 High
GAS2L1	22q12.2	9.39	9.24	0.7	0.82	0.15	0.0874	0.287	CLDN4 High
CENPN	16q23.2	8.55	8.69	0.66	0.72	-0.13	0.0874	0.287	CLDN4 Low
