cohort	slice	sample_id	patient_id	celltype	n
GSE205335	GSE205335	P1006	P1006	TNK	2998
GSE205335	GSE205335	P1015	P1015	TNK	473
GSE205335	GSE205335	P1016	P1016	TNK	763
GSE205335	GSE205335	P1017	P1017	TNK	2370
GSE205335	GSE205335	P1018	P1018	TNK	2546
GSE205335	GSE205335	P1025	P1025	TNK	128
GSE205335	GSE205335	P1027	P1027	TNK	2619
GSE205335	GSE205335	P1030	P1030	TNK	140
GSE205335	GSE205335	P1037	P1037	TNK	611
GSE205335	GSE205335	P1056	P1056	TNK	1354
GSE205335	GSE205335	P1062	P1062	TNK	1934
GSE205335	GSE205335	P1063	P1063	TNK	3144
GSE205335	GSE205335	P1072	P1072	TNK	586
GSE205335	GSE205335	P1076	P1076	TNK	2089
GSE205335	GSE205335	P1079	P1079	TNK	501
GSE205335	GSE205335	P1084	P1084	TNK	2350
GSE205335	GSE205335	P1089	P1089	TNK	272
GSE205335	GSE205335	P1090	P1090	TNK	247
GSE205335	GSE205335	P1115	P1115	TNK	271
GSE205335	GSE205335	P1119	P1119	TNK	621
GSE205335	GSE205335	P4001	P4001	TNK	1801
GSE205335	GSE205335	P0031	P0031	B	826
GSE205335	GSE205335	P1006	P1006	B	385
GSE205335	GSE205335	P1015	P1015	B	39
GSE205335	GSE205335	P1016	P1016	B	200
GSE205335	GSE205335	P1017	P1017	B	502
GSE205335	GSE205335	P1018	P1018	B	394
GSE205335	GSE205335	P1025	P1025	B	49
GSE205335	GSE205335	P1027	P1027	B	99
GSE205335	GSE205335	P1030	P1030	B	44
GSE205335	GSE205335	P1037	P1037	B	91
GSE205335	GSE205335	P1056	P1056	B	133
GSE205335	GSE205335	P1062	P1062	B	486
GSE205335	GSE205335	P1063	P1063	B	754
GSE205335	GSE205335	P1072	P1072	B	107
GSE205335	GSE205335	P1076	P1076	B	2060
GSE205335	GSE205335	P1079	P1079	B	94
GSE205335	GSE205335	P1084	P1084	B	404
GSE205335	GSE205335	P1089	P1089	B	66
GSE205335	GSE205335	P1090	P1090	B	12
GSE205335	GSE205335	P1115	P1115	B	101
GSE205335	GSE205335	P1119	P1119	B	42
GSE205335	GSE205335	P4001	P4001	B	214
GSE205335	GSE205335	P0031	P0031	Other	1459
GSE205335	GSE205335	P1006	P1006	Other	1425
GSE205335	GSE205335	P1015	P1015	Other	392
GSE205335	GSE205335	P1016	P1016	Other	625
GSE205335	GSE205335	P1017	P1017	Other	1208
GSE205335	GSE205335	P1018	P1018	Other	909
GSE205335	GSE205335	P1025	P1025	Other	65
GSE205335	GSE205335	P1027	P1027	Other	564
GSE205335	GSE205335	P1030	P1030	Other	74
GSE205335	GSE205335	P1037	P1037	Other	610
GSE205335	GSE205335	P1056	P1056	Other	1230
GSE205335	GSE205335	P1062	P1062	Other	449
GSE205335	GSE205335	P1063	P1063	Other	268
GSE205335	GSE205335	P1072	P1072	Other	174
GSE205335	GSE205335	P1076	P1076	Other	1977
GSE205335	GSE205335	P1079	P1079	Other	139
GSE205335	GSE205335	P1084	P1084	Other	584
GSE205335	GSE205335	P1089	P1089	Other	208
GSE205335	GSE205335	P1090	P1090	Other	151
GSE205335	GSE205335	P1115	P1115	Other	256
GSE205335	GSE205335	P1119	P1119	Other	501
GSE205335	GSE205335	P4001	P4001	Other	266
GSE253013	GSE253013_tumor	MRC001	MRC001	Epithelial	838
GSE253013	GSE253013_tumor	MRC002	MRC002	Epithelial	470
GSE253013	GSE253013_tumor	MRC003	MRC003	Epithelial	2879
GSE253013	GSE253013_tumor	MRC004	MRC004	Epithelial	805
GSE253013	GSE253013_tumor	MRC006	MRC006	Epithelial	1190
GSE253013	GSE253013_tumor	MRC007	MRC007	Epithelial	2365
GSE253013	GSE253013_tumor	MRC008	MRC008	Epithelial	6068
GSE253013	GSE253013_tumor	MRC009	MRC009	Epithelial	2165
GSE253013	GSE253013_tumor	MRC010	MRC010	Epithelial	2321
GSE253013	GSE253013_tumor	MRC001	MRC001	TNK	812
GSE253013	GSE253013_tumor	MRC002	MRC002	TNK	969
GSE253013	GSE253013_tumor	MRC003	MRC003	TNK	888
GSE253013	GSE253013_tumor	MRC004	MRC004	TNK	22856
GSE253013	GSE253013_tumor	MRC006	MRC006	TNK	11264
GSE253013	GSE253013_tumor	MRC007	MRC007	TNK	7110
GSE253013	GSE253013_tumor	MRC008	MRC008	TNK	4810
GSE253013	GSE253013_tumor	MRC009	MRC009	TNK	11922
GSE253013	GSE253013_tumor	MRC010	MRC010	TNK	15066
GSE253013	GSE253013_tumor	MRC001	MRC001	B	933
GSE253013	GSE253013_tumor	MRC002	MRC002	B	80
GSE253013	GSE253013_tumor	MRC003	MRC003	B	947
GSE253013	GSE253013_tumor	MRC004	MRC004	B	1952
GSE253013	GSE253013_tumor	MRC006	MRC006	B	3476
GSE253013	GSE253013_tumor	MRC007	MRC007	B	4276
GSE253013	GSE253013_tumor	MRC008	MRC008	B	1068
GSE253013	GSE253013_tumor	MRC009	MRC009	B	728
GSE253013	GSE253013_tumor	MRC010	MRC010	B	10314
GSE253013	GSE253013_tumor	MRC001	MRC001	Other	5037
GSE253013	GSE253013_tumor	MRC002	MRC002	Other	3554
GSE253013	GSE253013_tumor	MRC003	MRC003	Other	1745
GSE253013	GSE253013_tumor	MRC004	MRC004	Other	9247
GSE253013	GSE253013_tumor	MRC006	MRC006	Other	4836
GSE253013	GSE253013_tumor	MRC007	MRC007	Other	6638
GSE253013	GSE253013_tumor	MRC008	MRC008	Other	7777
GSE253013	GSE253013_tumor	MRC009	MRC009	Other	14214
GSE253013	GSE253013_tumor	MRC010	MRC010	Other	5585
