sample	TACSTD2	CLDN4	CD8	CYT	GEP18	CD8_AB	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_purity_raw	ESTIMATE_purity	ESTIMATE	ABSOLUTE_purity	LEUK
TCGA-22-5485-01	11.2074	10.9021	6.4603	6.42895	-0.4748334154003916	5.62945	-738.08	-153.44	-891.52	0.8896937359412599	0.8896937359412599	-153.44	0.72	0.118339993899637
TCGA-22-5489-01	9.7585	10.8198	8.9258	8.06785	1.0341777727831698	7.794600000000001	1047.23	1659.65	2706.87	0.5383450019031556	0.5383450019031556	1659.65	0.43	0.377385729218734
TCGA-22-5491-01	14.7166	13.5642	7.5019	6.7924500000000005	-0.3924494397919221	7.003550000000001	-1515.4	-165.84	-1681.25	0.9365296797663846	0.9365296797663846	-165.84	0.67	0.150315485245692
TCGA-22-5492-01	13.3011	11.9523	8.8061	9.1515	0.6366705024069943	7.9803	-14.39	1356.21	1341.81	0.6953070121411503	0.6953070121411503	1356.21	0.56	0.326543502465251
TCGA-22-A5C4-01	11.3341	11.6811	6.7729	6.66315	-0.4693770356084977	5.754099999999999	-1025.71	-270.0	-1295.71	0.9152001625772448	0.9152001625772448	-270.0	0.68	0.185345269035543
TCGA-33-4532-01	12.8848	11.7395	6.4073	6.8067	-0.8939902453665076	5.4671	-1566.59	-715.94	-2282.53	0.9637873584883704	0.9637873584883704	-715.94	0.56	0.0632166098004837
TCGA-33-4533-01	10.307	10.2844	7.6225	6.1015	-0.6153296034980644	7.891349999999999	-82.67	-592.04	-674.71	0.8747156254234854	0.8747156254234854	-592.04	0.7	0.212526858787874
TCGA-33-4538-01	13.4112	12.2038	7.6436	7.0939	-0.15150499145380494	6.6238	-1021.14	-99.03	-1120.17	0.9045133194629097	0.9045133194629097	-99.03	0.59	0.0510104201020701
TCGA-33-4547-01	13.7327	11.6833	5.4883	6.1793499999999995	-0.46680782651766756	6.71585	-109.98	342.96	232.97	0.8025825067748856	0.8025825067748856	342.96	0.49	0.0308212321052788
TCGA-33-4566-01	13.0351	10.3132	9.2865	9.2319	0.8771090806664914	8.21655	-316.24	1248.54	932.29	0.737228944325575	0.737228944325575	1248.54	0.53	0.270582938762248
TCGA-33-4579-01	6.6637	6.5133	7.3201	6.79045	-0.5550561883680346	6.4860500000000005								0.11107291124435
TCGA-33-4582-01	12.5074	11.322	6.7079	6.6591000000000005	-0.5940164430870241	7.494800000000001	-1355.39	-611.53	-1966.91	0.9504028824689896	0.9504028824689896	-611.53	0.54	0.256239723611022
TCGA-33-4583-01	14.3513	12.9785	8.669	9.287199999999999	0.1250720830331237	7.87665	-1354.61	179.46	-1175.15	0.907925421895347	0.907925421895347	179.46	0.52	0.24940642899607
TCGA-33-4586-01	11.2103	11.5707	5.3793	6.4161	-0.8864674293228784	4.51485	-768.14	-415.86	-1183.99	0.9084685266937668	0.9084685266937668	-415.86	0.42	0.385212798560098
TCGA-33-4587-01	11.1967	12.4758	6.409	5.298349999999999	-0.6497834843142709	6.30415	-939.1	-701.82	-1640.91	0.9344372839132177	0.9344372839132177	-701.82	0.88	0.0702946907636451
TCGA-33-4589-01	14.0204	12.3661	9.4903	9.8606	1.302131697417054	8.64415	-397.19	1337.28	940.09	0.7364548841288084	0.7364548841288084	1337.28	0.2	0.52296698837955
TCGA-33-6737-01	12.2107	11.4666	7.8792	8.24435	-0.22646492198172416	6.49555	-89.91	499.82	409.91	0.7868197522049636	0.7868197522049636	499.82	0.48	0.347197067793627
TCGA-33-6738-01	14.8558	14.9813	6.8716	5.9733	-0.4079675672005883	5.58775	-1344.11	-63.54	-1407.65	0.921698203113138	0.921698203113138	-63.54	0.53	0.353625175488196
TCGA-33-A4WN-01	14.4578	13.2857	6.5141	5.559150000000001	-0.4446623642382696	5.567349999999999	-1088.78	-166.63	-1255.41	0.9128001900236977	0.9128001900236977	-166.63	0.39	0.429706742882776
TCGA-33-A5GW-01	14.3119	12.7672	4.574	3.6481	-1.377482385622845	3.43105	-1727.64	-817.66	-2545.3	0.973353911797312	0.973353911797312	-817.66	0.82	0.100282287884226
TCGA-33-AAS8-01	9.8479	10.962	6.0519	6.7616499999999995	-0.7588506377043275	4.76575	-1774.87	-652.86	-2427.73	0.9692517846819689	0.9692517846819689	-652.86	0.64	0.268608489064469
