contrast	symbol	present	logFC_KO_minus_WT_or_deposited	logFC_Cldn4high_minus_low	logCPM	PValue	FDR	panel
VILI_KOlow_vs_WT	Psmb8	True	-0.057674291	0.057674291	4.901178576	0.798396847	1.0	MHC
VILI_KOlow_vs_WT	Psmb9	True	-0.055878992	0.055878992	3.961050032	0.847360316	1.0	MHC
VILI_KOlow_vs_WT	Rsad2	True	1.020464103	-1.020464103	1.876516522	0.01756743	0.550218004	IFN
VILI_KOlow_vs_WT	Sftpc	True	0.0	-0.0	13.4129089	1.0	1.0	EPI
VILI_KOlow_vs_WT	Stat1	True	-0.108736911	0.108736911	5.872364878	0.582677654	1.0	IFN
VILI_KOlow_vs_WT	Stat2	True	-0.190717431	0.190717431	4.797707681	0.392520785	1.0	IFN
VILI_KOlow_vs_WT	Tacstd2	True	-0.053053738	0.053053738	7.224328776	0.766573936	1.0	focal
VILI_KOlow_vs_WT	Tap1	True	-0.442483089	0.442483089	5.280630372	0.033810608	0.774915713	MHC
VILI_KOlow_vs_WT	Tap2	True	-0.272173438	0.272173438	6.190129348	0.143481432	1.0	MHC
VILI_KOlow_vs_WT	Tapbp	True	-0.003006399	0.003006399	7.926928147	0.988664599	1.0	MHC
VILI_KOlow_vs_WT	Tjp1	True	-0.245481074	0.245481074	9.190129348	0.172193466	1.0	TJ
VILI_KOlow_vs_WT	Tjp2	True	0.001417708	-0.001417708	7.427219086	0.997037666	1.0	TJ
VILI_KOlow_vs_WT	Tnf	True	0.598780321	-0.598780321	3.381940257	0.13102943	1.0	focal
VILI_KOlow_vs_WT	Usp18	True	-0.073882129	0.073882129	3.755501121	0.800729606	1.0	IFN
