uid	accession	gdstype	entrytype	n_samples	platform	taxon	pdat	matched_queries	title	summary
200189125	GSE189125			16	21290	Homo sapiens		ici_irae	T cell characteristics associated with toxicity to immune checkpoint blockade in patients with melanoma [scRNA-Seq]	Severe immune-related adverse events (irAEs) occur in up to 60% of melanoma patients treated with immune checkpoint inhibitors (ICIs). However, it remains unknown whether a common baseline immunological state precedes irAE development. Leveraging CyTOF, single-cell RNA sequencing, bulk RNA sequencing, and T cell receptor sequencing to analyze pretreatment blood from metastatic melanoma patients tr
200189184	GSE189184			16	18573	Homo sapiens		ici_colitis	Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - Spatial Transcriptomics	Adult inflammatory bowel disease is incompletely understood. We combine unbiased single-cell RNA sequencing (gene expression profiling, CITE-seq derived cell surface protein data, TCR and BCR sequence data) with unbiased spatial transcriptomics to interrogate changes across immune and non-immune populations in colitis and health, across tissue and blood. We compare idiopathic ulcerative colitis wi
200189754	GSE189754			15	24676;18573	Homo sapiens		ici_colitis	Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - CD45 scRNA-Seq	Adult inflammatory bowel disease is incompletely understood. We combine unbiased single-cell RNA sequencing (gene expression profiling, CITE-seq derived cell surface protein data, TCR and BCR sequence data) with unbiased spatial transcriptomics to interrogate changes across immune and non-immune populations in colitis and health, across tissue and blood. We compare idiopathic ulcerative colitis wi
200202687	GSE202687			15	24676	Homo sapiens		ici_irae	Pilot Trial of Arginine Deprivation plus Nivolumab and Ipilimumab in Patients with Metastatic Uveal Melanoma	Metastatic uveal melanoma (UM) remains challenging to treat, with objective response rates to immune checkpoint blockade (ICB) much lower than in primary cutaneous melanoma (CM). Besides a lower mutational burden, the overall immune-excluded tumor microenvironment of UM might contribute to the poor response rate. We therefore aimed at targeting deficiency in argininosuccinate synthase 1, which is 
200218743	GSE218743			15	24676	Homo sapiens		ici_irae	Interleukin 21 drives CXCR6+ CD8+ T cell mediators in Autoimmune Checkpoint Inhibitor Thyroiditis	Checkpoint inhibitor (ICI) immunotherapy leverages the body’s own immune system to attack cancer cells but leads to unwanted autoimmune side effects in up to 60% of patients. Such immune related adverse events (IrAE) lead to treatment interruption, permanent organ dysfunction, hospitalization and premature death. Thyroiditis is one of the most common IrAE, but the cause of thyroid IrAE remains unk
200260989	GSE260989			14	24676	Homo sapiens		ici_irae	Phase 1 Trial Combining Neoadjuvant Chemotherapy with Chemokine Modulatory Regimen for Triple Negative Breast Cancer	BACKGROUND. Pathologic complete response (pCR) to neoadjuvant chemotherapy (NAC) of triple negative breast cancer (TNBC) predicts long-term outcomes but is achieved only in 30-40% of patients. Higher CTL in the tumor microenvironment (TME) is associated with higher pCR. Combination with anti-PD1 immunotherapy increases pCR but at the cost of immune-related adverse events (irAEs). Our clinical tria
200316069	GSE316069			14	18573;24676	Homo sapiens		ici_colitis	Single-cell Profiling Reveals Diverse γδ T Cell Subsets in Ulcerative Colitis	γδ T cells maintain intestinal immune homeostasis, but their contributions to human ulcerative colitis (UC) are poorly understood. We characterized γδ T cells in intestinal biopsies obtained from patients  with UC and healthy donors using single-cell RNA sequencing, T cell receptor profiling, and mass cytometry. UC reduced CD103+Vγ4Vδ1+  intraepithelial γδ lymphocytes (γδ IELs) and increased γδ T 
200227001	GSE227001			12	24676	Homo sapiens		ici_irae;ici_colitis	Multiomics analysis of immune-related adverse events in melanoma patients treated with immune checkpoint inhibitors	Immune checkpoint inhibitors (ICIs) are a standard-of-care for the treatment of advanced melanoma, but their use is limited by immune-related adverse events (irAEs). Proteomic analysis and multiplex cytokine/chemokine assay from serum at baseline and at irAEs onset in 82 patients indicated aberrant T-cell activity with differential expression of Type I and III immune signatures. This was in line w
200229279	GSE229279			12	24676	Homo sapiens		ici_irae	PD-1 prevents pathogenicity of effector CD8 T cells that infiltrate skin under homeostatic conditions	Self-reactive T cells are part of the peripheral T cell repertoire in healthy individuals. Checkpoint receptors like PD-1 allow the establishment of peripheral tolerance by inducing deletion or anergy of self-reactive CD8 T cells, however the high frequency of immune-related Adverse Events (irAEs) among cancer patients receiving checkpoint receptor inhibitor (CPI) immunotherapy led us to question 
200253723	GSE253723			12	24676	Homo sapiens		ici_colitis	Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis	This SuperSeries is composed of the SubSeries listed below.
200267793	GSE267793			12	24676	Homo sapiens		ici_colitis	BLIMP1 negatively regulates IL-2 signaling in T cells	IL-2 signaling sustains immune homeostasis by fine-tuning the balance between effector and regulatory T cells. Our genome-wide CRISPR knockout screen using IL-2-dependent cells derived from a patient with Adult T-cell Leukemia (ATL) showed enriched sgRNAs targeting PRDM1 (encoding BLIMP1). BLIMP1 inhibits IL-2 production in T cells; however, its role in IL-2 signaling remains unknown. Here, we sho
200277136	GSE277136			10	24676	Homo sapiens		ici_pneumonitis	Single-cell landscape of bronchoalveolar immune cells in patients with immune checkpoint inhibitor-related pneumonitis	We conducted single-cell and T-cell receptor transcriptomic sequencing on the bronchoalveolar lavage fluid from five patients with grade ≥2 immune checkpoint inhibitor-related pneumonitis. Our analyses revealed a prominent enrichment of T cells in the bronchoalveolar lavage fluid of patients with immune checkpoint inhibitor-related pneumonitis.
200171188	GSE171188			9	21290	Homo sapiens		ici_colitis	BMI1 Maintains the Regulatory T cell Epigenomic Landscape to Prevent Inflammatory Bowel Disease (ChIP-Seq)	FOXP3+ Treg cells are expanded within the inflamed intestine of human Crohn’s disease, yet FOXP3-mediated gene repression within these cells is lost. The Polycomb repressive complexes play a role in FOXP3 target gene regulation, but deeper mechanistic insight is incomplete. We have now specifically identified the Polycomb Repressive Complex 1 (PRC1) family member, BMI1 in the regulation of a pro-i
200263840	GSE263840			9	20301	Homo sapiens		ici_irae	Profiling Immune-Independent Response to Immune Checkpoint Inhibitors on Stem Cell-derived Cardiac Organoids	The use of antibody based immune-checkpoint inhibitors (ICIs) have been highly successful in clinical treatment of several cancers. Despite the compelling efficacy of these drugs with their high binding affinity, there is incomplete understanding of non-target interactions in vivo. In this regard, ICIs are also known to cause immune-related adverse events (iRAEs) arising from infiltration of immun
200338317	GSE338317			9	18573	Homo sapiens		ici_irae;ici_colitis	Immune architecture of the colon in ICI-mediated colitis compared with ulcerative colitis	Despite clinical success of immune checkpoint inhibitors (ICI), many cancer patients experience immune-related adverse events (irAEs). Among these, ICI-mediated colitis (IC) is prevalent and is associated with a significant burden on patients and healthcare. Despite resemblance to ulcerative colitis (UC) with respect to clinical symptoms and treatment approaches, IC’s specific causes and cellular 
200267327	GSE267327			8	16791	Homo sapiens		ici_colitis	BLIMP1 negatively regulates IL-2 signaling in T cells	IL-2 signaling sustains immune homeostasis by fine-tuning the balance between effector and regulatory T cells. Our genome-wide CRISPR knockout screen using IL-2-dependent cells derived from a patient with Adult T-cell Leukemia (ATL) showed enriched sgRNAs targeting PRDM1 (encoding BLIMP1). BLIMP1 inhibits IL-2 production in T cells; however, its role in IL-2 signaling remains unknown. Here, we sho
200309403	GSE309403			8	34281	Homo sapiens		ici_irae	CD4+ T-Cells Mediate CART Immune-Related Adverse Events (CirAE) Following BCMA CART Therapy	We employed single-cell RNA sequencing (scRNA-seq) using the 10x Genomics platform to study the immune landscape of CAR T cells in the peripheral blood (PBMC) and cerebrospinal fluid (CSF) of patients treated with Cilta-cel who developed CAR T-cell immune-related adverse events (CiRAE). CAR T cells were captured and profiled across both compartments. This study offers insights into how CAR T cell 
200337888	GSE337888			8	24676	Homo sapiens		ici_colitis	Metabolites from Bifidobacterium adolescentis provide protection against inflammation-induced colonic barrier disruption in vitro and in vivo	Bifidobacteria are common and beneficial members of the gastrointestinal (GI) microbiome. Cultivars of bifidobacterial species common in infants have been better studied and used more frequently as probiotics than adult-type bifidobacteria, in part because they are more tolerant of oxygen. We sought to identify interactions between B. adolescentis – an oxygen-sensitive species that is the most pre
200282123	GSE282123			7	33762	Homo sapiens		ici_colitis	Single-cell spatial transcriptomics of formalin-fixed, paraffin-embedded biopsies reveals colitis-associated cell networks [Xenium]	Imaging-based single-cell spatial transcriptomics (iSCST) on formalin-fixed, paraffin-embedded (FFPE) tissue enables comprehensive analysis of archived specimens while preserving spatial context, critical to an understanding of ulcerative colitis (UC) pathology. Here, we developed, benchmarked, and applied a robust framework for applying iSCST to clinical FFPE mucosal biopsies from patients with U
200132732	GSE132732			6	18573	Homo sapiens		ici_colitis	Human interleukin-4 treated regulatory macrophages promote epithelial wound healing and reduce colitis in an mouse model	Murine alternatively activated macrophages can exert anti-inflammatory effects.  Expanding upon this, we sought to determine the ability of human IL-4-treated macrophages (i.e. hM(IL4)) to promote epithelial wound repair and serve as a novel anti-inflammatory cell transfer treatment for inflammatory bowel disease (IBD).   Blood monocytes from healthy volunteers and patients with Crohn’s disease or
200192580	GSE192580			6	24676	Homo sapiens		ici_irae	Inhibition of the IL-17A axis Protects against Immune-related Adverse Events while Supporting Checkpoint Inhibitor Anti-tumor Efficacy [RNA-seq (human)]	Checkpoint inhibitor (ICI) immunotherapy leverages the body’s own immune system to attack cancer cells but leads to unwanted autoimmune side effects in up to 60% of patients. Such immune related adverse events (IrAE) lead to treatment interruption, permanent organ dysfunction, hospitalization and premature death. Thyroiditis is one of the most common IrAE, but the cause of thyroid IrAE remains unk
200229607	GSE229607			6	24676	Homo sapiens		ici_colitis	Increased motility and suppression of ex vivo-expanded regulatory T cells designed for adoptive transfer therapy in ulcerative colitis	We sequenced non-expanded and expanded Human regulatory T cells. Cells were expanded over the course of 21 days using our previously published GMP-compliant Treg expansion protocol.
200242780	GSE242780			6	24676	Homo sapiens		lung_ici	Single-cell RNA sequencing analysis of peripheral blood mononuclear cells in PD-1-induced renal toxicity in patients with lung cancer	The purpose of the study was to investigate the potential role of the immune system in renal irAEs by analyzing the features of peripheral blood mononuclear cells (PBMC) from patients with renal irAEs using single-cell RNA sequencing (scRNA-seq).
200253720	GSE253720			6	24676	Homo sapiens		ici_irae;ici_colitis	Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [biopsy scRNA_TCR-seq]	Checkpoint inhibitor colitis (CPI colitis) is a frequent immune-related adverse event resulting from cancer immunotherapy that is currently treated with empiric immunosuppression such as corticosteroids. A greater understanding of the pathogenesis of CPI colitis in the steroid-refractory setting is required to develop better colitis interventions targeted to each patient. Using paired colon biopsi
200313662	GSE313662			6	33762	Homo sapiens		ici_irae	Neoadjuvant modified FOLFIRINOX plus nivolumab in borderline-resectable pancreatic ductal adenocarcinoma: a pilot phase 1 trial	Combination therapies of chemotherapy and immune checkpoint inhibitors have failed to improve survival in pancreatic ductal adenocarcinoma (PDAC), except in rare MSI-H cases, despite their success in other solid tumors.  Most prior studies have been conducted in advanced disease. Here, we present clinical, pathologic, and translational results from a phase 1b/2 investigator-initiated study evaluat
200329991	GSE329991			6	24676	Homo sapiens		ici_irae	An Interferon-γ-Driven Myeloid Inflammatory Signature defines Glucocorticoid-Resistance of Immune Checkpoint Inhibitor-Associated Myocarditis	Immune checkpoint inhibitor-associated myocarditis (ICI-myocarditis) is a rare but severe immune-related adverse event characterized by myocardial inflammation and injury. Although high-dose glucocorticoids represent first-line therapy, a subset of patients exhibits persistent myocardial injury despite treatment.  In this study, we analyzed a cohort of 74 patients with ICI-myocarditis and classifi
200124885	GSE124885			4	20795	Homo sapiens		ici_pneumonitis	A CD4 T cell population expand and reshape autoreactive B cells, contributing to autoimmune lung pathology and post-infection autoimmunity in children	Community acquired pneumonia (CAP) is a significant risk factor for autoimmune disease development. However, mechanisms underlying infection and autoimmunity remain elusive. Here, we report selective expansion of autoantibody producing CD21-CD19+ B cells by bronchoalveolar PD-1+CCR2+GZMA+RUNX3+ T helper 1 like (aTh1) cells in children with CAP. In bronchoalveolar lavage, the numbers of aTh1, CD21-
200226869	GSE226869			4	16791	Homo sapiens		ici_irae	Gene expression changes in matched tumor and skin biospy in melanoma patients treated with atezolizumab	Immunotherapies, including immune checkpoint inhibitors (ICI), have revolutionized the treatment of many cancers, producing significant improvements in survival in patients with many different cancers. However, the intended anti-tumor effects also result in a unique form of autoimmunity, known as immune-related adverse events (irAEs), which have emerged as a limiting factor for many immunotherapie
200253721	GSE253721			4	24676	Homo sapiens		ici_irae;ici_colitis	Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [blood CITE_TCR-seq]	Checkpoint inhibitor colitis (CPI colitis) is a frequent immune-related adverse event resulting from cancer immunotherapy that is currently treated with empiric immunosuppression such as corticosteroids. A greater understanding of the pathogenesis of CPI colitis in the steroid-refractory setting is required to develop better colitis interventions targeted to each patient. Using paired colon biopsi
200263176	GSE263176			4	16791	Homo sapiens		lung_ici	The thioredoxin system determines CHK1 inhibitor sensitivity via redox-mediated regulation of ribonucleotide reductase activity	Checkpoint kinase 1 (CHK1) is critical for cell survival under replication stress (RS). CHK1 inhibitors (CHK1i’s) in combination with chemotherapy have shown promising results in preclinical studies but have displayed minimal efficacy with substantial toxicity in clinical trials. To explore combinatorial strategies that can overcome these limitations, we perform an unbiased high-throughput screen 
200272100	GSE272100			4	24676	Homo sapiens		ici_irae	Anti-PD-L1 antibodies exacerbate arthritis and pain via increased production of CXCL8/IL-8 and FGF9 in synovial fibroblasts	Immune checkpoint inhibitors (ICIs) in cancer therapy are challenged for immune-related adverse events (irAEs), such as inflammatory arthritis induced by ICI therapy (ICI-arthritis) and exacerbation of rheumatoid arthritis (RA). As well as activating T cells by inhibiting programmed cell death protein 1 (PD-1)/ programmed death ligand 1 (PD-L1) signal, anti-PD-L1 antibody (αPD-L1 ab) activate intr
200298300	GSE298300			4	18573	Homo sapiens		ici_irae	HE4 regulates anticancer immune evasion by upregulating PD-L1 expression on macrophages through the IFN-γR-STAT3 axis	Current immune checkpoint inhibitors (ICIs) targeting PD-L1/PD-1 have achieved great success in clinical cancer treatment. However, it still faces great challenges, such as a low overall response rate and immune-related adverse events (irAEs). PD-L1 is transcriptionally induced by immune cell-secreted cytokines, such as IFN-γ, in the tumor microenvironment (TME), but whether the expression of PD-L
200264319	GSE264319			3	24676	Homo sapiens		ici_irae	Profiling Immune-Independent Response to Immune Checkpoint Inhibitors on Stem Cell-derived Cardiac Organoids [scRNA-seq]	The use of antibody based immune-checkpoint inhibitors (ICIs) have been highly successful in clinical treatment of several cancers. Despite the compelling efficacy of these drugs with their high binding affinity, there is incomplete understanding of non-target interactions in vivo. In this regard, ICIs are also known to cause immune-related adverse events (iRAEs) arising from infiltration of immun
200289238	GSE289238			3	24676	Homo sapiens		ici_colitis	In vivo co-cultures of colitis-associated cancer epithelial organoids alone or with matched proximal colon fibroblasts or with matched colitis-associated cancer fibroblasts	The pathogenosis of colitis-associated cancer is unclear. These studies use single nuclear RNA-sequencing on human samples to understand the dominant contributions of cell types to the pathogenesis from histologically normal colon, to colitis, to colitis-associated cancer.
200171186	GSE171186			2	21290	Homo sapiens		ici_colitis	BMI1 Maintains the Regulatory T cell Epigenomic Landscape to Prevent Inflammatory Bowel Disease (Human ATAC-Seq)	FOXP3+ Treg cells are expanded within the inflamed intestine of human Crohn’s disease, yet FOXP3-mediated gene repression within these cells is lost. The Polycomb repressive complexes play a role in FOXP3 target gene regulation, but deeper mechanistic insight is incomplete. We have now specifically identified the Polycomb Repressive Complex 1 (PRC1) family member, BMI1 in the regulation of a pro-i
200253095	GSE253095			2	20795	Homo sapiens		ici_colitis	Targeting the FOXP3–T-bet interaction to restore Treg stability in IFN-γ–driven autoimmunity	Regulatory T cell (Treg) stability is maintained by dynamic remodeling of the FOXP3 transcriptional complex, and its disruption leads to Treg dysfunction and immune dysregulation. However, how specific FOXP3 mutations alter the dynamic remodeling of the FOXP3-complex and thereby contribute to pathogenic Treg reprogramming in IPEX syndrome remains unclear. Here, by uncovering the distinctive pathog
200253719	GSE253719			2	24676	Homo sapiens		ici_irae;ici_colitis	Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [biopsy CITEseq]	Checkpoint inhibitor colitis (CPI colitis) is a frequent immune-related adverse event resulting from cancer immunotherapy that is currently treated with empiric immunosuppression such as corticosteroids. A greater understanding of the pathogenesis of CPI colitis in the steroid-refractory setting is required to develop better colitis interventions targeted to each patient. Using paired colon biopsi
200282124	GSE282124			1	33762	Homo sapiens		ici_colitis	Single-cell spatial transcriptomics of formalin-fixed, paraffin-embedded biopsies reveals colitis-associated cell networks [Merscope]	Imaging-based single-cell spatial transcriptomics (iSCST) on formalin-fixed, paraffin-embedded (FFPE) tissue enables comprehensive analysis of archived specimens while preserving spatial context, critical to an understanding of ulcerative colitis (UC) pathology. Here, we developed, benchmarked, and applied a robust framework for applying iSCST to clinical FFPE mucosal biopsies from patients with U
200285888	GSE285888			1	16791	Homo sapiens		ici_irae;lung_ici	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients	Immune checkpoint inhibitors (ICIs) have revolutionized by offering remarkable clinical benefits and durable responses for patients with advanced non-small cell lung cancer (NSCLC). However, a very small percentage of patients responded to ICI treatment, and immune-related adverse events (irAEs) leading to treatment discontinuation remain challenges. Despite the recognized need for biomarkers that
302909629	GSM2909629				20301	Homo sapiens		ici_pneumonitis	P1060815H06 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909630	GSM2909630				20301	Homo sapiens		ici_pneumonitis	P1060815H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909631	GSM2909631				20301	Homo sapiens		ici_pneumonitis	P1060915H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909632	GSM2909632				20301	Homo sapiens		ici_pneumonitis	P1061015H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909633	GSM2909633				20301	Homo sapiens		ici_pneumonitis	P1061115H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909634	GSM2909634				20301	Homo sapiens		ici_pneumonitis	P1061215H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909635	GSM2909635				20301	Homo sapiens		ici_pneumonitis	P1061315H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909636	GSM2909636				20301	Homo sapiens		ici_pneumonitis	P1061415H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909637	GSM2909637				20301	Homo sapiens		ici_pneumonitis	P1061515H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909638	GSM2909638				20301	Homo sapiens		ici_pneumonitis	P1061615H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909639	GSM2909639				20301	Homo sapiens		ici_pneumonitis	P1061715H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909640	GSM2909640				20301	Homo sapiens		ici_pneumonitis	P1061815H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909641	GSM2909641				20301	Homo sapiens		ici_pneumonitis	P1061915H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909642	GSM2909642				20301	Homo sapiens		ici_pneumonitis	P1062015H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909643	GSM2909643				20301	Homo sapiens		ici_pneumonitis	P1062115H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909644	GSM2909644				20301	Homo sapiens		ici_pneumonitis	P1062215H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909645	GSM2909645				20301	Homo sapiens		ici_pneumonitis	P1062315H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909646	GSM2909646				20301	Homo sapiens		ici_pneumonitis	P1062415H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909647	GSM2909647				20301	Homo sapiens		ici_pneumonitis	P1062515H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909648	GSM2909648				20301	Homo sapiens		ici_pneumonitis	P1062615H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909649	GSM2909649				20301	Homo sapiens		ici_pneumonitis	P1062715H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909650	GSM2909650				20301	Homo sapiens		ici_pneumonitis	P1062815H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909651	GSM2909651				20301	Homo sapiens		ici_pneumonitis	P1062915H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909652	GSM2909652				20301	Homo sapiens		ici_pneumonitis	P1063015H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909653	GSM2909653				20301	Homo sapiens		ici_pneumonitis	P1070115H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909654	GSM2909654				20301	Homo sapiens		ici_pneumonitis	P1070215H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909655	GSM2909655				20301	Homo sapiens		ici_pneumonitis	P1070315H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909656	GSM2909656				20301	Homo sapiens		ici_pneumonitis	P1070415H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909657	GSM2909657				20301	Homo sapiens		ici_pneumonitis	P1070515H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909658	GSM2909658				20301	Homo sapiens		ici_pneumonitis	P1070615H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909659	GSM2909659				20301	Homo sapiens		ici_pneumonitis	P1070715H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909660	GSM2909660				20301	Homo sapiens		ici_pneumonitis	P1071315H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909661	GSM2909661				20301	Homo sapiens		ici_pneumonitis	P1072015H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909662	GSM2909662				20301	Homo sapiens		ici_pneumonitis	P1081015H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909663	GSM2909663				20301	Homo sapiens		ici_pneumonitis	P1091415H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909664	GSM2909664				20301	Homo sapiens		ici_pneumonitis	P1101215H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909665	GSM2909665				20301	Homo sapiens		ici_pneumonitis	P1110915H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909666	GSM2909666				20301	Homo sapiens		ici_pneumonitis	P1120715H08 [saliva RNA-seq]	saliva_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909667	GSM2909667				20301	Homo sapiens		ici_pneumonitis	P1011116H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909668	GSM2909668				20301	Homo sapiens		ici_pneumonitis	P1021516H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909669	GSM2909669				20301	Homo sapiens		ici_pneumonitis	P1030315H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909670	GSM2909670				20301	Homo sapiens		ici_pneumonitis	P1031416H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909671	GSM2909671				16791	Homo sapiens		ici_pneumonitis	P1040615H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909672	GSM2909672				16791	Homo sapiens		ici_pneumonitis	P1041315H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909673	GSM2909673				16791	Homo sapiens		ici_pneumonitis	P1042015H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909674	GSM2909674				16791	Homo sapiens		ici_pneumonitis	P1042715H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909675	GSM2909675				16791	Homo sapiens		ici_pneumonitis	P1050415H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909676	GSM2909676				16791	Homo sapiens		ici_pneumonitis	P1051115H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909677	GSM2909677				20301	Homo sapiens		ici_pneumonitis	P1051815H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909678	GSM2909678				20301	Homo sapiens		ici_pneumonitis	P1052615H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909679	GSM2909679				16791	Homo sapiens		ici_pneumonitis	P1060215H08 [PBMCs_RNA-seq]	PBMCs_pre-vaccination respons for pneumococcal vaccine (PPSV23)
302909680	GSM2909680				16791	Homo sapiens		ici_pneumonitis	P1060815H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909681	GSM2909681				16791	Homo sapiens		ici_pneumonitis	P1061515H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909682	GSM2909682				16791	Homo sapiens		ici_pneumonitis	P1062215H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909683	GSM2909683				16791	Homo sapiens		ici_pneumonitis	P1062915H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909684	GSM2909684				20301	Homo sapiens		ici_pneumonitis	P1070615H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909685	GSM2909685				20301	Homo sapiens		ici_pneumonitis	P1071315H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909686	GSM2909686				20301	Homo sapiens		ici_pneumonitis	P1072015H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909687	GSM2909687				20301	Homo sapiens		ici_pneumonitis	P1081015H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909688	GSM2909688				20301	Homo sapiens		ici_pneumonitis	P1091415H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909689	GSM2909689				20301	Homo sapiens		ici_pneumonitis	P1101215H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
302909690	GSM2909690				20301	Homo sapiens		ici_pneumonitis	P1110915H08 [PBMCs_RNA-seq]	PBMCs_post-vaccination respons for pneumococcal vaccine (PPSV23)
