donor	cohort_id	matrix	compartment	CLDN4	PRKDC	LIG4	STING1	HLA-A	HLA-B	HLA-C	PTPRC	EPCAM	n_aliquots	NHEJ_mean	MHC_I
TCGA-77-6845	TCGA-LUSC	Toil	TCGA_solid_primary	7.0108	5.7377	1.5165	4.4216	6.8474	7.1288	7.0564	0.8164	9.4498	1	3.6271	7.010866666666668
TCGA-77-7138	TCGA-LUSC	Toil	TCGA_solid_primary	6.0773	5.6436	3.866	5.5862	9.2375	9.5748	8.1705	1.8242	5.4948	1	4.7548	8.994266666666666
TCGA-77-7139	TCGA-LUSC	Toil	TCGA_solid_primary	8.0924	7.4373	1.9564	3.6113	8.6673	9.0403	7.4233	2.8462	9.8742	1	4.6968499999999995	8.376966666666666
TCGA-77-7140	TCGA-LUSC	Toil	TCGA_solid_primary	5.8699	6.9774	0.4865	4.0601	7.7579	8.249	7.3464	1.1382	9.5987	1	3.7319500000000003	7.784433333333333
TCGA-77-7141	TCGA-LUSC	Toil	TCGA_solid_primary	8.2926	6.7602	2.0535	3.9608	8.7081	9.6652	8.917	3.2328	9.4015	1	4.40685	9.096766666666667
TCGA-77-7142	TCGA-LUSC	Toil	TCGA_solid_primary	5.9148	6.1365	1.9712	5.1811	10.3532	9.9206	9.6163	3.835	9.2841	1	4.05385	9.963366666666667
TCGA-77-7335	TCGA-LUSC	Toil	TCGA_solid_primary	5.9923	4.4945	1.1184	4.9892	10.6358	11.4934	10.1029	4.4496	7.066	1	2.8064500000000003	10.744033333333332
TCGA-77-7337	TCGA-LUSC	Toil	TCGA_solid_primary	6.1477	6.442	2.7657	5.9489	9.8232	9.8263	9.0543	3.9865	6.9455	1	4.6038499999999996	9.567933333333334
TCGA-77-7338	TCGA-LUSC	Toil	TCGA_solid_primary	7.6995	6.5325	2.6783	5.7355	9.1858	9.3794	8.6908	4.2884	6.7174	1	4.6053999999999995	9.085333333333333
TCGA-77-7463	TCGA-LUSC	Toil	TCGA_solid_primary	5.2788	8.207	1.5465	4.7242	7.6316	8.0908	6.3187	2.2931	6.7107	1	4.87675	7.347033333333333
TCGA-77-7465	TCGA-LUSC	Toil	TCGA_solid_primary	4.4608	6.302	2.2452	5.3086	9.7688	10.098	8.4545	4.6077	7.0649	1	4.2736	9.440433333333333
TCGA-77-8007	TCGA-LUSC	Toil	TCGA_solid_primary	7.6518	7.5051	2.6185	6.5358	11.2582	11.2622	10.7604	5.2724	8.02	1	5.0618	11.0936
TCGA-77-8008	TCGA-LUSC	Toil	TCGA_solid_primary	5.8268	6.0206	2.4386	6.4058	10.5567	11.0404	10.2853	4.4732	2.167	1	4.2296	10.627466666666665
TCGA-77-8009	TCGA-LUSC	Toil	TCGA_solid_primary	1.1117	6.8225	1.177	5.9267	9.8263	9.7029	8.3958	2.909	8.5391	1	3.9997499999999997	9.308333333333332
TCGA-77-8128	TCGA-LUSC	Toil	TCGA_solid_primary	6.7966	6.7513	1.949	4.546	9.3541	8.2095	9.0189	1.196	8.4683	1	4.35015	8.860833333333334
TCGA-77-8130	TCGA-LUSC	Toil	TCGA_solid_primary	5.1514	7.2331	0.8568	5.7616	9.5362	9.5408	9.5697	1.1577	4.9621	1	4.04495	9.548899999999998
TCGA-77-8131	TCGA-LUSC	Toil	TCGA_solid_primary	7.6786	5.5993	1.3623	6.2563	10.7248	11.3931	10.5035	5.0648	4.2196	1	3.4808000000000003	10.873800000000001
TCGA-77-8133	TCGA-LUSC	Toil	TCGA_solid_primary	7.8108	6.6813	2.2663	5.2001	9.8265	10.6929	9.9088	5.7488	6.862	1	4.473800000000001	10.142733333333332
TCGA-77-8136	TCGA-LUSC	Toil	TCGA_solid_primary	6.0343	6.774	1.6187	6.2634	10.8085	11.4271	11.0199	4.9298	5.864	1	4.19635	11.085166666666666
TCGA-77-8138	TCGA-LUSC	Toil	TCGA_solid_primary	8.3936	7.1981	1.2271	6.4246	10.1086	10.5512	10.4976	2.9637	6.4239	1	4.2126	10.385799999999998
TCGA-77-8139	TCGA-LUSC	Toil	TCGA_solid_primary	6.5835	7.6873	0.9115	5.9186	8.8851	8.9877	7.9652	2.8838	7.5242	1	4.2993999999999994	8.612666666666666
TCGA-77-8140	TCGA-LUSC	Toil	TCGA_solid_primary	8.8348	7.2811	2.3394	6.6903	8.0943	8.1702	6.9599	1.9264	6.8845	1	4.81025	7.741466666666667
TCGA-77-8143	TCGA-LUSC	Toil	TCGA_solid_primary	7.3678	7.2386	0.7233	4.735	7.7347	8.7898	6.937	2.651	9.2207	1	3.98095	7.8205
TCGA-77-8144	TCGA-LUSC	Toil	TCGA_solid_primary	3.5411	6.5702	1.2333	4.975	9.4781	9.5683	9.3238	1.8484	5.5729	1	3.90175	9.456733333333332
TCGA-77-8145	TCGA-LUSC	Toil	TCGA_solid_primary	7.4236	6.8554	1.8996	6.0568	10.555	9.8665	10.1188	2.6602	6.3752	1	4.3775	10.180100000000001
TCGA-77-8146	TCGA-LUSC	Toil	TCGA_solid_primary	7.7112	6.4783	0.7493	5.5844	9.9451	9.4549	8.2132	2.9338	7.458	1	3.6138	9.2044
TCGA-77-8148	TCGA-LUSC	Toil	TCGA_solid_primary	6.1733	6.9135	1.9073	4.9341	9.889	10.024	9.8958	2.8858	8.5258	1	4.4104	9.936266666666667
TCGA-77-8150	TCGA-LUSC	Toil	TCGA_solid_primary	8.0231	6.5141	0.8246	5.0892	9.7366	9.3875	8.5415	4.034	7.7975	1	3.66935	9.221866666666665
TCGA-77-8153	TCGA-LUSC	Toil	TCGA_solid_primary	7.8987	7.1893	1.934	4.8954	7.9602	7.3466	7.856	1.5465	8.7037	1	4.56165	7.720933333333332
TCGA-77-8154	TCGA-LUSC	Toil	TCGA_solid_primary	5.558	6.7946	1.0293	4.9407	8.8373	8.9084	7.0564	0.9115	7.5462	1	3.91195	8.267366666666666
TCGA-77-8156	TCGA-LUSC	Toil	TCGA_solid_primary	7.3524	6.6314	2.2051	5.2157	10.3138	10.387	9.0526	5.1887	9.5078	1	4.4182500000000005	9.9178
TCGA-77-A5FZ	TCGA-LUSC	Toil	TCGA_solid_primary	6.4795	5.0113	2.2842	6.808	10.0706	11.2212	10.0021	6.516	5.8151	1	3.6477500000000003	10.4313
TCGA-77-A5G1	TCGA-LUSC	Toil	TCGA_solid_primary	7.1171	5.3758	2.004	6.3558	9.3901	9.6412	8.2253	4.0383	6.7988	1	3.6898999999999997	9.085533333333334
TCGA-77-A5G3	TCGA-LUSC	Toil	TCGA_solid_primary	7.8023	6.7509	2.0569	4.4906	8.9534	9.154	7.9338	3.0252	9.5633	1	4.4039	8.680399999999999
TCGA-77-A5G6	TCGA-LUSC	Toil	TCGA_solid_primary	6.7689	6.6345	2.0147	4.8525	8.5104	7.7872	6.6184	2.4252	7.3757	1	4.3246	7.638666666666668
TCGA-77-A5G7	TCGA-LUSC	Toil	TCGA_solid_primary	4.9165	6.2038	1.614	4.4108	8.5724	8.1937	8.7772	1.4652	7.9648	1	3.9089	8.514433333333335
TCGA-77-A5G8	TCGA-LUSC	Toil	TCGA_solid_primary	6.5688	6.2114	0.8246	4.7846	8.4343	8.6044	7.559	2.6019	6.9465	1	3.5180000000000002	8.199233333333334
TCGA-77-A5GA	TCGA-LUSC	Toil	TCGA_solid_primary	6.6941	5.7096	0.5568	4.7677	8.1617	8.3454	7.6155	2.1988	7.6487	1	3.1332	8.040866666666668
TCGA-77-A5GB	TCGA-LUSC	Toil	TCGA_solid_primary	2.8994	7.1093	1.8564	5.5333	10.3209	10.9855	9.8766	3.091	2.6185	1	4.48285	10.394333333333334
TCGA-77-A5GF	TCGA-LUSC	Toil	TCGA_solid_primary	7.2849	6.4239	1.8444	3.831	10.3278	10.2582	9.1838	3.6136	7.9979	1	4.13415	9.923266666666665
TCGA-77-A5GH	TCGA-LUSC	Toil	TCGA_solid_primary	7.4877	7.2948	3.1011	7.2312	10.0109	11.1288	10.2117	5.1161	4.796	1	5.1979500000000005	10.450466666666665
TCGA-79-5596	TCGA-LUSC	Toil	TCGA_solid_primary	8.4677	6.8359	1.9638	4.3827	9.3905	8.3351	8.2677	1.642	8.5913	1	4.39985	8.664433333333333
TCGA-85-6175	TCGA-LUSC	Toil	TCGA_solid_primary	6.3681	6.202	2.1925	5.8849	10.2064	11.003	10.2241	5.2902	5.8278	1	4.19725	10.477833333333335
TCGA-85-6560	TCGA-LUSC	Toil	TCGA_solid_primary	3.0791	7.9273	2.3164	5.1997	9.7332	10.0484	8.9267	4.7263	8.3217	1	5.12185	9.569433333333334
TCGA-85-6561	TCGA-LUSC	Toil	TCGA_solid_primary	6.1649	6.1125	1.3623	5.2453	9.3302	10.0443	9.3652	5.1273	6.995	1	3.7374	9.5799
TCGA-85-6798	TCGA-LUSC	Toil	TCGA_solid_primary	7.0483	6.6091	1.0079	4.3723	8.8738	8.638	8.2916	0.2642	8.5024	1	3.8085	8.601133333333335
TCGA-85-7696	TCGA-LUSC	Toil	TCGA_solid_primary	7.4513	6.0659	2.578	5.5753	9.9521	9.6227	9.4701	2.8402	8.0964	1	4.32195	9.681633333333332
TCGA-85-7697	TCGA-LUSC	Toil	TCGA_solid_primary	7.1497	6.4328	1.6466	5.383	10.6429	10.3442	9.1972	4.1053	6.4804	1	4.0397	10.061433333333333
TCGA-85-7698	TCGA-LUSC	Toil	TCGA_solid_primary	7.737	6.4454	2.1638	5.5126	10.0929	9.9641	9.1989	4.6376	7.7221	1	4.304600000000001	9.751966666666668
TCGA-85-7699	TCGA-LUSC	Toil	TCGA_solid_primary	5.3445	7.3871	2.0218	5.6539	10.1134	10.535	9.6836	5.5862	6.5512	1	4.70445	10.110666666666667
TCGA-85-7710	TCGA-LUSC	Toil	TCGA_solid_primary	6.6813	5.975	2.0673	4.8207	11.0712	11.1703	10.1431	3.5411	5.7597	1	4.02115	10.794866666666666
TCGA-85-7843	TCGA-LUSC	Toil	TCGA_solid_primary	4.9982	6.7786	2.2573	5.4572	9.2668	9.8342	9.6468	3.6301	7.9349	1	4.51795	9.5826
TCGA-85-7844	TCGA-LUSC	Toil	TCGA_solid_primary	5.5525	5.8123	1.766	6.2176	9.0814	9.6077	9.1357	4.17	7.645	1	3.78915	9.274933333333333
TCGA-85-7950	TCGA-LUSC	Toil	TCGA_solid_primary	6.2311	7.3407	3.4224	6.4131	10.8732	11.8493	9.5615	4.6514	5.3768	1	5.38155	10.761333333333333
TCGA-85-8048	TCGA-LUSC	Toil	TCGA_solid_primary	7.1622	6.3916	2.5437	7.9482	11.071	11.2229	10.1491	5.5336	6.3093	1	4.46765	10.814333333333332
TCGA-85-8049	TCGA-LUSC	Toil	TCGA_solid_primary	7.887	5.4754	1.4494	5.6639	9.5982	9.9117	9.1084	5.2331	5.9153	1	3.4623999999999997	9.539433333333333
TCGA-85-8052	TCGA-LUSC	Toil	TCGA_solid_primary	6.8884	7.1953	1.6374	4.7491	9.8506	9.2043	8.745	3.1572	8.4362	1	4.4163499999999996	9.266633333333333
TCGA-85-8070	TCGA-LUSC	Toil	TCGA_solid_primary	9.1013	6.3149	1.2516	4.3723	8.9724	9.1322	7.8425	0.6239	10.2893	1	3.78325	8.649033333333334
TCGA-85-8071	TCGA-LUSC	Toil	TCGA_solid_primary	4.8172	6.7812	1.0573	5.7057	10.37	9.5778	8.8426	2.7742	7.9128	1	3.91925	9.5968
TCGA-85-8072	TCGA-LUSC	Toil	TCGA_solid_primary	8.1837	5.9991	1.6466	5.9939	10.2796	10.7116	10.5064	3.5299	8.377	1	3.8228500000000003	10.4992
TCGA-85-8276	TCGA-LUSC	Toil	TCGA_solid_primary	6.2281	5.4903	1.0222	5.2265	9.8171	10.5378	9.9794	4.2017	6.877	1	3.25625	10.111433333333332
TCGA-85-8277	TCGA-LUSC	Toil	TCGA_solid_primary	5.9688	5.9338	1.2394	4.5236	8.5552	9.6395	8.4969	3.0323	7.8852	1	3.5866	8.8972
TCGA-85-8287	TCGA-LUSC	Toil	TCGA_solid_primary	6.9118	5.7145	1.4011	5.8092	9.8766	10.3951	10.0487	4.957	5.2627	1	3.5578000000000003	10.1068
TCGA-85-8288	TCGA-LUSC	Toil	TCGA_solid_primary	7.1333	6.7485	1.8484	5.8919	10.7823	10.7887	9.6766	3.5035	6.1534	1	4.29845	10.415866666666666
TCGA-85-8350	TCGA-LUSC	Toil	TCGA_solid_primary	8.1018	6.3532	1.8918	7.0001	10.3769	10.7065	10.3466	3.5875	6.6482	1	4.1225000000000005	10.476666666666667
TCGA-85-8351	TCGA-LUSC	Toil	TCGA_solid_primary	7.7908	6.639	1.2394	5.7442	10.1646	9.903	9.4314	2.9281	7.569	1	3.9392	9.833
TCGA-85-8352	TCGA-LUSC	Toil	TCGA_solid_primary	8.4099	6.7552	0.6332	2.0004	8.3609	8.3365	7.7225	3.4034	8.9505	1	3.6942000000000004	8.139966666666668
TCGA-85-8353	TCGA-LUSC	Toil	TCGA_solid_primary	6.3147	6.0525	2.0638	5.9711	9.5963	9.5942	8.7265	4.466	7.2665	1	4.05815	9.305666666666667
TCGA-85-8354	TCGA-LUSC	Toil	TCGA_solid_primary	7.1261	6.4529	0.5859	4.918	8.2777	8.073	7.5791	1.3791	8.3416	1	3.5193999999999996	7.9766
TCGA-85-8355	TCGA-LUSC	Toil	TCGA_solid_primary	7.6193	6.0527	2.3926	5.314	10.7308	10.615	9.4838	6.3634	7.3903	1	4.22265	10.276533333333333
TCGA-85-8479	TCGA-LUSC	Toil	TCGA_solid_primary	5.8397	6.3711	2.2723	5.7963	8.314	7.2761	7.9927	0.1519	6.1589	1	4.3217	7.860933333333333
TCGA-85-8481	TCGA-LUSC	Toil	TCGA_solid_primary	8.9253	6.3922	1.7229	5.8071	10.3588	11.0336	9.71	3.1653	6.5415	1	4.05755	10.367466666666667
TCGA-85-8580	TCGA-LUSC	Toil	TCGA_solid_primary	7.246	7.5227	2.1444	5.4033	8.9867	9.4097	8.4545	3.7992	7.5498	1	4.833550000000001	8.9503
TCGA-85-8582	TCGA-LUSC	Toil	TCGA_solid_primary	6.8125	6.9268	1.949	6.7491	9.9324	9.929	9.25	4.0392	5.7506	1	4.4379	9.7038
TCGA-85-8584	TCGA-LUSC	Toil	TCGA_solid_primary	8.6186	6.106	1.6512	5.2126	11.8712	11.9067	10.715	3.9251	8.3502	1	3.8786	11.497633333333335
TCGA-85-8664	TCGA-LUSC	Toil	TCGA_solid_primary	6.5037	7.5772	0.9115	6.9388	8.3477	7.3703	7.2011	1.2455	7.2194	1	4.24435	7.6397
TCGA-85-8666	TCGA-LUSC	Toil	TCGA_solid_primary	7.9738	7.5332	2.0325	5.5678	9.4261	9.9224	9.392	3.8239	7.9001	1	4.78285	9.580166666666667
TCGA-85-A4CL	TCGA-LUSC	Toil	TCGA_solid_primary	6.56	4.0082	2.0638	4.2119	9.2757	9.4527	7.8065	2.9413	7.7699	1	3.0360000000000005	8.844966666666666
TCGA-85-A4CN	TCGA-LUSC	Toil	TCGA_solid_primary	7.1547	6.264	0.8883	5.3813	9.7723	9.4387	8.703	2.609	8.5125	1	3.57615	9.304666666666666
TCGA-85-A4JB	TCGA-LUSC	Toil	TCGA_solid_primary	6.5233	7.4636	1.5013	6.4023	8.3451	8.879	7.6802	2.4035	7.8499	1	4.48245	8.301433333333334
TCGA-85-A4JC	TCGA-LUSC	Toil	TCGA_solid_primary	6.2974	5.842	1.1512	6.0781	9.1076	9.7427	8.6092	2.4225	4.6247	1	3.4966	9.153166666666666
TCGA-85-A4PA	TCGA-LUSC	Toil	TCGA_solid_primary	3.453	6.121	3.0181	6.0738	10.6451	10.9092	9.7037	7.2911	2.9224	1	4.5695500000000004	10.419333333333332
TCGA-85-A4QQ	TCGA-LUSC	Toil	TCGA_solid_primary	6.4999	7.0823	1.2992	5.4125	7.8224	8.8269	7.4035	1.6281	5.7745	1	4.1907499999999995	8.0176
TCGA-85-A4QR	TCGA-LUSC	Toil	TCGA_solid_primary	7.5586	6.7075	0.9419	5.2064	8.2456	8.4456	8.9368	-2.114	8.3428	1	3.8247	8.542666666666667
TCGA-85-A50M	TCGA-LUSC	Toil	TCGA_solid_primary	8.3912	5.9315	2.6918	4.7121	9.4449	8.9478	8.5019	3.4596	7.7702	1	4.31165	8.964866666666667
TCGA-85-A50Z	TCGA-LUSC	Toil	TCGA_solid_primary	3.4609	6.1237	1.2576	4.5224	8.5068	8.6275	8.4665	3.4034	6.6879	1	3.69065	8.5336
TCGA-85-A510	TCGA-LUSC	Toil	TCGA_solid_primary	6.8511	7.3441	1.7954	4.5928	8.918	9.52	8.3713	4.1555	8.6919	1	4.56975	8.936433333333333
TCGA-85-A511	TCGA-LUSC	Toil	TCGA_solid_primary	6.4842	6.4907	2.2206	5.7767	10.5496	11.0527	9.8944	3.97	7.6967	1	4.355650000000001	10.498899999999999
TCGA-85-A512	TCGA-LUSC	Toil	TCGA_solid_primary	8.2444	6.6555	0.7916	4.0901	8.7682	9.116	7.8366	2.0638	8.0041	1	3.72355	8.5736
TCGA-85-A513	TCGA-LUSC	Toil	TCGA_solid_primary	7.7072	5.0295	1.4652	6.3915	9.9725	10.5448	10.201	3.9774	7.1369	1	3.24735	10.239433333333332
TCGA-85-A53L	TCGA-LUSC	Toil	TCGA_solid_primary	7.3194	5.9284	0.7321	5.8238	8.9101	8.7285	7.7295	1.8996	8.0751	1	3.33025	8.456033333333332
TCGA-85-A5B5	TCGA-LUSC	Toil	TCGA_solid_primary	6.6289	5.8977	1.8643	4.3406	8.2997	8.5385	6.9216	1.736	7.9959	1	3.8810000000000002	7.919933333333333
TCGA-90-6837	TCGA-LUSC	Toil	TCGA_solid_primary	6.9841	6.1896	1.5709	5.0414	9.4804	10.0096	9.1778	3.4817	5.9038	1	3.88025	9.555933333333334
TCGA-90-7766	TCGA-LUSC	Toil	TCGA_solid_primary	7.3281	6.2676	1.9226	4.8555	8.9495	9.4019	8.8074	4.9031	7.4943	1	4.0951	9.052933333333334
TCGA-90-7767	TCGA-LUSC	Toil	TCGA_solid_primary	2.7551	7.2876	1.6281	5.7453	10.0795	10.7175	9.2425	4.8146	5.7727	1	4.4578500000000005	10.013166666666665
TCGA-90-7769	TCGA-LUSC	Toil	TCGA_solid_primary	9.4323	6.4489	1.1706	3.5349	6.2765	7.1274	6.5937	1.1577	8.5823	1	3.80975	6.665866666666666
TCGA-90-7964	TCGA-LUSC	Toil	TCGA_solid_primary	8.3248	5.8316	0.605	6.3167	8.9153	8.3382	7.842	3.3979	8.1279	1	3.2183	8.365166666666667
TCGA-90-A4ED	TCGA-LUSC	Toil	TCGA_solid_primary	4.2661	5.3402	1.9564	4.7746	9.3249	10.0136	9.3683	2.0742	7.3584	1	3.6483	9.568933333333334
TCGA-90-A4EE	TCGA-LUSC	Toil	TCGA_solid_primary	5.5116	6.5827	1.9527	5.6294	10.5613	11.1935	9.9784	5.8281	7.507	1	4.2677	10.577733333333333
TCGA-90-A59Q	TCGA-LUSC	Toil	TCGA_solid_primary	7.0849	4.1579	3.309	5.1756	10.7485	11.5233	9.8415	4.6832	6.4199	1	3.73345	10.704433333333332
TCGA-92-7340	TCGA-LUSC	Toil	TCGA_solid_primary	5.7296	6.7281	1.177	5.7753	9.2499	10.2229	8.43	4.085	5.425	1	3.9525500000000005	9.300933333333333
TCGA-92-7341	TCGA-LUSC	Toil	TCGA_solid_primary	8.145	6.456	1.3679	5.3657	9.8302	9.6516	7.7594	2.8158	8.6338	1	3.91195	9.0804
TCGA-92-8063	TCGA-LUSC	Toil	TCGA_solid_primary	8.6668	6.9518	1.3225	6.1115	9.0081	9.2975	9.452	3.1604	8.8268	1	4.13715	9.252533333333332
TCGA-92-8064	TCGA-LUSC	Toil	TCGA_solid_primary	7.3651	6.1983	1.3225	4.7088	10.1784	10.9505	9.1408	5.3555	7.1154	1	3.7603999999999997	10.0899
TCGA-92-8065	TCGA-LUSC	Toil	TCGA_solid_primary	6.5848	5.4706	2.1766	4.4324	8.6752	9.5474	9.4491	4.0127	6.1999	1	3.8236	9.2239
TCGA-94-7033	TCGA-LUSC	Toil	TCGA_solid_primary	5.8659	5.4416	1.1577	5.1871	10.304	10.7415	10.0297	-0.0425	6.9281	1	3.29965	10.358400000000001
TCGA-94-7557	TCGA-LUSC	Toil	TCGA_solid_primary	8.1462	7.0056	1.5115	5.1835	9.5014	9.5479	7.9025	3.2018	8.6925	1	4.2585500000000005	8.983933333333335
TCGA-94-7943	TCGA-LUSC	Toil	TCGA_solid_primary	8.4223	6.5968	2.1047	5.0126	9.6986	9.4224	8.7573	3.0859	8.7597	1	4.35075	9.292766666666667
TCGA-94-8035	TCGA-LUSC	Toil	TCGA_solid_primary	6.7598	6.5844	1.3511	5.4559	8.4031	7.928	7.312	2.4332	7.5319	1	3.9677499999999997	7.881033333333334
TCGA-94-8490	TCGA-LUSC	Toil	TCGA_solid_primary	7.3784	6.4469	2.3048	4.5173	7.9478	7.363	8.1736	1.0847	8.0606	1	4.37585	7.828133333333334
TCGA-94-8491	TCGA-LUSC	Toil	TCGA_solid_primary	8.9846	5.4047	1.2815	5.8968	9.2175	9.3839	8.2119	3.7193	7.5769	1	3.3431	8.937766666666667
TCGA-94-A4VJ	TCGA-LUSC	Toil	TCGA_solid_primary	7.4443	5.403	1.0293	4.7571	10.8827	11.6155	10.4122	2.791	7.0667	1	3.21615	10.970133333333335
TCGA-94-A5I4	TCGA-LUSC	Toil	TCGA_solid_primary	8.8755	7.0792	1.674	4.9505	9.1416	9.2742	9.0878	2.296	8.096	1	4.3766	9.167866666666667
TCGA-94-A5I6	TCGA-LUSC	Toil	TCGA_solid_primary	7.1039	6.8323	2.2175	5.4483	9.1548	8.6304	8.3665	2.4753	8.3179	1	4.5249	8.717233333333333
TCGA-96-7544	TCGA-LUSC	Toil	TCGA_solid_primary	5.0566	6.0246	1.7786	4.2758	8.3597	8.9721	7.8142	4.5994	7.6815	1	3.9016	8.382
TCGA-96-7545	TCGA-LUSC	Toil	TCGA_solid_primary	7.1164	6.202	1.9895	5.7916	9.3222	10.026	9.1354	5.2246	10.8614	1	4.09575	9.494533333333333
TCGA-96-8169	TCGA-LUSC	Toil	TCGA_solid_primary	7.5187	6.6302	1.2576	5.9552	10.0596	10.4295	9.3495	3.2205	7.1631	1	3.9439	9.9462
TCGA-96-8170	TCGA-LUSC	Toil	TCGA_solid_primary	7.4589	6.62	2.0946	6.3122	9.6002	9.8735	9.1448	3.5498	5.0972	1	4.3573	9.5395
TCGA-96-A4JK	TCGA-LUSC	Toil	TCGA_solid_primary	6.0609	7.1796	1.0007	4.026	10.3565	10.4022	9.4844	3.644	8.7268	1	4.0901499999999995	10.081033333333334
TCGA-96-A4JL	TCGA-LUSC	Toil	TCGA_solid_primary	11.2942	6.9479	2.6962	7.1684	10.336	11.2289	9.7479	5.5129	7.0781	1	4.82205	10.437600000000002
TCGA-98-7454	TCGA-LUSC	Toil	TCGA_solid_primary	4.3385	5.7239	2.4386	5.8146	9.6977	10.3599	9.4671	5.9491	7.6624	1	4.081250000000001	9.841566666666667
TCGA-98-8020	TCGA-LUSC	Toil	TCGA_solid_primary	5.858	6.9346	2.3704	6.0159	10.5016	10.9101	10.0956	3.8126	4.1011	1	4.6525	10.502433333333334
TCGA-98-8022	TCGA-LUSC	Toil	TCGA_solid_primary	7.5683	5.588	1.8564	6.0883	11.0343	11.5166	11.0898	3.2018	6.3782	1	3.7222	11.213566666666665
TCGA-98-8023	TCGA-LUSC	Toil	TCGA_solid_primary	5.943	6.3318	1.4652	6.1083	10.4187	9.7994	10.0843	4.3958	6.4212	1	3.8985000000000003	10.1008
TCGA-98-A538	TCGA-LUSC	Toil	TCGA_solid_primary	7.147	7.4259	0.7321	5.4986	8.0957	9.1711	7.5965	3.6172	8.1241	1	4.079000000000001	8.287766666666666
TCGA-98-A539	TCGA-LUSC	Toil	TCGA_solid_primary	5.632	6.8813	1.3109	4.6387	9.2325	8.9668	7.6581	2.9637	6.1683	1	4.0961	8.619133333333334
TCGA-98-A53A	TCGA-LUSC	Toil	TCGA_solid_primary	6.7593	7.1343	2.0254	4.2781	8.2133	8.7012	7.7196	2.8974	8.8396	1	4.5798499999999995	8.211366666666667
TCGA-98-A53B	TCGA-LUSC	Toil	TCGA_solid_primary	6.9808	6.6907	2.0707	6.5283	11.3471	10.2091	9.429	3.9645	8.1178	1	4.3807	10.3284
TCGA-98-A53C	TCGA-LUSC	Toil	TCGA_solid_primary	6.1208	5.2521	2.6533	6.5284	10.181	10.907	9.993	5.841	6.0981	1	3.9527	10.360333333333335
TCGA-98-A53D	TCGA-LUSC	Toil	TCGA_solid_primary	6.6626	5.1918	3.5224	6.7076	10.2355	10.5557	9.7702	5.0579	6.4079	1	4.3571	10.187133333333334
TCGA-98-A53H	TCGA-LUSC	Toil	TCGA_solid_primary	7.4425	6.2042	2.4701	7.0604	10.1612	10.4872	9.1883	5.3263	6.2487	1	4.33715	9.945566666666666
TCGA-98-A53I	TCGA-LUSC	Toil	TCGA_solid_primary	7.1469	6.1344	1.5165	4.6645	9.318	9.8283	8.3733	4.8987	8.6227	1	3.82545	9.1732
TCGA-98-A53J	TCGA-LUSC	Toil	TCGA_solid_primary	8.7036	5.5491	2.1541	4.756	8.2779	8.9451	8.5654	1.5316	7.0531	1	3.8516000000000004	8.596133333333333
TCGA-J1-A4AH	TCGA-LUSC	Toil	TCGA_solid_primary	8.0686	6.7156	2.1147	3.9002	8.0959	8.2993	7.1411	2.6984	8.3669	1	4.415150000000001	7.845433333333335
TCGA-L3-A4E7	TCGA-LUSC	Toil	TCGA_solid_primary	7.6165	6.6395	2.1574	6.3782	9.828	10.0832	9.0945	3.421	5.467	1	4.39845	9.668566666666667
TCGA-L3-A524	TCGA-LUSC	Toil	TCGA_solid_primary	8.9573	5.5913	1.5115	4.0506	8.4444	8.6494	7.5224	2.5731	9.2685	1	3.5514	8.205400000000001
TCGA-LA-A446	TCGA-LUSC	Toil	TCGA_solid_primary	7.6239	6.344	1.8323	5.1534	8.3072	8.27	7.2182	2.8562	8.813	1	4.088150000000001	7.931799999999999
TCGA-LA-A7SW	TCGA-LUSC	Toil	TCGA_solid_primary	6.9608	7.0398	3.1701	5.2987	8.0947	8.385	7.8503	2.0604	7.7251	1	5.10495	8.110000000000001
TCGA-MF-A522	TCGA-LUSC	Toil	TCGA_solid_primary	7.794	6.2371	2.362	3.9709	9.4295	8.9784	9.6771	1.3901	7.6933	1	4.29955	9.361666666666666
TCGA-NC-A5HD	TCGA-LUSC	Toil	TCGA_solid_primary	8.2167	5.599	1.6649	5.1981	6.1054	9.9361	8.3849	1.1706	8.7157	1	3.6319500000000002	8.142133333333334
TCGA-NC-A5HE	TCGA-LUSC	Toil	TCGA_solid_primary	7.918	5.3234	1.0642	6.7292	10.1802	10.7444	9.5049	5.3889	7.5976	1	3.1938000000000004	10.143166666666666
TCGA-NC-A5HF	TCGA-LUSC	Toil	TCGA_solid_primary	7.0675	6.7532	0.688	5.2921	9.7032	7.1054	6.6895	0.2762	5.5952	1	3.7205999999999997	7.8327
TCGA-NC-A5HG	TCGA-LUSC	Toil	TCGA_solid_primary	8.4393	6.8451	1.4228	5.4667	9.0619	7.9302	7.0893	0.044	4.7203	1	4.1339500000000005	8.027133333333333
TCGA-NC-A5HH	TCGA-LUSC	Toil	TCGA_solid_primary	1.5415	7.2759	1.9264	3.7783	8.6925	8.0028	6.5418	2.1213	7.0641	1	4.60115	7.745700000000002
TCGA-NC-A5HI	TCGA-LUSC	Toil	TCGA_solid_primary	6.5429	5.9414	2.4144	4.4006	8.179	7.9078	6.1185	2.578	7.4047	1	4.1779	7.401766666666667
TCGA-NC-A5HJ	TCGA-LUSC	Toil	TCGA_solid_primary	7.1113	5.403	2.6962	6.1171	9.9857	11.2389	10.4841	5.0644	8.4392	1	4.0496	10.569566666666667
