gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
PTPN1	-0.3368900272276904	5.093730735867362	-1.6935429534685005	0.10277781069929134	0.19892617812717112	25	0.4276247039886582	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CD40	-0.8420155496073665	4.422793496936513	-1.6919794212315864	0.10307915879321466	0.4976511765104484	25	0.427852489249348	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
ISOC1	0.3875428425775553	4.340520786007966	1.6872746146695796	0.10399043971790942	0.22968569503041336	25	0.42881300053716437	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
IRF1	-0.6096590470175206	6.633825665449382	-1.6818025215771968	0.10505886779916833	0.3625033493503039	25	0.4314819097012134	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|MHC-I/APM
IL18BP	-0.6257362626034438	1.7448557972719105	-1.6740101168639565	0.1065962749984064	0.37379479150083067	25	0.4333509070815194	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
UPP1	-0.8383725896261014	5.973612175336606	-1.6659926826209674	0.10819777589003719	0.5032270539791085	25	0.4345443082620707	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
SLAMF7	-0.9104955170015756	1.626278365727744	-1.6550877220605542	0.11040844199966457	0.5501191899774504	25	0.43756321688934047	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
BATF2	-0.7640145780078664	2.281285247402903	-1.642217106838079	0.11306614756802033	0.46523360085981463	25	0.44012964080411493	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
ITGB1	-0.6146747984389348	7.394542105904676	-1.6408148846768198	0.11335890245551763	0.3746155670449096	25	0.4405423747742429	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
HLA-A	-0.9092750223376493	10.079425716886766	-1.6303560218300723	0.1155625306881663	0.5577156217186167	25	0.44267045979724007	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|MHC-I/APM
TNF	-0.7087416491075531	2.0642320429378174	-1.6282624677404027	0.1160078964398739	0.4352748178806202	25	0.4433341416810159	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
ARPC1B	-0.7549332386262568	8.35496340888244	-1.6258900637328066	0.11651431079707429	0.46431997800210434	25	0.44384025374709885	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
IFI44	-0.8794869243974271	3.8839932062778897	-1.6253937168828263	0.11662049387645734	0.5410916230709343	25	0.4439368629646225	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PIM1	-0.8644152929379673	5.098111581018522	-1.6211673433215685	0.11752790807724929	0.5332054685772838	25	0.4449450665804257	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
LY6E	-0.8566448618923215	8.743544008746191	-1.6201637970937686	0.1177442336642523	0.5287396641185054	25	0.4449450665804257	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
C1S	-1.6034105356876733	3.21771209444997	-1.603037671438517	0.1214873107310972	1.0002325985569769	25	0.45008379351467737	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
NMI	-0.4879094166442739	4.7808853516363135	-1.6020880419061414	0.1216977184668762	0.304545944968022	25	0.45041713056654936	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
KRT10	0.4838540169413897	8.02612641577073	1.598148200712067	0.12257389238073416	0.30275916634377514	25	0.45151953987382965	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	keratin
TAPBPL	-0.6390981965715115	3.9349329377276687	-1.5949866912364414	0.12328074940641387	0.40069186789018246	25	0.4530545780139215	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	MHC-I/APM
PRKAA1	0.36585809207201186	4.827134258293959	1.5879291553211312	0.1248708717152515	0.2303995054477247	25	0.45509484877640427	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
MYD88	-0.42076601996113194	3.97067858008976	-1.584221099105428	0.12571310264409288	0.26559804070197557	25	0.4563017428608811	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CCL8	-0.3021674289310498	0.4126882514931597	-1.5745506833613234	0.12793170009965316	0.1919070831597418	25	0.460501036665764	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	chemokine
ZBP1	-0.7874353277541501	1.197070707826169	-1.5563711530727546	0.132189856774441	0.5059431525696881	25	0.4664963671465975	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
SOD2	-0.7500113710580533	6.84232135311971	-1.5473589226337963	0.13434357304473069	0.484704201518702	25	0.46936107930916127	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
MYH11	-0.5798945802317513	0.9705021637247483	-1.544125958159081	0.13512315789212168	0.3755487544054412	25	0.47042146009882585	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
MAPK9	0.40522287290403247	4.2816462341787185	1.543293010253042	0.13532461141415822	0.26257027681191347	25	0.4708319534830839	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
PTGS2	1.151069289242327	3.522396987801659	1.5329159749311525	0.13785504830261167	0.7509017506938205	25	0.47463425657074443	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
KRT20	0.9437851677032142	0.4779809288830185	1.5289915057651984	0.1388220570135715	0.6172599155355595	25	0.47589048339225554	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	keratin
CD47	0.585989493172092	6.903328721757103	1.5075082191287983	0.14421423865457622	0.38871396237609923	25	0.4834078854935788	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PRKACB	-0.7194080076435775	3.061154081778104	-1.4993318109059497	0.14631071577341276	0.479819078345897	25	0.4864044766450586	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
PPP2CB	0.7158273657403312	5.458642362307534	1.492811016256655	0.1480003568389578	0.47951640090071584	25	0.4891640293611916	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
LGALS3BP	0.8982448114894648	7.610047103381734	1.4908584250491548	0.14850936983836927	0.6025017509357731	25	0.48983068336066843	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
NFKB1	-0.5368717417546621	4.8783106700150265	-1.489702061999335	0.14881148538743694	0.36038866794218194	25	0.48988345455259585	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
KRT17	-1.5573424819317103	4.771876360796094	-1.465697129596027	0.155196200416597	1.0625268007183328	25	0.49870122609788653	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	keratin
PNPT1	-0.2738257054053813	4.39482497535206	-1.4623148498966592	0.15611328822672782	0.18725495773002127	25	0.49902820603513454	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
ACTG1	-0.3512564618681394	11.113551754278586	-1.4574062701669448	0.15745197565908356	0.24101478706270643	25	0.5010129090302882	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
