dataset	compartment	segment	gene	raw_count
GSE292098	CD68	709-1 | R5_C6 | CD68	TACSTD2	9.000000000000002
GSE292098	CD68	709-1 | R5_C7 | CD68	TACSTD2	2.0
GSE292098	CD68	709-1 | R5_C8 | CD68	TACSTD2	10.000000000000002
GSE292098	CD68	709-1 | R6_C1 | CD68	TACSTD2	1.0
GSE292098	CD68	709-1 | R6_C2 | CD68	TACSTD2	4.0
GSE292098	CD68	709-1 | R6_C3 | CD68	TACSTD2	3.0000000000000004
GSE292098	CD68	709-1 | R6_C4 | CD68	TACSTD2	10.000000000000002
GSE292098	CD68	709-1 | R6_C5 | CD68	TACSTD2	122.99999999999994
GSE292098	CD68	709-1 | R6_C6 | CD68	TACSTD2	44.99999999999999
GSE292098	CD68	709-1 | R6_C7 | CD68	TACSTD2	21.0
GSE292098	CD68	709-1 | R6_C8 | CD68	TACSTD2	1.0
GSE292098	CD68	709-1 | R7_C1 | CD68	TACSTD2	6.0
GSE292098	CD68	709-1 | R7_C2 | CD68	TACSTD2	12.0
GSE292098	CD68	709-1 | R7_C3 | CD68	TACSTD2	1.0
GSE292098	CD68	709-1 | R7_C4 | CD68	TACSTD2	24.999999999999996
GSE292098	CD68	709-1 | R7_C5 | CD68	TACSTD2	2.0
GSE292098	CD68	709-1 | R7_C6 | CD68	TACSTD2	10.000000000000002
GSE292098	CD68	709-1 | R7_C7 | CD68	TACSTD2	11.000000000000002
GSE292098	CD68	709-1 | R7_C8 | CD68	TACSTD2	1.0
GSE292098	CD68	709-5 | R1_C7 | CD68	TACSTD2	11.000000000000002
GSE292098	CD68	709-5 | R4_C1 | CD68	TACSTD2	48.00000000000001
GSE292098	CD68	709-5 | R4_C2 | CD68	TACSTD2	6.0
GSE292098	CD68	709-5 | R5_C7 | CD68	TACSTD2	12.0
GSE292098	CD68	709-5 | R7_C3 | CD68	TACSTD2	1.0
GSE292098	CD68	642-1 | S11-32143 | CD68	CLDN4	6.999999999999999
GSE292098	CD68	642-1 | S13-28478 | CD68	CLDN4	23.0
GSE292098	CD68	642-1 | S13-7196 | CD68	CLDN4	1.0
GSE292098	CD68	642-1 | S13-8074 | CD68	CLDN4	1.0
GSE292098	CD68	642-1 | S14-10489 | CD68	CLDN4	29.000000000000004
GSE292098	CD68	642-1 | S14-14165 | CD68	CLDN4	24.999999999999996
GSE292098	CD68	642-1 | S14-1694 | CD68	CLDN4	1.0
GSE292098	CD68	642-1 | S14-25109 | CD68	CLDN4	10.000000000000002
GSE292098	CD68	642-1 | S15-15344 | CD68	CLDN4	15.0
GSE292098	CD68	642-1 | S15-15403 | CD68	CLDN4	3.0000000000000004
GSE292098	CD68	642-1 | S16-26594 | CD68	CLDN4	26.000000000000004
GSE292098	CD68	642-1 | S17-16092 | CD68	CLDN4	7.999999999999998
GSE292098	CD68	642-1 | S17-18548 | CD68	CLDN4	13.0
GSE292098	CD68	642-1 | S17-28460 | CD68	CLDN4	9.000000000000002
GSE292098	CD68	642-1 | S17-9483 | CD68	CLDN4	4.0
GSE292098	CD68	642-1 | S18-565 | CD68	CLDN4	6.999999999999999
GSE292098	CD68	642-1 | S19-12863 | CD68	CLDN4	6.0
GSE292098	CD68	642-1 | S19-20906 | CD68	CLDN4	6.0
GSE292098	CD68	642-1 | S19-21466 | CD68	CLDN4	4.999999999999999
GSE292098	CD68	642-1 | S19-26268 | CD68	CLDN4	9.000000000000002
GSE292098	CD68	642-1 | S19-26656 | CD68	CLDN4	1.0
GSE292098	CD68	642-1 | S20-1194 | CD68	CLDN4	6.0
GSE292098	CD68	642-1 | S20-27058 | CD68	CLDN4	40.0
GSE292098	CD68	642-1 | S21-12496 | CD68	CLDN4	12.0
GSE292098	CD68	642-1 | SR21-4053 | CD68	CLDN4	32.0
GSE292098	CD68	709-1 | R1_C1 | CD68	CLDN4	9.000000000000002
GSE292098	CD68	709-1 | R1_C2 | CD68	CLDN4	53.00000000000001
GSE292098	CD68	709-1 | R1_C3 | CD68	CLDN4	6.0
GSE292098	CD68	709-1 | R1_C4 | CD68	CLDN4	1.0
GSE292098	CD68	709-1 | R1_C6 | CD68	CLDN4	29.000000000000004
GSE292098	CD68	709-1 | R2_C2 | CD68	CLDN4	15.0
GSE292098	CD68	709-1 | R2_C3 | CD68	CLDN4	15.999999999999998
GSE292098	CD68	709-1 | R2_C4 | CD68	CLDN4	3.0000000000000004
GSE292098	CD68	709-1 | R2_C5 | CD68	CLDN4	24.999999999999996
GSE292098	CD68	709-1 | R2_C6 | CD68	CLDN4	69.00000000000001
GSE292098	CD68	709-1 | R2_C7 | CD68	CLDN4	40.0
GSE292098	CD68	709-1 | R2_C8 | CD68	CLDN4	48.00000000000001
GSE292098	CD68	709-1 | R3_C1 | CD68	CLDN4	3.0000000000000004
GSE292098	CD68	709-1 | R3_C3 | CD68	CLDN4	15.999999999999998
GSE292098	CD68	709-1 | R3_C4 | CD68	CLDN4	24.999999999999996
GSE292098	CD68	709-1 | R3_C5 | CD68	CLDN4	40.0
GSE292098	CD68	709-1 | R3_C6 | CD68	CLDN4	4.0
GSE292098	CD68	709-1 | R3_C7 | CD68	CLDN4	4.0
GSE292098	CD68	709-1 | R3_C8 | CD68	CLDN4	29.000000000000004
GSE292098	CD68	709-1 | R4_C1 | CD68	CLDN4	13.0
GSE292098	CD68	709-1 | R4_C2 | CD68	CLDN4	4.0
GSE292098	CD68	709-1 | R4_C3 | CD68	CLDN4	7.999999999999998
GSE292098	CD68	709-1 | R4_C4 | CD68	CLDN4	36.0
GSE292098	CD68	709-1 | R4_C5 | CD68	CLDN4	15.0
GSE292098	CD68	709-1 | R4_C6 | CD68	CLDN4	10.000000000000002
GSE292098	CD68	709-1 | R4_C7 | CD68	CLDN4	12.0
GSE292098	CD68	709-1 | R4_C8 | CD68	CLDN4	24.999999999999996
GSE292098	CD68	709-1 | R5_C1 | CD68	CLDN4	7.999999999999998
GSE292098	CD68	709-1 | R5_C2 | CD68	CLDN4	43.99999999999999
GSE292098	CD68	709-1 | R5_C3 | CD68	CLDN4	15.999999999999998
GSE292098	CD68	709-1 | R5_C4 | CD68	CLDN4	3.0000000000000004
GSE292098	CD68	709-1 | R5_C5 | CD68	CLDN4	31.0
GSE292098	CD68	709-1 | R5_C6 | CD68	CLDN4	13.999999999999996
GSE292098	CD68	709-1 | R5_C7 | CD68	CLDN4	6.0
GSE292098	CD68	709-1 | R5_C8 | CD68	CLDN4	7.999999999999998
GSE292098	CD68	709-1 | R6_C1 | CD68	CLDN4	1.0
GSE292098	CD68	709-1 | R6_C2 | CD68	CLDN4	6.999999999999999
GSE292098	CD68	709-1 | R6_C3 | CD68	CLDN4	4.0
GSE292098	CD68	709-1 | R6_C4 | CD68	CLDN4	2.0
GSE292098	CD68	709-1 | R6_C5 | CD68	CLDN4	69.00000000000001
GSE292098	CD68	709-1 | R6_C6 | CD68	CLDN4	40.0
GSE292098	CD68	709-1 | R6_C7 | CD68	CLDN4	22.000000000000004
GSE292098	CD68	709-1 | R6_C8 | CD68	CLDN4	1.0
GSE292098	CD68	709-1 | R7_C1 | CD68	CLDN4	18.999999999999996
GSE292098	CD68	709-1 | R7_C2 | CD68	CLDN4	4.0
GSE292098	CD68	709-1 | R7_C3 | CD68	CLDN4	1.0
GSE292098	CD68	709-1 | R7_C4 | CD68	CLDN4	13.0
GSE292098	CD68	709-1 | R7_C5 | CD68	CLDN4	1.0
GSE292098	CD68	709-1 | R7_C6 | CD68	CLDN4	10.000000000000002
GSE292098	CD68	709-1 | R7_C7 | CD68	CLDN4	13.999999999999996
GSE292098	CD68	709-1 | R7_C8 | CD68	CLDN4	2.0
GSE292098	CD68	709-5 | R1_C7 | CD68	CLDN4	6.999999999999999
GSE292098	CD68	709-5 | R4_C1 | CD68	CLDN4	57.999999999999986
GSE292098	CD68	709-5 | R4_C2 | CD68	CLDN4	15.999999999999998
GSE292098	CD68	709-5 | R5_C7 | CD68	CLDN4	9.000000000000002
GSE292098	CD68	709-5 | R7_C3 | CD68	CLDN4	1.0
