gene	logFC	AveExpr	t	P.Value	method	contrast	adj.P.Val
RALYL	1.7756932133213321	-0.2642890995260664	7.796677672319148	2.80844839043366e-13	limma	Tumor-NAT	1.5112675150161458e-12
NAPB	-1.5580240054005408	0.1891867298578199	-7.794677660878608	2.8432494756253625e-13	limma	Tumor-NAT	1.5290992352529378e-12
KPNA2	1.946469396939694	-0.7075677725118483	7.791855457855772	2.89308373656311e-13	limma	Tumor-NAT	1.5549902118568155e-12
B4GAT1	-1.5979147434743475	0.2904440758293838	-7.791583054685866	2.8979392860424995e-13	limma	Tumor-NAT	1.556689653887587e-12
NFIX	-1.9003909990999097	-0.07617962085308054	-7.790845686390683	2.911123250429838e-13	limma	Tumor-NAT	1.5628582824007384e-12
SRFBP1	1.4407065436543656	-0.09481184834123221	7.790294781637809	2.921011993246788e-13	limma	Tumor-NAT	1.5672516771705328e-12
ABCC3	2.5044947254725463	-1.0669303317535546	7.789443022096333	2.9363665100063356e-13	limma	Tumor-NAT	1.5745708630961629e-12
WBP2	-1.4526150675067508	0.166796682464455	-7.787081912330783	2.9793484047055143e-13	limma	Tumor-NAT	1.5966875328074857e-12
RBSN	-1.3695528982898284	0.2453616113744076	-7.786700495826839	2.9863498896681343e-13	limma	Tumor-NAT	1.5995070999964932e-12
MCMBP	-1.5190710711071107	0.012669194312796249	-7.783222609821928	3.0509471826907193e-13	limma	Tumor-NAT	1.6331540801462086e-12
CCDC114	-2.9698749369936985	-0.5811879146919431	-7.780639824832347	3.0998115056080333e-13	limma	Tumor-NAT	1.6583450260793617e-12
DDX3X	1.4448025382538257	-0.13744976303317527	7.779245177852512	3.126518155869466e-13	limma	Tumor-NAT	1.6716595910759896e-12
IFT172	-1.5960598199819982	0.1704398104265403	-7.775078212741045	3.207676175472475e-13	limma	Tumor-NAT	1.7140553330678788e-12
LRCH2	-1.7177010081008102	0.31080616113744075	-7.771396228074817	3.281120137656408e-13	limma	Tumor-NAT	1.7522821141894276e-12
BBS4	-1.6048779117911791	0.2581971563981042	-7.7703818852639115	3.301643618456387e-13	limma	Tumor-NAT	1.762218728062291e-12
RPGRIP1L	-2.12816396039604	0.2946345971563981	-7.768722211786507	3.3354984001149087e-13	limma	Tumor-NAT	1.7792551245186377e-12
UTP14A	1.439324653465346	-0.2393758293838862	7.766455395064598	3.382293252060799e-13	limma	Tumor-NAT	1.8031703758521347e-12
CCNT2	-1.5130167596759674	0.0059838862559241325	-7.7654090332568755	3.404112184978257e-13	limma	Tumor-NAT	1.8137504401237774e-12
SGIP1	-1.5571150900090005	0.487179383886256	-7.756660044229028	3.592080152894049e-13	limma	Tumor-NAT	1.912793087210267e-12
MX2	2.1300719981998197	-0.6413270142180097	7.754965444582458	3.6296569123477055e-13	limma	Tumor-NAT	1.9316836526570796e-12
LGMN	1.55873300630063	-0.24947156398104264	7.752084381335692	3.6944370922422534e-13	limma	Tumor-NAT	1.965021488124916e-12
PIP5K1C	-1.3504835283528354	0.2311218009478674	-7.751655686815361	3.7041734300902417e-13	limma	Tumor-NAT	1.969060612837444e-12
C1QB	-1.7623291719171923	0.19475118483412324	-7.744448611435566	3.871708654107171e-13	limma	Tumor-NAT	2.056929146814972e-12
BASP1	1.9896027992799277	-0.34182274881516583	7.741777022954172	3.935697575576573e-13	limma	Tumor-NAT	2.0897167196490056e-12
MINDY1	-1.4789177767776778	0.2343952606635072	-7.7391410549109025	3.999858024298406e-13	limma	Tumor-NAT	2.12255745388722e-12
PPP1R14B	1.747167290729072	-0.18914360189573454	7.73789152624887	4.0306322981175273e-13	limma	Tumor-NAT	2.137653863358234e-12
HSPA9	1.6207175337533755	-0.29586824644549764	7.736495711135845	4.0652863254792656e-13	limma	Tumor-NAT	2.1547893089665473e-12
MRPS33	1.688828127812781	-0.15880094786729868	7.729125967439329	4.2531983845367084e-13	limma	Tumor-NAT	2.253092008776766e-12
FAM207A	1.5094243609360936	-0.2534329383886255	7.726575774661295	4.3202025020609773e-13	limma	Tumor-NAT	2.287268502099219e-12
ALDH18A1	1.7382189153915393	-0.3853007109004741	7.723260771345269	4.4088636909057816e-13	limma	Tumor-NAT	2.332865065234026e-12
NRGN	-2.1849142214221424	-0.06855876777251187	-7.72278213011224	4.421812919738079e-13	limma	Tumor-NAT	2.3383706873022257e-12
CHN2	-1.6180109720972098	0.18179905213270142	-7.722244073194466	4.4364144913656015e-13	limma	Tumor-NAT	2.34474327717891e-12
TOX4	1.319903393339334	-0.19499573459715644	7.720477428962792	4.484693036634046e-13	limma	Tumor-NAT	2.3688973390634204e-12
DNAJB11	1.4897775967596758	-0.09514265402843598	7.718078206719165	4.551091317471614e-13	limma	Tumor-NAT	2.402589333652016e-12
ANG	-2.120536975697569	0.17103649289099507	-7.715129260161219	4.634036019954967e-13	limma	Tumor-NAT	2.444972735901613e-12
CFTR	-1.8597328982898287	0.36931753554502356	-7.713496783771152	4.680593420601235e-13	limma	Tumor-NAT	2.468120145080089e-12
MAGED2	1.5377336723672366	-0.3052161137440758	7.71074827209174	4.760026634880203e-13	limma	Tumor-NAT	2.5085667890587123e-12
LAMB1	-1.6888072637263738	0.2060345971563982	-7.710197082545252	4.776115972517026e-13	limma	Tumor-NAT	2.515603547473008e-12
DCTN3	-1.3402384068406838	0.456911374407583	-7.70270049206556	5.000356460804131e-13	limma	Tumor-NAT	2.6322036787657944e-12
CCDC50	-1.5139156030603063	0.2532900473933649	-7.700861954968611	5.056922070505515e-13	limma	Tumor-NAT	2.6591967835758693e-12
MMP23B	-1.9393309000900096	0.24482985781990527	-7.700845817187705	5.057421366217625e-13	limma	Tumor-NAT	2.6591967835758693e-12
MRPL19	1.5368022682268232	-0.2694511848341232	7.699608728152969	5.095841779095091e-13	limma	Tumor-NAT	2.677866311701714e-12
DNMT1	1.4609485148514851	-0.22071658767772506	7.69742832714397	5.164262534248596e-13	limma	Tumor-NAT	2.7122706829873627e-12
CCNK	1.3314913591359134	-0.22778530805687214	7.694340708956067	5.262708013660423e-13	limma	Tumor-NAT	2.762395736924783e-12
TTC26	-1.6013199639963998	0.11741042654028437	-7.690605762094254	5.384275211033267e-13	limma	Tumor-NAT	2.8245932342812072e-12
ARHGAP18	-1.4713120702070208	0.24711279620853074	-7.690387732731587	5.391456897883771e-13	limma	Tumor-NAT	2.826747310236722e-12
OLFML2A	-1.6848388838883894	0.20457322274881512	-7.68905843760287	5.435447994846445e-13	limma	Tumor-NAT	2.8481871448479865e-12
BAZ1A	1.5696348604860482	-0.4671663507109005	7.687110414169658	5.500556810381195e-13	limma	Tumor-NAT	2.880661974029263e-12
APOL3	-1.9192637533753372	0.05181516587677715	-7.685588318980941	5.551965890678437e-13	limma	Tumor-NAT	2.905929299614209e-12
GCHFR	-1.8969396939693974	0.16405924170616115	-7.68366373467231	5.617649635407692e-13	limma	Tumor-NAT	2.9386350483228284e-12
CACYBP	1.3311531683168318	-0.23941706161137447	7.6803281073859955	5.733315073302262e-13	limma	Tumor-NAT	2.9974345186985828e-12
TIMM13	1.5983479927992796	-0.24540236966824644	7.675578132508135	5.902098129290981e-13	limma	Tumor-NAT	3.0839217684089484e-12
MOB3B	-1.7236265346534654	0.20457345971563978	-7.675339991772522	5.910688199750211e-13	limma	Tumor-NAT	3.0866554115854653e-12
PAK1	1.4497756615661561	-0.19831753554502368	7.675056472118114	5.920931269439397e-13	limma	Tumor-NAT	3.0902486824200736e-12
PPAT	1.5697663186318631	-0.40971563981042664	7.6749189176678785	5.925907191715276e-13	limma	Tumor-NAT	3.0910904085729343e-12
LPCAT3	-1.8160536813681367	0.19736492890995255	-7.6729851742482325	5.996297934964403e-13	limma	Tumor-NAT	3.1260337107349875e-12
TRMT5	1.4321373447344734	-0.23604454976303307	7.672360725151822	6.01920475998672e-13	limma	Tumor-NAT	3.1346698548265374e-12
ARMCX3	1.6861140504050403	-0.4535327014218008	7.672347664393169	6.019684793568533e-13	limma	Tumor-NAT	3.1346698548265374e-12
TLR7	-1.5010913951395137	0.38214644549763044	-7.671581730262965	6.047902132688374e-13	limma	Tumor-NAT	3.1475803228504443e-12
SNCG	-2.6104672187218716	-0.3197744075829385	-7.671394674760155	6.054813179254186e-13	limma	Tumor-NAT	3.1493937708276864e-12
INHBA	2.360113348334834	-0.814783412322275	7.67066164248209	6.081971483245303e-13	limma	Tumor-NAT	3.1617307637164916e-12
MAGIX	-1.670426561656166	0.2050417061611375	-7.670133556918502	6.101611255993984e-13	limma	Tumor-NAT	3.1701474874980616e-12
SH2B1	-1.3844375067506747	0.2845137440758293	-7.669602792033718	6.121413845583439e-13	limma	Tumor-NAT	3.1786392460314914e-12
TMED10	1.5202158415841582	-0.15958625592417067	7.665111425182781	6.291548239474836e-13	limma	Tumor-NAT	3.2651394618302212e-12
ATP8A2	-1.6900664446444642	0.14532369668246448	-7.664285735582016	6.323330419992082e-13	limma	Tumor-NAT	3.2797815965094373e-12
PRKAR1B	-1.533076624662466	0.21665781990521327	-7.663944685942845	6.336504263020545e-13	limma	Tumor-NAT	3.2847608957372717e-12
DNALI1	-2.1778559765976597	0.0327090047393365	-7.6610960063305145	6.447606238778587e-13	limma	Tumor-NAT	3.3404706279940244e-12
MSH6	1.5429866786678665	-0.3633587677725118	7.652212485807283	6.806588111843984e-13	limma	Tumor-NAT	3.5244704978004538e-12
BUD31	1.307162745274528	-0.049129857819905205	7.6511712827381695	6.849935549413445e-13	limma	Tumor-NAT	3.544918785735302e-12
GALNT10	1.8185745544554455	-0.34567251184834125	7.646567469978478	7.044895634110795e-13	limma	Tumor-NAT	3.643761157744081e-12
SLC25A22	1.6344454365436545	-0.4468303317535546	7.645702509799748	7.082131872623949e-13	limma	Tumor-NAT	3.66096029478553e-12
MAGI2	-1.6345037263726372	0.11783459715639805	-7.6451321000008114	7.106794200971094e-13	limma	Tumor-NAT	3.671643929236949e-12
LARP1	1.3489646444644467	-0.22563838862559246	7.643235624827118	7.189402410293444e-13	limma	Tumor-NAT	3.712235817584666e-12
CASP6	1.4760942934293426	-0.1504246445497631	7.642900176055742	7.204112632130472e-13	limma	Tumor-NAT	3.717742796289229e-12
MLF1	-2.7534592934293425	-0.46540023696682464	-7.636865902555489	7.473868829754986e-13	limma	Tumor-NAT	3.854788350969589e-12
TNRC6A	1.46464405040504	-0.3054909952606636	7.636166656232961	7.505766345167949e-13	limma	Tumor-NAT	3.869068899519833e-12
DDX5	1.26340497749775	-0.12909146919431277	7.6349991790783305	7.559323292237429e-13	limma	Tumor-NAT	3.894492173708195e-12
SYNJ1	-1.259201800180018	0.24975497630331753	-7.632739329523226	7.664067291260481e-13	limma	Tumor-NAT	3.9462432758529454e-12
LOXL2	2.288361242124213	-0.6651639810426541	7.632311804445991	7.684043829555745e-13	limma	Tumor-NAT	3.954118158028831e-12
PARD6G	-1.6547301440144015	0.1969573459715639	-7.632228003049872	7.687965562395301e-13	limma	Tumor-NAT	3.954118158028831e-12
ARL6IP5	-1.4595879567956798	0.2074635071090048	-7.629200888584885	7.830962501967772e-13	limma	Tumor-NAT	4.0254125478515544e-12
ACTR1B	-1.3566901890189023	0.17425639810426538	-7.628582969595616	7.860473666331853e-13	limma	Tumor-NAT	4.038323838303861e-12
ADAMTS12	2.321775292529253	-0.6785438388625591	7.628105138466766	7.883369724457176e-13	limma	Tumor-NAT	4.047824085893067e-12
AP2S1	-1.3033051665166524	0.30422606635071103	-7.621944925001556	8.184516107582078e-13	limma	Tumor-NAT	4.200105390552031e-12
SHANK2	-1.4403442394239425	0.2158947867298579	-7.621754936706337	8.193982345708953e-13	limma	Tumor-NAT	4.202616726529631e-12
CALCOCO1	-1.4631969396939695	0.1640473933649289	-7.620574997474482	8.253016035497024e-13	limma	Tumor-NAT	4.230533763650482e-12
MICAL3	-1.3589615571557154	0.28004454976303317	-7.619627132114672	8.300743118914773e-13	limma	Tumor-NAT	4.252627090632424e-12
TXLNG	1.3736285238523853	-0.23368341232227488	7.618503887307723	8.357654212919037e-13	limma	Tumor-NAT	4.279398321500772e-12
FUT8	1.745886228622862	-0.40165402843601905	7.617159492560364	8.42627744114493e-13	limma	Tumor-NAT	4.312133405432241e-12
UBTD1	-1.5056593699369938	0.1269402843601896	-7.608881527649538	8.861258142858485e-13	limma	Tumor-NAT	4.5322105504180486e-12
COG3	1.3494733303330335	-0.10536824644549767	7.608152986270176	8.900586685622461e-13	limma	Tumor-NAT	4.549793783512572e-12
GMDS	1.9717064266426645	-0.25310805687203786	7.606193140934466	9.00724247306477e-13	limma	Tumor-NAT	4.601754617561884e-12
PDE6C	-1.7352443384338434	0.25039549763033175	-7.6048139206066185	9.083056605723712e-13	limma	Tumor-NAT	4.637909625733702e-12
CLIP2	-1.4032547254725471	0.2629364928909952	-7.602646304400812	9.203484267467434e-13	limma	Tumor-NAT	4.695002310729578e-12
RPS17	1.3162235553555361	-0.07451611374407578	7.602617670959501	9.205085588004243e-13	limma	Tumor-NAT	4.695002310729578e-12
ACAA2	-1.598829432943294	0.22248009478672984	-7.601326115825496	9.277602641680281e-13	limma	Tumor-NAT	4.729364718784441e-12
TOMM5	1.661487083708371	-0.31938625592417064	7.591475708620806	9.84956495164378e-13	limma	Tumor-NAT	5.0181458686562065e-12
HCFC2	-1.2792406840684072	0.16658341232227483	-7.586071447123781	1.017802456103306e-12	limma	Tumor-NAT	5.182616273709411e-12
STAU2	1.4103542934293427	-0.271296682464455	7.582078094685068	1.0427664257225996e-12	limma	Tumor-NAT	5.306791926254935e-12
SFRP2	2.811935112511251	-1.0066691943127961	7.580798327158461	1.0508940459750972e-12	limma	Tumor-NAT	5.345194895715063e-12
TRMT10C	1.4963196039603954	-0.30756777251184825	7.577559638502636	1.0717432297612331e-12	limma	Tumor-NAT	5.44822567739795e-12
LPA	-3.122703897389737	-0.8112578199052134	-7.575544987754954	1.0849182932638822e-12	limma	Tumor-NAT	5.512152588937723e-12
SEC24A	1.3647004590459053	-0.15971706161137433	7.570096023109554	1.1213596825607842e-12	limma	Tumor-NAT	5.694152951611143e-12
GART	1.3280315211521154	-0.12819099526066352	7.568980927602679	1.1289649334486851e-12	limma	Tumor-NAT	5.729606131047414e-12
GLRX3	1.400133411341134	-0.20465876777251188	7.564042002736407	1.1632671474142535e-12	limma	Tumor-NAT	5.900435072783888e-12
HNRNPA1L2	1.9223776867686762	-0.9040620853080568	7.5636090085624605	1.1663230611362023e-12	limma	Tumor-NAT	5.912672506841057e-12
SLC25A13	1.8398728982898287	-0.5079710900473933	7.562394703316222	1.174935563187502e-12	limma	Tumor-NAT	5.953050033768649e-12
PLA2G12A	1.8463499954995504	-0.44537559241706165	7.556139989621276	1.2203027205703948e-12	limma	Tumor-NAT	6.1795054020730014e-12
CORO1C	-1.463112277227723	0.39821232227488146	-7.554851994248245	1.2298576177259942e-12	limma	Tumor-NAT	6.2244611038103596e-12
NCBP2	1.3326222142214221	-0.12872843601895734	7.551163870585222	1.2576284962473313e-12	limma	Tumor-NAT	6.3615099113974805e-12
POLE4	1.6462837533753374	-0.3305270142180095	7.550937785791947	1.2593508849512356e-12	limma	Tumor-NAT	6.366718362809024e-12
NAA15	1.3053355895589558	-0.14406161137440762	7.550662842798047	1.261448632592538e-12	limma	Tumor-NAT	6.373817692225408e-12
INPP1	-1.5321735193519352	0.35495734597156403	-7.547750396722149	1.2838829802912689e-12	limma	Tumor-NAT	6.483609050470908e-12
MRPS12	1.5247838883888392	-0.21123649289099525	7.54480525523808	1.3069700077630317e-12	limma	Tumor-NAT	6.5965740479681624e-12
PC	1.8786531593159308	-0.6016459715639809	7.543766807479884	1.3152078495730883e-12	limma	Tumor-NAT	6.634508971145036e-12
AFF3	2.738952727272729	-1.0240099526066349	7.542360157853161	1.326448445082353e-12	limma	Tumor-NAT	6.687541228059192e-12
LIPA	-2.675727956795679	-0.5412431279620854	-7.540421301119922	1.3420976618925396e-12	limma	Tumor-NAT	6.7627300495911904e-12
ZC3H14	1.2774788658865888	-0.16500189573459714	7.539553490804758	1.3491610377858602e-12	limma	Tumor-NAT	6.794596766186215e-12
KAZN	-1.6838662466246626	0.31407582938388623	-7.53680426386993	1.371781220946449e-12	limma	Tumor-NAT	6.904732312003731e-12
MRPL11	1.4276868766876687	-0.23244786729857825	7.530444324180495	1.425555819849896e-12	limma	Tumor-NAT	7.171474296792772e-12
DMPK	-1.6936426282628267	0.2463682464454976	-7.529905787553204	1.4302037624829273e-12	limma	Tumor-NAT	7.190920558523296e-12
TMEM43	-1.5384567326732674	0.20188767772511854	-7.5246948763656905	1.475957985106602e-12	limma	Tumor-NAT	7.416910793392443e-12
USP6NL	-1.4257411611161117	0.15257014218009474	-7.52236551455669	1.4968757390344723e-12	limma	Tumor-NAT	7.517915255445812e-12
DTD2	-1.5438440459045895	0.25822962085308054	-7.5176372045341395	1.5402409108702705e-12	limma	Tumor-NAT	7.73148782731221e-12
STXBP5	-1.340375508550855	0.28929336492891	-7.516276460448796	1.5529492132961891e-12	limma	Tumor-NAT	7.791024137229953e-12
CUTC	-1.3685486048604858	0.21163270142180093	-7.5135547838135235	1.57867918469909e-12	limma	Tumor-NAT	7.915788536044373e-12
COL11A2	-1.7296655670567052	0.07808554502369662	-7.511732888566681	1.5961377325224037e-12	limma	Tumor-NAT	7.998965048862276e-12
RBMX	1.2677093339333934	-0.10341184834123218	7.510218969998527	1.6107900474765479e-12	limma	Tumor-NAT	8.067995273219047e-12
COA5	1.900412358235824	-0.3392369668246447	7.504075396558405	1.6716261170385102e-12	limma	Tumor-NAT	8.36586980713484e-12
PDAP1	1.3288237443744375	-0.03188293838862559	7.5040302282324385	1.6720816924933847e-12	limma	Tumor-NAT	8.36586980713484e-12
ROR1	-1.612057065706571	0.27866635071090057	-7.503313450906319	1.6793276698277795e-12	limma	Tumor-NAT	8.397552020341197e-12
SLC25A6	1.730424905490549	-0.1779649289099526	7.502234432501607	1.6902941151030031e-12	limma	Tumor-NAT	8.44779402496558e-12
MPHOSPH10	1.3364306390639062	-0.139045971563981	7.49460854740254	1.7698415037719587e-12	limma	Tumor-NAT	8.840550685417431e-12
PLOD1	1.638688136813681	-0.23838483412322276	7.494517417767363	1.7708141158352958e-12	limma	Tumor-NAT	8.840604312135906e-12
SRSF6	1.2904326912691269	-0.07798436018957344	7.491237149528577	1.8061776631963447e-12	limma	Tumor-NAT	9.012257818912922e-12
MRPL41	1.6896622772277232	-0.30200568720379145	7.489477828485082	1.8254308425305553e-12	limma	Tumor-NAT	9.103383002549286e-12
ANKS1A	-1.265000900090009	0.14847630331753556	-7.488742881481863	1.83353366201157e-12	limma	Tumor-NAT	9.138832910817972e-12
DPYS	-2.012243879387939	0.06996587677725118	-7.486358363772891	1.860068480024517e-12	limma	Tumor-NAT	9.266064715395845e-12
PIK3R1	-1.509239414941495	0.135146682464455	-7.482562872006244	1.903089019752246e-12	limma	Tumor-NAT	9.475238992710126e-12
SNX33	-1.3210748154815481	0.28352464454976295	-7.481009067249479	1.9209830541804653e-12	limma	Tumor-NAT	9.5591528159029e-12
CFAP58	-2.291009432943292	-0.15337203791469184	-7.476077772100653	1.9788810932340253e-12	limma	Tumor-NAT	9.841935134152558e-12
CNTRL	-1.3582491539153918	0.2014199052132702	-7.474207394534962	2.0012890803763514e-12	limma	Tumor-NAT	9.947997802995697e-12
PNN	1.240533114311431	-0.02829241706161139	7.466294245085281	2.0988983008329387e-12	limma	Tumor-NAT	1.0427553666462454e-11
SF3B6	1.247398604860486	-0.09529146919431278	7.464307599509626	2.124133146428035e-12	limma	Tumor-NAT	1.0542426215146107e-11
LRRFIP2	-1.2766251935193522	0.22486872037914685	-7.464293417129837	2.1243143673648773e-12	limma	Tumor-NAT	1.0542426215146107e-11
CFAP161	-1.7738283168316835	0.14122369668246457	-7.462904606603455	2.1421346058538996e-12	limma	Tumor-NAT	1.0625126369348728e-11
ANXA8	-2.6590451305130514	-0.282636018957346	-7.461584029417894	2.1592162375652467e-12	limma	Tumor-NAT	1.0704075749440226e-11
FAM50A	1.3747889828982895	-0.208250710900474	7.460665855540151	2.171172011263805e-12	limma	Tumor-NAT	1.0757542833167456e-11
SLC4A1AP	1.2792260576057606	-0.18879004739336488	7.455296590612999	2.242407104850303e-12	limma	Tumor-NAT	1.1098971632068687e-11
CTSH	-2.521146381638163	-0.3554526066350712	-7.455289918697901	2.2424970428409914e-12	limma	Tumor-NAT	1.1098971632068687e-11
PLP2	-1.6102342754275427	0.3755047393364928	-7.453924063661638	2.2609841064176374e-12	limma	Tumor-NAT	1.1184448289604147e-11
GRHL2	1.7576911791179115	-0.5573047393364928	7.451300485801874	2.2969179056082347e-12	limma	Tumor-NAT	1.1356090624230923e-11
AP5B1	-1.3472023672367237	0.2683848341232228	-7.450508206143244	2.3078798203710645e-12	limma	Tumor-NAT	1.140415238119917e-11
B3GNT2	-1.4684025382538253	0.36254644549763015	-7.450086236411642	2.3137392295326813e-12	limma	Tumor-NAT	1.1426962524790368e-11
SDF2L1	1.521139315931593	-0.1572028436018957	7.447818473217273	2.345481613768249e-12	limma	Tumor-NAT	1.1577508867961321e-11
CPSF6	1.2458332583258325	-0.09824218009478664	7.4476855448674595	2.3473555276845986e-12	limma	Tumor-NAT	1.1580539267283491e-11
SMC2	1.7444468676867688	-0.5787677725118484	7.446326033583921	2.36660589060207e-12	limma	Tumor-NAT	1.166924610543113e-11
NOL11	1.3446046984698468	-0.23717867298578205	7.445784894642199	2.374311600259297e-12	limma	Tumor-NAT	1.1700964031090186e-11
C17orf75	1.3311812511251127	-0.12411232227488155	7.4439988451475685	2.3999208688978267e-12	limma	Tumor-NAT	1.1820832103987098e-11
ESCO1	1.6113511161116114	-0.583883886255924	7.440333841835817	2.453328800765983e-12	limma	Tumor-NAT	1.207742100045e-11
C16orf86	-1.6021513951395145	0.47126113744075826	-7.437424981587393	2.496551972449885e-12	limma	Tumor-NAT	1.2283623757380564e-11
RFC4	1.3645430963096308	-0.24375355450236968	7.431292876358111	2.59014868469607e-12	limma	Tumor-NAT	1.2737322932606516e-11
RPS11	1.3628900450045007	0.07908862559241699	7.426379463431247	2.66763761736191e-12	limma	Tumor-NAT	1.3111367562124766e-11
NT5C2	1.3825272277227718	-0.21472843601895739	7.423644280143213	2.7117612571504696e-12	limma	Tumor-NAT	1.3321110483415268e-11
ACYP1	-1.5191097119711974	0.34422132701421804	-7.42352348804036	2.7137263896548765e-12	limma	Tumor-NAT	1.3323642760319429e-11
MSTO1	1.4402025922592256	-0.24581516587677735	7.421913630554287	2.7400513625873328e-12	limma	Tumor-NAT	1.3445708528318301e-11
SMNDC1	1.2595228622862291	-0.039445023696682485	7.420626210393597	2.7612850656217116e-12	limma	Tumor-NAT	1.354238803820711e-11
MID1IP1	-1.5860820072007198	0.10056824644549761	-7.42054075702001	2.7627002036381605e-12	limma	Tumor-NAT	1.354238803820711e-11
VMP1	1.5313021332133216	-0.3422502369668246	7.417426393825537	2.814766744913683e-12	limma	Tumor-NAT	1.3790256477879348e-11
MYBBP1A	1.4275598019801983	-0.3615943127962086	7.4130987909322625	2.8887286698682228e-12	limma	Tumor-NAT	1.4145074696195437e-11
THEMIS2	-1.5225015751575157	0.052325829383886205	-7.409991708908528	2.943011358795395e-12	limma	Tumor-NAT	1.4403204152656269e-11
MIA3	1.4431284428442845	-0.16235023696682468	7.405801205873548	3.0178204399443684e-12	limma	Tumor-NAT	1.4761462300973223e-11
ZHX3	-1.3066094329432945	0.31582227488151665	-7.403689023457738	3.0562358734992552e-12	limma	Tumor-NAT	1.4941416975176413e-11
ZFAND6	1.381001287128713	-0.1060180094786729	7.403085533104791	3.0673003053082537e-12	limma	Tumor-NAT	1.4987537004831557e-11
LRP8	-1.7702373537353737	0.3813284360189575	-7.402248483178478	3.0827123376491292e-12	limma	Tumor-NAT	1.5047716547723018e-11
CPNE2	-1.404147218721872	0.1821127962085308	-7.402238809447046	3.082890899723909e-12	limma	Tumor-NAT	1.5047716547723018e-11
PILRA	-1.9316013411341137	0.183642654028436	-7.400828468976091	3.109033178544917e-12	limma	Tumor-NAT	1.5167263239918435e-11
CAPS	-2.8384419351935195	-0.324277251184834	-7.399682296126454	3.1304399414306376e-12	limma	Tumor-NAT	1.526359336959628e-11
GNG5	-1.4095915301530149	0.32121611374407577	-7.397666727800886	3.1684377391641534e-12	limma	Tumor-NAT	1.5440674051250122e-11
AGR2	2.820358739873988	-1.1067331753554503	7.3936659683000014	3.2452148446965303e-12	limma	Tumor-NAT	1.5806449198519244e-11
AADAC	-2.825272277227723	-0.7814184834123222	-7.392937875530917	3.2593836667469358e-12	limma	Tumor-NAT	1.5867052585313076e-11
ELL	1.3704312151215114	-0.226872037914692	7.391869611591245	3.280282907265043e-12	limma	Tumor-NAT	1.595303920986938e-11
XPO5	1.479426174617461	-0.43939952606635074	7.391857615531445	3.2805183447560797e-12	limma	Tumor-NAT	1.595303920986938e-11
HMBS	-1.5181984788478853	0.19899241706161144	-7.387434956447212	3.3684653105299424e-12	limma	Tumor-NAT	1.6372059581745478e-11
EPB41L4B	-1.7283921062106202	0.3390682464454977	-7.378482294414611	3.553680811250033e-12	limma	Tumor-NAT	1.7263150283403306e-11
GCN1	1.2883462106210621	-0.1717928909952607	7.372636301098213	3.68001451104306e-12	limma	Tumor-NAT	1.7867413296881544e-11
MRPL10	1.6335925697569762	-0.4592343601895734	7.370303205467879	3.731662356120615e-12	limma	Tumor-NAT	1.8108610726031983e-11
LRP1	-1.4191801530153016	0.29800047393364926	-7.369621152209304	3.746895730202683e-12	limma	Tumor-NAT	1.8172938604903882e-11
PRIM2	1.8799488568856884	-0.54777345971564	7.366904289378522	3.8081874719906466e-12	limma	Tumor-NAT	1.8460469965752128e-11
CCDC86	1.3278469576957694	-0.1835981042654028	7.364916002849034	3.853668975934302e-12	limma	Tumor-NAT	1.867109728930531e-11
COPS8	-1.239904401440144	0.3334914691943128	-7.362602333341757	3.907268949786793e-12	limma	Tumor-NAT	1.8920816078762073e-11
ITPKB	-1.3280147254725472	0.19596113744075833	-7.3618333401365685	3.925246398262641e-12	limma	Tumor-NAT	1.899786184646231e-11
SUN2	-1.4543975427542755	0.18131990521327013	-7.360697362059909	3.9519526971729134e-12	limma	Tumor-NAT	1.9117051178798028e-11
NHEJ1	-1.3770572277227717	0.2593800947867298	-7.358524561242991	4.003534861655426e-12	limma	Tumor-NAT	1.93563855410179e-11
GPR89A	1.5530751755175525	-0.2760587677725118	7.357848222162748	4.019726346047939e-12	limma	Tumor-NAT	1.942445049764806e-11
ZMYND8	1.2451389648964895	-0.18475165876777253	7.355830327585584	4.068419678952967e-12	limma	Tumor-NAT	1.96494194793782e-11
KLHL7	-1.5878513051305125	0.1939206161137442	-7.353387693025119	4.128141909533362e-12	limma	Tumor-NAT	1.9919141119305248e-11
CPSF4	1.277513456345635	-0.13390663507109013	7.353369086860421	4.128600134074257e-12	limma	Tumor-NAT	1.9919141119305248e-11
MECP2	-1.447539824482448	0.14463957345971562	-7.353065948244846	4.136072777446798e-12	limma	Tumor-NAT	1.9944724500269423e-11
KLHL36	-1.3692768136813682	0.17748672985781982	-7.352146473663232	4.1588204327297864e-12	limma	Tumor-NAT	2.004390068024094e-11
CTNNBIP1	-1.4960688388838888	0.22871137440758293	-7.346643527478205	4.297566909943947e-12	limma	Tumor-NAT	2.0701749197743615e-11
COPB1	1.20692398739874	-0.060235545023696636	7.338732850006784	4.5050600886042856e-12	limma	Tumor-NAT	2.1689893805323203e-11
BBS5	-1.4248038793879387	0.17381421800947866	-7.337673016484618	4.533599797718485e-12	limma	Tumor-NAT	2.181587211561811e-11
SLC7A5	2.0891348784878487	-0.7702260663507111	7.325464176748581	4.875516591095604e-12	limma	Tumor-NAT	2.3448913128602665e-11
