ligand	n_patients	n_cohorts	median_delta	mean_delta	paired_p	frac_patients_expressed_high	paired_fdr
CCL18	60	3	0.0	-0.012381470326484607	0.2297025574670163	0.36666666666666664	0.36993875495024864
CCL19	60	3	0.0	-0.0004246768527082168	0.380904893503636	0.016666666666666666	0.5298967959683877
CCL2	60	3	0.0020538130775094032	0.020042371270634855	0.21502095354560058	0.38333333333333336	0.35150484197947013
CCL20	60	3	0.0046021826565265656	0.044969183740128454	0.027523712226433694	0.55	0.0707329808829855
CCL21	60	3	0.0	-0.001385448675379545	0.32188434536878685	0.0	0.4722452800467864
CCL22	60	3	0.0	0.001016224942577537	0.45332857750731237	0.016666666666666666	0.603260189444586
CCL23	60	3	0.0	-0.0006421273516025394	0.10490291690202057	0.0	0.20754798956608372
CCL24	50	2	0.0	-0.0001823084309580736	0.44126813332892967	0.0	0.5932832773290456
CCL25	60	3	0.0	0.00053276807260166	0.6070522480710051	0.0	0.7264792339384262
CCL26	50	2	0.0	0.0029463288391707466	0.27115519770883223	0.02	0.4246795036199928
CCL27	50	2	0.0	-0.00046859650406986473	0.0752133122154768	0.0	0.1590794833583978
CCL28	60	3	0.00751117616891861	0.023466783793022236	0.0027989351853067385	0.6666666666666666	0.010686030499813266
CCL3	60	3	-0.006377961486577988	-0.008555673299512515	0.1186040324703133	0.48333333333333334	0.22749890658430885
CCL3L1	21	1	-0.006489399820566177	-0.010773669382269006	0.1789875030517578	0.19047619047619047	0.30723380741116557
CCL3L3	39	2	0.0	-0.0020322778071157443	0.22102157481330342	0.5128205128205128	0.3603284882699831
CCL4	60	3	-0.013311224058270454	-0.03209811609024958	0.018856723975066422	0.55	0.05252630571143211
CCL4L2	60	3	-0.004361329774837941	-0.006418375870756184	0.25126081539668943	0.48333333333333334	0.39769095946893224
CCL5	60	3	-0.003089706297032535	-0.03590936236626779	0.13126591814903768	0.48333333333333334	0.24471571324196573
CCL7	60	3	0.0	-0.0013817152698417583	0.9262550873076122	0.03333333333333333	0.9566766027075164
CCL8	60	3	0.0	-0.0018503843336172092	0.5118981831425787	0.016666666666666666	0.6572095084685269
CCN1	21	1	0.1785120889544487	0.2530828969375718	9.5367431640625e-06	0.9047619047619048	7.448632732715482e-05
CCN2	21	1	0.0376802533864975	0.1967655468643421	0.0001401336206158955	0.5714285714285714	0.0007888208022685328
CCN3	21	1	0.001041441923007369	0.007099027310254141	0.06150392570318533	0.19047619047619047	0.13585432756988255
CCN4	21	1	0.0003909874358214438	0.003933686883621184	0.007598223082063245	0.047619047619047616	0.024474060870796708
CCN6	21	1	0.0	0.0019358582857031642	0.005062032126267864	0.047619047619047616	0.017382552847385338
CD14	60	3	0.005861230194568634	0.015850513273229203	0.0029386115747507403	0.35	0.011014920221840724
CD160	60	3	0.0	-0.003034091416096392	0.24236634204835084	0.0	0.3851433228028979
CD1B	60	3	0.0	8.823936574723727e-05	0.8784817434328712	0.0	0.9241071156710221
CD1D	60	3	0.0	-0.0004703321072762871	0.24155404796562074	0.0	0.3843636315831116
CD2	60	3	-0.006424284772947431	-0.04032645857344808	0.008064925333583875	0.1	0.02576092724121057
CD200	60	3	0.0	-0.00513583198383761	0.1318393293606947	0.1	0.2454018669564333
CD209	60	3	0.0	0.00017207247741074145	0.6475683676310555	0.0	0.7587876181020918
CD22	60	3	0.0	-0.005837538059616539	0.11229440255969796	0.0	0.21962653201119323
CD226	60	3	-0.001019494142383337	-0.004569084683559292	0.04347723004058055	0.0	0.10247591695955376
CD24	60	3	0.20415490865707397	0.3515370723170539	9.076696935103127e-10	0.9833333333333333	5.163457847967608e-08
CD244	60	3	0.0	-0.0021249477141585277	0.1001207023196463	0.0	0.20007397871568117
CD274	60	3	0.0035720852902159095	0.010404670113348401	0.0038308196334548837	0.35	0.013691716594335223
CD28	60	3	-0.0007962838863022625	-0.015221438676235266	0.00028917828473891855	0.016666666666666666	0.0015024697837522072
CD300A	60	3	-0.0012289023725315928	-0.007457917522697244	0.009179382071810422	0.03333333333333333	0.028715606219406945
CD300C	60	3	0.0	-0.0008232815075947049	0.09159340615689572	0.0	0.18665722818392985
CD300LF	60	3	0.0	-0.0026687347155530004	0.5120184538779904	0.0	0.6572095084685269
CD320	60	3	-0.0014011748135089874	-0.0015667162369936705	0.9882530056508173	0.9	0.99912211654207
CD34	60	3	0.0	0.00043517296653590166	0.2583877520983171	0.0	0.40681602603094724
CD38	60	3	0.0001607692684046924	0.0004658116386660064	0.7058783105187265	0.3333333333333333	0.79204186015951
CD40	60	3	0.009452737867832184	0.025287087379062236	0.006171709783104297	0.7166666666666667	0.020775192086787703
CD40LG	60	3	-0.0002475906876497902	-0.0034481730891760282	0.007087295265418795	0.016666666666666666	0.02326735670927324
CD44	60	3	0.03594792261719704	0.02706806259229779	0.03998660684882879	0.9333333333333333	0.0963386999684484
CD47	60	3	0.14328449964523315	0.16416900157928466	1.7252657716459867e-07	1.0	2.4155189554262594e-06
CD48	60	3	-0.006764566991478205	-0.0373418433208523	0.002598384861976018	0.16666666666666666	0.010073516275519301
CD52	60	3	-0.009784244000911713	-0.08579068258404732	0.013106576170631412	0.5	0.03857723774360723
CD55	60	3	0.2222011610865593	0.23766353235890467	7.198793899418943e-09	0.9833333333333333	1.7921997312095077e-07
CD58	60	3	0.019266370683908463	0.03694948207121342	3.9948989575036536e-05	0.85	0.0002637516162550755
CD59	60	3	0.1327420175075531	0.2103464571138223	3.784174323743986e-07	1.0	4.522088316874063e-06
CD5L	60	3	0.0	3.643214161760019e-05	1.0	0.0	1.0
CD6	60	3	-0.0014944857102818787	-0.021523050858619778	0.04399795956964989	0.03333333333333333	0.10329579898964955
CD7	60	3	-0.001055425964295864	-0.0202381986232164	0.832619376083905	0.3333333333333333	0.8931599231779771
CD70	60	3	-0.0010303770832251757	-0.005294161294053386	0.00437329889154991	0.03333333333333333	0.015236420336449393
CD72	60	3	-0.00014952803030610085	-0.003065922959164406	0.526830933821778	0.0	0.6690360955547554
CD79B	60	3	-0.000461074203485623	-0.013641395578936984	0.06356680254998931	0.03333333333333333	0.1386173887723307
CD80	60	3	0.0	-0.001669529779307292	0.07182989545928836	0.0	0.15382925640474837
CD82	60	3	0.07117842882871628	0.10251135490155623	1.5747864485630498e-09	0.95	6.593841703111054e-08
CD86	60	3	0.0	-0.0036466045979371606	0.3799732989182504	0.016666666666666666	0.5298344133107459
CD9	60	3	0.32375654578208923	0.4127665051569541	4.019475902109398e-11	1.0	7.211133406331625e-09
CD96	60	3	-0.0008800006762612611	-0.019518866921134758	0.23490882177923156	0.08333333333333333	0.37579122091858325
CD99	60	3	0.0999360978603363	0.11588264459278434	8.200707995901569e-05	0.95	0.0004999921456684885
CDCP1	60	3	0.05724217742681503	0.09590984528961902	1.7249727524000428e-09	0.85	6.593841703111054e-08
CDH1	60	3	0.2110932394862175	0.23084062431007624	1.742088718600998e-10	1.0	1.892541835207448e-08
CDH13	60	3	0.0	0.00012274744925283205	0.2958991206765912	0.016666666666666666	0.4475942395044639
CDH15	60	3	0.0020163714652881026	0.006999262366055821	0.026277380864488532	0.18333333333333332	0.06826406550666042
CDH2	60	3	0.0	0.005928105770241624	0.001963767030963406	0.1	0.007901352195290472
CDH3	60	3	0.02012050524353981	0.05800413185885797	9.807304979079623e-07	0.7166666666666667	1.0371441991150574e-05
CDH4	60	3	0.0	0.004675192991029083	0.13973085376619424	0.05	0.25342679787120187
CDH5	60	3	0.0	0.0009171723203811173	0.07400445354273213	0.0	0.1579196896324984
CDH6	60	3	0.0	0.0003515401641683032	0.44450890263539566	0.0	0.5936102268151239
CDH9	50	2	0.0	7.304291473701596e-05	1.0	0.0	1.0
CDHR2	50	2	0.0	0.002841204498254228	0.12086271883780898	0.06	0.2307203658325587
CEACAM1	60	3	0.02495933324098587	0.05352730128603677	1.9095075663509963e-06	0.7333333333333333	1.8551719851946673e-05
CEACAM20	50	2	0.0	7.630381034687161e-05	0.17971249487899976	0.0	0.30723380741116557
CEACAM21	60	3	0.0	-0.006685961989569477	0.00020915378477376445	0.0	0.0011309446733242016
CEACAM3	60	3	0.0	-0.00019385152045288124	0.7934870829529873	0.0	0.8584956193865108
CEACAM4	60	3	0.0	-0.0009722311592971285	0.5621391110725872	0.0	0.6968425702611428
CEACAM5	60	3	0.05813669483177364	0.13226781675766688	2.465874430997071e-07	0.65	3.1018104684647364e-06
CEACAM6	60	3	0.20679117739200592	0.25166067937389014	2.4336364230114983e-08	0.9666666666666667	4.6161833738075246e-07
CEACAM7	50	2	0.0009624815793358721	0.011677052772138269	0.0027478022249796986	0.04	0.010524434804008782
CEACAM8	60	3	0.0	-0.00022780151848564856	0.789675102094056	0.0	0.8555410217610127
CEL	60	3	0.0010942197404801846	0.010812934958327485	0.0024245412629409283	0.1	0.009530680293468452
CER1	50	2	0.0	3.122949448879808e-05	0.6744240722352938	0.0	0.7734517910951786
CFAP54	60	3	0.0006589672993868589	0.026300556103524286	0.002336786814180717	0.16666666666666666	0.009216040405762235
CFC1	50	2	0.0	8.670877665281295e-05	0.4652088184521418	0.0	0.6098369614932433
CFD	60	3	0.012628443539142609	0.032751017902046445	0.00248124880630403	0.7833333333333333	0.00972161417551907
CFH	60	3	0.03928147070109844	0.06759645067504608	4.204636406710231e-06	0.75	3.5635039049778195e-05
CFP	60	3	2.5098022888414562e-05	0.0026080427443957886	0.43358007287452227	0.03333333333333333	0.5861178586935002
CGA	50	2	0.0	0.0004088067449629307	0.683239071626591	0.0	0.7753712101889014
CGB3	21	1	0.0	0.00024563649674833174	0.07473549830588248	0.0	0.15834914977930786
CGB7	50	2	0.0	4.370455862954259e-05	0.6682351417952492	0.0	0.7685668858954021
CHAD	60	3	0.0	0.0033008657325505433	0.031103769479907197	0.03333333333333333	0.07825053584945074
CHL1	60	3	0.007745299022644758	0.0351695547462441	0.00010139441993470207	0.48333333333333334	0.0006058889819181035
CIB1	60	3	0.08126431703567505	0.141676377505064	2.127999974937276e-06	1.0	1.9866874766015977e-05
CKLF	60	3	0.0011874772608280182	0.012133922552069028	0.4439103494290324	0.9833333333333333	0.5936102268151239
CLCF1	60	3	0.028591310954652727	0.04495307553127835	1.0202531190939745e-08	0.6166666666666667	2.3446201486871146e-07
CLDN1	60	3	0.07034914195537567	0.15123057525100497	1.957747193133451e-08	0.7833333333333333	3.899179826324123e-07
CLDN11	60	3	0.0	0.0016209059333050391	0.6953982225314291	0.06666666666666667	0.7824867004944047
CLDN14	50	2	0.0	0.0024408942309673875	0.23116721286114483	0.02	0.37118941264990934
CLDN16	60	3	0.0012466692132875323	0.015359261730918661	0.0005285436276199272	0.15	0.0025571240283636153
CLDN19	50	2	0.0	0.00042566832416923717	0.07772065120493127	0.0	0.16351439822164238
CLDN2	50	2	0.0	-0.006166350382845849	0.4370109531130153	0.04	0.5894222223138299
CLDN24	21	1	0.0	-4.674369674397721e-06	0.6547208460185769	0.0	0.7588665480040732
CLDN3	60	3	0.3655197024345398	0.4169051431197052	1.6295557943119345e-11	0.95	5.272270100332204e-09
CLEC11A	60	3	0.0026822162326425314	0.009127693758637178	0.04466863021379611	0.5166666666666667	0.10445990822991456
CLEC2A	50	2	0.0	1.746121415635571e-05	0.5939546753269146	0.0	0.7154998357012732
CLEC2B	60	3	0.007607847452163696	0.013584612457392117	0.04850586217962796	0.6333333333333333	0.11168498131918192
CLEC2D	60	3	-0.004667368251830339	-0.017764485068619253	0.2102188041328461	0.55	0.34793832539993225
CLEC2L	50	2	0.0	0.0011838778067613021	0.13372989286451814	0.08	0.24699725189041602
CLEC3A	50	2	0.0	-0.00013945668411906808	0.14412703481601533	0.0	0.2597764805507365
CLEC4G	60	3	0.0	7.709660955394308e-06	0.3454475304692257	0.0	0.49616562369077494
CLMP	60	3	0.0	0.0024189771321592463	0.5296892810015876	0.08333333333333333	0.6712393327644721
