layer,analysis_id,family,cohort,partner,label,definition,adjustment,n,spearman_rho,spearman_p,pearson_r,pearson_p,ci95_lo,ci95_hi,resid_df,n_adjusters,unadjusted_spearman_same_n,null_p_same_size_from_parent,partial_status,eligible_for_max,is_layer_max,q_bh_within_eligible,n_equals_118,rounds_to_0.69,delta_vs_0.69
rna,RNA_Lung::CLDN4,histology,RNA_Lung,CLDN4,Lung vs CLDN4,DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.6074923026927191,5.636455165585778e-23,0.5624370891915033,3.001007452146409e-19,0.5135382373337718,0.6876111451834338,,0,,,,True,False,1.2400201364288713e-21,False,False,
rna,RNA_Lung::TJ_EPITHELIAL,histology,RNA_Lung,TJ_EPITHELIAL,Lung vs TJ epithelial (18),DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.505788267464433,2.6688980281484807e-15,0.4895789509859281,2.6753657658542088e-14,0.3990947021720138,0.6024036819307993,,0,,,,True,False,5.591976820882531e-15,False,False,
rna,RNA_Lung::TJ_TISMO,histology,RNA_Lung,TJ_TISMO,Lung vs TJ TISMO (7),DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.550568051286462,2.32973915166071e-18,0.5327367272641866,4.363790147513049e-17,0.4528809246402152,0.6367333421651116,,0,,,,True,False,7.322037333790803e-18,False,False,
rna,RNA_Lung::CLDN4_TJ_EDGE,histology,RNA_Lung,CLDN4_TJ_EDGE,Lung vs CLDN4 TJ edge (11),DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.5644638110538197,2.0974987240023054e-19,0.5491077891796154,2.981152142944963e-18,0.46457344014424645,0.6542744641000214,,0,,,,True,False,7.759483324616248e-19,False,False,
rna,RNA_Lung::CLDN1,focal_single,RNA_Lung,CLDN1,Lung vs CLDN1,DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.4669611859380081,5.480139911560395e-13,0.46453559206679146,7.478077813996324e-13,0.3521309955546636,0.5714266225767164,,0,,,,False,False,,False,False,
rna,RNA_Lung::CLDN7,focal_single,RNA_Lung,CLDN7,Lung vs CLDN7,DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.5947691792090892,7.289729573166664e-22,0.53580587164442,2.6678565120717146e-17,0.48930697495424574,0.6850034095531035,,0,,,,False,False,,False,False,
rna,RNA_Lung::OCLN,focal_single,RNA_Lung,OCLN,Lung vs OCLN,DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.42594410107637276,7.659392005243236e-11,0.4222277309908404,1.1607815610384267e-10,0.30604235112522166,0.5338599596983278,,0,,,,False,False,,False,False,
rna,RNA_Lung::F11R,focal_single,RNA_Lung,F11R,Lung vs F11R,DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.43657239369187323,2.2674103571651863e-11,0.406872817572687,6.134674414091368e-10,0.32423148750042585,0.541038819570077,,0,,,,False,False,,False,False,
rna,RNA_Lung::TJP1,focal_single,RNA_Lung,TJP1,Lung vs TJP1,DepMap 24Q4 OncotreeLineage=Lung with TACSTD2 RNA,none,214,0.3568547907357717,7.982106366442456e-08,0.36110919301270006,5.443504502002632e-08,0.2316713116788201,0.46912514493248864,,0,,,,False,False,,False,False,
rna,RNA_NSCLC::CLDN4,histology,RNA_NSCLC,CLDN4,NSCLC vs CLDN4,Lung OncotreePrimaryDisease=NSCLC,none,143,0.667437179146622,8.811122112650595e-20,0.6287018480097553,4.206048059022061e-17,0.5580355819656082,0.7525677882157324,,0,,0.023994001499625092,,True,False,4.846117161957827e-19,False,False,
rna,RNA_NSCLC::TJ_EPITHELIAL,histology,RNA_NSCLC,TJ_EPITHELIAL,NSCLC vs TJ epithelial (18),Lung OncotreePrimaryDisease=NSCLC,none,143,0.6764059515395844,1.8475364635155104e-20,0.6402782938887185,7.298921808833754e-18,0.5576486412903424,0.7728119649286863,,0,,0.00024993751562109475,,True,False,1.2506400676104993e-19,False,False,
rna,RNA_NSCLC::TJ_TISMO,histology,RNA_NSCLC,TJ_TISMO,NSCLC vs TJ TISMO (7),Lung OncotreePrimaryDisease=NSCLC,none,143,0.6638848933022564,1.6117295348677411e-19,0.6343772131302676,1.7988485123250185e-17,0.5534715170217408,0.7565953962624089,,0,,0.00024993751562109475,,True,False,6.446918139470965e-19,False,False,
rna,RNA_NSCLC::CLDN4_TJ_EDGE,histology,RNA_NSCLC,CLDN4_TJ_EDGE,NSCLC vs CLDN4 TJ edge (11),Lung OncotreePrimaryDisease=NSCLC,none,143,0.6950500575940519,5.981828747879869e-22,0.6660784076827752,1.1111464537418171e-19,0.5853629591738435,0.7845776729285077,,0,,0.00024993751562109475,,True,False,7.520013283048978e-21,False,False,
rna,RNA_NSCLC::CLDN1,focal_single,RNA_NSCLC,CLDN1,NSCLC vs CLDN1,Lung OncotreePrimaryDisease=NSCLC,none,143,0.2400974683930902,0.00387303096288995,0.24646784269704294,0.003003533733927746,0.07668318790933211,0.39780676195281045,,0,,,,False,False,,False,False,
rna,RNA_NSCLC::CLDN7,focal_single,RNA_NSCLC,CLDN7,NSCLC vs CLDN7,Lung OncotreePrimaryDisease=NSCLC,none,143,0.6671673458892021,9.227389173502131e-20,0.6305042648399846,3.2177005468178954e-17,0.5402604871562957,0.7641374809573094,,0,,,,False,False,,False,False,
rna,RNA_NSCLC::OCLN,focal_single,RNA_NSCLC,OCLN,NSCLC vs OCLN,Lung OncotreePrimaryDisease=NSCLC,none,143,0.4084869315518177,4.0916945357099436e-07,0.38246933291374996,2.4287498619020143e-06,0.2513036433522651,0.5480718496729218,,0,,,,False,False,,False,False,
rna,RNA_NSCLC::F11R,focal_single,RNA_NSCLC,F11R,NSCLC vs F11R,Lung OncotreePrimaryDisease=NSCLC,none,143,0.5869636813266237,1.3167181147925446e-14,0.5265970466736405,1.4251105470063246e-11,0.4485820625674264,0.7062937183868896,,0,,,,False,False,,False,False,
rna,RNA_NSCLC::TJP1,focal_single,RNA_NSCLC,TJP1,NSCLC vs TJP1,Lung OncotreePrimaryDisease=NSCLC,none,143,0.27237330932331194,0.000998410169361226,0.25298638328091483,0.0023000601443860813,0.10963700302810778,0.42525277814161644,,0,,,,False,False,,False,False,
rna,RNA_LUAD::CLDN4,histology,RNA_LUAD,CLDN4,LUAD vs CLDN4,Lung OncotreeSubtype=LUAD,none,80,0.7561387264786419,5.108416933686581e-16,0.7453066521180682,2.216189643340584e-15,0.6412084657973589,0.8325354443370179,,0,,0.000999750062484379,,True,False,1.2149748382822138e-15,False,False,
rna,RNA_LUAD::TJ_EPITHELIAL,histology,RNA_LUAD,TJ_EPITHELIAL,LUAD vs TJ epithelial (18),Lung OncotreeSubtype=LUAD,none,80,0.752751438769927,8.1489139791604175e-16,0.7221172207328177,4.055947281989819e-14,0.6243290637469637,0.8457433464349986,,0,,0.00024993751562109475,,True,False,1.838729308118248e-15,False,False,
rna,RNA_LUAD::TJ_TISMO,histology,RNA_LUAD,TJ_TISMO,LUAD vs TJ TISMO (7),Lung OncotreeSubtype=LUAD,none,80,0.7177299312486803,6.803577439216247e-14,0.7149885063640599,9.353492904761921e-14,0.585808868156116,0.8116115422227409,,0,,0.0004998750312421895,,True,False,1.3923600340721622e-13,False,False,
rna,RNA_LUAD::CLDN4_TJ_EDGE,histology,RNA_LUAD,CLDN4_TJ_EDGE,LUAD vs CLDN4 TJ edge (11),Lung OncotreeSubtype=LUAD,none,80,0.7649527069525299,1.4613081858332355e-16,0.7414791597678927,3.657646548977728e-15,0.6453467919263736,0.845589176339223,,0,,0.00024993751562109475,,True,False,3.674146295809278e-16,False,False,
rna,RNA_LUAD::CLDN1,focal_single,RNA_LUAD,CLDN1,LUAD vs CLDN1,Lung OncotreeSubtype=LUAD,none,80,-0.01638566078897316,0.8852944845130695,-0.017138303141189137,0.8800639524712124,-0.22306730606402514,0.19471405124754942,,0,,,,False,False,,False,False,
rna,RNA_LUAD::CLDN7,focal_single,RNA_LUAD,CLDN7,LUAD vs CLDN7,Lung OncotreeSubtype=LUAD,none,80,0.6901276386742039,1.4281728188119206e-12,0.6736139287112313,7.548609555710436e-12,0.5139875458497987,0.8276183814796887,,0,,,,False,False,,False,False,
rna,RNA_LUAD::OCLN,focal_single,RNA_LUAD,OCLN,LUAD vs OCLN,Lung OncotreeSubtype=LUAD,none,80,0.4901487359541538,3.932422003411069e-06,0.48212881862922613,5.944736762712084e-06,0.31015395790776223,0.6439567296314688,,0,,,,False,False,,False,False,
rna,RNA_LUAD::F11R,focal_single,RNA_LUAD,F11R,LUAD vs F11R,Lung OncotreeSubtype=LUAD,none,80,0.7032120817997302,3.522984496004213e-13,0.6201672175565305,8.523768712243616e-10,0.5495311232173063,0.8164982655599828,,0,,,,False,False,,False,False,
rna,RNA_LUAD::TJP1,focal_single,RNA_LUAD,TJP1,LUAD vs TJP1,Lung OncotreeSubtype=LUAD,none,80,0.2580917386074313,0.02080965817445708,0.19194739410916575,0.08806219978902856,0.04271267124308756,0.4630753783295403,,0,,,,False,False,,False,False,
rna,RNA_LUSC::CLDN4,histology,RNA_LUSC,CLDN4,LUSC vs CLDN4,Lung LUSC,none,27,0.5317460317460317,0.0043096289274127475,0.4888015194954136,0.009675820606738685,0.17273176650763689,0.7553648068669528,,0,,0.7175706073481629,,True,False,0.00440985285595723,False,False,
