library	tissue	treatment	n_cells	program	gene	n_detected	pct_detected	mean_log1p_cp10k
PB isotype	PB	isotype	2916	IFN	IFITM3	33	1.131687242798354	0.016624508425593376
PB isotype	PB	isotype	2916	IFN	MX1	1521	52.160493827160494	0.9146996140480042
PB isotype	PB	isotype	2916	IFN	MX2	890	30.521262002743484	0.4697304964065552
PB isotype	PB	isotype	2916	IFN	OAS1	707	24.24554183813443	0.3537307679653168
PB isotype	PB	isotype	2916	IFN	OAS2	1011	34.67078189300412	0.5075407028198242
PB isotype	PB	isotype	2916	IFN	OAS3	497	17.043895747599453	0.22997725009918213
PB isotype	PB	isotype	2916	IFN	OASL	545	18.689986282578875	0.2622329294681549
PB isotype	PB	isotype	2916	IFN	RSAD2	510	17.48971193415638	0.27300551533699036
PB isotype	PB	isotype	2916	IFN	USP18	383	13.13443072702332	0.1783839911222458
PB isotype	PB	isotype	2916	IFN	BST2	982	33.67626886145405	0.4953060746192932
PB isotype	PB	isotype	2916	IFN	XAF1	1516	51.98902606310014	0.8815930485725403
PB isotype	PB	isotype	2916	IFN	STAT1	1880	64.4718792866941	1.2148741483688354
PB isotype	PB	isotype	2916	IFN	STAT2	696	23.868312757201647	0.3480753004550934
PB isotype	PB	isotype	2916	IFN	IRF7	525	18.00411522633745	0.2483491152524948
PB isotype	PB	isotype	2916	IFN	IRF9	1323	45.370370370370374	0.6909278631210327
PB isotype	PB	isotype	2916	IFN	DDX58	344	11.796982167352537	0.15518786013126373
PB isotype	PB	isotype	2916	IFN	IFIH1	399	13.68312757201646	0.18638001382350922
PB isotype	PB	isotype	2916	IFN	SAMD9	1192	40.87791495198903	0.6532396674156189
PB isotype	PB	isotype	2916	IFN	SAMD9L	1197	41.04938271604938	0.6433345675468445
PB isotype	PB	isotype	2916	IFN	HERC5	463	15.877914951989025	0.255446195602417
PB isotype	PB	isotype	2916	IFN	HERC6	403	13.820301783264746	0.19067031145095825
PB isotype	PB	isotype	2916	IFN	EPSTI1	1224	41.9753086419753	0.6565013527870178
PB isotype	PB	isotype	2916	IFN	CMPK2	348	11.934156378600823	0.1654469519853592
PB isotype	PB	isotype	2916	IFN	PARP9	1324	45.40466392318244	0.7110874652862549
PB isotype	PB	isotype	2916	IFN	DTX3L	928	31.824417009602197	0.45829322934150696
PB isotype	PB	isotype	2916	IFN	LY6E	2153	73.83401920438958	1.4268803596496582
PB isotype	PB	isotype	2916	IFN	SP100	2163	74.1769547325103	1.3786414861679077
PB isotype	PB	isotype	2916	IFN	SP110	1665	57.098765432098766	0.9509473443031311
PB isotype	PB	isotype	2916	IFN	PLSCR1	282	9.670781893004115	0.1323535442352295
PB isotype	PB	isotype	2916	APM	HLA-A	2873	98.52537722908093	3.3289201259613037
PB isotype	PB	isotype	2916	APM	HLA-B	2882	98.83401920438958	3.523071050643921
PB isotype	PB	isotype	2916	APM	HLA-C	2679	91.8724279835391	2.219965696334839
PB isotype	PB	isotype	2916	APM	HLA-E	2733	93.72427983539094	2.373783826828003
PB isotype	PB	isotype	2916	APM	HLA-F	1268	43.484224965706446	0.6742599606513977
PB isotype	PB	isotype	2916	APM	B2M	2913	99.8971193415638	4.888399124145508
PB isotype	PB	isotype	2916	APM	TAP1	1339	45.91906721536351	0.7091447710990906
PB isotype	PB	isotype	2916	APM	TAP2	666	22.839506172839506	0.30782830715179443
PB isotype	PB	isotype	2916	APM	TAPBP	2058	70.57613168724279	1.2779557704925537
PB isotype	PB	isotype	2916	APM	PSMB8	1854	63.580246913580254	1.1036546230316162
PB isotype	PB	isotype	2916	APM	PSMB9	1934	66.32373113854595	1.1508674621582031
PB isotype	PB	isotype	2916	APM	PSMB10	1470	50.41152263374485	0.7720326781272888
PB isotype	PB	isotype	2916	APM	PSME1	2376	81.48148148148148	1.7073677778244019
PB isotype	PB	isotype	2916	APM	PSME2	2028	69.54732510288066	1.2954553365707397
PB isotype	PB	isotype	2916	APM	NLRC5	896	30.727023319615913	0.4515265226364136
PB isotype	PB	isotype	2916	APM	ERAP1	427	14.643347050754457	0.18922646343708038
PB isotype	PB	isotype	2916	APM	ERAP2	450	15.432098765432098	0.21340632438659668
PB isotype	PB	isotype	2916	APM	CALR	1398	47.94238683127572	0.8045043349266052
PB isotype	PB	isotype	2916	APM	PDIA3	1213	41.598079561042525	0.6220540404319763
PB isotype	PB	isotype	2916	APM	CANX	1156	39.64334705075446	0.5998885631561279
PB isotype	PB	isotype	2916	APM	IRF1	1857	63.68312757201646	1.169337511062622
