unit,cut,cyto,radius_um,continuous,n_sec_usable,n_sec_neg,n_sec_pos,n_sec_zero,n_don_usable,n_don_neg,n_don_pos,n_don_zero,mean_high,mean_low,pooled_ratio,pooled_delta,median_section_ratio,effect_log_ratio,effect_abs_delta,eligible_exclusion,eligible_enrichment,sign_p_section,sign_p_donor,wilcoxon_p,n_fov,n_fov_neg,n_fov_pos,donor_deltas_json
donor,top30_vs_bottom,cd8nk,10,False,7,7,0,0,4,4,0,0,0.006141716981842937,0.014035005866159229,,-0.00789328888431629,,,0.00789328888431629,True,False,0.03515625,0.1875,0.015625,188,126,23,"[-0.0014169703708898406, -0.011258325241736672, -0.011068937620379806, -0.01741652297369136]"
donor,top30_vs_bottom,cd8nk,20,False,7,5,2,0,4,3,1,0,0.0470372179157096,0.08011980604960765,0.5870860182385569,-0.03308258813389805,0.4293286248597893,0.5325839311528984,0.03308258813389805,False,False,0.36328125,0.5,0.15625,188,136,49,"[0.00150919286850984, -0.05433175094591554, -0.052389709310226976, -0.07505248434075784]"
donor,top30_vs_bottom,cd8nk,25,False,7,6,1,0,4,3,1,0,0.08230478376549842,0.13131889083097145,0.6267550939905357,-0.04901410706547301,0.4488575745634876,0.46719941434926304,0.04901410706547301,False,False,0.14453125,0.5,0.078125,188,144,42,"[0.0016083802437215841, -0.08323180680827155, -0.08155207396755877, -0.09990820260537403]"
donor,top30_vs_bottom,cd8nk,40,False,7,4,3,0,4,3,1,0,0.26754610519058014,0.3691001051031738,0.7248605500011807,-0.10155399991259369,0.8350764736790853,0.3217759874540584,0.10155399991259369,False,False,0.63671875,0.5,0.21875,188,149,39,"[0.02186661427068949, -0.20326185004349673, -0.19493670470634974, -0.17501743740688103]"
donor,top30_vs_bottom,cd8nk,50,False,7,4,3,0,4,3,1,0,0.46583700332333816,0.6011503562243059,0.7749093026396235,-0.1353133529009678,0.8803269411217308,0.2550092853292991,0.1353133529009678,False,False,0.63671875,0.5,0.21875,188,142,46,"[0.04784998346689964, -0.3010751429691342, -0.2836625983494904, -0.2049305364197147]"
donor,top30_vs_bottom,cd8nk,80,False,7,4,3,0,4,3,1,0,1.4717532161339872,1.7218939801446342,0.8547292882749751,-0.25014076401064705,0.9247815014074877,0.15697048208128767,0.25014076401064705,False,False,0.63671875,0.5,0.21875,188,128,60,"[0.207821875683031, -0.6905483167996953, -0.6349155627639852, -0.358438778760247]"
donor,top30_vs_bottom,cd8nk,100,False,7,4,3,0,4,3,1,0,2.521553904616823,2.8137547556553506,0.8961526940287762,-0.2922008510385274,0.9526092076190811,0.10964446308377888,0.2922008510385274,False,False,0.63671875,0.5,0.375,188,119,69,"[0.3765191416231535, -0.9633211599995604, -0.8869556512999712, -0.3613654108400599]"
donor,top30_vs_bottom,gzmb,10,False,7,5,2,0,4,3,1,0,0.006537537376268533,0.011915593089268591,,-0.005378055713000057,,,0.005378055713000057,False,False,0.36328125,0.5,0.109375,188,117,39,"[0.00013379340643600735, -0.006950782441425577, -0.014925566847071345, -0.00922063848038593]"
donor,top30_vs_bottom,gzmb,20,False,7,4,3,0,4,3,1,0,0.06267850164248374,0.0838114640974891,0.7478511718823622,-0.02113296245500537,0.5947793024332695,0.2905512888761409,0.02113296245500537,False,False,0.63671875,0.5,0.21875,188,138,48,"[0.011051494753569473, -0.03152809971188381, -0.07793696890603875, -0.040092053115939635]"
donor,top30_vs_bottom,gzmb,25,False,7,4,3,0,4,3,1,0,0.11409838106854113,0.14536831366066463,0.7848916878466558,-0.031269932592123496,0.8075889032232649,0.24220954798487387,0.031269932592123496,False,False,0.63671875,0.5,0.21875,188,139,48,"[0.018625110880450824, -0.05087979451250637, -0.11983969598089764, -0.05316557578030656]"
donor,top30_vs_bottom,gzmb,40,False,7,4,3,0,4,3,1,0,0.3961312925100583,0.44764084052656183,0.8849310801134396,-0.0515095480165035,0.9216620623966606,0.12224551258470218,0.0515095480165035,False,False,0.63671875,0.5,0.375,188,134,54,"[0.06830739914979989, -0.12065894588125095, -0.2581305552236276, -0.06604058657879475]"
donor,top30_vs_bottom,gzmb,50,False,7,4,3,0,4,3,1,0,0.6971814377650931,0.7539208590237964,0.9247408788607183,-0.05673942125870324,0.9666545394657297,0.07824171167510437,0.05673942125870324,False,False,0.63671875,0.5,0.578125,188,130,58,"[0.12050863678590029, -0.18195454025957297, -0.34762667077213005, -0.04716610787734754]"
donor,top30_vs_bottom,gzmb,80,False,7,3,4,0,4,2,2,0,2.2106631184441716,2.2428662396599846,0.9856419787117154,-0.032203121215812605,1.0004803180667732,0.014462095072847833,0.032203121215812605,False,False,0.63671875,0.8125,0.9375,188,124,64,"[0.3942001190140172, -0.3884449815229929, -0.633153883414689, 0.002021640907934774]"
donor,top30_vs_bottom,gzmb,100,False,7,3,4,0,4,2,2,0,3.77032764361549,3.715821316209673,1.0146687159492955,0.054506327405817324,1.0241435094037339,0.014562170990225347,0.054506327405817324,False,False,0.63671875,0.8125,0.8125,188,121,67,"[0.67002066210528, -0.5070893740276841, -0.7806571217629381, 0.1663181753431866]"
donor,top10_vs_rest,cd8,10,False,8,3,5,0,5,1,4,0,0.005598192941782499,0.006054343909117434,,-0.0004561509673349347,,,0.0004561509673349347,False,False,0.36328125,0.1875,0.546875,216,86,50,"[0.00025878878962598616, 8.375035801788623e-05, 0.0015044396639671475, 0.0007894558108502226, -0.008307659604359842]"
donor,top10_vs_rest,cd8,20,False,8,3,5,0,5,2,3,0,0.037526117239997575,0.04091213375087927,,-0.0033860165108817062,0.7848823129729459,,0.0033860165108817062,False,False,0.36328125,0.5,0.9453125,216,107,83,"[0.0023945196598857414, 0.006090001022319717, 0.005785667141763463, -0.010285198902113074, -0.04164782747044443]"
donor,top10_vs_rest,cd8,25,False,8,4,4,0,5,2,3,0,0.06214127534131789,0.0703327455423912,0.8835326256937301,-0.00819147020107332,0.7753861118536699,0.1238270601240863,0.00819147020107332,False,False,0.63671875,0.5,0.84375,216,128,72,"[0.0011988793562616035, 0.010451692287722726, 0.003928203673158437, -0.016918865037415257, -0.07051763427399571]"
donor,top10_vs_rest,cd8,40,False,8,3,5,0,5,3,2,0,0.1918252179155146,0.2148799417313887,0.8927088139073784,-0.023054723815874086,0.8407860863320988,0.1134948275315944,0.023054723815874086,False,False,0.36328125,0.5,0.84375,216,129,79,"[0.0045494397814992565, 0.04160630068381337, -0.015360758818899284, -0.05397794238091244, -0.1549929505365928]"
donor,top10_vs_rest,cd8,50,False,8,3,5,0,5,3,2,0,0.32932435112596437,0.36208310807484156,0.9095269671014146,-0.03275875694887727,1.0620951085157482,0.09483063099468153,0.03275875694887727,False,False,0.36328125,0.5,0.84375,216,135,77,"[0.009670137037283075, 0.07027547428377884, -0.02418284720497721, -0.09565859232358098, -0.21733165425311074]"
donor,top10_vs_rest,cd8,80,False,8,4,4,0,5,3,2,0,1.0053848437481991,1.086558356145773,0.925293002498723,-0.0811735123975737,1.0305512659795546,0.07764483216931838,0.0811735123975737,False,False,0.63671875,0.5,0.4609375,216,130,86,"[0.05677096525948694, 0.1950401128975614, -0.13281566158440883, -0.2547968629519095, -0.4943129217358848]"
donor,top10_vs_rest,cd8,100,False,8,4,4,0,5,3,2,0,1.6985606247660001,1.81598208686191,0.9353399667621067,-0.11742146209591006,1.0449647445631791,0.06684521496512003,0.11742146209591006,False,False,0.63671875,0.5,0.3828125,216,127,88,"[0.10944860992756772, 0.2900787591814673, -0.237715639676505, -0.4131456777693878, -0.6692193286090529]"
donor,top10_vs_rest,nk,10,False,8,5,3,0,5,3,2,0,0.0013160000097773455,0.0018216527956379464,,-0.000505652785860601,,,0.000505652785860601,False,False,0.36328125,0.5,0.4609375,216,119,31,"[-4.206699794590679e-05, 0.00025160600216392066, -0.0003213928296968982, -0.003953771289537713, 0.00042592965372050207]"
donor,top10_vs_rest,nk,20,False,8,3,5,0,5,2,3,0,0.01587662341517156,0.011498470005431076,,0.004378153409740485,,,0.004378153409740485,False,False,0.36328125,0.5,0.3828125,216,116,91,"[0.01588809744939786, 0.001979454352537289, -0.002178620091659776, -0.010342730094806612, 8.14508553191669e-05]"
donor,top10_vs_rest,nk,25,False,8,4,4,0,5,3,2,0,0.02605956370896438,0.019902280526456047,,0.006157283182508336,,,0.006157283182508336,False,False,0.63671875,0.5,0.4609375,216,130,79,"[0.02402335119388962, 0.0042108696353487605, -0.0034565710717158055, -0.018737989364719796, -0.0013715262487995336]"
donor,top10_vs_rest,nk,40,False,8,3,5,0,5,2,3,0,0.08642602519186779,0.0608891330620593,1.419399831227369,0.0255368921298085,1.5447537316853317,0.3502341282045317,0.0255368921298085,False,False,0.36328125,0.5,0.3125,216,118,96,"[0.08091111329391376, 0.009326349615723772, -0.006513539986185063, -0.0366290916064387, 0.0018916191198117827]"
donor,top10_vs_rest,nk,50,False,8,3,5,0,5,2,3,0,0.14949758719052691,0.10391023343210273,1.4387186156040346,0.045587353758424175,1.4943543065066331,0.36375286716114935,0.045587353758424175,False,False,0.36328125,0.5,0.3828125,216,124,92,"[0.13752943362093523, 0.01378737004798438, -0.012049769204250327, -0.04460655056552364, 0.007029248130627518]"
donor,top10_vs_rest,nk,80,False,8,2,6,0,5,2,3,0,0.4740397122212629,0.3295033262192438,1.4386492472183665,0.14453638600201918,1.2881160340556321,0.3637046506042205,0.14453638600201918,False,False,0.14453125,0.5,0.1953125,216,105,111,"[0.42062530386348385, 0.0421672848436887, -0.01725837505884703, -0.12736786802983635, 0.01413250972954383]"
