accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url
HRA010679	PRJCA035550	The multi-omics profiling of Brain Metastasis	Beijing Tiantan Hospital, Capital Medical University	1	Controlled	0	2026-07-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010679
HRA010723	PRJCA034924	snRNA-seq of pancancer brm	West China Hospital of Sichuan University	1	Controlled	0	2026-08-03	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010723
HRA015036	PRJCA051717	Study of GPP Pathogenesis	Children's Hospital of Chongqing Medical University	1	Controlled	0	2026-06-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015036
HRA010687	PRJCA037078	human  mf pb	The First Affiliated Hospital of Zhengzhou University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010687
HRA006209	PRJCA021865	Single-nucleus analysis of  human spinal cord extracellular matrix changes during different developmental stages	Institute of Genetics and Developmental Biology, Chinese Academy of Sciences	1	Controlled	0	2024-02-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006209
HRA015217	PRJCA052898	The effect of Met-Hemin treatment on the transcriptional level in HCT116 cells.	Qilu Hospital of Shandong University	0	Open	0	2026-06-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015217
HRA015218	PRJCA052895	The effect of metformin treatment on the transcriptional level in HCT116 cells.	Qilu Hospital of Shandong University	0	Open	0	2026-06-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015218
HRA015216	PRJCA052217	macrophage with ANKRD22 deficiency promotes colorectal cancer cell stemness	The Second Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2025-12-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015216
HRA015159	PRJCA052396	Research on the Human Cervical Cancer Cell Line MS751	The First Afffliated Hospital of Soochow University	0	Open	0	2026-07-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015159
HRA015156	PRJCA043735	ZNF787 recognizes the core sequence of MIR element	Institute of Biophysics, Chinese Academy of Sciences	1	Controlled	0	2026-06-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015156
HRA015089	PRJCA041496	Chemoresistance and Genetic Mutations in Hepatocellular Carcinoma	The First Affiliated Hospital of Chongqing Medical University, Chongqing, China	1	Controlled	0	2026-01-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015089
HRA006185	PRJCA021247	Single-cell RNA-sequencing and spatial transcriptomic analysis reveal a distinct population of APOE- cells yielding pathological lymph node metastasis in papillary thyroid cancer	Shanghai Jiao Tong University Medical School Affiliated Ruijin Hospital	1	Controlled	0	2023-12-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006185
HRA006207	PRJCA021803	Decoding the transcriptome of supraspinatus muscle after rotator cuff tear at single-nucleus resolution	Nanjing General Hospital of Nanjing Military Command	1	Controlled	0	2024-07-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006207
HRA006191	PRJCA021832	Sequencing of Cerebrospinal Fluid Cell-free DNA Facilitated Early Differential Diagnosis of Intramedullary Spinal Cord Tumors	Beijing Tiantan Hospital, Capital Medical University	1	Controlled	0	2026-07-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006191
HRA009591	PRJCA033346	Whole-Exome Sequencing Reveals the Somatic Mutation Landscape in Patients with Liver Atrophy Associated with Hepatolithiasis	The Second Affiliated Hospital of Zunyi Medical University	1	Controlled	0	2025-12-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009591
HRA015061	PRJCA051476	CDK11 requires a critical activator SAP30BP to regulate pre-mRNA splicing	Center for Excellence in Molecular Cell Science, Chinese Academy of Sciences	0	Open	0	2026-08-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015061
HRA002624	PRJCA010401	LC-1000 WGS	Fudan University	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002624
HRA002983	PRJCA010401	LC-1000 RNA-seq	Fudan University	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002983
HRA006213	PRJCA021784	Single-cell characteristics of longitudinal immune profiling in subjects with breakthrough infection caused by Omicron BA.5 sublineage	Chinese Academy of Sciences	1	Controlled	0	2025-06-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006213
HRA006182	PRJCA021582	COVID-19-microbe	Tianjin University of Traditional Chinese Medicine	1	Controlled	0	2023-12-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006182
HRA015161	PRJCA052640	Oxford Nanopore tRNA sequencing in DUS1L-deficient A375 melanoma cells	Peking University Health Science Center	0	Open	0	2025-12-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015161
HRA014877	PRJCA051208	Block-Shaped Heterogeneity Defines a Null Distribution of Spatial Heterogeneity Across Human Cancers	Institute of Zoology, Chinese Academy of Sciences	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014877
HRA008899	PRJCA030971	Deciphering the Nephritis-related Circulating Immune Signatures in Systemic Lupus Erythematosus	The First Medical Center of PLA General Hospital	1	Controlled	0	2025-12-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008899
HRA008260	PRJCA027845	High-throughput study of point mutations in response to anti-cancer drugs empowered by protein language model	Peking University	0	Open	0	2026-06-30	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008260
HRA015101	PRJCA052338	B cell-derived exosomal miR-34a-5p mediates radiation-induced bystander effect through ferroptosis	Hubei Provincial Center for Disease Control and Prevention	0	Open	0	2025-12-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015101
HRA015024	PRJCA052152	snFLARE Analysis of FFPE_Prostate Cancer	Center for Excellence in Molecular Cell Science, Chinese Academy of Sciences	0	Open	0	2026-07-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015024
HRA015041	PRJCA051423	Cis Masking and Costimulation by NKG2D Overexpression Empower CAR-T cells	the First Medical Center, Chinese PLA General Hospital	0	Open	0	2026-05-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015041
HRA013644	PRJCA047449	off target analysis for base editing NK cells	Shanghai Institute for Biomedical and Pharmaceutical Technologies	1	Controlled	0	2025-12-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013644
HRA012036	PRJCA042085	NSP1	Guangzhou National Laboratory	0	Open	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012036
HRA007348	PRJCA025876	Multi-omics analysis of single-cell and spatial transcriptomes in human Alzheimer's disease	BGI	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007348
HRA007814	PRJCA027427	A spatially resolved atlas of gastric cancer characterises a lymphocyte aggregated region	Peking University	1	Controlled	0	2026-06-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007814
HRA015094	PRJCA052067	RNA-seq of human umbilical vein endothelial cells	Air Force Medical University	0	Open	0	2025-12-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015094
HRA006850	PRJCA024026	Role of host genetic factors in different long-term COVID-19 sequelae	Jilin University	1	Controlled	0	2025-12-18	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006850
HRA015057	PRJCA052354	IGF2BP2-driven serine metabolism promotes the progression of thyroid cancer	Shanxi Provincial Peoples Hospital	0	Open	0	2025-12-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015057
HRA015072	PRJCA051189	Plasma exosomal RNA-seq from breast cancer patients receiving neoadjuvant chemotherapy	Fudan University Shanghai Cancer Center	1	Controlled	0	2026-01-18	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015072
HRA015007	PRJCA043183	Genomic insights into the ancestry and mortality of a historical era population from Southwest China	Sichuan University	0	Open	0	2026-07-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015007
HRA013397	PRJCA046742	dalpicilib with cetuximab in patients with HPV-negative, anti-PD-1-resistant recurrent or metastatic head and neck squamous cell carcinoma	Shanghai Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine	1	Controlled	0	2026-06-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013397
HRA014016	PRJCA047525	Whole genome sequencing of NIID iPSCs before and after gene therapy	Xiangya Hospital Central South University	0	Open	0	2025-12-01	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014016
HRA011072	PRJCA038431	S. anginosus promotes tumor growth in hepatocellular carcinoma	Sun Yat-sen University	1	Controlled	0	2025-12-01	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011072
HRA011636	PRJCA040531	RNA-seq on NIID neural progenitor cells before and after gene therapy	Xiangya Hospital Central South University	0	Open	0	2025-12-01	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011636
HRA012818	PRJCA044770	Research on the Molecular Mechanisms of Chordoma Recurrence	The First Affiliated Hospital of Chongqing Medical University	0	Open	0	2026-01-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012818
HRA010083	PRJCA032900	Spatiotemporal dissection of tumor microenvironment dynamics in microsatellite-stable rectal cancer response to neoadjuvant radiotherapy and PD-1 blockade	Fudan University	1	Controlled	0	2026-03-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010083
HRA010674	PRJCA036922	Circulating tumor DNA analysis from the Evidence trial	Shanghai East Hospital	1	Controlled	0	2025-09-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010674
HRA008849	PRJCA030976	miRNA changes after KY216 treatments	China Pharmaceutical University	0	Open	0	2026-06-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008849
HRA008847	PRJCA030173	Prenatal diagnosis of imprinted associated chromosomes abnormalities identified by noninvasive prenatal testing (NIPT)	guangdong women and children hospital	1	Controlled	0	2025-04-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008847
HRA006337	PRJCA021692	The clinic pathology characteristic, immune microenvironmnet and genomics of EBV positive follicular dendritic cell sarcoma	Sun Yat-sen University Cancer Center	1	Controlled	0	2024-02-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006337
HRA006177	PRJCA020441	LncRNA SNHG17 reprograms energy metabolism by activating mitochondrial-encoded ETC genes to promote breast cancer progression (RNAseq)	Shenzhen People's Hospital	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006177
HRA006178	PRJCA020441	LncRNA SNHG17 reprograms energy metabolism by activating mitochondrial-encoded ETC genes to promote breast cancer progression  (ChipSeq)	Shenzhen People's Hospital	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006178
HRA006179	PRJCA020441	LncRNA SNHG17 reprograms energy metabolism by activating mitochondrial-encoded ETC genes to promote breast cancer progression  (OverExpression)	Shenzhen People's Hospital	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006179
HRA006155	PRJCA021707	Contribution of crosstalk of mesothelial and tumoral epithelial cells in pleural metastasis of lung cancer	Sichuan University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006155
HRA006156	PRJCA021676	Transcriptome-wide m6A methylome of ovarian cancer	Zhejiang Cancer Hospital	1	Controlled	0	2025-05-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006156
HRA006161	PRJCA021582	COVID-19-gut	Tianjin University of Traditional Chinese Medicine	1	Controlled	0	2023-12-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006161
HRA014901	PRJCA051678	Single-Cell RNA Sequencing and High-Dimensional Flow Cytometry Reveal Distinct Peripheral Immune Landscapes and Novel Discriminatory Biomarkers for Type 1 Autoimmune Pancreatitis	Ruijin Hospital, Shanghai jiaotong University School of Medicine	1	Controlled	0	2026-05-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014901
HRA014284	PRJCA049711	RNA-seq data for Quartet and MAQC reference materials	Beijing Hospital	0	Open	0	2026-05-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014284
HRA014573	PRJCA050708	CYFIP2 Deficiency Ameliorates Renal Interstitial Fibrosis through Attenuating Tubular Senescence in Hypertensive Nephropathy.	Shandong Provincial Hospital Affiliated to Shandong First Medical University	1	Controlled	0	2025-11-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014573
HRA006222	PRJCA021695	Type V Collagen Promotes Lung Adenocarcinoma Metastasis by Regulating Tumor Mechanical Stress and the Implication for Prognosis and Therapeutic Strategies	Tianjin Medical University General Hospital	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006222
HRA015004	PRJCA052162	Ancient Genomes from the Qing Dynasty Reveal Unbroken Genetic Continuity in China's Central Plains	Institute of Anthropology	0	Open	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015004
HRA006144	PRJCA021639	RNA sequencing of Human follicle dermal papilla cells treated with botulinum toxin A	Sir Run Run Shaw Hospital, Zhejiang University School of Medicine	0	Open	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006144
HRA006145	PRJCA021582	COVID-19-immune	Tianjin University of Traditional Chinese Medicine	1	Controlled	0	2023-12-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006145
HRA005827	PRJCA018081	Identification of missing heritability through whole-genome sequencing of a Chinese Alzheimer's disease cohort	Fudan University	1	Controlled	0	2024-04-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005827
HRA013960	PRJCA048484	miRNA-seq of intervertebral discs in patients with spinal tuberculosis	Ningxia Medical University	1	Controlled	0	2025-11-28	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013960
HRA014993	PRJCA048957	Unlabeled mechanical screening technology is used for the detection of stem cell aging and in regenerative medicine research	Sichuan University	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014993
HRA011288	PRJCA039355	Neolithic genomes from the Yan Mountain Corridor illuminate long distance interactions in the agropastoral border zone in northern China	Jilin University	1	Controlled	0	2026-07-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011288
HRA014938	PRJCA052109	Gene expression and alternative splicing are observed to shift in different ways after binding of Naringenin Chalcone and HRH2 in 293T Cells	Chengdu University of Chinese Medicine	0	Open	0	2026-02-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014938
HRA012874	PRJCA044608	Single cell transcriptome profiling of peripheral blood cells in kidney transplant recipients with different rejection responses and treatments	Shanghai Children's hospital	1	Controlled	0	2025-11-28	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012874
HRA013088	PRJCA045605	Single-cell RNA-seq of long-term-passaged human ovarian cancer organoids	Renji Hospital, School of Medicine, Shanghai Jiao Tong University	1	Controlled	0	2026-08-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013088
HRA005974	PRJCA020980	Spatial and Molecular Organization of Adult Human Hypothalamus	Center for Excellence in Brain Science and Intelligence Technology (Institute of Neuroscience), Chinese Academy of Sciences	0	Open	0	2025-11-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005974
HRA006214	PRJCA021620	Pancreatic ductal adenocarcinoma adjuvant chemotherapy vulnerability: a prospective observational study	Ruijin Hospital, Shanghai jiaotong University School of Medicine	1	Controlled	0	2025-02-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006214
HRA014838	PRJCA051613	Pre-rRNA spatial distribution and functional organization of the nucleolus	Fudan University	0	Open	0	2026-06-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014838
HRA014665	PRJCA050938	Study on the Regulatory Effect of GSK2606414 on pHBV1.2-Transfected HepG2 Cells	GuiLin Medical University	0	Open	0	2026-03-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014665
HRA014875	PRJCA051811	SSBP and metagenome	Fuwai Hospital, Chinese Academy of Medical Sciences	1	Controlled	0	2026-03-20	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014875
HRA014949	PRJCA052057	Spatial transcriptomes of bronchiolar adenoma	Shandong University	1	Controlled	0	2025-11-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014949
HRA006115	PRJCA020410	FUSCC PCMC mutation data	Fudan University Shanghai Cancer Center	1	Controlled	0	2026-07-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006115
HRA006120	PRJCA021570	Circulating follicular cytotoxic T cells showed dysfunction phenotype in chronic hepatitis B patients with non-alcoholic fatty liver disease	Zhejiang University School of Medicine	1	Controlled	0	2024-02-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006120
HRA006107	PRJCA021574	Intratumor Microbiome Analysis	Peking Univeersity People's Hospital	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006107
HRA006162	PRJCA021572	human gastric cancer	The First Affiliated Hospital of Anhui Medical University	1	Controlled	0	2026-06-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006162
HRA014663	PRJCA050602	Quantitative analysis of small RNA pseudouridylation reveals interplay of PUS enzymes in tRNA anticodon stem-loop	Peking University	0	Open	0	2026-07-30	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014663
HRA006101	PRJCA021227	Tissue microbiome of low-risk PTC	Shanghai Fourth People's Hospital, School of Medicine, Tongji University	1	Controlled	0	2023-12-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006101
HRA006103	PRJCA021227	Transcriptine analysis of low-risk PTC	Shanghai Fourth People's Hospital, School of Medicine, Tongji University	1	Controlled	0	2023-12-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006103
HRA012402	PRJCA043291	3D Genome Reorganization and Enhancer Hijacking by Structural Variants in ccRCC	The Fourth Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012402
HRA012404	PRJCA043291	Three Dimensional Genome Reorganization and Enhancer Hijacking by Structural Variants in ccRCC	The Fourth Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012404
HRA010594	PRJCA036837	Telomere-to-telomere Assembled Diploid Reference Genome for Chinese Quartet	Xi'an Jiaotong University	1	Controlled	0	2026-04-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010594
HRA012368	PRJCA043274	METTL3 and METTL14 determine human neural fate specifications	Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012368
HRA013853	PRJCA047492	METTL3 and METTL14 determine human neural fate specifications	Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013853
HRA014692	PRJCA050720	A Single-Cell Transcriptomic Atlas of the Tumor Microenvironment in Clear Cell Renal Cell Carcinoma with Lung Metastasis	Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China	1	Controlled	0	2025-11-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014692
HRA011698	PRJCA040826	CGS	Shanxi Medical University	1	Controlled	0	2025-11-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011698
HRA009011	PRJCA031241	Spatiotemporal transcriptomics deciphered NETosis-activated IL-36 as driver and effective therapeutic target in Sweet syndrome	Beihang University	1	Controlled	0	2026-04-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009011
HRA014481	PRJCA029349	PD-1/ PD-L1 Bispecific Antibody IBI318 Combined with Lenvatinib in Advanced Non-Small Cell Lung Cancer with Acquired Resistance to Immune Checkpoint Inhibitors	Hunan Cancer Hospital	1	Controlled	0	2026-07-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014481
HRA014880	PRJCA050452	RNA sequencing following RASA4 knockdown in small cell lung cancer cells	Hefei Institutes of Physical Science, Chinese Academy of Sciences	0	Open	0	2026-01-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014880
HRA006116	PRJCA021523	FASN-mediated fatty acid biosynthesis remodels the tumor immune microenvironment in Clonorchis sinensis-infected intrahepatic cholangiocarcinoma	The First Affiliated Hospital, Sun Yat-sen University	1	Controlled	0	2026-07-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006116
HRA006087	PRJCA021357	Spatial and single-cell transcriptomics landscape of adenomyosis	The Sixth Affiliated Hospital, Sun Yat-sen University	1	Controlled	0	2026-07-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006087
HRA014864	PRJCA050139	Clinicopathological characteristics and differential diagnosis of ALK-rearranged renal cell carcinoma	The First Affiliated Hospital of Xiamen University	1	Controlled	0	2026-06-28	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014864
HRA012916	PRJCA039072	The genetic history around the southeastern Mongolian Plateau traces Neolithic cultural diffusions in northern East Asia	Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences	0	Open	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012916
HRA014857	PRJCA051308	Tumor-Resident Intracellular Microbiota is Associated with Tumor Development and Immune-microenvironment in Papillary Thyroid Cancer	Nankai University	1	Controlled	0	2026-02-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014857
HRA010456	PRJCA036323	Insights from Ancient DNA and Stable Isotope Analysis at the Erdaojingzi Site	Fudan University	1	Controlled	0	2026-07-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010456
HRA009412	PRJCA031472	Spatial transcriptomics elucidate the spatial niche in lung adenocarcinoma	Dalian Medical University	1	Controlled	0	2025-12-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009412
HRA006171	PRJCA021390	Single-cell RNA sequencing reveals the heterogeneity of cell in lower limb ischemia	First Affiliated Hospital of Zhejiang University School of Medicine	1	Controlled	0	2026-02-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006171
HRA014703	PRJCA051037	Single-cell RNA sequencing reveals tumor microenvironment remodeling during the progression from plexiform neurofibroma to malignant peripheral nerve sheath tumors	Beijing Neurosurgical Institute	1	Controlled	0	2026-07-03	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014703
HRA014189	PRJCA049126	Gene Expression profiling analysis of AML cells treated with DNMT1 inhibitors	GUANGZHOU INSTITUTES OF BIOMEDICINE AND HEALTH,CHINESE ACADEMY OF SCIENCES	1	Controlled	0	2026-01-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014189
HRA013953	PRJCA048449	BCMA/CD19 CAR T Cell therapy for refractory myasthenia gravis: proteomic signatures and single-cell transcriptomics of disease flares	The Affiliated Hospital of Xuzhou Medical University	1	Controlled	0	2026-01-28	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013953
HRA006079	PRJCA021420	Clinical characterization and founder effect analysis in Chinese amyotrophic lateral sclerosis patients with SOD1 high frequent mutations	The Second Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2025-04-18	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006079
HRA006072	PRJCA021391	Epitope-engineering in Hematopoietic Stem and Progenitor Cells enables CD123 CAR-T cell immunotherapy for acute myeloid leukemia	Wuhan University	1	Controlled	0	2025-01-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006072
HRA002881	PRJCA011289	Single-cell multi-omics analysis reveals the role of CX3CR1+ GNLY+ CD8+ T cells in improving survival of patients with relapsed/refractory leukemia after haplo+cord HSCT	Xiamen University	1	Controlled	0	2026-06-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002881
HRA013602	PRJCA047353	RNA-Seq of C4-2B cells	Department of Urology, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-03-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013602
HRA010058	PRJCA034917	circular RNA sequencing in five paired samples of prostate carcinoma tissues and adjacent normal tissues including three patients who received neoadjuvant hormonal therapy	Department of Urology, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-03-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010058
HRA010059	PRJCA034937	RNA sequencing of C4-2B cells	Department of Urology, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-03-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010059
HRA014533	PRJCA050452	Methylome profiling of tumor tissue and plasma cell-free DNA identifies a novel epigenetic silenced tumor suppressor RASA4 in small cell lung cancer	Hefei Institutes of Physical Science, Chinese Academy of Sciences	0	Open	0	2026-01-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014533
HRA014843	PRJCA051691	Exploring the Interaction Mechanisms of CD46/TREM1 and LC3B/ATG5 in the Inflammation-Cancer Transformation of Oral Squamous Cell Carcinoma Based on Bioinformatics_homo sapiens_patients	Qingdao University Affiliated Qingdao Stomatological Hospital	1	Controlled	0	2026-04-01	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014843
HRA010475	PRJCA036285	Maternal acute SARS-CoV-2 infection impairs preimplantation embryo development and reprograms early offspring hematopoietic system	Fudan University	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010475
HRA014833	PRJCA051036	Candidate biomarkers of EV-microRNA in detecting REM sleep behavior disorder and Parkinson's disease	Center for Excellence in Molecular Cell Science, CAS	1	Controlled	0	2025-12-01	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014833
HRA014811	PRJCA051634	Transcriptomic data of 5-HT1D in gastric cancer	School of Medicine	1	Controlled	0	2025-11-21	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014811
HRA014825	PRJCA051636	RNA sequencing in untreated (UN), sodium arsenite (SA) and heat shock (HS) stressed HeLa,HUVEC and THP-1 cells	Fudan University	0	Open	0	2026-06-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014825
HRA014824	PRJCA047868	Transcriptome sequencing of liver tissue in PBC patients	Tianjin Medical University General Hospital	1	Controlled	0	2025-12-20	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014824
HRA014823	PRJCA051484	RNAseq of SHEDs under Osteogenic Induction and Melatonin Treatment	the Nine-hundred Sixtieth hospital of PLA	1	Controlled	0	2025-12-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014823
HRA014614	PRJCA050948	Transcriptomic profiles of human bladder cancers	Shanghai Jiao Tong University	1	Controlled	0	2026-05-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014614
HRA014631	PRJCA050994	Whole exonic mutational features of human bladder urothelial carcinoma	Shanghai Jiao Tong University	1	Controlled	0	2026-05-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014631
HRA014638	PRJCA050995	Whole exonic mutational features of human bladder urothelial carcinoma with squamous differentiation	Shanghai Jiao Tong University	1	Controlled	0	2026-05-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014638
HRA014656	PRJCA050993	Whole exonic mutational features of human bladder squamous cell carcinoma	Shanghai Jiao Tong University	1	Controlled	0	2026-05-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014656
HRA014767	PRJCA051159	Circulating Microbiome Profiling in Transjugular Intrahepatic Portosystemic Shunt (TIPS) Patients: 16S rRNA vs. Shotgun Sequencing	The Second Hospital of Hebei Medical University	1	Controlled	0	2026-08-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014767
HRA014782	PRJCA051539	mRNA half-life profiling of METTL3 inhibitor STM2457-treated human large cell lung carcinoma cell line	Peking University Health Science Center	0	Open	0	2025-12-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014782
