gse	n_gsm_meta	platforms_meta	organisms	n_char_fields	response_keys	response_value_tokens	ici_tokens	has_response_annot	has_ici_annot	lung_sample_mention	cellline_mention	fetch_error	n_samples	pdat	gds_type	is_array_type	platforms	platform_titles	pubmed	title	priority
GSE328294	6	GPL24676	Homo sapiens	4				0	0	1	1	0	6	2026/06/05	Expression profiling by high throughput sequencing	0	GPL24676			IBI351, a novel KRASG12C inhibitor, enhances αPD-1 efficacy in KRASG12C mutant lung cancer	1
GSE330687	6	GPL23227	Homo sapiens	3		PD		0	0	1	1	0	6	2026/05/17	Expression profiling by high throughput sequencing	0	GPL23227			PD-L1 drives metabolic reprogramming and mitochondrial remodeling in NSCLC cells	1
GSE81801	90	GPL19886	Homo sapiens	6		PD		0	0	0	1	0	90	2021/06/28	Expression profiling by array	1	GPL19886			Prognostic Liver Signature profiles of Jc1-infected Huh7.5.1dif cells treated with various drugs	1
GSE87879	6	GPL17586	Homo sapiens	2		PD		0	0	0	1	0	6	2017/03/07	Expression profiling by array	1	GPL17586			Re-activating pRB via PD 0332991 treatment in NSCLC H1299 Cells	1
GSE120028	19	GPL17303	Homo sapiens	7				0	0	0	0	0	19	2019/08/06	Expression profiling by high throughput sequencing	0	GPL17303			Transcriptomic analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody [3'SAGE-seq]	0
GSE120101	105	GPL17303;GPL23934	Homo sapiens	7				0	0	0	0	0	105	2019/08/06	Expression profiling by high throughput sequencing	0	GPL23934;GPL17303	 | 		T-cell receptor repertoire analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody [TCR-seq]	0
GSE124885	4	GPL20795	Homo sapiens	2				0	0	0	0	0	4	2020/08/26	Expression profiling by high throughput sequencing; Other	0	GPL20795			A CD4 T cell population expand and reshape autoreactive B cells, contributing to autoimmune lung pathology and post-infection autoimmunity in children	0
GSE139327	28	GPL18573	Homo sapiens	3				0	0	0	0	0	28	2020/05/26	Expression profiling by high throughput sequencing	0	GPL18573			Contrasting inflammatory signatures in peripheral blood and bronchoalveolar cells reveal compartment-specific effects of HIV infection	0
GSE159787	363	GPL29228	Homo sapiens;Severe acute respiratory syndrome coronavirus 2	16				0	0	0	0	0	363	2020/11/14	Other; Expression profiling by high throughput sequencing	0	GPL29228			Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [gene expression]	0
GSE162154	6	GPL28038	Homo sapiens	1				0	0	0	0	0	6	2021/06/10	Expression profiling by high throughput sequencing	0	GPL28038			RNA-seq of human small airawy epithelial cells in patients with COPD and Never-smoker	0
GSE176022	102	GPL24676	Homo sapiens	7				0	0	0	0	0	102	2021/07/21	Expression profiling by high throughput sequencing; Other	0	GPL24676			Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade [bulk TCR-seq]	0
GSE185204	40	GPL24676	Homo sapiens	3				0	0	0	0	0	40	2023/02/14	Expression profiling by high throughput sequencing; Other	0	GPL24676			Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scRNA-seq]	0
GSE185205	36	GPL24676	Homo sapiens	3				0	0	0	0	0	36	2023/02/14	Other	0	GPL24676			Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scTCR-seq]	0
GSE192591	6	GPL24676	Homo sapiens	4		PD		0	0	0	0	0	6	2022/02/18	Expression profiling by high throughput sequencing	0	GPL24676			PD-L1+CD8+ T cells enrichment in lung cancer exerted regulatory function and tumor-promoting tolerance	0
