definition	histology	min_mal	min_tnk	x	y	n	rho	p	worst_loo_donor	worst_loo_rho	worst_loo_p	t13_in_set	rho_without_t13	p_without_t13	stable_inverse	fragile_to_t13
author_tumor	luad_incl_mucinous	50	50	cldn4_pct1	tnk_frac	12	-0.6643356643356644	0.01845271802844544	T13	-0.5636363636363637	0.07095173447637551	True	-0.5636363636363637	0.07095173447637551	False	True
author_tumor	luad_incl_mucinous	50	50	cldn4_mean	cd8_frac	12	-0.4685314685314686	0.12445479118883407	T13	-0.3090909090909091	0.35502843970150694	True	-0.3090909090909091	0.35502843970150694	False	False
author_tumor	luad_incl_mucinous	50	100	cldn4_mean	tnk_frac	12	-0.6223776223776225	0.030675895061640146	T13	-0.5090909090909091	0.10973723224165634	True	-0.5090909090909091	0.10973723224165634	False	True
author_tumor	luad_incl_mucinous	50	100	cldn4_pct0	tnk_frac	12	-0.7272727272727274	0.0073550288578051294	T24	-0.6454545454545455	0.03196279932801746	True	-0.6636363636363638	0.0259841339187655	True	False
author_tumor	luad_incl_mucinous	50	100	cldn4_pct1	tnk_frac	12	-0.6643356643356644	0.01845271802844544	T13	-0.5636363636363637	0.07095173447637551	True	-0.5636363636363637	0.07095173447637551	False	True
author_tumor	luad_incl_mucinous	50	100	cldn4_mean	cd8_frac	12	-0.4685314685314686	0.12445479118883407	T13	-0.3090909090909091	0.35502843970150694	True	-0.3090909090909091	0.35502843970150694	False	False
author_tumor	luad_incl_mucinous	100	1	cldn4_mean	tnk_frac	9	-0.39999999999999997	0.286105101908313	T16	-0.19047619047619052	0.6514014957024814	False			False	False
author_tumor	luad_incl_mucinous	100	1	cldn4_pct0	tnk_frac	9	-0.6166666666666666	0.07692880993776312	T09	-0.4523809523809524	0.2604047674368853	False			False	False
author_tumor	luad_incl_mucinous	100	1	cldn4_pct1	tnk_frac	9	-0.5333333333333333	0.13922686754397814	T24	-0.3333333333333334	0.4197530864197532	False			False	False
author_tumor	luad_incl_mucinous	100	1	cldn4_mean	cd8_frac	9	-0.26666666666666666	0.48792227483870076	T16	0.0	1.0	False			False	False
author_tumor	luad_incl_mucinous	100	10	cldn4_mean	tnk_frac	9	-0.39999999999999997	0.286105101908313	T16	-0.19047619047619052	0.6514014957024814	False			False	False
author_tumor	luad_incl_mucinous	100	10	cldn4_pct0	tnk_frac	9	-0.6166666666666666	0.07692880993776312	T09	-0.4523809523809524	0.2604047674368853	False			False	False
