Marker.Symbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Bst2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.289304	4.94137	0.152076	1
Mospd1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.404168	3.45038	0.152186	1
Pi4k2b	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.260899	7.65516	0.152203	1
Kif6	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.661017	1.80861	0.152275	1
Lta4h	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.296742	4.73735	0.152407	1
R74862	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.430113	3.19512	0.152407	1
Pla2g15	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.285909	5.17841	0.152485	1
Mpv17l	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.366966	4.29776	0.152507	1
Camsap3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.324011	4.54471	0.152537	1
Dpm3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.347456	4.01477	0.152544	1
Akap9	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.266547	6.97564	0.152581	1
Elavl4	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-4.08746	-0.981464	0.152602	1
3110002H16Rik	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.309181	4.8472	0.152653	1
Mrpl1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.3708	3.64789	0.152717	1
Fchsd2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.26093	5.80753	0.152734	1
Myb	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.456672	3.11305	0.152817	1
Cdx4	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-4.08746	-0.981464	0.152829	1
Fam69a	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.321674	4.77119	0.152849	1
Adck4	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.292491	4.96495	0.152863	1
Cacng1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-4.08746	-0.981464	0.152867	1
Ppp1r3c	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.625152	2.34046	0.153057	1
Gse1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.255944	6.95272	0.153091	1
Rrs1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.301899	4.73507	0.153151	1
Styxl1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.16439	0.387769	0.153257	1
Top2a	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.406214	3.22799	0.153337	1
Ppil6	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.4579	2.7555	0.153386	1
Acox2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.417707	3.36431	0.153578	1
Plcd1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.396537	3.83018	0.153773	1
Gabarapl1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.25001	7.75916	0.153799	1
Pithd1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.284951	5.2001	0.153834	1
Ppapdc2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.30024	4.82804	0.153927	1
Syk	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.268603	6.38413	0.153981	1
Adrb1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.309613	4.78451	0.15403	1
Tmem231	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.38343	3.56286	0.154059	1
Inpp5f	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.295318	5.51838	0.154141	1
Eif1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.248515	8.58855	0.154142	1
Mamstr	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.434995	3.13401	0.15418	1
Ppfia2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.40439	-0.042865	0.154311	1
Sycp1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.766409	1.6234	0.154355	1
Alg12	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.361968	3.71898	0.154361	1
Dcaf15	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.308068	4.61597	0.154374	1
Slc2a1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.265359	5.79552	0.154582	1
Bcl2l15	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.40439	-0.042865	0.154617	1
Dbndd2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.300977	5.45177	0.154841	1
Cyp1a1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.705351	4.106	0.154862	1
4933426M11Rik	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.247656	8.24775	0.154908	1
Tbca	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.289299	4.90118	0.154961	1
Garem	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.389487	3.37609	0.155083	1
Nr3c1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.288739	7.7586	0.155093	1
1700084J12Rik	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.614449	1.73735	0.155094	1
Zfp322a	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.479699	4.06293	0.155181	1
Ms4a4d	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.333804	5.65878	0.155203	1
Zfp867	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.365253	3.88066	0.155221	1
Cdsn	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.91427	-0.042865	0.155459	1
Aph1b	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.316823	4.83232	0.15546	1
Rnf139	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.257553	5.96398	0.155545	1
Pdia6	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.252354	7.35616	0.155778	1
Yod1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.343758	4.02976	0.155801	1
Ifitm5	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.18903	0.240928	0.155802	1
Zfp72	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.980371	0.562856	0.155831	1
Zcchc12	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.18903	0.240928	0.155832	1
Ccdc66	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.387592	3.893	0.155948	1
Fam89b	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.301899	4.73507	0.156058	1
Apbb1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.267949	6.16744	0.156118	1
Nrde2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.316291	4.69096	0.156249	1
Nomo1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.255171	5.98816	0.156288	1
Tmem181a	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.355929	3.94927	0.156619	1
Cadm1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.318476	8.52104	0.156774	1
Lama4	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.280201	6.73735	0.156784	1
Abcg3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.720383	1.70036	0.156918	1
Nfkbid	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.595769	1.94137	0.156952	1
Zfp212	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.296113	5.19512	0.157074	1
Fmo6	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.18903	0.240928	0.157183	1
Icos	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.550003	2.32839	0.157207	1
Fsd1l	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.35358	4.75325	0.157329	1
Mocs2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.279926	5.04644	0.157403	1
Fbxw9	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.31003	4.43357	0.157412	1
Adrm1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.255334	6.14179	0.157563	1
Arhgap6	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.264325	5.58205	0.157682	1
Pycr1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.744441	1.31622	0.157711	1
Comtd1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.581448	1.97273	0.157727	1
Mrgpra2a	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.52725	0.0185355	0.157827	1
Cct3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.255722	6.48546	0.158057	1
Kcnb1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.543904	3.00343	0.158265	1
Ndufb8	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.266496	5.45455	0.158302	1
Mreg	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.596458	1.85984	0.158466	1
Odc1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.25146	6.09357	0.158481	1
Sh3kbp1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.285705	5.22961	0.158546	1
Pik3cg	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.336596	4.05928	0.158562	1
2610301B20Rik	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.306857	4.71202	0.158563	1
Xrn1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.285023	5.11305	0.158569	1
Aoc3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.617961	3.42226	0.1587	1
Brwd3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.370368	3.72359	0.158756	1
Ifit2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.322614	4.9194	0.159254	1
Otud4	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.258668	6.83392	0.159273	1
Slc25a29	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.358506	3.76896	0.159358	1
S1pr2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.288201	5.41657	0.159393	1
Tnni3k	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.04731	0.82589	0.15949	1
Abcb4	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.980371	0.562856	0.159544	1
Pan3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.253002	6.62587	0.159596	1
Adam3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.05733	0.603498	0.15968	1
S100a6	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.35011	7.80071	0.159697	1
Tmem28	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.595158	2.01854	0.159788	1
2010107E04Rik	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.334999	4.37609	0.159881	1
Pkm	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.245558	8.38322	0.159942	1
Ccdc65	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.600393	2.6035	0.160125	1
Fam229b	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.783508	1.04828	0.160175	1
Abcg1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.271687	6.57248	0.160356	1
Rbm5	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.267458	6.12357	0.160367	1
Shprh	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.324123	5.11481	0.160389	1
Ncr1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.861024	0.82589	0.160392	1
Samd9l	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.388818	5.91133	0.16044	1
Atm	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.298282	4.99391	0.160463	1
Vnn3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.74464	2.73735	0.160511	1
Nudcd2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.376394	3.83871	0.160526	1
1700020L24Rik	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.675378	2.5421	0.160587	1
Tmem185b	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.291956	4.80426	0.160773	1
Car15	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.731004	1.6035	0.160817	1
1500017E21Rik	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.731004	1.6035	0.16082	1
Fbn1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.251464	7.16532	0.160958	1
Atp13a2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.288277	6.23528	0.161052	1
Csf2rb2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.324473	4.26012	0.161129	1
Leng8	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.245989	8.17314	0.16122	1
Zfp524	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.453626	2.7097	0.16129	1
Il1r1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.286392	6.413	0.161525	1
Cd48	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.477628	2.80861	0.161616	1
Rpl41	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.24697	6.94137	0.161697	1
Stom	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.266536	6.82643	0.161764	1
Pcdhga2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.704176	1.47797	0.161984	1
Lancl3	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.861024	0.82589	0.162026	1
Fus	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.252172	7.59974	0.162084	1
Atf4	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.256835	8.43832	0.162093	1
Cdk1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.825321	0.988162	0.16223	1
Slc25a45	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.385689	3.66719	0.162276	1
Perp	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.270429	5.66959	0.1623	1
Aurkb	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.797811	1.13401	0.162336	1
Oasl1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.720383	1.70036	0.162512	1
Nfkbil1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.357729	3.87652	0.162522	1
Nln	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.296158	4.76225	0.162613	1
Ift52	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.288874	4.88272	0.16266	1
Epha1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.269044	5.33142	0.162761	1
Dclk2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.540081	2.35244	0.162763	1
Fam196a	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.715432	1.36431	0.1629	1
Jag1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.307469	5.40799	0.163024	1
Tmem255b	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.07276	0.340464	0.163051	1
Ddost	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.250629	7.1405	0.163227	1
Sptbn2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.395171	3.52104	0.163235	1
Thsd7a	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.412054	3.92543	0.163275	1
Zfp157	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.369706	3.61348	0.163411	1
Tom1l1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.300573	4.78451	0.163494	1
Mcm5	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.348095	3.88066	0.163715	1
Ddrgk1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.254606	6.23123	0.163843	1
Stoml2	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.336596	4.05928	0.164008	1
Oxld1	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.825321	0.988162	0.164216	1
Clec4d	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4 KO (low-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.663144	3.57312	0.164284	1
