Feature_name	baseMean	log2FC_KO_vs_WT	lfcSE	deseq2_stat	p_deseq2	q_deseq2_BH	n_KO	n_WT
SFMBT1	77.7546	-0.387448	0.188149	-2.07718	0.0377845	0.263027	4	3
EPHA10	7.7753	0.907711	0.403589	2.07692	0.0378091	0.263027	4	3
HLA-DPA1	37.7693	-0.836658	0.397701	-2.07691	0.0378095	0.263027	4	3
ZNF385C	6.29791	0.910761	0.409201	2.0768	0.0378197	0.263027	4	3
SERINC4	11.6908	0.802899	0.371866	2.07586	0.0379064	0.263477	4	3
HOXB3	25.5764	-0.623732	0.300818	-2.07391	0.0380878	0.264431	4	3
NABP2	77.2231	-0.506528	0.243692	-2.07281	0.03819	0.264893	4	3
TCF25	160.417	0.465513	0.228866	2.07272	0.0381985	0.264893	4	3
NAA30	85.9981	-0.361825	0.176604	-2.07173	0.0382908	0.265281	4	3
TUSC3	175.855	-0.41633	0.199588	-2.07141	0.0383209	0.265281	4	3
GPX8	29.712	0.681869	0.352535	2.07098	0.0383602	0.265401	4	3
TMEM143	8.81416	0.840756	0.375794	2.06968	0.0384819	0.266089	4	3
WDR31	41.0595	0.615768	0.294342	2.06753	0.0386847	0.267337	4	3
IQCA1	4.0083	-0.827663	0.422101	-2.06671	0.0387613		4	3
RDH11	454.219	0.342234	0.165437	2.06554	0.0388717	0.268242	4	3
SMC2	452.547	0.241733	0.116791	2.06539	0.0388864	0.268242	4	3
PREB	19.1673	0.739727	0.343964	2.06525	0.0388993	0.268242	4	3
CRK	283.434	-0.321268	0.155091	-2.06519	0.0389052	0.268242	4	3
DCLK1	24.9161	-0.79232	0.379568	-2.06362	0.0390537	0.268873	4	3
WDR78	25.1147	0.68615	0.325635	2.06351	0.0390639	0.268873	4	3
FKBP1A	144.712	-0.357884	0.173465	-2.06282	0.03913	0.269173	4	3
MRPL52	34.6385	-0.686687	0.320625	-2.0625	0.0391603	0.269183	4	3
C12orf57	24.7093	-0.651892	0.314768	-2.06233	0.0391763	0.269183	4	3
TDRD7	5.31833	0.871079	0.416844	2.06191	0.0392159		4	3
MIPEP	38.0489	0.53184	0.257915	2.06102	0.0393011	0.269653	4	3
THUMPD3	126.903	-0.363779	0.176616	-2.0609	0.0393122	0.269653	4	3
ADGRD1	12.5469	-0.868911	0.418821	-2.05888	0.0395062	0.270674	4	3
CHRDL1	3.38875	-0.847032	0.414122	-2.05798	0.0395924		4	3
PYGO2	444.31	-0.37588	0.183381	-2.05758	0.0396305	0.271215	4	3
RNF123	5.14434	-0.870162	0.420463	-2.05694	0.0396918		4	3
NKIRAS2	144.63	-0.364883	0.176712	-2.05516	0.0398636	0.272655	4	3
PARP12	32.135	0.601228	0.299825	2.0541	0.039966	0.273156	4	3
CCNY	138.208	-0.427705	0.208204	-2.0537	0.0400052	0.273156	4	3
ZNF134	21.2972	-0.59356	0.290984	-2.05326	0.0400471	0.27316	4	3
TMEM5	32.3085	-0.567176	0.276334	-2.05322	0.0400514	0.27316	4	3
KDM2A	404.611	0.265911	0.129935	2.05241	0.0401298	0.273424	4	3
DDX50	188.745	-0.287642	0.140215	-2.05224	0.0401464	0.273424	4	3
UBE2M	18.4688	-0.72527	0.348125	-2.05176	0.040193	0.273504	4	3
RUNX1T1	63.9341	-0.720306	0.349067	-2.05036	0.0403295	0.273932	4	3
SCUBE2	38.6073	0.701975	0.392491	2.05032	0.0403336	0.273932	4	3
CPD	374.068	-0.43966	0.216989	-2.05023	0.0403416	0.273932	4	3
SLC2A1	112.389	0.495223	0.24529	2.05018	0.0403473	0.273932	4	3
ZNF326	85.2709	0.4391	0.215278	2.04952	0.0404115	0.274213	4	3
UBE2Q1	362.214	-0.352827	0.172219	-2.04895	0.0404669	0.274246	4	3
SLC16A7	9.07743	-0.84928	0.423474	-2.04878	0.0404833	0.274246	4	3
C15orf48	3.5054	0.985968	0.421768	2.04873	0.0404881		4	3
L1CAM	40.712	0.647191	0.316649	2.04856	0.0405049	0.274246	4	3
POLDIP2	68.0513	-0.424608	0.208265	-2.04853	0.0405079	0.274246	4	3
PIDD1	11.1333	0.821945	0.4113	2.04816	0.0405445	0.274339	4	3
OXA1L	244.812	-0.321259	0.155677	-2.04785	0.0405744	0.274387	4	3
IQSEC1	48.9667	-0.576155	0.285079	-2.04756	0.0406029	0.274425	4	3
PSMC5	362.099	0.26538	0.129887	2.04647	0.0407102	0.274467	4	3
RPL27	750.103	-0.366753	0.178408	-2.04626	0.0407311	0.274467	4	3
XAF1	437.711	0.711491	0.396332	2.0461	0.0407464	0.274467	4	3
IAH1	46.619	0.563559	0.27429	2.04603	0.0407534	0.274467	4	3
C19orf54	19.1002	0.694753	0.333542	2.04587	0.0407694	0.274467	4	3
OASL	52.2288	0.677851	0.35748	2.04508	0.0408469	0.274834	4	3
PML	57.1344	0.540389	0.267851	2.04473	0.040882	0.274885	4	3
EIF3H	246.233	-0.312244	0.153959	-2.04431	0.0409233	0.274885	4	3
RAB7B	5.96583	-0.819726	0.42741	-2.0443	0.0409235		4	3
DUSP10	19.3304	0.684048	0.322355	2.04394	0.0409595	0.274935	4	3
RBM18	52.213	0.518795	0.252796	2.04377	0.0409766	0.274935	4	3
RAB21	214.926	-0.320317	0.157329	-2.04341	0.041012	0.275019	4	3
MOSPD3	23.7308	-0.584052	0.29046	-2.04266	0.0410857	0.275252	4	3
PDCD4	311.523	-0.476404	0.236658	-2.04259	0.0410927	0.275252	4	3
SRSF7	685.788	0.331879	0.162732	2.0422	0.0411314	0.275334	4	3
WNT11	24.6603	0.656478	0.397261	2.04201	0.0411508	0.275334	4	3
ELOVL2	10.514	0.825961	0.361178	2.0416	0.0411916	0.275453	4	3
RPLP0	417.445	-0.441301	0.216126	-2.04094	0.0412572	0.275655	4	3
RMDN2	8.23544	-0.84674	0.412742	-2.04083	0.0412678	0.275655	4	3
PPP1R37	95.8354	0.39532	0.190953	2.03953	0.0413975	0.27606	4	3
SUPT20H	54.4677	0.504748	0.257075	2.03889	0.0414613	0.276332	4	3
ZNF45	5.38262	-0.865644	0.422549	-2.0385	0.0415004		4	3
KLHL20	37.7727	-0.502516	0.244198	-2.0378	0.0415694	0.276892	4	3
WDR59	24.3781	0.608047	0.322576	2.03721	0.0416288	0.276892	4	3
TIMMDC1	343.913	-0.36269	0.176583	-2.03705	0.0416452	0.276892	4	3
LIMK2	242.359	0.44506	0.218355	2.03697	0.0416535	0.276892	4	3
NRP1	9.96007	-0.849999	0.416574	-2.03689	0.0416609	0.276892	4	3
IKBKB	65.8677	0.430869	0.211219	2.03665	0.0416856	0.276903	4	3
DENND3	6.10896	0.927552	0.421611	2.03653	0.0416972		4	3
HECTD4	63.071	0.423336	0.207141	2.03616	0.0417342	0.277073	4	3
CPLX1	4.18703	0.829649	0.423308	2.03546	0.041805		4	3
SPIN3	37.7389	0.556926	0.269354	2.0353	0.0418211	0.277496	4	3
CNOT6	252.584	-0.508851	0.250508	-2.03501	0.0418495	0.277506	4	3
COL7A1	18.7956	0.782433	0.403429	2.03482	0.0418689	0.277506	4	3
LRMDA	11.8408	-0.778692	0.37692	-2.03346	0.0420066	0.278264	4	3
ZNF385A	21.9648	-0.669715	0.323878	-2.03282	0.0420705	0.278534	4	3
WASHC4	107.298	-0.386662	0.188007	-2.03184	0.0421694	0.279035	4	3
R3HDM4	588.931	0.298795	0.146815	2.0314	0.0422149	0.279182	4	3
TMEM106A	66.3277	0.644782	0.304259	2.03108	0.0422464	0.279185	4	3
SLC25A29	7.82272	0.877996	0.419646	2.03093	0.0422619	0.279185	4	3
HRAS	4.81354	0.759687	0.422576	2.03082	0.0422734		4	3
PAPD5	136.873	-0.323581	0.15817	-2.03059	0.0422967	0.27926	4	3
TC2N	337.934	0.351499	0.170007	2.02954	0.0424033	0.27981	4	3
RIOK1	59.6204	-0.432139	0.211191	-2.02879	0.0424796	0.280046	4	3
LYST	167.542	-0.394099	0.191505	-2.02828	0.0425319	0.280147	4	3
MRFAP1	280.184	-0.32048	0.158047	-2.02812	0.0425478	0.280147	4	3
NTHL1	19.4924	-0.655553	0.320684	-2.02779	0.0425812	0.280213	4	3
HINT2	76.257	0.395569	0.195765	2.02685	0.0426778	0.280537	4	3
SDHD__ENSG00000204370	40.569	-0.526556	0.258865	-2.0267	0.0426933	0.280537	4	3
LMAN2	594.272	-0.288548	0.142098	-2.02663	0.0427006	0.280537	4	3
PLIN3	182.445	0.36088	0.177555	2.02513	0.0428537	0.281389	4	3
SRP72	571.867	-0.260316	0.128204	-2.02487	0.0428803	0.28141	4	3
ENTPD6	38.5562	0.520713	0.251671	2.02409	0.0429608	0.281783	4	3
NOD1	18.127	0.68178	0.328951	2.02377	0.0429942	0.281848	4	3
LCA5L	13.1602	0.74527	0.398694	2.02304	0.0430693	0.282054	4	3
CCDC88C	166.849	0.563746	0.271728	2.0229	0.0430835	0.282054	4	3
CAPG	295.654	0.466756	0.231853	2.02242	0.0431331	0.282142	4	3
MRPS35	211.333	-0.307091	0.151535	-2.02214	0.0431615	0.282173	4	3
TRIP12	196.65	-0.318463	0.157283	-2.02172	0.0432058	0.282309	4	3
ENPP2	18.7176	-0.884005	0.412152	-2.0212	0.0432593	0.282505	4	3
TMEM80	16.9006	0.687484	0.338348	2.02082	0.0432984	0.282589	4	3
STC2	35.4096	0.660418	0.337538	2.02062	0.0433194	0.282589	4	3
SIPA1L2	56.1118	0.762277	0.382973	2.01956	0.0434294	0.283102	4	3
TMEM159	88.1019	-0.476693	0.239096	-2.01933	0.0434525	0.283102	4	3
HTATIP2	132.364	0.453864	0.225359	2.01918	0.0434687	0.283102	4	3
CFB	17.5661	0.610659	0.402577	2.01881	0.0435073	0.283199	4	3
IDS	78.4938	0.510687	0.248122	2.01789	0.043603	0.283572	4	3
ECHDC3	4.9834	-0.848538	0.417806	-2.01749	0.0436443		4	3
SPCS3	39.0853	-0.518977	0.254096	-2.01735	0.0436589	0.283572	4	3
AGAP3	649.299	0.379297	0.187581	2.01695	0.0437012	0.283572	4	3
PKIB	17.1967	-0.75578	0.376295	-2.01692	0.0437042	0.283572	4	3
PRCC	27.9122	-0.61871	0.303591	-2.01676	0.0437207	0.283572	4	3
LSG1	246.282	-0.30467	0.150021	-2.01667	0.0437301	0.283572	4	3
SERINC5	22.2643	-0.673591	0.326113	-2.01485	0.04392	0.284649	4	3
STX3	150.494	0.327916	0.161425	2.01451	0.0439557	0.284726	4	3
ZNF639	84.7529	-0.355436	0.175839	-2.01371	0.0440396	0.285116	4	3
MAFB	158.844	-0.596867	0.294611	-2.01337	0.044076	0.285198	4	3
AIP	31.6902	-0.63336	0.31298	-2.01306	0.0441086	0.285254	4	3
RAP1A	140.415	-0.462506	0.231611	-2.01225	0.0441939	0.285653	4	3
PLEKHN1	26.6289	0.642991	0.328587	2.01041	0.0443876	0.28675	4	3
PDCD6	79.8655	0.471299	0.233336	2.00977	0.044456	0.286819	4	3
RBM4B	16.4934	0.667899	0.341015	2.00972	0.0444608	0.286819	4	3
AKR1A1	50.3435	0.554633	0.270262	2.00963	0.0444702	0.286819	4	3
NEO1	71.4302	-0.542049	0.269173	-2.00869	0.0445696	0.28689	4	3
PSMD2	553.406	0.248325	0.123894	2.00854	0.0445859	0.28689	4	3
GTF2F2	35.7287	0.549854	0.279283	2.00844	0.044597	0.28689	4	3
OXR1	224.525	-0.320385	0.160073	-2.00835	0.0446059	0.28689	4	3
EFHC1	105.961	0.475172	0.236809	2.00818	0.0446246	0.28689	4	3
RPAIN	14.7401	0.744171	0.374308	2.00745	0.0447016	0.287214	4	3
RAB9A	12.6339	0.797134	0.394283	2.00717	0.0447315	0.287214	4	3
THOC2	469.305	-0.310692	0.154729	-2.00703	0.044747	0.287214	4	3
ZNF888	8.82359	0.844905	0.404205	2.00614	0.0448408	0.287604	4	3
CD55	78.8395	0.426739	0.210827	2.00591	0.0448657	0.287604	4	3
DNAJB6	63.6375	-0.393932	0.197101	-2.00578	0.0448797	0.287604	4	3
EPB41L4B	16.3005	0.685794	0.342276	2.00538	0.0449224	0.287634	4	3
LAMTOR5	265.233	0.325558	0.16138	2.00529	0.0449323	0.287634	4	3
GIPR	2.09116	0.768297	0.37605	2.00497	0.0449658		4	3
UMPS	114.041	-0.346144	0.173512	-2.00489	0.0449743	0.287749	4	3
GALNS	52.3638	0.528683	0.264787	2.0035	0.0451242	0.288229	4	3
PFN1	140.206	-0.555399	0.271462	-2.00329	0.0451459	0.288229	4	3
TBC1D23	90.6392	-0.451324	0.224571	-2.00287	0.0451917	0.288229	4	3
MORF4L2	497.925	0.396834	0.195536	2.00277	0.0452025	0.288229	4	3
PTN	7.19818	-0.834192	0.424707	-2.00275	0.0452044	0.288229	4	3
STIP1	273.94	0.305776	0.153371	2.00156	0.045332	0.288805	4	3
IFIT5	87.1058	0.577364	0.294273	2.00027	0.0454712	0.289538	4	3
SP100	117.38	0.574122	0.290359	1.99828	0.0456868	0.290602	4	3
CCND3	106.831	0.384439	0.190037	1.99749	0.0457715	0.290925	4	3
UBQLN1	117.542	0.353788	0.175982	1.99736	0.0457861	0.290925	4	3
WDSUB1	9.5815	0.790508	0.377468	1.99708	0.0458167	0.290965	4	3
SLC24A2	2.38478	-0.918558	0.418959	-1.99684	0.045843		4	3
KYAT1	6.15748	0.899263	0.423094	1.99661	0.0458679		4	3
MEGF8	11.3483	0.784547	0.365794	1.99631	0.0458997	0.291338	4	3
ARRDC3	50.8095	-0.56498	0.279998	-1.99588	0.0459469	0.291458	4	3
SEC16A	87.9221	0.433076	0.214063	1.99554	0.0459836	0.291458	4	3
NRSN2	19.2774	-0.7193	0.349991	-1.99511	0.0460311	0.291458	4	3
FGF2	48.7711	-0.730698	0.37013	-1.995	0.0460426	0.291458	4	3
PARP3	44.8189	-0.543916	0.265614	-1.99492	0.0460521	0.291458	4	3
PLA2G15	27.423	-0.581303	0.287592	-1.9948	0.0460644	0.291458	4	3
PPP4C	10.2165	-0.784728	0.389617	-1.99367	0.0461886	0.292089	4	3
LONRF1	19.9519	-0.641818	0.321799	-1.99337	0.0462205	0.292115	4	3
ZDHHC2	3.37995	-0.904048	0.423942	-1.99308	0.0462524		4	3
RASA1	63.6973	-0.557058	0.27808	-1.99306	0.0462549	0.292115	4	3
HCFC1	254.042	0.304494	0.152065	1.99296	0.0462657	0.292115	4	3
URB1	26.8631	-0.58062	0.287222	-1.99262	0.0463034	0.292161	4	3
TRANK1	18.5103	0.649987	0.387827	1.99235	0.0463322	0.292161	4	3
CKAP2	54.155	0.42645	0.218081	1.992	0.0463705	0.292161	4	3
MYL6B	32.279	-0.610582	0.296642	-1.99147	0.0464289	0.292282	4	3
FRG2C	1.7207	-0.952889	0.377569	-1.99121	0.0464574		4	3
KNTC1	55.0983	0.466504	0.231696	1.99114	0.0464654	0.292282	4	3
FER	77.3874	-0.462931	0.231438	-1.99097	0.0464841	0.292282	4	3
TRIM38	97.582	-0.678959	0.323121	-1.99094	0.0464872	0.292282	4	3
DNAJA3	65.2416	0.426757	0.211362	1.99069	0.046515	0.292303	4	3
DACH1	54.8655	-0.494024	0.247431	-1.99026	0.0465618	0.292317	4	3
MKL2	141.477	-0.345534	0.175295	-1.99023	0.0465659	0.292317	4	3
MTRNR2L10	58.4012	-0.845657	0.421202	-1.98886	0.046717	0.292549	4	3
GDI2	227.637	-0.326739	0.163486	-1.9888	0.0467228	0.292549	4	3
ZNF827	239.26	-0.273591	0.137687	-1.98878	0.046725	0.292549	4	3
WDR60	131.658	0.379706	0.192726	1.98878	0.0467252	0.292549	4	3
HSD17B8	79.3112	-0.405987	0.204026	-1.98847	0.0467595	0.292549	4	3
RNF38	30.5098	-0.575931	0.290984	-1.98825	0.0467841	0.292549	4	3
LMF2	58.0683	0.502296	0.250958	1.98819	0.0467912	0.292549	4	3
COL14A1	16.9958	-0.835909	0.421431	-1.98812	0.0467981	0.292549	4	3
CCDC47	125.513	-0.345172	0.172795	-1.98739	0.0468788	0.292901	4	3
RAP1GAP2	63.5745	0.431226	0.214788	1.98642	0.0469869	0.293423	4	3
ATP8A1	18.8521	-0.64848	0.333899	-1.98593	0.0470413	0.29361	4	3
RNF150	4.3269	-0.785604	0.420408	-1.98585	0.04705		4	3
HAUS1	44.1943	0.466643	0.231926	1.98569	0.0470678	0.293623	4	3
HNRNPAB	260.867	-0.320852	0.161066	-1.98513	0.0471301	0.293677	4	3
NFKBIA	1460.26	-0.472004	0.238333	-1.98511	0.0471328	0.293677	4	3
PURB	155.259	-0.41842	0.211143	-1.98495	0.04715	0.293677	4	3
ACBD5	114.86	-0.55523	0.278895	-1.98422	0.0472314	0.294031	4	3
ERAP2	18.199	-0.727827	0.356884	-1.98324	0.0473401	0.294538	4	3
OSBPL11	62.5037	-0.503437	0.250636	-1.98292	0.0473762	0.294538	4	3
PRKACB	40.5769	-0.476007	0.241726	-1.98278	0.0473921	0.294538	4	3
CCDC127	108.554	0.487762	0.243016	1.98244	0.0474303	0.294538	4	3
SNAPC3	68.7065	0.486613	0.247524	1.98237	0.0474374	0.294538	4	3
GOLGA4	1017.7	0.251251	0.126527	1.98217	0.0474601	0.294538	4	3
THOC7	79.9443	-0.394492	0.197677	-1.98149	0.0475361	0.294856	4	3
HERC6	184.779	0.727917	0.385046	1.98094	0.0475978	0.295067	4	3
ME1	8.59715	-0.921849	0.427203	-1.98075	0.0476193	0.295067	4	3
NDOR1	5.05346	0.849224	0.41981	1.97813	0.047914		4	3
DBT	50.3936	-0.476842	0.240435	-1.97808	0.0479192	0.296619	4	3
PTMS	137.906	-0.439688	0.220793	-1.97768	0.0479649	0.296749	4	3
CTSC	23.784	-0.662961	0.325136	-1.97696	0.0480465	0.297001	4	3
SPART	55.9964	-0.465887	0.230749	-1.97688	0.0480552	0.297001	4	3
PEA15	246.448	-0.365557	0.185178	-1.97414	0.048366	0.298614	4	3
ERMARD	5.18927	0.867275	0.418588	1.97408	0.0483729		4	3
ZNF418	6.48437	0.878074	0.412731	1.97337	0.0484538	0.299002	4	3
NFE2L2	210.679	-0.377365	0.191235	-1.97299	0.0484967	0.299113	4	3
B2M	10776.6	0.538925	0.281147	1.97193	0.0486175	0.299704	4	3
HMGB1	216.452	-0.422012	0.213674	-1.97077	0.0487498	0.300318	4	3
CNTNAP4	7.57636	-0.820616	0.415206	-1.97062	0.0487672	0.300318	4	3
TENM1	19.172	-0.783737	0.394138	-1.96981	0.0488606	0.300739	4	3
DCTN2	160.45	0.350146	0.177386	1.96879	0.0489767	0.301158	4	3
WDR48	37.3775	-0.517654	0.261711	-1.96866	0.0489925	0.301158	4	3
RTCA	84.6475	0.433543	0.216207	1.96856	0.0490042	0.301158	4	3
GSDMB	5.14885	0.91311	0.417302	1.96829	0.049035		4	3
ZNF462	133.868	-0.448347	0.223302	-1.96822	0.0490433	0.301244	4	3
FOSL2	64.0852	0.473222	0.242316	1.96741	0.0491355	0.301578	4	3
RBM15B	75.1761	-0.416844	0.211809	-1.96731	0.0491478	0.301578	4	3
ITPR3	28.3543	0.529329	0.265506	1.96671	0.0492171	0.301848	4	3
EDN1	121.225	0.456562	0.237054	1.96642	0.0492498	0.301877	4	3
ABCC6	9.83083	0.780679	0.374512	1.96615	0.0492813	0.301877	4	3
SNX3	158.156	-0.413429	0.211216	-1.96578	0.049324	0.301877	4	3
KLC3	29.7912	0.663299	0.346286	1.96536	0.0493727	0.301877	4	3
EIF4A3	84.0124	0.415195	0.209645	1.96536	0.0493729	0.301877	4	3
APOM	6.43692	0.880089	0.403855	1.96511	0.049401	0.301895	4	3
EXOSC10	21.4412	0.666891	0.334848	1.9649	0.0494261	0.301895	4	3
GPC2	3.69934	0.811494	0.422655	1.96463	0.0494571		4	3
FRMD4B	41.0593	-0.560905	0.285637	-1.96411	0.049517	0.302016	4	3
TSPAN5	62.6892	-0.43076	0.220136	-1.96408	0.0495211	0.302016	4	3
TGFBR3	60.6376	-0.727385	0.371664	-1.96407	0.0495215	0.302016	4	3
C1orf122	40.4171	-0.480905	0.243659	-1.9632	0.0496224	0.302477	4	3
FAM76B	49.5192	0.427259	0.220444	1.96268	0.049683	0.302642	4	3
PLSCR1	111.562	0.590127	0.311641	1.96236	0.049721	0.302642	4	3
IFI27	10997.2	0.660768	0.342311	1.96152	0.0498179	0.302642	4	3
TMED2	578.103	-0.212766	0.108544	-1.96151	0.0498194	0.302642	4	3
CTSA	372.283	-0.349023	0.180831	-1.96148	0.0498231	0.302642	4	3
CALU	189.136	-0.362776	0.183984	-1.96132	0.0498413	0.302642	4	3
OTUD7B	75.5765	-0.390136	0.199174	-1.96116	0.0498608	0.302642	4	3
LANCL1	181.081	-0.343797	0.177289	-1.96115	0.0498611	0.302642	4	3
MESP1	0.995782	0.766197	0.324463	1.96101	0.0498782		4	3
PTPN23	21.0637	-0.594212	0.300017	-1.9608	0.0499019	0.302642	4	3
DCAF8	290.923	-0.281074	0.143402	-1.9604	0.0499488	0.302774	4	3
STRN3	174.599	-0.300317	0.152954	-1.95977	0.0500232	0.303071	4	3
ASB1	23.6043	0.584331	0.291333	1.95853	0.0501684	0.303598	4	3
RPS10	1208.67	-0.28491	0.145827	-1.95842	0.0501806	0.303598	4	3
BLMH	198.595	-0.430178	0.221921	-1.95837	0.050186	0.303598	4	3
AC068775.1	10.5993	-0.819151	0.417331	-1.95802	0.0502271	0.303657	4	3
HELZ	154.694	-0.309795	0.157588	-1.95709	0.0503364	0.304047	4	3
CAMK1D	90.4812	-0.526001	0.267856	-1.95586	0.0504817	0.304589	4	3
PTPRG	21.9428	-0.76892	0.390805	-1.95559	0.0505133	0.304589	4	3
ARVCF	11.8048	0.798545	0.388908	1.95533	0.0505439	0.304589	4	3
MDGA1	4.32712	1.03085	0.423028	1.95509	0.0505727		4	3
ZEB2	113.2	-0.651026	0.334842	-1.95461	0.0506296	0.304589	4	3
ZNF219	44.1137	-0.567212	0.28734	-1.95419	0.0506792	0.304589	4	3
VPS18	126.712	0.396066	0.199394	1.95415	0.050683	0.304589	4	3
KANSL1	167.308	-0.334938	0.170662	-1.95384	0.0507205	0.304589	4	3
USP22	218.949	-0.316833	0.162725	-1.95353	0.0507569	0.304589	4	3
GSR	76.3664	-0.514416	0.258718	-1.9534	0.0507725	0.304589	4	3
PTER	33.2823	-0.569568	0.28998	-1.9533	0.0507835	0.304589	4	3
ITGA2B	3.99645	-0.872499	0.426636	-1.95327	0.0507876		4	3
CLMN	200.528	-0.370772	0.191936	-1.95319	0.0507973	0.304589	4	3
CDKN2D	27.0276	0.696807	0.350947	1.95315	0.0508015	0.304589	4	3
SLC9B2	12.8995	-0.71784	0.36344	-1.9529	0.0508318	0.304589	4	3
STX7	99.5674	0.414513	0.208348	1.95275	0.0508487	0.304589	4	3
VEPH1	26.6729	0.58827	0.319945	1.95248	0.0508816	0.304589	4	3
RCC1L	48.5126	-0.45375	0.232928	-1.95246	0.0508833	0.304589	4	3
RPS23	689.785	-0.373241	0.19096	-1.95246	0.0508834	0.304589	4	3
ZNF320	34.169	0.56916	0.287638	1.95205	0.0509324	0.304614	4	3
ZNF558	6.99368	0.861581	0.40776	1.952	0.0509383	0.304614	4	3
YIPF3	151.788	-0.378227	0.195036	-1.95173	0.05097	0.304651	4	3
ANGPTL2	5.85397	-0.804024	0.427286	-1.95117	0.0510363		4	3
TRIM16L	34.9197	-0.562127	0.285162	-1.95081	0.0510797	0.305155	4	3
KMT2D	57.4147	-0.515252	0.263347	-1.95041	0.0511269	0.305285	4	3
ASCC2	52.0612	-0.46579	0.241412	-1.94991	0.0511873	0.305493	4	3
SLC25A22	33.9938	0.56501	0.300231	1.94963	0.0512197	0.305534	4	3
INPP5E	4.5301	0.73549	0.424455	1.94933	0.0512563		4	3
TMEM259	80.1369	0.425439	0.217765	1.94905	0.0512896	0.305712	4	3
INPP4B	21.314	0.666743	0.348578	1.94882	0.0513171	0.305712	4	3
CEP78	36.9362	0.615208	0.3136	1.94874	0.0513259	0.305712	4	3
RNF166	21.9534	0.604182	0.322191	1.94818	0.051393	0.305959	4	3
WDR4	21.8205	0.674468	0.343052	1.94786	0.051432	0.30604	4	3
ITFG2	40.4844	0.482621	0.243811	1.94716	0.051515	0.306317	4	3
RORC	11.1693	-0.724979	0.373818	-1.94704	0.0515297	0.306317	4	3
PAXX	50.0008	0.501002	0.254461	1.94677	0.0515628	0.306319	4	3
SEZ6L2	72.3841	-0.423406	0.21932	-1.94661	0.0515812	0.306319	4	3
UPK2	11.5042	-0.801349	0.409001	-1.94555	0.051709	0.306926	4	3
C2orf68	74.5414	-0.401416	0.206656	-1.94458	0.0518255	0.30735	4	3
S100A13	168.752	0.332105	0.169359	1.94381	0.051918	0.30735	4	3
TMED4	56.7901	-0.427651	0.221304	-1.94362	0.0519409	0.30735	4	3
KLHL17	7.35792	0.80901	0.412755	1.94351	0.0519549	0.30735	4	3
TRIM22	6.44088	0.433734	0.423107	1.94339	0.0519695	0.30735	4	3
DPM3	69.9086	-0.553907	0.284407	-1.94336	0.0519726	0.30735	4	3
RPL13	1753.79	-0.315753	0.161248	-1.94329	0.0519815	0.30735	4	3
SRP14	1102.07	0.355239	0.182312	1.94311	0.0520024	0.30735	4	3
NRXN3	4.47562	-0.773456	0.415643	-1.94311	0.0520025		4	3
DCAF6	136.026	-0.445812	0.229398	-1.94304	0.0520111	0.30735	4	3
POLG2	30.8948	0.531274	0.269923	1.94266	0.0520575	0.307473	4	3
MAGEB10	2.35975	-0.940234	0.414042	-1.94258	0.0520668		4	3
MRPS22	39.3387	-0.487126	0.246421	-1.94047	0.0523222	0.308732	4	3
IRX1	61.0367	-0.746597	0.388472	-1.94009	0.0523683	0.308852	4	3
HLA-DRB1	132.656	-0.807425	0.422088	-1.93902	0.0524989	0.309375	4	3
CELF2	383.307	-0.763593	0.39365	-1.93894	0.0525086	0.309375	4	3
C4orf36	22.3997	-0.547235	0.284262	-1.93859	0.0525519	0.309478	4	3
DPH2	38.2417	-0.477381	0.247131	-1.93831	0.0525854	0.309523	4	3
TMEM125	399.67	0.313999	0.161339	1.93804	0.0526186	0.309566	4	3
SKIL	225.935	-0.271578	0.139634	-1.93731	0.0527077	0.309899	4	3
SMPDL3B	14.9012	-0.643079	0.331981	-1.93678	0.0527726	0.309899	4	3
PDHA1	279.966	0.439439	0.224613	1.93674	0.0527769	0.309899	4	3
CSNK1G3	72.9441	-0.427199	0.21821	-1.93655	0.0528007	0.309899	4	3
AGGF1	104.761	-0.407497	0.209053	-1.93641	0.0528176	0.309899	4	3
HPS5	29.2187	0.526604	0.272407	1.93631	0.0528302	0.309899	4	3
LPXN	4.21013	0.803999	0.42294	1.9354	0.0529411		4	3
RARS	333.782	-0.266028	0.13636	-1.93521	0.0529639	0.310532	4	3
SCN9A	3.76584	-0.824359	0.426838	-1.93494	0.0529983		4	3
RSAD2	27.7644	0.689966	0.40988	1.93475	0.0530214	0.310717	4	3
PQLC3	93.0297	0.531336	0.266908	1.93453	0.0530476	0.310718	4	3
NIPBL	564.041	-0.285484	0.14763	-1.93388	0.0531275	0.311035	4	3
TTL	35.3847	0.586547	0.29274	1.93283	0.0532571	0.311641	4	3
GNAI3	173.045	-0.35622	0.184162	-1.93223	0.0533311	0.31175	4	3
RBMS3	162.074	-0.607793	0.312163	-1.93211	0.0533459	0.31175	4	3
OGG1	79.8036	0.417527	0.212275	1.93205	0.0533538	0.31175	4	3
RNF115	137.748	0.361879	0.188665	1.93178	0.0533865	0.311789	4	3
NAV1	58.5817	-0.685405	0.35713	-1.93099	0.0534848	0.312157	4	3
HLA-B	3866.54	0.561792	0.30034	1.93068	0.0535224	0.312157	4	3
QRICH1	39.7552	-0.480542	0.249126	-1.93064	0.0535276	0.312157	4	3
YTHDC2	96.732	0.325448	0.16758	1.93029	0.053571	0.312258	4	3
