Marker.Symbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Tuba8	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.390723	3.68025	0.255658	0.888817
Pdzd8	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.164023	6.74248	0.255753	0.888817
Exo1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.72514	0.25063	0.255763	0.888817
Med13	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.168218	7.28543	0.255783	0.888817
Appbp2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.185234	4.83409	0.2559	0.888817
Smg6	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.163787	6.54019	0.255925	0.888817
Pabpc4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.17812	5.00284	0.255928	0.888817
G530011O06Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.34395	-0.823371	0.255934	0.888817
Sys1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.207256	5.11482	0.25598	0.888817
Sapcd2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.72514	0.25063	0.255991	0.888817
Snora7a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.34395	-0.823371	0.255991	0.888817
Dse	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.198705	5.307	0.256137	0.888817
Fam109b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.385398	1.9287	0.2562	0.888817
Pcdhb16	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.260752	3.97583	0.256222	0.888817
Mtf2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.201237	4.80675	0.256232	0.888817
Dnajb11	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.169516	6.3365	0.25629	0.888817
Nap1l3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.354326	2.27743	0.256374	0.888817
Clec4a3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.295709	3.42055	0.256432	0.888817
Kcnj12	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.530515	1.23248	0.256475	0.888817
Gkap1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.223554	4.33809	0.256478	0.888817
Cpox	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.192938	4.8887	0.256557	0.888817
Pcid2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.197076	4.67354	0.256574	0.888817
Dgkg	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.293196	3.07845	0.256939	0.888817
Uck2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.26262	3.28185	0.257008	0.888817
Fam13b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.207879	5.63951	0.257095	0.888817
Tmem150b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.449971	1.54341	0.257123	0.888817
Ddx47	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.162779	5.60818	0.257142	0.888817
Dcaf7	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.162879	7.66743	0.257149	0.888817
Pawr	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.185971	4.98398	0.257158	0.888817
Gcsh	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.249877	4.00552	0.257159	0.888817
1700011I03Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257172	0.888817
Vwa5b1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257173	0.888817
1700057G04Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257175	0.888817
Arpp21	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.25718	0.888817
Wbp2nl	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257181	0.888817
E130304I02Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257181	0.888817
Arl13b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.197494	4.81134	0.257183	0.888817
Gpr115	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.25719	0.888817
Rgs16	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.449971	1.54341	0.25722	0.888817
Gpr110	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257223	0.888817
A930003A15Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257268	0.888817
Vwce	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257277	0.888817
Nmrk2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257282	0.888817
Atp1b4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257284	0.888817
Rsc1a1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.25729	0.888817
2310005G13Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257291	0.888817
4930519G04Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257304	0.888817
Fcrl6	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257307	0.888817
Socs7	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.163745	6.11853	0.257326	0.888817
Krt20	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257344	0.888817
Ythdf1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.166242	6.38249	0.257358	0.888817
Myo1a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257542	0.888817
Lrp12	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.219329	4.22102	0.25756	0.888817
Mir1a-1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257581	0.888817
Snx9	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.204545	4.40848	0.257597	0.888817
Sync	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.286731	3.00552	0.257615	0.888817
Cd300e	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.491782	3.05798	0.257616	0.888817
2310047M10Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.206033	4.48137	0.257649	0.888817
Sp9	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.25765	0.888817
4930412O13Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.25765	0.888817
Ccdc18	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.899071	0.0161647	0.257655	0.888817
Spata21	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257674	0.888817
Opn4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257699	0.888817
Tpsg1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257702	0.888817
Srsf12	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257707	0.888817
Znf41-ps	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.345354	2.31241	0.257707	0.888817
Ddx25	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257718	0.888817
Cdh4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.314381	2.57975	0.257762	0.888817
Olfr98	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257765	0.888817
Zfp59	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.273692	3.12346	0.257775	0.888817
Cdcp2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257786	0.888817
Lrrc39	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.348229	2.56533	0.257825	0.888817
Gpr158	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257827	0.888817
Trex2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.25786	0.888817
Grk1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257864	0.888817
Macf1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.171482	10.661	0.257895	0.888817
Il20ra	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257937	0.888817
Ythdc1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.164624	6.5887	0.257939	0.888817
Clca4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257984	0.888817
Vmn2r13	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257986	0.888817
4833423E24Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.257987	0.888817
Gm10941	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.257989	0.888817
BC027072	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.25799	0.888817
Jak3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.185	5.07336	0.258004	0.888817
Tlx2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.258029	0.888817
Gm10825	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.258034	0.888817
Asb18	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.258074	0.888817
Acnat2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.258098	0.888817
Cpne9	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.258109	0.888817
Klk1b4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.258113	0.888817
Myh8	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.258133	0.888817
Drd2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.258135	0.888817
Cited1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.258142	0.888817
Cel	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.258152	0.888817
St3gal4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.16372	5.58423	0.258171	0.888817
Smc1b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.258184	0.888817
Opn1sw	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.258187	0.888817
Grm8	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.25819	0.888817
Gad2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.258197	0.888817
Agxt	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.258222	0.888817
Slc25a41	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-3.70044	-1.61187	0.25823	0.888817
Klhl12	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.240197	4.48712	0.258356	0.88886
Zfand2a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.163653	5.56895	0.258358	0.88886
Fkbp9	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.162235	8.14196	0.258365	0.88886
Pcdhb4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.347047	2.62914	0.258407	0.888861
C1galt1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.220634	4.63087	0.258525	0.889083
Endod1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.159603	6.96694	0.258618	0.889083
Tbc1d19	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.20598	4.31024	0.258625	0.889083
Fuom	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.346756	2.23248	0.258635	0.889083
Sergef	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.315305	2.76159	0.258726	0.889196
Cep152	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.277349	3.29939	0.25875	0.889196
Wdr20b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.413043	1.74888	0.258829	0.889327
Alyref	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.216641	4.26855	0.258941	0.889517
Eral1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.213607	4.22791	0.258966	0.889517
Dnaja3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.164022	5.50045	0.259199	0.890178
Airn	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.36572	2.4365	0.25927	0.890278
Cep112	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.358574	2.10861	0.259401	0.89059
Lims2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.18065	6.69937	0.259458	0.890643
Arpc3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.165648	6.38762	0.259579	0.890916
Evpl	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.183851	4.93573	0.259682	0.891029
Cd48	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.288714	4.05541	0.259694	0.891029
Zcchc18	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.579013	0.786683	0.259876	0.891477
BC004004	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.186175	5.54984	0.259906	0.891477
Psmd3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.161816	6.49951	0.259996	0.891645
Zbtb22	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.186086	5.41654	0.260147	0.891665
Dctn5	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.180654	5.04634	0.260159	0.891665
Sstr1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.72514	0.25063	0.260216	0.891665
Rassf9	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.185613	5.12715	0.260239	0.891665
BC023829	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.185905	5.04634	0.260306	0.891665
Tub	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.72514	0.25063	0.260363	0.891665
Slmap	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.160681	7.17039	0.260428	0.891665
Pard6a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.302666	2.69689	0.260469	0.891665
Gmps	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.172173	5.13572	0.260476	0.891665
Snora31	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.72514	0.25063	0.260485	0.891665
Vps72	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.177664	5.02805	0.26049	0.891665
Cops3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.175724	5.04375	0.260509	0.891665
Micall2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.366428	2.15752	0.260567	0.891665
Gm3833	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.72514	0.25063	0.260577	0.891665
Dync1li1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.167057	5.55532	0.260724	0.891899
Dach1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.184659	6.0612	0.260728	0.891899
Ptbp1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.159153	7.66278	0.260815	0.892037
BC020402	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.430634	1.60113	0.26085	0.892037
Shc4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.72514	0.25063	0.260949	0.892234
Pcdhac1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.72514	0.25063	0.260999	0.892234
Csmd1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.579996	1.01616	0.261031	0.892234
Csf2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.562733	1.15752	0.261181	0.892513
Rhou	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.214777	4.31024	0.261231	0.892513
Sfi1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.163961	7.73445	0.261255	0.892513
Fanca	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.26587	3.31241	0.261342	0.892513
Agtrap	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.156711	6.14848	0.261342	0.892513
Lilrb4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.32048	4.07845	0.26136	0.892513
Rph3al	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.287896	3.05282	0.261533	0.892786
Cyp20a1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.19331	4.9287	0.261557	0.892786
Bpgm	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.341973	5.77967	0.261598	0.892786
Ppp5c	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.163392	5.73686	0.261604	0.892786
Pdk2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.176488	5.42855	0.261657	0.892824
Gpatch3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.314717	2.64295	0.26195	0.893251
Rnase10	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.26197	0.893251
Tcerg1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.166199	5.63951	0.261989	0.893251
4930474M22Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.70044	-1.61187	0.262001	0.893251
Mnat1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.216133	4.14787	0.262013	0.893251
1110034G24Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.242546	3.57616	0.262049	0.893251
