gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
ARHGAP23	siRNA1_vs_negctrl	12.9318	12.8481	0.0836933	0.669957	1.12651	0.306221	0.648352	0.481818	3	9
FAM96A	siRNA1_vs_negctrl	13.9475	13.8861	0.0614511	0.721007	1.15451	0.306313	0.648472	0.481818	3	9
RPS26	siRNA1_vs_negctrl	17.1983	17.1551	0.0431967	0.600579	1.09201	0.306495	0.648676	0.404558	3	9
MAD2L1BP	siRNA1_vs_negctrl	12.2001	12.2808	-0.0807067	-0.860489	-1.23238	0.306541	0.648676	0.281818	3	9
ALG1	siRNA1_vs_negctrl	12.177	12.0376	0.139442	0.771086	1.18237	0.306542	0.648676	0.6	3	9
NDUFB6	siRNA1_vs_negctrl	13.7483	13.9497	-0.201403	-1.05134	-1.33203	0.306606	0.648676	0.145455	3	9
RECQL	siRNA1_vs_negctrl	11.8841	11.9753	-0.0911689	-0.971751	-1.29177	0.306621	0.648676	0.281818	3	9
CALML3	siRNA1_vs_negctrl	10.9287	10.7168	0.211869	0.944514	1.27748	0.306645	0.648676	0.281818	3	9
AMZ2	siRNA1_vs_negctrl	13.2537	13.1296	0.124148	0.997742	1.30497	0.306697	0.648676	0.281818	3	9
HLA-H	siRNA1_vs_negctrl	13.5815	13.7203	-0.138871	-1.02114	-1.31679	0.306705	0.648676	0.194779	3	9
CIDECP	siRNA1_vs_negctrl	9.31747	9.18575	0.131721	0.814429	1.20642	0.306735	0.648676	0.372727	3	9
SYT17	siRNA1_vs_negctrl	7.42334	7.71134	-0.287996	-0.949058	-1.27951	0.306822	0.648783	0.281818	3	9
NETO2	siRNA1_vs_negctrl	12.0555	12.1714	-0.115831	-1.03844	-1.32495	0.306925	0.648925	0.372727	3	9
FAM108C1	siRNA1_vs_negctrl	12.8214	13.0775	-0.256066	-1.012	-1.31145	0.307049	0.649076	0.209091	3	9
PARP3	siRNA1_vs_negctrl	11.0316	10.8642	0.16743	0.868645	1.23583	0.307082	0.649076	0.372727	3	9
FLJ44253	siRNA1_vs_negctrl	7.16567	7.08829	0.0773744	0.629425	1.10405	0.307105	0.649076	0.281818	3	9
SCGB2A1	siRNA1_vs_negctrl	6.39985	6.28938	0.110467	1.02007	1.31417	0.30767	0.649971	0.145455	3	9
C9orf66	siRNA1_vs_negctrl	6.8367	6.71234	0.124362	1.05176	1.32976	0.307724	0.649971	0.1	3	9
PLTP	siRNA1_vs_negctrl	9.58767	9.45268	0.134984	0.89744	1.25024	0.307724	0.649971	0.281818	3	9
DHX29	siRNA1_vs_negctrl	10.3962	10.6244	-0.228254	-0.996366	-1.30207	0.307734	0.649971	0.145455	3	9
VTN	siRNA1_vs_negctrl	7.68995	7.83741	-0.147454	-0.539009	-1.07499	0.307736	0.649971	0.6	3	9
C10orf137	siRNA1_vs_negctrl	10.2626	10.173	0.0895733	0.59281	1.08652	0.307752	0.649971	0.6	3	9
C15orf38	siRNA1_vs_negctrl	9.34502	9.50429	-0.159267	-0.944184	-1.275	0.307782	0.649971	0.372727	3	9
SERPINA11	siRNA1_vs_negctrl	6.28502	6.33461	-0.0495878	-0.747319	-1.16644	0.307952	0.650207	0.372727	3	9
TMEM57	siRNA1_vs_negctrl	9.97762	9.87365	0.103974	0.853527	1.22584	0.307966	0.650207	0.281818	3	9
PTGR1	siRNA1_vs_negctrl	10.6285	10.8119	-0.183391	-0.944261	-1.27434	0.308128	0.650473	0.281818	3	9
LOC128192	siRNA1_vs_negctrl	14.9494	14.8712	0.0781678	0.762705	1.17463	0.308222	0.650595	0.281818	3	9
MED17	siRNA1_vs_negctrl	10.9445	11.0547	-0.11022	-0.742383	-1.16288	0.308392	0.650876	0.6	3	9
LEFTY1	siRNA1_vs_negctrl	6.69192	6.72886	-0.0369389	-0.574175	-1.0786	0.308446	0.650914	0.481818	3	9
BRE	siRNA1_vs_negctrl	9.1444	9.31871	-0.174318	-1.02773	-1.31612	0.308537	0.65103	0.281818	3	9
BSPRY	siRNA1_vs_negctrl	10.6315	10.8934	-0.261859	-1.06943	-1.33632	0.308639	0.651168	0.1	3	9
ITGA4	siRNA1_vs_negctrl	6.42413	6.51083	-0.0867	-0.617864	-1.09559	0.308735	0.651294	0.281818	3	9
TGFB2	siRNA1_vs_negctrl	7.67463	7.87466	-0.200033	-1.02454	-1.31389	0.308834	0.651381	0.145455	3	9
OAS3	siRNA1_vs_negctrl	8.45394	8.38085	0.0730967	0.589993	1.08335	0.308849	0.651381	0.481818	3	9
LOC100131721	siRNA1_vs_negctrl	8.90721	8.75982	0.147391	0.846125	1.21997	0.308921	0.651451	0.281818	3	9
FAM127A	siRNA1_vs_negctrl	8.96745	8.68835	0.279096	0.920991	1.26041	0.308955	0.651451	0.281818	3	9
LOC730167	siRNA1_vs_negctrl	8.23282	8.09051	0.142312	0.953578	1.27741	0.309011	0.651493	0.281818	3	9
KLF9	siRNA1_vs_negctrl	11.4749	11.6613	-0.186373	-1.03908	-1.32057	0.309068	0.651536	0.209091	3	9
