gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
Rab25	Trop2_KO_vs_WT	5.00858	7.3173	-2.30872	-2.48945	-3.93616	0.00462054	0.712889	0.015873	5	5
Npas2	Trop2_KO_vs_WT	4.42736	5.20797	-0.780612	-2.45307	-3.87865	0.00469063	0.712889	0.015873	5	5
Cilk1	Trop2_KO_vs_WT	8.5826	8.89053	-0.30793	-2.59803	-4.10784	0.0047893	0.712889	0.00793651	5	5
Eomes	Trop2_KO_vs_WT	4.63678	5.78349	-1.14671	-2.63143	-4.16066	0.00481918	0.712889	0.00793651	5	5
Gm45234	Trop2_KO_vs_WT	4.74458	3.89706	0.847514	2.44011	3.85816	0.0048283	0.712889	0.00793651	5	5
Gm13372	Trop2_KO_vs_WT	4.50877	3.4506	1.05816	2.60019	4.11126	0.0049109	0.712889	0.00793651	5	5
Mir155hg	Trop2_KO_vs_WT	5.00986	4.1661	0.843766	2.45571	3.88281	0.0050292	0.712889	0.015873	5	5
Phkg2	Trop2_KO_vs_WT	7.60665	7.20611	0.400538	2.47228	3.90902	0.00505391	0.712889	0.031746	5	5
Zfp518b	Trop2_KO_vs_WT	6.81378	7.87363	-1.05985	-2.43659	-3.85259	0.00520838	0.712889	0.00793651	5	5
Rgs1	Trop2_KO_vs_WT	8.56426	6.94324	1.62102	2.74698	4.34336	0.00523194	0.712889	0.00793651	5	5
Dyrk3	Trop2_KO_vs_WT	7.61492	8.19411	-0.579192	-2.40919	-3.80926	0.00526115	0.712889	0.015873	5	5
Zdhhc23	Trop2_KO_vs_WT	4.09774	4.80377	-0.706026	-2.40636	-3.80479	0.00527396	0.712889	0.015873	5	5
Echdc3	Trop2_KO_vs_WT	6.54374	7.41273	-0.868991	-2.39991	-3.79458	0.00527756	0.712889	0.00793651	5	5
Zfp2	Trop2_KO_vs_WT	4.57825	5.08694	-0.508689	-2.48539	-3.92974	0.00528494	0.712889	0.015873	5	5
Zfp457	Trop2_KO_vs_WT	4.22318	3.76471	0.458474	2.59673	4.10579	0.00529968	0.712889	0.00793651	5	5
Cnst	Trop2_KO_vs_WT	7.9407	8.4359	-0.495203	-2.46354	-3.8952	0.00537653	0.712889	0.00793651	5	5
Ripk1	Trop2_KO_vs_WT	9.4344	9.10924	0.325159	2.6958	4.26244	0.00539515	0.712889	0.015873	5	5
Lurap1l	Trop2_KO_vs_WT	5.0573	6.78122	-1.72392	-2.98222	-4.7153	0.00540322	0.712889	0.00793651	5	5
Lair1	Trop2_KO_vs_WT	9.96668	9.2976	0.669074	3.03378	4.79683	0.0055006	0.712889	0.00793651	5	5
Lsm6	Trop2_KO_vs_WT	7.99342	8.54884	-0.555413	-2.67231	-4.22529	0.00552662	0.712889	0.00793651	5	5
Tlcd3b	Trop2_KO_vs_WT	1.35512	3.95847	-2.60336	-2.41949	-3.82555	0.00555976	0.712889	0.00793651	5	5
Arhgap22	Trop2_KO_vs_WT	9.97038	9.19754	0.772843	2.59695	4.10615	0.00556928	0.712889	0.00793651	5	5
Gm44958	Trop2_KO_vs_WT	5.54692	4.72394	0.822983	2.52706	3.99563	0.00557328	0.712889	0.00793651	5	5
Vill	Trop2_KO_vs_WT	6.3622	4.97438	1.38783	2.53154	4.00272	0.00557522	0.712889	0.015873	5	5
Gsdmd	Trop2_KO_vs_WT	8.8384	8.18837	0.650026	2.57523	4.0718	0.00561415	0.712889	0.015873	5	5
Phactr2	Trop2_KO_vs_WT	7.58584	7.97453	-0.388687	-2.42987	-3.84197	0.00569494	0.712889	0.00793651	5	5
Myb	Trop2_KO_vs_WT	5.54372	7.02682	-1.4831	-2.38889	-3.77716	0.00571582	0.712889	0.015873	5	5
Itgb6	Trop2_KO_vs_WT	4.62186	6.40097	-1.7791	-2.41651	-3.82083	0.00573136	0.712889	0.00793651	5	5
Tef	Trop2_KO_vs_WT	8.52453	9.09233	-0.567801	-2.52898	-3.99867	0.00574709	0.712889	0.00793651	5	5
