GeneSymbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Rpl32	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.342352	7.40451	0.0255157	0.176939
Crocc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.58852	3.3536	0.0255282	0.176969
Rpl14	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.325806	7.34528	0.0255394	0.17699
Evc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.44303	4.48556	0.0255509	0.177013
Eno3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.498234	4.14587	0.0255607	0.177025
Hc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.321111	8.17138	0.0256103	0.177311
Pik3cd	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.372816	5.56171	0.0256311	0.177345
2810410L24Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.779691	2.29148	0.0256314	0.177345
Aicda	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.16993	-0.352379	0.0256806	0.177628
Trp53	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.37175	5.08392	0.0257471	0.178032
Uba7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.355986	5.4906	0.0258272	0.178529
AW112010	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.41218	4.71371	0.0258707	0.17872
Mybpc2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.06103	1.45498	0.0258713	0.17872
Larp4b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.296471	7.04722	0.0259056	0.1789
Tcf19	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.613502	3.02613	0.0259179	0.178927
Scara5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.557965	4.43422	0.0259333	0.178977
Crem	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.453502	4.48556	0.0259947	0.179344
Fkbp3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.413462	4.72444	0.0260463	0.179527
Tle1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.341037	5.87162	0.0260516	0.179527
Abra	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.32833	0.880281	0.0260522	0.179527
Gtf3c5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.408216	4.68104	0.0260543	0.179527
Slc16a13	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.616671	4.02613	0.026089	0.179709
Rbp7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.17834	1.08058	0.0261051	0.179716
Adamts7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.739892	2.44463	0.0261067	0.179716
Aasdh	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.605721	3.47035	0.0261568	0.180004
Gbp8	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.678732	2.85707	0.0261721	0.180052
Slc39a4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.466407	6.10787	0.026288	0.180792
Gmfb	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.360937	7.75196	0.0263391	0.181087
Itgae	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.631822	3.01918	0.0263579	0.181158
Cdkn2aipnl	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.435291	5.02092	0.0264066	0.181436
4930481A15Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.671377	2.96955	0.0264195	0.181467
Tmem212	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.620213	4.41845	0.0264718	0.181768
Gtf3c6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.535965	3.80143	0.0264967	0.181836
Pnrc2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.318661	6.32287	0.0264983	0.181836
Rpia	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.529269	4.11686	0.0265455	0.182102
Ston2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.341905	5.96322	0.0265886	0.18234
Ift46	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.384403	4.88603	0.0266174	0.18248
Kdm4c	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.355288	5.19914	0.0266409	0.182583
Ubxn2b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.473672	3.99458	0.0266537	0.182613
Rbm26	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.352123	6.23108	0.0266924	0.182821
Pkhd1l1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.397246	5.09056	0.0267029	0.182835
Tmem117	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.54886	3.76864	0.0267178	0.182879
Zfp961	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.456774	4.12982	0.0267473	0.183023
Cdk6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.549517	4.04679	0.0268117	0.183406
Gm11346	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.11672	1.61109	0.0268689	0.183623
Exoc2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.377894	5.48556	0.0268712	0.183623
4732416N19Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.763357	3.97674	0.0268734	0.183623
Pgm5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.315409	7.36667	0.0268833	0.183623
Rnf149	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.421403	5.66666	0.0268857	0.183623
Myl7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.84577	5.79533	0.026901	0.18367
Cyp4f15	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.644481	2.85707	0.0269228	0.183759
Dab2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.314065	6.29795	0.0269311	0.183759
Rpl19	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.319554	6.6346	0.0270641	0.18456
D130043K22Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.852959	1.9404	0.0270666	0.18456
Mapk9	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.314561	6.39178	0.0270739	0.18456
Arhgap4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.582167	4.4158	0.0270825	0.18456
Cx3cl1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.46325	5.94957	0.0271223	0.184682
Rspo1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.525546	3.71371	0.0271298	0.184682
Dapk1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.308429	6.94408	0.0271303	0.184682
Chrna7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.19094	0.998118	0.0271344	0.184682
Cbx1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.346824	5.31863	0.0271484	0.184687
D630003M21Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.25565	0.940402	0.0271553	0.184687
Ifrd2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.443759	4.28859	0.0271606	0.184687
Synj2bp	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.324107	6.30512	0.0271778	0.184735
Megf11	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.781481	2.60182	0.0271846	0.184735
Pcdhga4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.729251	2.62031	0.0271936	0.184738
Ppp2r5a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.306674	7.28207	0.0272022	0.184738
Itgav	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.299648	6.81152	0.0272223	0.184817
Tada2a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.601526	3.45498	0.0272321	0.184826
3830406C13Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.567926	4.52782	0.0272545	0.184915
Gm5595	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.733972	2.41316	0.0272623	0.184915
Nr2c1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.420475	4.52536	0.0272891	0.184987
Dpf1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.35669	0.785124	0.02729	0.184987
Dock5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.353306	5.78819	0.0273218	0.185145
Wdr86	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.62293	0.370087	0.0273954	0.185586
Stbd1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.523948	4.30011	0.0274446	0.185861
Tma16	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.12776	1.49562	0.0274979	0.186164
Strada	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.455048	4.25347	0.0275211	0.186263
B3gat3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.34604	5.24902	0.0275711	0.186543
Zfp365	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.553473	3.96232	0.0275918	0.186544
Plcl1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.370636	5.20067	0.0275947	0.186544
Tarsl2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.610332	3.18988	0.0276088	0.186544
Ppm1j	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.891187	1.83349	0.0276137	0.186544
Tmem181b-ps	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.50041	4.99988	0.0276142	0.186544
Kctd8	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.869039	1.86485	0.0276362	0.186635
Slc25a37	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.356161	5.89745	0.0276554	0.186706
Foxo4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.314633	6.46396	0.027691	0.186814
Foxn3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.376736	5.25938	0.0277085	0.186814
Lepr	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.328107	6.93948	0.0277099	0.186814
Srsf7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.32501	6.47544	0.0277145	0.186814
Smco1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.88753	-0.504382	0.0277219	0.186814
Gigyf1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.349066	6.36804	0.027723	0.186814
Flcn	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.320124	5.91159	0.0277339	0.18683
Twf1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.318376	6.45883	0.0277467	0.186857
Ctla2b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.405575	4.67442	0.0277619	0.186902
Xkr5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.88753	-0.504382	0.0277807	0.18697
Hoxd9	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.88753	-0.504382	0.0278098	0.187109
Magoh	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.39776	4.77896	0.0279324	0.187875
Uqcrh	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.34413	6.17432	0.027974	0.188087
1-Sep	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.501765	3.80143	0.0279813	0.188087
Zfp592	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.300373	6.63801	0.027995	0.188121
Mir27a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.79751	0.279889	0.0280251	0.188207
Timm21	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.503551	3.77278	0.0280467	0.188294
Lmln	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.589187	3.1136	0.0281594	0.188992
Slc38a9	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.439562	4.51304	0.0282763	0.189718
Cisd3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.652077	2.84139	0.0282878	0.189736
Dgkh	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.455553	4.79737	0.0283234	0.189908
Sqstm1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.280354	8.8367	0.0283331	0.189908
Osgepl1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.628535	3.12011	0.0283397	0.189908
Mest	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.444113	4.4316	0.0283628	0.190004
BC017643	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.367867	5.40251	0.0283727	0.190012
Zfp41	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.635646	2.91066	0.0283988	0.190128
Shank3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.299882	7.47607	0.0284268	0.190219
Ppp2ca	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.290462	7.62519	0.0284299	0.190219
Fbxo25	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.422302	4.44981	0.0284653	0.190397
Zfp275	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.335873	5.5629	0.0285006	0.190574
Etv6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.312597	5.92839	0.0285608	0.190913
Wdr62	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.633031	2.9839	0.0285752	0.190913
Zfp109	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.04114	1.96955	0.0285776	0.190913
Camk2d	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.303329	6.56827	0.0285903	0.190939
Nagk	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.433022	4.32287	0.028633	0.191166
Atp7b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.511985	6.08475	0.0286482	0.191208
Fgd6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.342402	5.48304	0.0286662	0.191269
Sorl1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.288237	7.84312	0.0287091	0.191442
Dzip1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.422491	4.41316	0.0287097	0.191442
Flrt3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.454509	6.58955	0.0287434	0.191567
2210404J11Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.387876	4.76864	0.0287542	0.191567
Itm2a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.452553	4.98925	0.0287549	0.191567
Fam171b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.71621	0.232583	0.0288157	0.191913
Car7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.71621	0.232583	0.0288356	0.191986
Srcrb4d	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.71621	0.232583	0.0288544	0.192053
Itgal	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.525283	5.42372	0.0288732	0.192119
Lrp12	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.431061	4.34806	0.0288898	0.192171
Tarm1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.88753	-0.504382	0.0290325	0.193049
Ciapin1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.416925	4.94774	0.0290396	0.193049
Ttc7b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.338304	5.63289	0.0291189	0.193517
Fam185a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.681748	2.7094	0.0291431	0.193618
Chaf1b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.612806	3.0604	0.0291675	0.193721
Camkmt	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.931469	1.61109	0.0291796	0.193742
Slc37a3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.322866	5.57717	0.0292274	0.194
Gimap7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.27462	1.76864	0.0292708	0.194173
Kcmf1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.31422	6.54607	0.029274	0.194173
Sfpq	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.307778	7.5509	0.0292803	0.194173
Gm10400	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.84327	0.0805801	0.0292898	0.194177
Mgll	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.287226	7.34806	0.0293159	0.194281
Glrx	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.367121	5.06209	0.0293234	0.194281
