accession	entrytype	taxon	n_samples	gds_type	gpl	pdat	title	summary	suppfile	gene_mentioned	matched_queries
GSE179040	GSE	Homo sapiens	61		24676	2021/09/15	Human blastoids model blastocyst development and implantation [Bulk RNA-seq]	Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a blastocyst consisting of a sphere encircling a cavity lodging the embryo proper. Appropriate stem cells can form a blastocyst model, which we termed blastoid. Here we show that naive human pluripotent stem cells (hPSCs) triply inhibited for the Hippo, TGF-β, and ERK pathways consistently and efficiently (>70%) form blastoids that generate transcriptional pre-implantation analogs of the three founding lineages (trophoblast, epiblast, primitive endoderm; >97%) according to the sequence and pace of blastocyst development. Blastoids spontaneously form an axis marked by the maturation of the polar region, which acquires the potential to specifically attach to hormonally stimulated endometrial cells, as during in utero implantation. Such human blastoids are scalable, versatile, and ethical models to explore human implantation and development.	TXT	False	TROP2[Title]
GSE179418	GSE	Mus musculus	9		21783	2022/02/17	Expression data from mouse lung epithelial cells during E. coli pneumonia in the presence or absence of LIF neutralization (24 h)	Leukemia inhibitory factor (LIF) is a cytoprotective cytokine that reduces lung injury during pneumonia. The purpose of this study was to determine the influence of LIF on pneumonia-induced gene changes in lung epithelium. Mice received intratracheal instillations of vehicle (PBS) or Escherichia coli (10^6 CFU). Control IgG or anti-LIF specific IgG was included in the instillate. 24 hours after the challenge, lung epithelial cells (EpCAM+/CD45-) were sorted from enzymatic lung digests and used for RNA isolation and microarray analysis.	CEL	False	Tacstd2 AND lung AND mouse
GSE179419	GSE	Mus musculus	9		21783	2022/02/17	Expression data from mouse lung epithelial cells during E. coli pneumonia in the presence or absence of LIF neutralization (6 h)	Leukemia inhibitory factor (LIF) is a cytoprotective cytokine that reduces lung injury during pneumonia. The purpose of this study was to determine the influence of LIF on pneumonia-induced gene changes in lung epithelium. Mice received intratracheal instillations of vehicle (PBS) or Escherichia coli (10^6 CFU). Control IgG or anti-LIF specific IgG was included in the instillate. 6 hours after the challenge, lung epithelial cells (EpCAM+/CD45-) were sorted from enzymatic lung digests and used for RNA isolation and microarray analysis.	CEL	False	Tacstd2 AND lung AND mouse
GSE179855	GSE	Mus musculus	3		30172	2022/02/17	Single-cell RNA-seq of lung cells following bacterial pneumonia with or without LIF blockade	C57BL/6 mice were intratracheally challenged for 24 hours with saline or E. coli (1 x 10^6 CFU) with or without LIF neutralization. Left lobes were collected and digested into single-cell suspensions for FACS. Equal ratios of CD45+ (leukocytes), CD45-EpCAM+ (epithelium), and CD45-EpCAM- (other) cells were pooled from a mouse undergoing each condition.	CSV	False	Tacstd2 AND lung AND mouse
GSE180823	GSE	Mus musculus	24		17021	2021/12/01	Signature of lung epithelial and mesenchymal populations from control, irradiated and neutrophil-depleted irradiated mice	We analysed the signature of sorted CD45-CD31-Ter119-EpCAM+ lung epithelial cells and CD45-CD31-Ter119-EpCAM- lung mesenchymal cells from the control vs. irradiated lungs of BALB/c mice.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"");Tacstd2 AND lung AND mouse"
GSE180964	GSE	Mus musculus	10		21103;24247	2021/07/29	Combined Inhibition of SHP2 and CXCR1/2 Promotes Anti-Tumor T Cell Response in NSCLC	SHP2 inhibitors (SHP2i) alone and in various combinations are being tested in multiple tumors with over-activation of the RAS/ERK pathway. SHP2 plays critical roles in normal cell signaling; hence, SHP2is could influence the tumor microenvironment. We found that SHP2i treatment depleted alveolar and M2-like macrophages, induced tumor-intrinsic CCL5/CXCL10 secretion and promoted B and T lymphocyte infiltration in Kras- and Egfr- mutant non-small cell lung cancer (NSCLC). However, treatment also increased intratumor gMDSCs via tumor-intrinsic, NF-kB-dependent production of CXCR2 ligands. Other RAS/ERK pathway inhibitors also induced CXCR2 ligands and gMDSC influx in mice, and CXCR2 ligands were induced in tumors from patients on KRASG12C-inhibitor trials. Combined SHP2(SHP099)/CXCR1/2(SX682) inhibition depleted a specific cluster of S100a8/9high gMDSCs, generated Klrg1+ CD8+ effector T cells with a strong cytotoxic phenotype but expressing the checkpoint receptor NKG2A, and enhanced survival in Kras- and Egfr-mutant models. Our results argue for testing RAS/ERK pathway/CXCR1/2/NKG2A inhibitor combinations in NSCLC patients.	BW, MTX, TSV, TXT	False	Tacstd2 AND lung AND mouse
GSE181101	GSE	Mus musculus	10		19057	2022/03/07	Bidirectional epithelial - macrophage crosstalk promotes tissue repair in the lung	Epithelial structures are frequently damaged and injured by different insults, with rapid repair being essential to restore function and homeostasis. Dysregulated epithelial tissue repair occurs in several human disease states, yet how individual cell types communicate and interact to coordinate tissue regeneration is incompletely understood. Using RNAseq, we show that Macrophage-dependent induction of Nras and Bcas2 expression within the regenerating epithelium positively promoted epithelial proliferation, with amphiregulin from macrophages enhancing Nras expression.	TXT	False	Tacstd2 AND lung AND mouse
GSE183031	GSE	Mus musculus; Homo sapiens	6		24676;24247	2021/10/01	Early Life Inflammation Primes a Th2-Fibroblast Niche in Skin	Inflammation early in life can prime the local immune milieu of peripheral tissues, causing lasting changes in immunologic tone that confer disease protection or susceptibility. The cellular and molecular mechanisms that incite changes in immune tone in many nonlymphoid tissues remain largely unknown. We find that time-limited neonatal inflammation induced by transient reduction of neonatal regulatory T cells (Tregs) causes a dramatic dysregulation of subcutaneous tissue in murine skin, accompanied by the selective accumulation of Th2 cells within a distinct microanatomic niche. Th2 cells are maintained into adulthood through interactions with a fibroblast population in skin fascia that we refer to as Th2-interacting fascial fibroblasts (TIFFs), which expand in response to Th2 cytokines to form subcutaneous fibrous bands. Activation of the Th2-TIFF niche by neonatal inflammation primes skin for altered reparative responses to wounding. We further identify fibroblasts in healthy human skin expressing the TIFF transcriptional signature and find these cells at high levels in eosinophilic fasciitis, an orphan disease characterized by inflammation and fibrosis of the skin fascia. Taken together, these data define a novel Th2 niche in skin, functionally characterize a disease-associated fibroblast population, and suggest a mechanism of immunologic priming whereby inflammation early in life creates networks between adaptive immune cells and stromal cells, establishing an immunological set-point in tissues that is maintained throughout life.	H5	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE183438	GSE	Mus musculus	2		21103	2022/04/09	Identification of a multipotent lung progenitor for lung regeneration	We recently showed that a suspension of mouse or human fetal or adult lung cells infused intravenously following appropriate conditioning of recipient mice leads to marked lung chimerism within alveolar and bronchiolar lineages, in distinct 'patches'. A large proportion of these donor-derived 'patches' contain both epithelial and endothelial cells. We show here, using R26R-Confetti mice as donors, that these multi-lineage patches are derived from a single lung progenitor. Fluorescence activated cell sorting of adult mouse lung cells revealed that the putative patch-forming progenitors co-express the endothelial marker CD31 (PECAM-1) and the epithelial marker CD326 (EPCAM). Transgenic Cre/lox mice expressing GFP under different promoters support this duality by demonstrating expression of additional epithelial and endothelial markers in this double-positive lung subpopulation. These findings could pave the way not only for effective lung regeneration but also for better understanding of lung vasculature and airways development and maintenance in health and disease.	MTX, TSV	False	Tacstd2 AND lung AND mouse
GSE183873	GSE	Homo sapiens; Mus musculus	49		24247;19057;18573;17021	2021/12/22	Epigenetic basis of oncogenic-Kras mediated epithelial-cellular proliferation and plasticity [ATAC-seq]	We perfromed ATAC-seq on normal and Kras mutant mouse lung epithelial cells.	NARROWPEAK	False	Tacstd2 AND lung AND mouse
GSE183876	GSE	Mus musculus; Homo sapiens	68		18573;21103;17021;24247;19057;21273	2021/12/22	Epigenetic basis of oncogenic-Kras mediated epithelial-cellular proliferation and plasticity	This SuperSeries is composed of the SubSeries listed below.	BIGWIG, NARROWPEAK, TSV	False	Tacstd2 AND lung AND mouse
GSE183896	GSE	Mus musculus	8		30615	2022/04/27	miRNA expression profiling of intestinal epithelial cells from a spontaneous mice model of ulcerative colitis	Increased intestinal permeability is associated to the onset of inflammatory bowel disease (IBD) since the exposition to luminal content causes an immunological response that promotes intestinal inflammation. Several studies have been shown that microRNAs (miRNAs) are involved in IBD pathogenesis. Here, we aimed to functionally characterize the role of miRNAs in the regulation of intestinal permeability. miRNA profile of intestinal epithelial cells (IECs) isolated by colon of a UC mice model were identified using microarray. To predict the target genes of modulated miRNAs, we performed a bioinformatic analysis. To validate biologically miRNA targets, we performed transient transfection experiments in HT-29, Caco2 and T84 cell lines. To assess their role in barrier function, trans-epithelial electrical resistance and dextran flux assays were used. To investigate the in vivo effect of miR-195-5p, we employed a DSS-induced colitis model in mice. We identified 18 deregulated miRNAs in IECs from UC mice model and control mice. Among them, down-regulated miR-195-5p targeted CLDN2 and are involved in altered intestinal permeability. CLDN2 expression levels were increased in UC mice models and negatively correlated with the miR-195-5p expression. We demonstrated that the gain-of-function of miR-195-5p in colonic epithelial cell lines decreased the CLDN2 levels. We in vitro confirmed that miR-195-5p was able to control the intestinal barrier integrity. We also in vivo demonstrated that miR-195-5p attenuated the colonic inflammatory response in DSS-induced colitis and reduced the colonic permeability. All together our data support a previously unreported role of miR-195-5p in intestinal permeability and provide a potential pharmacological target for new therapeutic approaches in IBD.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE184438	GSE	Mus musculus	39		24247	2024/03/31	Transcriptome analysis of C1q treated lung fibroblasts	Pulmonary fibrosis (PF) is a progressive fibrotic disease with a poor prognosis and suboptimal therapeutic options. The complement molecule C1q, which plays an important role in the phagocytic capacity of macrophages, has recently been reported to exacerbate several fibrosis-related diseases. On the other hand, there are still no reports in PF. Here, we analyzed the effect of C1q treatment on lung fibroblasts.	TXT	False	Tacstd2 AND lung AND mouse
GSE184675	GSE	Mus musculus	3		23038	2021/09/24	Intestinal Tuft-2 cells exert antimicrobial immunity via sensing bacterial metabolite N-undecanoylglycine by vomeronasal receptor Vmn2r26	Tuft cells as a type of intestinal epithelial cells exist in epithelial barriers that play a critical role in immunity against parasite infection. It remains elusive about whether Tuft cells participate in bacterial eradication. Here we identify Sh2d6 as a signature marker for CD45+ Tuft-2 cells. Tuft-2 cells are derived from Lgr5+ intestinal stem cells but not bone marrow cells. Depletion of Tuft-2 cells is susceptible to bacterial infection. Tuft-2 cells quickly expand over bacterial infection and sense bacterial metabolite N-undecanoylglycine through vomeronasal receptor Vmn2r26. Mechanistically, Vmn2r26 engagement with N-undecanoylglycine activates GPCR-PLCγ2-Ca2+ signal axis, which initiates prostaglandin D2 (PGD2) production. PGD2 enhances mucus secretion of Goblet cells and induces antibacterial immunity. Moreover, Vmn2r26 signaling also promotes SpiB expression, which is responsible for Tuft-2 cell development and expansion over bacterial challenge. Our findings reveal a novel function of Tuft-2 cells in immunity against bacterial infection through Vmn2r26-mediated recognition of bacterial metabolites. We used microarrays to detail the gene expression of Tuft-2 cells compared with non Tuft-2 epithelial cells under Shigella infection.	CEL	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE185710	GSE	Mus musculus	41		24247	2022/06/01	Cross-tissue, single-cell stromal atlas identifies shared pathological fibroblast phenotypes in four chronic inflammatory diseases [RNA-Seq]	Pro-inflammatory fibroblasts are critical to pathogenesis in rheumatoid arthritis, inflammatory bowel disease, interstitial lung disease, and Sjögren’s syndrome, and represent a novel therapeutic target for chronic inflammatory disease. However, the heterogeneity of fibroblast phenotypes, exacerbated by the lack of a common cross-tissue taxonomy, has limited the understanding of which pathways are shared by multiple diseases. To investigate, we profiled patient-derived fibroblasts from inflamed and non-inflamed synovium, intestine, lung, and salivary glands with single-cell RNA-sequencing. We integrated all fibroblasts into a multi-tissue atlas to characterize shared and tissue-specific phenotypes. Two shared clusters, CXCL10+CCL19+ immune-interacting and SPARC+COL3A1+ vascular-interacting fibroblasts were expanded in all inflamed tissues and additionally mapped to dermal analogues in a public atopic dermatitis atlas. We further confirmed these human pro-inflammatory fibroblasts in animal models of lung, joint, and intestinal inflammation. This work represents the first cross-tissue, single-cell fibroblast atlas revealing shared pathogenic activation states across four chronic inflammatory diseases.	CSV	False	Tacstd2 AND lung AND mouse
GSE188820	GSE	Mus musculus	134		19057	2021/12/25	Tuft cell-produced cysteinyl leukotrienes and IL-25 synergistically promote lung type 2 inflammation	Aeroallergen sensing by airway epithelial cells can trigger pathogenic immune responses leading to chronic type 2 inflammation, the hallmark of airway diseases such as asthma. Airway tuft cells are specialized chemosensory epithelial cells and the dominant source of the epithelial cytokine IL-25 in the trachea and of cysteinyl leukotrienes (CysLTs) in the naïve murine nasal mucosa. How IL-25 and CysLTs might cooperatively promote type 2 inflammation in the airways has not been clarified. Here, we showed that inhalation of LTC4 in combination with a subthreshold dose of IL-25 led to dramatic synergistic induction of type 2 inflammation throughout the lungs, causing rapid eosinophilia, inflammatory type 2 innate lymphoid cell (ILC2) proliferation and type 2 cytokine production, dendritic cell (DC) and CD4+ T cell recruitment and goblet cell hyperplasia. While lung eosinophilia was dominantly mediated through the classical CysLT receptor CysLT1R, type 2 cytokines and activation of innate immune cells required signaling through both CysLT1R and CysLT2R. Tuft cell-specific deletion of Ltc4s, the terminal enzyme required for CysLT production, reduced lung inflammation and the systemic immune response after inhalation of the mold aeroallergen Alternaria; this effect was further enhanced by concomitant blockade of IL-25. Our findings identified a potent synergy of CysLTs and IL-25 downstream of aeroallergen-trigged activation of airway tuft cells leading to a highly polarized type 2 immune response and further implicate airway tuft cells as powerful modulators of type 2 immunity in the lungs.	TXT	False	Tacstd2 AND lung AND mouse
GSE189056	GSE	Mus musculus	48		19057	2021/11/20	Human Rhinovirus Infection of the Respiratory Tract Affects Sphingolipid Synthesis	We report the application of bulk RNA sequencing to RNA extracted from lung tissue and magnetic bead isolated EpCAM+ lung epithelial cells and CD45+ lung immune cells from mice. Heterozygous serine palmitory transferase subunit 2 , Sptlc2+/- (SPT) and Sptlc2+/+ controls (WT) mice were included. Differential gene expression analysis reveals genes within the sphingolipid synthesis pathway are similarly expressed in the lung and lung epithelial cells of RV infected WT mice and SPT mice (both infected and uninfected).	CSV	False	Tacstd2 AND lung AND mouse
GSE189479	GSE	Mus musculus	3		17021	2021/11/26	Single Cell sequencing analysis of adult SP-C BRICHOS mice lung epithelium	We report the single cell RNA sequencing of the lung epithelium of mice expressing the SP-C BROCHOS mutation (SP-C C121G) at 3 and 7 days after tamoxifen induced mutation expression. The control sample for this experiment are mice hypomorphic for the SP-C mutation (SP-C C121Gneo). This study allow for the identification of unique lung epithelial cell states that emerge following SP-C mutation expression	H5AD	False	Tacstd2 AND lung AND mouse
GSE189480	GSE	Mus musculus	15		17021	2021/11/26	SP-C BRICHOS mutation mouse model	This SuperSeries is composed of the SubSeries listed below.	CSV, H5AD	False	Tacstd2 AND lung AND mouse
GSE189852	GSE	Mus musculus	5		21103	2022/08/18	Transcriptomes of adult sorted Epcam+ CD44- enterocytes from small intestine of wildtype and CmafLEC-KO mice	Small intestinal villi are highly specialized structural and functional units uniquely adapted to the absorption of nutrients in higher vertebrates. Intestinal villus enterocytes are organized in spatially resolved “zones” dedicated to specialized tasks, such as anti-bacterial protection, and absorption of amino-acids, carbohydrates and lipids. However, the molecular mechanisms for the establishment and maintenance of villus intestinal epithelial zonation are incompletely understood. Here, we show that transcription factor C-Maf is highly expressed in mature lower and mid-villus small intestinal enterocytes, where it is induced in response to BMP signaling. In vivo depletion of C-Maf in the adult enterocytes perturbed the villus epithelial zonation transcriptional program and enhanced the expression of genes involved in carbohydrate metabolism and bile acid regulation and transport, while suppressing genes related to amino acid transport and lipid metabolism. Loss of C-Maf under homeostatic conditions had no effect on body weight due to compensatory small intestinal remodeling, accompanied by increased generation of tuft cells and goblet cell hyperplasia. However, upon challenge with anti-metabolite therapy, C-Maf inactivation impaired body weight recovery, resulting in reduced survival, due to delayed enterocyte maturation. Our results identify a novel role for C-Maf in maintaining the zonation program of differentiated intestinal epithelium, by balancing absorptive versus secretory cell differentiation in the small intestine, while highlighting the importance of coordination between stem/progenitor cell and enterocyte differentiation programs for intestinal regeneration.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE189917	GSE	Mus musculus; metagenome	288		16417;31020	2023/08/23	Gene expression profiling of Scgb1a1+, CD24low cells isolated from the lungs of Scgb1a1-CreER; Rosa26-mTmG mouse.	We established a new method to find out subpopulation of lung epithelial stem cells, named scMORN, and uncovered the existence of Club cell subpopulations contributing to alveolar regeneration. We isolated entire Club cells by sorting Scgb1a1+, CD24low cells from the lungs of Scgb1a1-CreER; Rosa26-mTmG mouse. The gene expression profiling revealed that two genetically distinct types of Club cells.	TXT	False	Tacstd2 AND lung AND mouse
GSE190565	GSE	Mus musculus	15		19057	2022/04/12	Single cell transcriptional profiling of native, transplanted, or organoid SCA1+ and SCA1- lung epithelial cells	The study examined the ability of SCA1+ and SCA1- lung epithelial organoids to be transplanted and retained by donor mice.	MTX, TSV	False	Tacstd2 AND lung AND mouse
GSE191208	GSE	Mus musculus	9		21103	2022/01/01	Comparative transcriptional analysis of lung fibroblasts from young and aged mice identifies PIM1/NFATc1 axis as a driver of persistent fibrosis	Idiopathic pulmonary fibrosis (IPF) is an aging-associated disease characterized by the accumulation of myofibroblasts leading to the progressive scarring of the lung. To identify transcriptional gene programs driving persistent fibrosis in aged lungs, we performed a comparative RNA-seq analysis of fibroblasts freshly isolated from young and aged mouse lungs 30 days post-bleomycin injury. We discovered that lung fibroblasts isolated from young animals at this time point post-injury were transcriptionally similar to those isolated from uninjured mice. In contrast, aged lung fibroblasts isolated at the same time point exhibited a sustained pro-fibrotic state characterized by the elevated expression of genes implicated in inflammation, extracellular matrix remodeling, and cell survival. We identified the protein kinase pro-viral integration site of Moloney murine leukemia virus 1 (PIM1) and its direct target Nuclear Factor of Activated T Cells-1 (NFATc1) as putative drivers of the sustained profibrotic gene signatures observed in aged lung fibroblasts post-injury. PIM1 and NFATc1 transcripts were highly enriched in a pathogenic fibroblast population recently discovered in IPF lungs, and their protein expression was detected in fibroblastic foci. Overexpression of PIM1 in normal human lung fibroblasts potentiated their fibrogenic activation and this effect was dependent on NFATc1. Pharmacological inhibition of PIM1 in IPF-derived lung fibroblasts attenuated their activation and sensitized them to apoptotic stimuli. Finally, inhibition of PIM1 strongly reduced the expression of ECM remodeling and pro-survival genes and blocked the secretion of collagen in IPF lung explants ex vivo. Targeting PIM1/NFATc1 axis in pathogenic lung fibroblasts may represent a therapeutic strategy to limit their activation and promote fibrosis resolution in IPF.	TSV	False	Tacstd2 AND lung AND mouse
GSE192875	GSE	Mus musculus	72		19057;13112	2022/08/03	Transcriptional regulation of the thymus master regulator Foxn1	This SuperSeries is composed of the SubSeries listed below.	BROADPEAK, BW, NARROWPEAK	False	Tacstd2 AND lung AND mouse
GSE196005	GSE	Homo sapiens	22		24676	2022/02/28	CD90 marks a mesenchymal program in human thymic epithelial cells in vitro and in vivo	Thymic epithelium is critical for the structural integrity of the thymus and for T cell development. Within the fully formed thymus, large numbers of hematopoietic cells shape the thymic epithelium into a scaffold-like structure which bears little similarity to classical epithelial layers, such as those observed in the skin, intestine or pancreas. Here, we show that human thymic epithelial cells (TECs) possess an epithelial identity that also incorporates the expression of mesenchymal cell associated genes, whose expression levels vary between medullary and cortical TECs (m/cTECs). Using pluripotent stem cell (PSC) differentiation systems, we identified a unique population of cells that co-expressed the master TEC transcription factor FOXN1, as well as the epithelial associated marker EPCAM and the mesenchymal associated gene CD90. Using the same serum free culture conditions, we also observed co-expression of EPCAM and CD90 on cultured TECs derived from neonatal human thymus in vitro. Single cell RNA-sequencing revealed these cultured TECs possessed an immature mTEC phenotype and expressed epithelial and mesenchymal associated genes, such as EPCAM, CLDN4, CD90 and COL1A1. Importantly, flow cytometry and single cell RNA-sequencing analysis further confirmed the presence of an EPCAM+CD90+ population in the CD45- fraction of neonatal human thymic stromal cells in vivo. Using the human thymus cell atlas, we found that cTECs displayed more pronounced mesenchymal characteristics than mTECs during embryonic development. Collectively, these results suggest human TECs possess a hybrid gene expression program comprising both epithelial and mesenchymal elements, and provide a basis for the further exploration of thymus development from primary tissues and from the in vitro differentiation of PSCs.	MTX, TSV, TXT	True	CLDN4[Description]
GSE196342	GSE	Mus musculus	9		23479	2022/02/11	Radioresistant Cells in STING Gain-of-function Mice Initiate Lymphocyte-dependent Lung Inflammation and IFNγ-dependent Mortality	Pediatric patients with constitutively active mutations in the cytosolic dsDNA sensing adaptor STING develop an autoinflammatory syndrome known as STING Associated Vasculopathy with onset in Infancy (SAVI). SAVI patients have elevated interferon stimulated gene expression and suffer from interstitial lung disease (ILD) with lymphocyte predominate bronchus associated lymphoid tissue (BALT). Mice harboring SAVI mutations (STING V154M or VM) that recapitulate human disease also develop lymphocyte rich BALT formation. Ablation of either T or B lymphocytes prolongs survival of SAVI mice, but lung immune aggregates persist, indicating that T cells and B cells can independently be recruited as BALT. VM T cells produced IFNγ and IFNγR deficiency prolonged the survival of SAVI mice; however, T cell dependent recruitment of infiltrating myeloid cells to the lung was independent of IFNγ. Lethally irradiated VM recipients fully reconstituted with WT BM-derived cells still developed ILD, pointing to a critical role for VM-expressing radioresistant parenchymal and/or stromal cells in the recruitment and activation of pathogenic lymphocytes. We identified lung endothelial cells as radioresistant cells which express STING. Transcriptional analysis of VM endothelial cells revealed upregulation of chemokines, pro-inflammatory cytokines, and genes associated with antigen presentation. Together, our data show that VM-expressing radioresistant cells play a key role in the initiation of lung disease in VM mice and provide new insights for the treatment of SAVI patients, with implications for ILD associated with other connective tissue disorders.	CSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"");TACSTD2 AND interferon;Tacstd2 AND lung AND mouse"
GSE196470	GSE	Mus musculus	12		24247	2022/02/13	Nematode ascarosides attenuate mammalian type 2 inflammatory responses	Mounting evidence suggests that helminthic infection can protect against disorders of immune dysregulation. Administration of live parasites or their excretory/secretory products (ES) has shown therapeutic effects across a wide range of animal models for immune disorders including asthma. Human clinical trials of live parasite ingestion for the treatment of immune disorders have produced promising results, yet concerns persist regarding ingestion of pathogenic organisms and unpredictable immune responses towards their protein components. Despite extensive efforts toward defining active components of ES, no small molecules with immune regulatory activity have been identified from nematodes. OBJECTIVE: Here we have aimed to identify the effect of evolutionarily conserved family of nematode pheromones called ascaroside, which is a small molecule produced by several animal parasitic nematode species, on pulmonary immune response and asthma severity in mice.	MTX, TSV	False	Tacstd2 AND lung AND mouse
GSE196815	GSE	Mus musculus	13		21103	2023/06/08	RNA-seq analysis of sorted duodenum epithelial cells and duodenum lamia propria macrophages from mice where Tsc2 is deleted in Lyz2-expressing cells	Iron is an essential cellular and important for many physiological functions including erythropoiesis and host defense. It is taken up from the diet in the duodenum, the first part of the small intestine by enterocytes and loaded onto transferrin, the main iron transport molecules in the circulation. Macrophages are ancient sentinel cells that are implicated in all steps of systemic iron metabolism except duodenal iron import. By assessing mice that harbor a macrophage-specific deletion of the tuberous sclerosis complex 2 (Tsc2), a negative regulator of mTORC1, we found that these mice possessed various defects in iron metabolism including defective steady state erythropoiesis and a highly reduced saturation of transferrin with iron. This iron-deficiency phenotype was caused by a block of iron import from the duodenal epithelial cells into the circulation. Activation of mTORC1 in villous duodenal CD68+ macrophages induced expression of serine proteases and promoted local degradation of the major iron transport molecule transferrin, whereas depletion of macrophages in mice increased transferrin levels in the duodenal villi. Inhibition of serine protease activity restored transferrin levels in the Tsc2-deficient mice. Physiologically, transferrin levels were regulated in the villi during Citrobacter rodentium infection in mice. These data show that transferrin is controlled locally in the duodenum and establish macrophages as regulators of duodenal iron uptake.	TSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE196936	GSE	Homo sapiens	2		20301	2022/07/13	Epithelial-mesenchymal plasticity determines estrogen receptor positive breast cancer dormancy and epithelial reconversion drives recurrence	Estrogen receptor α-positive (ER+) breast cancers (BCs) represent more than 70% of all breast cancers and pose a particular clinical challenge because they recur up to decades after initial diagnosis and treatment. The mechanisms governing tumor cell dormancy and latent disease remain elusive due to a lack of adequate models. Here, we compare tumor progression of ER+ and triple-negative (TN) BC subtypes with a clinically relevant mouse intraductal xenografting approach (MIND). Both ER+ and TN BC cells disseminate already during the in situ stage. However, TN disseminated tumor cells (DTCs) proliferate at the same rate as cells at the primary site and give rise to macro-metastases. ER+ DTCs have low proliferative indices, form only micro-metastases and lose epithelial characteristics. Single cell RNA sequencing reveals that dormant DTCs harbor different Epithelial-Mesenchymal Plasticity (EMP)-states, reflective of their heterogeneous and plastic nature. Dormant DTCs are in a mesenchymal-like state, with decreased CDH1 and increased ZEB2 and VIM expression levels, as well as matrisome-related genes, like FN1, ELN, COL3A1, and others. On the other hand, proliferative DTCs are epithelial-like, and express CDH1, EPCAM, KRT18, and ESR1. EMP is very rare in primary tumour cells and is not required for invasion or metastasis. In vivo, forced transition to the epithelial state through ectopic E-cadherin expression overcomes dormancy with increased growth of lung metastases. We conclude that EMP is essential for the generation of a dormant cell state and the development of latent disease. Targeting exit from EMP is of therapeutic potential.	CSV	False	Tacstd2 AND lung AND mouse
GSE197156	GSE	Mus musculus	8		24247	2022/09/14	Lung tuft cell transcriptomics	While the lung bears significant regenerative capacity, severe viral pneumonia can chronically impair lung function by triggering dysplastic remodeling. The connection between these enduring changes and chronic disease remains poorly understood. We recently described the emergence of tuft cells within Krt5+ dysplastic regions after influenza injury. Using bulk and single cell transcriptomics, we characterized and delineated multiple distinct tuft cell populations that arise following influenza clearance. Distinct from intestinal tuft cells which rely on Type 2 immune signals for their expansion, neither IL-25 nor IL-4Ra signaling are required to drive tuft cell development in dysplastic/injured lungs. Furthermore, tuft cells were also observed upon bleomycin injury, suggesting that their development may be a general response to severe lung injury. While intestinal tuft cells promote growth and differentiation of surrounding epithelial cells, in the lungs of tuft cell deficient mice, Krt5+ dysplasia still occurs, goblet cell production is unchanged, and there remains no appreciable contribution of Krt5+ cells into more regionally appropriate alveolar Type 2 cells. Together, these findings highlight unexpected differences in signals necessary for lung tuft cell amplification and establish a framework for future elucidation of tuft cell functions in pulmonary health and disease.	CSV	False	Tacstd2 AND lung AND mouse
GSE197162	GSE	Mus musculus	1		17021	2022/09/14	Lung tuft single cell transcriptomics	While the lung bears significant regenerative capacity, severe viral pneumonia can chronically impair lung function by triggering dysplastic remodeling. The connection between these enduring changes and chronic disease remains poorly understood. We recently described the emergence of tuft cells within Krt5+ dysplastic regions after influenza injury. Using bulk and single cell transcriptomics, we characterized and delineated multiple distinct tuft cell populations that arise following influenza clearance. Distinct from intestinal tuft cells which rely on Type 2 immune signals for their expansion, neither IL-25 nor IL-4Ra signaling are required to drive tuft cell development in dysplastic/injured lungs. Furthermore, tuft cells were also observed upon bleomycin injury, suggesting that their development may be a general response to severe lung injury. While intestinal tuft cells promote growth and differentiation of surrounding epithelial cells, in the lungs of tuft cell deficient mice, Krt5+ dysplasia still occurs, goblet cell production is unchanged, and there remains no appreciable contribution of Krt5+ cells into more regionally appropriate alveolar Type 2 cells. Together, these findings highlight unexpected differences in signals necessary for lung tuft cell amplification and establish a framework for future elucidation of tuft cell functions in pulmonary health and disease.	MTX, TSV	False	Tacstd2 AND lung AND mouse
