gene_short_name	note	MCF7_KO	MCF7_WT	T47D_KO	T47D_WT	log2FC_T47D_KO_vs_WT	log2FC_MCF7_KO_vs_WT	log2FC_mean_bothlines	same_direction_both_lines
AP2S1	group-mean FPKM only; no per-replicate data in GEO	148.413	170.037	140.694	141.27	-0.00587349	-0.195615	-0.100744	True
ARSA	group-mean FPKM only; no per-replicate data in GEO	5.25857	3.84901	1.15502	2.01978	-0.606449	0.405024	-0.100713	False
GPATCH4	group-mean FPKM only; no per-replicate data in GEO	32.2198	36.4266	32.1583	32.773	-0.0269023	-0.174497	-0.100699	True
TDP1	group-mean FPKM only; no per-replicate data in GEO	19.8206	23.3838	21.162	20.6895	0.0318169	-0.233089	-0.100636	False
ASCL2	group-mean FPKM only; no per-replicate data in GEO	28.0261	23.2744	22.1649	30.7651	-0.464093	0.262874	-0.10061	False
NDUFB11	group-mean FPKM only; no per-replicate data in GEO	96.627	101.379	98.9074	108.436	-0.132056	-0.0689124	-0.100484	True
SYNE2	group-mean FPKM only; no per-replicate data in GEO	15.6797	17.1873	13.4582	14.1751	-0.0722574	-0.128529	-0.100393	True
ARFRP1	group-mean FPKM only; no per-replicate data in GEO	19.2865	20.9914	16.1959	17.1664	-0.0815142	-0.119243	-0.100379	True
RPL13	group-mean FPKM only; no per-replicate data in GEO	345.826	351.225	523.881	592.868	-0.178312	-0.0223172	-0.100314	True
MUTYH	group-mean FPKM only; no per-replicate data in GEO	8.64162	9.26294	8.69819	9.39755	-0.105721	-0.0948658	-0.100294	True
ZNF620	group-mean FPKM only; no per-replicate data in GEO	3.21458	3.9563	3.22931	3.07198	0.0621847	-0.262647	-0.100231	False
SYTL4	group-mean FPKM only; no per-replicate data in GEO	4.83161	3.76977	7.2859	10.6711	-0.520836	0.320413	-0.100211	False
RBPMS	group-mean FPKM only; no per-replicate data in GEO	7.46943	10.3687	9.51086	7.93412	0.247256	-0.447631	-0.100187	False
TSKU	group-mean FPKM only; no per-replicate data in GEO	30.9294	26.75	8.20956	11.0417	-0.406184	0.205859	-0.100163	False
EPS15	group-mean FPKM only; no per-replicate data in GEO	51.673	51.9308	62.521	71.5465	-0.193096	-0.00711117	-0.100103	True
CSPG5	group-mean FPKM only; no per-replicate data in GEO	2.23614	1.51657	0.849553	1.60368	-0.640434	0.440239	-0.100098	False
CIZ1	group-mean FPKM only; no per-replicate data in GEO	19.0755	21.8762	19.4893	19.5904	-0.00727834	-0.192916	-0.100097	True
CCDC186	group-mean FPKM only; no per-replicate data in GEO	9.07577	10.7966	7.05034	6.85126	0.0385501	-0.238428	-0.0999391	False
AHI1	group-mean FPKM only; no per-replicate data in GEO	13.8953	13.4891	11.1255	13.2401	-0.2411	0.0412947	-0.0999025	False
SNX33	group-mean FPKM only; no per-replicate data in GEO	2.38397	3.67942	5.77344	4.47187	0.335468	-0.535247	-0.0998892	False
SLC27A4	group-mean FPKM only; no per-replicate data in GEO	11.4219	15.27	10.1578	8.75247	0.203999	-0.403568	-0.0997846	False
SGK1	group-mean FPKM only; no per-replicate data in GEO	66.3274	63.4377	31.1347	37.468	-0.263276	0.0637729	-0.0997516	False
PINK1	group-mean FPKM only; no per-replicate data in GEO	14.4001	20.856	14.7492	11.7162	0.319938	-0.519319	-0.0996907	False
STC2	group-mean FPKM only; no per-replicate data in GEO	16.7395	17.7253	7.60116	8.29859	-0.119144	-0.0802246	-0.0996842	True
CENPBD1P1	group-mean FPKM only; no per-replicate data in GEO	11.2648	10.0223	7.18818	9.36953	-0.360339	0.161027	-0.0996563	False
ABCB6	group-mean FPKM only; no per-replicate data in GEO	17.4979	12.1226	2.05462	3.68122	-0.710815	0.511819	-0.0994979	False
ZNF708	group-mean FPKM only; no per-replicate data in GEO	7.40296	10.0862	10.0453	8.53643	0.222775	-0.42172	-0.0994722	False
IFNAR2	group-mean FPKM only; no per-replicate data in GEO	2.41003	2.61485	3.90514	4.2239	-0.100791	-0.0981287	-0.0994596	True
LOC100507577	group-mean FPKM only; no per-replicate data in GEO	8.31655	7.98196	5.59875	6.77645	-0.254721	0.0558165	-0.0994523	False
FOXO6	group-mean FPKM only; no per-replicate data in GEO	9.71038	7.72547	4.10054	6.05485	-0.51076	0.311867	-0.0994465	False
SPSB1	group-mean FPKM only; no per-replicate data in GEO	8.49915	7.11856	2.1971	3.15665	-0.439114	0.24027	-0.0994216	False
SCAP	group-mean FPKM only; no per-replicate data in GEO	7.67931	8.1558	6.01922	6.56965	-0.116939	-0.081688	-0.0993137	True
PRMT7	group-mean FPKM only; no per-replicate data in GEO	15.0604	16.9459	17.4349	17.8539	-0.033317	-0.165009	-0.0991629	True
DENND1B	group-mean FPKM only; no per-replicate data in GEO	14.951	16.8741	34.0708	34.766	-0.028724	-0.169238	-0.098981	True
SFMBT1	group-mean FPKM only; no per-replicate data in GEO	3.68144	4.21193	3.97053	4.05049	-0.025576	-0.172318	-0.0989471	True
PPP1R26	group-mean FPKM only; no per-replicate data in GEO	7.35128	7.8149	6.10938	6.65789	-0.115019	-0.082771	-0.0988952	True
LINC00476	group-mean FPKM only; no per-replicate data in GEO	3.57218	3.58733	9.26902	10.6623	-0.192349	-0.00535739	-0.098853	True
NBPF15	group-mean FPKM only; no per-replicate data in GEO	54.1075	51.5484	20.5903	24.8745	-0.2668	0.0692453	-0.0987772	False
CCDC85B	group-mean FPKM only; no per-replicate data in GEO	25.9994	18.5461	18.6341	30.0268	-0.67393	0.476464	-0.0987331	False
AKAP13	group-mean FPKM only; no per-replicate data in GEO	4.69687	4.82555	5.3602	6.05652	-0.16198	-0.0352876	-0.098634	True
ADSS	group-mean FPKM only; no per-replicate data in GEO	21.5505	24.6937	28.2336	28.3305	-0.0048571	-0.192252	-0.0985544	True
SULT1A2	group-mean FPKM only; no per-replicate data in GEO	0.674052	1.5771	0.845165	0.371596	0.626052	-0.823074	-0.0985114	False
EHD4	group-mean FPKM only; no per-replicate data in GEO	9.08856	10.0826	8.33031	8.67084	-0.0545898	-0.142308	-0.0984489	True
APOA1BP	group-mean FPKM only; no per-replicate data in GEO	71.251	70.9289	48.1569	55.5128	-0.203112	0.00649103	-0.0983106	False
EPN2	group-mean FPKM only; no per-replicate data in GEO	12.1216	14.206	10.274	10.0965	0.0239661	-0.22051	-0.098272	False
EEF2	group-mean FPKM only; no per-replicate data in GEO	447.622	442.739	986.648	1143.11	-0.212257	0.0158067	-0.0982251	False
PHLDA3	group-mean FPKM only; no per-replicate data in GEO	15.8292	16.0872	14.6661	16.6079	-0.173813	-0.0226163	-0.0982144	True
DIS3L2	group-mean FPKM only; no per-replicate data in GEO	6.42346	5.58193	6.29027	8.35651	-0.383269	0.186964	-0.0981527	False
CRIM1	group-mean FPKM only; no per-replicate data in GEO	9.15919	12.24	15.0116	12.9738	0.203191	-0.399391	-0.0981002	False
C19orf12	group-mean FPKM only; no per-replicate data in GEO	8.10245	9.35313	10.5113	10.514	-0.000353709	-0.195834	-0.0980941	True
ANKRD54	group-mean FPKM only; no per-replicate data in GEO	10.5366	9.94514	5.83561	7.16883	-0.275523	0.079464	-0.0980295	False
CHKA	group-mean FPKM only; no per-replicate data in GEO	7.08889	7.06075	6.97738	8.09527	-0.20101	0.00535953	-0.0978253	False
USMG5	group-mean FPKM only; no per-replicate data in GEO	617.703	661.263	770.769	824.623	-0.0973751	-0.098234	-0.0978045	True
KIAA1875,MAF1	group-mean FPKM only; no per-replicate data in GEO	67.843	67.5929	120.9	139.028	-0.200786	0.0052892	-0.0977485	False
CAMK2N2	group-mean FPKM only; no per-replicate data in GEO	2.64441	2.65217	0.561052	0.711926	-0.191806	-0.003556	-0.0976811	True
PMEPA1	group-mean FPKM only; no per-replicate data in GEO	11.517	8.93715	3.44823	5.25648	-0.543981	0.348654	-0.0976636	False
EMP3	group-mean FPKM only; no per-replicate data in GEO	7.9102	7.77285	4.6697	5.51716	-0.219002	0.0237557	-0.0976232	False
C19orf66	group-mean FPKM only; no per-replicate data in GEO	1.12415	0.929001	7.15328	9.45857	-0.37986	0.184678	-0.0975912	False
GLCE	group-mean FPKM only; no per-replicate data in GEO	11.8366	10.7594	17.1281	21.6123	-0.326972	0.131815	-0.0975786	False
PPIP5K1	group-mean FPKM only; no per-replicate data in GEO	4.67781	5.71136	5.17888	4.9192	0.0675265	-0.262567	-0.0975203	False
FAM53A	group-mean FPKM only; no per-replicate data in GEO	1.80791	1.3411	2.60519	3.95584	-0.521016	0.326019	-0.0974985	False
ZFP62	group-mean FPKM only; no per-replicate data in GEO	10.2715	11.2773	13.7479	14.4163	-0.0661404	-0.12879	-0.097465	True
CIPC	group-mean FPKM only; no per-replicate data in GEO	13.5957	14.9336	12.5191	13.1099	-0.0640267	-0.130819	-0.0974231	True
TM9SF4	group-mean FPKM only; no per-replicate data in GEO	12.8634	13.4615	13.3434	14.6651	-0.131557	-0.0631668	-0.0973618	True
SLBP	group-mean FPKM only; no per-replicate data in GEO	49.3222	49.5955	64.3588	73.3247	-0.186801	-0.00789229	-0.0973468	True
TM9SF2	group-mean FPKM only; no per-replicate data in GEO	78.0669	87.6783	77.6433	79.1802	-0.0280991	-0.166502	-0.0973006	True
PRR19	group-mean FPKM only; no per-replicate data in GEO	13.8815	14.1668	15.7045	17.6818	-0.166101	-0.02834	-0.0972203	True
GLE1	group-mean FPKM only; no per-replicate data in GEO	37.6158	43.8709	47.4847	46.6671	0.0247936	-0.219225	-0.0972155	False
PARD6A	group-mean FPKM only; no per-replicate data in GEO	4.15619	4.43113	5.68595	6.18302	-0.111505	-0.0827684	-0.0971367	True
ZBTB14	group-mean FPKM only; no per-replicate data in GEO	11.5483	14.6723	15.9469	14.4427	0.138375	-0.33261	-0.0971177	False
CATSPER3,PCBD2	group-mean FPKM only; no per-replicate data in GEO	31.0412	40.3224	40.0806	35.372	0.177932	-0.372123	-0.0970957	False
RAB20	group-mean FPKM only; no per-replicate data in GEO	9.85073	12.3941	7.80899	7.13028	0.122937	-0.316979	-0.0970207	False
SAMD1	group-mean FPKM only; no per-replicate data in GEO	16.952	19.1806	9.75354	9.89956	-0.0204004	-0.173382	-0.0968911	True
PRKAG1	group-mean FPKM only; no per-replicate data in GEO	52.4793	55.5908	89.0885	96.2764	-0.111342	-0.0823354	-0.0968385	True
ADRBK1	group-mean FPKM only; no per-replicate data in GEO	23.9702	21.7963	16.9564	21.4081	-0.327708	0.134222	-0.0967434	False
IQCC	group-mean FPKM only; no per-replicate data in GEO	4.82876	5.71185	4.63331	4.53523	0.0278317	-0.221223	-0.0966957	False
ATP5G2,CALCOCO1	group-mean FPKM only; no per-replicate data in GEO	237.417	259.114	275.214	288.388	-0.0673378	-0.12591	-0.0966238	True
ZNF28	group-mean FPKM only; no per-replicate data in GEO	16.8524	19.3343	20.1813	20.1854	-0.000285981	-0.192862	-0.0965741	True
FANCI	group-mean FPKM only; no per-replicate data in GEO	80.1151	82.298	194.814	216.882	-0.154437	-0.0385458	-0.0964915	True
CTNNA1	group-mean FPKM only; no per-replicate data in GEO	140.8	183.222	148.95	130.87	0.186027	-0.378763	-0.0963679	False
ARFGAP2	group-mean FPKM only; no per-replicate data in GEO	36.5122	40.8863	34.7681	35.535	-0.031035	-0.161152	-0.0960937	True
SPATA5L1	group-mean FPKM only; no per-replicate data in GEO	4.18205	4.49271	3.72038	4.02165	-0.0994764	-0.0926828	-0.0960796	True
KIAA1109	group-mean FPKM only; no per-replicate data in GEO	11.4804	14.0745	16.5221	15.4835	0.0908257	-0.28277	-0.0959723	False
SAP18	group-mean FPKM only; no per-replicate data in GEO	51.6504	71.746	130.258	107.313	0.278368	-0.470239	-0.0959357	False
ZBTB3	group-mean FPKM only; no per-replicate data in GEO	3.26357	3.47484	2.91235	3.19046	-0.113035	-0.078795	-0.095915	True
SMCR8	group-mean FPKM only; no per-replicate data in GEO	6.02075	6.85813	4.19761	4.25468	-0.0174213	-0.174301	-0.0958613	True
DSTYK	group-mean FPKM only; no per-replicate data in GEO	5.02129	5.16807	6.94377	7.78129	-0.153822	-0.0378522	-0.0958371	True
KRBA1	group-mean FPKM only; no per-replicate data in GEO	4.29176	3.40214	0.323464	0.65478	-0.487841	0.29629	-0.0957752	False
REL	group-mean FPKM only; no per-replicate data in GEO	4.97001	6.81402	7.59535	6.41383	0.227608	-0.419121	-0.0957564	False
AGAP4,PARGP1	group-mean FPKM only; no per-replicate data in GEO	27.4434	18.08	7.44763	13.1486	-0.780156	0.588757	-0.0956996	False
CTBP1	group-mean FPKM only; no per-replicate data in GEO	36.3583	35.8223	29.3784	34.1191	-0.212465	0.021134	-0.0956657	False
LOC102724301	group-mean FPKM only; no per-replicate data in GEO	3.29656	3.13677	3.14077	3.83949	-0.253282	0.0620351	-0.0956234	False
TTLL12	group-mean FPKM only; no per-replicate data in GEO	25.3342	23.3123	13.6483	17.022	-0.308539	0.117575	-0.0954818	False
ETFA	group-mean FPKM only; no per-replicate data in GEO	89.8347	83.8648	137.015	167.583	-0.289585	0.0986391	-0.0954729	False
NR1D2	group-mean FPKM only; no per-replicate data in GEO	20.3213	15.42	8.78397	13.3598	-0.578093	0.38722	-0.0954364	False
SERP1	group-mean FPKM only; no per-replicate data in GEO	42.9107	41.0493	48.2434	57.6302	-0.254081	0.0632265	-0.0954272	False
MIR545	group-mean FPKM only; no per-replicate data in GEO	0.815972	1.25434	2.18141	1.79581	0.223989	-0.4148	-0.0954055	False
CHCHD2	group-mean FPKM only; no per-replicate data in GEO	265.576	264.604	326.823	374.411	-0.195833	0.00527995	-0.0952766	False
ETS2	group-mean FPKM only; no per-replicate data in GEO	8.75161	9.09392	1.47306	1.67131	-0.138131	-0.052416	-0.0952734	True
LTBP1	group-mean FPKM only; no per-replicate data in GEO	10.2105	7.81044	3.25676	5.02446	-0.556344	0.366029	-0.0951577	False
CDC73	group-mean FPKM only; no per-replicate data in GEO	10.8515	15.3959	28.3848	23.0331	0.295619	-0.485772	-0.0950763	False
FIGNL1	group-mean FPKM only; no per-replicate data in GEO	13.9428	13.7061	14.2878	16.6503	-0.213826	0.0238399	-0.0949932	False
MFHAS1	group-mean FPKM only; no per-replicate data in GEO	4.53605	5.38432	8.26958	8.06136	0.0346678	-0.224583	-0.0949577	False
CCDC15	group-mean FPKM only; no per-replicate data in GEO	3.68447	3.49909	5.69073	6.88898	-0.255266	0.0653732	-0.0949463	False
RPL41,ZC3H10	group-mean FPKM only; no per-replicate data in GEO	3957.29	3946.74	6098.77	6973.25	-0.193298	0.00385082	-0.0947236	False
BMS1P4	group-mean FPKM only; no per-replicate data in GEO	4.46305	3.76006	2.36501	3.30617	-0.4098	0.220353	-0.0947233	False
ITSN2	group-mean FPKM only; no per-replicate data in GEO	10.7039	12.8724	11.908	11.3546	0.0658236	-0.255257	-0.0947169	False
PTPN13	group-mean FPKM only; no per-replicate data in GEO	13.5438	12.5463	15.9885	19.7391	-0.295685	0.106293	-0.0946962	False
SEZ6L2	group-mean FPKM only; no per-replicate data in GEO	2.08305	3.58493	1.93834	1.25811	0.471874	-0.661236	-0.0946809	False
RAB24	group-mean FPKM only; no per-replicate data in GEO	14.9358	13.4217	16.4682	20.9508	-0.338198	0.148945	-0.0946265	False
PHF8	group-mean FPKM only; no per-replicate data in GEO	3.63657	3.48763	2.73219	3.32211	-0.241857	0.0529034	-0.0944769	False
LOC101241902	group-mean FPKM only; no per-replicate data in GEO	0.980228	0.297751	3.06248	7.03464	-1.08066	0.891809	-0.0944238	False
C14orf2	group-mean FPKM only; no per-replicate data in GEO	221.704	236.624	263.473	281.424	-0.0949159	-0.0937569	-0.0943364	True
STRIP1	group-mean FPKM only; no per-replicate data in GEO	10.9646	12.9743	12.278	11.8909	0.0443811	-0.233024	-0.0943216	False
IPP	group-mean FPKM only; no per-replicate data in GEO	8.52288	7.62583	8.66162	11.0934	-0.339629	0.151073	-0.0942781	False
FAM222A	group-mean FPKM only; no per-replicate data in GEO	5.33095	4.68195	1.71421	2.33936	-0.358774	0.170236	-0.0942689	False
LSM7	group-mean FPKM only; no per-replicate data in GEO	94.3736	94.0025	156.775	179.433	-0.19417	0.0056542	-0.0942581	False
RRP8	group-mean FPKM only; no per-replicate data in GEO	4.50936	4.84873	4.26203	4.58222	-0.0938821	-0.0945701	-0.0942261	True
SPECC1	group-mean FPKM only; no per-replicate data in GEO	28.478	33.8749	36.5988	35.1272	0.0583934	-0.246397	-0.094002	False
TINF2	group-mean FPKM only; no per-replicate data in GEO	21.385	23.4629	18.303	19.0569	-0.0567148	-0.13086	-0.0937875	True
CUL2	group-mean FPKM only; no per-replicate data in GEO	36.0632	39.1868	23.6683	24.8561	-0.0692169	-0.118267	-0.0937419	True
OSER1	group-mean FPKM only; no per-replicate data in GEO	30.2435	34.98	42.8205	42.2378	0.0195372	-0.206725	-0.0935937	False
PPP1R26-AS1	group-mean FPKM only; no per-replicate data in GEO	2.37879	2.98758	3.6039	3.35669	0.0896324	-0.276764	-0.0935657	False
HADHA	group-mean FPKM only; no per-replicate data in GEO	98.0085	101.149	106.256	117.224	-0.141091	-0.0452759	-0.0931836	True
APEX2	group-mean FPKM only; no per-replicate data in GEO	14.664	16.8411	14.1289	14.0555	0.00725689	-0.193545	-0.0931441	False
CNN2	group-mean FPKM only; no per-replicate data in GEO	20.4398	28.543	12.8803	10.4766	0.285679	-0.471943	-0.0931318	False
AFG3L1P	group-mean FPKM only; no per-replicate data in GEO	17.2072	18.8979	13.4856	14.0259	-0.0546854	-0.131564	-0.0931249	True
PAXIP1-AS2	group-mean FPKM only; no per-replicate data in GEO	4.35016	3.74704	2.17094	2.97034	-0.377729	0.191575	-0.0930774	False
SUCO	group-mean FPKM only; no per-replicate data in GEO	19.1481	24.7037	22.5411	19.9306	0.173478	-0.359246	-0.0928839	False
MIR3607	group-mean FPKM only; no per-replicate data in GEO	1.53153	1.48043	2.34757	2.82215	-0.222386	0.036753	-0.0928165	False
FAXC	group-mean FPKM only; no per-replicate data in GEO	3.29558	3.22061	5.37617	6.31675	-0.214208	0.0287812	-0.0927134	False
RBBP8NL	group-mean FPKM only; no per-replicate data in GEO	5.45527	6.01099	3.54244	3.70346	-0.056351	-0.12871	-0.0925305	True
KDELR2	group-mean FPKM only; no per-replicate data in GEO	64.7701	63.5821	48.8381	56.6283	-0.211503	0.0265008	-0.0925013	False
MTMR6	group-mean FPKM only; no per-replicate data in GEO	8.40123	12.0731	22.6603	18.1397	0.313275	-0.498264	-0.0924942	False
CFAP53	group-mean FPKM only; no per-replicate data in GEO	3.04386	2.03885	0.644364	1.31588	-0.666123	0.481146	-0.0924882	False
CDCA5	group-mean FPKM only; no per-replicate data in GEO	36.6235	33.8101	26.6996	32.9559	-0.298675	0.113699	-0.0924879	False
KIAA1257	group-mean FPKM only; no per-replicate data in GEO	1.47751	1.32599	2.15152	2.76397	-0.299808	0.115006	-0.092401	False
MGME1	group-mean FPKM only; no per-replicate data in GEO	22.2221	23.3286	26.1918	28.429	-0.11612	-0.068598	-0.0923589	True
DBNDD2,SYS1,SYS1-DBNDD2	group-mean FPKM only; no per-replicate data in GEO	25.9149	31.183	40.6082	38.4509	0.0777695	-0.262357	-0.0922937	False
ASNA1	group-mean FPKM only; no per-replicate data in GEO	74.1538	80.5261	75.6587	79.2451	-0.066387	-0.118171	-0.092279	True
TRIM45	group-mean FPKM only; no per-replicate data in GEO	5.17416	5.33492	4.54272	5.07276	-0.14419	-0.040306	-0.092248	True
EPHB3	group-mean FPKM only; no per-replicate data in GEO	2.96509	2.69515	0.626283	0.887969	-0.301406	0.117009	-0.0921984	False
LOC100129216	group-mean FPKM only; no per-replicate data in GEO	1.16104	1.57982	1.68396	1.4819	0.140062	-0.324372	-0.0921548	False
TEX264	group-mean FPKM only; no per-replicate data in GEO	26.6802	24.4607	37.8217	46.9147	-0.307173	0.122898	-0.0921376	False
ZFP30	group-mean FPKM only; no per-replicate data in GEO	11.2087	12.7674	15.359	15.402	-0.00390642	-0.180305	-0.0921056	True
PCK2	group-mean FPKM only; no per-replicate data in GEO	32.2214	34.0779	18.8158	20.267	-0.104511	-0.0796158	-0.0920636	True
ZNF629	group-mean FPKM only; no per-replicate data in GEO	5.25104	5.691	3.80334	4.0411	-0.077585	-0.10635	-0.0919673	True
HMGCS1	group-mean FPKM only; no per-replicate data in GEO	77.9677	90.3656	68.8226	67.5037	0.0277125	-0.211635	-0.0919614	False
LOC728739	group-mean FPKM only; no per-replicate data in GEO	4.19269	4.6963	4.41576	4.54223	-0.0366474	-0.14707	-0.0918585	True
PPP1R15B	group-mean FPKM only; no per-replicate data in GEO	33.893	38.7741	35.2154	35.0172	0.00802843	-0.191463	-0.0917174	False
ZNF496	group-mean FPKM only; no per-replicate data in GEO	4.95588	5.29168	4.84867	5.22169	-0.0972611	-0.08617	-0.0917156	True
TBC1D17	group-mean FPKM only; no per-replicate data in GEO	3.73795	4.32586	3.70391	3.69228	0.00399671	-0.187419	-0.0917114	False
SLC17A5	group-mean FPKM only; no per-replicate data in GEO	9.41681	10.8439	7.50893	7.45054	0.0105567	-0.193969	-0.091706	False
EPHB2	group-mean FPKM only; no per-replicate data in GEO	3.84647	4.11585	2.71754	2.93949	-0.0962366	-0.0867522	-0.0914944	True
ZDHHC6	group-mean FPKM only; no per-replicate data in GEO	25.0657	24.3754	21.8001	25.5163	-0.222366	0.0394898	-0.0914379	False
XPNPEP3	group-mean FPKM only; no per-replicate data in GEO	17.7906	18.8613	17.2003	18.481	-0.100782	-0.0820734	-0.0914278	True
NFIX	group-mean FPKM only; no per-replicate data in GEO	0.96246	1.26704	1.19201	1.08955	0.0901197	-0.272938	-0.0914089	False
LATS1	group-mean FPKM only; no per-replicate data in GEO	12.744	16.5484	12.0715	10.5836	0.18173	-0.364297	-0.0912836	False
SELO	group-mean FPKM only; no per-replicate data in GEO	20.0498	15.7302	9.27623	13.5474	-0.522953	0.340444	-0.0912547	False
B3GNT5	group-mean FPKM only; no per-replicate data in GEO	2.92323	2.60039	3.06248	3.96291	-0.325103	0.142909	-0.0910971	False
IGF2R	group-mean FPKM only; no per-replicate data in GEO	4.47735	5.21639	3.14719	3.10296	0.0176027	-0.199727	-0.0910619	False
CASC5	group-mean FPKM only; no per-replicate data in GEO	15.1463	16.567	13.3703	13.9261	-0.0566823	-0.125388	-0.0910351	True
RPPH1	group-mean FPKM only; no per-replicate data in GEO	97586.9	91246.1	105864	128449	-0.278982	0.0969241	-0.0910292	False
NIPBL	group-mean FPKM only; no per-replicate data in GEO	7.15215	7.89744	6.33475	6.56584	-0.0479725	-0.134084	-0.0910285	True
CD81	group-mean FPKM only; no per-replicate data in GEO	49.6308	48.3769	31.2056	36.3905	-0.218512	0.0365445	-0.0909836	False
TAF5	group-mean FPKM only; no per-replicate data in GEO	6.97079	7.27047	5.20823	5.72483	-0.124991	-0.0567411	-0.090866	True
FUK	group-mean FPKM only; no per-replicate data in GEO	5.57216	5.71748	4.48723	5.02372	-0.147401	-0.0341202	-0.0907608	True
GSR	group-mean FPKM only; no per-replicate data in GEO	38.753	45.7993	70.5642	67.8244	0.0567221	-0.238187	-0.0907327	False
ING1	group-mean FPKM only; no per-replicate data in GEO	7.04704	8.17024	5.86498	5.78302	0.0186978	-0.200161	-0.0907316	False
REXO1	group-mean FPKM only; no per-replicate data in GEO	1.99312	1.88605	1.92548	2.37349	-0.244534	0.063328	-0.0906028	False
TMEM39A	group-mean FPKM only; no per-replicate data in GEO	29.6352	29.0037	18.6557	21.6839	-0.211739	0.0305537	-0.0905928	False
KIF23	group-mean FPKM only; no per-replicate data in GEO	43.2118	55.1985	79.7671	70.9224	0.168432	-0.349616	-0.0905918	False
AMOTL1	group-mean FPKM only; no per-replicate data in GEO	9.79776	7.20186	6.10021	9.50506	-0.600146	0.419052	-0.0905471	False
MZT2B	group-mean FPKM only; no per-replicate data in GEO	233.246	187.738	219.463	309.165	-0.493447	0.312384	-0.0905318	False
ZFYVE21	group-mean FPKM only; no per-replicate data in GEO	51.0403	68.0673	63.7615	54.2628	0.230758	-0.41182	-0.0905307	False
ARHGEF12	group-mean FPKM only; no per-replicate data in GEO	24.1075	26.3162	18.1952	18.9491	-0.0570355	-0.124007	-0.0905211	True
SPATA20	group-mean FPKM only; no per-replicate data in GEO	23.2836	25.5887	51.0481	52.7753	-0.0475476	-0.133458	-0.0905028	True
LOC100288798	group-mean FPKM only; no per-replicate data in GEO	17.717	14.2831	10.804	15.2913	-0.482297	0.301337	-0.09048	False
MRPL51	group-mean FPKM only; no per-replicate data in GEO	192.468	231.974	308.215	289.965	0.0879112	-0.268708	-0.0903983	False
GBAS	group-mean FPKM only; no per-replicate data in GEO	15.7676	16.3998	29.9338	32.7041	-0.125687	-0.0550048	-0.0903458	True
NIPAL3	group-mean FPKM only; no per-replicate data in GEO	7.37789	7.28212	10.1204	11.6854	-0.198316	0.017646	-0.0903347	False
SMC1A	group-mean FPKM only; no per-replicate data in GEO	16.309	19.0208	14.7128	14.3457	0.0352406	-0.215778	-0.0902688	False
ZBTB48	group-mean FPKM only; no per-replicate data in GEO	3.25776	3.10203	2.53298	3.08581	-0.241563	0.0610627	-0.0902502	False
SNX9	group-mean FPKM only; no per-replicate data in GEO	9.61961	10.831	13.0009	13.1641	-0.0173349	-0.163121	-0.0902282	True
RAD51AP1	group-mean FPKM only; no per-replicate data in GEO	11.9538	17.1891	27.2488	21.638	0.3259	-0.506275	-0.0901871	False
PHKA1	group-mean FPKM only; no per-replicate data in GEO	9.92933	8.77207	7.73498	9.99534	-0.349912	0.169683	-0.0901144	False
LRRC1	group-mean FPKM only; no per-replicate data in GEO	20.2772	22.3885	18.8627	19.4137	-0.0404812	-0.139622	-0.0900514	True
SLTM	group-mean FPKM only; no per-replicate data in GEO	23.0534	28.26	40.9787	37.9859	0.108041	-0.288128	-0.0900438	False
RNU1-13P	group-mean FPKM only; no per-replicate data in GEO	4.57478	4.19116	2.97857	3.76311	-0.293412	0.113401	-0.0900057	False
MUS81	group-mean FPKM only; no per-replicate data in GEO	10.0709	9.61374	9.85234	11.7571	-0.243661	0.0637816	-0.0899396	False
TTC39A-AS1	group-mean FPKM only; no per-replicate data in GEO	4.35848	4.05085	8.32934	10.1774	-0.274183	0.094369	-0.0899069	False
ALAD	group-mean FPKM only; no per-replicate data in GEO	10.1777	14.3856	18.1876	14.6815	0.299767	-0.479316	-0.0897747	False
THAP7-AS1	group-mean FPKM only; no per-replicate data in GEO	2.83661	3.53619	8.62308	8.04022	0.0952477	-0.274611	-0.0896816	False
MAU2	group-mean FPKM only; no per-replicate data in GEO	5.56401	6.24827	5.49863	5.6037	-0.025051	-0.154246	-0.0896483	True
CHTF8	group-mean FPKM only; no per-replicate data in GEO	33.2219	37.3129	40.0684	40.4648	-0.0140284	-0.165193	-0.0896105	True
LOC100128494	group-mean FPKM only; no per-replicate data in GEO	2.71069	2.64755	2.09282	2.49406	-0.207581	0.0286541	-0.0894635	False
CHCHD7	group-mean FPKM only; no per-replicate data in GEO	10.5698	12.9373	23.5519	21.9288	0.100798	-0.279614	-0.0894078	False
FAM179B	group-mean FPKM only; no per-replicate data in GEO	11.9823	12.8539	11.8547	12.5713	-0.0813427	-0.0973774	-0.08936	True
GNAI2	group-mean FPKM only; no per-replicate data in GEO	79.3009	93.8443	67.9444	65.0276	0.0628298	-0.24153	-0.0893503	False
NFKBID	group-mean FPKM only; no per-replicate data in GEO	1.7018	1.63906	1.47259	1.79775	-0.220131	0.0417065	-0.0892121	False
ASF1B	group-mean FPKM only; no per-replicate data in GEO	38.9843	35.399	22.2457	27.8088	-0.315657	0.137335	-0.0891607	False
COQ7	group-mean FPKM only; no per-replicate data in GEO	10.2527	10.6211	9.87556	10.8514	-0.129681	-0.0486005	-0.0891408	True
