gene	contrast	mean_log2ratio_KD_over_control	n_arrays_with_value	t_stat_vs_zero	p_onesample_t	q_onesample_BH	n_biological_replicates	caveat	log2ratio_GSM558700	log2ratio_GSM558701	log2ratio_GSM558702
SAMD3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.81667	3	3.01581	0.0946046	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.758	2.844	1.848
FLJ10374	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.4921	3	-3.01465	0.0946679	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.9434	-0.889	-3.6439
FOXL1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.7001	3	3.01293	0.0947607	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.2869	0.7225	1.0909
HSPG2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.686317	3	3.00736	0.0950639	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.1243	0.3561	0.57855
KIAA0746	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.468267	3	3.00605	0.0951353	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.4005	0.7655	0.2388
APBB1IP	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.56563	3	-3.00077	0.0954235	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.4739	-0.6666	-1.5564
FLJ21827	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.603767	3	-2.99733	0.0956124	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2863	-0.5477	-0.9773
ACADS	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.7526	3	2.99576	0.0956988	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.9782	1.0286	0.251
WARS	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.566	3	2.99061	0.0959828	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.5558	1.8319	2.3103
SLITRK3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.63503	3	2.98938	0.0960509	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.585	2.6064	0.7137
YWHAH	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.57117	3	-2.98936	0.096052	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.3959	-0.7612	-2.5564
CWF19L1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.38603	3	-2.98835	0.0961075	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5778	-1.3959	-2.1844
METAP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.04913	3	-2.98698	0.0961836	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.5995	-0.3959	-1.152
FLJ10647	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.648167	3	-2.98141	0.0964928	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2176	-0.811	-0.9159
MMS19L	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.494833	3	2.98092	0.0965202	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.6871	0.1643	0.6331
KIAA0310	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.639017	3	2.98068	0.0965337	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.83605	0.8703	0.2107
MGC33407	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.34037	3	-2.97752	0.0967098	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.3934	-0.5355	-2.0922
NPC1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.980933	3	-2.97678	0.0967511	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.415	-1.5564	-0.9714
PARVA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.73005	3	-2.97247	0.0969923	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6606	-0.34365	-1.1859
TM4SF1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.45927	3	-2.9719	0.097024	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.4344	-0.6215	-2.3219
BMI1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.730367	3	-2.97133	0.0970565	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6666	-0.3401	-1.1844
MGC33962	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.13973	3	2.96862	0.0972087	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.1243	3.5336	1.7613
KLHL5	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.745056	3	-2.96417	0.0974596	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4655	-0.523	-1.24667
STMN1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.0494	3	-2.96145	0.0976132	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.34075	-1.3959	-1.41155
FLJ33590	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.2964	3	2.95792	0.0978132	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.2122	0.496	0.181
IRF2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.520367	3	2.95316	0.0980839	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3674	0.3219	0.8718
CDC42SE2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.614233	3	-2.95238	0.0981282	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1	-0.5564	-0.2863
CMAS	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.912033	3	2.94804	0.0983761	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.4647	0.7655	1.5059
TXNL4B	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.3941	3	2.94662	0.0984575	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.9635	0.8797	2.3391
RPP38	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.3644	3	-2.94565	0.0985131	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6897	-2.2515	-1.152
FARSLA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.14877	3	2.94459	0.0985736	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.9215	0.6688	0.856
C1orf37	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.27987	3	2.94438	0.0985858	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.121	0.669	1.0496
RAD52	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.676728	3	2.94336	0.0986443	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.50635	0.392033	1.1318
NDUFV1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.599533	3	2.93728	0.0989944	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.76825	0.19325	0.8371
MLLT2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.620033	3	2.93578	0.0990812	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.9299	0.7137	0.2165
DUSP3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.544867	3	-2.93297	0.0992434	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.889	-0.4941	-0.2515
C14orf123	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.388233	3	2.92757	0.0995571	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.6323	0.3561	0.1763
FOXP4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.320778	3	2.92611	0.0996421	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.4059	0.103233	0.4532
DJ109F14.3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.987567	3	2.92533	0.0996874	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.4594	1.1699	0.3334
GRM3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.4646	3	-2.92438	0.0997432	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7612	-0.415	-0.2176
TGFBR2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.813333	3	-2.92269	0.099842	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.25817	-0.8806	-0.301233
TBCD	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.9345	3	-2.92049	0.0999707	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.679167	-0.553967	-1.57037
AAK1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.0208	3	2.91627	0.100218	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3215	1.342	1.3989
E2F1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.646	3	2.91327	0.100394	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.211	0.516	2.211
EML1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.6228	3	-2.91244	0.100444	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5353	-0.304	-1.0291
FLVCR	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.853333	3	2.91131	0.10051	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3103	1.3161	0.9336
NSFL1C	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.297678	3	-2.9093	0.100628	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.431133	-0.0966	-0.3653
C14orf112	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.943933	3	2.90701	0.100764	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3103	1.384	1.1375
FLJ14100	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.9516	3	-2.90236	0.10104	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.0589	-0.737	-3.0589
CSNK2A2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.97017	3	2.89968	0.101199	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.4489	3.3176	1.144
IL1RL1LG	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.14203	3	2.89964	0.101201	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3785	1.6915	1.3561
MAPKAPK3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.838833	3	2.89918	0.101229	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.1763	1.0772	0.263
RNF122	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-3.4104	3	-2.8949	0.101485	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-5.6439	-1.6439	-2.9434
KARCA1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.767333	3	2.89469	0.101497	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.2928	0.4436	0.5656
FLJ20674	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.4769	3	-2.89441	0.101514	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.2515	-1.1203	-4.0589
CBLL1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.28883	3	2.89161	0.101682	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.025	0.4854	1.3561
DJ164F3.3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.293267	3	-2.89137	0.101696	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2176	-0.1681	-0.4941
CRSP8	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.977967	3	-2.89058	0.101743	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6622	-0.617567	-1.65413
MGC34821	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.993433	3	-2.88758	0.101923	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.6439	-0.4739	-0.8625
FLJ22955	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.04966	3	2.88711	0.101952	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.822233	1.7615	0.56525
FLJ36878	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.65047	3	2.8859	0.102025	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.2928	1.269	4.3896
SEC15L2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.139317	3	-2.8847	0.102097	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.20715	-0.16495	-0.04585
NIPA2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.407267	3	-2.88451	0.102108	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1792	-0.6655	-0.3771
KIAA1238	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.746378	3	2.8824	0.102236	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.527433	0.4494	1.2623
TNRC4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.05957	3	2.88134	0.1023	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.5534	0.6508	2.9745
LOC123872	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.35273	3	-2.88083	0.102331	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4251	-1.9434	-1.6897
GPRC6A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.5566	3	2.87758	0.102528	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.5361	0.669	1.4647
IL21	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.7478	3	-2.87706	0.10256	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.5995	-2	-4.6439
NARG2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.777533	3	2.87604	0.102621	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.2016	0.275	0.856
DHX32	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.14803	3	-2.87568	0.102643	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.9434	-0.6897	-0.811
RRAGD	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.41559	3	-2.8749	0.102691	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6567	-1.2515	-2.33857
ISL2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.22297	3	-2.87394	0.102749	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.0589	-0.9434	-0.6666
NACA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.15417	3	-2.87389	0.102752	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.737	-0.6666	-3.0589
FLJ10618	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.5105	3	-2.87346	0.102778	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.7859	-0.4941	-2.2515
SGPP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.37182	3	-2.87109	0.102923	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.60345	-0.4531	-2.0589
C9orf37	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.89063	3	2.8697	0.103008	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.757	1.8758	3.0391
CYB5R2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.01707	3	-2.86772	0.103129	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.87575	-0.48575	-1.6897
ZNF239	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.798033	3	-2.86584	0.103244	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3219	-0.7859	-1.2863
C20orf26	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.18258	3	-2.8644	0.103332	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2863	-0.4213	-1.84014
FLJ33167	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.4647	3	2.86427	0.10334	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.24385	0.781	0.36925
CLCN1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.62961	3	-2.86374	0.103373	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-4.3514	-1.21547	-2.32195
DUSP19	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.985217	3	-2.86372	0.103374	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2972	-1.3365	-1.32195
LOC339456	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.0717	3	2.86313	0.10341	0.999418	3	reference arm is CLDN4-overexpressing, not parental	3.4944	1.5898	1.1309
C6orf210	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.20143	3	2.86119	0.103529	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.6229	2.0179	0.9635
CS	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.99025	3	2.85749	0.103757	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.5558	1.67515	0.7398
LTB4DH	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.464533	3	-2.85693	0.103792	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1419	-0.66115	-0.59055
CA1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.33027	3	-2.85539	0.103887	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4344	-2	-1.5564
BA108L7.2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.9386	3	2.85536	0.103889	0.999418	3	reference arm is CLDN4-overexpressing, not parental	4.2578	3.6473	0.9107
NR5A2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.59737	3	-2.85419	0.103961	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.60545	-0.67205	-1.5146
hSyn	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.560333	3	2.85323	0.104021	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8237	0.681	0.1763
SFXN5	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.574783	3	2.85295	0.104038	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3473	0.97655	0.4005
LOC119710	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.79193	3	2.85259	0.10406	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.4168	0.9411	3.0179
HSD17B7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.0645	3	2.85041	0.104195	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.7049	0.4114	1.0772
MAP2K4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.741733	3	-2.85023	0.104206	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2515	-0.3959	-0.5778
NEUROG1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.786	3	2.84706	0.104403	0.999418	3	reference arm is CLDN4-overexpressing, not parental	4.0321	3.4699	0.856
LYPLA3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.0829	3	2.84695	0.10441	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3334	1.5705	1.3448
PEX11B	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.523367	3	-2.84391	0.1046	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3771	-0.304	-0.889
SLC39A9	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.15603	3	-2.8438	0.104607	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3959	-1.7859	-1.2863
FKSG14	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.2634	3	2.8378	0.104982	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.3219	0.4647	2.0036
RASSF5	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.37442	3	-2.83716	0.105022	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.6844	-0.79495	-3.6439
LOC151194	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.389933	3	-2.83614	0.105086	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.578933	-0.122467	-0.4684
VPS4A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.6004	3	2.83515	0.105149	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.89175	0.1885	0.72095
MGC3248	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.5454	3	2.83391	0.105227	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.4854	0.6323	2.5185
GBL	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.05953	3	2.8314	0.105385	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.8074	0.66075	0.71045
NT2RP2000168	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.5444	3	-2.83123	0.105396	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.0589	-2.1203	-0.454
NUP107	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.852017	3	2.83092	0.105416	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.25275	1.1026	1.2007
NESG1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.25263	3	-2.83002	0.105472	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.3219	-1.5995	-3.8365
IGFBP6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.0323	3	-2.8297	0.105492	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.4344	-0.304	-1.3585
C20orf171	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.532	3	2.82921	0.105523	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.6041	0.1763	0.8156
LOC114926	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.81263	3	2.8292	0.105524	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.0635	1.2869	3.0875
GHRHR	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.829931	3	2.82884	0.105547	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.392267	0.7103	1.38722
DKFZP586P0123	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.05581	3	2.82632	0.105706	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.810333	0.567433	1.78965
PDZK11	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.70873	3	2.82593	0.105731	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.8836	2.6576	0.585
ZNF213	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.53372	3	2.82289	0.105924	0.999418	3	reference arm is CLDN4-overexpressing, not parental	4.3082	1.88155	1.4114
COG5	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.65458	3	-2.82278	0.105931	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6451	-1.64315	-2.6755
APOBEC3C	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.923717	3	-2.81989	0.106115	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.0023	-1.4477	-0.32115
R3HDM	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.53313	3	2.81581	0.106375	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.516	1.7049	2.3785
DNCH2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.85025	3	-2.81575	0.106379	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.91493	-1.98515	-0.650667
RPL3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.609767	3	-2.81435	0.106469	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2515	-0.5778	-1
UBP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.72675	3	2.81043	0.10672	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.24365	0.45355	0.48305
KIF12	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.30857	3	2.81001	0.106747	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.6369	1.8992	0.3896
PPP4R1L	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.133	3	-2.80956	0.106775	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4574	-1.8523	-1.0893
FLJ43806	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.34493	3	2.80895	0.106815	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3896	1.8797	1.7655
RIMS1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.350867	3	-2.80833	0.106855	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2863	-0.5922	-0.1741
HCCS	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.964467	3	2.80619	0.106993	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.4114	0.8875	1.5945
CDK7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.0943	3	2.80194	0.107267	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3334	1.3219	1.6276
FLJ34064	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.6773	3	-2.80065	0.107351	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.3589	-0.8365	-2.8365
OR7E35P	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.06773	3	2.80039	0.107368	0.999418	3	reference arm is CLDN4-overexpressing, not parental	3.3923	0.84	1.9709
ENPP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.986717	3	-2.79967	0.107414	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.64245	-0.4349	-0.8828
CMYA5	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.70862	3	-2.79919	0.107445	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.73695	-4.6439	-1.745
XLKD1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.20667	3	2.79904	0.107455	0.999418	3	reference arm is CLDN4-overexpressing, not parental	3.6381	0.9184	2.0635
MGC11242	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.03627	3	-2.79794	0.107526	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-3.4739	-1.1203	-1.5146
REPS1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.534033	3	-2.79392	0.107788	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7131	-0.737	-0.152
PHACTR3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.96465	3	-2.79172	0.107931	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.63825	-0.4941	-0.7616
MGC14161	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.0341	3	2.78391	0.108443	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.541	1.251	0.3103
SUSD2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.23843	3	2.78324	0.108487	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.516	0.3674	1.8319
FLJ90650	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.7471	3	-2.7825	0.108535	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2176	-1.0893	-0.9344
SSPN	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.974967	3	-2.7819	0.108574	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.60545	-0.6439	-1.67555
ZNF18	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.08715	3	2.7815	0.108601	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.30675	1.4383	1.5164
