interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_q1_cohorts	n_q4_cohorts	median_prob_q1	median_prob_q4	delta_median	p	r_rb	sig_p05
SPP1_ITGAV_ITGB5	incoming	SPP1	Secreted Signaling	SPP1	ITGAV_ITGB5	SPP1	ITGAV|ITGB5	other	6	3	9	3	2	0.07950081310504742	0.11124845674468224	0.03174764363963482	0.7142857142857142	0.22222222222222232	False
PVR_TIGIT	outgoing	PVR	Cell-Cell Contact	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	11	13	24	4	4	0.02101870850404545	0.015935386198072377	-0.005083322305973071	0.728126128172033	-0.09090909090909094	False
HLA-DQA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQA1	CD4	HLA-DQA1	CD4	other	11	9	20	3	4	0.0944804810353795	0.054175225180087556	-0.04030525585529194	0.7612079858009609	0.09090909090909083	False
HLA-B_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8A	HLA-B	CD8A	other	23	15	38	4	4	0.6261584640160753	0.6242981490482487	-0.0018603149678266817	0.7652143246222854	-0.060869565217391286	False
CD46_JAG1	incoming	CD46	Cell-Cell Contact	CD46	JAG1	CD46	JAG1	other	12	10	22	4	4	0.025865414284901155	0.0293435715600434	0.003478157275142245	0.7666793603687381	-0.08333333333333337	False
PVR_CD226	outgoing	PVR	Cell-Cell Contact	PVR	CD226	PVR	CD226	barrier|inhibitory	7	4	11	3	3	0.006670782710631253	0.006635042428538233	-3.5740282093019334e-05	0.7878787878787878	-0.1428571428571429	False
HLA-C_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8A	HLA-C	CD8A	other	23	15	38	4	4	0.56031234031394	0.6213403964863249	0.06102805617238494	0.7881016845128016	0.05507246376811592	False
HLA-F_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8A	HLA-F	CD8A	inhibitory	20	14	34	4	4	0.19280283226875228	0.18328381619518863	-0.009519016073563646	0.7929781290670319	-0.05714285714285716	False
HLA-F_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8B	HLA-F	CD8B	inhibitory	17	11	28	4	3	0.12733410506059592	0.14067128319944602	0.013337178138850103	0.8140520316161131	-0.05882352941176472	False
TGFB1_ACVR1_TGFBR1	incoming	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	inhibitory	6	6	12	3	3	0.015376366281364639	0.051180566735710385	0.03580420045434575	0.8181818181818182	0.11111111111111116	False
CD99_CD99	incoming	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	23	22	45	4	4	0.4609327776163176	0.42418754333383124	-0.03674523428248638	0.8292177647189793	-0.03952569169960474	False
CD99_CD99	outgoing	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	23	22	45	4	4	0.4609327776163176	0.42418754333383124	-0.03674523428248638	0.8292177647189793	-0.03952569169960474	False
MDK_NCL	incoming	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	3	7	10	2	2	0.16439376300076378	0.22511178668235646	0.06071802368159268	0.8333333333333333	0.1428571428571428	False
FASL_FAS	incoming	FASLG	Secreted Signaling	FASLG	FAS	FASLG	FAS	attack	5	5	10	3	3	0.007269019368941623	0.00592290236486274	-0.001346117004078883	0.8412698412698413	0.1200000000000001	False
NAMPT_ITGA5_ITGB1	outgoing	VISFATIN	Secreted Signaling	NAMPT	ITGA5_ITGB1	NAMPT	ITGA5|ITGB1	other	4	3	7	3	2	0.11740618419770407	0.07933520885991753	-0.03807097533778654	0.8571428571428571	-0.16666666666666663	False
HLA-A_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8A	HLA-A	CD8A	other	23	15	38	4	4	0.6059462538599665	0.6465616424644293	0.04061538860446279	0.857792968994834	0.037681159420289934	False
COL6A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL6A2	CD44	COL6A2	CD44	other	10	6	16	4	3	0.15472142570080608	0.17593825687002979	0.02121683116922371	0.8748751248751249	0.06666666666666665	False
GZMA_F2RL1	incoming	PARs	Secreted Signaling	GZMA	F2RL1	GZMA	F2RL1	other	3	11	14	2	3	0.050745065652917073	0.04678408492244155	-0.003960980730475523	0.8846153846153846	-0.09090909090909094	False
COL4A3_CD44	outgoing	COLLAGEN	ECM-Receptor	COL4A3	CD44	COL4A3	CD44	other	4	4	8	3	2	0.11792705631357575	0.06474982377520662	-0.05317723253836913	0.8857142857142857	0.125	False
LGALS9_CD44	incoming	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	12	6	18	4	4	0.05405775904018941	0.01821572362626504	-0.035842035413924375	0.8916181857358327	-0.05555555555555558	False
ICAM2_ITGAL_ITGB2	outgoing	ICAM	Cell-Cell Contact	ICAM2	ITGAL_ITGB2	ICAM2	ITGAL|ITGB2	other	6	3	9	3	2	0.08185010448648214	0.015123215713567782	-0.06672688877291436	0.9047619047619047	-0.11111111111111116	False
TNFSF14_LTBR	incoming	LIGHT	Secreted Signaling	TNFSF14	LTBR	TNFSF14	LTBR	other	5	6	11	3	4	0.05556802202900412	0.04092664420628168	-0.014641377822722443	0.9307359307359306	-0.06666666666666665	False
APP_SORL1	outgoing	APP	Cell-Cell Contact	APP	SORL1	APP	SORL1	other	12	12	24	3	3	0.1324606800450024	0.1313531260207847	-0.001107554024217694	0.9309874465595671	-0.02777777777777779	False
COL1A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL1A2	CD44	COL1A2	CD44	other	8	4	12	3	3	0.07632571668977142	0.06309731286265671	-0.01322840382711471	0.9333333333333333	0.0625	False
LAMC1_ITGA1_ITGB1	outgoing	LAMININ	ECM-Receptor	LAMC1	ITGA1_ITGB1	LAMC1	ITGB1|ITGA1	other	8	4	12	4	2	0.04235297736012466	0.046909840828975445	0.004556863468850786	0.9333333333333333	-0.0625	False
LAMA5_CD44	outgoing	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	18	21	39	4	4	0.11940795293161	0.15805344119853282	0.03864548826692282	0.943851795040726	0.015873015873015817	False
MIF_CD74_CD44	incoming	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	19	12	31	3	3	0.33389759003604413	0.34213325402724504	0.008235663991200903	0.9514921825595395	-0.01754385964912286	False
CD8A_CEACAM5	incoming	CEACAM	Cell-Cell Contact	CD8A	CEACAM5	CD8A	CEACAM5	other	6	12	18	4	4	0.1030324861769045	0.08211668052785381	-0.020915805649050684	0.9635854341736694	-0.02777777777777779	False
TNFSF10_TNFRSF10B	incoming	TRAIL	Secreted Signaling	TNFSF10	TNFRSF10A	TNFSF10	TNFRSF10A	attack	13	8	21	4	4	0.008910668546757882	0.008833641179938742	-7.702736681913964e-05	0.9717725686765935	0.019230769230769162	False
HLA-E_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	23	15	38	4	4	0.31844675208263395	0.38527651426651127	0.06682976218387732	1.0	-0.0028985507246376274	False
IL16_CD4	incoming	IL16	Secreted Signaling	IL16	CD4	IL16	CD4	other	5	3	8	2	2	0.008195376946641502	0.07133080760354761	0.0631354306569061	1.0	0.06666666666666665	False
TGFB1_ACVR1B_TGFBR2	incoming	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	inhibitory	10	8	18	3	3	0.014294200263590292	0.06244022238258268	0.04814602211899238	1.0	0.0	False
LAMA3_ITGA1_ITGB1	outgoing	LAMININ	ECM-Receptor	LAMA3	ITGA1_ITGB1	LAMA3	ITGB1|ITGA1	other	7	4	11	4	2	0.07772034709134376	0.03105476764351004	-0.04666557944783372	1.0	0.0	False
COL6A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL6A1	CD44	COL6A1	CD44	other	12	11	23	4	4	0.2104335207703375	0.17449248607143827	-0.03594103469889923	1.0	0.0	False
COL4A5_ITGA1_ITGB1	outgoing	COLLAGEN	ECM-Receptor	COL4A5	ITGA1_ITGB1	COL4A5	ITGB1|ITGA1	other	3	3	6	1	1	0.015555875346914716	0.03872638319705885	0.023170507850144136	1.0	0.11111111111111116	False
HLA-DRB1_CD4	incoming	MHC-II	Cell-Cell Contact	HLA-DRB1	CD4	HLA-DRB1	CD4	other	5	3	8	2	2	0.05847008564878554	0.078143173946131	0.019673088297345466	1.0	0.06666666666666665	False
SPP1_ITGAV_ITGB6	incoming	SPP1	Secreted Signaling	SPP1	ITGAV_ITGB6	SPP1	ITGAV|ITGB6	other	6	3	9	3	2	0.08938702300020454	0.10472172869378182	0.015334705693577283	1.0	0.0	False
TNFSF14_TNFRSF14	incoming	LIGHT	Secreted Signaling	TNFSF14	TNFRSF14	TNFSF14	TNFRSF14	other	3	5	8	3	3	0.010925551582649656	0.025809616692439454	0.014884065109789797	1.0	-0.06666666666666665	False
HLA-DMA_CD4	incoming	MHC-II	Cell-Cell Contact	HLA-DMA	CD4	HLA-DMA	CD4	other	5	3	8	2	2	0.0025458324774471817	0.010942819645484487	0.008396987168037304	1.0	0.06666666666666665	False
LPAR1_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	LPAR1	ADGRE5	LPAR1	ADGRE5	other	6	5	11	3	3	0.013725232821598963	0.013783692316007524	5.8459494408561255e-05	1.0	0.0	False
