library	tissue	treatment	ligand	receptor	note	n_cells	n_myeloid	n_TNK	pct_ligand	pct_receptor	pct_product	mean_ligand_log1p_cp10k	mean_receptor_log1p_cp10k	pct_receptor_myeloid	pct_receptor_TNK	mean_receptor_myeloid
PB isotype	PB	isotype	CLDN4	LILRB5	paper CLDN–LILRB5	2916	9	2777	0.034293552812071325	0.0	0.0	0.00035551399923861027	0.0	0.0	0.0	0.0
PB isotype	PB	isotype	CLDN1	LILRB2	other claudin–LILRB2	2916	9	2777	0.0	0.17146776406035666	0.0	0.0	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	CLDN3	LILRB2	other claudin–LILRB2	2916	9	2777	0.034293552812071325	0.17146776406035666	5.880238822371627e-05	0.0004972185706719756	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	CLDN7	LILRB2	other claudin–LILRB2	2916	9	2777	0.034293552812071325	0.17146776406035666	5.880238822371627e-05	0.0004625752626452595	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	CLDN18	LILRB2	paper CLDN18.2–LILRB2	2916	9	2777	0.0	0.17146776406035666	0.0	0.0	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	CLDN18	LILRB5	paper CLDN18–LILRB5	2916	9	2777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PB isotype	PB	isotype	HLA-A	LILRB1	classical MHC-I–LILRB1	2916	9	2777	98.52537722908093	0.6172839506172839	0.6081813409202526	3.3289201259613037	0.008832119405269623	0.0	0.036010082823190494	0.0
PB isotype	PB	isotype	HLA-B	LILRB1	classical MHC-I–LILRB1	2916	9	2777	98.83401920438958	0.6172839506172839	0.6100865382987011	3.523071050643921	0.008832119405269623	0.0	0.036010082823190494	0.0
PB isotype	PB	isotype	HLA-C	LILRB1	classical MHC-I–LILRB1	2916	9	2777	91.8724279835391	0.6172839506172839	0.5671137529848093	2.219965696334839	0.008832119405269623	0.0	0.036010082823190494	0.0
PB isotype	PB	isotype	HLA-A	LILRB2	classical MHC-I–LILRB2	2916	9	2777	98.52537722908093	0.17146776406035666	0.16893926136673684	3.3289201259613037	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	HLA-B	LILRB2	classical MHC-I–LILRB2	2916	9	2777	98.83401920438958	0.17146776406035666	0.1694684828607503	3.523071050643921	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	HLA-C	LILRB2	classical MHC-I–LILRB2	2916	9	2777	91.8724279835391	0.17146776406035666	0.1575315980513359	2.219965696334839	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	HLA-G	LILRB1	nonclassical MHC-I–LILRB1	2916	9	2777	0.5486968449931412	0.6172839506172839	0.0033870175616860566	0.006706960499286652	0.008832119405269623	0.0	0.036010082823190494	0.0
PB isotype	PB	isotype	HLA-G	LILRB2	nonclassical MHC-I–LILRB2	2916	9	2777	0.5486968449931412	0.17146776406035666	0.0009408382115794603	0.006706960499286652	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	HLA-E	LILRB1	HLA-E–LILRB1	2916	9	2777	93.72427983539094	0.6172839506172839	0.5785449372554996	2.373783826828003	0.008832119405269623	0.0	0.036010082823190494	0.0
PB isotype	PB	isotype	HLA-E	LILRB2	HLA-E–LILRB2	2916	9	2777	93.72427983539094	0.17146776406035666	0.16070692701541656	2.373783826828003	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	HLA-F	LILRB1	HLA-F–LILRB1	2916	9	2777	43.484224965706446	0.6172839506172839	0.26842114176362003	0.6742599606513977	0.008832119405269623	0.0	0.036010082823190494	0.0
PB isotype	PB	isotype	HLA-F	LILRB2	HLA-F–LILRB2	2916	9	2777	43.484224965706446	0.17146776406035666	0.07456142826767223	0.6742599606513977	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	ANGPTL2	LILRB2	known LILRB2 ligand	2916	9	2777	0.0	0.17146776406035666	0.0	0.0	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
PB isotype	PB	isotype	CD274	PDCD1	PD-L1–PD-1	2916	9	2777	1.3031550068587106	12.860082304526749	0.16758680643759138	0.01657893694937229	0.18119104206562042	0.0	13.17969031328772	0.0
PB isotype	PB	isotype	CD47	SIRPA	don't-eat-me	2916	9	2777	64.57475994513031	0.034293552812071325	0.022144979405051543	1.0934550762176514	0.00022771782823838294	11.11111111111111	0.0	0.07378057390451431
PB isotype	PB	isotype	HLA-E	KLRC1	NKG2A	2916	9	2777	93.72427983539094	1.5432098765432098	1.4463623431387491	2.373783826828003	0.031144825741648674	0.0	1.5124234785740007	0.0
PB isotype	PB	isotype	LGALS9	HAVCR2	galectin-9–TIM3	2916	9	2777	27.674897119341562	1.646090534979424	0.45555386204677467	0.38699907064437866	0.02570480853319168	11.11111111111111	1.4404033129276197	0.11773237586021423
PB isotype	PB	isotype	NECTIN2	TIGIT	nectin–TIGIT	2916	9	2777	0.17146776406035666	15.534979423868311	0.02663748186534347	0.0023781622294336557	0.26671072840690613	0.0	16.06049693914296	0.0
PB isotype	PB	isotype	PVR	TIGIT	PVR–TIGIT	2916	9	2777	0.17146776406035666	15.534979423868311	0.02663748186534347	0.002011042321100831	0.26671072840690613	0.0	16.06049693914296	0.0
