from	to
COL8A2	DDR1
COL8A2	ITGA1
COL8A2	ITGB1
COL8A2	ITGA2
COL8A2	ITGA10
COL8A2	ITGA11
COL9A1	MAG
COL9A1	ITGA1
COL9A1	ITGB1
COL9A1	ITGA2
COL9A1	ITGA10
COL9A1	ITGA11
COL9A2	MAG
COL9A2	ITGA1
COL9A2	ITGB1
COL9A2	ITGA2
COL9A2	ITGA10
COL9A2	ITGA11
COL9A3	MAG
COL9A3	ITGA1
COL9A3	ITGB1
COL9A3	ITGA2
COL9A3	ITGA10
COL9A3	ITGA11
COLQ	MUSK
COMP	ITGA2B
COMP	ITGAV
COMP	SDC1
COMP	ITGB1
COMP	ITGB3
COMP	CD36
COMP	CD47
COMP	ITGA5
COMP	ITGA7
COMP	ITGA3
COPA	NTSR2
COPA	CD74
COPA	MTNR1B
COPA	SORT1
COPA	P2RY6
COPA	NTRK1
CORIN	KIRREL1
CORIN	LRRC4C
CORT	MRGPRX3
CORT	MRGPRX4
CORT	SSTR1
CORT	SSTR2
CORT	SSTR3
CORT	SSTR4
CORT	SSTR5
CORT	GHSR
CORT	MRGPRX2
CP	SMO
CP	SLC40A1
CPAMD8	SCTR
CRB3	LIN7C
CRB3	PATJ
CRH	LINC02210-CRHR1
CRH	MC2R
CRH	CRHR1
CRH	CRHR2
CRHR2	GNAS
CRISP2	CATSPER1
CRISP3	A1BG
CRLF1	IL6ST
CRLF1	CNTFR
CRLF1	LIFR
CRLF1	SORL1
CRP	OLR1
CRP	CR1
CRTAM	DSC3
CRTAM	NTRK3
CRTAM	CADM1
CRTAM	MUC15
CRTAM	ILDR2
CSF1	CSF1R
CSF1	CSF2RA
CSF1	CSF3R
CSF1	SIRPA
CSF2	CSF1R
CSF2	CSF2RA
CSF2	CSF3R
CSF2	CSF2RB
CSF2	IL3RA
CSF2	SDC2
CSF3	CSF1R
CSF3	CSF3R
CSF3	CSF2RA
CSH1	GHR
CSH1	PRLR
CSH2	GHR
CSH2	PRLR
CSHL1	PRLR
CSHL1	GHR
CTF1	IL6ST
CTF1	LIFR
CTHRC1	FZD5
CTHRC1	FZD6
CTHRC1	FZD3
CTHRC1	ROR2
CTSD	APP
CTSG	F2R
CTSG	F2RL1
CTSG	F2RL2
CX3CL1	CX3CR1
CX3CL1	ITGAV
CX3CL1	ITGB3
CX3CL1	ITGA4
CX3CL1	ITGB1
CXADR	KLRA1P
CXADR	JAML
CXCL1	CXCR2
CXCL1	ACKR1
CXCL1	CXCR1
CXCL10	CXCR3
CXCL10	CCR3
CXCL10	DPP4
CXCL10	SDC4
CXCL10	ACKR1
CXCL11	CXCR3
CXCL11	ACKR3
CXCL11	CCR3
CXCL11	CCR5
CXCL11	DPP4
CXCL11	ACKR1
CXCL12	ACKR3
CXCL12	CXCR3
CXCL12	CXCR4
CXCL12	ITGB1
CXCL12	CD4
CXCL12	DPP4
CXCL13	CXCR5
CXCL13	CXCR3
CXCL13	ACKR4
CXCL13	CCR10
CXCL13	ACKR1
CXCL14	CXCR4
CXCL16	CXCR6
CXCL16	GRM7
CXCL16	MTNR1A
CXCL16	ADRA2A
CXCL17	GPR35
CXCL2	CXCR2
CXCL2	ACKR1
CXCL2	CXCR1
CXCL2	XCR1
CXCL2	DPP4
CXCL3	CXCR2
CXCL3	MTNR1A
CXCL3	GRM7
CXCL3	ADRA2A
CXCL3	CXCR1
CXCL3	ACKR1
CXCL5	CXCR2
CXCL5	MTNR1A
CXCL5	ACKR1
CXCL5	GRM7
CXCL5	ADRA2A
CXCL5	CXCR1
CXCL6	CXCR1
CXCL6	CXCR2
CXCL6	ACKR1
CXCL8	CXCR1
CXCL8	CXCR2
CXCL8	ACKR1
CXCL8	SDC1
CXCL8	SDC2
CXCL9	CXCR3
CXCL9	CCR3
CXCL9	DPP4
CXCL9	ACKR1
CYTL1	CCR2
DBH	ADRA2C
DBH	ADRB2
DBH	ADRB3
DBH	ADRA1A
DBH	ADRA1B
DBH	ADRA1D
DBH	ADRA2A
DBH	ADRA2B
DBH	ADRB1
DBH	GPR161
DCHS1	FAT4
DCN	EGFR
DCN	MET
DCN	ERBB4
DCN	TLR2
DCN	TLR4
DCN	LRP1
DCN	IGF1R
DCN	KDR
DEFB1	CCR6
DEFB103B	CCR6
DEFB103B	CCR2
DEFB106B	CCR2
DEFB4A	CCR6
DEFB4A	TLR4
DEFB4B	CCR6
DHH	PTCH2
DHH	HHIP
DHH	PTCH1
DHH	BOC
DHH	CDON
DKK1	LRP6
DKK1	LRP5
DKK1	KREMEN2
DKK1	KREMEN1
DKK2	KREMEN2
DKK2	LRP6
DKK2	KREMEN1
DKK2	LRP5
DKK3	KREMEN1
DKK4	LRP6
DKK4	LRP5
DKK4	KREMEN1
DKK4	KREMEN2
DLK1	ACVR2B
DLK1	ERBB4
DLK1	NOTCH1
DLK1	NOTCH2
DLK1	NOTCH3
DLK1	NOTCH4
DLK2	NOTCH1
DLL1	MUSK
DLL1	NOTCH1
DLL1	NOTCH2
DLL1	NOTCH3
DLL1	NOTCH4
DLL3	NOTCH1
DLL3	NOTCH2
DLL3	NOTCH3
DLL3	NOTCH4
DLL4	NOTCH4
DLL4	NOTCH1
DLL4	NOTCH2
DLL4	NOTCH3
DMP1	ITGB3
DMP1	ITGAV
DRAXIN	DCC
DSC1	DSG2
DSC1	DSG3
DSC1	DSG1
DSC1	DSG4
DSC2	DSG1
DSC2	DSG2
DSC2	DSG3
DSC2	DSG4
DSC3	DSG3
DSC3	DSG1
DSC3	DSG2
DSC3	DSG4
DSCAM	DSCAM
DSCAM	DCC
DSCAM	PTPRK
DSCAM	PTPRT
DSCAM	NOTCH3
DSCAM	PTPRM
DSCAML1	AQP9
DSCAML1	PTPRK
DSCAML1	PTPRT
DSCAML1	PTPRM
DSG1	DSC3
DSG1	FLT4
DSG2	DSC1
DSG2	DSC3
DSPP	ITGB1
DSPP	ITGB6
DSPP	ITGAV
DUSP18	CD151
DUSP18	ITGA1
DUSP18	ITGA2
DUSP18	ITGA3
DUSP18	ITGA6
DUSP18	ITGA7
DUSP18	ITGB1
DUSP18	ITGB4
DUSP18	RPSA
DUSP18	RPSAP58
EBI3	IL6ST
EBI3	IL27RA
ECM1	ITGB4
ECM1	CACHD1
EDA	EDAR
EDA	EDA2R
EDA	IL1RL1
EDIL3	ITGAV
EDIL3	ITGB5
EDIL3	ITGB3
EDIL3	ITGA5
EDIL3	ITGB1
EDN1	EDNRA
EDN1	EDNRB
EDN1	ADGRL4
EDN1	ECE1
EDN1	EGFR
EDN2	EDNRA
EDN2	EDNRB
EDN3	EDNRB
EDN3	EDNRA
EFEMP1	EGFR
EFEMP2	AQP1
EFEMP2	PLSCR4
EFEMP2	CATSPER1
EFEMP2	LINGO1
EFNA1	EPHA1
EFNA1	EPHA6
EFNA1	EPHA8
EFNA1	EPHA4
EFNA1	EPHA2
EFNA1	EPHA3
EFNA1	EPHA5
EFNA1	EPHA7
EFNA1	EPHB1
EFNA2	EPHA2
EFNA2	EPHA6
EFNA2	EPHA7
EFNA2	EPHA8
EFNA2	EPHA5
EFNA2	EPHA4
EFNA2	EPHA10
EFNA2	EPHA3
EFNA2	EPHA1
EFNA3	EPHA6
EFNA3	EPHA3
EFNA3	EPHA7
EFNA3	EPHA8
EFNA3	EPHA5
EFNA3	EPHA2
EFNA3	EPHA4
EFNA3	EPHA10
EFNA3	EPHB1
EFNA3	EPHA1
EFNA4	EPHA6
EFNA4	EPHA4
EFNA4	EPHA7
EFNA4	EPHA8
EFNA4	EPHA2
EFNA4	EPHA3
EFNA4	EPHA5
EFNA4	EPHA1
EFNA4	EPHA10
EFNA5	EPHA5
EFNA5	EPHA6
EFNA5	EPHA7
EFNA5	EPHA4
EFNA5	EPHA3
EFNA5	EPHA8
EFNA5	EPHA2
EFNA5	EPHB6
EFNA5	EPHB1
EFNA5	EPHB2
EFNA5	EPHA1
EFNB1	EPHA3
EFNB1	NAALAD2
EFNB1	TRHDE
EFNB1	ITLN1
EFNB1	SLAMF9
EFNB1	EVC2
EFNB1	DSG4
EFNB1	FAM187B
EFNB1	DAG1
EFNB1	LVRN
EFNB1	EPHB1
EFNB1	EPHB2
EFNB1	EPHB3
EFNB1	EPHB4
EFNB1	EPHB6
EFNB1	ERBB2
EFNB1	EPHA4
EFNB2	EPHA8
EFNB2	KIR2DS3
EFNB2	TCTN2
EFNB2	FCRL1
EFNB2	C19orf38
EFNB2	EPHA10
EFNB2	KLRA1P
EFNB2	EPHB4
EFNB2	EPHB2
EFNB2	EPHB1
EFNB2	EPHB3
EFNB2	EPHA3
EFNB2	EPHB6
EFNB2	PECAM1
EFNB2	RHBDL2
EFNB2	GRM5
EFNB2	EPHA4
EFNB2	EPHA6
EFNB2	GRM1
EFNB3	EPHA3
EFNB3	C19orf38
EFNB3	EPHA10
EFNB3	EPHB3
EFNB3	EPHA4
EFNB3	EPHB6
EFNB3	EPHB4
EFNB3	RHBDL2
EFNB3	EPHB1
EFNB3	EPHB2
EGF	TNFRSF11B
EGF	EGFR
EGF	ERBB2
EGF	ERBB3
EGF	ERBB4
EGFL8	NCR3
ELFN1	FLT1
EMC1	PRLR
ENAM	CD63
ENG	CDH5
ENG	ITGAV
ENG	ACVRL1
ENG	BMPR2
ENG	ACVR2A
ENHO	GPR19
ENPP1	INSR
ENTPD1	ADORA1
ENTPD1	ADORA2A
ENTPD1	ADORA2B
ENTPD1	TMIGD3
EPCAM	CLDN7
EPCAM	CLDN1
EPGN	IGSF11
EPGN	EGFR
EPGN	ERBB4
EPHA4	FGFR3
EPHA4	FGFR2
EPHA4	FGFR4
EPHA4	FGFR1
EPO	EPOR
EPO	EPHB4
EREG	EGFR
EREG	ERBB4
EREG	ERBB3
EREG	ERBB2
ERFE	LRP1
ESAM	ESAM
ESAM	ROBO3
ESM1	ITGAL
ESM1	ITGB2
EXOC3-AS1	TRAF2
EZR	SLC9A1
F10	F7
F10	ITGAM
F10	ITGB2
F10	F3
F11	F9
F11	GP1BA
F11	GP5
F11	GP1BB
F11	GP9
F11R	F11R
F11R	JAM3
F11R	ROBO3
F11R	JAM2
F11R	ULBP3
F11R	ITGAL
F11R	ITGB2
F12	F11
F12	KLKB1
F12	GP1BA
F12	CD93
F12	GP5
F12	GP1BB
F12	GP9
F13A1	ITGA4
F13A1	ITGB1
F13A1	ITGA9
F2	F2RL2
F2	F8
F2	F5
F2	F2R
F2	F2RL1
F2	F2RL3
F2	THBD
F2	GP1BA
F2	ITGA2B
F2	GP9
F5	PROC
F7	F9
F7	F10
F7	F3
F8	LDLR
F8	LRP1
F8	ASGR2
F8	LRP4
F8	LRP2
F8	F10
F9	F7
F9	LRP1
FAM200A	CTLA4
FAM3B	LRP5
FAM3C	GLRA2
FAM3C	LAMP1
FAM3C	LIFR
FAM3C	FFAR2
FAM3C	CLEC2D
FAM3C	KIR2DL3
FAM3C	GPR42
FAM3C	ADGRG5
FAM3C	PDCD1
FAM3D	FPR1
FAM3D	FPR2
FAP	NPR2
FAP	DPP4
FASLG	FAS
FASLG	TNFRSF6B
FAT4	DCHS1
FBLN1	ITGB1
FBLN2	ITGB3
FBN1	ITGB3
FBN1	ITGB1
FBN1	ITGAV
FBN1	ITGB6
FBN1	ITGA5
FCAR	VSIG8
FCAR	TNFRSF14
FCAR	SIGLEC14
FCAR	CD33
FCAR	SIGLEC10
FCAR	SIGLEC6
FCER2	CR2
FCER2	ITGB2
FCER2	ITGAM
FCER2	ITGAX
FCER2	ITGAV
FCER2	ITGB3
FCGR3B	EDA2R
FCN1	LRP1
FCN2	LRP1
FCRL6	NRP2
FGA	ITGB1
FGA	ITGAX
FGA	ITGAM
FGA	ITGB3
FGA	CDH5
FGA	ITGB2
FGA	TLR4
FGA	ITGAV
FGA	ITGA2B
FGA	ITGA5
FGA	PLAT
FGB	ITGAM
FGB	ITGB1
FGB	ITGB3
FGB	ITGB2
FGB	TLR4
FGB	ITGAV
FGB	ITGA2B
FGB	ITGA5
FGB	CDH5
FGF1	FGFR1
FGF1	FGFR2
FGF1	FGFR4
FGF1	FGFR3
FGF1	NRP1
FGF10	FGFR3
FGF10	FGFR4
FGF10	FGFR2
FGF10	FGFRL1
FGF10	FGFR1
FGF11	SCN1A
FGF11	SCN4A
FGF11	SCN5A
FGF11	SCN9A
FGF11	SCN2A
FGF11	SCN3A
FGF11	SCN11A
FGF11	SCN8A
FGF11	SCN10A
FGF11	FGFR2
FGF11	FGFR1
FGF11	FGFR3
FGF11	FGFR4
FGF12	SCN1A
FGF12	SCN4A
FGF12	SCN5A
FGF12	SCN9A
FGF12	SCN2A
FGF12	SCN3A
FGF12	SCN11A
FGF12	SCN8A
FGF12	SCN10A
FGF12	FGFR4
FGF12	FGFR3
FGF12	FGFR1
FGF12	FGFR2
FGF13	SCN1A
FGF13	SCN4A
FGF13	SCN5A
FGF13	SCN9A
FGF13	SCN2A
FGF13	SCN3A
FGF13	SCN11A
FGF13	SCN8A
FGF13	SCN10A
FGF13	FGFR1
FGF13	FGFR2
FGF13	FGFR3
FGF13	EGFR
FGF13	FGFR4
FGF14	SCN1A
FGF14	SCN4A
FGF14	SCN5A
FGF14	SCN9A
FGF14	SCN2A
FGF14	SCN3A
FGF14	SCN11A
FGF14	SCN8A
FGF14	SCN10A
FGF14	FGFR2
FGF14	FGFR1
FGF14	FGFR4
FGF14	FGFR3
FGF16	FGFR2
FGF16	FGFR4
FGF16	FGFR3
FGF16	FGFR1
FGF17	FGFR2
FGF17	FGFR1
FGF17	FGFR4
FGF17	FGFR3
FGF18	FGFR2
FGF18	FGFR4
FGF18	FGFR1
FGF18	FGFR3
FGF19	FGFR4
FGF19	FGFR2
FGF19	FGFR1
FGF19	FGFR3
FGF19	KLB
FGF2	FGFR2
FGF2	FGFR4
FGF2	FGFR3
FGF2	SDC1
FGF2	FGFR1
FGF2	CD44
FGF2	SDC3
FGF2	SDC4
FGF2	GPC4
FGF2	SDC2
FGF2	FGFRL1
FGF2	NRP1
FGF20	FGFR2
FGF20	FGFR4
FGF20	FGFR1
FGF20	FGFR3
FGF21	KLB
FGF21	FGFR4
FGF21	FGFR3
FGF21	FGFR1
FGF21	FGFR2
FGF22	FGFR2
FGF22	FGFR1
FGF22	FGFRL1
FGF23	FGFR2
FGF23	FGFR4
FGF23	FGFR1
FGF23	FGFR3
FGF3	FGFR2
FGF3	FGFR1
FGF3	FGFR3
FGF3	FGFR4
FGF3	FGFRL1
FGF4	FGFR2
FGF4	FGFR4
FGF4	FGFR1
FGF4	FGFR3
FGF4	NRP1
FGF5	FGFR1
FGF5	FGFR2
FGF5	FGFR3
FGF5	FGFR4
FGF6	FGFR2
FGF6	FGFR4
FGF6	SDC4
FGF6	FGFR1
FGF6	FGFR3
FGF7	FGFR2
FGF7	FGFR4
FGF7	FGFR1
FGF7	FGFR3
FGF7	NRP1
FGF8	FGFR2
FGF8	FGFRL1
FGF8	FGFR1
FGF8	FGFR3
FGF8	FGFR4
FGF9	FGFR3
FGF9	FGFR2
FGF9	FGFR1
FGF9	FGFR4
FGFRL1	GPC4
FGFRL1	NRXN3
FGFRL1	NRXN2
FGFRL1	GP6
FGFRL1	PLVAP
FGFRL1	FGFR1
FGG	ITGB1
FGG	ITGB3
FGG	ITGB2
FGG	TLR4
FGG	ITGAV
FGG	ITGA2B
FGG	ITGA5
FGL1	LAG3
FGL1	EGFR
FLRT1	UNC5C
FLRT1	UNC5D
FLRT1	UNC5A
FLRT1	UNC5B
FLRT2	FLT4
FLRT2	UNC5C
FLRT2	UNC5D
FLRT2	UNC5A
FLRT2	UNC5B
FLRT3	UNC5C
FLRT3	UNC5A
FLRT3	UNC5D
FLRT3	UNC5B
FLT3LG	FLT3
FN1	ITGA2
FN1	ITGA2B
FN1	ITGA3
FN1	ITGB8
FN1	SDC1
FN1	ITGB1
FN1	ITGAV
FN1	ITGA4
FN1	ITGB3
FN1	ITGA8
FN1	CD44
FN1	COL13A1
FN1	TSHR
FN1	MAG
FN1	NT5E
FN1	ITGA9
FN1	ITGB6
FN1	ITGA5
FN1	TNFRSF11B
FN1	SDC2
FN1	PLAUR
FN1	ITGB7
FNDC5	ITGAV
FNDC5	ITGB5
FSHB	FSHR
FSHB	ADCYAP1R1
FSHB	TSHR
FSHB	GPR84
FSHB	RAMP3
FSHB	RAMP2
FSHB	ADRB2
FSHB	PTH1R
FSHB	VIPR1
FSHB	ADRB3
FSHB	GPR20
FST	HJV
FST	BMPR2
FST	BMPR1B
FSTL5	CEACAM19
FSTL5	LILRB2
FSTL5	CHL1
FSTL5	SDK2
FSTL5	GP6
FSTL5	SIGLEC6
FSTL5	CD86
FSTL5	CNTN5
FSTL5	LILRA1
FSTL5	IL6R
FURIN	INSR
FURIN	NOTCH1
FURIN	LRP1
FURIN	DSG3
FURIN	ADAM19
FURIN	ADAMTS1
FURIN	BACE1
FURIN	SORCS1
GAD1	GRM4
GAL	GALR1
GAL	GALR2
GAL	GALR3
GAL	GPR151
GALP	GALR2
GALP	GALR3
GALP	GALR1
GAS6	AXL
GAS6	MERTK
GAS6	TYRO3
GAST	CCKAR
GAST	CCKBR
GC	LRP2
GCG	GLP1R
GCG	GLP2R
GCG	GCGR
GCG	DPP4
GCG	GIPR
GDF1	BMPR1A
GDF1	BMPR2
GDF1	ACVR1
GDF1	ACVR1B
GDF1	ACVR2B
GDF1	ACVR1C
GDF1	ACVR2A
GDF1	CFC1
GDF10	BMPR2
GDF10	ACVR1B
GDF10	ACVR2B
GDF10	ACVR2A
GDF11	ACVR2B
GDF11	ACVR1B
GDF11	BMPR2
GDF11	BMPR1A
GDF11	BMPR1B
GDF11	ACVR1C
GDF11	ACVR2A
GDF11	TGFBR1
GDF15	GFRAL
GDF15	ERBB2
GDF15	RET
GDF2	ACVR1
GDF2	ACVR2B
GDF2	ENG
GDF2	ACVR2A
GDF2	ACVRL1
GDF2	BMPR2
GDF3	TDGF1
GDF3	ACVR1B
GDF3	ACVR2A
GDF3	ACVR1C
GDF3	ACVR2B
GDF3	CFC1
GDF5	BMPR2
GDF5	ACVR2B
GDF5	BMPR1B
GDF5	ROR2
GDF5	ACVR1
GDF5	BMPR1A
GDF5	ACVR2A
GDF6	BMPR2
GDF6	BMPR1A
GDF6	ACVR2A
GDF6	ACVR2B
GDF6	BMPR1B
GDF7	ACVR2A
GDF7	BMPR1B
GDF7	ACVR2B
GDF7	BMPR2
GDF7	BMPR1A
GDF9	BMPR1B
GDF9	ACVR2A
GDF9	BMPR1A
GDF9	TGFBR1
GDF9	BMPR2
GDF9	FXYD6
GDF9	ORAI2
GDF9	ACVR1B
GDNF	RET
GDNF	GFRA2
GDNF	NCAM1
GDNF	GFRA1
GGT1	CD81
GGT1	CD82
GGT1	CD53
GH1	PRLR
GH1	GHR
GH2	PRLR
GH2	GHR
GHRH	GHRHR
GHRH	VIPR1
GHRH	ADCYAP1R1
GHRH	GPR20
GHRH	TSHR
GHRH	GPR84
GHRH	RAMP3
GHRH	RAMP2
GHRH	ADRB2
GHRH	PTH1R
GHRH	ADRB3
GHRH	VIPR2
GHRH	GHSR
GHRH	DPP4
GHRL	GHSR
GHRL	PTGER3
GHRL	TBXA2R
GHRL	MLNR
GHRL	GHRHR
GHRL	GPR39
GIP	GIPR
GIP	DPP4
GJB2	GJB6
GJB6	GJB2
GLG1	SELE
GLG1	MOG
GLG1	UNC5B
GNAS	ADCY1
GNAS	ADCY5
GNAS	ADCY2
GNAS	ADRB2
GNAS	ADRB3
GNAS	AVPR2
GNAS	PTGIR
GNAS	HTR6
GNAS	PTGDR
GNAS	CRHR1
GNAS	GCGR
GNAS	TSHR
GNAS	ADCY8
GNAS	ADCY9
GNAS	LHCGR
GNAS	VIPR1
GNAS	ADORA1
GNAS	ADCY6
GNRH1	CAMK2A
GNRH1	GNRHR
GNRH2	GNRHR
GNRH2	GNRHR2
GP1BA	SELP
GP1BA	ITGAM
GP1BA	ITGB2
GP5	ITGB2
GP5	LAYN
GP5	ITGAM
GP5	SELP
GPC3	DPP4
GPC3	LRP1
GPC3	CD81
GPC3	LRP2
GPC3	IGF1R
GPC3	FGFR4
GPC3	UNC5D
GPC3	FLT1
GPC3	UNC5C
GPC3	VSIG10L
GPC3	TNFRSF11B
GPC6	FGFR4
GPC6	TNFRSF11B
GPC6	PTCH1
GPC6	FGFRL1
GPC6	LRP1
GPC6	LRP2
GPHA2	TSHR
GPHA2	EPHA6
GPHB5	TSHR
GPI	AMFR
GREM1	KDR
GRN	TNFRSF1A
GRN	EGFR
GRN	SORT1
GRN	TNFRSF1B
GRN	CLEC4M
GRP	GRPR
GRP	BRS3
GRP	NMBR
GRP	FAP
GSTP1	TRAF2
GUCA2A	GUCY2C
GUCA2B	GUCY2C
GUCA2B	GUCY2D
GUCY2D	NECTIN3
GUCY2D	NECTIN4
GZMB	IGF2R
GZMB	CHRM3
GZMB	MCL1
HAPLN1	MPIG6B
HAPLN1	PRTG
HAPLN1	IGDCC4
HAPLN1	IL1RL1
HAPLN1	ADGRA2
HAPLN1	AGER
HAPLN1	TREML2
HAPLN1	TNFRSF11B
HAS1	CD44
HAS2	HMMR
HAS2	CD44
HAS2	ERBB2
HAS2	EZR
HAVCR1	TIMD4
HAVCR1	CD300LB
HAVCR1	BTN3A3
HAVCR1	SIGLEC1
HAVCR1	IGSF21
HBEGF	MOG
HBEGF	CD6
HBEGF	EGFR
HBEGF	ERBB4
HBEGF	CD44
HBEGF	CD9
HBEGF	ERBB2
HBEGF	CD82
HCRT	HCRTR1
HCRT	HCRTR2
HCRT	NPFFR2
HDC	HRH1
HDC	HRH2
HDC	HRH3
HDC	HRH4
HEBP1	FPR2
HEBP1	FPR3
HGF	MET
HGF	CD44
HGF	SDC1
HGF	SDC2
HGF	ST14
HHIPL2	CACHD1
HHLA2	KIR3DL3
HHLA2	TMIGD2
HHLA2	VSTM2B
HHLA2	VSIG8
HJV	NEO1
HLA-A	LILRB1
HLA-A	KIR3DL2
HLA-A	APLP2
HLA-A	ERBB2
HLA-A	KIR3DL1
HLA-A	LILRB2
HLA-A	CD8A
HLA-A	KLRD1
HLA-B	LILRB1
HLA-B	KIR3DL1
HLA-B	KIR3DL2
HLA-B	KIR2DL3
HLA-B	KLRD1
HLA-B	LILRB2
HLA-B	CD8A
HLA-C	LILRB1
HLA-C	KIR2DL1
HLA-C	KIR2DL2
HLA-C	KIR2DL3
HLA-C	LILRB2
HLA-C	KIR2DS1
HLA-C	KIR2DS4
HLA-C	LILRA3
HLA-DMA	CD74
HLA-DMA	CD4
HLA-DMB	CD74
HLA-DMB	CD4
HLA-DOA	CD4
HLA-DOB	CD4
HLA-DPB1	LAG3
HLA-DPB1	CD4
HLA-DQA1	LAG3
HLA-DQA1	CD4
HLA-DQA2	LAG3
HLA-DQA2	CD4
HLA-DQB1	LAG3
HLA-DQB1	CD4
HLA-DQB2	LAG3
HLA-DRA	CD4
HLA-DRA	LAG3
HLA-DRA	CD82
HLA-DRA	CD19
HLA-DRA	CD53
HLA-DRA	CD9
HLA-DRA	CD63
HLA-DRA	CR2
HLA-DRA	CD37
HLA-DRA	CD81
HLA-DRB1	LAG3
HLA-DRB1	CR2
HLA-DRB1	CD82
HLA-DRB1	CD81
HLA-DRB1	CD19
HLA-DRB1	CD37
HLA-DRB1	CD53
HLA-DRB3	LAG3
HLA-DRB3	CD4
HLA-DRB4	LAG3
HLA-DRB4	CD4
HLA-DRB5	LAG3
HLA-DRB5	CD4
HLA-E	CD8A
HLA-E	KLRC2
HLA-E	KLRD1
HLA-E	KLRK1
HLA-E	KLRC1
HLA-E	KLRC3
HLA-F	CD8A
HLA-F	LILRB1
HLA-F	KIR3DL1
HLA-F	KIR3DL2
HLA-F	KIR3DS1
HLA-F	LILRB2
HLA-F	KIR2DS4
HLA-G	KIR2DL4
HLA-G	LILRB1
HLA-G	KLRC1
HLA-G	LILRB2
HLA-G	KLRD1
HLA-G	KIR3DL1
HLA-G	CD8A
HMGB1	TLR4
HMGB1	AGER
HMGB1	HAVCR2
HMGB1	SDC1
HMGB1	TLR9
HMGB1	THBD
HMGB1	CXCR4
HMGB1	CD163
HMGB1	TLR2
HP	APOA1
HP	ITGAM
HP	ITGB2
HP	TLR4
HP	CD163
HP	CD22
HP	ASGR1
HP	ASGR2
HPX	LRP1
HRG	ERBB2
HRG	FCGR1A
HRG	ERBB3
HSP90B1	LRP1
HSPG2	DAG1
HSPG2	PTPRS
HSPG2	SDC1
HSPG2	ITGB1
HSPG2	COL13A1
HSPG2	FGFR1
HSPG2	LRP1
HSPG2	LRP2
HSPG2	ITGA2
IAPP	CALCR
IAPP	RAMP1
IAPP	RAMP2
IAPP	RAMP3
IBSP	ITGB3
IBSP	ITGAV
IBSP	ITGB5
ICAM1	ITGAX
ICAM1	ITGAM
ICAM1	ITGAL
ICAM1	EGFR
ICAM1	IL2RA
ICAM1	ITGB2
ICAM1	SPN
ICAM1	IL2RG
ICAM1	EZR
ICAM1	MSN
ICAM1	CDH5
ICAM2	ITGAM
ICAM2	ITGAL
ICAM2	ITGB2
ICAM3	CD209
ICAM3	ITGAL
ICAM3	ITGB2
ICAM3	CLEC4M
ICAM3	ITGAD
ICAM4	ITGAM
ICAM4	ITGAL
ICAM4	ITGA4
ICAM4	ITGB3
ICAM4	ITGB2
ICAM4	ITGB1
ICAM4	RHAG
ICAM4	ITGAV
ICAM4	ITGA2B
ICAM5	ITGAL
ICAM5	ITGB2
ICAM5	CD209
ICAM5	PRTG
ICAM5	IGDCC4
ICOSLG	ICOS
ICOSLG	CD28
ICOSLG	CTLA4
ICOSLG	NTM
IFITM1	CD81
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA13	IFNAR1
IFNA13	IFNAR2
IFNA13	CR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA2	CR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA8	IFNAR1
IFNA8	IFNAR2
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNE	IFNAR1
IFNE	IFNAR2
IFNE	ADGRV1
IFNG	IFNGR1
IFNG	IFNGR2
IFNK	IFNAR1
IFNK	IFNAR2
IFNL1	IL10RB
IFNL1	IFNLR1
IFNL2	IL10RB
IFNL2	IFNLR1
IFNL3	IL10RB
IFNL3	IFNLR1
IFNL4	IFNLR1
IFNL4	IL10RB
IFNW1	IFNAR1
IFNW1	IFNAR2
IGF1	TRPV2
IGF1	IGF1R
IGF1	INSR
IGF1	ITGAV
IGF1	ITGB3
IGF1	ITGA6
IGF1	ITGB4
IGF2	IGF2R
IGF2	IGF1R
IGF2	INSR
IGF2	ITGAV
IGF2	ITGB3
IGF2	ITGA6
IGF2	ITGB4
IGFBP3	EGFR
IGFBP4	FZD8
IGFBP4	LRP6
IGFBP7	MPIG6B
IGFBPL1	DCC
IGFL1	IGFLR1
IGFL2	IGFLR1
IGFL3	IGFLR1
IGSF10	IGSF11
IGSF10	CD200R1L
IGSF10	MILR1
IGSF10	SLAMF9
IGSF10	MAG
IGSF11	TMEM190
IGSF11	VSIR
IGSF11	CLEC2L
IGSF21	CSF3R
IGSF21	CD22
IGSF21	CD79B
IGSF21	KIR2DS5
IGSF21	NRXN2
IGSF21	HAVCR1
IGSF21	IYD
IGSF21	ILDR2
IGSF21	MUC15
IGSF3	PTGFRN
IHH	PTCH2
IHH	PTCH1
IHH	HHIP
IHH	BOC
IHH	CDON
