model	family	estimator	n	n_q1	n_q4	n_cohorts	cohorts	n_genes	coef	logFC	se	df	p	ci_low	ci_high	excludes_gse205335	drops_sclc	luad_matched	adjusts_keratin	adjusts_leak	adjusts_malfrac	I2	p_adhoc	se_adhoc	expect	sign_matches	fdr_claim
q4q1_drop205335_within_GSE123902	TJ	within	7	4	3	1	GSE123902	168	q4	0.180701376808961	0.297124892874411	5	0.5696413120691	-0.583082475729384	0.944485229347306	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_GSE131907	TJ	within	11	6	5	1	GSE131907	168	q4	0.45628810705567	0.120446187288998	9	0.00429376150939028	0.183819901748129	0.728756312363212	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_GSE189357	TJ	within	5	3	2	1	GSE189357	168	q4	0.0140872635257592	0.0863818549297158	3	0.880821013336515	-0.260818351538868	0.288992878590386	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_meta	TJ	re_meta	23	13	10	3	GSE123902+GSE131907+GSE189357	168	q4	0.216110767469743	0.140464664664652	2	0.263772221459625	-0.388259905382968	0.820481440322453	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	77.5372881467622	0.338862594549667	0.173414046953016	NA	NA	NA
q4q1_drop205335	keratin	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	9	q4	0.423007140672574	0.910213093085691	19	0.647403371928294	-1.48209075779317	2.32810503913832	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335	keratin	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	9	q4	0.413264150511224	0.86780166853535	19	0.639348289017874	-1.40306561618893	2.22959391721138	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_GSE123902	keratin	within	7	4	3	1	GSE123902	9	q4	-0.545382101555904	1.03449848863478	5	0.620603692301286	-3.20464512543368	2.11388092232187	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_GSE131907	keratin	within	11	6	5	1	GSE131907	9	q4	0.899326636803758	1.77271648571631	9	0.624130591230735	-3.11083665896984	4.90948993257736	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_GSE189357	keratin	within	5	3	2	1	GSE189357	9	q4	0.723876034467061	0.212509233449846	3	0.0422644372432691	0.0475768096359246	1.4001752592982	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_meta	keratin	re_meta	23	13	10	3	GSE123902+GSE131907+GSE189357	9	q4	0.675569388284431	0.176674349207294	2	0.0620905379554174	-0.0845989826090408	1.4357377591779	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.0822614469322025	0.206742069835836	NA	NA	NA
q4q1_dropSCLC	IFN	ols	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.413372082482426	0.213703124942715	26	0.0640254154128021	-0.852645146932154	0.0259009819673012	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0839782627924358
q4q1_dropSCLC	IFN	lmm	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.42293217414877	0.213227546515446	26	0.057968130986832	-0.861227673140863	0.0153633248433224	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0722105251340649
q4q1_dropSCLC	MHC-I/APM	ols	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.575390869674663	0.320212480657865	26	0.0839782627924358	-1.23359705028777	0.0828153109384404	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0839782627924358
q4q1_dropSCLC	MHC-I/APM	lmm	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.596309112466297	0.318201162625912	26	0.0722105251340649	-1.25038096965425	0.057762744721654	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0722105251340649
q4q1_dropSCLC	chemokine	ols	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-1.05687326145826	0.329607683978532	26	0.00354551604951792	-1.73439155907903	-0.379354963837488	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0106365481485538
q4q1_dropSCLC	chemokine	lmm	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-1.0587426396056	0.329748215648645	26	0.0035078737259004	-1.73654980421135	-0.380935474999851	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0105236211777012
q4q1_dropSCLC	STING_core	ols	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.504183705265463	0.273453483672766	26	0.0766439181501064	-1.06627539105428	0.0579079805233561	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_dropSCLC	STING_core	lmm	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.51013276613481	0.268431418419477	26	0.0685202383053361	-1.06190144895271	0.0416359166830871	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_dropSCLC	STING_plus_IFN_genes	ols	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.484483702488936	0.306514060716635	26	0.126054116474421	-1.11453237764995	0.145564972672076	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_dropSCLC	STING_plus_IFN_genes	lmm	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.492677907621526	0.294080466478062	26	0.10585957356743	-1.09716896379701	0.11181314855396	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_dropSCLC	NHEJ	ols	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.0393221068153755	0.0942174051333757	26	0.679845017509883	-0.15434454306882	0.232988756699571	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_dropSCLC	NHEJ	lmm	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.0378410459766199	0.0941943188449471	26	0.691163139256145	-0.155778149362082	0.231460241315322	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_dropSCLC	TJ	ols	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.180226009384286	0.100355722425251	26	0.0841462610289317	-0.0260581323970906	0.386510151165662	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_dropSCLC	TJ	lmm	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.178049377734686	0.100423050008653	26	0.0879469261988076	-0.0283731578764052	0.384471913345777	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_dropSCLC	keratin	ols	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	9	q4	0.115044366972831	0.722041339543783	26	0.874638506928748	-1.36913286237655	1.59922159632221	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_dropSCLC	keratin	lmm	31	18	13	4	GSE123902+GSE131907+GSE205335+GSE189357	9	q4	0.0746839227537795	0.694027770307661	26	0.915131630856592	-1.35191059034929	1.50127843585685	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_luad	IFN	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.338247406245549	0.223724797266533	24	0.143618594862287	-0.799992693524468	0.123497881033371	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.143618594862287
q4q1_luad	IFN	lmm	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.349951912238535	0.222567871973788	24	0.128963850240514	-0.809309423069846	0.109405598592776	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.128963850240514
q4q1_luad	MHC-I/APM	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.521442862865693	0.341297701551137	24	0.139629506434976	-1.22584669818403	0.182960972452649	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.143618594862287
q4q1_luad	MHC-I/APM	lmm	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.56001718625002	0.337981987809497	24	0.11054778873178	-1.25757772474622	0.137543352246182	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.128963850240514
q4q1_luad	chemokine	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-0.89748025300106	0.333263819157885	24	0.0127088546619631	-1.58530297000368	-0.209657535998438	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0381265639858894
q4q1_luad	chemokine	lmm	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-0.897631832152836	0.333224432105678	24	0.0126863657172365	-1.58537325827506	-0.209890406030612	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0380590971517094
q4q1_luad	STING_core	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.45129927871384	0.289047832844742	24	0.131536590509324	-1.0478646851638	0.145266127736122	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_luad	STING_core	lmm	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.457767443022299	0.279194988788442	24	0.114132610813513	-1.03399757879652	0.11846269275192	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_luad	STING_plus_IFN_genes	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.406962616192263	0.325278890192093	24	0.222950085959031	-1.07830524978768	0.264380017403157	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_luad	STING_plus_IFN_genes	lmm	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.420668685954036	0.309446046244475	24	0.186648956586389	-1.05933393569949	0.217996563791416	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_luad	NHEJ	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.00517322797494671	0.0925717071612672	24	0.955897276901992	-0.196231841232537	0.185885385282643	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_luad	NHEJ	lmm	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.0076062114663784	0.092572288147504	24	0.935196849054112	-0.198666023820627	0.18345360088787	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_luad	TJ	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.235989917589117	0.0952068880410684	24	0.0206065616533715	0.0394925583040753	0.432487276874158	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_luad	TJ	lmm	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.233433787325681	0.0951809530313956	24	0.0218360796137738	0.0369899552697989	0.429877619381563	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_luad	keratin	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	9	q4	0.367856035197075	0.750280660640217	24	0.628380299747225	-1.18064714111559	1.91635921150974	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_luad	keratin	lmm	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	9	q4	0.316438246133725	0.713600539860091	24	0.661420143880766	-1.1563608816605	1.78923737392795	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_krt	IFN	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.681760714597207	0.197974650590503	28	0.00182454296937634	-1.08729340276121	-0.276228026433202	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.00273681445406452
q4q1_krt	IFN	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.697257506912952	0.198052603482336	28	0.00149430406365406	-1.10294987433731	-0.291565139488593	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.00224145609548109
q4q1_krt	MHC-I/APM	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.848200921700713	0.291102522869002	28	0.00694547282502505	-1.44449740854019	-0.251904434861237	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.00694547282502505
q4q1_krt	MHC-I/APM	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.827735580043924	0.28475730950771	28	0.0070644208392093	-1.41103448651792	-0.244436673569932	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0070644208392093
q4q1_krt	chemokine	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-1.43996453244809	0.291279008344528	28	3.23586157020255e-05	-2.03662253339606	-0.843306531500126	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	9.70758471060765e-05
q4q1_krt	chemokine	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-1.45178535311111	0.291286762727026	28	2.89703802055785e-05	-2.04845923819157	-0.855111468030657	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	8.69111406167354e-05
q4q1_krt	STING_core	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.845251161249687	0.256215181439349	28	0.00264727889949657	-1.37008416874641	-0.320418153752961	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_krt	STING_core	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.850331373887797	0.247949157704055	28	0.00189290818093368	-1.3582321993309	-0.342430548444695	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_krt	NHEJ	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.0426739514258295	0.0911465299256759	28	0.64327245891225	-0.144031251423779	0.229379154275438	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_krt	NHEJ	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.0455750052254048	0.0910897832143591	28	0.620752247133654	-0.141013957255469	0.232163967706279	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_krt	TJ	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.122116165805116	0.0926671454928941	28	0.198253585454568	-0.0677038768323073	0.311936208442539	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_krt	TJ	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.119893994852151	0.0927385979538525	28	0.206640932432454	-0.0700724115165986	0.3098604012209	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_krt_drop205335	IFN	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.248158176650997	0.218808989350767	18	0.27161837521907	-0.707858804980891	0.211542451678897	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.27161837521907
q4q1_krt_drop205335	IFN	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.25428657404086	0.218606008092914	18	0.259929971199817	-0.713560754572373	0.204987606490653	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.259929971199817
q4q1_krt_drop205335	MHC-I/APM	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.455497399376375	0.322607391307928	18	0.175026421838472	-1.13327037811987	0.222275579367116	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.262539632757708
q4q1_krt_drop205335	MHC-I/APM	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.461697554965589	0.320279617241886	18	0.166602957990249	-1.13458006186903	0.211184951937853	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.249904436985374
q4q1_krt_drop205335	chemokine	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	-0.919674848765173	0.323740911386445	18	0.0108448137493434	-1.59982926482468	-0.23952043270567	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0325344412480303
q4q1_krt_drop205335	chemokine	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	-0.924655009399199	0.323660731020616	18	0.0104758216963673	-1.60464097276094	-0.244669046037461	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0314274650891019
q4q1_krt_drop205335	STING_core	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	8	q4	-0.274350475936906	0.279909405382741	18	0.340007898006656	-0.862418314976269	0.313717363102457	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_krt_drop205335	STING_core	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	8	q4	-0.262552535238409	0.27447499523753	18	0.351460127379895	-0.839203102227991	0.314098031751173	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_krt_drop205335	NHEJ	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	0.0739552591988838	0.0882070226703846	18	0.412786156141143	-0.111360818833368	0.259271337231136	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_krt_drop205335	NHEJ	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	0.0726326045589481	0.0857805431295951	18	0.408264823345417	-0.107585629125865	0.252850838243761	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_leak	IFN	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.261322724916734	0.348539188903516	28	0.45964961247858	-0.975272888662218	0.452627438828749	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.68947441871787
q4q1_leak	MHC-I/APM	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.496716626560339	0.496885950744523	28	0.326036746040287	-1.51454135672314	0.521108103602462	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.68947441871787
q4q1_leak	chemokine	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-0.157156628568791	0.440970024852375	28	0.724221232503113	-1.06044277679402	0.74612951965644	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.724221232503113
q4q1_leak	STING_core	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.456623278971805	0.453822603912607	28	0.322949757268813	-1.3862367419345	0.472990183990894	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_leak	NHEJ	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.0822960757068694	0.140311533425392	28	0.562222721113485	-0.205119071437945	0.369711222851684	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_leak_drop205335	IFN	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.00209608543360174	0.343841826663254	18	0.995203121477897	-0.72448095742717	0.720288786559967	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.995203121477897
q4q1_leak_drop205335	MHC-I/APM	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.333531094642689	0.518728199093045	18	0.528344561910063	-1.42333860101181	0.756276411726431	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.975110355910812
q4q1_leak_drop205335	chemokine	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	0.197324373604858	0.427710567578	18	0.650073570607208	-0.701262184663766	1.09591093187348	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	-1	FALSE	0.975110355910812
q4q1_krt_leak	IFN	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.391319102239538	0.298014103328108	27	0.200203859569586	-1.00279353378966	0.220155329310584	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.300305789354378
q4q1_krt_leak	IFN	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.426162057863485	0.297491930038709	27	0.16347322877602	-1.03656507832353	0.184240962596555	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.253045589296169
q4q1_krt_leak	MHC-I/APM	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.655788623488232	0.448867478825089	27	0.15556030373892	-1.57678861439712	0.265211367420654	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.300305789354378
q4q1_krt_leak	MHC-I/APM	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.6143201046147	0.434357619920291	27	0.168697059530779	-1.5055483242329	0.276908115003498	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.253045589296169
q4q1_krt_leak	chemokine	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-0.341983236730367	0.354494187889221	27	0.343252976688007	-1.06934522935637	0.385378755895632	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.343252976688007
q4q1_krt_leak	chemokine	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-0.358813831213809	0.35440844586823	27	0.320319779325255	-1.08599989574459	0.368372233316975	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.320319779325255
q4q1_krt_leak	STING_core	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.620594577765319	0.393273520203763	27	0.126206141707813	-1.42752518784303	0.186336032312388	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_krt_leak	STING_core	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.638371375205487	0.377391090232625	27	0.102246445245037	-1.41271393079255	0.135971180381579	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_krt_leak	NHEJ	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.103012541989533	0.140541410139378	27	0.469893412941915	-0.185354612163616	0.391379696142681	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_krt_leak	NHEJ	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.109947500282668	0.140410910529042	27	0.440417690492649	-0.178151890787602	0.398046891352939	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_krt_leak_drop205335	IFN	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.119623021178145	0.332682118260966	17	0.723595316614521	-0.821520936751717	0.582274894395426	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.974323705938235
q4q1_krt_leak_drop205335	IFN	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.133671496224836	0.332272545597178	17	0.692480317677016	-0.834705289012094	0.567362296562422	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.988654520742626
q4q1_krt_leak_drop205335	MHC-I/APM	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.525877490529405	0.493868456410598	17	0.301851653252372	-1.56784885326498	0.516093872206169	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.905554959757116
q4q1_krt_leak_drop205335	MHC-I/APM	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.539525374097344	0.488471125490637	17	0.284756815775081	-1.57010936397926	0.491058615784574	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.854270447325242
q4q1_krt_leak_drop205335	chemokine	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	0.0127773535816824	0.391186501344687	17	0.974323705938235	-0.812554020793453	0.838108727956817	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	FALSE	0.974323705938235
q4q1_krt_leak_drop205335	chemokine	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	0.00564388257204408	0.391107559045707	17	0.988654520742626	-0.819520938110952	0.83080870325504	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	FALSE	0.988654520742626
q4q1_krt_leak_drop205335	STING_core	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	8	q4	-0.235665464082567	0.428782517203305	17	0.58973132139693	-1.14031749838068	0.668986570215549	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_krt_leak_drop205335	STING_core	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	8	q4	-0.209714621598728	0.418597899995547	17	0.622800765304404	-1.09287899185765	0.67344974866019	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_krt_leak_drop205335	NHEJ	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	0.0845555221986066	0.135135332022302	17	0.539815457984406	-0.200555106417724	0.369666150814937	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
