accession	score	n_samples	pdat	gdstype	suppfile	title	hits
GSE270148	1	85	2025/07/07	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	H5, TSV	Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours	\bresponse\b;\bpatients?\b;\bmice\b|\bmouse\b|murine|xenograft
GSE273406	1	6	2024/11/06	Expression profiling by high throughput sequencing	TXT	Uncovering the rewired IAP-JAK regulatory axis as an immune-dependent vulnerability of LKB1-mutant lung cancer	\bresponse\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE277852	1	8	2025/04/09	Expression profiling by high throughput sequencing	TXT	Immunotherapy alongside IL-15 promote intratumoral cytotoxic CD4+T cell activation against MHC-II-expressing tumors	\bresponse\b;\bpatients?\b;\bmice\b|\bmouse\b|murine|xenograft
GSE299634	1	6	2025/11/13	Expression profiling by high throughput sequencing	XLS	The chromatin remodeling factor BAP18 promotes non-small cell lung cancer progression via the recruitment of β-Catenin with the transcriptional coactivator complex ACTL6A-PAF1	resistan
GSE110768	0	12	2024/01/22	Expression profiling by array	CEL	Manassantin A inhibits tumour growth under hypoxia through the activation of chaperone-mediated autophagy by modulating Hsp90 activity	\bpatients?\b;clinical;\bmice\b|\bmouse\b|murine|xenograft
GSE260597	0	6	2024/03/04	Expression profiling by high throughput sequencing	TXT	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (human)	\bresponse\b;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE260598	0	48	2024/03/04	Expression profiling by high throughput sequencing	DCC, TXT	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (GeoMx)	\bresponse\b;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE260599	0	61	2024/03/04	Expression profiling by high throughput sequencing	DCC	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors	
GSE287930	0	2	2026/04/06	Expression profiling by high throughput sequencing	TAR	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer	
GSE306693	0	9	2025/08/28	Expression profiling by high throughput sequencing; Other	CSV, PNG, TSV	ImmuniT Platform for Improved Neoantigen Prediction in Lung Cancer	\bresponse\b;\bpatients?\b;co-?culture;\bin vitro\b
GSE322553	0	7	2026/07/16	Other	CSV, H5, JPG, JSON, PNG	Dendritic cell-mediated antigen presentation regulates tertiary lymphoid structure development in cancer.	
GSE327192	0	15	2026/07/16	Other	CSV	Dendritic cell-mediated antigen presentation regulates tertiary lymphoid structure development in cancer [MERFISH]	
GSE330687	0	6	2026/05/17	Expression profiling by high throughput sequencing	CSV	PD-L1 drives metabolic reprogramming and mitochondrial remodeling in NSCLC cells	
GSE236719	-1	9	2024/06/21	Genome binding/occupancy profiling by high throughput sequencing	BW, NARROWPEAK	Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [ChIP-seq]	\bresponse\b;\bmice\b|\bmouse\b|murine|xenograft
GSE236722	-1	12	2024/06/21	Methylation profiling by high throughput sequencing	BEDGRAPH	Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [WGBS]	\bresponse\b;\bmice\b|\bmouse\b|murine|xenograft
GSE244103	-1	12	2024/02/01	Expression profiling by high throughput sequencing	XLSX	Targeting DHX9 triggers interferon response and replication stress in Small Cell Lung Cancer [RNA-seq]	\bresponse\b;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE244104	-1	14	2024/02/01	Other	XLSX	Targeting DHX9 triggers interferon response and replication stress in Small Cell Lung Cancer [RIP-seq I]	\bresponse\b;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE244944	-1	18	2025/06/02	Genome binding/occupancy profiling by high throughput sequencing	BW	NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [CHIP-seq]	\bresponse\b;\bpatients?\b;clinical;cell lines?;\bmice\b|\bmouse\b|murine|xenograft
GSE244945	-1	69	2025/06/02	Expression profiling by high throughput sequencing	CSV	NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [RNA-seq]	\bresponse\b;\bpatients?\b;clinical;cell lines?;\bmice\b|\bmouse\b|murine|xenograft
GSE244946	-1	3	2025/06/22	Expression profiling by high throughput sequencing	H5	NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [scRNA-seq]	\bresponse\b;\bpatients?\b;clinical;cell lines?;\bmice\b|\bmouse\b|murine|xenograft
GSE247217	-1	12	2024/02/01	Other	XLSX	Targeting DHX9 triggers interferon response and replication stress in Small Cell Lung Cancer [RIP-Seq II]	\bresponse\b;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE260575	-1	12	2024/03/05	Expression profiling by high throughput sequencing	TXT	Bojungikki-Tang Enhances the Efficacy of Pembrolizumab Treatment in Human PBMC-Injected H460 Tumor-Bearing Mice	\bresponse\b;\bpatients?\b;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE276031	-1	77	2024/12/20	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	BW	An epigenetic pathway regulates MHC-II expression and function in B cell lymphoma models	\bresponse\b;\bpatients?\b;\bmice\b|\bmouse\b|murine|xenograft;\bin vitro\b
GSE285029	-1	234	2025/01/06	Expression profiling by high throughput sequencing	TXT	Cell-intrinsic PD-L1 signaling drives immunosuppression by myeloid-derived suppressor cells through IL-6/Jak/Stat3 in PD-L1-high lung cance	\bresponse\b;baseline;\bpatients?\b;\bcohort\b;clinical;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR;co-?culture;\bin vitro\b
GSE301076	-1	12	2025/07/01	Expression profiling by high throughput sequencing	CSV	Targeting LINC01711 in FAP+ cancer-associated fibroblasts in lung adenocarcinoma	\bresponse\b;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE319956	-1	6	2026/03/11	Expression profiling by high throughput sequencing	CSV, MTX, TSV	FOXM1 is prevalent in lung cancer and targetable via T cell receptor engineering	\bresponse\b;\bmice\b|\bmouse\b|murine|xenograft
GSE233820	-2	12	2025/02/04	Expression profiling by high throughput sequencing	TXT	PARP inhibitor radiosensitization enhances anti-PD-L1 immunotherapy through depression of chemokine translation in small cell lung cancer	\bresponse\b;\bpatients?\b;cell lines?;\bmice\b|\bmouse\b|murine|xenograft
GSE289043	-2	23	2025/08/13	Expression profiling by high throughput sequencing	TSV	Activating NRF2^E79Q mutation alters the differentiation of human non-small cell lung cancer	resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE298789	-2	6	2026/02/18	Expression profiling by high throughput sequencing	TXT	Multifunctional exosomes inhibiting autophagy ameliorate immune tolerance in non-small cell lung cancer II	resistan;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE309453	-2	18	2026/07/23	Expression profiling by high throughput sequencing	TXT	EBV infection in epithelial malignancies induces resistance to the anti-tumor function of natural killer cells via CD73-mediated metabolism of AMP [NK cells]	resistan;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE320531	-2	2	2026/03/30	Other	ZIP	Ceramide Disrupts TM9SF2-PGK1 Axis to Redirect PD-L1 Trafficking and Enhance Antitumor Immunity	peripheral blood|PBMC|plasma;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE259407	-3	36	2024/11/21	Expression profiling by high throughput sequencing	CSV	Anti-EGFR aptamer exhibits direct anti-cancer effects in NSCLC cells harboring EGFR L858R mutations	\bpatients?\b;resistan;cell lines?;\bmice\b|\bmouse\b|murine|xenograft
GSE271377	-3	12	2025/07/01	Expression profiling by high throughput sequencing	TXT	DCBLD2 promotes perivascular anti-tumor immune deprivation by educating SPP1+ pro-angiogenic macrophages	\bpatients?\b;clinical;\bmice\b|\bmouse\b|murine|xenograft;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE276724	-3	15	2025/03/12	Expression profiling by high throughput sequencing	XLSX	Denfivontinib activates effector T-cells through NLRP3-inflammasome, yielding potent anticancer effects by combination with pembrolizumab	\bpatients?\b;clinical;\bmice\b|\bmouse\b|murine|xenograft;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE282589	-3	33	2025/09/15	Expression profiling by high throughput sequencing	CSV	A tri-specific antibody engages T and myeloid cells to augment anti-tumor immunity [bulk RNA-seq]	\bpatients?\b;\bmice\b|\bmouse\b|murine|xenograft;co-?culture
GSE299111	-3	7	2025/06/06	Expression profiling by high throughput sequencing	MTX, TSV	Regulatory T cells in lung tumor shape an anti-inflammatory myeloid-landscape recovery after chemotherapy	\bmice\b|\bmouse\b|murine|xenograft
GSE305372	-3	91	2026/06/07	Expression profiling by high throughput sequencing	CSV, RDS	Human lungs maintain tissue-resident memory T cells against a broad spectrum of pathogens.	\bmice\b|\bmouse\b|murine|xenograft
GSE218225	-4	6	2024/07/12	Other	TXT	CRISPR screen of radiation resistant genes in NSCLC	clinical;resistan;cell lines?;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE241977	-4	6	2024/06/08	Expression profiling by high throughput sequencing	XLSX	IFN    -induced treatment of a Human Lung Adenocarcinoma Cell Line is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (a549 bulk RNA)	\bpatients?\b;cell lines?;\bmice\b|\bmouse\b|murine|xenograft
GSE295993	-4	54	2025/05/01	Expression profiling by high throughput sequencing	CSV	A 3D Tumor Spheroid Model with Robust T Cell Infiltration for Evaluating Immune Cell Engagers	\bpatients?\b;cell lines?;\bmice\b|\bmouse\b|murine|xenograft
GSE303043	-5	30	2026/02/26	Expression profiling by high throughput sequencing	TXT, XLSX	UHRF1 drives subtype-independent aggressiveness and immune evasion in small cell lung cancer through GATA2-ST6GALNAC5 and PRC2 interactions	resistan;\bmice\b|\bmouse\b|murine|xenograft;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE309452	-5	12	2026/07/23	Expression profiling by high throughput sequencing	TXT	EBV infection in epithelial malignancies induces resistance to the anti-tumor function of natural killer cells via CD73-mediated metabolism of AMP [cell line]	resistan;cell lines?;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE288117	-6	12	2026/03/06	Expression profiling by high throughput sequencing	XLSX	Effect of PA200 depletion on gene expression in lung cancer cell lines A549 and NCI-H1299	\bresponse\b;cell lines?;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR;\bin vitro\b
GSE327377	-6	16	2026/06/15	Expression profiling by high throughput sequencing	XLSX	The IKKα-regulated microRNA miR-9-5p mediates lung cancer growth and invasiveness via CDH1/Wnt/β-catenin signalling	\bmice\b|\bmouse\b|murine|xenograft;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
