accession	title	gdstype	n_samples	pdat	suppfile	ftplink	summary
GSE253013	Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma	Expression profiling by high throughput sequencing	89	2024/01/31	RDS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253013/	Cancer immunotherapy has revolutionized the treatment of lung adenocarcinoma (LUAD); however, a significant fraction of patients fails to respond. Recent studies to understand transcriptomic determinants of immunotherapy response have pinpointed stroma-mediated resistance mechanisms. To gain a better understanding of the stromal biology at the cellular and molecular levels in LUAD, we obtained the transcriptomes of 256,379 single cells with 13,857 mesenchymal cells from 9 treatment-naïve patients. Among the mesenchymal cells, we identify subsets of FAP+PDPN+ cancer-associated fibroblasts (CAFs) and ACTA2+MCAM+ pericytes, which enrich in tumors, differentiate from lung resident fibroblasts and possess a myofibroblast phenotype.  By utilizing imaging-mass cytometry, we found that both subsets are topographically adjacent to the perivascular niche and have close spatial interaction with endothelial cells (ECs). Modelling of ligand and receptor interactomes between mesenchymal and ECs identifies that NOTCH3/NOTCH signaling drives the cell-cell interaction in tumors, with pericytes and CAFs as the signal receivers and arterial and PLVAPhigh immature neovascular ECs as the signal senders. Either pharmacologically blocking NOTCH signaling or tuning down NOTCH3 level in mesenchymal cells reduced collagen production and suppressed cell invasion. By evaluating the clinical relevance of NOTCH signaling using bulk-RNA sequencing data, we demonstrate that NOTCH3 correlates with poor survival in stroma-rich patients and that a T-cell inflammation gene signature predicts survival only in low-NOTCH3 expressing patients.  Our study underscores the importance of NOTCH3 in regulating tumor stroma biology and may serve as a potential target for immunotherapy combination strategies.
GSE253564	Features associated with enhanced proliferation define lung tumors that respond to dual immune checkpoint and radiation therapy	Expression profiling by high throughput sequencing	32	2024/01/18	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253564/	In a randomized phase II trial, patients with early-stage non-small cell lung cancer were were treated with either two preoperative cycles of the anti-PD-L1 antibody durvalumab alone or combined with immunomodulatory doses of stereotactic radiation. We conducted an analysis of the gene expression profiles of treatment-naive tumors from these patients and identified a 140-gene signature that was correlated with a positive response to the dual therapy. This signature showed enrichment in genes associated with cell proliferation.
GSE253718	Single-cell transcriptome reveals drug-resistance signature and immunosuppressive microenvironment in lung adenocarcinoma harboring EGFR mutation	Expression profiling by high throughput sequencing	6	2026/01/01	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253718/	A majority of EGFR-mutated lung adenocarcinoma (LUAD) inevitably develops acquired resistance to tyrosine kinase inhibitor (TKI) therapy within 2 years. Due to the heterogeneous tumor microenvironment (TME) and discrepant immunotherapy responses in patients with different EGFR mutation statuses, it is necessary to characterize the immune signatures during tumor resistance, facilitating the explorations of resistance mechanisms and drug discoveries.
GSE255144	PD-L1 and IFN-γ modulate Non-Small Cell Lung Cancer (NSCLC) Cell Plasticity responsible for ICI-Resistance	Expression profiling by high throughput sequencing	6	2024/12/31	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE255nnn/GSE255144/	Non-small cell lung cancer (NSCLC) is the leading cause of cancer death worldwide. Although immune checkpoint inhibitors (ICIs) have demonstrated outstanding clinical efficacy in the treatment of NSCLC patients, ICIs-based therapy has also been associated with a paradoxical acceleration of tumor growth defined as hyperprogressive disease (HPD). In this paper we evaluated distinct plasticity traits in a model of HPD-NSCLC, with the aim of clarifying the mechanisms contributing to ICI resistance that involve IFN-γ and PD-L1. For this purpose, primary cell cultures were established from two stage IV NSCLC samples obtained from a single patient: one, prior to ICI initiation (NSCLC-B, baseline) and the other at the time of radiological evidence of hyperprogression under ICI treatment (NSCLC-H, hyperprogression). Compared to NSCLC-B cells, NSCLC-H cells exhibited a more aggressive in vivo and in vitro behavior, higher MAPK activation and owned the ability to develop tumoroids. The 3500 differentially expressed transcripts, according to whole transcriptome analysis, well described the profound plastic evolution of cells from NSCLC-B to NSCLC-H culture, as well as the increase of CD44 in the NSCLC-H cell line model, in which transcripts of CD44 isoforms lacking the variant domain were abundant. Transcripts of genes involved in the cellular response to IFN-γ were down-modulated in NSCLC-H compared to NSCLC-B, together with CD274. Conversely, an up-regulation of genes related to inflammatory response, including IL1-     and IFNGR1, was found. In vitro response to IFN- γ was compromised in both NSCLC-B and NSCLC-H cells, since IFN- γ failed to exert its antiproliferative effect on these cells and to effectively induce PD-L1 expression in 2D-growth assays. Nevertheless, the cytokine induced the activation of both type I and type II IFN-pathway mediators. In addition, treatment with IFN-γ induced NSCLC-H traits in NSCLC-B cells, promoting a striking increase in the number of NSCLC-B 3D-soft agar colonies. Low IFN-γ doses or modulation of PD-L1 contributed to the evolution of NSCLC-B towards NSCLC-H phenotype through the augment of CD44 on cell membrane, cell morphological changes and increased cell growth or sphere formation ability.  In conclusion, we report a modulation of plasticity by PD-L1 modulation and IFN-γ in a NSCLC cell culture established from a treatment-naïve patient, who developed HPD under ICI therapy, suggesting an association between NSCLC plasticity and these main actors involved in ICI activity.
GSE255330	Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumors [dataset 1]	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	65	2025/07/07	H5, RDS, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE255nnn/GSE255330/	Monocyte–derived macrophages (mo-macs) drive immunosuppression in the tumor microenvironment (TME) and tumor-enhanced myelopoiesis in the bone marrow (BM) fuels these populations. Here, we performed paired transcriptome and chromatin analysis over the continuum of BM myeloid progenitors, circulating monocytes, and tumor-infiltrating mo-macs in mice and in patients with lung cancer to identify myeloid progenitor programs that fuel pro-tumorigenic mo-macs. Analyzing chromatin accessibility and histone mark changes, we show that lung tumors prime accessibility for Nfe2l2 (NRF2) in BM myeloid progenitors as a cytoprotective response to oxidative stress. NRF2 activity is sustained and increased during monocyte differentiation into mo-macs in the lung TME to regulate oxidative stress, in turn promoting metabolic adaptation, resistance to cell death, and contributing to immunosuppressive phenotype. NRF2 genetic deletion and pharmacological inhibition significantly reduced mo-macs’ survival and immunosuppression in the TME, enabling NK and T cell therapeutic antitumor immunity and synergizing with checkpoint blockade strategies. Altogether, our study identifies a targetable epigenetic node of myeloid progenitor dysregulation that sustains immunoregulatory mo-macs in the TME.
GSE259407	Anti-EGFR aptamer exhibits direct anti-cancer effects in NSCLC cells harboring EGFR L858R mutations	Expression profiling by high throughput sequencing	36	2024/11/21	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259407/	Non-small cell lung cancer (NSCLC) lung adenocarcinoma (LUAD) is a leading cause of death worldwide. Activating mutations in the tyrosine kinase domain of the oncogene epidermal growth factor receptor (EGFR) are responsible for ~10-50% of all LUAD cases. Although EGFR tyrosine kinase inhibitors (TKIs) have been effective in prolonging NSCLC patient survival and quality of life, acquired resistance mechanisms and disease progression are inevitable. Contemporary second- and third-line treatments, such as immunotherapy, remain ineffective for these patients, presenting a clear and unmet need for alternative or adjuvant therapeutics for the treatment of mutant EGFR positive NSCLC. Here we show that an anti-EGFR aptamer (EGFRapt) decreases viability of NSCLC cell lines harboring the L858R ± T790M mutation in EGFR but not cell lines harboring wild-type or exon 19 deletions. In a humanized xenograft mouse model, EGFRapt decreased tumor burden compared to controls when delivered intratumorally over multiple doses. To elucidate the mechanism by which EGFRapt exerts these effects, we examined kinase-dependent and kinase-independent mechanisms and found that it is cell line dependent, either inhibiting cellular proliferation or inducing cell death. Post hoc transcriptomics analysis comparing EGFRapt to control aptamer or vehicle validated these findings and provided additional mechanistic insights. Overall, these data establish that EGFRapt has direct anti-cancer activity in mutant EGFR positive NSCLC via targetable mechanisms that are independent of existing approaches and provide a foundation for further development of nucleic acid-based therapies that target EGFR.
GSE260575	Bojungikki-Tang Enhances the Efficacy of Pembrolizumab Treatment in Human PBMC-Injected H460 Tumor-Bearing Mice	Expression profiling by high throughput sequencing	12	2024/03/05	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260575/	Immune checkpoint inhibitors (ICIs) have become a major treatment option for non-small cell lung cancer, but their efficacy is still limited because only a subset of patients responded to ICIs. Bojungikki-Tang (BJIKT), a widely used herbal medicine extracted from 10 medicinal plants, has been largely investigated as a combined treatment with anticancer agents. In this study, we examined the potential anti-tumor effect of co-administration of BJIKT and pembrolizumab in human peripheral blood mononuclear cell (PBMC)-injected H460 tumor-bearing MHC Ⅰ/Ⅱ double knockout NSG mice. We found that combination treatment with BJIKT and pembrolizumab significantly suppressed tumor growth by regulating the activation of immune cells. Immunohistochemistry analysis showed that the combination therapy decreased the exhausted proportion of CD8(+) and CD4(+) T cells expressing PD-1 and LAG-3 markers in the tumor tissues. Our transcriptome analysis indicated that BJIKT strengthened T cell function and TNF signaling and inhibited TGF-β signaling to induce cell cycle arrest and apoptosis. Additionally, BJIKT synergistically exhibited anti-tumor effects along with immune-related pathways when combined with pembrolizumab. Taken together, combination therapy altered immune cells and regulated anti-tumor immune response, paving the way for a more effective understanding of the role of BJIKT in the tumor microenvironment.
GSE260597	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (human)	Expression profiling by high throughput sequencing	6	2024/03/04	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260597/	We recently reported that resistance to PD-1-blockade in a refractory lung cancer-derived model involved increased collagen deposition and the collagen-binding inhibitory receptor leukocyte-associated immunoglobulin-like receptor 1 (LAIR1), and thus we hypothesized that LAIR1 and collagen cooperated to suppress therapeutic response. Here, we report LAIR1 is associated with tumor stroma and is highly expressed by intratumoral myeloid cells in both human tumors and mouse models of cancer. Stroma-associated myeloid cells exhibit a suppressive phenotype and correlate with LAIR1 expression in human cancer. NGM438, a novel humanized LAIR1 antagonist monoclonal antibody, elicits myeloid inflammation and allogeneic T cell responses by binding to LAIR1 and blocking collagen engagement. Further, a mouse-reactive NGM438 surrogate antibody sensitized refractory KP mouse lung tumors to anti-PD-1 therapy and resulted in increased intratumoral CD8+ T cell content and inflammatory gene expression. These data place LAIR1 at the intersection of stroma and suppressive myeloid cells and support the notion that blockade of the LAIR1/collagen axis can potentially address resistance to checkpoint inhibitor therapy in the clinic.
GSE260598	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (GeoMx)	Expression profiling by high throughput sequencing	48	2024/03/04	DCC, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260598/	We recently reported that resistance to PD-1-blockade in a refractory lung cancer-derived model involved increased collagen deposition and the collagen-binding inhibitory receptor leukocyte-associated immunoglobulin-like receptor 1 (LAIR1), and thus we hypothesized that LAIR1 and collagen cooperated to suppress therapeutic response. Here, we report LAIR1 is associated with tumor stroma and is highly expressed by intratumoral myeloid cells in both human tumors and mouse models of cancer. Stroma-associated myeloid cells exhibit a suppressive phenotype and correlate with LAIR1 expression in human cancer. NGM438, a novel humanized LAIR1 antagonist monoclonal antibody, elicits myeloid inflammation and allogeneic T cell responses by binding to LAIR1 and blocking collagen engagement. Further, a mouse-reactive NGM438 surrogate antibody sensitized refractory KP mouse lung tumors to anti-PD-1 therapy and resulted in increased intratumoral CD8+ T cell content and inflammatory gene expression. These data place LAIR1 at the intersection of stroma and suppressive myeloid cells and support the notion that blockade of the LAIR1/collagen axis can potentially address resistance to checkpoint inhibitor therapy in the clinic.
GSE260599	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors	Expression profiling by high throughput sequencing	61	2024/03/04	DCC	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260599/	This SuperSeries is composed of the SubSeries listed below.
GSE260770	The activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients	Expression profiling by high throughput sequencing	50	2024/05/01	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260770/	Lung cancer is the second most commonly diagnosed cancer and the leading cause of cancer death worldwide, of which approximately 85% are non-small cell lung cancer (NSCLC). The overall survival (OS) of patients with advanced NSCLC was significantly prolonged with immune checkpoint inhibitors (ICIs) targeting the programmed cell death-1 (PD-1) and programmed death-ligand 1 (PD-L1) axis. For early-stage lung cancer, the 5-year survival rate for patients ranges from 80% in stage IA to 41% in stage IIIA, and many cases relapse after surgical resection. Currently, multiple clinical trials have manifested the encouraging efficacy of neoadjuvant immunotherapy in stage I-IIIA resectable NSCLC. However, the effect of immunotherapy in ultra early-stage NSCLC patients with micro-invasive or even pre-invasive lesions remains unclear. In this study, we aimed to evaluate the activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients.
GSE261345	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort]	Other	121	2024/04/09	DCC, PKC, PNG, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261345/	Transcriptomic subtyping holds promise for personalized therapy in extensive stage small cell lung cancer (ES-SCLC). In this study, we aimed to assess intratumoral transcriptomic subtype diversity and to identify biomarkers associated with long-term chemoimmunotherapy benefit in human ES-SCLC. Our work highlights that high intratumoral heterogeneity, lack of consistent association with outcome, and unclear subtype-specific target expression are major challenges for SCLC subtype-based precision oncology. Pre-existing IFNϒ-driven immunity and mitochondrial metabolism seem key correlates of long-term efficacy for chemoimmunotherapy in ES-SCLC.
GSE261348	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [IMfirst_DSP cohort]	Other	175	2024/04/09	DCC, PKC, PNG, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261348/	Transcriptomic subtyping holds promise for personalized therapy in extensive stage small cell lung cancer (ES-SCLC). In this study, we aimed to assess intratumoral transcriptomic subtype diversity and to identify biomarkers associated with long-term chemoimmunotherapy benefit in human ES-SCLC. Our work highlights that high intratumoral heterogeneity, lack of consistent association with outcome, and unclear subtype-specific target expression are major challenges for SCLC subtype-based precision oncology. Pre-existing IFNϒ-driven immunity and mitochondrial metabolism seem key correlates of long-term efficacy for chemoimmunotherapy in ES-SCLC.
GSE261551	Case Report: Molecular Profiling Facilitates the Diagnosis of a Challenging Case of Lung Cancer with Choriocarcinoma Features	Expression profiling by high throughput sequencing	1	2024/03/14	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261551/	Accurate diagnoses are crucial in determining the most effective treatment across different cancers. In challenging cases, morphology-based traditional pathology methods have important limitations, while molecular profiling can provide valuable information to guide clinical decisions. We present a 35-year female with lung cancer with choriocarcinoma features. Her disease involved the right lower lung, brain, and thoracic lymph nodes. The pathology from brain metastasis was reported as “metastatic choriocarcinoma” (a germ cell tumor) by local pathologists. She initiated carboplatin and etoposide, a regimen for choriocarcinoma. Subsequently, her case was assessed by pathologists from an academic cancer center, who gave the diagnosis of “adenocarcinoma with aberrant expression of β-hCG” and finally pathologists at our hospital, who gave the diagnosis of “poorly differentiated carcinoma with choriocarcinoma features”. Genomic profiling detected a KRAS G13R mutation and transcriptomics profiling was suggestive of lung origin. The patient was treated with carboplatin/paclitaxel/ipilimumab/nivolumab followed by consolidation radiation therapy. She had no evidence of progression to date, 13 months after the initial presentation. The molecular profiling could facilitate diagnosing of challenging cancer cases. In addition, chemoimmunotherapy and local consolidation radiation therapy may provide promising therapeutic options for patients with lung cancer exhibiting choriocarcinoma features.
GSE265899	Spatially resolved whole-transcriptomic and proteomic profiling of lung cancer and immune-microenvironment according to PD-L1 expression	Expression profiling by high throughput sequencing	95	2024/08/21	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE265nnn/GSE265899/	The expression of PD-L1 on tumor cells (TCs) is used as an immunotherapy biomarker in lung cancer, but heterogeneous intratumoral expression is often observed. Using a Digital Spatial Profiler, we performed proteomic and whole-transcriptomic analyses of TCs and immune cells (ICs) in spatially matched areas according to tumor PD-L1 expression and the status of the immune microenvironment. Several findings were validated using immunohistochemistry, The Cancer Genome Atlas, and immunotherapy cohorts. ICs in areas with high PD-L1 expression showed more features indicative of immunosuppression and exhaustion than ICs in areas with low PD-L1 expression. TCs highly expressing PD-L1 within immune-inflamed (IF) areas show up-regulation of pro-inflammatory processes, whereas TCs highly expressing PD-L1 within immune-deficient (ID) areas show up-regulation of various metabolic processes. Using differentially expressed genes of TCs between the IF and ID areas, we identified a novel prognostic gene signature for lung cancer. In addition, the high ratio of CD8+ cells to M2 macrophages was found to predict favorable outcomes in patients with PD-L1-expressing lung cancer after immune checkpoint inhibitor therapy. This study demonstrates that TCs and ICs have distinct spatial features within the tumor microenvironment that are related to tumoral PD-L1 expression and IC infiltration.
GSE266035	Divergent gene expression and kinetics of circulating tumor-infiltrating lymphocytes with highly homologous T-cell receptor sequences during immunotherapy	Expression profiling by high throughput sequencing; Other	9	2025/02/20	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266035/	single-cell RNA/TCR sequencing (scRNA/TCR-seq) of circulating T cells from longitudinally obtained blood samples from the same a patient with NSCLC who had a response and a subsequent progression to anti-PD-1/CTLA-4 blockade therapy.
GSE266219	Clinical and Immunological Responses to Combined JAK Inhibition and PD-1 immunotherapy for Lung Cancer Patients	Expression profiling by high throughput sequencing	79	2024/05/07	RDS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/	Persistent inflammation driven by cytokines like type-one interferon (IFN-I) can cause immunosuppression. We show that administration of the JAK1 inhibitor itacitinib after anti-PD1 immunotherapy improves immune function and anti-tumor responses in mice, and results in high response rates (67%) in a phase-2 clinical trial for metastatic non-small cell lung cancer. Patients who failed to respond to initial anti-PD1 immunotherapy but responded after addition of itacitinib had multiple features of poor immune function to anti-PD1 alone that improved after JAK inhibition. Itacitinib promoted CD8 T cell plasticity and therapeutic responses of exhausted- and effector-memory-like T cell clonotypes. Patients with persistent inflammation refractory to itacitinib showed progressive CD8 T cell terminal differentiation and progressive disease. Thus, JAK inhibition may improve the efficacy of anti-PD1 immunotherapy by pivoting T cell differentiation dynamics.
GSE266364	Immunogenic cell death inducer cEmsy boosted cancer immunotherapy in lung adenocarcinoma	Expression profiling by high throughput sequencing	33	2024/10/30	TXT, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266364/	Immunogenic cell death (ICD) represents a spectacular approach to boosting tumor immunotherapy by inducing an adaptive immune response, and it is urgent to identify effective and safe ICD inducers. Here, we identified a conserved, ICD-related circular RNA-cEmsy/cEMSY by performing a systematic screening utilizing immunogenic cell death models induced by multiple cell stressors in lung adenocarcinoma (LUAD). cEmsy/cEMSY triggers ICD in LUAD both in vitro and in vivo, leading to the release of damage-associated molecular patterns (DAMPs) and promoting T-cell cross-priming by dendritic cells (DCs). Notably, in the immunosuppressive tumor model, intratumoral delivery of in vitro-transcribed cEmsy encapsulated in lipid nanoparticles (LNP) induces a potent anti-tumor immune response, which synergizes with PD-1 blockade to facilitate long-term cancer immunity with no apparent toxicities. Mechanistically, cEmsy/cEMSY facilitates TDP-43 aggregation in mitochondria and leverages mitochondrial DNA leakage, activating the cGAS-STING pathway and initiating an antiviral immune response. Clinically, elevated expression level of cEMSY correlates with enhanced DCs and CD8+ T cell infiltration, and favorable immunotherapy response in LUAD. Hence, cEmsy/cEMSY emerges as a safe and potent ICD inducer, offering a dual advantage as a mechanism-based target and a biomarker for enhancing ICI responses in LUAD treatment.
GSE267026	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[S1-S3]	Expression profiling by high throughput sequencing; Other	24	2026/02/05	CSV, MTX, TAR, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267026/	The priming, expansion, and function of CD8⁺ T cells are helped by CD4⁺ T cells via dendritic cells. Precursor exhausted T cells (Tpex) maintain self-renewal and supply cytotoxic CD8⁺ T cells in the tumor microenvironment (TME), but the identity of their CD4⁺ T-cell partners remains unclear. Here, we perform scRNA-seq, scTCR-seq, and mass cytometry analysis on peripheral blood, tumor, and lymph nodes derived from lung cancer patients and identify a population of IL-7Rhigh CCR6⁺ Th1-like CD4⁺ T cells, namedTh7R, that is numerically and spatially partnered with Tpex cells. Th7R cells express lymphotoxin-β and CXCL13, correlate with high endothelial venules, and co-localize with Tpex in tertiary lymphoid structures. Furthermore, Th7R cell abundance correlates with Tpex numbers in the TME and lymph nodes, and adoptive transfer of Th7R increases Tpex in a preclinical mouse model of skin cancer. In lung cancer patients, Th7R and Tpex in TME are associated with better response to neoadjuvant PD-1 blockade therapy. Thus, these results suggest that Th7R cells act as partners of Tpex CD8 T cells to sustain antitumor T-cell immunity.
GSE267027	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]	Expression profiling by high throughput sequencing; Other	9	2026/02/05	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/	The priming, expansion, and function of CD8⁺ T cells are helped by CD4⁺ T cells via dendritic cells. Precursor exhausted T cells (Tpex) maintain self-renewal and supply cytotoxic CD8⁺ T cells in the tumor microenvironment (TME), but the identity of their CD4⁺ T-cell partners remains unclear. Here, we perform scRNA-seq, scTCR-seq, and mass cytometry analysis on peripheral blood, tumor, and lymph nodes derived from lung cancer patients and identify a population of IL-7Rhigh CCR6⁺ Th1-like CD4⁺ T cells, namedTh7R, that is numerically and spatially partnered with Tpex cells. Th7R cells express lymphotoxin-β and CXCL13, correlate with high endothelial venules, and co-localize with Tpex in tertiary lymphoid structures. Furthermore, Th7R cell abundance correlates with Tpex numbers in the TME and lymph nodes, and adoptive transfer of Th7R increases Tpex in a preclinical mouse model of skin cancer. In lung cancer patients, Th7R and Tpex in TME are associated with better response to neoadjuvant PD-1 blockade therapy. Thus, these results suggest that Th7R cells act as partners of Tpex CD8 T cells to sustain antitumor T-cell immunity.
GSE267108	Single-cell sequencing analysis of PD-L1 immune escape signal axis in lung adenocarcinoma	Expression profiling by high throughput sequencing	16	2024/05/17		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267108/	Lung cancer is the most common malignant tumor of lung and bronchus, with the highest mortality rate, and its immunotherapy is easy to cause drug resistance. In order to understand the molecular mechanism of immune escape in patients and develop prediction and therapeutic targets, this study carried out analytical experiments by single-cell sequencing.
GSE269440	Bulk RNA-seq of siGFPT2 and NC grouped H1975 cells	Expression profiling by high throughput sequencing	6	2024/06/10	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269440/	In the evolving field of cancer immunotherapy, EGFR-mutated NSCLC presents a significant challenge, demonstrating marked resistance to established treatments. An effective method to counter this resistance remains elusive. Through comprehensive genetic and pharmacological analyses across various models, we have identified glutamine fructose-6-phosphate transaminase 2 (GFPT2) as a key facilitator of immune evasion in EGFR-mutated NSCLC.
GSE269551	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner	Expression profiling by high throughput sequencing	8	2025/02/26	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269551/	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
GSE269618	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [H1975 and HCC44]	Expression profiling by high throughput sequencing	8	2025/02/26	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269618/	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
GSE269686	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner II	Genome binding/occupancy profiling by high throughput sequencing	8	2025/02/26	BROADPEAK	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269686/	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
GSE269711	Transcriptome changes associated with targeting mTORC2 in lung squamous cell carcinoma	Expression profiling by high throughput sequencing	6	2024/10/31	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269711/	Lung squamous cell carcinoma (LUSC) represents 30% of NSCLC and is associated with high mortality and a lack of therapies. Targeted therapies for lung adenocarcinoma (LUAD) improve overall survival, but such advances have not been made for treatment of LUSC irrespective of frequent molecular abnormalities. Immune checkpoint inhibitor therapies have achieved some success in LUSC patients. However, most patients do not respond adequately to such treatment, thereby patients are left with fewer specific treatment options. Exploring vulnerabilities in NSCLC, we showed that a high percentage of LUSC patients bear genetic alterations in the PI3K-mTOR-AKT signaling pathway. Loss of function of mTORC2 in LUSC cells inhibits glycolysis and lactate secretion in cultured cells and tumor growth in vivo.  The goal of this study was to investigate how targeting mTORC2 impacts LUSC and the tumor microenvironment, which can be harness for therapeutic options.
