accession	uid	queries	title	taxon	gdstype	n_samples	gpl	pubmed	pdat
GSE274468	200274468	dna_repair	ZMYM3 mutations modulate histone acetylation and cooperate with NOTCH1 mutations in chronic lymphocytic leukemia [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	13	GPL21697	42269081	2026/08/19
GSE274467	200274467	dna_repair	ZMYM3 mutations modulate histone acetylation and cooperate with NOTCH1 mutations in chronic lymphocytic leukemia [ATAC-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	11	GPL24676	42269081	2026/08/19
GSE313124	200313124	dna_repair	Targeting DKC1-mediated pseudouridylation combined with PARPi induces synthetic lethality in homologous recombination-proficient tumors [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	4	GPL24676		2026/08/14
GSE312874	200312874	dna_repair	Targeting DKC1-mediated pseudouridylation combined with PARPi induces synthetic lethality in homologous recombination-proficient tumors [ATAC-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	8	GPL30209		2026/08/14
GSE312872	200312872	dna_repair	Targeting DKC1-mediated pseudouridylation combined with PARPi induces synthetic lethality in homologous recombination-proficient tumors	Homo sapiens	Other	12	GPL24676		2026/08/14
GSE286720	200286720	dna_repair	Precision Nuclear Run-on Analysis of post-mitotic human neurons infected with HSV-1	Homo sapiens; Drosophila melanogaster; Human alphaherpesvirus 1 strain 17	Other	15	GPL34284		2026/08/13
GSE309723	200309723	dna_repair	Ice-free vitrification of embryos and its impact on post-warming outcomes	Bos taurus	Expression profiling by high throughput sequencing	9	GPL15749	42141048	2026/08/12
GSE305228	200305228	dna_repair,dna_repair_title	TDP2-mediated DNA repair regulates the dynamics of neuronal early response gene transcription and cortical neuron connectivity	Mus musculus	Expression profiling by high throughput sequencing	6	GPL24247		2026/08/12
GSE342778	200342778	dna_repair	Spatial transcriptomic profiling of vascular compartments of chronic antibody-mediated rejection in kidney allografts identified compartment-specific signatures: a pilot study	Homo sapiens	Other	48	GPL24676		2026/08/06
GSE317463	200317463	dna_repair	Landscape of plastid DNA breaks in Arabidopsis during development and environmental stimulus.	Arabidopsis thaliana	Other	6	GPL26208	42302795	2026/08/05
GSE308349	200308349	dna_repair	Landscape of plastid DNA breaks in Arabidopsis during development and environmental stimulus II	Arabidopsis thaliana	Other	9	GPL26208	42302795	2026/08/05
GSE308160	200308160	dna_repair	Landscape of plastid DNA breaks in Arabidopsis during development and environmental stimulus [2]	Arabidopsis thaliana	Other	40	GPL26208	42302795	2026/08/05
GSE308159	200308159	dna_repair	Landscape of plastid DNA breaks in Arabidopsis during development and environmental stimulus	Arabidopsis thaliana	Other	9	GPL26208	42302795	2026/08/05
GSE316944	200316944	dna_repair	Deficiency in plastid EF-Tu elicits DNA damage response in Arabidopsis thaliana	Arabidopsis thaliana	Expression profiling by high throughput sequencing	18	GPL31102		2026/08/04
GSE341447	200341447	dna_repair	Effect of levofloxacin on apoptosis pathways in SW48 colorectal cancer cells	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL23227		2026/08/01
GSE303244	200303244	dna_repair	The PARP Inhibitor Talazoparib efficiently Suppresses Tumor Growth in Castration-Resistant Prostate Cancer	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2026/07/31
GSE300383	200300383	dna_repair	Differential gene expression analysis in S-phase neurons derived from L1-GFP/5xFAD and L1-GFP mice	Mus musculus	Expression profiling by high throughput sequencing	4	GPL24247	42698704	2026/07/31
GSE293977	200293977	dna_repair,dna_repair_title	miRNA-mediated cell-to-cell communications boost DNA repair during the Radioadaptative Response in human fibroblasts	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2026/07/30
GSE317312	200317312	dna_repair	CDK12 as an entry point for combination therapy in high-risk neuroblastoma [WES]	Homo sapiens	Genome variation profiling by high throughput sequencing	6	GPL34281		2026/07/29
GSE312205	200312205	dna_repair,dna_repair_title	Splicing inhibition hampers pancreatic cancer cell viability by disrupting DNA repair proficiency and mitotic checkpoint integrity	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676		2026/07/29
GSE287496	200287496	dna_repair	CDK12 as an entry point for combination therapy in high-risk neuroblastoma [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	59	GPL24676		2026/07/29
GSE286042	200286042	dna_repair	Transcriptomic and Proteomic Signatures Following AS03-adjuvanted Influenza A/H7N9 Vaccine	Homo sapiens	Expression profiling by high throughput sequencing	1232	GPL24676		2026/07/29
GSE303839	200303839	dna_repair	Extra-S-phase DNA damage in MSI cells evades cell cycle arrest and leads to lethality upon inhibition of WRN	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4	GPL20301		2026/07/28
GSE341318	200341318	dna_repair	Transcriptional Profiles of Select Histone Deacetylase Inhibitors in Human HepaRG Cells	Homo sapiens	Other	118	GPL30173		2026/07/27
GSE338004	200338004	dna_repair	VRK1 phosphorylates SRRM2 for the regulation of splicing of DNA damage repair factors	Homo sapiens	Other	9	GPL24676		2026/07/22
GSE311462	200311462	dna_repair	Estrogenic Endocrine Disrupting Compounds Increase Cell Proliferation and Cancer Stemness in Estrogen Receptor Positive Breast Cancer Cells	Homo sapiens	Expression profiling by high throughput sequencing	24	GPL20301	42070278	2026/07/22
GSE277683	200277683	dna_repair	Premature senescence impairs hematopoietic stem cell function during sickle cell disease in mice and humans (Mouse Bulk RNA-Seq)	Mus musculus	Expression profiling by high throughput sequencing	9	GPL24247	42485438	2026/07/22
GSE277682	200277682	dna_repair	Premature senescence impairs hematopoietic stem cell function during sickle cell disease in mice and humans (Human Bulk RNA-Seq)	Homo sapiens	Expression profiling by high throughput sequencing	11	GPL24676	42485438	2026/07/22
GSE277681	200277681	dna_repair	Premature senescence impairs hematopoietic stem cell function during sickle cell disease in mice and humans (Mouse CITE-Seq)	Mus musculus	Other; Expression profiling by high throughput sequencing	32	GPL24247	42485438	2026/07/22
GSE287393	200287393	dna_repair,dna_repair_title	Syntaxin Binding Protein 1 regulates the alternative splicing events related to DNA repair  in MDA-MB-231cells	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	42631023	2026/07/20
GSE327029	200327029	dna_repair	KPNA3 drives temozolomide resistance in glioblastoma by upregulating MGMT and activating STAT3 to sustain glioma stem cells	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL29480	42295990	2026/07/17
GSE323363	200323363	dna_repair	Inhibition of SIRT7 Overcomes Radioresistance in Pancreatic Neuroendocrine Tumors by Reactivating MEN1 Expression	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	41972414	2026/07/15
GSE305504	200305504	dna_repair	Tumor cell intrinsic dsRNA innate immune response triggered by PARP inhibitor is compromised in BRCA1 deficient breast cancer by repressing IRF3	Homo sapiens	Expression profiling by high throughput sequencing	18	GPL24676	41520145	2026/07/15
GSE303128	200303128	dna_repair	 RAD51 proximity mapping reveals spatial constraints on homology search during DNA double-stranded break repair	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	8	GPL34281		2026/07/15
GSE330051	200330051	dna_repair	In vivo DNA damage protection during cell migration across confining embryonic tissue environments	Danio rerio	Expression profiling by high throughput sequencing	12	GPL18413		2026/07/14
GSE292334	200292334	dna_repair	The tumor suppressor SMAD4 is a gatekeeper for genome stability	Homo sapiens	Expression profiling by high throughput sequencing	15	GPL20301		2026/07/14
GSE305237	200305237	dna_repair	Mutation-Agnostic Base Editing of the Progerin Farnesylation Site Rescues Hutchinson-Gilford Progeria Syndrome Phenotypes in Neuromuscular Organoids	Homo sapiens	Expression profiling by high throughput sequencing	3	GPL24676		2026/07/13
GSE338229	200338229	dna_repair	The combination of nelfinavir and cisplatin drives lytic cell death through a caspase-8/caspase-3/GSDME axis in platinum-resistant ovarian cancer cells	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL34284		2026/07/10
GSE334395	200334395	dna_repair	Transcriptional profiling of epidermal keratinocytes from Naked mole-rats and mice	Mus musculus; Heterocephalus glaber	Expression profiling by high throughput sequencing	6	GPL17021		2026/07/09
GSE337703	200337703	dna_repair,dna_repair_title	p300/CBP inhibition promotes apoptosis in mouse embryos by impairing H1K75ac-mediated DNA repair from the 4-cell to blastocyst stage	Mus musculus	Expression profiling by high throughput sequencing	8	GPL30215		2026/07/08
GSE334642	200334642	dna_repair	A guardian role of TagA in protecting Mycobacterium tuberculosis from nitrosative killing	Mycobacterium tuberculosis	Other	13	GPL27661	42335242	2026/07/08
GSE318306	200318306	dna_repair,dna_repair_title	Whole transcriptome sequencing of HCT116 cells with altered DNA repair capacities treated with RTX or 5FdUR	Homo sapiens	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing	36	GPL24676	42384741	2026/07/08
GSE307531	200307531	dna_repair,dna_repair_title	Thymidylate synthase RIP-seq from DNA-repair-deficient HCT116 cells treated with RTX or 5FdUR [RIP-Seq]	Homo sapiens	Other	6	GPL34284	42384741	2026/07/08
GSE293752	200293752	dna_repair	IL4Ra blockade inhibits proliferation of malignant lymphocytes and the immunosuppressive tumor microenvironment of mycosis fungoides	Homo sapiens	Expression profiling by high throughput sequencing; Other	23	GPL24676	42350047	2026/07/08
GSE284185	200284185	dna_repair	Elimination of  aggressive cancers by a ferroptosis-inducing PROTAC	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL30173	42243330	2026/07/08
GSE276535	200276535	dna_repair	Tune p53 transactivation and tumor suppression activity by modulating its liquid-liquid phase separation propensity	Homo sapiens	Expression profiling by high throughput sequencing	15	GPL24676	41883163	2026/07/08
GSE337503	200337503	dna_repair	RNA-seq analysis of CSNK2B and P300 knockdown in NCI-H69 small cell lung cancer cells	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL23227		2026/07/04
GSE337245	200337245	dna_repair	Transcriptome profiling of SCRMP knockout and control NCI-H69 small cell lung cancer cells	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL23227		2026/07/02
GSE337244	200337244	dna_repair	ChIP-seq profiling of RBBP4 and P300 occupancy after CSNK2B knockdown in small cell lung cancer cells	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	8	GPL24676		2026/07/02
GSE336518	200336518	dna_repair	Multinucleated giant cells in human pancreatic cancer are a distinct macrophage population undergoing a DNA damage response and associated to an aggressive tumor microenvironment [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	17	GPL21697	42377389	2026/06/30
GSE336517	200336517	dna_repair	Multinucleated giant cells in human pancreatic cancer are a distinct macrophage population undergoing a DNA damage response and associated to an aggressive tumor microenvironment [GeoMx DSP]	Homo sapiens	Other	149	GPL30173	42377389	2026/06/30
GSE291018	200291018	dna_repair	Transcriptomic analysis of human small intestinal organoids (hSIOs) from PiMM and PiZZ patients	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL24676		2026/06/29
GSE336535	200336535	dna_repair	AAV-mediated gene therapy demonstrates phenotypic rescue in a mouse model of Cockayne Syndrome	Mus musculus	Expression profiling by high throughput sequencing	12	GPL34328		2026/06/25
GSE308873	200308873	dna_repair	ZMAT3 alleviates cell death in Fanconi anemia via adaptation of sphingolipid metabolism	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL18573		2026/06/25
GSE327794	200327794	dna_repair	The periphery of nuclear speckles defines a spatially and temporally regulated compartment of long-lived intron-retained RNAs that resolves during mitosis	Homo sapiens	Expression profiling by high throughput sequencing	16	GPL24676		2026/06/24
GSE315176	200315176	dna_repair	Lifelong consumption of freeze-dried Parabacteroides distasonis improves gut barrier integrity and extends lifespan and health span in Drosophila melanogaster	Drosophila melanogaster	Expression profiling by high throughput sequencing	18	GPL34457		2026/06/23
GSE335847	200335847	dna_repair	TrAEL-seq of osimertinib-treated PC9 cells in specific cell cycle stages	Homo sapiens	Other	13	GPL34295		2026/06/22
GSE335846	200335846	dna_repair	RNA-seq of Osimertinib-treated PC9 cells in specific cell cycle stages	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL34295		2026/06/22
GSE206077	200206077	dna_repair	ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [screening]	Homo sapiens	Other	5	GPL15520		2026/06/22
GSE206071	200206071	dna_repair	ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	4	GPL20301		2026/06/22
GSE206070	200206070	dna_repair	ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [CUT&RUN]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	22	GPL18573		2026/06/22
GSE335668	200335668	dna_repair	Mutant p53 binds RNA to drive mitochondrial dysfunction	Homo sapiens	Expression profiling by high throughput sequencing	3	GPL30173		2026/06/21
GSE310281	200310281	dna_repair,dna_repair_title	Translational control by RPL22L1-specific ribosomes enhances DNA repair and chemoresistance	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	42680749	2026/06/21
GSE296394	200296394	dna_repair	PRMT5 regulates splicing of detained introns from DNA damage repair genes to protect against replication stress.	Homo sapiens	Expression profiling by high throughput sequencing	18	GPL24676		2026/06/19
GSE290961	200290961	dna_repair	SNP array for ABE- and Cas9-treated human zygotes as well as ABE treated embryos at fertilization	Homo sapiens	Genome variation profiling by SNP array	158	GPL28377	42742174	2026/06/19
GSE313089	200313089	dna_repair	Transcriptomic Profiling Identifies the Cyclin D–CDK4/6 Axis as a Druggable Mediator of Cisplatin Resistance in Bladder Cancer [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	4	GPL24676	42045965	2026/06/18
GSE313088	200313088	dna_repair	Transcriptomic Profiling Identifies the Cyclin D–CDK4/6 Axis as a Druggable Mediator of Cisplatin Resistance in Bladder Cancer [array]	Homo sapiens	Expression profiling by array	4	GPL21282	42045965	2026/06/18
GSE305963	200305963	dna_repair	Dysregulated differentiation kinetics underlie essential role of DNA damage repair in cloned placentas	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	26	GPL34290	42637719	2026/06/18
GSE305673	200305673	dna_repair	Dysregulated differentiation kinetics underlie essential role of DNA damage repair in cloned placentas [scMutiomics]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	18	GPL34290	42637719	2026/06/18
GSE305671	200305671	dna_repair	Dysregulated differentiation kinetics underlie essential role of DNA damage repair in cloned placentas [ChIP-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	8	GPL24247	42637719	2026/06/18
GSE297164	200297164	dna_repair	RNA-seq profiling of radioiodine-treated differentiated thyroid cancer cells reveals DDR pathway regulation during iodine tolerance	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL9052	42046098	2026/06/18
GSE335234	200335234	dna_repair	Oxidative stress triggers RNAPII arrest through PARylation and DNA damage [TTchem-seq]	Homo sapiens	Other	135	GPL30173	42706228	2026/06/12
GSE335232	200335232	dna_repair	Oxidative stress triggers RNAPII arrest through PARylation and DNA damage [ELCAP-seq]	Homo sapiens	Other	28	GPL30173	42706228	2026/06/12
GSE335230	200335230	dna_repair	Oxidative stress triggers RNAPII arrest through PARylation and DNA damage [ChIP-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	6	GPL30173	42706228	2026/06/12
GSE329935	200329935	dna_repair,dna_repair_title	DNA repair drives cisplatin-induced neuronal death	Homo sapiens	Other; Expression profiling by high throughput sequencing	28	GPL30173	42269607	2026/06/10
GSE329933	200329933	dna_repair,dna_repair_title	DNA repair drives cisplatin-induced neuronal death [SAR-seq]	Homo sapiens	Other	14	GPL30173	42269607	2026/06/10
GSE329931	200329931	dna_repair,dna_repair_title	DNA repair drives cisplatin-induced neuronal death [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL30173	42269607	2026/06/10
GSE329929	200329929	dna_repair,dna_repair_title	DNA repair drives cisplatin-induced neuronal death [END-seq]	Homo sapiens	Other	8	GPL30173	42269607	2026/06/10
GSE314968	200314968	dna_repair	An XRE-Type Regulator in Streptococcus mutans Plays an Important Role in brpA Expression and Oxidative Stress Tolerance Response 	Streptococcus mutans	Expression profiling by high throughput sequencing	6	GPL36456	42478824	2026/06/10
GSE282143	200282143	dna_repair	SP6 safeguards human multipotent trophoblasts from DNA damage-induced ageing by shaping DNA-PK complex	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	5	GPL29480		2026/06/10
GSE278556	200278556	dna_repair	Mechanosensing by T cells promotes a tissue-resident memory transcriptional program 	Mus musculus	Expression profiling by high throughput sequencing	12	GPL24247	42399696	2026/06/02
GSE333480	200333480	dna_repair	METTL3-mediated m6A modification controls Tcra recombination center formation and thymic T cell development	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Methylation profiling by high throughput sequencing; Other	98	GPL24247		2026/06/01
GSE312801	200312801	dna_repair,dna_repair_title	Unveiling the DNA repair landscape by unlocking the potential of cryopreserved PBMCs with optimal processing	Homo sapiens	Expression profiling by high throughput sequencing	88	GPL18573		2026/06/01
GSE284057	200284057	dna_repair	5’ HOXD genes differentially regulate gene expression of Synovial Fibroblasts in hand joints	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL20301		2026/06/01
GSE332838	200332838	dna_repair	Fanconi Anemia Pathway Activation Converts Oncogene-Induced Senescence into a Pro-Tumorigenic State	Drosophila melanogaster	Expression profiling by array	5	GPL1322		2026/05/31
GSE298387	200298387	dna_repair	Growth hormone (GH) suppresses DNA damage repair in human prostate epithelial cells	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL34284	42518286	2026/05/31
GSE326132	200326132	dna_repair,dna_repair_title	USP18 impacts on platinum-resistance in ovarian cancer cells by modulating DNA repair	Homo sapiens	Expression profiling by high throughput sequencing	51	GPL34284	42328450	2026/05/29
GSE305290	200305290	dna_repair	Largazole targets Musashi protein expression via miR-125b-5p and sensitizes triple-negative breast cancer cells to irradiation	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL30173	42416820	2026/05/28
GSE316591	200316591	dna_repair	Treacle-dependent TOPBP1 condensation regulates the nucleolar DNA damage response.	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	3	GPL20301	42152682	2026/05/27
GSE289237	200289237	dna_repair	Effect of overexpression of HMGA2 in human chondrosarcoma SW1353 cell line overexpression and control cells.	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL34284	41964890	2026/05/27
GSE286560	200286560	dna_repair	PRMT5 inhibition sensitizes glioblastoma tumor models to temozolomide	Homo sapiens	Expression profiling by high throughput sequencing	4	GPL30173	41986321	2026/05/27
GSE313746	200313746	dna_repair,dna_repair_title	Progressive suppression of DNA repair genes with persistent p53 activation in Doxorubicin-treated cardiomyocytes	Homo sapiens	Expression profiling by high throughput sequencing	42	GPL34295	42324868	2026/05/26
GSE241436	200241436	dna_repair	Uncoupling the TFIIH Core and Kinase Modules Leads to High CTD Serine 5 Phosphorylation Throughout Transcription	Saccharomyces cerevisiae	Genome binding/occupancy profiling by high throughput sequencing	40	GPL27812	42258375	2026/05/26
GSE298234	200298234	dna_repair,dna_repair_title	Fucoidans are senotherapeutics that enhance SIRT6-Dependent DNA repair	Mus musculus	Expression profiling by high throughput sequencing	13	GPL24247	40502774	2026/05/25
GSE331068	200331068	dna_repair	Tamarixetin induces DNA damage response and activates p53 signaling in A549 non-small cell lung cancer cells	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2026/05/20
GSE308772	200308772	dna_repair	Distinct development-associated roles of rice histone variant H2A.X in suppressing deposition of active H3K4me3 marks and in restricting H2A.W incorporation [smallRNA-Seq]	Oryza sativa	Non-coding RNA profiling by high throughput sequencing	6	GPL19290	42137983	2026/05/20
GSE308771	200308771	dna_repair	Distinct development-associated roles of rice histone variant H2A.X in suppressing deposition of active H3K4me3 marks and in restricting H2A.W incorporation [RNA-Seq]	Oryza sativa	Expression profiling by high throughput sequencing	30	GPL27660	42137983	2026/05/20
GSE308770	200308770	dna_repair	Distinct development-associated roles of rice histone variant H2A.X in suppressing deposition of active H3K4me3 marks and in restricting H2A.W incorporation [ChIP-Seq]	Oryza sativa	Genome binding/occupancy profiling by high throughput sequencing	18	GPL27660	42137983	2026/05/20
GSE266221	200266221	dna_repair	Acute UV effect on epidermal transcriptome profiling in male and female Wild Type (SKH-1/SV129/BL6/J) mice and deficient for PPARbeta (SKH-1/SV129/BL6/J PPARD-/-) littermates.	Mus musculus	Expression profiling by high throughput sequencing	32	GPL24247	41876816	2026/05/20
GSE324248	200324248	dna_repair	Small Molecule Disrupts G4-STAT1 Interaction and Synergizes with Olaparib to Drive Cancer Cell Death	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4	GPL24676	42087785	2026/05/15
GSE312448	200312448	dna_repair	CS2164 combined with radiation impaired tumor growth by interfering with DNA damage repair and modifying tumor environment	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	41845287	2026/05/15
GSE308416	200308416	dna_repair	A phage repressor involved in the DNA-damage response of Francisella	Francisella hispaniensis	Expression profiling by high throughput sequencing	6	GPL36258	42099580	2026/05/15
GSE298958	200298958	dna_repair	Bone marrow failure, somatic rescue by p53 inactivation, and enhanced leukemogenesis in germline ERCC6L2 disease	Mus musculus	Expression profiling by high throughput sequencing	48	GPL24247	41490322	2026/05/15
GSE311698	200311698	dna_repair	Structure and mechanism of inhibition of lysine demethylase 2A (KDM2A) by compound 183c	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL30173	42365187	2026/05/14
GSE308666	200308666	dna_repair	Arabidopsis YEATS domain proteins facilitate DNA double strand break repair via homologous recombination pathways	Arabidopsis thaliana	Non-coding RNA profiling by high throughput sequencing	72	GPL17639	42258726	2026/05/13
GSE329938	200329938	dna_repair	Comprehensive profiling of ALK fusion lung adenocarcinomas identifies mutant p53 driven DNA replication and repair deregulation in targeted therapy resistance [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL20301		2026/05/12
GSE325968	200325968	dna_repair,dna_repair_title	Mapping the sequence logic of DNA repair enzyme binding reveals mechanistic principles and evolutionary links [WT UDG]	synthetic construct; Homo sapiens	Other	1	GPL36747	42251035	2026/05/12
GSE325967	200325967	dna_repair,dna_repair_title	Mapping the sequence logic of DNA repair enzyme binding reveals mechanistic principles and evolutionary links [WT TDG binding + ARP]	synthetic construct; Homo sapiens	Other	2	GPL36746	42251035	2026/05/12
GSE325966	200325966	dna_repair,dna_repair_title	Mapping the sequence logic of DNA repair enzyme binding reveals mechanistic principles and evolutionary links [2′-fluoroarabino analogue of deoxyuridine]	synthetic construct; Homo sapiens	Other	2	GPL36742	42251035	2026/05/12
GSE325784	200325784	dna_repair,dna_repair_title	Mapping the sequence logic of DNA repair enzyme binding reveals mechanistic principles and evolutionary links [WT_UDG]	synthetic construct; Homo sapiens	Other	2	GPL36735	42251035	2026/05/12
GSE325411	200325411	dna_repair,dna_repair_title	Mapping the sequence logic of DNA repair enzyme binding reveals mechanistic principles and evolutionary links [WT MBD4]	synthetic construct	Other	2	GPL36725	42251035	2026/05/12
GSE322592	200322592	dna_repair,dna_repair_title	Mapping the sequence logic of DNA repair enzyme binding reveals mechanistic principles and evolutionary links [WT TDG]	synthetic construct; Homo sapiens	Other	1	GPL36656	42251035	2026/05/12
GSE329793	200329793	dna_repair	Comprehensive profiling of ALK fusion lung adenocarcinomas identifies mutant p53 driven DNA replication and repair deregulation in targeted therapy resistance [ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	12	GPL24676		2026/05/11
GSE319506	200319506	dna_repair	Uncovering Critical Lysines in Mammalian Histone H3 with High-Throughput CRISPR Prime Editing [CUT&Run]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	4	GPL30172	42420522	2026/05/09
GSE319420	200319420	dna_repair	Uncovering Critical Lysines in Mammalian Histone H3 with High-Throughput CRISPR Prime Editing [CUT&Tag]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	26	GPL30172	42420522	2026/05/09
GSE319059	200319059	dna_repair	Uncovering Critical Lysines in Mammalian Histone H3 with High-Throughput CRISPR Prime Editing [RNA-seq]	Mus musculus	Expression profiling by high throughput sequencing	12	GPL32159	42420522	2026/05/09
GSE326332	200326332	dna_repair	Transcriptomic responses and survival of kidney xenograft with triple carbohydrate antigen knockout (3KO) with or without multiple human transgenes (HTGs)	Sus scrofa; Homo sapiens	Expression profiling by array	69	GPL36761	42362566	2026/05/07
GSE292700	200292700	dna_repair	Molecular architecture of the tumor microenvironment caused by BRCA1 and BRCA2 somatic mutations in human lung adenocarcinoma	Homo sapiens	Expression profiling by high throughput sequencing; Other	12	GPL34284	42189716	2026/05/07
GSE316684	200316684	dna_repair	Transcriptomic profiling of SJG-136–treated K562 cells	Homo sapiens	Expression profiling by array	6	GPL2895		2026/05/06
GSE311189	200311189	dna_repair	Integrated Transcriptomic and Functional Analysis Reveals Selective Cytotoxicity and Oncogene Suppression Induced by Cinnamon Essential Oil in Cervical Cancer Cells	Homo sapiens	Expression profiling by high throughput sequencing	24	GPL24676		2026/05/05
GSE301844	200301844	dna_repair	mTOR inhibition enhances the antitumor efficacy of RAF dimer-MEK blockade by inhibiting the ATF4-MTHFD2 pathway	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL16791	42091854	2026/05/04
GSE326894	200326894	dna_repair,dna_repair_title	The HSF2-HSP110 Axis Promotes Genome Stability by Supporting RNA Polymerase II Dependent Transcription and DNA Repair Gene Expression [CUT&Run]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	15	GPL20301	41995727	2026/05/01
GSE326884	200326884	dna_repair,dna_repair_title	The HSF2-HSP110 Axis Promotes Genome Stability by Supporting RNA Polymerase II Dependent Transcription and DNA Repair Gene Expression [PRO-Seq]	Homo sapiens	Other	4	GPL20301	41995727	2026/05/01
GSE328708	200328708	dna_repair,dna_repair_title	The ω subunit stabilizes transcribing RNA polymerase to balance processivity and DNA repair	Escherichia coli K-12	Expression profiling by high throughput sequencing	2	GPL30519		2026/04/30
GSE319524	200319524	dna_repair	Transcription-coupled repair removes cytotoxic DNA methylation damage and promotes mutational strand asymmetry in gliomas	Saccharomyces cerevisiae; Homo sapiens	Other	26	GPL24676		2026/04/30
GSE294378	200294378	dna_repair	Comprehensive analysis of the biological properties of BIOGF1K via the construction of a competing endogenous RNA network	Homo sapiens	Non-coding RNA profiling by high throughput sequencing; Expression profiling by high throughput sequencing	8	GPL24676		2026/04/30
GSE285742	200285742	dna_repair	LINE1 RNA demethylation represses chromatin accessibility and sensitizes cancer cells to blockage of DNA damage repair [ATAC-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	20	GPL24676	42104448	2026/04/30
GSE285741	200285741	dna_repair	LINE1 RNA demethylation represses chromatin accessibility and sensitizes cancer cells to blockage of DNA damage repair ChIP-seq	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	32	GPL24676	42104448	2026/04/30
GSE285738	200285738	dna_repair	LINE1 RNA demethylation represses chromatin accessibility and sensitizes cancer cells to blockage of DNA damage repair [MeRIP-seq]	Homo sapiens	Other	32	GPL34284	42104448	2026/04/30
GSE329361	200329361	dna_repair,dna_repair_title	DNA repair drives cisplatin-induced neuronal death	Homo sapiens	Other	22	GPL30173	42269607	2026/04/28
GSE329284	200329284	dna_repair	Integrated Phenotypic and Transcriptomic Profiling Positions ONC212 as a Lead Imipridone in Androgen-Independent Prostate Cancer Models	Homo sapiens	Expression profiling by high throughput sequencing	16	GPL34281	42196575	2026/04/27
GSE329206	200329206	dna_repair	EZH2 inhibition reshapes 3D chromatin architecture to induce immunogenic phenotype in small cell lung cancer [microC]	Homo sapiens	Other	4	GPL24676		2026/04/27
