accession	queries	title	taxon	gdstype	n_samples_geo	status	skip_reason	gpl	pubmed	cldn4_present	n_nhej	n_ifn	n_sensors	genes_nhej	genes_ifn	genes_sensors	coverage_ok	n_columns	design	cldn4_mean	cldn4_std	n_pairs	pair_stems	spearman_n	rho_nhej	p_nhej	rho_ifn	p_ifn	rho_composite	p_composite	rho_cgas	p_cgas	rho_sting	p_sting	scale	file_used	joint_paired	joint_spearman	joint_call	call_basis	ratio_orient	delta_nhej	delta_ifn	delta_cgas	delta_sting	contrast_note	nhej_genes_up_in_high	nhej_genes_down_in_high	ifn_genes_up_in_high	ifn_genes_down_in_high	delta_cldn4	fdr_nhej	fdr_ifn	fdr_composite
GSE232384	sting1	Identify the key signaling pathway involved in the Tet2 deficiency-induced clonal hematopoiesis	Mus musculus	Expression profiling by high throughput sequencing	55.0	scored		GPL24247	37816954	True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	46.0	single_channel	0.3156869660809505	1.0616245022592128	0.0		46.0	-0.2043982238805599	0.1730149076526676	0.1660521584289306	0.2700685203874394	0.3313054404942857	0.0245047286813062	-0.3502610235219643	0.0170166229242928	-0.1432271194696274	0.3423217789967594	log2(x+1)	GSE232384_TET2_project_counts.csv.gz		mixed	mixed	spearman												0.40239713138422223	0.5198963593753919	0.16816603881293338
GSE234417	cgas_title,sting1	cGAS/STING drives ageing-related inflammation and neurodegeneration I	Homo sapiens	Expression profiling by high throughput sequencing	16.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL18573	37532932																																													
GSE234419	cgas_title,sting1	cGAS/STING drives ageing-related inflammation and neurodegeneration II	Mus musculus	Expression profiling by high throughput sequencing	5.0	skipped	over_25MB:GSE234419_RAW.tar	GPL24247	37532932																																													
GSE233820	sting1	PARP inhibitor radiosensitization enhances anti-PD-L1 immunotherapy through depression of chemokine translation in small cell lung cancer	Homo sapiens	Expression profiling by high throughput sequencing	12.0	scored		GPL20795	40038278	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	12.0	single_channel	5.188887997460948	0.8776233166350259	0.0		12.0	-0.1678321678321678	0.6020994277865379	0.7692307692307694	0.0034464502618274	0.2377622377622378	0.4568008526399232	-0.2517482517482518	0.4299187850328841	0.3993000869528574	0.1984760180314363	log2(x+1)	GSE233820_Raw_Abundances.txt.gz		mixed	mixed	spearman												0.8079158263181587	0.024708161296047217	0.7602199324288766
GSE234421	cgas_title,sting1	cGAS/STING drives ageing-related inflammation and neurodegeneration IV	Mus musculus	Expression profiling by high throughput sequencing	8.0	skipped	over_25MB:GSE234421_RAW.tar	GPL24247	37532932																																													
GSE234420	cgas_title,sting1	cGAS/STING drives ageing-related inflammation and neurodegeneration III	Mus musculus	Expression profiling by high throughput sequencing	9.0	scored		GPL24247	37532932	True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	9.0	single_channel	0.1008476660163276	0.2852402740279257	0.0		9.0	-0.5477225575051661	0.126870366923671	0.1369306393762915	0.7253691359545552	0.1369306393762915	0.7253691359545552	0.5477225575051661	0.126870366923671	-0.273861278752583	0.4757972385180242	log2(x+1)	GSE234420_normcounts_allsamples.txt.gz		mixed	mixed	spearman												0.33644973411321605	0.8776673663837754	0.9120375569554477
GSE234422	cgas_title,sting1	cGAS/STING drives ageing-related inflammation and neurodegeneration	Mus musculus; Homo sapiens	Expression profiling by high throughput sequencing	38.0	skipped	over_25MB:GSE234422_RAW.tar	GPL18573	37532932																																													
GSE235225	sting1	Investigating the role of Bax/Bak as a driver of inflammation in aging	Mus	Expression profiling by high throughput sequencing	2.0	skipped	over_25MB:GSE235225_RAW.tar	GPL23642	37821702																																													
GSE236006	sting1	The effect of STING antagonist SN-011 on the gene expression changes in the mouse brain after ischemic stroke	Mus musculus	Expression profiling by high throughput sequencing	12.0	skipped	only_raw_tar_or_no_gene_table	GPL17021	38663402																																													
GSE236108	cgas_title,sting1	The gene expression profiling in the brain of cGAS or STING deficiency mice	Mus musculus	Expression profiling by high throughput sequencing	9.0	skipped	only_raw_tar_or_no_gene_table	GPL17021	38663402																																													
GSE234446	sting1	Impaired activation of plasmacytoid dendritic cells via Toll-Like receptor 7/9 and STING is mediated by melanoma-derived immunosuppressive cytokines and metabolic drift.	Homo sapiens	Expression profiling by high throughput sequencing	23.0	scored		GPL18573	38239354	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	28.0	single_channel	606.0396383377165	3147.898564439812	0.0		28.0	0.0370572373700463	0.8514941394745168	-0.2437225996260741	0.21136873797494	-0.4620752444372703	0.0133045282253153	-0.2525593254604698	0.1947591067414508	0.0228044537661823	0.9083001274323738	as_deposited	GSE234446_RPKM_all_samples.csv.gz		mixed	mixed	spearman												0.9230828654530969	0.44190812892900244	0.12368120521975072
GSE234732	cgas_title	SETD2 loss and ATR inhibition synergistically promote cGAS signaling and immunotherapy response in renal cell carcinoma	Homo sapiens; Mus musculus	Expression profiling by high throughput sequencing	28.0	scored		GPL18573	37527013	True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	24.0	single_channel	11.28907318574638	0.27389913233955	0.0		24.0	0.5121739130434783	0.0105064321190337	-0.3956521739130434	0.0556523828892282	-0.4869565217391304	0.0158100567303473	-0.5843478260869565	0.0027132076985506	0.2939130434782608	0.1633105777659175	as_deposited	GSE234732_renca_rlog_normalized_counts.csv.gz		NHEJ_up_IFN_down	NHEJ_up_IFN_down	spearman												0.06469371558226915	0.18259668692487646	0.13160408333872428
GSE236865	sting1	Induction of antiviral Interferon-Stimulated Genes (ISGs) by neuronal STING promotes the resolution of pain	Mus musculus	Expression profiling by high throughput sequencing	8.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL19057	38690737																																													
GSE237361	sting1	Effects of PARP inhibition on the transcriptome in BRCA1 wild-type and BRCA1 deficient ovarian cancer cell lines	Homo sapiens	Expression profiling by high throughput sequencing	16.0	scored		GPL24676	39669575	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	16.0	single_channel	10.214716995012555	0.2075941903113688	0.0		16.0	0.1852941176470588	0.492057050205944	-0.3441176470588235	0.1918556314255429	-0.3441176470588235	0.1918556314255429	-0.2748657702317534	0.3028712189148917	-0.3375100362795923	0.2010933043904467	log2(x+1)	GSE237361_featureCounts_for_DESeq2_annotated.txt.gz		mixed	mixed	spearman												0.7226115730346565	0.4269262689395126	0.4927948932901802
GSE237072	prkdc	Exportin 1 inhibition prevents neuroendocrine transformation through SOX2 downregulation in lung and prostate cancers [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	13.0	scored		GPL20301	37531417	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	13.0	single_channel	5.816010600099644	0.6545492259560137	0.0		13.0	-0.3076923076923076	0.3064470525125289	-0.1483516483516483	0.6286094178894162	0.1813186813186813	0.5532950092839335	0.0219780219780219	0.9431862416608072	0.1813186813186813	0.5532950092839335	log2(x+1)	GSE237072_mRNA_expression_all_samples_22PCDKO_TPM.txt.gz		mixed	mixed	spearman												0.5742966362788521	0.8084690510480473	0.8123415123317969
GSE237790	prkdc	Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [scRNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	2.0	skipped	over_25MB:GSE237790_RAW.tar	GPL24676	39005211																																													
GSE237615	cgas_title,sting1	53BP1 loss elicits cGAS-STING-dependent antitumor immunity in ovarian and pancreatic cancer	Mus musculus	Expression profiling by high throughput sequencing	16.0	scored		GPL28457	39107288	True	8.0	14.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	3.0	single_channel	0.3333333333333333	0.4714045207910317	0.0		3.0											log2(x+1)	GSE237615_Raw_Counts_ID8_53BP1_KO.xls.txt.gz																		
GSE239629	cgas_title,sting1	Exosomes packaged chromatin with dynamic H3R26me2s modification prevents cellular inflammation by blocking the cGAS-STING pathway [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	2.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL16791																																														
GSE239630	cgas_title,sting1	Exosomes packaged chromatin with dynamic H3R26me2s modification prevents cellular inflammation by blocking the cGAS-STING pathway.	Homo sapiens	Expression profiling by high throughput sequencing; Other	14.0	skipped	over_25MB:GSE239630_RAW.tar	GPL24676																																														
GSE239639	cgas_title,sting1	Trabectedin and olaparib combination primes cellular immunotherapy with HLA-independent killer lymphocytes against sarcoma preclinical models through the cGAS-STING pathway	Homo sapiens	Expression profiling by high throughput sequencing	24.0	scored		GPL24676	40986050	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	24.0	single_channel	1.4279824190456747	1.8353449258504575	0.0		24.0	-0.1026086956521739	0.6332868165639752	0.7043478260869565	0.0001221443305177	0.4669565217391304	0.0214219316782152	-0.4495652173913043	0.0275219117697611	-0.2721739130434782	0.198217172315479	log2(x+1)	GSE239639_Table_Expression_Level_TPM.txt.gz		mixed	mixed	spearman												0.8098504240270465	0.0016148198990501806	0.15045559827121457
GSE239879	cgas_title	Cytosolic PRRs are required to upregulate interferon gene expression upon EZH2 inhibition with GSK343 in B16-F10 melanoma cells [RNA-seq]	Mus musculus	Expression profiling by high throughput sequencing	24.0	skipped	only_raw_tar_or_no_gene_table	GPL19057	37934086																																													
GSE238208	sting1	Th1/17 polarization and potential treatment by an anti-interferon-γ DNA aptamer in Hunner-type interstitial cystitis	Homo sapiens	Expression profiling by high throughput sequencing	63.0	scored		GPL24676	38026177,41174026	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	67.0	single_channel	7.354898661672625	2.8648273401858706	0.0		67.0	0.2473087168763525	0.0436252679345202	0.0359170316586602	0.7729226813611023	-0.2293302471405454	0.061931398411091	0.031666849579052	0.7991941548011678	0.1177080943080203	0.3427967391708882	log2(x+1)	GSE238208_gene_expression_yoshiyukiakiyama.txt.gz		mixed	mixed	spearman												0.1712625147298413	0.9061342187868323	0.2841743557844377
GSE240274	cgas_title,sting1	OLFM4 is a direct target of the cGAS-STING pathway and acts as an extracellular inhibitor for the Hippo signaling in EBV-associated cancer	Homo sapiens	Expression profiling by high throughput sequencing	6.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL24676	39627192																																													
GSE240276	cgas_title,sting1	OLFM4 is a direct target of the cGAS-STING pathway and acts as an extracellular inhibitor for the Hippo signaling in EBV-associated cancer	Homo sapiens	Expression profiling by high throughput sequencing	12.0	skipped	no_open_matrix_under_25MB	GPL24676	39627192																																													
GSE240275	cgas_title,sting1	OLFM4 is a direct target of the cGAS-STING pathway and acts as an extracellular inhibitor for the Hippo signaling in EBV-associated cancer	Homo sapiens	Expression profiling by high throughput sequencing	6.0	scored		GPL24676	39627192	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	8.0	single_channel	5.932437091518176	0.0751659507818607	0.0		8.0	-0.0714285714285714	0.8665262706759088	0.2380952380952381	0.5701563208157683	0.5952380952380953	0.1195298061387926	0.0952380952380952	0.8225054302036114	0.1428571428571428	0.735764859879812	log2(x+1)	GSE240275_Processed_data-OLFM4_MV_function.fpkm.matrix.annot.txt.gz		mixed	mixed	spearman												0.9230828654530969	0.7752027351981329	0.3921799113823889
GSE241587	cgas_title,sting1	Pervasive nuclear envelope ruptures precede ECM signaling and disease onset without activating cGAS-STING in Lamin cardiomyopathy mice [sci-RNA-seq]	Mus musculus	Expression profiling by high throughput sequencing	96.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL24247	38814785																																													
GSE241590	cgas_title,sting1	Pervasive nuclear envelope ruptures precede ECM signaling and disease onset without activating cGAS-STING in Lamin-cardiomyopathy mice	Mus musculus	Expression profiling by high throughput sequencing; Other	163.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL24247	38814785																																													
GSE236894	sting1	SMAD4 regulates the progression of cholangiocarcinoma (CCA) by modulating the expression of STING1	Homo sapiens	Expression profiling by high throughput sequencing	8.0	scored		GPL24676		True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	8.0	single_channel	0.5043260655016152	0.1653044301462148	0.0		8.0	-0.5476190476190477	0.1600256425388965	0.8095238095238096	0.01490266768623	0.8333333333333335	0.0101755401234567	-0.0359287878573977	0.932691474909088	0.9047619047619048	0.0020082755054294	log2(x+1)	GSE236894_1_genes_fpkm_expression.xlsx		NHEJ_down_IFN_up	NHEJ_down_IFN_up	spearman												0.3815996091312147	0.072029560483445	0.10636989036032062
GSE241725	cgas_title,sting1	Evolutionarily conserved role of Telomerase reverse transcriptase (TERT) in programming the microenvironment via regulation of cGAS/STING pathway	Mus musculus	Expression profiling by high throughput sequencing	15.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL17021	40770487																																													
GSE241577	cgas_title,sting1	Pervasive nuclear envelope ruptures precede ECM signaling and disease onset without activating cGAS-STING in Lamin-cardiomyopathy mice [mRNA-seq]	Mus musculus	Expression profiling by high throughput sequencing	46.0	scored		GPL17021	38814785	True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	46.0	single_channel	0.0105716202027568	0.0265647350887649	0.0		46.0	0.2185455382169782	0.1445209441792763	0.3468115425881168	0.0182128390696174	0.323920994115729	0.028087336151704	0.2958998054684956	0.0458665547873475	0.284849195861136	0.0550182550973452	as_deposited	GSE241577_rnaseq_tpm_geo_08-22-2023.csv.gz		mixed	mixed	spearman												0.3649559798235095	0.08264432909052087	0.17908166808781487
GSE242777	dna_repair,nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair [scRNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	12.0	skipped	over_25MB:GSE242777_RAW.tar,GSE242777_merged_data_HSC.rds.gz	GPL18573	38521763																																													
GSE241952	cgas_title	Targeting LYPLAL1-mediated cGAS depalmitoylation enhances the response to anti-tumor immunotherapy	Mus musculus	Expression profiling by high throughput sequencing	6.0	scored		GPL23479		True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	6.0	single_channel	9.757823915170777	0.4990170506994919	0.0		6.0	0.8285714285714287	0.0415626822157433	0.942857142857143	0.004804664723032	0.7142857142857143	0.1107871720116617	0.7714285714285715	0.0723965014577259	0.6	0.208	log2(x+1)	GSE241952_Mus_TPM_raw.txt.gz		mixed	mixed	spearman												0.16731754543844704	0.030205549552487887	0.3797969832025113
GSE243251	sting1	the effect of UMI-77 on HGPS-MSCs gene expression during cellular senescence	Homo sapiens	Expression profiling by high throughput sequencing	6.0	skipped	only_raw_tar_or_no_gene_table	GPL24676	38482753																																													
GSE244076	sting1	OTUD3  prevents ulcerative colitis by modulating microbiota-mediated STING activation (part 1)	Mus musculus	Expression profiling by high throughput sequencing	2.0	skipped	only_raw_tar_or_no_gene_table	GPL17021	40680146																																													
GSE244077	sting1	OTUD3  prevents ulcerative colitis by modulating microbiota-mediated STING activation (part 2)	Mus musculus	Expression profiling by high throughput sequencing	4.0	skipped	only_raw_tar_or_no_gene_table	GPL24247	40680146																																													
GSE244078	sting1	OTUD3  prevents ulcerative colitis by modulating microbiota-mediated STING activation (part 3)	Mus musculus	Expression profiling by high throughput sequencing	4.0	skipped	only_raw_tar_or_no_gene_table	GPL24247	40680146																																													
GSE244079	sting1	OTUD3  prevents ulcerative colitis by modulating microbiota-mediated STING activation (part 4)	Mus musculus	Expression profiling by high throughput sequencing	2.0	skipped	over_25MB:GSE244079_RAW.tar	GPL24247	40680146																																													
GSE244080	sting1	OTUD3  prevents ulcerative colitis by modulating microbiota-mediated STING activation (part 5)	Mus musculus	Expression profiling by high throughput sequencing	2.0	skipped	over_25MB:GSE244080_RAW.tar	GPL24247	40680146																																													
GSE244062	sting1	Tissue-specific inflammation induced by constitutively active STING is mediated by enhanced TNF signaling	Mus musculus	Expression profiling by high throughput sequencing	16.0	scored		GPL24247	40111902	True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	16.0	single_channel	1.4615152576401924	1.021384421916283	0.0		16.0	0.1244614229374075	0.6460514792403785	0.2864112262776487	0.2821743628278531	0.239925634578135	0.3707718891842065	0.4033749731344896	0.1213068916699542	0.3119033249515756	0.239580002983815	log2(x+1)	GSE244062_bfx1909.counts.tsv.gz		mixed	mixed	spearman												0.822663285888244	0.5329301516433611	0.6858517044786043
GSE244945	sting1	NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [RNA-seq]	Mus musculus; Homo sapiens	Expression profiling by high throughput sequencing	69.0	scored		GPL24247	40627448	True	7.0	17.0	3.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	STING1,TBK1,IRF3	True	9.0	single_channel	0.2962726825555555	0.2168328225932843	0.0		9.0	0.0251048222626716	0.9488837293174808	-0.6694619270045785	0.0485681949448867	-0.6861984751796929	0.0412424678025813			0.1589972076635873	0.6828398157150526	as_deposited	GSE244945_KP1_RSEM_RPKM_log2.csv.gz		mixed	mixed	spearman												0.9722959463688623	0.1666519360895158	0.22374162462247443
GSE244946	sting1	NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [scRNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	3.0	skipped	over_25MB:GSE244946_RAW.tar	GPL24676	40627448																																													
GSE244335	sting1	Gene expression in lung tissue, blood and spleen of mice with severe acute pancreatitis	Mus musculus	Expression profiling by high throughput sequencing	18.0	scored		GPL21273		True	8.0	16.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	6.0	single_channel	1.559332667982166	0.5238177701612561	0.0		6.0	0.4857142857142857	0.3287230320699708	-0.7714285714285715	0.0723965014577259	-1.0	0.0	-0.6	0.208	-0.6	0.208	log2(x+1)	GSE244335_lung_all_fpkm.txt.gz		NHEJ_up_IFN_down	NHEJ_up_IFN_down	spearman												0.5843683789148534	0.2064181619142803	0.0
GSE245147	cgas_title,sting1	CytoDNA triggered NP cell inflammatory senescence via cGAS-STING axis sensing but not AIM2 inflammasome activation	Homo sapiens	Expression profiling by high throughput sequencing	18.0	scored		GPL20795	38488012	True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20	CGAS,STING1,TBK1,IRF3	True	6.0	single_channel	0.0820079515	0.0171738887684498	0.0		6.0	-0.4857142857142857	0.3287230320699708	-0.0285714285714285	0.9571545189504372	-0.0285714285714285	0.9571545189504372	-0.4857142857142857	0.3287230320699708	-0.6571428571428573	0.1561749271137024	as_deposited	GSE245147_Degenerated_NO_Degenerated_RPKM.txt.gz		mixed	mixed	spearman												0.5843683789148534	0.9838541099550402	0.9834079000416491
GSE243138	cgas_title,sting1	Role of cGAS-STING pathway in aging and sexual dimorphism in diabetic kindey disease	Rattus norvegicus	Expression profiling by high throughput sequencing	16.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL25947																																														
GSE245449	sting1	SMARCAL1 is a dual regulator of innate immune signaling and PD-L1 expression that promotes tumor immune evasion [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	18.0	scored		GPL20301	38301646	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	12.0	single_channel	1.4338415511663165	1.1438009032520446	0.0		12.0	0.0571559811963211	0.8599535708470559	0.2572019153834451	0.4196508514342586	-0.0821617229697116	0.7996140152910958	0.293954018066311	0.3537228113645635	0.4751090936944195	0.1185429670341364	log2(x+1)	GSE245449_plateseq-counts.csv.gz		mixed	mixed	spearman												0.9230828654530969	0.6702629212990374	0.9384503913142234
GSE245766	dna_repair,dna_repair_title,sting1	The DNA repair enzyme, Aprataxin, plays a role in innate immune signaling	Homo sapiens	Expression profiling by high throughput sequencing	12.0	scored		GPL23227	38161589	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	12.0	single_channel	5.278349364341253	0.5604560349881064	0.0		12.0	-0.0629370629370629	0.8459309212287789	0.965034965034965	3.880985299627466e-07	0.8461538461538463	0.000521133700481	0.6433566433566434	0.0240031912007136	0.965034965034965	3.880985299627466e-07	log2(x+1)	GSE245766_counts_table_normalised.csv.gz		mixed	mixed	spearman												0.9230828654530969	9.968587955328834e-06	0.01301386657590053
GSE227690	prkdc	Ultraviolet radiation shapes dendritic cell leukaemia transformation in the skin	Homo sapiens	Expression profiling by high throughput sequencing; Other	111.0	scored		GPL18573	37286599	True	5.0	16.0	2.0	PRKDC,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,BST2,ISG20,CXCL10	CGAS,IRF3	True	4145.0	single_channel	0.0	0.0	0.0		4145.0											as_deposited	GSE227690_Pt5Dx_norm.tsv.gz				spearman														
GSE246893	cgas_title,sting1	Copper inhibits ATR and synergizes with PARP inhibitors (DTP model RNA-seq and Ola-ATRi-EC cGAS-STING RNA-seq)	Homo sapiens	Expression profiling by high throughput sequencing	24.0	skipped	no_open_matrix_under_25MB	GPL21290																																														
GSE247680	sting1	Unleashing the Potential: Myeloid-Specific STING Inhibition Mitigates Deep Vein Thrombosis	Mus musculus	Expression profiling by high throughput sequencing	6.0	skipped	only_raw_tar_or_no_gene_table	GPL28330																																														
GSE247045	sting1	Mitochondrial injury induced by a Salmonella genotoxin triggers the proinflammatory senescence-associated secretory phenotype	Homo sapiens	Expression profiling by high throughput sequencing	9.0	scored		GPL24676	38555361	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	9.0	single_channel	0.0604493549458217	0.0848027651134801	0.0		9.0	-0.1825741858350553	0.6382401514757152	-0.1278019300845387	0.7431617840585842	0.0730296743340221	0.8518848046652235	-0.1278019300845387	0.7431617840585842	-0.3103761159195941	0.4162911190557081	log2(x+1)	GSE247045_ProcessedDataMatrix.txt.gz		flat	flat	spearman												0.8138693562789617	0.8884341008891851	0.9604134225118619
