model	cell_line	gse_id	cancer_type	cancer_group	independent_key	n_baseline	n_icb	n_responder	n_nonresponder	median_baseline	median_icb	mean_baseline	mean_icb	delta_median	delta_mean	dir_median	dir_mean	treatments	tismo_pvalue
B16_GSE109485_intracranial_antiCTLA4&antiPD1(n=6)	B16	GSE109485	Melanoma	Melanoma	B16_GSE109485_intracranial	3	3	0	3	0.0020016382809721	0.0251171055882165	0.0023855947572956667	0.019042874566411766	0.0231154673072444	0.016657279809116098	1	1	antiPD1; antiCTLA4; intracranial;;isotype; intracranial;	
B16_GSE149825_antiCTLA4&antiPD1(n=6)	B16	GSE149825	Melanoma	Melanoma	B16_GSE149825	3	3	3	0	0.0	0.0	0.077101880865998	0.079864880532896	0.0	0.002762999666898011	0	1	antiPD1; antiCTLA4;;vehicle	0.0001024961527034
B16_GSE149825_birinapant_antiCTLA4&antiPD1(n=6)	B16	GSE149825	Melanoma	Melanoma	B16_GSE149825_birinapant	3	3	3	0	0.0769801658363189	2.87369761434297	0.09546354910708764	2.603828633159003	2.7967174485066515	2.5083650840519156	1	1	antiPD1; antiCTLA4; birinapant;birinapant	0.0001024961527034
B16_GSE150401_MDK_knockdown_antiPD1(n=8)	B16	GSE150401	Melanoma	Melanoma	B16_GSE150401_MDK_knockdown	4	4	4	0	0.0	0.1621063958169895	0.0	0.21215404398300575	0.1621063958169895	0.21215404398300575	1	1	antiPD1;isotype	
B16_GSE150401_antiPD1(n=8)	B16	GSE150401	Melanoma	Melanoma	B16_GSE150401	4	4	0	4	0.0	0.0	0.0	0.0574797835081895	0.0	0.0574797835081895	0	1	antiPD1;isotype	0.987188231334236
B16_GSE151829_Aire_KO_antiCTLA4(n=11)	B16	GSE151829	Melanoma	Melanoma	B16_GSE151829_Aire_KO	5	6	6	0	0.776238848933823	0.730170707224903	0.6228288226342723	1.0310100854793471	-0.04606814170892004	0.40818126284507483	-1	1	antiCTLA4;isotype	0.396783213649528
B16_GSE151829_antiCTLA4(n=9)	B16	GSE151829	Melanoma	Melanoma	B16_GSE151829	3	6	6	0	0.115827599152482	0.321601607789782	0.14111845486978783	0.34690976943646173	0.20577400863729997	0.2057913145666739	1	1	antiCTLA4;isotype	0.459000407593525
B16_GSE152925_Man2a1_KO_antiPDL1(n=6)	B16	GSE152925	Melanoma	Melanoma	B16_GSE152925_Man2a1_KO	3	3	3	0	0.0	0.0	0.0	0.020458133410393733	0.0	0.020458133410393733	0	1	antiPDL1;isotype	
B16_GSE152925_antiPDL1(n=12)	B16	GSE152925	Melanoma	Melanoma	B16_GSE152925	6	6	0	6	0.0	0.0	0.0	0.013112900419935384	0.0	0.013112900419935384	0	1	antiPDL1;isotype;isotype; PBS	
B16_GSE152925_swainsonine_antiPDL1(n=6)	B16	GSE152925	Melanoma	Melanoma	B16_GSE152925_swainsonine	3	3	3	0	0.0622149948141085	0.0	0.07951813931059483	0.06640259869642899	-0.0622149948141085	-0.013115540614165838	-1	-1	antiPDL1; swainsonine;swainsonine	
D3UV2_GSE159344_antiPD1(n=6)	D3UV2	GSE159344	Melanoma	Melanoma	D3UV2_GSE159344	3	3	3	0	0.240623292519232	0.33371567818056	0.24713071252132446	1.0959844052158763	0.09309238566132802	0.8488536926945518	1	1	antiPD1;isotype	0.185771051274138
D4M.3A.3_GSE159344_antiPD1(n=6)	D4M.3A.3	GSE159344	Melanoma	Melanoma	D4M.3A.3_GSE159344	3	3	0	3	0.0	0.191002897726662	0.049577902420543996	0.21097662239110068	0.191002897726662	0.1613987199705567	1	1	antiPD1;isotype	0.999991667614612
YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7)	YUMM1.7	GSE103725	Melanoma	Melanoma	YUMM1.7_GSE103725_BRAF.inhibitor	3	4	2	2	0.0655941453224401	0.08236495502065394	0.06187295047089236	0.12016964543363072	0.016770809698213845	0.05829669496273836	1	1	BRAFi;BRAFi; antiPDL2;	
402230_GSE148856_antiPD1(n=8)	402230	GSE148856	Sarcoma	Sarcoma	402230_GSE148856	4	4	0	4	0.3434807777595295	0.668633588210434	0.35402865800400896	0.5920764417419231	0.32515281045090444	0.23804778373791413	1	1	antiPD1;isotype	0.99949700181637
402230_GSE148856_radiation_antiPD1(n=8)	402230	GSE148856	Sarcoma	Sarcoma	402230_GSE148856_radiation	4	4	4	0	0.717414095291941	0.9763494979905245	0.7853871758966535	0.9710154722618483	0.2589354026985835	0.18562829636519473	1	1	antiPD1; radiation;;isotype; radiation;	0.835589614531079
