term	query	matrix_symbol	status
KEGG_TIGHT_JUNCTION	SLC9A3R1	SLC9A3R1	direct
KEGG_TIGHT_JUNCTION	SRC	SRC	direct
KEGG_TIGHT_JUNCTION	STK11	STK11	direct
KEGG_TIGHT_JUNCTION	SYMPK	SYMPK	direct
KEGG_TIGHT_JUNCTION	SYNPO	SYNPO	direct
KEGG_TIGHT_JUNCTION	TIAM1	TIAM1	direct
KEGG_TIGHT_JUNCTION	TJAP1	TJAP1	direct
KEGG_TIGHT_JUNCTION	TJP1	TJP1	direct
KEGG_TIGHT_JUNCTION	TJP2	TJP2	direct
KEGG_TIGHT_JUNCTION	TJP3	TJP3	direct
KEGG_TIGHT_JUNCTION	TUBA1A	TUBA1A	direct
KEGG_TIGHT_JUNCTION	TUBA1B	TUBA1B	direct
KEGG_TIGHT_JUNCTION	TUBA1C	TUBA1C	direct
KEGG_TIGHT_JUNCTION	TUBA3C		absent_on_U133A
KEGG_TIGHT_JUNCTION	TUBA3D	TUBA3D	direct
KEGG_TIGHT_JUNCTION	TUBA3E		absent_on_U133A
KEGG_TIGHT_JUNCTION	TUBA4A	TUBA4A	direct
KEGG_TIGHT_JUNCTION	TUBA8	TUBA8	direct
KEGG_TIGHT_JUNCTION	TUBAL3	TUBAL3	direct
KEGG_TIGHT_JUNCTION	VASP	VASP	direct
KEGG_TIGHT_JUNCTION	WAS	WAS	direct
KEGG_TIGHT_JUNCTION	WHAMM		absent_on_U133A
KEGG_TIGHT_JUNCTION	YBX3	YBX3	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	ADAR	ADAR	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	B2M	B2M	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	BATF2		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	BST2	BST2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	C1S	C1S	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CASP1	CASP1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CASP8	CASP8	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CCRL2	CCRL2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CD47	CD47	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CD74	CD74	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CMPK2		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	CMTR1	CMTR1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CNP	CNP	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CSF1	CSF1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CXCL10	CXCL10	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	CXCL11	CXCL11	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	DDX60	DDX60	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	DHX58	DHX58	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	EIF2AK2	EIF2AK2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	ELF1	ELF1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	EPSTI1		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	GBP2	GBP2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	GBP4		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	GMPR	GMPR	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	HELZ2		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	HERC6	HERC6	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	HLA-C	HLA-C	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFI27	IFI27	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFI30	IFI30	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFI35	IFI35	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFI44	IFI44	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFI44L	IFI44L	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFIH1	IFIH1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFIT2	IFIT2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFIT3	IFIT3	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFITM1	IFITM1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFITM2	IFITM2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFITM3	IFITM3	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IL15	IL15	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IL4R	IL4R	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IL7	IL7	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IRF1	IRF1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IRF2	IRF2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IRF7	IRF7	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	IRF9	IRF9	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	ISG15	ISG15	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	ISG20	ISG20	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	LAMP3	LAMP3	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	LAP3	LAP3	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	LGALS3BP	LGALS3BP	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	LPAR6	LPAR6	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	LY6E	LY6E	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	MOV10		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	MVB12A		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	MX1	MX1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	NCOA7		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	NMI	NMI	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	NUB1		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	OAS1	OAS1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	OASL	OASL	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	OGFR	OGFR	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	PARP12	PARP12	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	PARP14		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	PARP9		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	PLSCR1	PLSCR1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	PNPT1		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	PROCR	PROCR	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	PSMA3	PSMA3	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	PSMB8	PSMB8	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	PSMB9	PSMB9	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	PSME1	PSME1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	PSME2		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	RIPK2	RIPK2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	RNF31	RNF31	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	RSAD2	RSAD2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	RTP4	RTP4	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	SAMD9	SAMD9	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	SAMD9L		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	SELL	SELL	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	SLC25A28	SLC25A28	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	SP110	SP110	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	STAT2	STAT2	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TAP1	TAP1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TDRD7	TDRD7	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TENT5A		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	TMEM140	TMEM140	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TRAFD1	TRAFD1	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TRIM14	TRIM14	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TRIM21	TRIM21	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TRIM25	TRIM25	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TRIM26	TRIM26	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TRIM5	TRIM5	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	TXNIP	TXNIP	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	UBA7		absent_on_U133A
HALLMARK_INTERFERON_ALPHA_RESPONSE	UBE2L6	UBE2L6	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	USP18	USP18	direct
HALLMARK_INTERFERON_ALPHA_RESPONSE	WARS1	WARS	alias
