split	direction	interaction_name	pathway_name	ligand	receptor	ligand_genes	receptor_genes	focus	ligand_class	n_paired	n_GSE131907	n_GSE205335	median_prob_high	median_prob_low	delta_median	median_paired_delta	wilcoxon_w	p	thin	test
q4q1	outgoing	APP_SORL1	APP	APP	SORL1	APP	SORL1	other	other	17	12	5	0.11496690315354834	0.059029826770810284	0.05593707638273805	0.025478682824441726	5.0	0.0011233790034369743	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-B_CD8B	MHC-I	HLA-B	CD8B	HLA-B	CD8B	MHC-I	other	41	23	18	0.433438759761695	0.45991199434436564	-0.026473234582670646	0.017253856162317532	186.0	0.0011332355643389747	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	LAMB2_CD44	LAMININ	LAMB2	CD44	LAMB2	CD44	other	other	15	13	2	0.1543285149166566	0.08121257961609712	0.07311593530055949	0.05912290969759653	7.0	0.00115966796875	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-F_CD8A	MHC-I	HLA-F	CD8A	HLA-F	CD8A	MHC-I	other	39	24	15	0.12004719991257536	0.07299556803666102	0.04705163187591434	0.024179235685373654	166.0	0.0013167040960979648	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	IGFBP3	TMEM219	other	other	12	11	1	0.25093521818771775	0.1630379486991274	0.08789726948859033	0.1054341897199426	2.0	0.00146484375	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	COL6A1_CD44	COLLAGEN	COL6A1	CD44	COL6A1	CD44	other	other	11	9	2	0.262742258715874	0.14306234764321277	0.11967991107266121	0.1123770085517114	1.0	0.001953125	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	CDH1_KLRG1	CDH1	CDH1	KLRG1	CDH1	KLRG1	other	barrier	10	6	4	0.09434357810453446	0.04921979548585585	0.04512378261867861	0.0416472265488571	0.0	0.001953125	False	wilcoxon_signed_rank_paired_patient
median	outgoing	TNFSF15_TNFRSF25	VEGI	TNFSF15	TNFRSF25	TNFSF15	TNFRSF25	other	other	10	7	3	0.011269388160991699	0.004047804733166953	0.007221583427824746	0.004713145521916363	0.0	0.001953125	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	LGALS9	HAVCR2	other	inhibitory	15	8	7	0.008616700138693926	0.005158312372750079	0.003458387765943847	0.005288055382256371	5.0	0.0028648155524898344	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	PVR_TIGIT	PVR	PVR	TIGIT	PVR	TIGIT	other	barrier|inhibitory	11	8	3	0.032232931669827346	0.02250083903173843	0.009732092638088916	0.012346841171831949	2.0	0.0029296875	False	wilcoxon_signed_rank_paired_patient
median	outgoing	COL6A2_CD44	COLLAGEN	COL6A2	CD44	COL6A2	CD44	other	other	14	12	2	0.22959783269588557	0.1258387145691397	0.10375911812674588	0.057669743753303776	8.0	0.0030517578125	False	wilcoxon_signed_rank_paired_patient
median	outgoing	THBS3_CD47	THBS	THBS3	CD47	THBS3	CD47	other	other	12	8	4	0.030292108563856415	0.011041662312681548	0.019250446251174867	0.012463192477075447	4.0	0.00341796875	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	CD99_CD99	CD99	CD99	CD99	CD99	CD99	other	other	26	20	6	0.5430324122526644	0.5068840638331854	0.036148348419479004	0.03483627532768452	64.0	0.003550976514816284	False	wilcoxon_signed_rank_paired_patient
median	outgoing	CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	CLEC2B	KLRB1	other	other	25	18	7	0.09390306414572772	0.06333857728318346	0.03056448686254426	0.032549537631777016	58.0	0.0037809014320373535	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	COL6A2_CD44	COLLAGEN	COL6A2	CD44	COL6A2	CD44	other	other	9	8	1	0.24961253815466858	0.09663918238479495	0.15297335576987364	0.08105634688546501	0.0	0.00390625	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-DRB1_CD4	MHC-II	HLA-DRB1	CD4	HLA-DRB1	CD4	other	other	22	13	9	0.12829709542405043	0.1376643484443669	-0.009367253020316463	0.011692572159699793	42.0	0.004684925079345703	False	wilcoxon_signed_rank_paired_patient
